everything 	 call great hotel great location good price . stay hotel two day book & quot ; standard room ' mean two people due non availability single occupancy book time ( know waste resource ; ) ) . room awesome ! much clean . corridor wait lounge comfortable well . bathroom good bathtub : ( ( matter ! ) . seem commode mean people height & gt ; 6.5 foot use foot touch floor . ( heck ? ) hotel restaurant name Comesum chain restaurant tie IRCTC serve amazing food tasty hygienic time . good part location . locate right next New Delhi railway station ( NDLS ) . come train could even walk hotel . local travel metro station walk distance fact close NDLS.As far stay concerned faced problem except not allow take car near portico take luggage walk distance ( much ) . could bothersome one lot luggage not decide factor accord give security issue country face . all stay good not see reason give anything less five rating . negative mention should not decide factor far believe . thank read .... 
 Best Effort Ratan Tata middle class 	 find extremely comfortable , near New Delhi Rly station travel hotel cycle rickshow . metro entry side hotel . good restaurant reasonable price . if compare Room rent vs Cleanlilness , rank-1 India . normally middle class efford lot money hotel , desire cleanliness , good restaurant etc , well available Zinger . also locate extremely well convenient place . train Traveller , even well . onwards even prefer spend money hotel stay rather choose free stay guest house Noida . Thnak Tata . Pankaj Kr Baruah 
 good value price 	 warm cozy room , plush interior , nice service tasty food . good connectivity business tour planner available hotel . good value money 
 great quality price ! ! train traveler 's PERFECTION ! 	 quality price beat Delhi - $ 40 get clean room satelite TV , AC , wireless ( must pay $ 5 24 hour ) clean bathroom - perfectly comfortable room . stay hotel price range Delhi India find MUCH bad . also stay 5 star hotel ( expect ) well cost we $ 300 ... find Ginger well bargain around . also - travel around quite bit train use delhi main hub LOCATION BEAT ! literally across street train station ( helpful since ticket buy 2 hourse train leave - train leave 5 am will grateful cross street get 3 am ticket ! ) . also pretty close Connaught Place ( central Delhi ) - around 2 km INR 50 tuck tuck ( 1 dollar ) .good luck ! mp 
 Oct 19 2009 	 good value money 	 quite satisfied stay . stay first 2 night Delhi trip . hotel basic clean enough . room complimentary water ( 2 bottle day ) , hot water pot , tv . right can not even picture bathroom fine room bathroom . 2 computer available lobby rs 110 1 hr . staff friendly mean helpful . one give time . agree reviews term value money . the location great go Old Delhi Connaught Circle . also , next railroad station , pre - pay taxi driver airport know get . large sign high station see . construction around station actually need go back station reach hotel . a short walk hotel get pre - pay stand hire auto - rickshaw . book agent ( sort ) hotel use book car airport next leg trip . say would take non - ac rs800 get car ac.one negative try book room online . use direct email Delhi Ginger hotel not book much advance also get full quickly . hope help . 
 Oct 7 2009 	 everything want nothing ! 	 one get New Delhi 1000 rupee ? price , location Tata brand main consideration book Ginger 3 night stay New Delhi . location amazing - bang next railway station . yet peaceful , away city . once get hotel , not see porter run towards pick baggage . instead super convenient trolley - self - service mantra here . the room five - star quality right size everything one need . common area , facility iron clothe . amazingly design save cost yet compromise comfort stay . there room service , could pack food restaurant carry . 
 Oct 3 2009 	 Perfect place family 	 excellent hotel strategically locate good Customer Service . cost food Restaurant little high TATA need relook , open Hotel Railway Station Complex inside/ near Airport . 
 Sep 30 2009 	 can not ask - real value money 	 Hats TATA gift we Ginger , Delhi . book place read several review , stay exceed expectation . positive : 1 . spacious spick span room Rs.999 / night2 . LCD TV3 . neat toilet / shower4 . complementary mineral water ( 4 small bottle daily basis ) 5 . centrally locate - Connaught Place outer circle hardly 1 km . CP good place dine.6 . 24hrs restaurant7 . water dispenser every floor8 . courteous staff include room service staff . these name few . negative :1 . auto stand front hotel ( get walk abt 50 mts ) 2 . restaurant great . capable handle 4 customer time . wait 1 hr grab breakfast . suggest food unavoidable.3 . travel desk Indica A / cs . big car , expensive . Indica A / C Rs.850 / 8hrs-80kms , Esteem - Rs.600 more . otherwise complaint . think Ginger open similar hotel Mumbai also . wish happy stay . Rgds , Venkatesh 
 Sep 28 2009 	 Value Money 	 Real Value Money hotel . ac room rs 999 . neat room well maintain . coffee / tea maker , complimentary water bottle . r 999 steal . 
 Sep 10 2009 	 Descent hotel excellent price 	 travel Delhi Mumbai hotel come surprise choice complete train ticket irctc.co.inI direct www.railtourismindia.com book hotel easy . think service would find 1 k room . go hotel voila , excellent locate hotel ( Central Delhi ) . room well maintain , lobby good . they not serve food room , comsum restaurent lobby provide yet another surprise . good hygenic food good price . overall good experience . 
 Aug 31 2009 	 like fall LOVE ...... 	 way Kerala stay twin room . really great begin Honeymoon . clean comfortable room multi - cuisine restaurant make trip wonderful . strongly recommend hotel visit couple family . one good thing easy access railway station . even see train stand platform . 10 , 11 12 west side window opening room . 
 Aug 21 2009 	 good value money 	 hotel step New Delhi train station . clean room , comfortable bed decent bathroom reasonable price . area around station look bit intimidate never feel danger , even late night . restaurant offer good safe food competitive price . 
 Aug 18 2009 	 prefer hotel economical 	 Ginger ( Yatri Nivas ) New Delhi , recommend hotel clean , staff polite , disturbance , Overall would say get ambeince five star cost 3 star hotel . room clean , toilet also clean . clean bedsheet , towel , wifi , A / c . really comfortable place stay heart New Delhi . metro 50 meter walk hotel . not great ! ! ! 
 Aug 15 2009 	 good Value Delhi money - period -- 	 great hotel everything need - mini fridge , flat panel tv , 4 bed family room , free water bottle , separate shower , toilet , washbasin ( save time family get ready morning ) .nice restaurent downstair , WIFI approx $ 8/24 hrs , pharmacy , book store next door etc .just keep quite guy - already tough get room @ place - seriously travel India go look Ginger hotel everywhere go . 
 Aug 4 2009 	 Noce Place Good 	 visit place recent visit New Delhi . hotel good ar per desire standard . know budget hotel quality soo good . also visit Bangalore Ginger hotel one Delhi good . though room neat clean area locate good . also room service . also problem . 
 Jun 29 2009 	 Best Hotel Delhi 	 much hassle Raunak hotel , relief come Ginger Hotel . I always search 3 - 4stars hotel . but see 3 - star Raunak Hotel , not want anymore . even though Ginger hotel budget hotel , good value money . the service good , food splendid , room spacious clean , staff helpful understanding . I really enjoy stay . .. really look forward another enjoyable stay ! ! ! 
 Jun 24 2009 	 fabulous hotel great location railway station VFM 	 stay 2 separate occasion March rate hotel highly . location walk distance New Delhi train station ideal want catch train 6 morning . area around hotel win award , fact part look well dodgy , especially late night . hotel however security check point actually check people come hotel problem . room clean , modern looking , good air conditioning system , flat screen TV 's , good hot shower comfortable bed . good room inexspensive . cafeteria lobby area serve various meal drink , food reasonable good value . 
 Jun 21 2009 	 good place Delhi stay 	 Ginger atmosphere businessman 's hotel , room clean neat staff responsive request assistance . say & quot ; good place Delhi stay & quot ; 
 Jun 21 2009 	 good hotel near New Delhi railway station 	 take train 3:40 . look hotel walk distance NDLS station . hotel paharganj look shabby . ginger hotel ( erstwhile Rail Yatri Niwas ) nice hotel . interior good . hotel use late technology loke self check etc . room rate also resonabel around 1200 r . would certainly recomme hotel look stay near new delhi railway station . 
 Jun 19 2009 	 Budget hotel India 	 ' m brazilian live Bangalore , May year family come visit wife . plan visit New Delhi Agra , book on - line two double room . two week call check reservation really make , luckily ! : ) find hotel complicate , be foreigner , taxi driver believe know ( even map hand ) . tell driver ' next Pinto Road , go rail station car / rickshaw ' parking area get hotel . the location pretty good visit site New Delhi . this budget hotel , ' expect frill . ' find bed , AC ( little noisy ) , LCD TV , desk small fridge standard western bathroom . towel little dirty bed sheet small bed , even thou clean 4 star hotel ' stay Pune , Chennai Mumbai . there ' 24 hour restaurant ground floor , like indian food ' go enjoy . ' get auto - rickshaw 5 - 10 minute go Connaught Place eat something . hotel omelette toast . the hotel deliver promise , safe clean place sleep . ' look glamour try hotel , ' want spend money , prove good enough . 
 Jun 18 2009 	 yes yes yes ! 	 even easy get ( see railway station road direct ) ' ve find worthy . room basic clean , wi - fi everywhere 113 rupie per hour , restaurant always open , expensive average quality food , outside door pharmacy corner shop . also tourist desk , car rental driver service good expensive , compare other check . sure look Ginger hotel everywhere will go India ! 
 Jun 13 2009 	 good base Delhi 	 Ginger cheap , clean comfortable . the air conditioning welcome May heat city . try 4 bed family room 2 bed twin , fine , twin well bathroom . the 24 hour cafe downstairs useful , good food ever adequate fair amount choice . tell cab driver need New Delhi station , Ajmeri Gate other note often not know hotel name . surrounding not wonderful convenient , metro outside . would definitely base . good family . 
 Jun 13 2009 	 Budget good 	 Hotel Ginger quality accomodation steal low price offer . fact building belong Railways Rail Yatri Niwas may major role play pricing . but makeover unbelievable . simple change make hotel great buy - in business traveller visit hotel good night 's sleep . the room tiny well do . corridor maze blame old building construction . currently accessibility city big problem construction Metro , end hotel hot favourite people travel railway . ginger provide option order food local restaurant nearby also make available menu card , great option want choose variety cuisine . all value money ! 
 Jun 12 2009 	 excellent value money 	 Based Tripadvisor review , book four night Ginger Hotel May disappoint . hotel provide excellent value money . pay double setup another hotel return Delhi June . ginger atmosphere businessman 's hotel , room clean neat staff responsive request assistance . service snappy professional . not sound exciting , trust say will really thankful efficient service arrive 4AM give runaround taxi driver . hotel sort hard find . be back side across track New Delhi Station . Adjacent hotel sort operation involve lot bale cart look like recycling activity probably rail related freight operation . 's pretty look , constant activity make area relatively safe , inside hotel , nice calm . get courtesy bottle water every day . 's internet access , albeit slow connection expensive 113 rupee hour . restaurant not bad . 's metro near . Delhi not beastly hot , hotel within walk distance Connaught Place Old Delhi . place always seem book , book early . 
 Jun 10 2009 	 romantic room 	 hotel magnificent . lovely hard drag away hotel go anywhere . ; ambience peaceful , disturbance anyone . delhi , atmosphere find hotel reasonable rate . overall would say probably good hotel price range r 1000/- per day . heart delhi hence transportation problem . negative point ' entrance New delhi Rly station little crowdy , one peaceful , neat clean room good aesthatic 
 Jun 6 2009 	 nice cute place 	 schedule travel Agra plan stop Delhi couple business meeting . brother try hotel accomodation internet . fancy Ginger hotel keep try room 1 month visit . get one initially . repeat attempt , appear cancellation able book room . the hotel stone 's throw railway station . fly take taxi Station . walk platform hotel . get unbelievable price walk hotel , warm reception desk manner staff reception remind we Tata hotel . absolutely friendly , courteous professional ! go room , see beautiful room spacious bathroom . unbelievable facility price location . tea kettle coffee tea pack provide room . in case get hungry , restaurant groundfloor offer food beverage round clock arrive late night without food help good tasty dinner there . a nice hotel convenient place . planning stay , please make sure book room well advance . 
 Jun 3 2009 	 young independent traveller 	 clean place sleep spot city . expect lot . room small , claustrophobic , single window fully cover AC machine . old , old - fashioned ppl really confuse deal card lock modern tool . area around hotel not safe , quiet clean . near New Delhi station u imagine mess around night . one good thing u metro station corner 24hr Comsume . food not great safe . 
 Jun 3 2009 	 Complete VFM 	 nothing good Value money . easily good option kind traveller . Id give 5/5 
 Jun 3 2009 	 Best Hotel Best rate 	 use visit Delhi quite often use difficult task find decent hotel decent price . last time planning trip Delhi , learn Ginger open New Delhi right next NEw Delhi Railway Station book Ginger . hotel neat clean price think one get well deal . also restaurant , laundry service , LCD tv room , etc . think hotel steal Delhi price offering . 
 Jun 2 2009 	 good value money 	 good value money . family room contain 4 bed . AC , pretty spacious room LCD tv 1000 good . also proximity New Delhi railway station BIG plus . not go infamous Pahadganj hotel . only issue respect booking . do day visit book checkin checkout date . trouble ( wait almost 1 hour ) get room . reception staff manager polite say least . 
 Jun 1 2009 	 Convenient Location 	 good value , conveniently locate hotel next Metro New Delhi Railway Station . it locate North East side Railway Station , taxi driver might find difficulty locate ! already check Google Earth direct taxi driver ! staff attentive restaurant adequate . hey , budget hotel . we stay four night room well clean every day . yes , would certainly return , particularly travel rail . oh , also pharmacy next hotel . 
 May 31 2009 	 find hotel ... 	 one bad experience ! ! ! finish whole day work delhi & amp ; return hotel night . arrangement stay make office Mumbai . tired call hotel serveral time day inform arrive & amp ; check later day , vain one answer phone throght day . when leave head hotel reche new delhi railway station , one seem know hotel locate . try call one . answer & amp ; since 12:30am begin panick & amp ; call colleague mumbai assistance . give nos dial vain one answer . after almost 1.5hrs finally manage ask around & amp ; get hotel . furious . walked realise absoluteley one front desk , phone ringing look around front desk executive come & amp ; ask : help & quot ; give piece mind & amp ; ask kind hotel run . chain affiliate TATA group.i go room apart frm bad experience , budget hotel cost apprx 1000rs . night . room service house keeping . dine self service restaurant . food similar meal alavailable food court mall mumbai . food average price . if low budget place , find ! ! 
 may 22 2009 	 great hotel excellent value 	 enjoy stay Ginger , New Delhi . room compact , clean every small detail take care ( include complimentary bottle water every day , wifi room , internet cafe etc ) facility manage well . food available 24 - hr coffee shop ground level . service slow though food nice . pre - pay auto - rickshaw available New Delhi railway station 3 minute walk away metro station 3 minute away well . issue auto drop 3 - 5min walk away return since metro work make entire road difficult enter . 
 May 20 2009 	 Value money hotel 	 good hotel stay travel business work day two . facility minimal adequate . 
 May 20 2009 	 Great Value Money 	 travel BOM - DEL Rajdhani Express . hotel oppositte New Delhi Railway station within station premise . fine 7 storeye building frill excellent view hotel room . offer great value money . we take family room INR 1000 . room 2 window AC 's , 4 single bed . entire room neat tidy . toilet clean . everything work perfection . property New Delhi offer hotel offer would easily cough 2000 - 3000 buck pocket . seamless check - in check - out procedure . nice room service . 4 bottle mineral water tea coffee kit provide daily basis . nice 17 inch lcd tv take care entertainment need . quality bed , mattresse nice . the restaurant offer limited menu . something improve upon . 
 May 18 2009 	 good business class hotel Mumbai 	 Ginger hotel truly business hotel frequent business traveler like I . they good advantage Ginger Delhi location advantage . the facility provide hotel average . I specially like Ginger concept fan it . I definitely stay Ginger next time India 's capital soon . 
 May 11 2009 	 love staff commitment towards service .............. 	 gud exp .. service ginger mgt .... cost tat iccure can not even imagine service like one get .................. true say tata trustable brand world ................ 
 May 9 2009 	 Decent place - low cost 	 Decent place- reasonably clean locate next railway station .. remember budget hotel thing one keep minda ) carry toiletry ! b ) food available cafeteria like place issue mess bedsheet otherwise ok 
 May 9 2009 	 Good Basic Transit Hotel 	 Basic Service Hotel , right next New Delhi Railway Station , take 4 Bedded Family Room travel 2 kid want Hotel Near Railway station transitte next day Goa Flight . as see Ginger Haridwar Goa impressed cleanliness choose hotel . very Nice Hotel , Location bit bad due Metro work near vicinity , Railway station Parcel office etc make noisy dusty . inside nice . room need little bit care ( guest well staff ) . checkin find Soap dispenser empty take away bu housekepe forgot replace . toilet seat instal High make uncomfortable . size Toilet small . select well wc fit size . Linen good , amenitie ok , size perfect , Restaurant Lobby level good , economical good . good part go anywhere due central Location . 
 May 8 2009 	 good budget hotel new delhi 	 new delhi , area near railway station , ginger good budget hotel professional management.compare hotel area price tag , good one , facility like taxi , food , shop available nearby . 
 May 2 2009 	 love ambience 	 stay hotel awesome excellent room amenities.and economical . jus place outside hotel maintain .. 
 Apr 29 2009 	 Basic - exactly need 1 night 	 initially book go catch train Corbett National Park New Delhi station ( 2 minute walk away ) . however end catch taxi Corbett instead driver sort problem try get front door end parking nearby car park ! 's nice area , definitely would not advise walk around night . it standard stopover hotel , like Travelodge Premier Inn UK . 's pretty basic room , need air con , flat screen tv , tea , coffee water . be clean , check simple 's restaurant / cafe downstairs . be unbelievably cheap £ 14 night money save go drink dinner Imperial Hotel . 
 Apr 23 2009 	 good price 	 like hotel central location , attractive price room provide . it basic , yet , need , clean enough , although provide sheet apart one cover mat 
 Apr 23 2009 	 well worth money 	 great value Hotel similar UK Travel Lodge . party 4 -2 adult 2 teenager 1000inr night bargain . room clean AC fridge LCD TV . resteraunt open 24hours good food although staff rude un anattentive . location great wanting use New Delhi train station 2 min away foot . downside shop around hotel need get three wheeeler order get ( Connaught Place 5mins ) available outside hotel . pharmacy locate hotel premise great . need accomodation require hotel luxury sight seeing arrive 9 pm highly recommend hotel . hotel quite hard find due construction metro even taxi driver know . locate next ajmeri gate one way system . 
 Apr 19 2009 	 Decent 	 hotel decent & amp ; per ginger standard . room good & amp ; clean . locate conviniently esp one want travel NDLS station arive late night . negative side congest & amp ; polute area station & amp ; u can not step snack stroll u desire . 
 Apr 18 2009 	 inexpensive know be get 	 friend book room Ginger save money . come highly recommend friend 's coworker Bombay . however , end stay . drive , driver mutter Hindi ' cheater go ' . , wait check , fellow customer , man , start casually inch close friend . group 3 20 - something woman , two us white . may well perfectly fine , would nice know area clientele book room . later week , friend reconnecte friend Delhi tell we 's locate Red Light district . reaffirm choice return Claridges . couple , man , family - ' m sure 's great deal . woman travel without male companion ... might prudent stay elsewhere . 
 Apr 17 2009 	 Good Place 	 good place 2 - 3 day leisure time . room service quick food satisfactory . room neat & amp ; clean . I would recommend viewer stay place . 
 Apr 16 2009 	 purely Smart Basics ! ! 	 love stay . hotel clean & amp ; proper . good restaurant well . room self sufficient , though small looking spend 3 day here . staff extremely helpful . locate right Delhi Railway Station premise , good train traveller . time , be away hustle - bustle train traveller station . however , entrance little dificult locate 1st time around . entrance way crowd well , come via car . also , light sleeper , Honking night train disturb . less likely . sleep like LOG ! ! general store cum Medical store Hotel complex fully equip , price mrp.overall good experience one-2 nite stay work . 
 Mar 31 2009 	 great value excellent location 	 Ginger need final 3 night 3 1/2 week stay India . it basically indian travelodge , not bother stay want authentic heritage experience , room immaculate ( western standard rather indian ) complete fridge tea coffee make facility , tv , comfy bed , AC , etc . the location outside New Delhi station perfect arriving / depart via station , within walk distance Paharganj Connaught place , short metro ride Old Delhi 's main attraction ( Red Fort , mosque , etc . ) 24 hour restaurant come handy day trip Agra early morning flight back London - staff reception also happy ring meter cab airport travel desk foyer try charge we 1200rs get airport ! 990rs night , slightly expensive hotel stay India worth every penny . 
 Mar 16 2009 	 excellent value bit nightmare outside 	 's Indian TravelLodge . excellent value money , good clean room a / c good clean bathroom basic decor bit echoey corridor . restaurant / snack bar good ( try plain dosa ) . short trundle across car park little gateway New Delhi railway station . can not leave luggage / check - in 's rather forbid leave luggage place station . hotel perimeter fence security guard . immediately outside , be horrendous noisy tide hand cart , jeep , motorbike etc - hit lucky find pretty quiet . get ok taxi know circuitous route entrance . otherwise , will drop right building quite challenge find way . expensive internet . 
 Mar 15 2009 	 nice clean hotel restaurant 	 nice clean hotel good room facility , good location Ajmeri gate 100 m NDRS metro , nice stuff - willing fully refund one mine cancel night , also sometimes act bureaucratically . hotel restaurant different story . work like fast food croissant breakfast like food morning even list menu . fruit salad . 
 Mar 11 2009 	 exceptional value big city ! 	 stay two night early March week later . time room immaculate , stay double room cost 999 rupee per night , room equip Satellite TV , kettle , tea coffee , fridge , celan bathroom shower curtain , rarity India ! problem toliet second visit maintenance door almost soon put phone calling reception , problem rectify . the hotel couple minute walk New Delhi station make perfect early morning train journey . problem taxi driver know hotel , also tuk - tuk driver not know Connaught Place ? ! ? ! ? staff hotel really helpful work really hard keep everyone happy , even call Domino 's pizza us trouble pay phone . 
 Feb 28 2009 	 Value hotel good location 	 good value hotel , clean room close train station . good choice night stay Delhi onward jurney . 
 Feb 21 2009 	 Absolute value money frill locate right next Railway station 	 compact small room wooden flooring , clean bathroom , telephone , air - conditioner cupboard hanger r 999 . standard room mean Queen side double bed , whereas twin bed room two separate bed . also category four bed price people ! room small , one could compare Ibis Europe , dust India make hard keep property clean . complaint . there restaurant ground floor ( Comesum ) serve decent food option . location excellent , next Railway station Connaught place , N Delhi . stay , lot metro rail construction happen around hotel make access slightly round - about . however , could walk railway station early morning stroll bag ( baggage strolley available hotel restrict till main entrance hotel ) 7 minute . the laundry service reasonable prompt - deposit morning receipt evening 8 pm . we book online check easy . helpful reception desk . hotel quite busy due price location , one needs bear that . overall , comfortable convenient stay . 
 Feb 11 2009 	 good value r 1200 	 stay alone wife January 2009 r 1200 . overall good hotel problem get taxi driver find . ' recognize address whether speak write . eventually go every ride , perhaps ten minute delay . forty - five minute car ride airport , ' use rickshaw . room Spartan spotless visit . lobby slightly less clean yet adequate quick stop Delhi . restaurant reasonable food price ( r 60 - 100 / entrée ) , menu limited give meal . 
 Feb 7 2009 	 Ginger Hotel 	 stay Ginger Hotel great . forget expensive bed breakfast hotel , Ginger Hotel frill , great hotel . family 4 stay 2 room family room ( 1000inr ) totally book . stay double 2 single room ( 1000inr ) 3 day . arrive hotel locate next NDLS railway station . chaotic outside . approach hotel gate , security not let car ( security check ) , get , head towards lobby . check bit pain Indians not understand get line get attention . soon give room key go upstairs . bag trolly . room clean , basic necessity . 4 water bottle inside room . Heater AC part room w/ remote control . tv LCD . internet expensive not care hotel catch night sleep . floor consist iron table hallway . hotel lobby superb . order watever want open 24 hrs , indian / chinese / western clean . eat dinner every night sure get sick . hotel also gym meeting room . newspaper free lobby . outside noise noticibly . pick hotel want inexpensive 3.5 star service . 's centrally locate monument , shopping area taxi drive away . since be locate near train statin catch taxi / or 3 wheeler breeze . walk outside gate towards train station , find office 3 wheeler . tell want go prepay trip . negotiate . taxi , black taxi outside talk driver . take taxi airport 400inr intercity trip visitor monuments / shopping do tuktuk ( 3 wheeler ) . would stay ? heartbeat . save money use shopping . vacation use bed night 8 hrs sleep anyway . spend 3500inr bed breakfast hotel last stay pathetic ( house lord ) , spend money Ginger . make sure prebook online want family room ( 4 ppl 1000inr ) 's hot demand . could not get deal take regular room 2 1000inr still great . staff super friendly , go way help . ' ve even get ground transportation group lobby think expensive . medical store exist lobby well . request room high floor great view . see pic location . gem city doubt . come foreign country US headache stay Ginger calm situation LOT . 
