great 	 recently spend night Premier Inn Euston , must say location hotel Euston Station king cross great , go visit Parents Berwick upon Tweed quiet regularly good hotel close station great . need get early morning train , would recomend Hotel , staff polite room clean , breakfast reasonable buffet could eat whatever liked even start 6.30am . I hope help anyone plan stay London . 
 Oct 21 2009 	 good indeed . 	 stay partner 4 night October . find room clean & amp ; tidy comfortable bed & amp ; importantly Freeview . ITV & amp ; CH4 annoy habit break assume result poor signal . Ch5 retune station miss , though reception channel spot on . staff friendly always greet smile & amp ; also helpful . breakfast decent good selection item . could fry cereal , croissant , muffin , fresh fruit , yoghurt coffee , tea orange juice - could ! Breakfast i d eat / drink £ 7.95 although book bed / breakfast free . almost forgot , arrive early staff keep bag locked room & amp ; watch we carefully leave ( always good ) & amp ; also flight home not 8 pm & amp ; although check 12 noon keep bag give we hour walk London luggage free ! 1 small niggle could smell restaurant bathroom evenings & amp ; could smell breakfast morning . ' m assume smell come plug hole etc . overall impressed hotel & amp ; lovely staff & amp ; would hesitate stay ! 5/5 
 Oct 19 2009 	 huge space super friendly staff fast respond worth every pound ! 	 hotel room great . bed large enough room toilet big . staff efficient friendly willing help . help we book taxi also could deliver bathe soap middle night well heater . also clean room miss u go late ... one day 430pm . security tight one require room card access lift floor need one particular get access key . 9/10 ! 
 Oct 8 2009 	 good hotel right Euston station good price London 	 hotel clean new . room large . drawback noise outside hotel . fire station across street , siren hear several time night . bar also across street , hear loud patron . road busy anyway . 
 oct 8 2009 	 comfortable hotel good access Euston Rail Station 	 travel train great hotel near train station lugging bag Underground network . this hotel fit bill well appoint room good wireless connection . food good enough staff work take 2 hour evening meal . 
 Oct 6 2009 	 good location smelly room 	 location near Euston station King 's Cross good travel around Tube . also walkable British Museum British Library . room small , clean . price reasonable . issue room seem fine first , 3 night stayed start smell musty moldy . think fan shower leave window open air . seem get well , also notice whole hallway smell weird musty . room start smell . leave next day deal . sensitive smells , would stay elsewhere . review , ' m assume may floor musty smell problem other not . front desk good answering question , not seem enthuse help . next time , will stay elsewhere . 
 Oct 5 2009 	 say tin 	 want cheapish stay within easy distance Euston station , good bet . acro road main entrance side street . pretty basic decor awful lot purple functional . helpful staff reception restaurant . secure leave luggage facility . room first floor request quiet . although view limit , get quiet - outside noise . Bathroom shower gel / shampoo dispenser fix wall bath - favourite arrangement . shower good excellent presuure . tv freeview station reception poor , maybe tv retune previous day UK maybe one do . breakfast good value much well nearby Ibis ( comparable many way ) . would recommend vegetarian sausage cook specially . cope frill purple decor good budget hotel bet area . 
 Sep 28 2009 	 problem 	 good experience Hotel . good food good service . bed good bathroom spotlessly clean . negative comment . 
 Sep 28 2009 	 great hotel great location great staff 	 stay one night short weekend ym bf 's birthday . 5 minute walk Euston Train / Tube station 10 min walk king Cross . get early enough park back , however cost £ 20 day checkout ! check 12 pm Sunday park road residential street rest day free ! plenty place park , place validate ticket see west end show . type ' parking london ' look theatre deal . drive instead train not constrain time . anyway hotel great , quick check . room nice clean comfortable bed . hotel restaurant , bar , cheeky little unit ti charge electrical item reception ! breakfast next day amazing , eat buffet . eat lot ! definitely recommend , always use Premier Inn 's , never dissapointe . 
 Sep 27 2009 	 Perfect Value 	 overall excellent service - friendly staff ( make change London ) - quiet room , clean , simple bathroom . tv work fine , breakfast nice indeed although London price ! would happily stay , problem . 
 Sep 23 2009 	 beware Breakfast Toaster ! 	 Stayed - convenient St Pancras / king Cross / Euston -this time before / after Eurostar triip . we give front - face room , traffic noise ( frequent ) emegency service ' siren ! not dinner , impressive touch - phone message afternoon arrival ask wish book table / require direction - 's service ! Breakfast Saturday / Sunday ultra - flexible ( 07.00 - 12 Noon ) long day Paris , choose eat 10.30 - another 100 people ! ! 's self - service , three over - work staff attempt clear table look though have duty since 5.00 . toaster work art . work conveyor belt system , ; dial well want toast do . 1 = light brown ( even brown bread ) ; 6 = right ; 9 = flame come top - staff 's reaction ? - ' do not worry - happen time ! ' that drama apart , delightful , frill , in - expensive London Hotel add bonus Costa Coffe concession attach bar great outdoor decking . 
 Sep 2 2009 	 Perfect overnight stop 	 stay one night stay London leave Euston early follow day . can not really fault anyway . service excellent , staff friendly , room big family four prob room . slight downside noise traffic staying side face Euston Road . would suggest ear plugs light sleeper stay main road one busy capital world expect . 
 Aug 23 2009 	 good staff good breakfast issue room 	 check give room 5th floor .. corridor smell musty stale . inside room smell bad although room look fine find bed damp ; seem put wet hope would dry ? ? staff helpful immediately give we new room apologise . fire alarm go 3 a.m impressed efficient staff well manage . breakfast great ... lovely bacon sausage well organise friendly staff ( czech ? Polish ? ) even though lot people waiting manage well . would definitely recommend even though not cheap . 
 Aug 20 2009 	 could fault part stay 	 clean , comfortable , convenient . would recommend hotel without question . we stay . 
 Aug 18 2009 	 great hotel location 	 hotel really good . find little fault . room air - condition really important I m hot person 's always stuffy London hotel . bar nice breakfast lovely , buffet style . lot available everything fresh . the bed really comfy press brilliant - white sheet purple satin throw . window really big block noise well . see effective window open realise noisy traffic outside close again . staff nice helpful bathroom clean smart . room really lovely would definitely stay premier inn again . I manage get great night sleep wake refresh morning . the hotel directly opposite Euston station , small park access London tube train . be also near lot London attraction Harrods , Westminster , London Eye Picadilly Circus . this one well hotel stay London wihtout break bank . impressive . next door lovely italian restuarant go evening meal great . 
 Aug 17 2009 	 highly recommend hotel friendly service 	 recently stay euston premier inn young neice . second stay hotel stay back june . arrive early morning go straight hotel see possible leave bag somewhere return later check . however , reception staff really freindly helpful allow we check early . room spotless , spacious bed comfortable , room ground floor yet hear little noise traffic room well insulate . eat breakfast excellent value also eat hotel restaurant excellent value staff really freindly . location hotel ideal , literally 5 min walk euston station short walk euston square make easy access sight . overall would recommend hotel anyone plan stay london hope stay soon . 
 Aug 17 2009 	 Premier name Premier nature ! 	 ' my wife stay Premier Inn , Euston , one night . wish could stay far long . tour Europe US celebration 30th year marriage , would place hotel top three term cleanliness , comfort , courtesy professionalism . price reasonable , hotel give terrific value money . treat extremely well . make feel like royalty throughout stay . location convenient Euston , King 's Cross St. Pancras ( Eurostar ) station . British Library across road . bus stop right outside serve Trafalgar Square , Waterloo Victoria station , pass central London way . guarantee peaceful night money back . go stay confidence . ' 
 Aug 16 2009 	 impressed service ! 	 convenient location look hotel near new railway station Saint Pancras International . Premier Inn London Euston less 10 minute walk station . I welcome kind smile young lady call Bibi give necessary detail clearly . help several time various question remain courteous . make place feel friendly . the hardware good overall purple color concept hotel nice ! room clean quiet . mattress hard soft , perfect . bathroom clean good amenity . water pressure also good . the next morning find breakfast great service attentive . although pay additional £ 25 late check - out ( 4 pm ) put & quot ; disturb & quot ; sign door , maid knock around 12:15am say sorry explained situation . not feel like nap anymore , go reception £ 25 refunded supervisor without problem . recommend hotel anyone visit London wish near St Pancras . Euston Premier inn great hardware staff kind courteous . sure drop back whenever back London ! 
 Aug 14 2009 	 friendly helpful staff great location would use 	 able leave bag go sight seeing soon arrive , staff helpful time . room clean breakfast everything need . one tip go breakfast early eat around 8 came seem lot people wait . short walk euston station , would use hotel . 
 Aug 13 2009 	 good location good value money . 	 stay 4 night , even though room overlook Euston road , quiet , apart Emergency vehicle ( Fire Station road , also UCH & amp ; e ) . lovely Air Conditioning . double bed really comfortable , lovely bedding , nice 2 pillow . 12 year old daughter single bed room , yet room still spacious . lovely clean bathroom , plenty hot water , comfortable bath . breakfast really good , though queue quite Sunday morning . staff friendly helpful . think critisism enough storage clothe bedroom , especially 3 people room . 
 Aug 3 2009 	 comfortable however staff good friendly 	 room smell dampness mold ( surpisingly bathroom , bedroom ) . twice ask another room reception . third room good , additional single bed consume space . personal good friendly except maid . come door 8:50am , knock three time enter room . observe surprised sleepy face say & quot ; Sorry & quot ; rush . plan sleep midnight careful . 
 Jul 14 2009 	 bad . 	 room size okay . bathroom bite awkward . room nice clean . rusty heating element tea maker make feel uncomfortable use . happy choice pay full english breakfast £ 8 , decide breakfast elsewhere , many choice . 's Costa Coffee shop attach hotel , be also starbuck Pret Manger within block Caffè Nero Euston train station across street . also choice nearby king cross train station . not see grocery store neighborhood , except small Sainsbury near Euston Square underground station . staff reception desk could not answer tourist attraction question not many tourist attraction brochure , neither train station , research come . one reception desk staff tell scale weigh luggage , go check , tell not . little fridge room . previously stay Premier Inn eat restaurant , since restaurant area ( unless take taxi get one ) , since food so - so , decide eat restaurant time . glad air conditioning room . toilet paper well airport . use least ten sheet one hotel . nice flat screen tv . like hotel color . 
 Jul 10 2009 	 Nice Chain Hotel 	 Premier Inn typical chain hotel . nice , comfortable , extraordinary . except mattress . extraordinary . hotel pricey class probably due location . hotel close St. Pancras International king Cross make travel around city easy . although hotel busy street , one totally isolate noise thank double window room . plenty restaurant nearby . real negative hotel cost internet service . 5 pound per hour . 
 Jul 7 2009 	 great location room ... not mind little noise 	 Stayed one night ahead business meeting . hotel literally minute walk Euston station great need easy access national rail tube service . check straight forward reception staff friendly . room huge especially consider budget hotel central London . ' ve stay lot hotel London ( three other Euston area alone ) room double size nearby upmarket hotel room put partner back February . room bathroom spotless ' ve instal new air conditioning unit . room look onto Euston Road fair bit traffic noise would recommend ask room away main road get earplug be light sleeper ! breakfast standard Premier Inn breakfast always okay nothing special . overall hotel ideal need near Euston Kings Cross / St Pancras want stay room big cardboard box ! 
 Jul 7 2009 	 spacious comfortable room friendly service 	 right near king Cross Euston Stations , easy get use tube short stay London . room really spacious , comfortable . two child , one extra bed supply , mattress ground . people might like , kid happy bedding . room clean fresh , great air - conditioning room . staff friendly . , restaurant downstairs , although eat breakfast , notice people great time evening , live band perform Friday night . 
 Jul 4 2009 	 back another stay 	 overnight visit business . staff really helpful welcoming . breakfast excellent . make mistake accept ground floor room 2 metre traffic busy Euston Road . room public area spotless . I expect return . 
 Jun 28 2009 	 Premier Inn London - Euston great place stay . 	 friend stay Premier Inn London - Euston brief two night visit . hotel situate right across street Euston Station convenient train well tube , make navigate London easy . room clean comfortable staff accomodate . frustration outlet room . bring curl iron US , along adaptor outlet . adaptor fit outlet Birmingham , first part trip , would work hotel . not upset , though . one thing . 
 Jun 28 2009 	 want place eat sleep ... ? 	 family stay Premier Inn several night summer ' 07 ( review obviously belate ) . clean , comfortable , relatively quiet -- much expect city . bathroom decently size , nice wimpy one have Copenhagen ! staff courteous helpful necessary , though not require much . breakfast ample every morning , satisfied 13 year - old son 's ' grow boy ' appetite . love London anyway , Premier make experience pleasurable ! 
 Jun 24 2009 	 Convenient 	 Booked hotel base theatre sight seeing trip London . staff good nothing much trouble always helpful . the location choose close Euston station , not realsie tube station site rail . prove good advert public transport take we 5 minute picadilly circus . hotal 5 minute stroll location ideal . the room standard Prem Inn comfortable good sized bed tv work Shower Toilet bath etc . bar well staff meal look reasonable although drink reasonably price . we feel price room little high other well worth standard good . 
 Jun 14 2009 	 busy Efficient Value Money Hotel London 	 Standard premier inn . clean , value money , friendly staff , good breakfast , convenient position , great couple night . know expect , disappointed , return know everything work staff friendly helpful . 
 Jun 13 2009 	 clean tidy quiet 	 stay business trip find hotel clean , tidy quiet . check in / out breakfast fine . hotel busy location quiet ( something find hard find London ) .The wifi Swisscom usual issue / pricing access internet service . ' easy walk central London location plenty tube station bus area travel around easy . 
 May 31 2009 	 Convenient - mouldy 	 choose Premier Inn Euston early Eurostar train morning . convenient location , overall room clean look , bowl smell mould room . damp literally feel like sleep tent . £ 100 / night really not acceptable . ' ve stay Premier Inn Tower Bridge find agreeable money , next time will find place bit drier less smelly ! staff friendly bring attention , offer move we room face side building next night stay opted cancel , willing risk . 
 May 31 2009 	 great value - what need ? 	 stay Premier Inn Dukes Rd , Euston 3 night last week May . the hotel conveniently locate 5 minute walk away Euston main line station also stop northern Line tube embankment station . the hotel would win prize architectural elegance typical city block , that s design do . what provide good value , clean , comfortable , accommodation respect , fault . room air condition bathroom powerful , hot shower ! room general public area standard Premier Inn . clean , comfortable functional . the staff could fault . efficient , pleasant , smart appearance always willing help . the hotel attach Costa Coffee outlet also house restaurant area breakfast dinner . breakfast pre pay purchase required day . Wifi available though complimentary . all , comfortable stay day , tend use premier Inns one easily pay much yet get poor standard . Premier Inn , always sure get . 
 may 20 2009 	 great budget hotel beware restaurant ` ` deal '' 	 husband stay night first trip London . location convenient underground station Eurostar station . staff reception incredibly courteous professional . many time throughout stay , rely ' local information ' disappoint - great . room no - frill ( read : bring shampoo ) . however , come Paris , we , size room HUGE ! overall , room nice , quiet , clean place come back long day sight - seeing . as far restaurant concerned ... pre - purchase breakfast night 's stay 7.95 pound , overall fairly good deal . breakfast assortment actually quite good include egg , bacon sausage , bean , tomato , bread , muffin , fruit , cereal , etc . offer , unfortunately accept , offer dinner hotel one night 20 pound per person ( believe price may also include breakfast ? ) . nonetheless , set menu offer dinner varied , finally arrive something . make long story short , take 30 minute wine deliver table ( ask two separate waiter 1 ) take order 2 ) deliver appetizer ) . also , upon give choice would like beef cook , deliver , nice charcoal - y grey color tasty charcoal briquette . one thing keep go Waiter # 1 inform we seat dessert chocolate fudge pudding ( would not look forward ? ) . , sit table 20 minute food , politely inform dinner include dessert . Argh . I would recommend hotel friend budget alternative London . would also recommend breakfast , dinner : ) 
 May 19 2009 	 Good London Hotel 	 fith stay London ( 3rd review london Hotel ) Hotel one well one . staff reception friendly open recieve we . book hotel package travel service ticket map present desk . room cousy clean . also restaurant nice choice like eat something hotel . the hotel close international Eurostar Trainstation ( St Pancras ) also major hub Tube - network . 
 may 14 2009 	 Decent hotel convenient location 	 book short notice , spend lot time look various hotel book site try find decent deal somewhere central good review . nowhere really stand . decide check Premier Inn , come slightly cheap similar hotel , good review , probably important . stay 4 night , not problem . not prebooked breakfast , go along twice , problem , pay turn . think £ 7.99 breakfast , could get coffee croissant takeaway . info room mention third option continental breakfast £ 5 , not available . Breakfast always busy , reasonable selection usual hot / cold stuff . also warm microwaveable porridge order . do not eat hotel evening , eat nearby . room reasonable size , bathroom fine . everything seem clean good condition . slightly noisy night due right next Euston Rd close fire station . small safe room pay think . iron ironing board available near lift . location convenient ; 5 min walk Euston station , St Pancras king Cross . 15 min Russell Square Regent 's Park . check British Library and/or Wellcome Institute , close free wi - fi ( nice cafe latter ) .hotel couple pc need check email etc , 20 penny per minute . ' ve also get thing reception charge type phone £ 1 time , could handy . service always friendly helpful . able leave bag hotel check collection later . would stay without hesitation . 
 May 10 2009 	 pleasant stay staff excellent 	 wife return pleasurable stay Premier Inn London Euston , Duke 's Road , Euston , London find experience memorable . aspect reservation depart special . reservationthis undertake telephone operator professional , helpful give lot assistance . number issue neede clariication would resolve fully explain . ArrivalOn day prior arrival hotel receive text confirm reference number give detail , e.g . evening meal cost , etc . on arrival hotel staff polite , helpful smile face , yet still professional . arrive early morning leave case prior visit city . check pleasant exercise aspect fully explainedroomour room overlook Duke 's Road quiet triple glazing , ( sure quiet room overlook Euston Road ) . everything require stay available clear helpful notice . clean extremely well decorate relax colour . bathroom clean water hot time . barwas nice return night theatre relaxing nightcap , pleasant surrounding , staff good . restaurantwe decide breakfast ( book arrival ) , prove excellent decision . arrival greet smile waitress , other , buffet system explain together location type food . food high standard limit much could eat . DepartureAgain professional , although siling face still visible . overall excellent experience shall certainly stay next London 
 May 6 2009 	 love Premier inn one terrific 	 wife base April 26 May 3 . every time walk week , staff front desk smile say hello . room clean check spotless every day return sightseeing . breakfast buffet five morning enjoy . night go bar nightcap read paper staff friendly accommodating . good safety feature need room key access elevator . Premier Inn ideally locate right Euston Kings Cross station . one station go anywhere . nearby good italian restaurant Prezzos . east good restaurant Euston Flyer O'Neills . right block Premier Inn must see attraction -- amazing british Library stunning collection rare book document . ' ve stay Premier Inns Dublin , Belfast London enjoy visit . thank Simon , Elvio staff Euston enjoyable visit ! 
 May 1 2009 	 great hotel convenient location excellent staff . – recommend . 	 stay Premier Travel Inns disappoint . one major plus point we Premier Travel Inn know exactly get hotel disappoint . we give room 4th floor overlook main road quite noisy check 3 pm Friday afternoon much quieter overnight need ! room large ( especially London ) , clean , comfortable look fresh . arrive check - in busy even though three staff reception – still take little five minute though . staff encounter hotel extremely pleasant seem genuinely interested enjoy stay . an early evening request extra pillow meet ' sorry delay housekeeping busy – may wait 10 minute ' ! ? ! ? ! arrive within time frame – excellent service ! opt breakfast hotel excellent – one well ever hotel £ 7.50 . hotel location also excellent – less five minute walk Euston station underground ground train service plentiful bus . 20 minute walk Leicester Square / Convent Garden would rather walk get tube . overall great hotel good location excellent staff . 
 Apr 30 2009 	 good value location clean ! 	 first trip London , idea expect hotel read . room close tube , clean , large enough walk great price . bathroom nice long tub soak . would recommend hotel look nice , clean place stay . 's fancy , barely room sleep take bath . go say another premier Durham disappoint ! breakfast also good money ! would stay ! 
 Apr 26 2009 	 Good 	 stop hotel two night April 09 find good hotel . stop number Premier Inn 's past not expect anything else . hotel perfect location , Euston & amp ; St Pancras International Railway station ( short walk ) . hotel right next busy London road , one thing would put choose , room barely let noise . noise hear siren , city 's much surprise . overall good hotel would recommend . 
 Apr 21 2009 	 excellent value money ! ! ! 	 travel Northern England meet business associate unfortunately meet cancel last minute . I return train Euston day walk smart look modern hotel half - expect would able find accommodation . I pleasantly surprise find room available reasonable tariff Central London . room spacious neat double glaze window job muffle traffic noise Euston Road . attach bathroom also comfortably large . the buftet breakfast wholesome include tariff . it must difficult find central london hotel conveniently locate two mainline station comfortable almost every respect . I definitely make point stay whenever return London . 
 Mar 31 2009 	 great connectivity great value 	 last minute , mean really last minute , trip London , Premier Inn first hotel room available 3 night . con , opportunity get direct St. Pancras Russel Square find hop one fully book hotel another . this hotel locate 3 minute walk Euston Station , connect well train , tube bus . reach destination quickly . St. Pancras near , 's short shift main airport . the room clean , bed good bath / shower delight . flat screen tv , need one be visit London . ventilation major flaw whole experience , something improve . can not imagine get well summer season ; - ) party people : Scala street . get ticket advance prepare long cue . 
 Mar 26 2009 	 Great Location 	 hotel great location access London Euston Kings Cross station . number local shop food place within short walk . our issue hotel room get really hot despite leave heating try cool room , cleaner put heat back day . also room , window could not open make matter bad . the room comfortable clean little small perfect need . hotel great location ideal base explore London night . 
 Feb 23 2009 	 say tin ! 	 clean efficient no - frill hotel need visit London room somewhere sleep ... cheap would stay - special thank staff change room previous occupant smoking ( illegal , hotel 's fault ignorant smoker ) breakfast good standard , lot choice not fry up free kid . 
 Feb 23 2009 	 perfect short break - kid 	 get back London stay family five two room . arrive give room opposite end floor far away kid ( teenage slightly young ) . ask adjoining get room opposite side corridor - fine . room clean big eonough . staff always polite curteous friendly , despite weekend obviously busy . breakfast good value ( kid eat free adult Breakfast £ 7.95 ) eat much want . gripe decaf coffee . hotel 100 metre Euston Station underground busy Bus route site short ride away , plenty restaurant around not fancy hotel restaurant ( not can not comment ) . price long weekend stay good value - remember base central London . late return train able leave bag hotel explore last day . wouild hesitate go . 
 Feb 20 2009 	 disappointed time 	 use stay lot really rate hotel . time problem . have ask quiet room , ut give one next man whose endless phonecall could hear bedroom wall . give another room , something wrong heating could hear someone urinate another room . I use stay fifth floor , tell room available . stay meet female colleague say fifth floor reserve woman . true ? ' ve come across plicy another Premier Inn Wirrall . be true , 's blatantly sexist . breakfast usual disappointment . Luke - warm bean , shrivel bacon , cold egg . come Premier inn well 
 Feb 17 2009 	 one problem ...... 	 feel really bad write great review , major letdown last night . we book Premier Inn use one . sister two young child come London visit night . 4 hour train journey . book family room week ago , four we . arrive 2 pm tell family room be not ready . fair enough , leave bag go London look around . child tire 9 pm make way back tell linen have not arrive would wait ! ! ! ! end staff give we two room separate floor . tired . 1130 pm time get key ! ! good young child . have not see month separate . keep tell lucky charge one room , even , case should ve able book two room civil time . consequently , child knackere full day London next day ! ! ! ! ! ! ! ! ! good point whole episode put we completely off . the room spotless , although spell clean fluid overpowering . get room face main road , prepared abulance whiz past every 20 minute . the bar lively friendly ( need drink ! ! ) breakfast great . want many time , kid eat free . the staff amicable , even could not believe it . it along time use , shame . 
 Feb 12 2009 	 Location location location 	 hotel perfect location business trip . need hotel near St Pancras station Welcome Trust Euston Road pretty much perfect - 5 minute walk . room big - double single bed room - bathroom pretty big . breakfast nice plenty choice . booking include free evening meal restaurant colleague fancy curry not eat restaurant dinner . one negative - room two control heating . one work one not . guess one entrance room ? one hide away around corner next bed ? yes , be right . spot one not work go bed set temperature 21 ° c . unfortunately correctly work control set chilly 17 . wake cold . so apart problem heating would recommend hotel business trip . 
 Jan 8 2009 	 excellent location explore London 	 treat take two teenage daughter London New Year 's Eve sightseeing watch firework midnight . hotel excellently locate explore London . 's short walk Euston Kings Cross tube station . reception staff friendly helpful breakfast good value . child 16 eat free three eat breakfast £ 8.00 well worth ! room clean bed comfortable . disturb guest traffic noise . would recommend Premier Inn Euston anyone look great budget hotel excellent location . 
 Jan 5 2009 	 Loyal Customer PTI 	 total agreement positive review ; stay again . there one sour note . lot extra luggage hand , ask front desk call we taxi take we nearby Tube station Russell Square ( ten minute walk ) . get shady crook taxi operator want £ 15 go short distance continue lie luggage capacitie normal taxi cab , special holiday rate , etc . refuse give business waste time lie crook , simply walk Euston station ( 5 minute walk ) get normal taxi driver drive back pick wife luggage take we Russell Square Tube station less £ 5 total . so beware want get taxi location . other note . Taxi Kings Cross Tube Station ( also ten minute walk ) PTI £ 3.the breakfast buffet £ 8 look like interesting deal . price though , interesting meal find number pub short walking distance . 
 Dec 14 2008 	 Great Location London Stopover 	 stay 1 night 29th November , get eurostar early next morning . we pay £ 90 room , think great value money location Saturday night London . the hotel 2 - 3 min away St Pancras station king Cross , cafe restaurant dote around nearby . the room modern , clean nice furnishing comfy bed ! staff nice helpful able check room early , great . the downer lot condensation window room slight damp smell , Euston Road side could open window try get rid this . overall though good budget hotel ( room much high quality travelodge ) . novotel across road approx £ 120.00 night , think want quick stop Premier Travel Inn much well value . 
 Dec 9 2008 	 Pleasant overprice 	 Needing somewhere stay close Euston one night , choose hotel . it pretty expensive standard ( & gt ; $ 100 ) , comparable hotel area . the hotel modern , looks recently refit . room nicely decorate , stylish , modern , clean . there small LCD screen tv , really comfortable bed . the window not open , probably noise Euston road , not really notice overnight tired . however , previous occupant must smoker ( even though room non - smoking ) , never really get rid smell . the odd thing - bathroom not toiletry ( silly explanation customer really prefer ... pay upwards £ 100 night , would expect little something perhaps ) . instead , public - toilet style dispenser hand wash toilet paper - feel little clinical there . overall , smart clean hotel , really overprice . city country , get much money . 
