class 	 arrive hotel cold sunday afternoon greet friendly staff , free steaming hot chocolate marshmellow . great way warm room functional , clean comfortable . great view , return Chicago would hestate stay . staff incredibly attentive polite , business centre free internet access big plus . 
 Oct 8 2009 	 trendy comfortable hotel right Michigan Ave 	 stay one night , Chicago business . front desk efficient pleasant . upgrade everyone group suite ( prompt require ! ) . room spacious , long hallway , separate three distinct area : entrance way , desk / work area bedroom ( two huge flat screen tv ) . excellent view city , great location lot shop dining option outside doorway . hotel bar also nice , small cozy . look like special happy hour deal , miss . would definitely recommend hotel , hope stay next time ' m Chicago work . 
 Oct 7 2009 	 Nice hotel great location ! 	 location hotel super , doorman bell boy attentive . minor pay ( $ 9,95/24 hrs ) wireless internet connection . surprised stay various hotel / motel 4 - week trip 13 state total ( include city like NYC Boston ) everywhere internet free . , correction : Motel6 pay $ 2,99/24 hour . hey , nightly rate $ 60 , - one expect . rest fine ! 
 oct 4 2009 	 miserably disappointed .... 	 visit Allerton past weekend girl trip . say disappointed understatement . visit Chicago many many time year often stay many fine hotel Magnificient Mile . yet stay Allerton , tell last time . say one thing .. great location . extent pro be . girlfriend first time Chicago excite experience old hotel like Allerton , however embarrassed . from time arrive ( pour rain ) valet bellman could bother help we . unload entire car , actually yell get attention come valet car . would think almost $ 50 night valet would somewhat attentive . offer take bag room even hold door , bellboy continued conversation amongst watch we struggle pour rain . we go 2nd floor ( odd checkin ) front desk , greet lady whose name escape . pleasant enough , seem uninterested problem . explain happen offer we & quot ; free breakast & quot ; insult small continental breakfast ever see , toast , crossaint , juice coffee . $ 5 additional upgrade even disappointing buffet . so back point , find & quot ; great rate & quot ; priceline.com pay full price would left right sheer principle , . could not . get tiny tiny elevator , make room fume . never drag luggage , soak rain room hotel caliber Thursday evening almost 9 pm . open room , think bad joke . 2 double bed , could barely walk they . , tv position could watch bed . bathroom large joke , counter space shower zero pressure . seem like bad movie . bed feather mattresse extremely uncomfortable . one pro hotel offer 2 glass wine bar happy hour , bartender totally aloof arrogant . then topper one tiny bar soap bathroom shower , none sink . also want charge internet access room . want drag laptop lobby free there . the hotel remodel , clean . clear management allow customer service bottom priority . I travel extensively business leisure , accustom hotel appreciate business treat we guest . unless last available hotel magnificent mile , would recommend give money . 
 Oct 3 2009 	 great location - great service 	 three friend recently stay Allerton fun . reviewer right mark say location great - right middle everything . able walk almost everywhere want go . metro close . take advantage upgrade opportunity receive advance . dollar , able get small suite . perfect size three people . two nice sized room , sleeper sofa 2 queen sized bed . even though know 3 we would stay room , consistently give enough towel 2 , linen pull - out sofa . call housekeeping , need deliver quickly . not big deal . not know elevator one previous reviewer take , 18th floor breeze right every time . free wine bar 4:30 - 5:30 special treat ! great time Allerton . complaint trio friend ! 
 Oct 3 2009 	 tiny Room big comfort 	 Omni across street book solid , look across street see Allerton . friend stay Omni , take room Allerton . two could apart . although friend wave room , feel Allerton decade away upscale chain Omni . Allerton 's sign top building give traveler hint Allerton - Tip Top Room use one hot club big band era hotel retain much Art Deco feeling . real character . , build single traveler , room tiny - & quot ; petite classic & quot ; description room . bijou , spotlessly clean , nicely lay upscale amenity - lcd tv , wireless internet , robe , room service , etc . fluffy comforter bed perfect chilly Chicago night . despite small room , look Michigan Avenue great view Magnificent Mile . bathroom beautifully do retro style tiling fixture ( great showerhead ) , shelf space toiletry really undermine feel luxury . still , location can not beat money , great value . next time Chicago Allerton 
 Oct 2 2009 	 Location Location Location 	 girlfriend stay four day Allerton . could not stress enough great location 's . everything walk distance block away metro . fly Midway take metro way Downtown . walk fly block 's Allerton . be surround famous deep dish pizza joint restaurant imagine . 's block away Hancock Building dinner drink top floor spectacular view . the room little small big deal . shower amazing . great water pressure high end soap go . not plan hang room , petite room good enough . fitness center modern . elevator pain . might wait awhile . also little cramp lot luggage good luck . would major complaint . think would come back epecially price pay . 
 Sep 28 2009 	 fantastic value unbelievable location 	 return weekend anniversary Sept. 25 positive experience . valet parking ( pricey worth ) staff guest , everyone incredibly helpful good natured . hotel good vibe . tip : apply optional upgrade , mean suite available upgrade $ 15 . ( standard room $ 99 . ) get one indeed first class . hotel classic old architecture , restore perfection love detail not mind small space , real joy . twenty floor , street noise , ( right Michigan Ave . problem . site restaurtant expensive worth . valet parking room , come $ 150 night , great right avenue , much expensive hotel right across street . favor check . plan return year . 
 Sep 19 2009 	 Allerton Hotel New York Chicago ... 	 Chicago : Allerton Hotel - Chicago . September 17 - 19 , 2009 husband visit family Chicago want spend couple day downtown book trip online . Allerton come four star location , think would good deal . experience leave thing desire . hotel old renovation nice . valet bellman accomodate could wonderful . pleasant greeting check - in be pretty much good time end . arrive room standard room small hotel room stay visit New York not think possible . bed must full size bed little walk space either side . bathroom not real counter space toiletry must left desk . turn bed back linen fill soil spot . call inform front desk , woman short , not apologize let know would send housekeeping . call back 35 minute later one show speak manager apologetic send immediately . assure would follow make sure thing satisfactory never . welcome Allerton ! hotel clean location could not well look comfort say , keep look . 
 Sep 7 2009 	 wonderful Stay - Loved Art Deco Feel 	 take romantic trip Chicago Labor day weekend . Allerton PERFECT location . walk almost everywhere city . could recommend wonderfully situate hotel . decor splendid , art deco chic . love lavender smell entry lobby area . room look MIchigan Ave . stay 6th floor . believe previous reviewer maybe little misinformed floor beautifully remodel one floor high 5th . disagree previous reviewer negative rating service well . anytime request service information prompt whole staff informative . room small , recommend upgrade large room . believe small room call & quot ; Petite & quot ; try upgrade . blow dryer , high end shampoo conditioner body lotion . also , dock IPOD alarm clock . beautiful decor , great service , perfect location .. highly recommend ! back . 
 Aug 24 2009 	 Dismal Service 	 can not beat Allerton location , even Motel six beat customer service ( least service receive ) . arrive , business trip , distract seemingly unhappy desk clerk put terrible room , tuck behind elevator ... tiny ... dark ... bed go one wall , climb across cross room . call request another room . put different floor type room -- smell dank unpleasant . not go back desk demand well , sunny , room get one . desk clerk not look happy , however . indifference ( even feel like hostility time ) characterize service entire four day stay . 
 Aug 17 2009 	 happy ! 	 book room week ahead suprise rate still able get hotel nearby sell . go 40th birthday , go special reason make sure note reservation . give couple free drink free breakfast ( miss ! ) . also take advantage e - upgrade send we . worth big room minimual price increase . parking seem high place stay past , al least valet . elevator slow , 16th floor . overall happy . great location . great staff . great pricing . go back . 
 Aug 9 2009 	 amazing value great quality fabulous location 	 know expect reasonable price pay . would dump ? turn , room impeccably decorate - though quite small . location could beat . right heart Magnificent Mile - walk distance many attraction . breakfast hotel quite expensive , lovely irish pub call Elephant Castle right corner plentiful reasonably - price breakfast .. travel 5 child , lovely stay . would definitely return . 
 Aug 4 2009 	 great stay issue 	 book reservation website get hotel late night lady frontdesk inform room overbooke thing available 2 room opposite end husband sleep one room 1 kid sleep room furious pay advance fofr junior suite apoligize that s could minute tell go work sudden say specialty order bar sink do not work agree take room long family together agree say next morning would move room book , get room find bar sink bathroom sink do not work next morning call front desk ask room ready gentleman talk say do not move do not want agree stay room mention bathroom sink say problem going send someone fix day well stay 4 day sink never fix never complaint think well maybe fix tomorrow husband happy brush tooth bar sink 4 day shavewith mirror stay fine . 
 Aug 3 2009 	 Location breakfast buffet great not make issue 	 stay take IL bar exam , 10 colleague mine stay well . specifically request room 4th floor make reservation month . check , lady try put 16th floor , argue tell email send state detail reservation specific request . eventually put room 4th floor refuse take anything else . clue rigamarole . would leave not low floor . elevator total JOKE . wait 10 minute one first day , take stair rest 3 day stay . always see bunch people wait elevator . stairs cool , woman stay city alone - probably safe . simply walk street stairs rest hotel floor . lock door lead stair . yes , room door lock , would want take chance hotel floor intruder ? cleanliness forte . seat area check - in desk nice , sit , notice buildup dust mantle behind . check room , tv remote desk FILTHY . clean use . final day , drop something bed bent pick , see cigarette butts , hair dust bunny tv stand . clearly , someone clean see let everything else get GRIMEY . , hotel suppose completely non - smoking well - would think would clean cigarette . 
 Aug 3 2009 	 expect ! ! 	 stay allerton 7 - 27 - 09 one night wait room also give we wrong room biike double suite give king 2 kid sleep sofa bed , whe ask sheet one come give we go find house keeper get self . the hotel nice clean good location like shop , guess complaint would front desk . 
 Jul 29 2009 	 Great Location 	 good thing Allerton location . within walk distance shopping , major attraction restaurant club . take public transportation get Navy Pier even bus stop 3 4 block away . my room & quot ; petite bedroom & quot ; name imply small . travel alone fine would probably tight couple . furnishing sleek modern . love flat screen tv miss dresser drawer put thing . like work , fitness room pretty decent . several treadmill , elliptical machine stationary bike well variety weight weight machine . bowl apple provide grab one snack later day . all , pleasant stay Allerton would recommend traveler . homework try get good rate . use quickbook expedia hotels.com offer comparable deal . 
 Jul 23 2009 	 small Room Big Location 	 come Chicago conference , hold Sheraton look save money room . location hotel excellent , easy walk distance lot restaurant store . walk conference back daily . stay many small hotel room big city , opt upgrade room size book Allerton . well , would hated see small room ! corner nice , barely room move around bed . even go back check - in desk make sure get assign upgrade , nice . well , upside room clean convienent . elevator slow cramp . good hotel home base sight - see buisness trip , good want lounge room travel family . work we money , overall . 
 Jul 22 2009 	 Great Location Service 	 stay six night conference hold hotel . location could well , right & quot ; Magnificent Mile , & quot ; near Omni Peninsula hotel . service staff attitude among good american hotel ' ve experience . room renovate , spotless , comfortable , flat - screen tv , etc . problem , forewarn web site , historical hotel . consequence room , though renovate , quite small contemporary american standard , rather like hotel Paris Tokyo . disappoint coffee machine room . otherwise , stay great . recommend ! 
 Jul 21 2009 	 great location great value ... stay next time Chicago 	 get fantastic rate hotel overnight stay Chicago . review seem kind mix we rate # 90 ish TA , kind concerned . check late , around 11 PM agent unable upgrade we reservation promise compe we free bfast . the concierge , bellman check agent tremendously pleasant helpful . the mext morning , fantastic bfast . travel extensively business stay good hotel major city NA .... bfast good staff attentive friendly . as state already , location excellent . our room clean , smallish true . the acid test always clean bathroom importantly shower good pressure . King Jr. suite 22nd floor water pressure good . I highly recommend hotel . 
 Jul 17 2009 	 Great Location Great Service 	 must admit little concerned reading review . book Allerton Priceline 5 night July . check offer free upgrade large room . must admit & quot ; large & quot ; room still quite small , would expect old hotel downtown Chicago . key hotel room exceptionally clean . staff friendly always greate we walk . parking quite expensive use vallet service . recommend parking . parking ramp $ 13 cheap per night block away . around nice place stay . 
 Jul 16 2009 	 nice location ... nice service 	 's hard beat location hotel . 's right MI ave . get great rate season cheap upgrade suite . however , service pretty crappy . not think anyone smile we . 
 Jul 12 2009 	 Tiny Room 	 stay one night Nov - thank goodness , room small , will not rush back . 
 Jun 29 2009 	 Quaint nice 	 stay Allerton Valentine 's day weekend 09 ' . must say nice hotel . although small , staff friendly accomodating . originally book ; believe refer & quot ; mini & quot ; room .. ( do not quote ) upgrade we free charge normal size king bedroom . hotel locate GREAT location ! Michigan Ave . shopper paradise . nice restaurant , nice staff , nice room service . reasonable price short notice trip .. ( book orbitz.com ) would stay , would reccomend . 
 Jun 25 2009 	 Disgusting . 	 fiancee look forward trip , sadly disappointed . we greet rot food refrigerator . call front desk send maintenance person , clean refrigerator , spray appear Febreze . offer new room whatsoever . apology . settle realize hairdryer . our problem seem greet 3 a.m. smell cigarette smoke bathroom hotel room . regardless smoking floor , notify . guest floor clearly take & quot ; smoke floor & quot ; literally two afternoon row , smell marijuana smoke pour room . 
 Jun 21 2009 	 Boutique Hotel 	 great location . room small hotel stylishly decorate . cleanliness room maintenance issue need address . overall satisfied would stay . 
 Jun 21 2009 	 great location so - so hotel . 	 stay weekend June location great , hotel clearly take advantage location offer less . rate similar loop location . carpet room filthy , , dim lighting mask ! room slightly large queen size bed . room small desk , much . temperature outside 85 rainy , feel like room . think thermostat placebo effect . really need cool , dry air combat humidity , . , would stay somewhere else . pay $ 51 parking night , could stay somewhere else take cab money . 
 Jun 19 2009 	 Nice hotel convenient location 	 stay hotel recent business trip . room small nice . location convenient Michigan Ave shop Rush Street restaurant . staff pleasant 
 Jun 19 2009 	 good location worth price 	 book meeting - organizer think would like historic aspect hotel . lobby public area indeed stylish , room . room REALLY tiny . one wastebasket , keep move desk bathroom . lot hall noise , A / C also noisy bathroom fan deafen . neither room phone remote control work stay , staff cool friendly . parking food expensive . hotel great location downtown attraction , overall experience impressive . 
 Jun 17 2009 	 beautiful hotel shame service . 	 stay one night stop catch flight NYC follow day . hotel fantastic , room big , separate lounge area , great bathroom big shower two big television . Eventhough spend previous 36 hour train , bed sooooo comfy ! thing wrong room either could not find safe not one . stay long one night would want safe room . location spot , walk everywhere evening visit . service front desk , good . go enquire shuttle airport next morning way dinner , lady give we phone number , explain badly need order arrange instead offer phone we call we , make take trip back 9th floor make call ! not particularly impressed , especially hotel not cheap one stay . 
 Jun 14 2009 	 good place Magnificent Mile Chicago 	 decent Hotel offer great location & amp ; great value money . offer fast wifi , great help person business trip . the room small & amp ; food cafeteria poor 
 May 22 2009 	 great . 	 room super tiny . two bed close together might well one bed . carpet shabby , rip dirty looking . wait hour past check - in time get room believe would sit lobby even long not complain . like forgot wait . lobby common area absolutely georgeous room like another building . bellman make scarce might ignore . would definitely stay . 
 May 20 2009 	 neutral - good bad 	 boyfriend stay Allerton night Easter weekend . sum stay : good - location , price ( get great package deal Orbitz ) , cleanliness . bad - room size small sufficient ( mind , apparently get upgrade Queen bed convince since double bed home size queen size ) coffee maker room go lobby ask get coffee direct we lobby bar charge we $ 5 cup ... 's bit ridiculous consider starbuck locate across street . would return ? yes - get deal . will remember ask coffee next time around ! = ) 
 May 11 2009 	 Great Location would stay 	 friend stay 3 night . first time Chicago , want something easy access shopping , lot thing place eat . Allerton disappoint . we able walk almost everything want ( park , navy pier , shopping , restaurant , etc ) . take bus Bucktown , stop right near hotel . the staff friendly , though not interact much . the room good condition clean , layout awkward , allow person far side bed much room walk side ( less foot ) . two girl , not mind share one bed , hard get around without disturb one other . we impress fitness center . several cardio machine ( bike , elliptical , 4 treadmill ) tv screen weight machines/ free weight . clean always plenty towel . bright airy not overly crowd there . the restaurant hotel ok . good food , really good place ' night . ' overall , would happily stay Allerton ; good value we . 
 May 8 2009 	 excellent location great quality reasonable price 	 hotel right centre Loop - heart Chicago . within walking distance Theater District museum . great spot , excellent bathroom ( wall marble ) . tiny room , fridge , - hey ! - , excellent location : ) ) ) fitness centre 25th floor overlook city , business centre 24hour access internet - open guest room card , wifi additional charge . 
 Apr 21 2009 	 Nail Clippins bed fluid stain chair uck never 	 travel large city like NYC , LA , SF stay wide range Hotels experience wide range good bad service type room . say place take cake look nearly nice picture web site . say complete renovation July 08 , ok even year ago . furniture room bust stain god know shower caulk peel fall shower floor . sink toilet stain like rust floor around faucet . carpet room thread bear rips hole middle room . wall hall scratch bust wood trim filthy look door etc . combine make call & quot ; nice & quot ; hotel appearence dump . price list find MUCH MUCH well elsewhere . pic post later . use stay cheap roadside hotel place might think palace . trust . plus staff rude helpful doorman ignore we entry bag bar tender take cake rude . would say stay away Hotel . oh also nail clipping bed sheet towel leave layer linen like dust body hair . riduculous coudlnt take show dry towel without cover layer white lint . plus check ask room view plenty say entry , think cool lucky , upon entry room view fire escape .. nice job lady . sure good laugh co - worker ( slacker ) . 
 Apr 20 2009 	 Loved Allerton ! 	 stay Allerton weekend anniversary entire experience wonderful . staff fantastic . every single person talk great attitude . room 12th floor - two set elevator . noise problem . hear sirens time time , water run fro time time , nothing serious . great view Water Tower Hancock building . room long narrow , well proportion . small - ish , downtown Chicago . want big room , reserve suite . we walk around corner Corner Bakery great meal . hotel also block Gino 's East - favorite . enjoy shop Michigan Avenue , go back room need rest , back shopping . hotel right middle everything . ideal place stay . definitely return ! 
 Apr 14 2009 	 Clean Friendly Great Location 	 book trip last minute expedia , booking go read review ( guess do first ) bit apprehnesive reading review question wether go comfortable stay particular hotel . happy announce wonderful trip begin end , room clean , staff wonderful , location unbeatable , make comment regard size room bit small however certainly cozy comfy .. let face anyways go Chicago spend time hotel room ? ? 
 Mar 30 2009 	 Weekend Stay 	 arrive Thursday morning around 9 check not 3 hold luggage say would call whenever room ready . eat breakfast shortly front desk call say room ready whenever get back 10:30 . book King junior suite room first give suite queen bed . go back front desk accommodate give another room want overlook Michigan Ave . price pay , could not stay well location . right middle everything . quality room good . 3 window could easily open , bed feather topper little pokey sometimes otherwise comfortable , bathroom clean slight peel wallpaper towel hang . Saturday night order room service . meal order take less 30 minute arrive good . call back 10 minute receive meal see anything else would like everything ok . place tray hall finish within short time obnoxious guy stay next room break glass . old hotel wall door thin hear everything around . could hear everything ( 4 ) guy could sleep call security . security guy come 10 minute later talk help ever . another thing WIFI room $ 9.95 per day free lobby / restaurant . 
 Mar 19 2009 	 beware ! beware ! 	 price room leave disgration unfriendly staff . beware ... hide charge later show credit card bill . parking include price warn . check advise park require additional $ 50.00 deposit phone , tv , etc . top room rate . never mention must pay additional fee $ 51.00 per night parking . pay cash room parking charge see next credit card statement charge parking garage amount $ 51.00 say tip . phone reservation require give credit card number hold room charge ever want without permissionand never present card sign anything . 
