not 	 stay 1:30 a.m. one night , stress hotel ( cost ! ) especially worry review place whether could find affordable , centrally locate , nice hotel London . wish go bed early night , hotel fine . not grand- simple , small , clean place sleep . not awful , either . would book ? yeah , probably price right . however , would not go way book either . LOCATION- would not say & quot ; centrally & quot ; located- maybe walkable Kensington Palace , be . however , 7 minute walk two different tube stop ( district , central cirlce line ) , be really matter London . breakfast- purchase Veneer breakfast include price- would ' ve extra 8 pound . , instead , stop Spar near tube stop purchase banana cereal bar . much cheaper allow we get go pace . SIZE / AMENITIES- stay room 37 . small- be american , imagine typical guest bedroom bath . however , personally not care large room 'cause active siteseeing . room include nice large hair dryer , shirt press , hot water pot instant coffee tea , large closet safe . tv cable , 5 station ... , not matter we , might other . BATHROOM- Decent size , deep tub . really bad shower pressure . tile loose floor . include lot counter space towel warm . STAFF- always seem nice enough . problem , not go way super kind anything , either . let we leave bag & quot ; luggage area & quot ; arrive early a.m. check time . luggage area really open shelf . worried hubby first first put belonging , get back later evening , luggage shelf full noone tamper luggage . NEIGHBORHOOD- street Tube exit / entrance bustling area lot food shopping . restaurant obviously gear toward tourist , unique spot , include authentic Chinese Mediterranean . be also indoor mall , mark big & quot ; W & quot ; outside near Bayswater Tube station also notice consignment shop , discover late visit . ... be late read super worried accomodation ... book ! 
 Feb 26 2009 	 friendly cosy hotel country feel ..... 	 pleasantly surprised smash quiet little hotel tuck away side street minute walk Queensway Tube station ( Central Line ) . need stay overnight whilst attend training course Pall Mall , find hotel convenient economical . save battle back forth train save another costly fare midland ! load eatery nearby Queensway handy pub serve good food around corner . staff exceptionally friendly sorted glitch tv remote double - quick time ! lovely quiet room ground floor ( Aynho .... room name stately home ) warm , clean well equip ..... small double may find compact expect competitive price London ! big bonus ( Byron fan ) hotel contain Lord Byron relate furnishing painting , poem bust etc complemented country - feel hotel . greek visitor London wish experience presence one national hero ( Greek War Independence ) would feel much home ! 
 Feb 19 2009 	 great hotel - helpful staff clean room 	 stay hotel group friend , London see show . staff incredibly friendly helpful . room nicely decorate whole place really clean . perfect place stop London . luxury hotel dos not pretend need good place crash busy day ( evening ) can not go wrong . 
 Feb 9 2009 	 Good could well ..... 	 Byron decent hotel generally would stay could get decent deal . would certainly stay pay full price display reception desk . suppose 4 star hotel . sure exactly qualify 4 star would say fell bit short mark . plus points.1 ) Location . near 2 underground station Hyde Park . immediate area quite lively modern shopping mall decent shop pub . 10 minute foot Kensington.2 ) room generally clean well appoint . shower good . tv , tea coffee facility , complimentry shower gel soap . 3 ) price – get good deal.4 ) staff friendly . minus points.1 ) room small . enough room stand around one side double bed – although storage room adequate . 2 people could end trip double.2 ) carpet dirty need replace cleaning.3 ) sound insulation poor . wake several occasion people room move staff prepare table restaurant . 
 Jan 30 2009 	 Horror Byron 	 quite time since stay Byron horror experience never leave astonished read many fairly positive review hotel maybe pull 's sock . bad hotel ever stay ( include third world country visit ! ) . single room small could barely squeeze suitcase tiny gap end bed ( nowhere else put ) . bed feel though shop window display close window . television attach wall ( surface put ) remote control work . however ultimate heinous horror lie await return function London attend ( therefore late anything ) , sheet clean pubic hair , towel bathroom . as result experience , first thing arrive hotel check sheet ! follow stay , hotel politely contact e - mail ask enjoy visit , reply detail experience receive courteous reply manager offer free night future stay two night ...... suffice stay never remotely tempt accept offer ! 
 Jan 26 2009 	 Great Location 	 stay hotel 18th-21st January nice break half . bit disappointing outside , know , 's 's inside count ! ! ! strict check policy - arrive 1.40pm inform welcome store case lobby , check 2 pm ! much problem Bayswater Queensway doorstep , one & quot ; Subway & quot ; sarnie later back check . room - name country estate - small would major negative hotel . decor lovely , bed comfortable bathroom clean modern , nice , strong , hot shower . however , double bed push one wall mean whoever draw short straw side bed master series move get without disturb person side , 3 am be burst loo not good situation ! ! however , not unusal London would not put stay again . Breakfast , , bit boring . whilst nothing wrong theory , think could choice cereal cornflake museli , fresh fruit would nice . however , staff friendly attentive without & quot ; face & quot ; choice time could go breakfast - put preferred time day - go right 9.45am ! hotel info room states & quot ; conservatory & quot ; & quot ; bar & quot ; - ask meet blank state one member staff , tell not conservatory bar - mmmmm . not bother we , not book hotel bar , know people would dissapointe . the hotel excellently situate - two tube within walk distance bus Bayswater Road take straight west end . tour Kesington Palace Royal Albert Hall - tip , be travel rail , look 2 1 site national rail enquiry website get voucher Kensington Palace worth £ 12.30 per person ! ! ! ! definitly stay hotel , although agree another review nice 3 star , 4 star . 
 Jan 18 2009 	 BYRON HOTEL ...... great weekend . 	 good stay Byron hotel , room small comfortable , clean tidy , hotel birght welcome staff friendly helpful . the hotel location far attraction local ammenatie doorstep . 
 Jan 11 2009 	 good ! 	 spend 4 night hotel , everything fine ! staff nice room clean make every day . bathroom comfortable , clean , large warm . maybe room could bit small big - size person big luggage open . breakfast good , different kind cereal , bread , toast , juice , coffee , tea , yogurt , jam ... could even order continental breakfast . if ever return London , surely choose hotel ! thank ! 
 Jan 8 2009 	 London : Byron Hotel good quality / price ratio choice 	 stay London good . Byron Hotel good choice . price high compare good level comfort offer . hotel position fantastic : near two metro station ( Queensway Bayswater ) allow reach quickly quite main city atraction . 
 Jan 6 2009 	 like standard b 	 stay Byron boyfriend 3 - 6th Jan 09 . expect something bit market usual London B & amp ; B be mean 4 star hotel . however , really not anything special , certainly 4 star quality ' m afraid . good point : friendly staff , clean room , clean bathroom powerful shower , modern bed linen . bad point : small room , ( stay 004 ) big enough double bed ! four star would expect maybe snack bar , room service offer hotel serve breakfast £ 7.95 per head . hotel tiny bit disappoint look ordinary . lounge nobody use , small although look quite pleasant obviously never use . expect facility thing offer hotel like say 4 star mean bit special 3 star really much different bog standard 3 star small B & amp ; B be around London . serve purpose B & amp ; b classy country style hotel claim . 
 Dec 8 2008 	 Location warmth secure clean great shower great price ! 	 Excellent hotel . originally book couple day , end come back another night later week good quality value . I pay approx 65 quid night , book directly hotel 's website , double room nice size . single room quite small , second stay book , however , arrive late night double free , say could stay instead want . 's great hospitality , ensure will come back , also tell friend . highlight - strong hot shower . important 5 degree less outside . good central heating . quiet room ( be face road ) . good soft bed nice linen . clean , rareity central london . the Byron Hotel prove get reasonably price quality accommodation centre London . 
 Dec 1 2008 	 Communication issue 	 stay London congress 26 - 30 November 2008 . pay holiday part journey , price room quite important factor . aware , find budget accommodation London meet least ( hygienic ) standard , nearly impossible . therefore , quite happy find hotel TripAdvisor . review extend positive image , though prepare small room . book room directly hotel website quite pleased find special internet promotion time , stating & quot ; room breakfast include & quot ; £ 400 4 night . 's & quot ; budget & quot ; reasonably get London . moreover , location seem quite good , near congress venue near tube . decide give go . though receive reservation confirmation , state & quot ; room & quot ; . time not really care much think thing pretty standard , i.e . adapt temporary promotion . upon arrival , meet reception cordiality treat perfectly fine . way early check - in time , could leave luggage enjoy London . time hear someone check - out though hear pay extra breakfast . huh ? well , think might & quot ; promotion & quot ; . return check - in time complete form etc . say quite astonished hear & quot ; breakfast include rate & quot ; . mention receptionist think , state would cost £ 8 extra per person . £ 8 , time decide would certainly breakfast hotel , cheap option around corner . decision lack good communication , price . say , room small indeed , point impossible put 2 suitcase ( 1 regular , one suitcase hand luggage , be small one ! ) way one could pass bed . ( book standard room ) . moreover , notice 4 day row red & quot ; decorative & quot ; pillow bed clean . room small thing - guess small room one another option put small bed . admit rather tall ( ' m 1m78 , boyfriend 1m86 ) , extraordinary foot stick WAY ! quite uncomfortable ... last least : room get invariably hot even though heating . conclusion : think price hotel way high service offer , though staff friendly not notice noise problem mention another reviewer . then , ' m afraid problem London whole ... 
 Nov 27 2008 	 highly recommend - Quality service - excellent location 	 inform last minute need go London Business meet several client . familiar Central London look 2 night stay close tube . look internet study map come across Byron Hotel . telephone ask single room 2 night start evening . extremely helpful , tell could park , tube station give clear direction . arrival check park correct area outside hotel explain would need move car 8 am morning could put car NCP car park remainder stay low cost 40p per hour , round corner . stay lovely double room beautiful ensuite bathroom . nicely decorate clean . morning full english breakfast customer service excellent . this excellent hotel perfect location visit central London . staff friendly helpfull . would highly recommend look forward next stay . 
 Nov 26 2008 	 sincere honest service provide cosy comfy hotel big 	 stay double room 2 single bed son graduate University Kent Canterbury . room well decorate heating ( appreciate November 2008 ) toilet clean worthy mention . everything expectation breakfast facility serve smile staff obliging . proximity Queensway station Hyde Park make easy us access tourist attraction like Kensington Palace , Globe theatre , etc . airport transfer 40GBP chauffeur drive Mercedez limousine end stay great send - off . shall certainly bring family stay future . Helen Chin practise solicitor Malaysia 
 Nov 23 2008 	 lovely hotel noisy night ' m afraid . 	 book hotel read review tripadvisor . hotel great location , room nice , clean , bed comfortable , book executive twin also please find although room small , use seperate room next seat area tv ( well flat screen tv room ) .We stay one night , everything seem fine try get sleep . sadly constant woooshing lift noise air conditioning ( even though turn ) , plus loud buzzing fuse box wall make difficult get sleep . even close window due sound ( assume ) air conditioning unit outside . maybe unfortunate 5th floor room 43 , have book 2 night would ask move different quieter room . apart , staff great helpful , overall hotel nice would not go back value sleep . maybe unfortunate particular room , also random ring phone another reviewer mention . 
 Nov 19 2008 	 Nice Hotel 	 really great ( expensive ) hotel ! wife , bad experience horrible hotel time ago read bad review various hotel London afraid expect . thankfully , fear true . building seem renovated , room stay perfect condition . room little small , , fact , like , since cosy ! location hotel , next Hyde Park , convenient . finally , hotel staff professional , helpful , polite . would definitely stay Byron Hotel sometime visit London ( really nice , interesting beautiful city ) . 
 Nov 18 2008 	 nice room small 	 stay 4 night Byron . first stay centre London . can not compare hotel . my husband book Byron mostly due review website . little bit disappointed room bed small . clean . bathroom clean small well . find everything need , even electric kettle ( appreciate ) . disappoint internet service ( connect work purpose slow could not work . fortunately accept ask payment . ) .The hotel well locate . service breakfast good . place quite . what specially appreciate london style building . you will idea expect watch picture website . 
 Nov 17 2008 	 Excellent Value London 	 find Byron Venere.com , site ' ve find reliable good quality less know accommodation Europe . staff friendly , accessible knowledgeable ; room quite small manage feel cramp , clean comfortably furnish . location near 2 tube stop make get around easy , be amazing variety good restaurant around corner . single woman , feel quite comfortable stay alone . pricey London , excellent value front . 
 Nov 13 2008 	 Excellent hotel . 	 excellent hotel every respect . would definitely stop again . very close 2 tube station . room comfortable clean . staff extremely friendly helpful . excellent breakfast . 
 Nov 12 2008 	 nico place stay 	 Byron 5 night . hotel good locate near two undergroundstation ( 3 line ! ) near Kensington park shop small restaurant . the room proper , fifth floor shower toilet small , especially 1.93 tall ! ! ! breakfastroom breakfast good . staff Byron friendly . 
 Nov 11 2008 	 pleasant stay 	 pleased hotel . need triple room room adult & amp ; 2 kid include teenager . get good sized twin room adjoining room double sofa bed , table & amp ; chairs & amp ; tv . Teenager happy ! cooked breakfast include although continental look bit limited fruit tin . staff helpful & amp ; stay . hotel central . 5 minute Queensway & amp ; bayswate tube station . also 3 minute pick stop London sightseeing bus . one problem airconditioning not work 1st night room wason 5th floor ( via lift ) hot . problem sort next day . room bit noisy due furnace / lift make noise regular interval night . sleep fine . good place stay would go back . 
 Nov 6 2008 	 really good hotel 	 experience Byron Hotel good : room clean , furniture quite new , gentle receptionist 's 5 min away 2 underground station . also additional request ( room high floor , baby cot , etc ... ) satisfied . 
 Nov 3 2008 	 Classic Pom 	 well locate classic english hotel . clean welcoming though smallish room bit challenge . overall good value money would probably stay location bayswater Rd . safe area frequent backpacker not put good vibe . plenty restaurant around catering . central , close two tube station , nice walk Paddington Station close Kensington Gardens . 
 Nov 3 2008 	 Byron - great value central London 	 Byron 4 - star family hotel around corner Queensway Tube Central Line , 50 metre Bayswater Road Kensington Gardens . find staff friendly helpful room comfortable . offer tariff less £ 80pp night , include generous english breakfast . real value money ! 's certainly hotel return regularly - convenient everything central London situate quiet street . real bargain ! 
 Oct 30 2008 	 10 thumb family : ) 	 experience one extreme satisfaction . be family 5 ( child 11 , 12 & amp ; 15 ) . happy impressed accommodation , location , cleanliness , etc , warm friendly demeanour staff . furthermore , hotel within a15/20 tube ride heart London , situate close Hyde Park & amp ; Kensington Gardens , offer amazingly competitive rate . as holiday accomodation , visitor encounter problem time ( maybe set bar high ? ) . hotel minimise risk provide service meet basic requirement allow enjoy stay London competitive rate hide charge . everything , agree term price stay , confirm email rest assure holiday success . many Thanks staff . 10 thumb family : ) 
 Oct 27 2008 	 would definitely stay . 	 Byron Hotel locate sleepy Bayswater / Queensway , well away hustle bustle city center , easy underground bus ride main attraction . room tight , clean . husband could not stand shower , anyone 6 ' problem . front desk helpful friendly . ever be London , will try book Byron . 
