Love 	 hotel gr8 renovation , need gear service standard ............... 
 comfortable 	 stay Lalit brief weekend trip Delhi . positively surprised . room spacious decorate good taste , service discreet much . suit well scandinavian traveller . 
 great stay ... 	 bad stay . location ok , exactly middle thing , be fine . room 22nd floor overlook city nice . complaint reservation not ready get wait input computer again . otherwise , room clean , food service excellent great view . breakfast good real complaint . 
 Sep 19 2009 	 impressive ! ! 	 Hotel Lalit beautiful new room . client impress service . Mr Ravindra Kumar , F & amp ; B Manager courteous always make sure client go back satisfied come back Lalit next trip India . always impress Ravindra . send regular mail remind we interesting event , gala dinner hold Lalit .. great way touch client various country .. promise Ravindra Kumar recommend client stay 15 room night month September 2009 . yesterday get feedback client service impressive Ravindra staff hotel take good care . japanese client feel like home .. thank Lalit thank Ravindra .. 
 Sep 16 2009 	 Beautiful hotel 	 stay Lalit partner recent visit India . hotel impressive high ceiling modern furishing . nice facility especially swim pool gym equip new good machine . room clean comfortable . staff polite . many nice restaurant hotel , breakfast good wide spread food , dinner Wok however food expectation improve presentation taste . excellent location minute away famous bengali market . 
 Sep 15 2009 	 overall satisfactory minor problem 	 stay three night Lalit . mix experience stay . minor issue besides everything go well . book travel agent get good rate room inclusive breakfast . the location hotel really good five minute railway station Connaught Place . convenient shopping load restaurant around corner . Taxi charge r . 50 auto rickshaw charge r . 20 go CP . Taxis available time rickshaw could hire outside hotel . the lobby breathtake nice waterfall , huge painting pianist , everything lobby spank brand new . room 19th floor great view room really old especially visible bathroom old tap , rickety shower , watermarks chip wash basin . problem air conditioning make noise get fix one day cable go well fix promptly . minor issue five star fix beforehand make difference good great stay . the breakfast really good ; buffet style indian american option . ton different item bake good well . food prepare fresh several cooking station . the attitude staff great always willing help smile . Wifi available r 200 30 minute . sign twice use 10 minute , upon checkout bill Rupees 850 state use internet hour could explain charge sign half hour option . going argue $ 10 say check find problem . we bite let little issue , thing expect hotel try compete Taj Oberoi . overall satisfactory stay Lalit probably stay great location . 
 Sep 10 2009 	 Fantastic Hotel 	 recent stay find Lalit great hotel stay New Delhi . modern beutiful lobby , great room , great restraunt / bar & amp ; lovely pool area . staff always friendly & amp ; helpful bed soo comfortable ! pool area nice lot lounge choose , gripe alcohol would serve pool , much cocktail & amp ; swim ! 4 block walk distance shop / market minute tuk tuk ride 40 rupee . price food hotel feel little top India , though beautiful food , buffet die & amp ; expect 5 star hotel . this hotel deserve 5 star , would stay , great choice 
 Sep 9 2009 	 intimate 5 star business hotel 	 usually stay Park Imperial book place change . good gym , small perfectly form , new machine . bar uber trendy pretentious . good standard / choice food buffet / a la carte . really like feel hotel another huge , anonymous 5 star hotel rattle around ( although approx 500 room ! ) . definitely use . 
 Sep 3 2009 	 good service good value Delhi 	 stay Lalit three time now . the continued update building good . pool terrace available trip nice . small oasis calm middle Delhi . downside pipe music get nerve . staff friendly service good . room service food restaurant a'la Carte menu always joy . when first stay large range breakfast buffet ' ve ever see . unfortunately seem get small relie process pre - packed product . might minor point attraction early visit . possibly seasonal . WiFi / internet price high . business centre printing price extortionate . 
 Aug 28 2009 	 absolutely delightful 	 really like property . location excellent hotel 5 star delux would say . bargain get steal . room classy upgrade superior room request reception . even late check give .reception good helpful . 
 Aug 17 2009 	 Nice Hotel good room 	 nice hotel heart new delhi . travel friend . nice room . the hotel helpful help we get information newdelhi , recommend book nice restaurant . but cup kettle room verey dirty do not wash well take care , , see wash good befor use they . bathroom verey cute problem shower basin water stick .. internet verey expensive .. 
 Jul 27 2009 	 excellent place 	 well room extremely good , staff nice , 24x7coffee shop great , choice breakfast well ever india . in short ... excellent hotel .. 
 Jul 21 2009 	 Best Hotel Stayed 	 initially plan stay Lalit day February move another place , good experience end stay trip end June . what make experience memorable kind service family receive . fall ill 2nd 3rd day one housekeeper learn , ask need medical assistance . tell would fine , thank . later evening , receive phone call somebody -- front desk , believe -- ask feeling . next morning manager ask connected doctor , prescribed medication . receive sort attention say lot level service , continue extended stay . everyone bottom top — from porter , waiter , housekeep upper management -- treat we like vip . hotel , ... reviewer mention , hotel beautiful decorate contemporary style . the standard room comfortable good size . like furniture decor . hardwood floor nice touch also function well keep room cool . long , hot day , would love return room turn large flat - panel tv sit comfy bed . although plenty dining option outside hotel , 24/7 & quot ; coffee shop & quot ; locate lobby level serve need rarely bother eating . run well , service excellent stay . wait staff attentive always friendly chef , , would often drop ask food , eager feedback . breakfast buffet nice -- 's possible selection may vary depend whether be tourist season , regardless offer continental indian fare . bakery next 24/7 coffee shop also nice . there restaurant hotel , must say Baluchi restaurant great . food good , 6 day week live music perform night . would sometimes go listen ghazal turn night . the fitness center , open 24 hour day good , quite exceptional hotel -- free weight , machine ( include Smith machine ) , treadmill bike well small yoga / stretching room . next fitness center spa lovely swimming pool , open begin March . the location excellent . far tourist destination . fact , could see two historic landmark ( India Gate Humayun 's Tomb ) hotel room window . within walking distance main Connaught Place circus market -- main Connaught Place center , well small Bengali Shankar market . also close metro station . 5 - 10 minute walk hotel , though also plenty auto rickshaw outside hotel ground along way prefer walk . overall , hotel lot go . great experience , although never hear Lalit hotel chain prior visit , would certainly wish stay return Delhi . 
 Jul 14 2009 	 Beautiful Hotel Exceptional Service Great Food 	 stay Lalit week Delhi past spring would HIGHLY recommend traveler visit city . hotel absolutely beautiful staff phenomenal . overall , without doubt one good hotel experience ' ve date . -staffthe Lalit 's staff perhaps set apart hotel , seem go beyond hospitable hotel 's guest . everyone extremely friendly always willing go his / her way ensure properly take care stay ( especially wait staff 24/7 restaurant downstairs ) .-RoomsAs far comfort go , Lalit 's room would expect really nice hotel US Europe . think set apart other level cleanliness ( immaculate ! ) room . also , room stayed beautifully furnish modern decor , make pleasing aesthetic standpoint well . -locationthe hotel locate centrally , Delhi 's Connaught Place district . great close many main tourist attraction ( Humayun 's Tomb , India Gate , etc . ) , certainly far other . give traffic situation Delhi , prove advantageous throughout trip.-diningthere least two three restaurant house hotel , however never venture beyond main & quot ; 24/7 Cafe & quot ; , eat least two meal day . menu reasonably - price extensive , offer American , italian , japanese , course , indian dish . perhaps good part restaurant ( aside fact open hour ) daily breakfast buffet , offer wide variety fresh fruit , cheese , pastry , cereal , egg / omlette , much , much more.-fitness Center / SpaAlso worth note Lalit 's exceptional fitness center , offer number exercise option wonderful equipment ( free weight , weight machine , elliptical , treadmill ) . additionally , also offer kickboxing class , well yoga . also spa attach , though make use it.-pooljust outside fitness center gorgeous outdoor pool , even order food beverage snack relax water . 
 Jul 10 2009 	 Pleasant ... good bed side delhi 	 good bit hotel even though Connaught Place , still remove enough madness . 10 minute walk CP inner circle janpath similar metro station . ideal business traveller much Cp business district like next door . also refreshing room ( though touch work little sketchy place - leave much desire ) rain head shower , bath tub , clear class partition room washroom ... clam simple . the minibar leave much lot much desire , mean 4 can soda two bottle water , please gim sm . comfortable bit room 2103 bed ... good bed sleep mattress divine say least soft right amount , pillow really nice ... one comfortable night cap ever hotel . I try bit breakfast whatever nice ... wall patchwork do really visible bedside , sm woodwork need new varnish still really nice stay . oh one thing maybe maybe could ppl front desk , wait good 15 minute three could maybe tend checkout ( perform smone actual front desk staff ) . 
 Jun 22 2009 	 Excellent 5 Star hotel 	 really first cladd hotel , business pleasure , spotlessly clean , excelent service . outdoor pool perfect . food good - especially choice buffet breakast ( make sure include rate ) - fresh fruit , omelette / egg cook order , japanese - course indian ( ' e new India , safe intro joy dosas , vadi , bhajis , uppam etc ! ) . spa World class - price accordingly ( ie cheap ) .The newly renovate room upper floor everythig could ever need - great bathroom , massive flat screen tv etc . tip : use black & amp ; yellow taxi 's get around ( negotiate fix price ) - lalit car may air - con - also least 5 time expensive . 
 Jun 22 2009 	 need train support staff 	 stay comfortable , support function good . Delhi business trip hence spend much time room though . check couple time due work schedule . got different room time therefore able experience variety . reception , always good room allot even request . support staff terrible need severe training . one manager reception helpful , even credit card system operational . overall good experience , need put act together give positioning . 
 Jun 18 2009 	 Lalit well situate .... 	 friend stay 4 day late November . Lalit formerly intercontinental ; take indian hotel magnate Lalit Suri . book reservation Intercon surprise see Lalit sign flag front - think cab driver drop we wrong hotel ! happened arrive day new name unveil . the entrance hotel almost right street , ground speak . hotel lobby beautifully decorate modern flair enormous painting Suri family . check smooth , although staff especially pleasant . hotel several elevator , always seem long wait catch one . room modern well appoint . stay standard room 2 double bed - little cramp , comfortable clean . hotel cosmopolitan feel , traveler many different country . meet people Africa , China , Europe Australia US . situate 15 min walk Connaught Place within short driving distance many historical modern attraction . great restaurant bar serve international fare Connaught Place - ask concierge hotel make reservation you . our big complaint dine Lalit . buffet restaurant right main lobby , not much variety food good . wait long time server take drink order , dish clear away timely manner end crowd table . also pastry shop time sell coffee small pastry could grab run . 24/7 Bar serve food / snack buffet restaurant open , stuff serve buffet . we also try eat Woks hear good thing , wait 2 hour still seat . get late get take take back room . , food disappointing - greasy tasteless . needless say , eat site . overall - nice , well keep hotel , well situated . service passable . find place eat . 
 Jun 17 2009 	 Excellent Hotel Convenient Part City 	 great large room ovesize modern bathroom . nice view well . eat two hotel restuarant , WOK top floor surpass expectation excellent food , though slow service . cafe 3rd floor mediocre good . service excellent throughout stay . would definitely recommend hotel business leisure . 
 Jun 13 2009 	 business friendly hotel 	 good business hotel , right heart delhi.situate CBD CP / Barakhamba road close Barakhamba metro station , hotel smack business opulence . stay almost three month become gold member priority club . the deal normally around 10k INR per night though might rise upto 15k busy season.it one two heated swimming pool delhi . okish restaurent coffee shop lavish spread breakfast . good thing quality room - lot gadget , transparent glass bathroom wall clean look entire place . I recommend . 
 Jun 7 2009 	 Loved Bathroom 	 stay hotel month April ' 09 . hotel magnificent love bathroom glass wall . lovely hard drag away bath room . hot busy , could not wait get back peace tranquility bath . expect nibble breakfast lovely continental spread cheese fruit pastry etc . quite difficult fit meal ! hotel lobby splendid good decor & amp ; ambience . 3 thing would like hotel look : - interior room need do . room wall hd crack & amp ; patchwork painitng clearly visible shw hotel right perspective.- thing would like highlight hotel still loyalty program & amp ; tie up airline . little bizarre consideing tough competition industry in.- Airport pickup & amp ; drop charge ...... something weird find ! ! view one journey could charge , ! ! overall would say probably good hotel stay late . perhaps convenient business Gurgaon ! ! want mix good food , service odd trip connaught place absolute must ! ! pay heed suggestion .... Lalit definitely go long way fulfil Mr. Lalit Suri 's dream ! ! 
 Jun 4 2009 	 great service 	 Lalit period 2nights . visit Delhi business purpose decide put Lalit . decision wise service render pleasing . the staff extremely courteous . food authentic delicious . extremely happy service & amp ; shall always recommend Lalit everybody . 
 Jun 3 2009 	 Best business event 	 - stay calm- staff good- excellent place business events- food , excellent real taste india- location : middle Delhi- Airport 30 40 minute away . 
 Jun 3 2009 	 nice stay 	 much expect . go Delhi attend national meeting . company opt stay hotel lalit . ambience hotel gud . service fast courteous . I like food dining hotel much . 
 Jun 2 2009 	 great new location old refurnish classy hotel 	 lalit new version Old Intercontinental hotel use . take new management , hotel much mark.great place , absolute 5 star ... ciaoronak 
 Jun 2 2009 	 Advantage Location 	 hotel heart Delhi good term location logistic . the food returant place fingerlicke good . the room sufficently large spacious washroom . the gym spa place really good . overall good hotel heart Delhi 
 May 22 2009 	 look good many niggle ... 	 February 2009 see first stay renovate Lalit several stay ' old day ' . arrival hotel look impressive not really live expectation due number small problem . check slow complicated frustrating arrive 10:30pm . travel indian colleague endure lengthy ( unnecessary ) form fill exercise apparently part procedure . although hotel renovate old lift remain rather slow one pet hate . room well decorate comfortable bed huge flat screen television . however , reviewer mention , proximity railway station make rather noisy night . although busy say breakfast superb enormous array food cater taste dietary requirement . another problem come check significantly UNDERCHARGED bill wait correct . overall comfortable well look Lalit , need work bit hard small thing , particularly reception . 
 May 21 2009 	 Grand ..... 	 think hotel stunning .... see site people poor service well experience ... miss bathrobe room one day need go swim one less 5mn upon request . I use service gym , spa , swimming pool , traditional indian restaurant everything delight .... consider 43c visit hotel peaceful refreshing bustle heat city 
 May 20 2009 	 really good hotel stay 	 find service poor staff reluctant entertain guest . locker room work reception ask keep passport . retort telling keep passport locker room . tell locker working , say sorry can not keep . not either change room get locker repair . this hotel near railway station difficult sleep train hoot away whole night . 
 May 10 2009 	 Perfect Business Spot 	 perfect Business hotel heart city . hotel great SPA visit use facility . resturant big spread menu food average . lot place hang around near shopping . 
 may 6 2009 	 love new decor hotel 	 visit hotel business visit pleased arrangement . hotel renovate ' great atmosphere mix business pleasure hotel . room good enjoy stay . problem STAFF friendly , room service take lot time time staff confuse ask anything , bit rude bit attitude problem say . overall well equip , good food , great bar perfect place business well staff . 
 May 2 2009 	 love 24/7 	 like overall experience ... moreover visit 24/7 frequently .. I m love totally ... coz get liquor 24/7 .. name suggest ... 
 May 1 2009 	 Good Hotel Business Traveller 	 good - quality business hotel convenient location excellent dining option . 
 Apr 29 2009 	 Hate place 	 crazy stay . book two night family , possibly bad stay ever . checkin etc smooth , first evening , air conditioner entire hotel go . schedule maintenance going suppose go couple hour initially , go till next afternoon . in Delhi 's heat , five star hotel give we torrid time . staff run fan could even open window . the staff help much . end argue regard fare charging . gall present full bill check . make furious . terrible , terrible , terrible . one positive thing hotel 's good location . willing walk step , CP almost next door . 
 Apr 28 2009 	 Better Renovation 	 Lalit come New Look Renovation , Rooms much well location usual good close many office . restaurant also nice 
 Apr 25 2009 	 Great experience 	 totality great experience . food , stay really satisfy add , sleep really well really long work schedule . service restaurant good . hotel secure . 
 Apr 25 2009 	 great place 	 stay presidential suite 1 night due unavailability space . rate 400 usd per night , matter since client pay ! one good experience life . complementary wine , jacuzzi rest service first class . brekfast excellent well . decor fantastic location hotel perfect access central New Delhi . recommend anyone want stay upmarket place 
 Apr 20 2009 	 do not touch mini bar ! 	 go without say suppose , tired frazzle day travel think revive G & amp ; irresistble clock price hotel . R900for gin spirit add tax top . know charge . also beware buffet , average though , cost R1770 . expect excellent service price , take hour could get room wrong key card issue 3 time . 
 Apr 17 2009 	 intercontinental touch miss ... 	 , go hotel , part priority club probably independent name Lalit . intercontinental touch go , service level go find people aloof . breakfast use one good exhaustive . able amintain far , however see people little disorient . maintanance gym swimming pool also go poor . 
 Apr 17 2009 	 Lalit good value money 	 lalit major overhaul renovate room well appoint large flat tv , glass wall bath shower area huge glass window give view city . elevator still upgrade wait sometimes long . food upto standard old hotel ( Intercontinental ) . breakfast bore one fresh juice one can juice option . usual egg sausage ( smoke salmon ) indian paratha dosa etc . the mini bar flavour water Rs 175/- total rip . hotel give 2 small bottle water per day adequate . staff bit uncertain time , check take long time . all good hotel modest price New Delhi 's Connaught Place area . 
 Apr 16 2009 	 good hotel - would recommend . 	 back 4 night stay Lalit . impressed hotel - pick airport check smooth quick staff friendly eager help . really good location - easy get taxi / auto rickshaw even walk Connaught Place . doorman always ready get taxi push hotel car . we two double room 21st floor , although could see railway line one room , noise train distant bother we . room well equip - thing lack usual hotel guide , although room service menu . bathroom nice , mini bar sparsely stock - thing fridge one coke fanta ! ! ( although provide 4 bottle water every day ) . breakfast good eat 24/7 lobby restaurant one night nice , although continual repeat chillout music get nerve while . my daughter really enjoy pool area - particular lovely lounging chair edge pool eldest use spa thoroughly enjoy - reasonably price , . would not hesitate stay New Delhi . really nice short break whole harrasse half much expect even though 18 yr old long blonde hair attract lot ' friendly stare ' lot request photograph ! 
 Apr 10 2009 	 great breakfast spacious clean room much noise train 	 excellent hotel term cleanliness , service , quality food ( especially breakfast ) safe . however , close train station , lot noise night day . good location though . 
 Apr 6 2009 	 NAIL MAIN BED .. GOT HURT DR HOTEL give ANTI titanus INJECTION 	 nail frame main bed hurt leg .. Dr summon give anti titanus injection ... later find room carpertner bang away bed may problem also hotel close railway station train hoot away day night .. 
 Apr 5 2009 	 Nice Comfortable Hotel Room Improvement 	 stay three night total wedding party . hotel 's decor impressive modern . room comfortable nice view city . breakfast decent ' ve well similar level hotel . the pool area also newly renovate nice . almost wish 's indoor air Delhi pollute not enjoyable breathing fume pollution relax pool . the major complaint service . check - in extremely slow . two three people front line , prepared wait 20 minute check . check twice three night split time similar experience . also staff front desk seem confused sometimes . one time front desk person actually tell wrong information regard hour sauna room gym area . another time want break large bill person send desk another area end one helping . despite hiccup service , comfortable hotel would stay could get good deal room . 
 Mar 29 2009 	 Good could improvement 	 stay Hotel one night Business Trip Delhi . hotel quite centrally locate , that s major plus point . crowded Lobby , check chaotic , take time get room allocate . Staff seem confused unable handle large crowd time . room nice spacious , excellent view city , large comfortable bed , clean large bathroom . Room Amneties excellent . even cellphone charger model room . try room service dinner . order arrive time , food good , excellent . breakfast spread next morning basic , something write home . lunch buffet however excellent , though expensive . there two thing like Hotel.1 . staff tend linger around wait tip , happen thrice stay . irritated quite lot.2 . though recession bring Hotel Tariffs , rate service facility remain . seem stupid pay inflate price almost everything thing available outside 1/10th price . even though travel company expense , pinched.overall average experience . recommend Business travel . 
 Mar 26 2009 	 Luxury Hotel Superb Location ! love ! ! ! ! ! ! 	 ' ve stay Lalit family 2 night March .. hotel definately worth 's point . minute u walk lobby , feature decor modern . service great , could not say bad thing , pool area lovely , kid love . ' ve stay 5 star hotel , even well one ' ve stay London . would not disappoint , would recommend hotel anyone . alot business people around , second day family . pastry shop hotel badly price , order drink poolside bar , steep . breakfast 24/7 restaurant , lovely , probably good meal kid since India . wide range , cater . hotel also agradin area , daytime show , also second floor hotel range boutique gift shop . good thing Lalit location . literally 5 minute walk Connaught Place , 5 minute car jouirney train station take we half hour peak time Airport . overall , would say make good choice stay Lalit . have look accomadtion nearly 2 month prior journey . 3 young child , want nice hotel , good pool good location . firstly book Radisson , cancel last minute due 's location . lalit definately impressive ! 
 Mar 8 2009 	 Lalit : magnificent surprise great Delhi location 	 spend 4 day hotel mid - feb wife son . hotel arrange Delhi office little surprised brand recognize .... boy , absolutely outstanding experience ! every aspect experience great , negative , highlights:1 . people good thing hotel ..... warm , friendly , polished hospitable . make we feel really welcome service excellent every place . ( think mistaken VIP , wife son experience ) . 2 . room nice ..... bright , tastefully furnish , fairly large , well equipped . 3 . 24/7 restaurant probably good & quot ; coffee shop & quot ; experience ..... great food , serve beautifully , pleasant setting . breakfast buffet outstanding . intend eat try Delhi 's many restaurant , end eat pretty much time , . 4 . facility overall beautiful ..... rich without seem formal ; bright , airy , beautifully decorate , collection art top indian artist . ( be hotel know full - time curator ! ) .5 . location superb .... right Connaught Place , central Delhi . hard find well location Delhi . close shopping , business , government , parliament , historic old Delhi , new monument , etc .. give Delhi 's traffic congestion , major boon . understand hotel recently renovate , sure add attractiveness , believe outstanding service flawless operation experience result excellent management . ( could see place time ! ) . bottom line , superb hotel would gladly recommend friend . 
 Mar 8 2009 	 Loved hotel 	 love hotel ! ' ve travel lot would one nice hotel stay . room fabulous , staff attentive helpful . buffet amazing - breakfast lunch dinner room service spot . room quiet , iron board - hotel come across India one ! ! ! attention detail excellent room - variety newspaper , chocolate - say fantastic . downside pool still close renovation , restaurant little expensive , overall - have highly recommend . 
 Feb 18 2009 	 recently renovate pool close . 	 nicely renovate hotel . good size room . excellent interior decor . somewhat noisy , even though room high floor . hotel right heart city . dining open 24/7 , breakfast tremendous feast . pool currently renovate closed ; gym small functional . 
 Feb 4 2009 	 treat 	 first arrive New Delhi stay shangri - La find rather cold & amp ; standoffish . return new Delhi go check shangri - La find be increase nightly rate 25 % 120 usd less 2 week . look around find La Lit reasonable luxury hotel willing negotiate fair price . newly renovate room stunning & amp ; almost identical room Shangri - La . find hotel atmosphere lot friendly welcoming always bustle local traveller . breakfat buffet outstanding ! give choice would definately stay La Lit ! would highly recommend hotel- real treat . 
 Feb 3 2009 	 excellently - design city hotel dismal service 	 stay Lalit recently visit Delhi . hotel lot strong point ... design top - notch : room spacious , comfortable fit high - quality modern finishing / furnishing - get pay . hotel within walk distance Connaught Place shopping dining , metro station even site interest . 24/7 restaurant downstair fantastic , offer one good selection food see hotel India . major let - down poor response simply request make , packed breakfast , water , information , etc ... expect well . extra service mostly overprice poor quality , well . overall , accomodation represent price pay expensive city like Delhi , really need work confuse , disinterested staff . encounter sign renovation work stay . maybe ? 
