Great 	 conveniet downtow . hotel quite , clean confortable big lcd tv . hotel park cost little bit much solution , convenient . breakfast Starbucks close hotel . 
 oct 9 2009 	 great location Good Value 	 please . location great walk Grant Park , Millennium Park museum . shuttle service pleasant surprise come handy . room small , comfy well average bed . airy pool area ( view lake ) really come handy time , game , read even swim . staff friendly helpful . would stay . 
 oct 8 2009 	 Nice Hotel great price wonderful locale 	 close lot attraction , comfy room , would stay again . employee helpful . price cheap compare hotel area . hotel old , remodel . bed comfortablewould recommend friend 
 Sep 30 2009 	 stay 3 time would not stay anywhere else come Chicago 	 come Nov 4th time , love hotel , staff friendly helpful , get free upgrade last year suite gorgeous great view , , shuttle bus good , driver helpful friendly , restaurant staff condiderate irish way 2 irish traveller essex , , park grill road eat thanksgiving last year , beautiful , , , def would recomend hotel.thank essex inn , 
 Sep 28 2009 	 never 	 buy 3 night stay PBS auction pay $ 250+/night ( ticket John Hancock observatory ) really look forward stay.1 . heat - Floridians warm outside . hotel either a / c heat choice . Mid - September still a / c.2 . one piece paper information room hotel , restaurant , room service , Chicago area , tv channel . Nothing.3 . last morning maid knock room 8:05am - ready clean room . guess word get around tip ' ve leave . 
 Sep 17 2009 	 stay - great location 	 great view Grant Park . weekend , much go . triathlon , festival .... right across street . close museum , lake .... move friend 's son college whole area make lot fun . staff friendly helpful too . we definitely stay next Chicago visit ! 
 Sep 14 2009 	 fantastic two week 	 lucky enough win flight Chicago AA . find hotel , travel 17 yr old daughter think would good pool . pool area good husband love gym . from start finish excellent stay read review staff helpful find every member staff helpful . eat restaurant find something everyone service excellent . waitress even give boiling water tea . Americans seem use luke warm water maybe not drink tea . room pretty small would expect hang space . manage clean . bonus launderette get washing do $ 5 leave save washing get home hotel away magnifecent mile hotel offer free shuttle service every hour . never use two week think well buy bus pass also use train 7 day $ 23 3 day $ 14 great value cost $ 2.25 bus journey . Grant park Millenium park across road . find Chicago expensive place USA not much shopping . go lovely meal Tavern Park total cost 3 $ 160 try Bennigans stop away hotel get bus Madison meal 3 plus dessert $ 90 also nice meal Elephant Castle State St towards river go see Jersey Boys ( Frankie Valli four season life story ) good Tommy Guns garage fun night . take back roar twenty include 3 course meal $ 60 - $ 75 ppwrigleyfield good night go see Chicago Cubs . we also meal game price much well around . zoo lincoln park great day unlike thing Chicago 's freeWe book Chicago greeter great give we much information like zoo free Navy Pier lovely day especially young child buffet lunch signature room John Hancock building situate 96 floor 11 2 midweek cost dollar go observatory tower view amazingthe boat trip river really good give lot information excellent holiday 
 Aug 31 2009 	 Nice hotel price 	 really like stay hotel . nicely take care decor great ! easily walk Shedd hotel . also walk Millenium Park little effort . beautiful view Grant Park ! thing say 's negative take forever get elevator . wait shuttle take we O'Hare leave room 15 minute early order check get front . wait elevator 10 minute , end carry baggage stair ( stay 6th floor ! ) . 2 small elevator available guest . everything else great though ! 
 Aug 30 2009 	 Friendly helpful Staff Clean Hotel close attraction . 	 would stay Essex . great pool kid wonderful workout area active adult . April front desk great . garage staff courteous helpful . would recommend hotel friend family . 
 Aug 28 2009 	 walking distance Millenium Park Museum Campus - good value $ 	 one small hotel south Michigan Ave . swanky hotel area . renovate room ( smallish ) furniture top shelf ( good ) . hotel little tired look clean . great location south end Grant Park . south face room nice view Lake Michigan museum . large enclose pool fourth floor deck . would great anyone especially kid . outdoor patio pool deck directly Michigan Ave . nice night could bring bottle wine enjoy sound city park . outdoor seat street level bar restaurant . warn though location far south end park interested & quot ; magnificent mile & quot ; shop north Michigan Ave would mile two away . say nice , relatively quiet end Grant Park Museums short stroll away . really good value relative hotel area . Essex Inn neon sign icon Michigan Ave streetscape . would stay without hesitation . 
 Aug 24 2009 	 good location 	 good location southern end Magnificant Mile . bus stop right outside hotel . room corridor particular quite tired looking . could redectoration vibrant colour . bed comfortable must small bathroom sink ever ! odd policy charge US $ 75.00 hold fee incase & quot ; damage & quot ; . unusual pay leave luggage . not eat hotel bar restaurant lack atmosphere . internet use expensive flight check free although printer work . 
 Aug 10 2009 	 mid - range hotel charge big city price 	 great location : hotel situate directly opposite city 's impressive Grant Park . alternatively , head south foot Michigan Avenue 30 minute will arrive Magnificent Mile . family room clean well - appoint although disappoint en suite facility . excellent , comfortable bed . bar restaurant lack atmosphere breakfast service disappointing ( e.g one choice cereal , strange under - cook hash brown ) . not laptop pay $ 6 15 minute internet access one computer work station reception - rip - off . 
 Aug 4 2009 	 Ideal hotel visit Chicago 's attraction 	 wife choose Chicago celebrate 10th anniversary . find Essex Inn far well previous review . standard room reasonable size functional air conditioning , clean bathroom comfortable twin bed . the reception staff helpful always willing offer advice . conciege also useful . previous review criticise Savoy bar . find unjustified . food good quality portion big . home make soup different night delicious . breakfast good time right ( go early ) get busy . previous review claim price high . compare place nearby well worse . the swimming pool surround area provide perfect place rest relax , life guard duty time . not try gym look well equiped . the Hotel locate 2 mile Wrigley building . find advantage bit quieter close Grant Park , Shedd Aquarium Museums . bus stop outside hotel cost $ 2.25 go downtown . 
 Jul 23 2009 	 great location - terrific service 	 stay one night 3 grandchild . plan include aquarium wonderful hotel access Museum Campus Grant Park . take South Shore train Michigan City easy walk 11th st./roosevelt Rd . stop . arrive early room ready get drop bag begin adventure . return hotel , boy ( age almost 3 11 ) enjoy swim pool outdoor deck 4th floor . close bus stop also cta breeze get Navy Pier , Sears ( Willis ) Tower , restaurant want go also short walk Millenneum Park . need towel 5 we within minute call front desk deliver . room 14th floor view Museum Campus , Bears Stadium , Lake Michigan . mini fridge coffeemaker beautifully decorate room . bed super comfy . 3rd time stay hotel would go back minute . 
 Jul 17 2009 	 staff incredible great location ! 	 impressed staff Essex Inn . consistently go beyond helpful welcoming . desk staff bell captain able answer question give suggestion kind restaurant activity . maid ask day anything else need room , need coffee . even lifeguard pool make we feel welcome . hotel locate excellent location Chicago highlight , without commercial chain store restaurant north Michigan Ave . easy access bus subway . room clean comfortable . 4th floor rooftop pool patio excellent place view 4th July firework . Grant Park block away museum within walking distance . overall , Essex Inn wonderful place stay ! 
 Jun 21 2009 	 Atrium pool location basic amenity real plus ! 	 two 10 yr . old enjoy large pool atrium , adult able bring favorite beverage plastic glass table surround pool . location central form transportation attraction . 7th floor room renovate pleasant . 
 Jun 13 2009 	 great location nice clean hotel 	 nice modern hotel good size room clean comfortable . facility good , indoor pool . two nightsbut wish could . bar/ restaurant friendly , although food not anything special . need go afield want good meal . 
 May 1 2009 	 suprisingly nice ! do not worry old review place redone . 	 worried read old review hotel . price pay ( $ 100 per night ! ) seem good true ( scary ) book . choice even close price good western , also concern . even though outside hotel little date , lobby room recently update comfortable . room huge , small either . bed unbelieveably comfy nice linen instead nasty hotel bedspread . flat screen tv , mini fridge coffee maker . ony thing note either heat AC depend system entire hotel , one night open window night close morning cool . also bathroom sink , although nice big granite top , basin strangely small . hotel $ 5- $ 7cab ride museum , shedd aquarium soldier field . room rate charge correctly not even ask AAA card get discount rate . look hilton , one right next door , nice respectable hotel glad roll dice . good breakfast Yolks 2 block south Michigan . 
 Apr 10 2009 	 honor confirm reservation ! ! ! 	 POOR customer service ! ! ! ! besides refuse honor confire , writting , reservation front desk tell wife Walgreens drug store 3 block Michigan Ave . 3/4 mile ! ! 2 small child , great hardship whole family . woud not stay , even free . 
 Apr 7 2009 	 good clean hotel good location 	 Essex great location overlook Grant Park Lake within walk distance Shedd Aquarium , Field Museum etc . far away either city center , magnificent mile etc . public transport option quite close well . hotel clean tidy , albeit overly attractive . room quite small overall however fitting furniture new quite nice . hotel amenity not bad onsite pool restaurant . service staff not outstanding polite willing help . overall , good value hotel good location . 
 Apr 1 2009 	 nice 	 helpful staff . handy transport . within walking distance main location . overhead train loop bit noisy night . small point : need charge $ 1 - 50 mind bag hour check - out , whiler kill time , go airport ! 
 Mar 30 2009 	 Nice Hotel good price 	 family 6 stay Essex Inn last summer . overall , nice hotel . location Michigan Avenue great . right across Grant Park , walk distance Field Museum , Shedd Aquarium , museum . hotel shuttle take we Navy Pier Magnificent Mile . employee generally friendly , helpful suggest family - friendly restaurant , walk distance . stay room queen bed one room , 2 double bed another room . room cramp 6 people , manage . part room big tv , kids channel could find Disney . bathroom extremely small , cramp . shower nice though . big complaint room air - conditioning . extremely hard control air - conditioning , get many we sick . pool good sized , nice . however , water freezing , make swimming much less enjoyable . sauna nice though . would spend little bit time freeze pool , would go heat , repeat process . really wish pool warm , get use water , fun . overall , get good deal . price great . 
 Mar 18 2009 	 hotel make want return Chicago 	 visit Chicago end Feb / begin Mar unfortunately hit cold spell . bad Essex fantastic location walk around downtown Chicago lake park museum Navy pier etc etc . the front room Essex amazing view lake brandt millenium park across street . room corner complete glass front south wall ! ! excellent king bed type comforter , lot pillow , nice color scheme , flat screen tv wireless internet . bathroom small also elegant . great winter getaway deal value room unbelieveable . much expensive high season . room part hotel would view front corner would still nice . hotel big pool exercise room shuttle service local attraction free - nice touch . restarount good food reasonable price . irish pub across street good food expensive drink . Buddy Guys Blues club 1/2 block good Cajun food . lot small cafe area hotels fancy eat . would love stay hope find good deal . walk much could consider cold weather ( Saskatchewan ! ! ) need return Chicago excellent destination city lot . fortunately easy relatively cheap grab taxi get place cold ' l ' elevate train system , easy navigate , safe clean downtown area $ 2.25 ride - transit card would even cheap . Magnificent Mile shopping area within short walking distance attraction . go second city comedy ' L ' quick easy take bus watch Blackhawks play . also easy . new football stadium right across park . something unique - check stain glass museum Navy Pier - even teen see impressed . cost $ 35 - $ 40 take cab 15min airport ( tip ) . time evening arrive shuttle service going charge we $ 60 going take almost 60mins ! ! not buy round trip shuttle airport cause easy cheap get airport ' L ' local stop ' metra ' train union station . good metro easy get place metro subway . 
 Mar 17 2009 	 nice hotel . 	 spend 5 night August hotel nice , great location near public transportation use every day also pool nice , think hotel restaurant little price would nice complementary coffee donut lobby hotel guest , enjoy stay . 
 Mar 11 2009 	 amazing location 5 star room excellent internet connection 	 hotel right Michigan Ave . main walk street Chicago , close walking distance Magnificent Mile . walk distance Union station subway station Midawy Airport . overall stay perfect . highly recommend 
 Feb 24 2009 	 wow city 	 Essex Inn great hotel good price . Chicagi mid summer temperature good . also glad hotel pool ( flag world ! ) . get Lake Michigan , cross park . park also Buckingham Fountain tune Married Children . people hotel helpful nice . Essex Inn close stop hop - on - hop - off bus . subway minute walk . it be city centre , get city feeling step outside . 
 Feb 22 2009 	 great time chicago 	 9 yr old son go chicago fun weekend , one must son pool , want downtown near sight . find pool clean temperature good , room clean comfortable , staff friendly helpful son , direct we good food fun sight , son say want come Chicago often feel place stay essex inn . feel price well choice lodge city . 
 Feb 16 2009 	 terrible terrible 	 truly terrible hotel ; price location good . management responsive guest ' need ( front long line guest wait check guy behind desk fumble telephone several minute ) . room clean entirely previous guest ( old plastic glass water , use conditioner ) , guy ostensibly work hotel barge room & quot ; check telephone book date & quot ; even though tell need phone book , room clean five pm want relax long day . really could go . deeply disappointing . 
 Feb 15 2009 	 bad ! 	 bad hotel ' ve stay long time . 's room necessarily , service . none hotel staff idea customer service mean . be like instruct say every customer problem request . also , room clean . room , example , not change shampoo conditioner last person leave . know 1/4 full . never stay . advise either . 
 Feb 13 2009 	 Poor Management ! never stay 	 stay Essex Inn Feb 8th 9th Cheer Competition McCormick Center . book Expedia . long afternoon thirty 10 11 year old look forward swim . girl excited go pool find pool inoperable . temperature pool 57 degree . could barely stick foot let alone swim hot tub ! girl disappoint . call front desk get back room complain . point inform we issue pool . call 3 day prior check - mention break pool . mention break pool check . Management inform we sign post front desk time could locate & quot ; called & quot ; note . Managment refuse offer compensation issue ! ! continue say nothing could . advise managment plenty could offer ...... reduction rate , another night stay another time , discount parking ( pay $ 37 ) . ...... state nothing could . get name another manager think maybe call talk someone higher return someone would something . call first thing Monday morning talk superior , Erik , statement .... nothing . continue complaint say would look call back . return call yet . try call Tuesday - office day . try Weds . leave message . Friday still return call ! beware ESSEX INN ! take responsibility offer compensation way issue fault . very POOR MANAGEMENt ! never stay ! 
 Feb 4 2009 	 Nice Management flexible 	 2 PROBLEMS1 ) one party get sick want delay trip another week two ( make reservation 2 week advance ) . Hotels.com would let we change . call Essex would change.2 ) get Essex , give we one bed room . receipt Hotels.com say & quot ; 2 adult , 2 child Standard room/2 double & quot ; .The staff management would find double room we , apologize , offer money back put entire blame hotels.com . hotel nice , happy 4 we stay 1 bed room . 
 Jan 13 2009 	 essex inn great 	 oct Bears game package . geat seat . not far walk great weather . the room nice . get suit view park nice . we not swim pool nice size . front desk helpful question area . would stay anytime plan come back . 
 Jan 9 2009 	 Great Place visit Museum Campus 	 stay Chicago 's Essex Inn October 23 - 25 , 2008 . great location plan . room clean recently renovate . complaint . room service one evening food good . swam indoor pool clean water warm . lifeguard duty . Grant Park directly across street hotel . able walk Millennium Park . highly recomme Millennium Park see huge & quot ; Bean & quot ; . trip mainly consist visit museum campus . highly recommend purchase City Pass want museum . huge saving ! drive Museum Science Industry mile south hotel . want take advantage free parking , go parking garage locate front entrance . drive past museum Lake Shore Drive see entrance Science Center . Park ! save we $ 15 . museum great plan spend entire day . U-5 Sub must see along tour . Baby Chick Hatchery fun watch ! also live science experiment happen throughout museum . Hancock Observatory fun . city pass , offer audio tour city . offer one adult child . 10 year old daughter really enjoy . Adler Planetarium nice , will not take entire day . least think so . Shedd Aquarium also nice . , oceanarium close renovation . close use entire day either . however , reopen , ' m sure nice . go Adler Planetarium Shedd 's Aquarium take taxi would cost we take car in / out ( tipping ) , plus parking museum . also visit american Girl store Watertower . nice dinner . be expensive , daughter enjoy food good . we eat Ed Debevic 's , fun place go . all , great time feel like get money . 
 Jan 8 2009 	 happy Essex 	 Essex Inn provide pleasant accomodation good location . Christmas time foyer invite pleasing cinnamon clove potpouri air . room clean lovely fresh white bed linen towel . fridge coffee maker available good . bathroom clean neutral tone good shower head . picture post internet exact , hide nastie . initial room locate near lift ideal management happy move we . little train noise night EL may irritate traveller require complete quiet sleeping . pool gym facility good well maintain . staff happy obligegood bus service Magnificent Mile , close many wonderful gallery concert venue , Grant Park , Millenium Park lot . , hesitate stay . negative rather slow lift . 
 Dec 12 2008 	 Great Conferences @ HIlton 	 attend conference Hilton literally 500 ft away could not happy pay lot less decent room service . would definitely stay 
 Dec 11 2008 	 Nice Hotel 	 stay hotel Thanksgiving 2008 5 night . due lack [ incorrect ] communication online booking site , triple room book 2 bed [ specifically ask 3 even pay extra ' upgrade ' twin triple ] pay [ ! ] upgrate one junior suite . going pay wireless internet , come free room - service / connection excellent . room lovely , nice view [ although disappointingly room , side hotel front ] clean , although bathroom small ever see hotel ! ! ! ! ! pull couch supply bed one thin nylon blanket - sufficient guess would give ask . reception helpful recommendation thing also recommend restaurant we one night Chinatown turn really nice . eat breakfast little diner every morning stay . food lovely menu quite extensive reasonable . meet 4/5 diner staff . 3 lovely chatty 2 really grumpy ! ! location fine , term proximity city centre - view lake park make fact bang middle city . 's handy aquarium , park lakeshore . also number 6 bus stop Tour Bus route right outside door . negative thing would say lot people hang around area come look money , long not loiter around front hotel fine ! ! ! 
 Nov 25 2008 	 stay away 	 stay part package deal . location good , customer service horrible . 11/21/08 , first night , people room next we extremely loud . 11:30 p.m. , figure would settle eventually . soon turn party , lot people yell , swear ( lot F word ) , really loud . call Front Desk ask someone could ask please quiet . explain situation , employee say , & quot ; well , Friday night & quot ; promptly hang . outraged . not guest right peaceful night 's sleep ? act obnoxious loud want , people complain , say , & quot ; well , weekend ? & quot ; Ugh . room next we continue get louder louder ( not think possible ) call , prepare response . another person answer , say would send someone . 30 minute later , quiet . feel situation handle differently . good luck stay ! 
 Nov 21 2008 	 good Try ! ! 	 Stayed Essex Inn 3 night November . hotel much small hotel Chicago , do not let put . hotel although small load offer include : pool gym , bar , restaurant , business / medium centre . room hotel ok size 2 double bed , HD tv , phone tea & amp ; coffee making equipment , bathroom small good power shower . drink breakfast hotel reasonable price reasonable quality . location good tourist attraction , museum , aquarium football stadium , way main shopping area Macy 's & amp ; Bloomingdales . would slightly mark hotel staff not rude overly friendly . overall pleasant fantastic experience Essex Inn . Chicago fantastic city return one day maybe try different hotel ... 
 Nov 15 2008 	 clean nice room friendly staff 	 stay Essex Inn 1 night November 9th 2008 leave previous Chicago hotel became fully book ( another review ) overnight go back airport flight home . I find Essex Inn friendly staff , hotel be not much look outside inside clean lot facility , Gym , Pool , vend machine , wireless internet throughout business center . my room 1216 12th floor clean , spacious huge floor ceiling window look across Grant / Milenium Park Lake Michigan incredible . I huge flat screen tv many cable tv channel count great bed could probably fit 4 , well large bathroom bath / shower combination , nice handbasin area usual hotel amentie hairdryer , iron , shampoo , conditioner , tea / coffee facility etc . the thing would say hotel solo traveller like quite isolated area hotel near main attraction night become quite shady area near empty park elevated railroad passing tend host lot shady look people , lot homeless wait around corner ask money hustler . now mean do not let put go harmless ignore leave alone maybe solo female ( ) young guest may something would make feel uncomfortable solution would go uptown hotel evening maybe take cab stay Michigan avenue south end populate turn hotel rather take backstreet near railroad . overall would recommend hotel stay good hotel value money everything could ask for . I would recommend everyone add fact solo traveller like especially young solo female traveller plan get hotel actually go avoid unwanted encounter . 
 Nov 10 2008 	 great stay 	 stay Essex 4 night start 01 Nov , think great value money . room clean promptly clean day , decour modern bright . bathroom small side adequate , appreciate Americans read large bathroom , come England small bathroom tend think thing ! ! ! ! ! location good shop restaurant near vicinity , Millers Pub ( wabash street near Macy 's ) absolute must , go will not disapointe , rib great hellavaburger ( 10 oz ) one well ever reasonably price . beer $ 4 whereas Kitty Sheas around $ 9on food note , not eat Kitty Sheas ( situate Hilton ) next door Essex , food poor overprice . Chicago wonderful city great look around , feel safe even late night . find everybody polite friendly , forget New York , go chicago ! ! lastly mention food tour offer food planet ( think ) supherb take we area would never go , well worth . 
 Nov 9 2008 	 Nice Michigan Ave hotel 	 attend conference @ Hilton , choose stay Essex next door . room 1/2 price Hilton , step door , cross road go convention . the room nice , clean stylish . bed soft , bed individual reading light . ' m reader , roommate like go bed early , perfect . the pool area nice , room water little cool taste . workout room large nice equipment . the staff friendly accomodating . certainly set tone nice stay . make sure try nachos bar ! ! recommend Irene , surprising treat ! chocolate fudge cake also disappoint . Al , pleased would certainly stay . 
 Oct 31 2008 		 not overly impressed . room not great size view not would expect pay . staff not overly friendly either . get good night sleep , may matter . would go back price right , will not seek . 
 Oct 15 2008 	 Pleasant Overnight Essex 	 daughter stay overnight essex trip american Girl Place . total bill , include valet parking , $ 160 . downtown Chicago , would call good value . desk service friendly efficient . room , recently refurbish , clean fresh . bed , comfy . overall , room little small side - would call compact - bathroom shower one teeny sink . flat screen tv pay - per - view . pool real standout - large indoor pool , glass , planting outside - fourth floor . big , warm , clean pool . nice - look workout area adjacent . sunny , lot deck chair , magazine rack , chess set , etc . Teeny towel , though ! negative - free shuttle never show make mad dash & quot ; tea & quot ; appointment . Taxi fare AG place less $ 10 include tip . 
 Oct 9 2008 	 get cheap nice bit luxury . 	 stay night hotel period week . nice room bathroom feel luxurious room clean , bed comfortable . gym pool site sufficiently equip gentle workout . lobby area little bit outdated . Valet parking reasonable centre town location comparison area town . overall nice hotel worth stay . 
 Oct 3 2008 	 not waste money 	 return Chicago stay terrible hotel . receive booking look price , think would good hotel . contrary , one bad hotel ever stay . bathroom small , barely fit . small size person even trouble use bathroom , imagine happen big people . heat airconditione hotel . want make fool turn fan blow outside air . quite chilly ( upper 40 ) room freeze . call front desk , say heating yet send blanket , want . obviously issue time one bed . next morning room cleaning service show 8:30 morning . never happen place stay in . room noisy hear voice television adjacent room . please waste money creepy hotel . 
 Sep 30 2008 	 nice choice 	 large room comfortable bed good quality linen . find staff friendly . food portion link ' cafe ' huge freshly cooked . great location waterside marinas centre town . luggage could leave check locked room 50c per item helpful . lovely pool too . Chicago great ... pass catch Amtrak San Francisco ... wish long . 
 Sep 27 2008 	 Good Location 	 Hotel good location opposite Grant Park 10 min walk Millenium Park Magnificent Mile ( Shopping Area ) , apart think Hotel Staff could bit helpful , Hotel Barman bite interested Sport tv serve customer , however Room Clean Towels change Daily . 
 Sep 14 2008 	 great location Chicago 's attraction 	 stay Essex Inn four night , find excellent location walk Chicago 's site . room spacious clean , good view Lake Michigan . large flat screen tv room , well radio alarm could connected ipod . large roof - top cover pool , friendly helpful staff . bar / restaurant ground floor , not use . overall really good value great location . 
 Aug 30 2008 	 Decent Hotel 	 Essex Inn great hotel decent room nice family pool . right front grant park downtown chicago ( sight ) one two mile walk away . close magnificent mile , john hancock , navy pier sight area . also metro nearby ou town trip may want make . hotel pretty good computerised limited concierge free internet business room . ( ethernet cable ) . pool area use alot family . I would probably stay end michigan avenue next time general hotel pretty good good location wise , prepared walk mile day . 
 Aug 25 2008 	 Great Value 	 stay two night August . really nice hotel great location . across street Grant Park , next door Hilton ( charge twice much ) . room nice , good size , modern , clean , nice furniture . attractive lobby . wi fi room $ 5.95 day . right bus line . would highly recommend hotel reasonably price hotel option Chicago . daughter live Chicago ( small apartment ) plan stay whenever visit . 
 Aug 25 2008 	 Fantastic Hotel must stay ! 	 Chicago Essex inn fantastic hotel stay . recently re - decorate room surrealist floor 6th . could fault part hotel , reservation staff waiter hotel restaurant . staff make we feel welcome help we find way around Chicago . thank must go Chris Front desk helpfull . definatley stay . 
 Aug 23 2008 	 Great Deal Essex 	 Chicago Bears Football / hotel package . Preseason game ticket , one night 's staty hotel hotel parking include . really great deal ! room clean , nicely update , small . bathroom particular teeny tiny . however , like we , plan sleep room , perfect price pay package . stay Aug 21 - 22 not see union picketer . we able walk Soldier Field game use path . eat dinner hotel restaurant short time . food delicious . surrounding kind dumpy date . breakfast walk block Michigan Avenue Yolk fantastic breakfast . yolk new trendy restaurant great food ! 
 Aug 20 2008 	 well expect 	 sure expect read mixed review hotel , pleasantly surprised room good quality issue young family next door child parent hold loud conversation 6.30am morning wall soundproof . we use disturb sign disturb maid , one day although maid come room top tea / coffee make bed really big deal . location great , good public transport link well hotel shuttle use . breakfast hotel plus one evening meal good , staff also friendly . 
 Aug 12 2008 	 Excellent hotel 	 stay Essex Inn Chicago baseball series U.S. Cellular Field . love everything hotel . arrive later evening check smooth . hotel recently renovate floor decorate contemporary art design . bed comfortable comforter add bonus . flat screen tv bedroom sitting room , also nice . refrigerator large problem . pool area nice outside deck decorate beautifully live plant give awesome view Chicago . Grant Park right across street make nice view . within 2 block el connection within block free trolley stop . problem Essex Inn small bathroom . tiny leave little room move , nice decorate elegantly . shower loud tub drain slowly , problem . really good experience ever return Chicago , definately stay Essex Inn . give great room great value ( especially Chicago ) . 
