love 	 great hotel , staff lovely , great gym food cool . cheap . 
 Sep 22 2009 	 good stay - hip country girl ? 	 book hotel Hotwire please arrival . hotel short walk Sherpherds Bush tube locate quiet residential street . room locate near back hotel say back , mean walk least 200 yard reception ( certainly feel like carry shopping bag ) . room clean spacious every ammenity could need . night hotel seem turn trendy night club - bit shock trudge back hotel wear jog bottom trainer hard day 's sightseeing . however , bouncer let we skulk bar area get odd look . the staff nice helpful great stay . 
 Sep 20 2009 	 fantastic room lovely spa 	 room spacious , comfortable bed - chocolates delicious . spa treatrment amazing , relax . meal Kanteen room service also delicious . location also excellent - right Westfield tube station , also good restuarant Shepherds Bush . aside bar , lively rest hotel quiet peaceful -we great weekend definitely back . 
 Sep 17 2009 	 worth ! ! 	 book hotel look luxury break partner describe ' couture hotel west london think go good , , wrong could ! ! stay hotel half price 10 time well , , check fine problem , room basic explain super king size bed , yes big basic duvet nothing lot hair bed , sheet even change ? fixture fitting warn room , finger print smear dark wooded furniture , clean ! bath patch need fix clump long black hair shower wall , nice ! ! bathrobe slipper state , everything seem bothere , pay 365.00 2 night , plus £ 200 treatment spa be not cheap break , expect much hotel , , everything PRICED ! ! would not bother , do not waste money ! ! 
 Sep 2 2009 	 favourite retreat London 	 spend 5 night K West Hotel & amp ; Spa RIchmond Way recently . hotel excellent clean , friendly staff excellent food . also great location Underground , Westfield Shopping Centre , Pubs , Cinema three minute walk away . 
 Sep 1 2009 	 do not want leave ... 	 great time , stay past find delightful & quot ; Westfield & quot ; shopping centre across road stay even well restaurant doorstep , nice day SPA go lovely walk late dinner . room clean spacious tv interactive could plug ipod listen music room . body treatment SPA divine total pamper husband without kid need .... 
 Aug 25 2009 	 lovely weekend K West ! 	 swift check , polite assistance . Loved lie hotel , clean tidy . Key not work first time try , go stair get new one . upon entrance room , finally , love amount space * executive Double room * ! could not believe have get £ 90.00 ! everything spotless ! side leave room go vend machine key not work , see price typical Coke go £ 3.00 put anyway , go back room see key not work . go reception yet validate . apart key mess , stay enjoyable comfortable . get great deal movie free we great blockbuster hit , recent release . excellent location westfield across way , shopping centre restaurant supermarket across road . perfect ! 
 Aug 17 2009 	 rather disappointingly average 	 staff lovely clearly work hard . fee 's hotel owner / management cut corner . firstly mum check room , give unclean room , bed sheet full hair . staff great change room quickly , however not happen . second room give lovely much big , good . partner book executive double , big , frill would say . one set product product . reception staff excellent get we straight away . tea caddy poor selection , especially price pay . feel value money low . glad not eat , superb restaurant around corner . include fab moroccan bakery Shepherd 's Bush Road . great location would suggest get cheap room , really not work splash . 
 Aug 16 2009 	 nice clean hotel great location 	 read hotel age ago never get round stay . find great deal online , finally book night Aunt stay see u2 Wembley . the hotel four five minute walk tube , great . Westfield stone throw away , plenty nearby bar restaurant . do not use hotel bar etc price steep ( £ 12 miniature Jack Daniels £ 3 coke vend machine ) £ 129 night London hotel , can not complain . room large clean , bathroom lovely tv mix channel ( great relax get back gig ) . staff friendly even look luggage check could go sightsee London . would definitely stay . 
 Aug 16 2009 	 IMPRESSED FRIENDLY 	 * wonderful location close tube , yet quiet . * easy access west end theatre . * extremely large & amp ; comfortable bed well design room . * rapid room service deliver delicious food quickly . * informal lobby breakfast popular . * fascinating selection guest speak several language . * workout facility excellent . 
 Aug 11 2009 	 Happy say actually quite good 	 fussy bloke nervous stay bad review . got two double £ 85 night net . room lovely - bed comfy , magazine date , Aveda toiletry , great shower , nice towel , perfect . noisy either . 221 . friend 123 say . Staff say hello walk past friendly . criticism would surly desk staff concierge - stick quite rude . umbrella pour outside . borrow give London . breakfast great - continental fresh fruit , muffin lovely , good selection drink snack . yes help actually make easy reckon . would deffo stay could get good rate . would say definately good 4 star hotel . can not work criticism come . maybe lucky . also great internet free real plus . course , bar room service horrifically expensive everywhere . not use spa gym look clean nice good spa menu . maybe next time . 
 Aug 8 2009 	 never 	 stay two night husband special birthday . stay three different location hotel third one . sure impressed service location area compare last two . nothing special SPA name . hotel locate rundown neighbourhood walk underground station . first impression lobby & quot ; clean & quot ; . room ok since book executive suit . odd thing go one floor lift instead go . shock contniental breakfast service first morning since even like busy filthy street & quot ; go & quot ; style . room clean service first day 4:30pm . skip get clean towel . sorry , hubby .... . 
 Aug 5 2009 	 BEWARE ! DOUBLE not MEAN DOUBLE . 	 book Junior Double Room 3 night . this , do phone , speak reservation . check , inform junior double room room double room 2 people , single occupancy . could find we room 2 people , would much great cost per night . London business start work immediatly , choice pay extra . furious . hotel anywhere else advertise double mean single . RIP - OFF.p.s . open bottle water bedroom , cost £ 4.50 . 
 Aug 3 2009 	 trendy 	 great hotel - book last.minute.com theatre ticket work good value money . probably would not stay Sheperds Bush - 's little far . complaint disappointed price not include use spa thought . 
 Aug 1 2009 	 Wonderful K - West ! 	 ' ve stay twice , shopping weekend teenage child , theatre break . staff friendly helpful , room large , clean beautiful . ( bathroom amazing ! ) even dvd player room , well tea / coffee make facility . Westfield 5 minute walk away , tube station half , convenient central line ( easy access West end ) . spa also excellent . would definitely stay . 
 Jul 31 2009 	 fantastic 	 great service , amazing room , lively night bar , quiet rooms.great experience ! ! ! 
 Jul 29 2009 	 Fantastic Hotel Great Location ! 	 stay weekend away , arrive Hotel look great outside good inside , really good sized room lovely bathroom , mod con room really like could plug Ipod listen music . staff helpfull , good hotel , would recomend stay ! 
 Jul 14 2009 	 want meet Rock Stars like lively bar place 	 go last year sister/ pick hotel read review party happen till 3 . turn reviewer look . hotel look live wear W hotel . nice definitely shabby . staff well either . breakfast , however .. tube 5 min walk , lively interesting bunch stay meet . definitely hip 's weird way . music , plenty famous band stay . would definitely go back want spontaneous lively trip . love snack machine hall thing like : small bottle vodka cracker , small bottle champagne biscuit choice . hilarious ! expensive glad bring liquor we : ) 
 Jul 13 2009 	 service poor even general manager Mon - fri 9 - 5 person 	 stay 3 night , stay year ago hotel first open service good get well . valet parking good part £ 40 per 24hrs ok one present park car still pay valet parking , carry luggage trolley hotel luggage assistance , although watch struggle , check 3.10pm though checkin time 2 pm room ready restaurant pass time close 3 pm tell food , get room ok , floor people room service tray outside room arrive friday still tray outside room leave food monday morning disgusting . bar area well order bottle Laurent Perrier rise Champagne 3 effort still get even though wine list , bar tender manager know ! ask see general manager 3 time weekend seem finish early friday still back 9 am Monday , part time General Manager know , staff frighten even contact ! must think hotel run smoothly beleive case , fact would probably say would well stay 3 star town , would certainly get well service feel like staff care guest case hotel , attend look use hotel staff 3 night per week 1 year would even use even though position suit , would worth hassle would get staff ! hope give insight poor opinion hotel . 
 Jul 8 2009 	 great ! 	 superb place ! ! ! ! trendy , room spacious luxurious . bed comfortable room necessary amenity . bathroom bathtub / shower always nice option . short stay , could check spa . however eat restaurant breakfast , nice : funky stylish decor , friendly staff . Staff international , well train efficient . the hotel location superb too . the guest tend young hip ( celebrity ) , nobody look we funny 2 young one . the price right level service offer , amenity location . highly recommend place ! ! ! definitely go back ... ! ! 
 Jul 6 2009 	 good good use 	 revisit KWest fabulous stay 2007 spa treatment package . decor begin look little tired , departure queue far long , room service price rocket good value money . Got wake noisy guest early hour morning - good . although Westfield shopping centre nearby , sure long worth extra travel time tube spending time centre London . great spa break perhaps base . 
 Jun 28 2009 	 highly recommend ! 	 great hotel . room clean large . get room upgrade check , staff really nice , free breakfast great ( definitely worth give pound / dollar exchange rate ) . not see many tourist stay location . be far Notting Hill nightlife spot not problem . also , stumble sea tourist spot city refreshing come back low key , lay back , decidedly non - touristy hotel . take 45 minute hour get tube Heathrow cost around 2 pound . not take Heathrow Express Paddington be stay -- -it would inconvenient waste money . 
 Jun 15 2009 	 Kin Tired K West 	 use stay K West fairly regulary stay K West suit standard exec room etc know hotel little . favour Zetter / Hoxton London K West look little shabby area use like year ago . bed exec superior room uncomfortable - oh yearned Sheraton sweetsleeper last night ! room start age - hotel advertise luxury stand intense scrutiny say K West let now . in shower shelf house soap shampoo / conditioner either place shower floor throw back sink ? little frustrating ! also mini bar conveniently place £ 4.50 bottle mineral water ! ! vend drink machine do not work floor much choice really . staff great still helpful K West let overall high price tatty room - well hotel K West trade position funky DJ alone interest business traveller . back Hoxton - free water breakfast price ! ! ! 
 Jun 10 2009 	 fantastic service great room friendly staff central location 	 room spacious , clean everything need . staff really friendly attentive . Breakfast delicious , good choice friendly staff . close large shopping centre Europe really close centre London , great week - end out . the spa great way relax dayys shopping fantastic massage relaxation room , follow spa jacuzzi . highly recommend anyone want relaxing time London . 
 Jun 9 2009 	 hide gem 	 recenty stay KWest friend night away . location great , close Shepherds Bush Olympia . still tuck away main road great . choose Westfield Shopping Mall , Notting Hill Gate , High St Ken within 20mins hotel . the hotel funky , clean . staff uniform flower display quiet contemporary . lot young , viabriant clientelle fun bar people watch . evening transform hip trendy bar live dj . the bed comfortable decor fit mood hotel . breakfast great add bonus Starbucks coffee serve lounge . we one great experience feel away long . plenty area want chill hotel , spa facility problem either . 
 Jun 8 2009 	 Boutique luxury funky music 	 take boyfriend birthday . hotel road Shepherd 's Bush station , hide away enough tree - line avenue feel quiet secluded . exterior smart , white lit night . decor inside funky colourful . the room make go ' aaaah ' walk . 's stylish equip large flat screen tv , playstation , dvd player sky . chocolate Aveda goody wait we , massive bed . room fairly spacious ( Waldorf ) ' living area ' sofa coffee table . view onto tree row victorian house . sleep extremely well . the service great bring we ice bucket champagne glass , plate knife birthday cake extra cost . go dinner get back bar lively , music play . the next day make use free spa facilite spend hour jacuzzi follow steam room , sauna shower - change room complimentary toiletry even straightener ! well design . also make use free internet facility . great birthday . the drawback would say , though room good value , breakfast £ 17pp drink also expensive . in summary , funky , stylish experience befit hotel often frequent star music scene , not want leave ! 
 May 18 2009 	 trendy hotel really great place stay definitely back 	 Hotel excellent location , 5 minute walk Shepherds Bush ( central Line ) , New Westfield Shopping centre , arrive late evening receive warm welcome . room great trendy , room sofa bed 2 child adequate , go sleep there . do eat dinner restaurant , breakfast lovely , staff friendly . will definitely back , maybe friend time experience shop busy bar evening . BRISTOL 
 May 18 2009 	 nice hotel terrible service charge twice one room 	 Shame , friend recommend hotel I . be expect lot honest . yes , be contempary , yes 's modern , room nothing like website picture make look . room trendy , small , feel bit claustrophic . pick cheap room , must even small . ask quiet room , silent , 3 corridor away lift , would not suit people . they want £ 130 parking car park weekend rude husband say way pay . take general manager come say NCP road £ 30 weekend . 's principle rip . vend machine price scandelous . bar price average London , Bellini Luxe diet coke £ 13 . nice bar area . one lovely girl reception , rude staff barely speak English . one major problem , charge room twice . phone sort credit card company . pay cash yet charge card give security reason . credit card open tab , whether want one . annoying always pay cash , annoying charge twice need sort myself . look scruffy outside , luxury , rough area . real mixed bag . trendy clean hotel , terrible service , atmosphere , rough area mile probably want . price get much well . 
 May 16 2009 	 Cool hip modern hotel - fantastic stay ! 	 stay K west one night 2 young child . suite stay amazing - smart , spotless lot space bathroom gorgeous free - stand bath huge shower . kid love ! nice stay somewhere not stuffy old - fashioned definitely back . perfect location shop Westfield short drive Natural History Museum kid . love bar restaurant wish could stay long . 
 may 15 2009 	 lovely stay lovely staff Liked Location 	 husband & amp ; 3 day trip London see Bob Dylan concert ( lucky we ! ) hotel K West enjoy stay much . week prepare trip , send ( many ) email K West question concern , meet good grace helpful answer . arrive late leave early 3 day later hotel arrange cab way , less high price London cab know . wonderful step plane driver wait we . I ask room change smoking room done- expect not - quite - as - nice room , sometimes happen smoke room beautiful junior suite . notice instantly get smoke odor , also sometimes happen ( expect ) smoke room . our room elegant , modern spotlessly clean . bed firm , lovely fluffy comforter . sleep well . bathroom sparkle , water hot & amp ; plentiful- enjoy long length tub , ' m usually cramp ( long leg ! ) plenty storage space , many hanger , call promptly bring we . room safe fridge work fine us- problem . may small thing , rug room nubbly weave feel great bare foot walk around London day ! ; ) not good view wake morning sound bird singe tree outside- surely well traffic ! since London two full day , spend trip away hotel . chance eat restaurant , order appetizer room service . good , bring quickly . also try bar , usually hop come late night , lot interesting look people hang out- locate right across lobby 's noise bother room . fact , hear occasional door close room , never disturb guest . unfortunately , never get chance try spa either , spa ' menu ' look wonderful . also selection magazine room , think nice touch . the Location great- near Shepherd 's Bush Tube Station , couple short , quaint street & amp ; short flight stair . go London , use bus tube , convenient area in- like near London City center- feel remove , relaxed . 's 24 hour Londi 's right across station- great cheap drink , snack & amp ; fun , british foodstuffs- try Twiglets & amp ; Sugar Skulls ! small problem check ( Hotel 's fault , co give we trip ) even tho 4:30 Monday morning ( tell leave early ! ) night Clerk , Sadiki , kind & amp ; helpful could , try solve problem . along Gisele , customer relation , answer many email , every staff member come across polite , friendly . young man come room fix ' problem ' coffee maker even make fun ' problem ' turn , flip switch ! really enjoy stay K west feel quite pampered . London amazing lucky enough return , will make K West ' home ' ! 
 May 14 2009 	 chic stylish comfortable . 	 stay London regularly K West favourite . certainly way well anything else West London . spotlessly clean . ultra chic decor . spacious room terrific shower . large flat screen T.V.s internet access . staff friendly helpful . lively bar night attract cool clientele . five minute walk Shepherd 's Bush underground new Westfield Shopping centre . overnight parking expensive suppose price line others- least car park . ! 
 May 12 2009 	 's modern clean comfortable friendly helpful staff . 	 location ideal visit family area shopping superb Westfield Centre ! room large , airy comfortable everything could possibly need two night ' stay . the staff welcome helpful . we not eat hotel comment food service . 
 May 9 2009 	 lovely hotel friendly staff . 	 stay Thursaday 7th may going see Taylor Swift Empire . after read review dubious hotel , close venue would walk back decide book . we choose Spring offer get deluxe room full breakfast use Spa £ 125.when arrive greet lovely receptionist check we quickly efficently , room beautiful , clean bathroom powerful shower , top floor face away road . tv remote would not work quick call reception sort within minute . on leave go concert , receptionist pleasent wish we good evening . as 13 year old daughter , not use bar disturb way noise there . breakfast morning lovely , freshly cook friendly staff really could not enough . check , quickly efficently do lovely receptionist call Anna , give we short cut Westfield shopping center . all lovely hotel , clean friendly staff , somewhere would definately book . 
 May 6 2009 	 Nice hotel - nothing special 	 hotel website , expect something little swish , little dissapointed open hotel room door - average really . clean , near Shepherds Bush underground , expensive parking . do eat restaurant - sample food comment . do try spa either . if look somewhere relatively cheap stay - park head - 's ok . 
 Apr 30 2009 	 Plenty well hotel London 	 Problem booking take 10 minute check . Front desk staff bother ( notice another guest ask roman catholic church nearby front desk staffer say not really know ? ) reception fairly nicely design . room end massive corridor - booooo . got room , stank smoke , come body mention ? ask would like smoking room ? Decor - wise 's fairly decent suppose . small bed . tiny room . bottle water beside bet - cost £ 4.95 drink . really naff thing . go spa cost £ 10 hotel guest use . movable shower head bathroom ( pet hate / requirement ) tv room not work . upon checkout realise VAT include price . huh legal ? also although travel agent supposedly pay room , also pay . plenty decent hotel London , give one wide berth . 
 Apr 19 2009 	 stay away K West Hotel 	 book shop till drop package ( 23 year old daughter ) could shop new Westfields Shopping Mall . disaster . complimentry non alcoholic cocktail arrival . room safe work . magazine date March well April . room smell musty . bath dirty . room service come clean case Twin Executive room . toilet flush properly . request bath robe slipper . clearly one room since March . follow morning daughter could wash hair one hair towel short want go home time . one tell we booking system go treatment pedicure manicure . ( pre - booked internet ) book 10.15 day check 11.00am . advise check would delay one hour case . result leave nail polish smudge . bill shove door 6 day departure block use service bill final . call complain 6.30am everything - last straw ask manager call back . call back 7 am - fall back sleep . suppose spa break shopping course answer phone 7.am - go back sleep . notice bill partially shove people door ( way breakfast ) name address keep confidential . bill say final . example watch film watch one pay £ 9.50 fall asleep watch night . price film . may well cinema . mini bar . use door card swipe vend machine . machine contain pre pack snack kit include alcohol muslim forget try get Twix come shoot vodka . information English - french Spanish . positive note restaurant staff good . really earn service charge add bill dispute . breakfast good spoil large lout drink Sol Budwiser breakfast demand restaurant staff direct tv room ? place suppose tranquil spa . be not one . go check livid . lovely pedicure ruin despite walk back spa bare feete . enough time nail polish dry . complain receptionist advise could lodge luggage spend rest day spa . mis inform . much dreadful night sleep wake damp stench . term location ' spa ' Shepherds Bush Kensington . website mislead . pub road way Shopping Mall hostile looking local overseas visitor would much . maybe shuttle service Mall tell . neighbourhood many youth clearly smoke something smell funny sort place would want go outside pub close dark . I want anyone go go . complete lack information . information come language save English . would recommend hotel spa anyone base presentation , service location . totally awful . print send hotel never get speak manager weekend ruin . suppose 4 star hotel mini bar grade 3 star scrape 4 star hair dryer , room safe iron press . anyone travel middle east stay countless 5 star hotel know grade system 3 star hotel . executive twin room would hate see standard room look like . Ms Hart & amp ; Miss V Hart - 19th April 2009 
 Mar 27 2009 	 great location hip hotel 	 stay K West weekend break . location excellent 's 3 min walk Shepherd 's Bush tube station new Westfield shopping centre . try check hour early room not quite ready sit us bar give we free cocktail , consider try check early , nice touch wait 5 minute . staff friendly polite . get good rate book hotel website £ 81 night executive room . room spacious huge extremely comfortable bed . bathroom clean modern nice Aveda toiletry ( conditioner though ) . entertainment , great restaurant bar Westfield shopping centre , Meat Wine company excellent . one tip though , Saturdays , 's DJ play bar area , ask room 's close hear music . would stay . 
 Mar 17 2009 	 jewel west london 	 simply good hotel London less looney end price range . great bar , fantastic room rate mad . stay whenever stay West London although budget hotel spa restaurant / bar expensive thoroughly recommend place . 
 Mar 3 2009 	 keep go back 	 good value hotel london . hotel profess 4 - star take note ! room stylish , clean , quiet comfortable . suite fab . pricing right £ 99 everything else extra . good thing bar , rock n roll clientele , ( quiet ) location . also park street weekend free ( ) . need sort restaurant though . be always empty . 
 Mar 2 2009 	 use good 3 year ago not waste money ... 	 stay K West one night Saturday , ' ve stay be always good . stay deluxe room everything start look quite scruffy . trouser press not work , iron expose wire , tile bathroom break . breakfast advertise room brochure 12 noon weekend , also ring reception 9:30 Sunday morning check confirm 12 . 10:55am arrive breakfast room tell breakfast finish 11 am staff member seem find funny . say reception confirm 12 noon morning . go get Manager say could not possibly 12 room receive letter Saturday . explained not receive anything check early tell 12 . become quite argumentative begrudgingly agree could breakfast bar . breakfast poor , omelette like rubber , juice cheap coffee horrible . attitude staff guest inconvenience whether check in / out , bar staff breakfast . this hotel use good great atmosphere breakfast . would not go back recomend anyone . 
 Feb 28 2009 	 much potential ........ unrealise . 	 January 2009 , KWest offer special package price include executive room , breakfast use spa facility around price standard room similar London hotel . value pretty good location excellent . place look good & quot ; pretend & quot ; top class hotel many subtle way not deliver . many hotel great location offer good value , luxury excellent service KWest look see other offer boasting same . the room little small bathroom well maintain . fill water showered - leak somewhere ! room comfy though lounge coffee table squeeze room make seem even small . down lobby , barman bad habit serve beer hold top bottle - hygienic ! also open beer speak colleague minute serve - strange . spa OK & quot ; run & quot ; nice make nice break especially cold January London weather . breakfast good , excellent , good good choice menu service ok . stay two night eat restaurant first night - meal good value brilliant . parking difficult part London parking inspector & quot ; aggressive & quot ; - get ticket park illegally even minute . thankfully not KWest parking , whilst expensive , good option - know ! overall , KWest comfortable , somewhat stylish cool location - yes & quot ; starspotting & quot ; potential ( b grade course ) bar service slow personal staff really live trainee badge wear . finally , wait check transport arrive lounge around computer room friend check email slooooow complimentary internet . staff member march tell we uncertain term permit & quot ; lounge & quot ; room ( even though lounge provide ) sit straight ! really strange . the staff really get smarten - ask slipper gown use spa ( advertised package ) almost get argument ! unnecessary . would go back friendly 75 % price pay . 
 Feb 8 2009 	 poor service 	 friend book spa package lastminute look nice website think nice we spa treat ! book treatment 12 noon bit late transport . phone tell late however arrive inform late instead 2 treatment get one ! ! ! ! ! ! ! ! believe ! ! ! ! ! ! pay around 130 pound whole package two tell get ! ! ! ! ask whether wait see whether slot we full treatment later day simply say fully book ! ask reschedule booking still ! ! ! reception girl blonde girl attitude really helpful feel book package lastminute special promotion look upon ! ! ! terrible experience would recommend one hotel ! ! ! ! understand late however helpful really annoy ! ! ! stay quite lot nice hotel always try well help guest , one terrible feel like not give [ - ] ! ! ! ! 
 Jan 30 2009 	 cold staff rubbish menu ! 	 stay K - West two night girlfriend birthday . location : location excellent good access theatre etc . be tuck away busy road fairly quiet . bad experience : arrive have arrange flower ready arrival - handle well reception ( simply ask budget colour / flower desire ) , shortly drop bag knock door flower give girlfriend - however , vase room vase offer . I call reception ask one - eventually turn tiny ornamental vase big enough stand flower . would not mind , assume would obvious have spend £ 50 flower , would prefer dry within one day ! another issue , 5 am first night fire alarm sound 30 second . explaination ( although fire ) apology free drink place do we . good experience : flower least turn ! restaurant : not eat restaurant menu rubbish - £ 15 would get gourmet burger ! ? review see 's worth eat there . bar : bar ok , although quite expensive ( London price guess ? ) - problem situate reception area , every time door open gust cold , February air come . , not cosy website describe . room : stayed & quot ; executive & quot ; room . quite like room - clean , modern decent size . large plasma tv sofa , coffee table etc . pay around £ 10 per night extra upgrade upon arrival , good . spa : remember pay spa . ok although ( ) dark inside . small spa bath , sauna steam room . clean though always good ! comment : would not recommend stay unless like ignore staff look upon guest . order flower , sure ask vase ! 
 Jan 28 2009 	 Shabby 	 stay one night hotel romantic getaway Christmas . face , hotel acceptable , however expect little ' swish ' money forget ! room tired , decorate ubiquitous style large group hotel , nice crisp linen , beige room , thick carpet , little issue not dealbreaker niggle . example , coffee cup room clean , door surround bathroom paint black paint tile surround door , couple floor tile crack really badly repair , fact general maintenance throughout poor quality . eat restaurant evening , food nice nothing special , half order toffee pudding after toffee obviously ' catch ' burn bottom pan leave burn taste sauce . fair complain get complimentary coffee 's bowl strawberry . the breakfast morning sorry affair . pastry etc behind bar serve member staff . selection particularly poor . we spa treatment book treatment room reception area lovely . although spa area sauna jacuzzi little sad nice . if pay stay London would choose St Martins Hotel . 
 Jan 24 2009 	 ok London Standards 	 property well locate . room decent , management cheapskate . free bottled water room . fiji 4.50 quid per bottle . gym include room rate - 10 quid day . day ? service massively variable . 
 Jan 6 2009 	 oasis hussle bussle London 	 book though web site new year . the room excellent ( book superior room ) , big light . nice LCD internet . internet free cyber zone area . hotel locate Shepard 's Bush .. not PANIC ! ! ! ! ! , Holland park side , near new huge shopping centre . new tube train station outstanding safe 400 m away walk ally hotel walk around corner get . hotel excellent , reception staff poor : not even get good bye happy New year book ! ! ! . room clean smart . defiantly stay next time I m London breakfast price restricted quantity . 
 Dec 22 2008 	 birthday half ! 	 will keep review short sweet . time life stay go gig Shepherd 's Bush Empire . bar really quiet , come alive midnight flood people descend K West . we great cocktail , meet great people ice cake certain Paul Weller enter bar hung evening . see several actor - celeb spot thing . quite evidently place ! spa , hotel room , breakfast , service - pleasant . 
 Dec 6 2008 	 Loved K West 	 look something new year eve see advert K West Hotel . book direct Executive Room New Year package 2 night . the hotel clean date . check quick easy . the room large dvd player cd player room large bathroom shower bath , also request PS2 fancy game ! everything room clean look new , everything work bed large side comfy sofa also room . I understand hotel spa do not use can not say good : - ( staff friendly helpful . breakfast evening meal , yes expensive good . location wise 10 min walk near tube , normal street . I would stay price right sure well hotel London less money , say like . 
 Nov 24 2008 	 rate true four star Service brutal 	 trip treat , 3 night really nice hotel london . arrive room book give someone else . book superior exec room ( smoking ) . send ... small twin room clean . even bed unmade . return reception follow another wait send non smoking suite could smoke ( Strange ) anyone pay room hugely overcharge ... tell unpack would move room next day . arrival reception next morning noone know anything eventually tell we would store luggage . return lunchtime eventually get room . restaurant food okay overprice lovely dead fly lamshade . bar tiny like lobby appear manager see . hotel take every opportunity charge extensive amount semi poor service although room eventually get nice worth .... never 
 Nov 9 2008 	 poor spa ! ! 	 friend book hotel spa break 40th birthday . K West website encourage spa break , get give room key info spa facility take bag room look round . disappoint pool . spa facility steam room , sauna room jacuzzi , nothing else except overpriced treatment menu . thank god Westfields shopping centre open weekend would bored death here . at spa reception still clear instruction use facility use did't give we towel come back WET collect . jacuzzi cold . how appalling ! ! 
