dirty 	 spending much time select hotel trip Delhi , would strongly advise anybody stay . room dirty , fill coakroache ( wake one pillow ) , front desk service terrible , make feel awful not book driver Rajasthan Ranauk 's travel desk would not let go , take forever get simple thing like clean towel , hot water almost miss train Delhi man front desk forgot provide we wake - up call ( luckily , set alarm ) instead tell driver take we trainstation , taxi driver try take we airport . overall , room filthy front desk service terrible . good thing hotel 's proximity Metro ... make easy travel around Delhi ... lovely breakfast include price . 
 Perfect Hotel 	 nice stay hotel wife . homely & amp ; clean environment prompt service great . staff kind helpful . People friendly helpful ; area quite centrally locate easy transportation . nice stay sweet memory . 
 " recommend " 	 stay fine . tour assistance good . appreciate guidance give trip . 
 educate Good Staff 	 stay two hotel Delhi pick hotel . Theworst hotel uneducate useless staff . isthis hotel find people great knowledge . boss travelledto 30 country far . everybody great . 
 ` ` great service '' 	 Raunak Hotel definitely one good hotel stay new delhi , India . room simple large clean . room service hotel staff friendly helpful . travel desk within hotel great . Location OK 
 Awesome enjoyable trip 	 hotel good position , staff friendly . housekeeping , Manager really helpful ; staff member really nice helping . even travel desk helpful , organize trip . 
 Best Hotel Good Service 	 stay Raunak hotel new delhi property beautiful . room modern sleek . flat screen tv great although could probably invest satellite tv give we channel . mention give extra charge . lobby bar nice really enjoy hotel get internet situation sort would definitely stay . 
 Aug 4 2009 	 clean friendly 	 recommend hotel well . my room clean nicely decorate classic indian style . staff friendly everything keep happy . the hotel free Wi - Fi every room speed enough surf newspaper laptop . YouTube Skype move also free business - centre top floor speed fast . this hotel good value money . 
 Aug 3 2009 	 good choose hotel raunk 	 hi , thank good service we . like much.regard , Raku Verman 
 Jul 19 2009 	 true example COMFORT WARMTH HOSPITALITY 	 EXOTIC experince wonderful holiday .... stay Hotel Raunak truely MEMORABLE .. hotel staff friendly .. child become friendly hotel staff enjoy .. provide beautiful comfortable room room service quick .. value money , centrally locate near metro station .. variety food authentic taste ... visit Jaipur Agra also make easy take care tour service provide hotel . 
 Jul 14 2009 	 lovely hotel 	 nice clean hotel , pick prompt agra - jaipur tour take hotel pleasurable . 
 Jul 12 2009 	 good holiday I ve ever 	 room comfortable bed super comfy . service staff exceptional go way cater need . also get bathtub LCD tv affordable price . the hotel also well locate heart delhi , popular destination accessible Metro , walk away hotel . 
 Jul 10 2009 	 completely wonderful Stay 	 hi , Kishan Singhania . look hotel Delhi . find Hotel Raunak website . I see pic like much . decide go stay hotel . enter hotel lobby beautiful . staff hotel welcome warmly . much impressed hosipitality . make relaxing . enter room feel good comfortable . room service good . everything wonderful . think home . great stay . get chance surely go . advise friend go enjoy . 
 Jul 8 2009 	 stay friend Rounak important thing 	 Hotel Rounak good areound Indai kind facility day night waiter Rounak service full timether room rest leisurement yard Rounak hotel interesting value stay cheap hotelsshortly facility avilable 
 Jul 3 2009 	 good trip life 	 room comfy . like matteress . room service good quick . provide good food reasonable price . nonveg osum . good part hotel location . u reach major part city easily . metro station close . nice hotel reasonable price . true value money . 
 Jul 2 2009 	 nice hotel clean envirement nd friendly staff 	 nice place live ....... go thrree day ..... clean envirement nd nice friendly staff ...... nd nice location .. shopping nd ..... really like lot ..... hotel staff help much guide delhii totaaly straneg thsi city.keep hotel mangaemnt staff ...... 
 Jul 2 2009 	 PERFECT HOTEL AWESOME FACILITIES 	 hi , , good day , hotel superb mind blow , every feature facility really terrific , glad see hotel delhi , bring full stop search celebrate occasion friend , family etc , , , , , , , bring happiness smile face every traveller tourist , , , , , , seem dream come true , , Viom 
 Jun 30 2009 	 ROUNAK BEST 	 Rounak good hotel new delhi good location good value . room clean clean bathroom every faciltie . view top floor & quot ; oh god & quot ; wonderful . hotel staff good helpfull . food tasty real taste india . smart choice smart people . 
 Jun 30 2009 	 Awesome Place - Awesome People 	 visit Delhi hire event organisation put stay awesome place good people high value work . good hotel stay far . room excellent , clean , good service ... actual value money spend . sure one good hotel anyone find around Delhi .... know would suggest visit . 
 Jun 29 2009 	 never never consider hotel even dream ... 	 pack small car luggage free pick - up could not say anything . when reach bad nightmare begin .... go room see first ... see bad room .. bedsheet old dirty one room dusty . we start say stay room . they show we another room equally bad . we call friend Delhi explain situation . he tell we leave hotel immediately . when go lobby , explain can not stay type place . we sitte lobby half hour wait friend come pick we up . when leave , receptionist ask we pay RS 2000.we take aback stay room less ten minute . we decide ignore leave . the receptionist call mananger stop we . he ask we pay . we say injustice . instead manager say cheat he . the manager say leave place pay RS 2000.the security guard block friend 's car move . we choice go nearby RAUNAK PLAZA HOTEL TOO.Luckily , staff much well kind even though room bad . the staff understand we make we feel comfortable . for RS 2000 , DAYLIGHT ROBBERY ! ! ! ! ! look HOTEL , would definitely RECOMMEND GINGER HOTEL RAIL yatri NIWAS MUCH INEXPENSIVE , NEWER , BETTER QUALITY SERVICE.THE restaurant ginger CLEAN DELICIOUS FOOD price reasonable.so , NEW DELHI , GO GINGER HOTEL instead RAUNAK HOTEL ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Jun 25 2009 	 EXECELLENT REASONABLE HOTEL .. CENTRALLY LOCATED ! ! 	 gud hotel .. owner hotel friendly helpful.i love stay india specially hotel clean serve good exotic indian food .. locate centrally time waste book trip agra jaipur hotel .. turn reasonable staff helpful . thank mr . singh make trip memorable ! 
 Jun 24 2009 	 nice hotel friendly staff 	 overall positive experience stay hotel . even though bathroom could use redecorate , room tidy clean . staff helpful friendly . book tour agra jaipur everything arrange perfectly . locate vibrant neighbourhood near metro station . 
 Jun 23 2009 	 good one 	 good service raunak hotel employment intelligent helpful.room clean , clean every day , restaurant good indian spicy food , could many choice , atmosphere relax good price . 
 Jun 21 2009 	 Specification Raunak Internatinal hotel : Farhad Hameed 	 India historical Place good enjoyment , sightseeing shopping . visit india also find raunak international hotel come india trip enjoyable easy . following positive point hotel1 : save secure location.2 : Near Metro station.3 : near shopping centers.4 : beautiful clean rooms.5 : friendly environment.6 : Clean Restaurant Delicious local international foods.7 : Highspeed Wifi internet.8 : Airport Packup drop9 : Wakeup services10 : Prompt Room service.11 : Criedet Card service.12 : Tour Services 
 Jun 16 2009 	 hotel hell 	 email contact stay hotel 6 - 14 June partner look photo hotel website 's look bad first day arrive hotel , nightmare ! wish show photo not take photo hotel . hotel stay seriously bad environment construction , dusty noise pollution . arrive hotel , get 2 guest hotel see room . shock coz hotel actually renovate be dusty everywhere ! put finger counter floor , never clean . bedsheet get stain 's really dirty . teh floor never wipe water 's dusty everywhere . show another room 's still . call house keep clean room house keep guy wipe floor use leg drag wet towel floor ! not view . guy try open curtain , whole curtain fall ! really upset tired tell accept want move hotel . charge 1 night RS 1,800 even not stay 's try fake people lie sell dirty hotel renovating constraction area . also charge taxi pick airport RS 550 front website say ' provide free pick airport ' charge we another rs 1,000 get hotel somewhere else ! seriously upset speechless hotel . travel many country never see anything like . nightmare disgusting . never ever see anything bad . 
 Jun 12 2009 	 feel cheat 	 reviewer say , website photo lie . room tiny window . pay $ 55 night & quot ; executive room & quot ; ( big discount publish rate ) get worth like $ 30 / night Delhi . staff lie train ticket confirm finally say reservation possible could try force we rent car tour Agra . price local sightseeing also apparently dependent much think get . staff member ask different answer . Staff 's english poor . several time stay water toilet would not flush . location hotel ok , well atmosphere Paharganj , still lot tout insistent beggar . 
 May 13 2009 	 Great Place 	 great time stay hotel . start travel India ease would definitely recommend hotel friend ! 
 Apr 24 2009 	 home away home 	 Raunak become home away home . pick airport plan . staff quick get back verifying airport pick . able store luggage well could travel light . WIFI great restaurant . staff friendly extremely helpful accommodating . relaxed comfortable environment . staff really extend make sure everything need . comfortable clean bed ! 
 Apr 5 2009 	 home away home 	 stay hotel 3 day . enjoy much . staff friendly helpful . manager team great , always work intent make stay pleasant one . well organize . good place stay . home , away home . 
 Mar 28 2009 	 good Hotel Delhi ! ! clean hot water . tank ! ! definitive well ! 	 good Hotel Delhi ! ! clean , hot water , tv English . the food service good ! sure recomende Raunak International yoyu need excelent hote good price , absolutely good hotel Delhi ! ! tank ! Adriana ( Mexico ) 
 Mar 17 2009 	 Exceptional service friendly helpful staff ... good place return 	 hotel locate Karol Bagh close Metro station ( Rs.8 Counaught Place , Rs.16 Central Secretariat ) . hotel clean friendly staff owner ( Mr Singh ) really take care personal interest need guest . meet many fellow traveller USA , England , place world . for budget hotel , price reasonable , room stay clean shower hot water ( let reception know hour get shower ) . linen towel change everyday room clean . staff really helpful everyway speak English well ( qualification Hotel Management ) . Karol Bagh good shopping location , busy day night . book 8 night I m glad . McDonalds locate main street Pizza hut road ... would recommend Vishals ( road ) manage bargain vendor ! tip : - make sure low denomination Rupees ( Rs.10 's , Rs.20 's , Rs.100 's ) purse / wallet.- stay long 3 day hotel , buy five litre water ( Rs.50 Rs.15 deposit return return bottle ) . fridge hotel cool often make ice . transfer water litre water bottle ... long run work cheap . 
 Mar 14 2009 	 good hotel indian standard 	 accord price pay , hotel good . first , book room raunak plaza , near construction site noise . hotel manager offer we new room raunak international hotel 2 street . room nice , small clean . hotel stuff friendly especially manager assistant help we lot book travel plan , shop useful hint . the area close center , metro station lot shop nearby . not look like area western city , good place stay delhi 
 Mar 9 2009 	 ideal place relax journey . 	 feel like home threre . owner friendly hospitable . pleseantly surprised offer we shower place rest going airoport ( check hour ago ! ) . hotel locate lively neighbourhood lot good restaurant , market backpacker need . hotel get internet hot spot ! 
 Feb 5 2009 	 good place stay 	 stay hotel two day place werth amount u pay . clean place , 3 star aminitie . food serve also good . staff friendly . nice place stay , go delhi definitely stay . good PLACE . 
 Feb 3 2009 	 avoid hotel . 	 picture see web misleading . appear doctor computer . fail pick airport leave strand midnight . call claim & quot ; car break way & quot ; , lie . staff speak bad english great difficulty understand . hot water available hour morning request ( understand ) time . electrical outlet room work . solution bring powerstrip plug one working outlet . exhaust fan do not work bathroom armoire smell mold . hotel safe , must trust staff valuable . staff demand tip inflate price . true money exchange hotel . unable make change small bill . could not get call taxi , instead offer & quot ; hotel taxi & quot ; double price ordinary taxi . go walk find taxi street . hotel locate dirty alley . even taxi driver trouble find . area full beggar tout . 3 star hotel . 
 Nov 26 2009 	 El trato lo peor 
 Oct 25 2009 	 décue 
 Oct 7 2009 	 Super geweldig 
 Apr 14 2009 	 Excelente hotel con excelente servicio 
 Mar 5 2009 	 médaille d'or de la saleté 
