robbed 	 place horrible . service terrible first arrive actually rob middle night sleep . think someone staff door lock . report incident follow morning , ignore security actually tell us hope & quot ; money may return & quot ; . could . never stay . money lose . could stay somewhere way well . 
 review pretty much right 	 good reason stay Imperial Palace location - pretty much heart strip middle everything . price main reason stay . would prefer stay somewhere nice , money , hotel good deal . whole lot - nightlife pretty much non existent IP , hotel close always something . room decent - nothing spectacular mean , shower hot water pressure really good . noise level okay unless someone loud hallway ( be Vegas 's go happen ) . room pop machine get little perturb someone fill 7 ! say - & quot ; get pay & quot ; be will get IP . 
 love place .. money 's great 	 right middle BIG casino 's .. be worth ! different kind room everytime go .. can not decide one like good ! be one w/ huge tub .. year stay one w/ & quot ; living room & quot ; ( couch tv ) bedroom do not ' door tho . can not guest . lol 
 good value heart strip 	 read mixed review even advise friend stay Imperial Palace , however get great flight / hotel deal thought would give go . arrive Thursday , check take 5 minute , walk room . inspection room , even check bed bug , thing lack little bit hair bathroom floor . next day clean lady clean bathroom . hotel outdate , restaurant worth eat minute much well restaurant Margaritaville , etc . pool decent get pack small . weekend hit , hotel full elevator line get alittle long , never long 5 - 10min wait know way around hotel could find alternate route room tricky , finally master shortcut day 3 . location ideal , also bus stop right outside hotel . plan spend hotel instead outside enjoy strip hotel suit need . look hotel want stay play without leave , upgrade different hotel ! 
 Bed Bugs Imperial Las Vegas Beware 	 stay 6 night , second night itch third fourth day show clean lady tell lady must develop allergy show back leg . agony week ask new sheet , blanket , bedspread , day would ask something new . look sign see nothing . come home see MD next day say bed bug bite . call hotel look . want stop rent room refund money . respond yet . shocked let manager know hotel ! ! ! many people sabby bed bug cleaning lady say , allergy must develop . besides want man see , embarrase even complain clean lady show bite claw self try get relief . shy post help someone else . tell friend OH got BED BUGS . 
 cheap rate good location nothing . 	 Booked IP quick one - night stay low rate . not expect much , still disappointed . probably uncomfortable bed ' ve every experienced . room , hallway , casino wear dirty . front desk staff casino personnel seem fairly competent . would ' ve miserable extended stay . tip : stay , request room far away Rockhouse Bar , otherwise will hear thump bass early morning . 
 Hey be Vegas .............. get to love ! 	 hey get back Vegas wonderful time . six we go stay Imperial Palace . 4 we regular room friend repete customer compe penthouse ! staff great , room comfy clean restaurant good . can not beat location price . town Sunday CFL play West & amp ; East final Grey Cup . GO rider ! Wynn say would play game us sport bar ....... ....... mandalay Bay conference 2000 Canadians stay would play game either . ask RockHouse IP say bet . 4 tv go , 2 1 drink special we treat we like royalty ! Thry aslso go play Grey Cup Sunday anyone donwn . go see great bunch ! Annie waitress even wear Rider Jersey ! go see Terry Fador Mirage , great showman lot fun ! would go back IP , like sixe place , treat well enjoy right middle everything ! 
 Nov 18 2009 	 good place strip great location good value money 	 hi everyonei dread stay hotel reading everyone review third time Vegas not really bother stay bed roof head ! ! I m glad stay ! ! ! perfect location CHEAP ! ! ! not let other opinion worry . good place room ( 3 room friend stay ) clean spacious , roach other state ! price pay 3 day $ 89 dollar expect ? ? ? venetian ! ! ! ! ! ! ! ! get pay ! ! ! lift slow never bother never wait long 5 min thing would like personal choice safe room ! ! ! honestly , bad pay perfect ! ! ! ! CLEAN ! ! ! like pay easyjet flight expect BA service get real ! ! ! ! ! ! ! ! ! Buffet ok Embers restaurant fantastic ! ! ! 3 course meal $ 29 dollar . Hope help 
 Nov 18 2009 	 vegas baby 	 awsome time imperial palace , dealer ther card dealer never forget name aslo north dakota make trip great 
 Nov 17 2009 	 good location get bit run 	 second time stay hotel clean , good location centre strip . also stop monorail handy . hotel although clean get run bathroom could upgrade whole place could coat paint . also feel buffet not wide choice year . not enough lift cope peak time , wait 10/15 min sometimes . walk difficulty force wait rather use stair . also charge use gym 10 dollar 30 min rip .They outside cocktail bar wife refuse access not i d consdere fifty pay guest find situation terrible rason back 
 Nov 17 2009 	 good location 	 basically know get pay for . the imperial palace cheap cheerful location amazing central strip . first trip Vegas although bit unsure first quickly get spirit place . you drink , gamble enjoy . Rock Bar front imperial palace always great great atmosphere bit lay back big club . the good bit hotel far away anything . price worth location look something bang date may want try slightly expensive hotel like TI Mirage . 
 Nov 16 2009 	 Wedding Hell 	 not even know begin , , , guess Sep , IP ruin engagement , , , find fece puke throughout bathroom , hole sheet big enough drive truck thru , , , complain front desk , , , move we 1030 night , , , not get ' m sorry , , , website address , , , promise ( see chapel already money , course refundable ) , , , not get we start run , shotty appearance chapel , drop unity candle , find parent tell we , , , , now hotel stay , , , , , start , , , lock hotel room , day , make we miss final Tux fitting cake decorator meeting , , , thi call securty treat we like criminal , cover thi maid go hotel room , Disturb Sign hang , , , , this happen several guest , money take one guest , FILTHY room , , , , , able brush tooth without water clogging , not even think take shower , without drain overflowing , , , , this penthouse ! ! ! ! ! ! arrange bellman concern wedding cake , Valet force car move , bellman arrive , cause Cake damage guest , , , , , , never get 1 ' m sorry , fact , make incident report security office , tell vacate premise , get penthouse , find stuff load onto cart , come room , find bellman drop wedding gift , stand kicking way , continued pack luggage , , , even bother pick gift , , , , , , when Hotel Manager finally arrive , 15 minute security tow , , , , never apology , bride say want leave mad house , tear run face , hand knee pick broken wedding gift , manager ball say , also want we property quickly possible , , , , I certainly see , guest gathering hallway , escort penthouse , elevator , thru crow hote casino lobby , like criminal , see , , , , shame , shame , , , , and bad part , pay KIND TREATMENT , Universe ? include horror story guest , , , , expect VISIT LAWYER ! deserve ! ! ! ! gave every oppurtunity make right , , , , , , SHAME ! ! ! ! 
 Nov 16 2009 	 well least save money 	 member Harrah 's Gold Rewards 20 year , say never stay bad one Harrah ' hotel / casino . room okay , clean , give extra coffee request . Décor straight 80 's – mirror ceiling everything . negative # 1 -We go find something eat - grant 11 pm , Vegas casino - find food joke . hotel 's hour ' food choice Burger Palace Ginseng 3 . bad choice since can not eat burger not like korean , Japanese & amp ; chinese food . force go strip find something eat . negative # 2 - coffee order Cocktail Waitress watery almost cold . not drink order water and/or coffee ( yes , tip Cocktail Waitress ) .negative # 3 - hard find & quot ; Non - Smoking & quot ; sectionnegative # 4 - next morning go take shower surprised find hand hold assist get large roman Luv tub , especially since climb shower . negative # 5 - next afternoon return room rest , find although bed make , rest room not clean . garbage not empty , coffee pot clean & amp ; emptied , fresh coffee , dirty counter , etc . call talk housekeeping problem , seem attitude bother trivial matter . return later evening , find emptied coffee pot , wipe bathroom counter . garbage still trash can , paper bit still carpet ( i.e . vacuum ) , etc . I could go , suffix say write Harrah ' experience . 
 Nov 16 2009 	 Good Location reasonable 	 stay IP Nov 7th thru 14th . hotel nothing fancy , location cheap price , can not beat . like we want clean place sleep , IP . want upscale hotel , would look else . 
 Nov 15 2009 	 poor noyse expensive . 	 put we room without soundproof , could not sleep first night , ask change . tell we 4 star hotel , 2 star one . 
 Nov 14 2009 	 stay 	 book deluxe room special mid - week promotional rate ( three night -- $ 89 ! ) . room ( # 1330 ) clean , comfortable , quiet , short walk elevator , luxe mean , meet every requirement moderate - cost accommodation lot big plush towel ! fantastic fantastic location Strip . facility issue ( slow drain toilet shower ) call desk engineer show within 15 minute rolling toolkit solve problem . need wi - fi available extra $ 10 / day -- perform flawlessly . hotel staff helpful intrusive . elevator little slow time . eat hotel restaurant -- use coupon book give check - in dine Flamingo , Paris , Harrah 's -- right street . Imperial Palace east walk , well , Bellagio , Caesars Palace , Venetian , Ballys Mirage . 
 Nov 14 2009 	 wedding nightmare vegas 	 search online perfect wedding chapel inside hotel tell well experience connect casino hotel . familiar Harrahs believe top notch property treatment guest . the wedding planner nice helpful entire time make arrangement plan wedding feel confident first wedding would wonderful , book room IP along maid honor , good man , groom parent , sister brother law ... arrive wedding dream begin fall apart ... tell could choose background chapel true , receive runner flower petal aisle , tell selection music choose first dance , do not available we give 2 song choice ask call do not , day wedding ask song go , never get answer end song never hear , minister anounce last dance . way everything reads believe toast include part ceremony would dvd , be not spark cider broken glass bag we take like party favor . wedding planner aware parent decease , reminded arrive ask break tear ... hard get marry w / out dad ... day wedding photorapher keep ask mom pic bride room ... even say parent not come dead proceeded groom mom stand say think mom . wedding planner would not let good man maid honor sign certificate ledgible . proceed put groom name witness spot certificate full white out.the minister crack joke , do not seem appropriate even meet ceremony ... find name read marriage lisence . we mislead wedding planner many picture atually get package afterwards find one allow take pic chapel ... photograher 's package expensive.the wedding planner set appointment maid honor salon locate inside IP hair updo makeup wed $ 250.00 seem high hey wed day pamper right ... well end charge we extra $ 112.00 saying do not get basic updo ... way maid honor redo hair do not even get elevator tiarra fall curl go , fall ... princess wedding chapel nothing compensate we disaterous wedding . our room IP deluxe actualy get one cup coffee maker , enough coffee one cup , 2 adult drink coffee , maid find we little one day tell we go buy coffee rig filter order coffee ... lucky regular room even get coffeemaker family either come room morning set find buy coffee.the faucet luv tub do not work properly could not get hot water come haul water shower bathroom fill faucet would not turn trickle going , door closet track husband keep fix everytime need get , slide glass door hard open keep go track 
 Nov 14 2009 	 bit disappoint 	 week upon return find digital camera miss . leave room never use . report miss seem like waste time since do not seem interested . old room centrally locate strip , can not trust leave anything room . 
 Nov 13 2009 	 daughter ; wedding 	 place joke trea ted daughter new husband disrepect . maid go room enter sign door . topeople go break belong . escort like criminal . Don'tget start one steal money one guest , valet leave door toanother guest car ajar run battery threaitng car tow bath tub break guest put enter staff go way can not read english send back across border . 
 Nov 13 2009 	 Great Place 	 do not know people want price . I stay 10 day place sleep Vegas husband treat good price can not go wrong especially location . food good cost room clean 
 Nov 12 2009 	 everybody disappoint hotel 	 read review hotel book . Most people be not happy . I honestly say ot twenty minute wait check would reccomend hotel . its expensive hotel staff helpful , room clean tidy . under bed could clean though ! buffet get slate review . it value money people want $ 14.a good location , people meet happy room , move different one . I would stay hotel . 
 Nov 12 2009 	 dump - demolish 	 stay 3 night . never againcon ... -Open door room bad smell eminate . -Room old tired . -Carpet badly stained.-no fridge , coffee making facilities.-pull back cover sheet hole , happen third night.-Took shower bath fill water , plumbing blocked.-Ca not window open bus bay window constant beeping reverse vehicles.-do not sleep well screech service lift nearby need servicing go night.-late catch coach get lift two seperate bank lift full room eventually gave walk stairs - coach tour depart 45 minute late luggage late - lift break ( ) .-disgruntle patron everywhere.-cigarette smoke permeate build even & quot ; smoking & quot ; floor . pro ... -Cheap - Location centre strip 
 Nov 11 2009 	 great choce kind got know work > > > > 	 22nd Las Vegas trip 5th stay IP . stay many hotel , keep come back . location top . head front door , within walk distance great thing city offer . we compe king suite , stay deluxe room , ok well . recommendation pay king suite price standard room Mirage , TI , much large room amenity . room sitting room , king bed . oversized tub , wet bar refrigerator , yes ..... coffee maker . big gripe read stay IP home planet slowest elevator . honor well earn , knowlegable guest learn second bank lift around back loft main bank . people seem know , wait bad . also front elevator seem much traffic walk back foom home floor use . particularly handy tote luggage . the restaurant good town , Embers steakhouse ok , coffee shop good breakfast , light lunch . room service great breakfast . ( use every day ) although little slow . Burger Palace buffet avoid cost . staff great , casino host among good business . front desk valet staff friendly helpful . would recommend hotel first time Las Vegas visitor , guest know way around , get good value strip . 
 Nov 11 2009 	 like sleep parking garage 	 recently stay October 26 - 30th two different side hotel , main part building must relatively ok room separate building ( Capri Building ) 20 minute walk away carpark like sleep carpark . hear television wall , EVERYBODY 'S conversation though wall not exist , fight car park , car alarm twice people try get room 3:30 - 5:00am call security twice break argument drunk college guy outside room 4:30 morning ( never turn ) Housekeeping also ' forgot room ' twice four day , ' do disturb ' not door . as regular business traveller stay literally thousand hotel level luxury economy . understand people not go Vegas sleep stay 4 day reasonable expect sleep stage . we turn heater ( particular cold front come ) whole room fill electric fire burn dust smell . it be centrally locate celebraity look - a - like deal card . 's good ' ve get . 
 Nov 10 2009 	 place DUMP 	 think great deal - airfare & amp ; 4 night hotel $ 325 . unfortunately , get pay . place absolute DUMP . pay 4 night leave 2 . thing miss cockroach . water back sink & amp ; tub , hairdryer not work ( nice find be stand dripping head hair ) , grimy room decor straight 80 's , bed HARD ROCK , towel soft wire loofah , air conditioning sound like 747 landing ..... . food restaurant ! overprice disgusting . yup , place DUMP . move 2 night Tuscany Suites & amp ; casino half mile strip - FABULOUS ! suite 4 time size dump Imperial Palace , brand new , beautiful , quiet ground staff could enough we . Saturday night cost we $ 79 Sunday night cost we $ 35 ! ! ! ! 
 Nov 10 2009 	 another Perfect Vacation Imperial Palace 	 4th stay imperial palace value customer service visit will not last . arrive early always get we right room 4 hrs early , ask room view . room right pool great view little loud we . go front desk see could switch room 5 minute later trouble new room . wife take mecidation need keep cold comp . we fridge room entire 6 night stay . maid service impeccable everything spotless plenty towel . ( not forget leave dollar maid well appreciated ) Room service take literally 10 minute hot fresh . well check tv not pay attention price day later review visa statement realize charge we $ 100 less reservation price , inquire tell automatically change reservation low price . well appreciate surprise . let know great deal pay $ 202 6 night stay ( include saturday ) room service . excellent visit visit every 4 month great value strech vacation budget alot . A++++++++++++++++++++ 
 Nov 9 2009 	 People hard please 	 return 6 night stay , first time hotel honest see fuss about . I blood wall vomit carpet , prob plumbing although take awhile water drain shower fine . staff friendly helpful , room always clean return , never wait couple minute lift ( Americans cousin refer & quot ; elevator & quot ; ) usually chatty friendly Americans they . we try emporer buffet honest quite enjoy , one place Vegas offer value opinion . in honesty price pay think great hotel despite fact last trip Vegas 5 star hotel would certainly stay Imperial again . Vegas hand lot complaint return , do not feel place talk feel strongly enough email Mayor flabbergast get reply , polite none less , unless thing change dramatically town get opportunity stay imperial . 
 Nov 8 2009 	 GREAT Location GREAT HOTEL 	 stay Imperial Palace October 31 , 2009 - November 4 , 2009 . first trip Las Vegas could not ask well location strip . close everything ! turn right hotel walk Venetian , Wynn , Encore . turn leave go Flamingo , Planet Hollywood , MGM Grand . Caesar 's Palace directly across street Bellagio diagnal . hotel staff friendly always helpful . yes room outdate , go Las Vegas stay hotel room ? ? ! ! request room back hotel away strip would quiet bedtime ask balcony check . 11th floor face Flamingo great . could get $ 5 pitcher beer casino bar dealertainer OK . not gamble much Imperial always walk around hotel could see . Bill 's next door cheap food drink , well Casino Royale . Bill 's discount ticket center buy ticket Love Cirque du Soleil ( pay $ 80 ticket 4th row , normal price think $ 125 ) look see show definitely stop . eat Margaritaville super close Imperial , would not recommend . food overprice not great . lunch Noodles Bellagio ( awesome ) dinner one night BLT Burger Mirage ( good burger ever ) . monorail stop Imperial / Harrah 's convenient get around . never problem elevator . time walk right , hit , open right . seriously , great hotel price fabulous location . go back Vegas , will stay definitely . hope wonderful trip ! 
 Nov 5 2009 	 basic room good bargain 	 able book & quot ; Deluxe & quot ; room tower non - smoking floor . Room decorate like 1990 's motel , rather dark window single slide door little balcony . elevator stain carpeting little jerky , hallway look anything upscale . can not beat price . room clean quiet . quieter MGM . Slept well , although mattress terribly comfortable . nice iron & amp ; clean ironing board . complaint safe room . 
 Nov 5 2009 	 cheap hotel ; cheap clientele . not expect much . 	 stay IP Oct 30 - Nov 2nd , 2009 . read review kind know expect . expect crappy Motel 6 less get . least room less clean . arrive 4 check bed clean sheet bedbug crash . ( bug way . ) morning see issue room . patio door hard open close . stained curtain . tiny tube tv . safe . bathroom wear pretty clean though wallpaper come mold top edge tub shower surround . know mold could grow ? ? lid toilet seat either . odd . room quite small bathroom also small . everything place cheap though . even ice bucket regular ice bucket , cheap plastic bucket print logo . even pen room , get tiny golf pencil write . even toilet paper absolute cheap stuff available . Bellagio every hotel well tp public restroom . want cheap place good location mid - strip IP go fine . would stay unless absolutely . noise issue neighbor Fri Sat night . expect though Fri Sat see lot college student 20 something check . main luggage seem consist case beer beer bong . know would well stay late cause would loud . . eat IP not think place good . find well food nearby casino well similarly price . ' m sure place tear remodel will not soon enough . even Flamingo next door lot nice buck per night . 
 Nov 4 2009 	 bad hotel strip 	 stay - place flithy even change room 3 time - end sleep clothe . would not even refund cancellation rest reservation . 
 Nov 3 2009 	 first time last IP 	 parking lot kind pain find . go AARP convention non - smoking room leave thowe request one upgrade mini suit witch nice . one floor order food room eat wheel table hall whole trip one last day take table put food plate floor next door . smoke smell game room bad . great location walk whole strip end end lot well hotel even less money . pool seam like nomal back yard pool , nothing like hotel . first time ever go vegas okay hotel much . go ember fine dining place two people split meal easy . young like expect young people . 
 Nov 3 2009 	 Loud 	 room ok good . hear everyone walk hallway hour day night , would think wall room loud music sound . 
 Nov 3 2009 	 good trip Reasonable Good Hotel 	 husband , brother sister - in - law drive Vegas end September 5 day getaway . first trip Vegas , second 15th . not stay imperial close 20 year concerned read review . could not pass $ 29 night deluxe room middle strip . glad not . great location , excellent service ( drippy faucet fix quick mention housekeeping ) clean , large room wonderful price . sure Imperial not grandeur hotel , not look place afraid leave fingerprint . want good pool , central location , clean room decent price . will back ! 
 Nov 2 2009 	 not Pass one 	 stay Las Vegas past 13 year . needless say husband frequent several hotel . stay 5 Star 3 Star along we see either age pass age maintain . not care read hear anyone tell stay Imperial Palace really need reevaluate thinking . check service fast . room ( simple deluxe ) large cleaner stay high priced hotel . see two good show strip right convenience hotel give discount coupon arrive . even show ticket several perforate coupon attach use receive even discount hotel restaurant bad . location beat . every age group represent everyone - guest , hotel worker , etc . - absolutely friendly . husband shock miss . boil attitude . go hotel negative outlook get , mean terrible time . go flexable one , aha ! great time . way - elevator A-1 , fast even fast hotel . apparent we imperial undergo cosmetic change everything clean shining . crowd hop blast . thank Imperial . return . 
 Nov 1 2009 	 good hotel - great location . 	 pleasntly surprised hotel . location perfect , free parking , room huge , clean well equip great stay . the casino buzzing - hotel great place explore Nevada & amp ; Arizona . 
 Oct 30 2009 	 great location mid - strip serviceable nothing outstanding 	 Stayed twice work times b / c cheapness location strip . absolutely no - frill room & quot ; Capri & quot ; area hotel , bit long walk strip , perfect vegas trip , want hang hotel room vegas ? casino hotel great ... cheap hold em tourney daily , mostly crowded gaming floor , cheesy dealertainer , food average , expect much , harrah 's flamingo , may know ' m miss b / c I ve vegas twice stay , seem one main hotel cheap airline ticket / hotel package deal . prob stay somewhere else next time change , reason avoid hotel either . ordinary terrible . 
 Oct 30 2009 	 great hotel value location . 	 stay 3 night , Oct. 16 , 17 , 18 . staff friendly check - in wait line bad Friday night . room comfortable , everything clean , bed comfortable , air conditioner work great . clean staff friendly would always smile talk us hall . casino nice easy walk casino strip - Location perfect . plan next trip definately consider stay Imperial Palace . 
 Oct 29 2009 	 Best Value Vegas 	 stay 1 week Oct 09 would definitely choose stay budget trip . pick hotel need particular trip tight budget still mid strip - job perfectly . course hotel not compare would pay 3 4 time price ( seem main problem lot traveller ! ) , however experience get check really quickly get great room overlook pool ( already know go strip view room want sleep ) . small bank elevator near room wait checkout morning ( even couple minute ) . room ( deluxe ) good size , bed comfortable , shower great & amp ; housekeep great job - room always spotless upon return . short , good value strip want save money many pleasure Vegas ! 
 Oct 29 2009 	 think twice 	 would like start positive ! staff great . dear lord , buffet fabulous . would say 8 plate crab leg alone suggest much enjoy buffet ( $ 18.99 correct price $ 16.99 display throughout hotel ) . locate strip definitely perk . step away club scene way walk back not bad ! ! ! yike bad ugly ... immediately arrive room take minute notice bite foot leg . friend sit bed feel sudden rush itching . go light see ton bug bite ! ! ! ask sheet change immediately thing happen new sheet . Ridiculous tell ! six torturous day return home . whatever bite we come home we ! investigation home dianose bed bug infestation ! look ! blood feed bug easily harbor clothe , suitcase , etc ! speculate infestation come .... would not suggest stay hotel . definitely place eat ! ! ! 
 Oct 29 2009 	 Luv Tub Nightmare ! horrible Hotel ... ick 	 purchase room friend mine drive long way meet we Vegas . originally plan split cost , not want expensive room . husband stay Mirage , book full . thought , close - figure upgrade room , might nicer standard room ( not great reputation ) . wrong . upgrade mistake . room actually basement , filthy . not even bother empty ashtray . smell like mold comparable bad & quot ; hour & quot ; motel room . picky people , friend end ask DOWNGRADE get room . standard room 10x well - still pretty gross . would not recommend hotel anybody ( except maybe $ 5 hooker ) : ) honestly ... keep look . 
