good 	 stay two bedroom suit four adult total . room bathroom . nice 32 " flat screen tv ' bedroom one living room . room clean look nice modern . hotel staff helpful friendly . free continental breakfast good . hotel location good car . mile strip lot choice din shopping within mile hotel . would highly recommend stay hotel . 
 Mar 20 2009 	 nice inside far convention taxi cost much ! 	 two room suite # 210 , small kitchenette , fair living area , room nice standard tub shower , good ac / heat , room ceiling fan ( help ) , four we . bed soft pillow ... bring .... other group problem . their continental breakfast ... hummmm ... well let say stick coffee unless strong stomach . much way store front desk . taxi ride Sands convention center average $ 25.00 ( tip ) way , car rental four day cost we $ 285.00 , well worth ( Hertz ) . hotel well know make sure address leave give next taxi driver get back . 
 Mar 6 2009 	 wonderful new hotel 	 new hotel near airport . noise plane almost non - existant never keep we awake wake we morning . bed super comfy . shower nice . bathroom amenity 1st rate ... not use kitchen every thing need . Big LCD flat screen tv . ok sofa chair .. free breakfast side yucky coffee provide room not much well . see many family small kid eat like final meal , forwarned . breakfast room small walk get hotel be back build . be go ' chow ' will disappoint want good night sleep will right place . close airport free shuttle . great location need catch early flight arrive late night . arrive 1 am trouble check . front desk helpful friendly . 
 Dec 27 2008 	 fantastic 	 great place business trip family . internet free . complimentary breakfast well . also provide free shuttle bus airport . hotel brand new . bed real king size one . prize reasonable . like ! 
 Dec 26 2008 	 Home Home plain 	 Homewood Suites Hilton , Las Vegas , Hidden Wells Rd - Vegas right budget [ ? not $ 2000 drop slot ? neither ] always get car casino crawl day , retreat quiet suite swim , food rest , back night . three day break exhausted . Mission Accomplished . Homewood Suites near airport excellent choice smart traveler want avoid noisy drunk casino resort . get studio suite 12/21/08 full kitchen $ 86 call direct . avoid crowd , avoid smoke , cigar smell , avoid hideous cologne soak hillbilly avoid late night hallway shenanigan keep awake casino room . place free shuttle airport - get rent - a - car right across street new Mega Car rental Universe . free shuttle Mandalay Bay . buffett B'fast ok . full kitchen fine stop Safeway get local restaurant delivery . fitness room burn pizza - tostado . get room away noisy elevator . two bedroom suit great family , ' executive ' lifestyle great price . click ' hotel name ' package deal search . 
 Nov 14 2008 	 Great Large Families 	 hotel great bargain . family six adult three child stay comfortably two bedroom suite $ 151.00 night . two bedroom , two bathroom , living room pull - out sofa , kitchenette three T.V.s ! see Strip away noise . hotel offer hourly shuttle Mandalay Bay . Whole Foods open - air mall nearby . offer hearty free breakfast small convenience store near reception . extensive selection take - out food deliver room . glad find place . seem & quot ; suites & quot ; hotel really one bedroom living room . actually two bedroom living room . everything still smell new . hope price stay reasonable . 
 Oct 28 2008 	 Comfortable Quiet -- yet Close action 	 hotel wonderful place stay want get good night 's sleep Vegas - still close hubbub day ! room reasonably price , new -- clean spacious . the staff helpful friendly . thrilled find shuttle take airport Mandalay Bay Hotel . get everywhere walk , take tram Monorail system . Taxis available , wait forever cheap . we love free breakfast -- lot variety . we thoroughly enjoy stay . 
 Oct 21 2008 	 Loved Hotel ! ! ! ! ! 	 love Homewood Suites - check Tropicana - stay 1 hour disgust book Homewood . room clean nice two bedroom suite - everything need . park close room full kitchen everything else would need . breakfast great , waffle , fruit , bacon , egg , cereal , etc . would definitely stay . close rental car return easy get morning leave Las Vegas . hotel one definitely look next time travel . 
 Sep 15 2008 	 Brand New 	 stay beautiful new ( open 4 month ago ) hotel Sept. return trip Utah . book 2 bdrm/2 bath suite . gorgeous ! one bedroom king size bed bedroom 2 double bed . sleep pillow galore bed choose . bathroom tub / shower combination toilet door separate vanity area . Neutrogena soap lotion product provide along hair dryer ( hair dryer also nightlight could bit light night ) . tv 's bedroom . the kitchen / living area separate 2 bedroom . kitchen 2 burner stove , full size refrigerator , coffee maker , toaster , dishwasher , dish microwave . provide 2 pod regular & amp ; decaf coffee coffee maker ( hotel give 1 ) . kitchen also beautiful granite countertop . small sofa , ottoman tv living area . the breakfast morning consist egg , bacon , potato , cereal , waffle , fresh fruit , yogurt , toast & amp ; bagel , along several type tea coffee . real plate , cup silverware provide ( plastic ) . breakfast area large overly crowd ( Saturday ) . provide shuttle service airport , pick . also provide shuttle service bottom hour Mandalay Bay hotel . think call want pick one go . front desk personnel friendly helpful . would love stay . 
 Aug 7 2008 	 Brand New Homewood 	 second stay Homewood not compare first stay , still nice . & quot ; dinner & quot ; anemic disappointing , mini burritos chip salsa , really afternoon snack , certainly like Homewood stay real dinner . Breakfast ok , certainly standard Homewood either - tasteless scramble egg , dry sausage cold amenity / pastry . this place brand new . new wonder anyone stay suite . lamp not plug hot water not work first , maintenance guy come & quot ; fix & quot ; somehow . stay 2 bedroom/2 bath suite ( sofabe 3 tv ! ) $ 150 awesome - full kitchen . certainly big anything else could ever Vegas price . location hard find away everything else , really quite isolated - although obviously flight path airport . still , find quiet , need last night trip . main complaint need work food presentation . would rather less choice high quality , stuff subpar . certainly quality ' ve come expect Hilton hotel . 
 Jul 24 2008 	 great new hotel one problem ... 	 greeting , Stayed hotel right next las vegas airport July 22nd . very nice hotel , obviously brand new construction . room super clean , full kitchen equipment small living room area sofa tv . really well locate people need catch early flight las vegas mccarran airport hotel provide shuttle service airport free . so everything positive , except one major problem . noise . room face hide well street . street noisy , issue right next hidden well street major highway ( 15 515 ) underpass basically impossible sleep whole night constant strong noise . member family apparently manage sleep somehow decently , traveller like sensitive outside noise , may trouble . so bring ear plug and/or make sure get room face hide well road perhaps ok./family montreal , canada 
 Jun 13 2008 	 great non - gaming extend stay 	 reservation stay someplace open door , place ready business . located south Mandalay Bay Hotel east Las Vegas Blvd , couple block fromt airport car rental center , place great . room top notch , breakfast evening fare great staff helpful . non - gaming property casino nearby , great place stay gambler prefer stay gaming hotel . room small kitchen . although not use pool , look invite , didi not appear could much tanning day , except high noon , pool locate area surround hotel building . say , place new , little noise traffic airplaine . place similar property locate Henderson , NV . 
