fantastic 	 stay Michelangelo past Sat . night ( 11/28 ) . hotel inviting , service timely , atmosphere warm elegant . room extremely comfortable , clean quiet ! bed / pillow / linen exceptional . bathroom suite fantastic . everyone assist we doorman concierge helpful , friendly pleasant . morning coffee good , along w/ croissant / scone . would definitely stay without hesitation . convenient location . 
 Thanksgiving NYC 	 daughter ( 23 yrs old ) go NYC Thanksgiving holiday choose Michelangelo Hotel recommendation friend . love five day stay lovely hotel . beautiful , nice room , great location entire staff create atmosphere comfort , safety luxury . conceirge , James , treasure . take care reservation give we great & quot ; inside & quot ; NY tip . hotel take care area guest watch Macy 's Parade Thanksgiving -- -we soooo grateful , event go NY see . thank Jefferey ! ! doorman always helpful cab direction . luggage porter great upon arrival departure . really could walk Rockefellar Center , Broadway , Times Square , NBC studio , Radio City , Central Park shopping . Michelangelo make NY trip special . 
 Oct 18 2009 	 finally find perfect hotel we NYC 	 stay many mediocre hotel NYC , finally get right . Michelangelo lovely oasis sea NYC site , sound busy - ness . experience pleasure start finish would highly recommend it . first - situate definitive location Manhattan tourist want see sight . also close theatre , able walk show night stay there . the time need cab get to / from train station . the doorman helpful , friendly big smile hint attitude . the concierge make suggestion get great theatre ticket . go call ticket broker see show want . said & quot ; go theatre 's box office ? sometimes get lucky great seat . & quot ; right . get 6th row , Center show want go several hour later . the room divine . think thing would change . call & quot ; inside & quot ; room . look sunny room , would . lovely room we . get Junior Suite comfortable king bed , sofa , 3 chair , armoire , bar , etc . bathroom marble beautiful high - end soap . bathtub good sized ... husband take bath enjoy it . we also visit bar right lobby . morning , free tea / coffee croissant partook nice . in afternoon , sit bar ( open bright open lobby ) platter artisan cheese , fruit wine . flat screen tv well . there shop call Cafe Duke step away hotel . salad , japanese food , gourmet hot buffet go , dessert , fresh fruit , drink , candy bar , pizza , etc . great place grab sandwich price somewhat reasonable ( be still New York ) .The hotel clean , hallway always smell good too . it wonderful experience return future stay NY . 
 Oct 17 2009 	 Fantastic Value New York City 	 stay two night Michelangelo Columbus Day weekend . book early get excellent rate ( New York ) $ 260 per night hotel 's website King bed room . want something centrally locate prove perfect place we 's block heart Times Square two block street Gershwin Theater ticket & quot ; Wicked & quot ; .Check - in quick wait room ready . arrive 2:30pm say check back 3 pm . go lobby bar drink wait . ( $ 18 one martini one soda ! - 's NYC ya ) Room ready promptly 3 . assign room 520 . base photo ' ve see Trip Advisor look emergency map door room , would say one small room hotel , still good - sized King bed , two comfy armchair ottoman , large dresser flat screen tv , mini - bar , desk . internet service available daily fee . safe room though annoying . check valuables safe deposit box front desk . Bathroom appear small first look prove perfect size ; toilet tub door close sink / vanity area . tub actually quite large great shower not feel closed curtain brushing . heat lamp tub room help dry fast . water pressure / temperature perfect shower . hot water pressure weak sink though , slow drain . two bathrobe provide well standard amenity collection ( shampoo , lotion , etc . ) room one clean ever see . complaint one pillowcase look like make - up smudge . ' m sure permanent take case luckily second case underneath . housekeeping replace case next day . one minor complaint cleaning product use perfume fragrance nearly overpower upon enter room first time . open one window air . help also cool room get bit stuffy warm time . a / C apparently turn season adjust thermostat turn heat not turn A / c fan on . the bed extremely comfortable make pleasant sleeping . chair room also plush comfortable . room quiet . even though face onto 51st window well insulate keep city noise minimum . hotel overall also quiet . never run people hall , lobby maybe dozen people give time . make nice oasis hustle bustle city around it . housekeeping service , great cleaning job , seem inconsistent service give . example , first night leave hotel 6 pm return around 11:30 . receive turndown service . assume not , second night gone ask extra pillow send . get back later find pillow find turndown service do . first morning leave room 10:30am return around 1 . leave please clean room sign door . return , sign remove floor inside room room clean . go right call housekeeping make sure room going clean . get back hour later have . one great plus hotel check - out 1 pm . never encounter hotel . parking available valet charge around $ 50 - 60 per night . self - park available garage block $ 27 night . hotel stamp ticket check - out . yes , garage steep incline leading will haul bag , 's half block walk hotel . also , block 24 hour grocery / cafe handy pick drink snack room . room service available course pricey . the staff member encounter front desk bar pleasant enough . overall , one good stay ' ve NYC hotel would highly recommend especially get reasonable rate like . 
 Oct 11 2009 	 Location Service Smiles 	 husband plan trip friend last minute husband go country business . arrive , upgrade beautiful suite . desk helpful , small enough hotel remember name . concierge extremely nice , give awesome direction ! stay ! 
 Oct 8 2009 	 beautiful ! 	 stay NYC want Time Square , would choice 100 % time ! staff terrific would try please ! food great ! 
 Sep 29 2009 	 Fantastic Hotel Perfect Location 	 stay three night 25th September , location perfect Broardway Time Square thearte road time square five minute walk , hotel exacellent service room bed nice . we fly Virgin Newark Int get Airtram Penn staition easy lot people hand Airport train staition help . ticket airtram 30 doller two we get train do not get untill get Penn station New York .... easyWe fly back Continental airline opinion well Virgin . remember book flight ticket call customer service ask terminal return flight gos ticket .... tip leave doller cab 20 % resteruant . if go empire state building book ticket line get fast pass , go big que talk 2hrs . show Fast Pass treat like royalty .. also go Ramesys London nice meal book line , nice relaxed snobby place cost 170 doller inc tip . it feel safe New York every one walk round guide book like police every corner . go open top bus good would recommend ticket avalible street corner hop want . any question thing cover cover send measege . 
 Sep 12 2009 	 Gem Big Apple 	 stay first time early August two day trip NYC . hotel centrally locate theater district within walking distance Times Square 5th avenue shop . also close several subway station well . friendly courteous staff . upgrade upon check , without request . room clean , bit outdated ( furnishing , coverlet ) . issue heat / cool unit sleep extremely well . think 's bit ridiculous pay $ 10 in - room internet service hotel clearly wireless ( computer available downstairs ) . complimentary breakfast light coffee world . special request cappuccino , etc meet without hesitation . around , great find . would recommend anyone ! ! 
 Sep 2 2009 	 Service Location Smiles ... 	 could not ask well place stay first trip NYC . tell expect much NYC hotel term cleanliness comfort , pleasantly surprised arrive Michelangelo . firstly , staff wonderful . bag carry we , door open , mostly , staff take time engage conversation help we whenever need ... always friendly manner , plenty smile include . upon arrival give room , hour check - in time . room spacious clean , bed amazingly comfortable , shower pressure calmness floor ( 3rd floor ) give relax mood , opposite noisy vibrant atmosphere NYC . street noise . ( sacrifice view inside room ) furthermore , decor great . really enjoy free breakfast include croissant , chocolatine 's , apple variety fresh coffee . finally , never wait elevator something quite annoying large hotel . also , hotel benefit amazing location . easy walk distance New York landmark Times Square , 5th avenue , Central Park , Rockefeller Center , Restaurants , Broadway show . make sure make stop 53rd 6th Halal chicken gyro cart amazing late night eat . finally , benefit amazing rate . strongly recommend hotel beauty , service location . would go , anytime . 
 Sep 2 2009 	 Outstanding Service Exceptional Room Great Location ... bravo ! 	 travel New York surprise 40th birthday celebration wife choose Michaelangelo base reputation , location , review Tripadvisor deal able get on - line . can not say enough top notch service . room upgrade arrive enormous , well appoint room ( even impressive consider telephone size standard New York ... room large comfortable city 's standard ) . number decent restaurant close Time Square small block south . service receive top notch bad thing say could bit selection continental breakfast ... say , able get Cappuccino go morning nice . return New York , hesitate stay definitely recommend anyone know travel . 
 Aug 29 2009 	 Great Location 	 place recommend friend location large normal room NYC . Times Square Central Park , whole city fingertip central location . staff wonderful , room clean spacious bed comfortable . shower powerful bathroom also spacious . road noise ( 6th floor ) right 7th ave , stay NYC hear road noise . minimal travel small noise machine sleep drown noise . get good internet rate 3 night stay . something usually notice care , elevator hotel incredibly fast . negative small one , health club small room low level piece equipment . stay . another tip , half block away , place call Cafe Duke fresh salad , fruit , prepared meal , incredible buffet , etc . reasonably price open 24/7 . 
 Aug 17 2009 	 great room great location great price 	 beautiful hotel quiet yet convenient Times Square , Theater District , major subway line . & quot ; free breakfast & quot ; - really croissant coffee - head right front door go 100 foot Cafe Duke - everything could want breakfast lunch . room beautiful . get small - & quot ; deluxe & quot ; roomy NY . 
 Aug 15 2009 	 bellissimo ! 	 bit wait room upon arrival Italy , pleasantly surprise upgrade wonderful suite enjoy two day ( want leave departure day ) . well - locate , esp . Broadway , Times Square , west side happening . exceptional service well - manage , bell person housekeeping front desk . grade : . 
 Aug 11 2009 	 Outstanding Hotel 	 first trip NYC want really special . originally book different hotel review really poor , decide find another hotel . disappointed . two suite accommodate teenage boy adequately - room stunning . Times Square , Central Park , Broadway , 5th Avenue shopping literally doorstep . would recommend Duke 's 24/7 deli next door - great way refill teenager battery ! great visit would highly recommend hotel . look forward try one sister hotel Italy . 
 Aug 10 2009 	 wonderful stay NY ! ! ! 	 NY celebrate 1st wedding anniversary , choose hotel mainly localization . much well thought would ! ! ! kindly treat service need ( concierge , room service , reception restaurant ) .The insieme restaurant perfect ! ! ! ! Michelangelo definetly elect oficial hotel next trip NY . 
 Aug 6 2009 	 elegant comfort 	 second stay Michelangelo -- stay 2 year ago daughter . time husband come along first visit NYC . impressed elegant decor , attentive service , great location Michelangelo . thrilled upgrade suite large sitting room , 2 bathroom comfortable king size bed . although exterior location bit nois interior room would , overlook elegant comfort room . location terrific -- close many attraction venue . recommend hotel many other would stay future . 
 Aug 5 2009 	 Wonderful Hotel 	 Michelangelo 4 night . first , upgrade suite view busy New York City life . sleepless night , request room change immediately relocate interior room . advice- skip city view ask interior room . service wonderful . beautiful hotel , clean , room smell fresh . breakfast hand include croissant . definitely go back ~ 
 Aug 4 2009 	 could well 	 stay Michelangelo 10 year ago think great . recent visit ' quite memorable . arrive hotel greet efficient , decidedly cool , desk clerk . get room , rather small , nicely appoint plush carpeting comfortable bed . marble bathroom quite pretty , issue : small tv ' work well take valuable counter space ; stopper bathtub break , take bath impossible ; large magnifying mirror attach wall loose look like go fall . room acceptable , bit tight , easy chair corner almost touch bed … a small chair would well . room air condition , fan go repeatedly blow cold air right bed , mere 12 inch air conditioning unit . hotel web site ( information book room ) say would receive " turn " service every night … we . huge issue , first night , dismantle bed remove many pillow , bolster , heavy bedspread , pile chair corner , make chair useless . information book also say free NY Times would deliver door morning….we never receive one , although newspaper available hotel lobby . the hotel offer free " breakfast " hotel lobby every morning . breakfast consist coffee , tea , hot chocolate ( request ) , accompany rather soggy croissant . sometimes , scone offer , good , quickly snap guest eat breakfast early . food item offer large bowl apple . hotel quite full , find empty table bit problem . coffee good strong , ' free breakfast choice Holiday Inn Express . a highlight stay husband get trap elevator several minute . take elevator lobby … I step , husband start exit elevator , door nearly close . step back avoid jaw death door ' open . 3 minute , inform snooty " gentleman " front desk . quite nonchalant plight tell , " oh , push ' open door ' button . " say , " ' sure ' try , nothing happen . " sort waved say " elevator probably go back … come back eventually . " gave see maintenance man appear . husband call help inside elevator ; maintenance man try pry door open , ' budge . finally , another man appear key open outer door 2 man forcibly open inner door free husband . take less 10 minute , desk clerk ' attitude inexcusable ... offer assistance apology . on positive note , hotel upscale italian restaurant call " Insieme . " dine first night food good … .I famous lasagna , live reputation . staff friendly service good . last morning hotel , tired croissant apple hotel lobby , treat breakfast Insieme , good pancake ' ever : " lemon ricotta pancake market berry " … YUM ! ! overall , Michelangelo good hotel , feel little put attitude desk clerk maintenance issue room . would tentatively recommend location amenity ( get ) , comparably price boutique hotel New York offer amenity friendly service . 
 Jul 24 2009 	 great hotel 	 stay Michelangelo hotel five night July . great place stay overall . location perfect New York visit . bed exceptionally comfortable hotel relax oasis middle exciting city . air conditioning not work hotel promp replace . bathtub great relax busy day . would definitely stay ! 
 Jul 22 2009 	 everything Exelent ! ! ! ! ! ! 	 GREAT experience ! ! ! ! whenever ask something get right . wait ever . bathroom large clean . also , wwa close pretty much everything except battery park central park . hotel wonderful , get , cheap price ! fabula experience ! ! ! ! 
 Jul 22 2009 	 Luxury hotel fabulous location ! 	 not get wrong - Michelangelo cheap hotel around , be worth every penny . we want go New York honeymoon , want something bit special budget hotel . get good deal Michelangelo go read review Trip Advisor . it 1st class hotel courteous bell staff , helpful reception staff , lovely maid amenity need - bar , room service , restaurant , mini bar , internet large room . the location truly make hotel - locate W 51st street next Winter Garden theatre ( Mama Mia ) cafe restaurant around . someone not familiar New York , be summary location.- couple block away Times Square ( 10 min walk ) great restaurant like Olive garden.- Radio City / Rockafella Centre / NBC Studio - 10 min walk direction ( recomment Radio City Music Hall Tour , NMC Studio Tour Top Rock Observation deck ) - 5/10min walk pretty much main broadway show - must go see Wicked - good theatre ever see ! - Empire State Building / Macy 's - probably nearer 15/20 min walk worth visit definately do - able- Madison Square Gardens - 20/25 min walk well worth visit something see - saw women basketball game great ! - Central Park / Madison Ave/5th Avenue shop - 15min walkI safely say location hotel make stay much easier enjoyable . 
 Jul 20 2009 	 New York 's good 	 get back trip NYC friend . go year past four year second time Michelangelo . LOVE hotel . first class service way . go beyond make stay comfortable . stay Sheraton around block last year disappointed . elevator crowd staff helpful . spoil Michelangelo year . room clean . staff friendly . hallway quiet . hotel opinion well look forward stay ! 
 Jul 18 2009 	 5 - Star way 	 wife love stay Michelangelo Hotel New York City . agree bed softest , comfortable bed either we ever sleep anywhere . room elegantly furnished , spacious , quiet . staff helpful courteous . hotel conveniently locate : short walk Rockefeller Center far Times Square Broadway show . stay town Lincoln Center concert , convenient short distance travel also . worth cost / hotel rate stay , visit central Manhattan . 
 Jul 11 2009 	 WOW ! 	 husband spend 2 night Michelangelo nothing praise . room large well appoint ( NYC standard general -- mean 's big room ! ) . bedding toiletry luxurious marble bath room spacious , large tub great towel . morning coffee , include espresso cappuccino lobby along croissant apple . service average surprised door man time . Valet parking $ 40 / day . I would absolutely recommend hotel stay . 
 Jul 9 2009 	 Excellent Boutique Hotel 	 stay many New York hotel aware standard room NYC like . hotel exceed expectation colleague many time . staff attentive doorman always courteous helpful , bellman give tour room , housekeeping always polite helpful front desk upgrade we upon arrival without ask . hotel well appoint clean attention detail evident everything . morning croissant , tea coffee perfect way start day . elevator seem always need one huge plus . hotel get right every way . stay every time get chance . 
 Jul 6 2009 	 HIGHLY RECOMMENDED 	 father & amp ; stay Michelangelo July 4th weekend . reservation huge hotel right nearby change Michelangelo upon read many positive review post . extremely pleased choice like many reviewer find new favorite NYC . upgrade studio double two large queen - size bed separate bathroom suite -- yes suite . walk - in closet , sink , & amp ; separate toilet / shower area could closed main bedroom . furnishing linen high quality . especially appreciate Bose radio / cd player . service excellent note calm atmosphere compare several mega - hotel nearby . location perfect almost anything -- near Radio City , Theater District , corporate tower , etc . italian atmosphere also evident suble classy way . stay many different hotel NYC definitely among good . would highly recommend return . 
 Jun 24 2009 	 convenient comfortable old fashioned chique 	 Location perfect , room spacious , bed superb . get good deal provide appreciate kitsch appeal chique hotel ( mainly lobby area ) , really good place . not try restaurant , full breakfast . complementary morning coffee croissant though give nice touch stay . recommend ! 
 Jun 24 2009 	 5 Star Hotel ? ? not think ... 	 thing hope / look book hotel - good looking , classy , roomy , decently price , good location , good room service food , nice room veg relax . actuality - little tacky looking , seem like 3 1/2 star hotel , guess room consider ' big ' since everyone keep say new york hotel room small , good location midtown . Booked Suite Room , pay $ 230 night Expedia , upgrade Junior Suite , place we right elevator 4th floor . Pros - Right Times Square MOMA . king size bed comfortable . design furniture floral european thought . television swivel watch couch . Cons - Noisy .. every 10 minute , would hear ' de ' elevator people come .. annoy tolerable . early morning , awaken several time extremely loud noise water pipe next door floor we . pillow miscellaneous stain room general spotless think would . television tiny . pay per view movie $ 12.95 skip bad stop watch . Room smell like Windex bleach . view window . kind 5 Star hotel slipper ? expensive room service food either bland salty , ribeye medium rare request , would ' ve happy McD's . overall , noise mostly problem since room right elevator thin wall general . room furnishing , hotel design , mediocre service not seem 5 star .. 4 star . likely will not go back . originally decide Affinia Dumont Michelangelo , maybe ' ve choose Affinia instead . 
 Jun 22 2009 	 large room noisy air conditioning . 	 stay 10 day ago , get upgrade large junior suite arrival . the room large minimal noise street below . we disappoint old air conditioning system seem ' kick ' every minute . noise loud . another positive Hotel excellent location . 
 Jun 21 2009 	 Good Choice 	 husband stay many time New York many year . young frugal , stay west side near area Michelangelo . stay Plaza upscale hotel north east Fifth 55th , year since mid 70 , preferred area . trip Advisors recommendation , try Michelangelo , since theater ticket , learn appreciate area offer . really convenient lot thing , bit tacky side . least safe use . since stay Friday Monday , favorable weekend rate . I surprise see attractive lobby , consider price . room fine , could spruce . not care neoclassical decor . velvet chair & quot ; tired & quot ; . downer noise , construction take place right head , drill noisy , happen one day ; noisy air conditioning unit . room , face 51st St. , amazingly quiet , consider 3rd floor . upper floor building enter separate entrance next hotel entrance , condo apartment part hotel . love coffee delicious croissant lobby bar . one not waste precious time breakfast . fruit offer every day apple . think orange juice would appropriate . we try several restaurant vicinity . 2 favorite Trattoria Tricolori Basso56 , italian within walking distance . recommend . right 51st block 6th 7th quite choice . mood splurge , try Le Bernadin , year consider top restaurant . also Capital Grill , Ruth 's Chris Steakhouse , Cafe Europa breakfast lunch , Heartland Brewery , eat lunch check . food commonplace , people watch entertaining . 51st office highrise spew people certain hour . also large grocery / carry kind ready eat item practically next door . the Friday Monday doorman attentive , Sat . Sunday replacement never open door we . think hide baggage room door . would stay hotel , spite negative . real bargain . Midweek might buy though , ost New York hotel tend pricey . 
 Jun 17 2009 	 perfect 	 New York small hotel therefore much welcoming service orientate mega - roomed chain usually end . junior suit ideal really good bed furnishing lovely bathroom wonderful large bath tub . this good place come across take sight NYC - ideally place everythingthe service discrete attentive . eat restaurant ok well available nearby . 
 Jun 17 2009 	 Excellent hotel perfect location 	 plan stay somewhere modest , stumble bargain rate Michelangelo grab . glad , superb hotel . modern , clean , efficient , comfortable , prime location . 
 Jun 15 2009 	 glad believe tripadvisor.com user choose hotel 	 stay Michelangelo four day last week . , ex - husband son girlfriend , three room . everyone enthusiastic give high kudo book hotel . little anxious set foot hotel , people ( ) give bad rating , thinking & quot ; favorable review fake ? & quot ; , ' m begin think bad review might fake . New York five six time . stay modern hotel well - know hotel - chain . find hotel ' m go stay every time go back New York . thing love lobby : peaceful quiet , sound hear classical music . pink marble floor something ' ve never see american hotel , ' ve stay many . big hotel ' lobby , hundred room thousand guest , resemble zoo , much noise traffic people try hear service . the elevator always come almost instantly , never wait 10 second . complimentary breakfast basic , coffee cupcake croissant , rich , would feel guilty eat 3,000 calorie breakfast . the marble bathroom something ' ve see european upscale home , even bidet ! indispensable anyone know usefulness , will not get detail here . my complaint air - conditioning rather old noisy . would prefer modern , ' m sure consume great deal energy , . , hotel think replace whole system . 
 Jun 15 2009 	 bad -- great 	 stay Michelangelo Hotel 4 night early June 09 . overall , not bad hotel , money expect more . the hotel convenient subway line , big plus get around Manhattan . beautiful lobby -- impressive . deluxe room size average hotel room . bed extremely comfortable . like turn - down service , large tub , free New York Times , free shoe shine service . a thing not like . room certainly see well day . look bit worn need makeover . air conditioner loud right next bed . would cycle 30 second every 3 4 minute day night , blow cold air bed . bathroom small , ordinary , need renovation . black white tv bathroom 3 4 inch screen use antenna ; essentially unusable . one pet peeve hotel charge internet . Michelangelo charge $ 10 day , free computer lobby ( extremely slow internet connection ) .One thing note hotel advertise free coffee tea morning , . reason think continental breakfast . morning croissant . one morning scone well . thought would option . for price think hotel average . get great deal room want Times Square area , would not bad choice . will not stay think well hotel price . rest trip stay Vincci Avalon Hotel , price beautiful suite excellent location . 
 Jun 14 2009 	 stay 12 year .... 	 discover hotel 1997 stay anywhere else since . say . great location , great service atmosphere madness outside front door . poncey boutique hotel full ' actor ' black pretend staff . love . 
 Jun 10 2009 	 great hotel ! 	 stay Michelangelo June 2009 read great review Tripadvisor not disappoint . staff extremely pleasant helpful beautiful hotel . upgrade check desk find king size bed spacious room walk closet separate vanity bathroom . room nicely furnish huge bath tub , nothing special huge . hotel location great close subway line conveniently locate near MOMA , Times Square , Central Park Rockefeller Center . Michelangelo also across street Le Bernadine concierge able get we last minute reservation night problem ! drawback think right 7th avenue hear low hum crowd car be low floor great sound absorb drape pull window . 
 Jun 3 2009 	 Elegance great hotel comfort home 	 read other review Michelangelo , give try . husband usually stay & quot ; Name Brand & quot ; hotel City . little apprehensive first , step door feel ambiance know make right decision . atmosphere course old world Italian . staff polite beyond helpful . request early check due early morning flight , room yet available store luggage see site . return hotel compensate we trouble ( actually trouble ) . room elegant extremely comfortable . 4 story middle NYC , outside noise level null . pleasantly surprised . room spacious , bed comfortable whole hotel clean . future trip spend Michelangelo . price , get good one check internet frequently . thank Michelangelo staff . 
 Jun 2 2009 	 great hotel 	 find staff courteous helpful . room large clean , particularly city . think ' ve find new favorite . 
 May 29 2009 	 love love LOVE hotel 	 Let tell LOVE hotel . 's room nicely sized , clean , comfortable , even bit luxurious . early month , come town late night medium appearance book write ( aside : ' m famous anything , huge deal ) . wife arrive midnight , Rockefeller Center 8:15 a.m. 7:50 a.m. , realize forget dress shoe plan wear suit ! leave choice : know forever goofball wear orange sneakers gray charcoal suit MSNBC 's & quot ; Morning Joe , & quot ; find pair black dress shoe next 10 15 minute . I call front desk explain situation . ' m desperate , say -- help ? check : doorman take shoe , shine , call say send room . nervous wait lobby , change straight away . so hotel doorman literally give shoe foot . ( tip pretty well come back 9:30 , course , way know whether have ! ) be great hotel . would stay New York minute -- -and definitely . 
 May 29 2009 	 one 's gem ! ! 	 Midtown Manhattan bustle , busy place lot 's people . 's grateful peace quiet elegant hotel day crowd . room wonderful . clean , comfortable service excellent . fantastic shower . bit surprised charge $ 5 cup coffee hotel lobby bar $ 9.99 charge WiFi , hotel great nonetheless would not hesitate stay . 
 May 26 2009 	 great location - close 4 subway line 	 wife stay Michelangelo Hotel 6 night early May 2009 . room comfortable , spacious ( dress room lead bathroom unexpected bonus ) quiet . complimentary coffee / tea croissant / scone morning welcome eat New York cheap . possibly good feature hotel , however , be proximity 4 subway station . New York big city walk attraction possible , would much ask walk everywhere . taxis great road generally traffic - free day anything . Michelangelo situate within couple block station 4 different subway line , however , able get wherever want without walk mile . subway undoubtedly good way get around city day number 1 tip choose hotel New York would check proximity subway line station . the one side hotel eat option area great . hotel locate close Times Square ( busy - well avoid ) vast majority eatery vicinity chain restuarant variety . due aforementioned proximity subway station , however , problem . able leave hotel room evening 15 minute later Greenwich Village / Little Italy plenty great eat option . for interested baseball , hotel 5 minute walk subway line take doorstop New Yankee Stadium Bronx . the hotel also locate 5 - 10 min walk Rockefeller Centre . wife get sunrise - sunset ticket Top Rock . wait 5 minute get lift , take we 69th floor 50 second . view top Central Park Empire State Building fantastic . ticket allow we see city spread we daylight also light dark evening . not go Empire State Building ( ) 's famous building New York 's one building can not see go ! ( b ) queue mean horrendous ( c ) take age get top lift . I not give hotel 5 star value pay premium get good hotel good location New York . hotel good value New York expensive . 
 May 21 2009 	 Excellent Hotel Mid - Town NYC ! 	 wife find Michelangelo Hotel Trip Advisor glad ! everything promise . clean , comfortable , excellent location , great service , fair price ( NYC ) . go back every time stay NYC . 
 May 7 2009 	 lovely elegant hotel . 	 stay Michelangelo Hotel NYC . be fantastic ! ! ! ! 's chic , classy , elegant . 's clean comfortable , be surround marble , luxurious bed , beautiful room many wonderful amentie . location perfect 's near place want visit , be middle everything , yet 's quiet private . husband would never stay another hotel . visit NYC lot . 
