perfection 	 recently travel US Australia family reunion find Affinia exceptional . concierge amazing . Christopher helpful , enthusiastic professional concierge ever meet . concierge know name end first day ( 2 adult , 4 child age 4,5,6,9 ) greet we genuine enthusiasm . australian travel Chicago , hotel remind we home , ' fake ' american service , genuine care ! room big extremely clean . wish coin laundry nearby ! great pizza restaurant next door within 1 block hotel . australian want proper cup coffee ... french bakery nearby great morning meal ! well do Christopher boy Concierge .... thank make long trip pleasant ! 
 Great Boutique Hotel Perfect Location 	 pleasantly surprise nice small hotel . beautifully renovate nice restaurant . eat breakfast think Chicago price , bad . not complimentary coffee lobby pay cup room . not like , every hotel stay , coffee maker room free . great location 1/2 block Michigan Ave 3 block south Water Tower . 
 Oct 14 2009 	 love 	 spend 3 day Columbus Day weekend Affinia , Chicago please . studio suite room modern , well appoint . bathroom cool look . everything clean ( even grout shower ) sheet ultra soft . 22nd floor pleasantly surprised elevator problem . maybe time right get lucky . concierge recommend great breakfast place ( West End Egg ) staff super nice , helpful friendly . location great . going eat next door Gino 's East Pizza , tell concierge he / she give vip ticket not wait line ( long ) get free garlic breadstick ( thank Concierge ) . street noise nothing not hear city . go back definitely stay . 
 Oct 14 2009 	 Good Value 	 would probably give hotel 3.5 rating possible . get good deal overall pleased hotel . location fantastic shopping sight seeing . however , convenient location come noise . siren really loud middle night combine jet lag make sleep difficult . window single glaze unfortunate . the room nice , spacious clean . order special pillow etc never arrive , not bother follow . simple thing miss room glass drink mini bar . use fitness room couple time please . machine good , headphone towel provide everything seem quite new . 17th floor not problem lift . hotel little odd though furnishing modern certain element lift air conditioning quite date ( obviously not update since hotel change hand ) .Had breakfast two morning , nice quite expensive . also eat dinner one night nice . c bar lovely great view . also nice pub across road call Elephant Castle , food good . overall , would stay rate available . 
 Oct 13 2009 	 Good Service Great Location 	 stay Affinia 5 night begin Aug 2009.we meet 2 group family member different town request room next , able accommodate . we check , go dinner come back realize air conditioner working . call front desk ( around 11:30pm ) someone come right away move we one room , complete upgrade room , question ask not switch back rest trip ! hotel locate central Chicago , right magnificent mile . walk distance every sight seeing spot think ( walk long other ) .It also immediately next door Traditional Chicago Deep Dish Pizza -- - go early , reservation weekend . for thing walk distance ( wrigley field , various restaurant ) train 3 block walking distance . staff nice even give we recommendation local bar ( expensive ) skytop bar cool , way price . also main elevator go high floor slow . housekeeping great . before go , go online request type pillow want ( , ipod speaker , buckwheat , memory foam , firm ) also allow borrow ( complimentary ) IPOD walk tour ChicagoWe use fitness center couple day , small adequate ... couple eliptical ( tv attach ) , bike , weight machine , water cooler ... size one hotel room . there Duane Reed around corner snack beverage well . all great deal ( book different hotel website , directly hotel get great deal . 
 Oct 10 2009 	 Huge Disappointment ! Coined Phrase 	 Word wise ..... Chicago stay Affinia .... high end boutique hotel , , find , low end service . first suite give air vent building right outside fourth floor window emit constant , drone sound . would prohibit good night 's sleep . request room change . offer one 28th floor , queen . although originally reserve king suite open queen , available . make move room find queen barely double . great view city , double ? seriously , be right ? third try appear winner , 28th floor ... floor ceiling window , leather appoint living room , really nice ..... could finally kick shoe stick around . get , ever see sign next coffee maker say & quot ; Coffee $ 1.00 / tea $ .50 & quot ; ? can not make , ' m creative ! never see ... Nestea tea bag no - name coffee , top foam cup . set real tone , not ? follow concierge 's total eatery knowledge must consist Taco Bell . thank goodness cell phone Andy 's Jazz Club understanding ... repeatedly assure would need reservation , definitely find case . hour half later lack reservation limit us table bar , add $ 10.00 cover charge per person , put time limit stay . begin ...... memorable moment come 1:00 . ready ? & quot ; husband discover LEAK bathroom .... directly TOILET yes , access panel ceiling . lucky one find , experience , whatever case may . 's much fun calling desk time night maintenance guy room 1:30 . mention elevator wait average 5 minute ? guess make room 1:25 must record . employee mop water around toilet sink bath MAT hand TOWELS , leave , assure we could fix leak . fifteen minute later receive phone call say leak fix think leak restaurant ice machine floor . mention wet bath mat towel leave we clean ? trouble , hassle , right creepiness total $ 60.00 plus tax take bill . clearly situation entire stay compe . could count return business right . 
 oct 8 2009 	 Great Hotel Location Restaurant Room Rooftop Bar ! 	 Loved newly remodel Chicago Affinia ! Stayed suite upper floor- comfortable large room . location well - close everything- one block Michigan Ave . rooftop bar wonderful view city , good raspberry margarita ! staff helpful . C - House restaurant hotel excellent Ginos East right next door deliver . the parking ridiculously expensive , typical large city elevator hotel small slow . 
 oct 8 2009 	 really nice clean comfy hotel 	 go Chicago weekend meet IL friend shipping . friend interested go Magnificent Mile area choose Affinia Hotel . hotel perfect location . hotel staff extremely friendly helpful . room spacious clean . take hop hop bus take pick spot block away . much Chicago , need long weekend enjoy . look forward go back . 
 oct 8 2009 	 Nice hotel not wow . 	 husband celebrate 40th birthday night 's stay Affinia Chicago standard king room 18th floor . get decent rate room AAA . rate 4 - star , would give 3 - 3 1/2 . room feel old , trendy furnishing wallpaper add try make well . clean , peel paint baseboard window old . furnishing nice though , especially large flat screen tv . like three step entryway bed desk area , make less generic . overall room fairly small . room soundproof either . could hear people talk hallway door slam close . luckily not many room floor , not hear noise often . bathroom fairly nice , bright orange wallpaper bit much . aveda toiletry nice though . the well bad part stay location . can not beat one block Water Tower be shop , great . bad part location across street emergency room Northwestern Memorial Hospital . awaken several time ambulance siren . use night noise siren live busy street city , siren definitely louder ' m use to . the service decent , nothing special . ask special pillow pillow menu bring room . wait get back shop . husband like swedish contour pillow , get magnetic therapy pillow . really not great , pretty flat hard . overnight parking fee bit high , $ 48 24 hour . privilege though , able drive dinner rather take cab . wait 10 minute valet bring car time . overall nice time , would probably try someplace else next time . 
 oct 8 2009 	 Great Location Hotel Staff extremely helpful ! 	 wife book stay Affinia Chicago Perfect Escapes . get great rate $ 169 , get we upgrade Junior Suite ( large room ) include full breakfast C - House restaurant allow we check room 4 pm . request room upper floor , due review complain street noise . still hear occasional siren emergency vehicle though . Gino 's East directly next door always line outside building . place carryout order pick fresh oven 45 minute , walk back room enjoy deep dish pie . also go cocktail C - View Lounge locate 29th floor rooftop . classy great view . hotel staff helpful act every request , also discount coupon line pass many local restaurant club : ) great time first trip Chicago would hesitate booking next stay Affinia Chicago . 
 Oct 8 2009 	 Perfect location- close everything ! 	 fiance go Chicago enjoy weekend city . choose Affinia modern look location- neither disappointed . decor beautifully streamline room simple clean . locate Superior St , hotel east Magnificent Mile provide perfect base get Navy Pier , shop , area Chicago due close proximity Red Line Chicago stop . able get Chinatown matter minute hotel . addition great location atmosphere , rooftop bar cozy delicious ( bit overpriced ) drink ! 
 Oct 6 2009 	 elegantly appoint 	 hotel exceptional ; new favorite hotel Chicago . arrive snowy March day overnight stay , staff full good suggestion ( be deep dish pizza step hotel ) . room right door - hear zero street noise . catch cold staff make feel like guest hotel . 
 Oct 5 2009 	 relax quiet weekend 	 hotel decor date attractive , bed comfortable room clean . staff friendly would rate hotel average . 
 Sep 28 2009 	 Affinia review 	 third trip Chicago wife ' first . take wife surprise trip could experience Chicago . pick hotel rating / feedback . enjoy stay would recommend hotel . staff pleasant informative . assist we tour information even call reserve seat boat tour . hotel location Magnificent Mile near Water Tower . reason would return hotel could experience different one . comfort plus , location plus , staff double plus . negative construction go next door . really issue ; go time . 
 Sep 24 2009 	 Nice hotel .......... 	 Affinia nice hotel comfortable room terrible lift ( elevator ) system . two go floor 1 - 7 two go floor 1 - 20something . I floor 10 wait age every time call lift course two suitable journey . when leave carry heavy case floor 7 choice 4 lift wait long time lift arrive floor . I stay problem get well ; not know answer not think ; stay . 
 Sep 24 2009 	 Elegant Convenient Amenity - fill ! 	 place fabulous ! ideal location . c - View Rooftop Lounge decorate beautifully . not eat , menus sound great c - View C - House , serve great unique drink . concierge helpful . & quot ; Experience Kits & quot ; great idea ! room beautiful well worth money -- Sheraton , not nearly nice . would recommend hotel anyone visit Chicago . 
 Sep 23 2009 	 absolutely beautiful hotel 	 live Michigan make many trip Chicago son ( 7 time trip ) Affinia good hotel ' ve ever stay . stay queen suite fold couch . room beautiful , whole hotel immaculate . can not comment service , since not order , location great . within walk distance pier many Chicago attraction . also awesome pizza place right next door . 's business - type hotel , would not recommend people want entertainment hotel kid . 
 Sep 23 2009 	 Excellent facility service 	 great hotel good location , close shop , entertainment , bar transport link . what really stand though quality service - joel front door , erin reception Christopher Concierge deserve special mention - nothing much trouble always look go extra mile making feel welcome . we would not look another hotel Chicago can not wait get back . 
 Sep 14 2009 	 Great Stay 	 pro - all experience Affinia good . pleased hotel employee , room , service , location . staff great smile friendly helpful . location right next Mag Miles Nave Pier , bus stop train station also couple min away . great location ! con - 2 elevator avail high floor ( 8th ) 24 story building . take average 2 - 3 min waiting period . ( , small , fit 7 - 8 people max ) c - bar C - House ( restaurent ) great . much city view surroune building , still love atmosphere . overall , great stey . ; ) 
 Sep 9 2009 	 Great Small Hotel Michigan 	 Affinia small hotel 4 block north river Michigan . , great location walk river , downtown , Lake , Gold Coast , Lincoln Park , etc . central really nice . room large one would expect well appoint . everyone extremely friendly helpful . especially love stop end long day rooftop bar afternoon drink . bar make elevator situation ( slow small ) little annoying time . 14th floor elevator issue wait bit usually sometimes would full would wait next one . floor 1 -7 different elevator bank seem much less crowded . upgrade Suite $ 40 night find extra space well worth . note item : highly recommend Bobby 's Bike Tours . Chicago Neighborhood tour Gold Coast , Old Town , Streeterville Lincoln Park . fun informative way see city . like David Burkes Steakhouse . hotel recommend could get gibson . expensive steak great . disappoint especially since $ 300 dinner . 
 Sep 8 2009 	 pleasant surprise 	 Affinia pleasant surprise . price well , room quite large layout unique . bathroom desk upper level . bed , tv recliner three step low level . work really well 4 people room . minor issue tub not drain well ( not complain ) . hotel heart Michigan Avenue , yet easy get Lincoln Park , White Sox game Bucktown via subway . time take cab get luggage to / from subway $ 10 cab ride compare $ 40 + cab ride to / from O'Hare . highly recommend Affinia back ! 
 Sep 5 2009 	 Pleasant stay good location unique atmosphere 	 husband go Chicago long weekend much enjoy stay Affinia Chicago . look central location attend concert Staples Center explore city . since rent car , Affinia provide central location near public transportation , restaurant shop . room plenty space , although view office building next door . reception staff friendly helpful able leave luggage attendant last day sightseeing . hotel unique , charming appeal nice change usual chain hotel . price excellent compare hotel within block Affinia . would definitely stay . town , would highly recommend attend Food Tour well afford we option architectural tour tasty food sample along way . 
 Sep 4 2009 	 location room bed staff great ! elevator 	 wife return four night Affifina . overall , happy hotel choice . staff helpful ! concierge , Marisol , FANTASTIC ! help we everything request . room spacious bed super comfortable . hotel , room , clean . one block Michigan Ave . right next famous Gino 's East ( pizza ) perfect ! , great . elevator require lot patience . hour elevator ok , busy hour stand wait 10 minute . one point , ten minute wait 24th floor , take stair 24 flight . Affinia locate next hospital siren could hear times day evening ( inside room ) . siren seem subside late , late evening ( unless sleep deeply comfortable bed ) . keep mind , people room hour morning ....... later evening ( sleep course ) . overall , would give Affinia thumb would stay . 
 Aug 27 2009 	 Loved Chicago Affinia 	 spend four day Chicago Affinia really enjoy stay . 's half block Michigan Ave . another couple way lake location great . view Hancock building wall wall window unexpected treat . bed comfy , minibar big enough could put stuff two comfy chair neither we sit bed relax . service good , room clean & quot ; concierge & quot ; option offer great . service request deliver room 10 minute check ( 11am give we room ) . familiar Chicago offer pre - loaded ipod walking tour deck large card different walking tour map . handy we . gym nice well equip . business center Concierge let we use computer check email print boarding pass . great little hotel . 
 Aug 23 2009 	 great location amenity 	 start negative aspect . $ 10 charge per 24 hour use internet , in - room coffee $ 1 per packet , business center ( however able print boarding pass front desk ) , really strange experience hotel restaurant , service roof top bar lousy- beg someone wait we . room 4th floor back hotel face north . morning awaken 5 am really loud truck bang dumpster around 7 . Believe , loud annoying ! ! get coffee early morning ( except use $ 1 packet room ) .Now positive aspect . location hotel great , room spacious nicely decorate , bed comfortable , bathroom spacious , front desk staff friendly helpful part . get great rate hotel consider experience good overall , way stay get another great rate . really not like stay hotel amenity ! would recommend hotel friend able get great rate , would warn negative . 
 Aug 22 2009 	 Perfect Romantic Getaway 	 live Chicago romantic getaway decide stay Affinia . perfect ! everything hip trendy beautiful . rooftop deck emaculate ! definetly stay hotel ! 
 Aug 21 2009 	 nice room ... hotel staff ` ` guest - orient '' 	 Chicago second stop cross - country trip & amp ; requirement stop include hotel Chicago , accept cat & amp ; ample parking truck trail car . stay 2 night want Chicago vice outskirt . hotel meet requirement . pro : location right near Miracle Mile , near shop , restaurant , far CTA train . room SPECTACULAR . Roomy , sharply decorate , snazzy , sort little amenity trendy , upscale hotel . even & quot ; menu & quot ; pillow could choose , end negative.the bed ( king ) nice , comfortable , plush , soft soft , long knee pillow nice . pillow provide not great , lead FIRST con . the bathroom nice , separate counter mirror wife get ready . con : - like pillow first night , ask couple & quot ; pillow menu . & quot ; wait ~45 minute , finally get get w/ actual visit Chicago , not get . later day , call ask pillow another wait .... get wrong pillow . would enough point give . - service : arrival , bellman nowhere sight . be travel cross - country , town 2 night , LOT bag , include valuable be leave vehicle . bellman finally come outside , see we go business . go get attention ask bring we baggage dolly ... good welcome . the doorman open door we . defense , revolving door could use , guy stand door ? one instance , come back dinner , make eye contact w/ doorman CROSSING STREET , head straight door . OPENED DOOR , say , & quot ; oh , bad . & quot ; not one doorman . 2 night none doorman open door ... WTF ? doormen hotel do not ' open DOOR ? finally , leave , try navigate truck - and - trailer busy one - way city road , 1 problem get : DOORMAN block way ! unbelievable ! comment , neither pro con : parking : Affinia parking garage across street , get warm - and - fuzzy accommodate truck - and - trailer combo . , park truck WAY across town take taxi back - and - forth lot . 
 Aug 21 2009 	 great hotel 	 stay may - absolutely loved . lovely hotel v central - michagan ave . could walk nearly everywhere would need hotel - shop tourist attractions.got great deal expedia stay suite half room like living room couch half bedroom . load space . lovely big bathroom dressing room . never breakfast deal include eat bar one nite food lovely . rooftop bar v nice - lucky weather nice there.also staff v friendly helpful . overcharge room bill drink someone else put room number human error point correct immediately.would def stay . 
 Aug 17 2009 	 great couple caveat 	 wife travel Chicago annually Air Water Show . due increase service problem Gold Coast hotel use utilize , decide try Affinia . generally , pleased level service detail hotel . previously mention number review , two available elevator insufficient term speed capacity efficiently transport guest hotel high occupancy . therefore , high floor , not want use stair , want go several time day , plan add 10 - 20 minute round trip , trip , elevator wait time excursion . also , hotel adjacent Northwestern Hospital even though room opposite side , siren noise well insulate may disturb light sleeper . supply , well - stock Dominicks grocery store several block directly south Grand Avenue . Wi - Fi , option available pay in - house service . however , problem would dissuade we consider return Affinia next time . 
 Aug 4 2009 	 pleasure beginning ! 	 son decide take Memory Lane trip Chicago - grow city want see old neighborhood . moment pull Front Door Affinia prove good hotel ever stay . Joel ( Front Doorman ) open door big grin wish Good Evening ! point remember name give we great tip pointer area . the room fantastic - bed comfortable even experienced - special pillow great touch . other highlight trip - witness Perfect Sox Game , dinner Chinatown , visit Holy Family church , walk along breathtaking home town . my son United States soldier head Ft . benne additional training - thank Affinia give we Mom / Son memorie we cherish . 
 Aug 4 2009 	 Affinia -- great room inconvenience 	 excite book stay Affinia mom ' weekend away . read dozen review choose hotel , carefully make reservation expedia room 2 double bed . first impression hotel shot , walk check . tell front desk manager room double bed available . tell reserve one expedia , say expedia reserve number bed , room type request . going assign we room king pullout -- completely unacceptable hotel cost fun one mom 's getaway . insist get reserve pay pull itinerary expedia showing room 2 double bed , make several call housekeeping check status room finally find one we . get room , thrilled -- beautiful , new , modern , comfortable , pretty , gorgeous view city . love 4 soft pillow per bed , sheet , read light headboard . aveda toiletrie fun . part -- 28 floor hotel 2 small elevator ( 6 people max ) everyone seem frustrated long would take get -- even hotel staff . rooftop bar fun , expensive ! bailey 's ice $ 14.50 tip . ( $ 10 bailey 's , $ 3 rock , $ 1.50 tax ) . Tip -- not pay continental breakfast . be great bakery 2 block straigt hotel door wonderful food ( anaheim scrambler , swiss oatmeal ) good price . 
 Aug 1 2009 	 nice prefessional staff ' ve ever encounter . 	 stay Affinnia last week July 2009 . hotel great location , central lake well Michigan Avenue & amp ; great restaurant . hotel staff amazing . check quick efficient . doorman ( Joel ) courteous , helpful doorman ' ve ever experience . hotel place strong emphasis personal service . room clean great view . roof top bar great place unwind end day . look forward stay future Chicago visit . 
 Jul 31 2009 	 Great Hotel Chicago 	 little bit nervous hotel read mixed review Tripadvisor get great rate decide go ahead book anyway . hotel fantastic . less block away Magnificent Mile within walk distance pretty much every tourist attraction city . slightly away destination well serve public transport readily available . eat breakfast every morning Corner Bakery block away great food . staff hotel really friendly especially bellman thier cool hat . thank Danny help good advice ! ! ! room lovely , clean quiet night . Book hotel go Chicago . 
 Jul 31 2009 	 boutique - style hotel plusse minus 	 stay Affinia Chicago mid - June friend . stay Affinia three night . room : room good - sized , comparable 4/5 star chain hotel . respect , Affinia well average boutique hotel . room include large tv good - sized writing desk . bathroom average sized , might think small side . not bother , not large vanity high - maintenance traveler . service : front desk / concierge always friendly greeting we walk lobby ask anything . room include free Wi - Fi ( ask front desk ) . get stick elevator 15 minute ( apparently not first , read review ) . staff attentive try deal situation quickly possible , elevator small obviously old . stick small space three people , good , annoying . location : hotel seem safe location . friend ( young woman ) feel safe walking around night . within walking distance two famous pizza place : Gino 's East next door Giordano 's three short block away . away , homeless hang around nearby Walgreen 's , nothing make we feel unsafe . run panhandler , true pretty much big U.S. city . hotel right Magnificent Mile ( shopping ) , far cultural sight . course , want stay close Art Institute / Millennium Park , pay . one drawback hotel really close El train stop Loop . , want get Art Institute neighborhood via Loop , time consume . close State St. Red line ( run north / south ) , take transfer line run Loop . find waste lot time , might worth take cab . , possible not savvy enough figure use El efficiently . restaurant / bar : not use restaurant order food , go rooftop bar . Bottom Line : give relatively low price hotel , think good choice couple , friend , solo traveler . would not stay special occasion ( unless try save money ) , perfect short trip Chicago friend . 
 Jul 20 2009 	 ready Prime Time 	 party 4 ( 2 dog ) stay Affinia Chicago busy convention weekend -- although attend expo . high expectation hotel base mostly positive TripAdvisor review service offer Affinia website . check - in : want check 1 hour early call ahead ask room would ready . assure would time day appropriately . upon arrive , learn ( fairly rude front desk clerk ) would need pay $ 30 extra per adult per night brother sister - in - law . shock confirm 4 adult original reservation request amenity 4 adult , never tell would additional charge $ 60 / night . front desk clerk add rate already well nightly rate standard policy . book room directly Affinia website -- 3rd party -- surprised hear rate low . accept new charge not give room . instead , ask wait room ready -- warn would hour . wait , tell would 15 minute . activity plan ask hold luggage call room would ready . never receive phone call -- room not ready 3 hour later . room : book junior suite -- supposedly two class standard room . room decent size contain two bed , suite standard . separation two bed ( one straight , long room ) . furnishing modern room clean , overall layout awkward . amenity : Affinia website boast sort amenity bring room upon arrival . 4 5 amenity request ( include yoga kit walking map ) , think receive 2 & quot ; special & quot ; pillow . note pillow : despite book junior suite 4 adult , hotel policy allow 2 & quot ; special & quot ; pillow per room . concierge : familiar Chicago already know would eat meal spend time . however , ask concierge direction location river cruise Chicago Architecture Foundation . direction receive entirely incorrect , result , miss tour . luckily , CAF rebooke we later cruise . unprofessional Affinia Concierge provide incorrect direction . , several time ask car 30 minute late , couple occasion , never call all . Bell Service : bell service source lot humor , anxiety , frustration we . first gentleman greet we pleasant try make conversation . later greet we bring luggage room -- ask exact question . learn read script notepad . gentleman also explain every single feature room we , never stay hotel -- use telephone , closet , safe , minibar , bathtub , sink , etc . quick note luggage : originally check tell could retrieve luggage upon return room ready -- find fiercely guard bell staff firmly tell we otherwise essentially push we away . overall , staff come overbear creepy , although one fellow spend time outside stand genuinely pleasant . conclusion : location hotel modern room nice . however , several area service hotel truly lack . visitor stay true upscale hotel surely notice , majority people place fine . back downtown Chicago will not back Affinia . anyone read way review would recommend Intercontinental , Fairmont , Kimpton Hotels instead reasonably price luxury hotel . final Note : raise concern directly Claudia Eggspuhler , general manager . kind invite sit speak candidly , response comment essentially agree note visitor voice problem . make feel business appreciate , genuinely seem interested us return . offer free breakfast come back , afford breakfast . want well service . appear many issue observe hotel may stem apathetic upper management , unfortunate property much potential . 
 Jul 18 2009 	 Superb Service 	 husband book one week vacation Affinia Superior Street read positive review site . happy . time exit taxi time enter leave , treat like special guest . room modern , clean duplex design make feel large . even though pool , husband pool junkie , declare would go anywhere else future visit Chicago . beach within walking distance . first room noisy garbage collector . complain immediately move upgrade apology . location two building remove Magnificient Mile , accessible everything without need car . highly recommend hotel anyone care personal service . 
 Jul 15 2009 	 excellent location incredible city 	 girlfriend go away every September girl 's weekend destination trip Chicago . lot research always , find good value hotel . Affinia Chicago not disappoint ! large , clean room plasma flat screen t.v . , sit area could office lot business travel . cosy robe , clean nicely decorate bathroom , bed incredibly comfortable ( even & quot ; pillow menu & quot ; ) . be shopper , well location Affinia ! literally step away Magnificent Mile . highly recommend Giordano 's deep dish pizza ! check check painless , staff nice friendly . hotel get two thumb two bestie Canada ! 
 Jul 10 2009 	 great location friendly staff ! 	 friend Affinia 2009 Taste Chicago , stay absolutely wonderful ! hotel great location . block away Michigan Avenue , shop , movie theater , restaurant nearby . hotel provide free trolley Navy Pier weekend , even Navy Pier 10 - minute walk hotel . room clean use space functional . c - View bar / lounge top floor make nice place hangout social hour , evening nightcap . staff helpful accommodate . overall , great place ! 
 Jul 8 2009 	 fabulous location friendly staff 	 suite perfect . bed really comfy get choose 5 6 different pillow . half block Magnificent Mile . parking high everything area . victor , one bellman real hoot make we feel welcome . definitely go back . 
