Convenient 	 well locate 2 minute walk Tower London 30 second Tower Hill Underground Station 1 Minute Tower Gate DLR Station . Circle Line operation , not weekend , hotel well locate London . room overlook train line never hear anything . wife light sleeper never issue . bed comfortable , room large bathroom , good shower . staff helpful enough , friendly , probably owe limited grasp english case . continental breakfast include , basic good quality . toast bit let , put basket pre - make , bit cold . apart everything else good . not eat hotel dinner . plenty place around include nice place Marina near Tower Bridge . 
 Aug 15 2009 	 great facility run incompetant people . 	 email send Grange City Hotels stay ... & quot ; may concern , wish write tell recent stay London June 27th . usually stay Le Meridien Picadilly Circus , want close Tower time , book night Grange Cooper 's row . even arrive , impressed facility room furnishing , well rate . neither impression change arrive ( wife mother ) . next 24 hour , thing happen ( not happen ) sour opinion , guarantee will not return . , particular order importance , list : 1 . arrive airport 9 , far early check ( expect ) , want drop luggage could explore town . front desk check handle smoothly , efficiently , professionally . impressed . however , go leave bag porter / concierge , delay . apparently , procedure tag piece luggage identification tag . tag hand write . 8 bag / item , took awhile complete . afterwards , tip porter . expect bag would deliver room ready , happen . convenience future patron , would consider make part service offer . also , speed identification process , would lot fast roll sticker two copy identification number . way , porter could simply apply one label bag , duplicate label sort receipt would give customer . believe would cut lot waste time process . leave go & quot ; see sight & quot ; London return 4 pm . 2 . upon reach room 4th floor , notice 2 set towel ( even though clearly reserve room 3 people ) . notify housekeeping quickly bring we another set . might oversight , could lack communication reservation desk housekeeping . might want check . 3 . want get ice , ask operator ice machine . say one every floor . vainly search 10 - 15 minute ( include 3rd floor 5th floor ) , start ask hotel employee guest find hallway know machine . one ( include employee ) know . finally call bucket deliver we . still not know ( neither employee ) whether ice machine 4th floor , , ? future guest , need let employee know ice machine , , locate . 4 . one reading light side one bed work ( bulb would flicker , go dark ) . alert someone ( not remember call , operator , housekeeping , someone else ) , never fix . ( Room 418 be interested ) . since not remember call , happen , can not make recommendation prevent problem happen . leave go see show return late ( 11 pm ) 5 . someone rent courtyard window ( well lot people ' window ) & quot ; Sweet 16 & quot ; party . imagine , noise 25 - 35 excited 16 - year - old quite great . call front desk , say party would go Midnight . let try describe loud . window open , excited scream , laughter , conversation make difficult normal conversation . window closed , could still clearly hear name people , conversation , laughter , scream . window close , curtain close , air conditioning blasting , could still hear scream , name people laughter . keep mind , fourth floor . not even want imagine like people we . someone tell book room , & quot ; Sir , know , dozen excited teenager party window least midnight - preclude get decent night 's sleep flight tomorrow & quot ; would grateful , book elsewhere . instead , pay large amount sleep - deprive . continue rent courtyard party , future guest warn , 10 pm curfew impose . 6 . room 418 overlook courtyard , section old city wall , much else . perhaps high floor visible elsewhere city , not know . several large bright spotlight courtyard shine side hotel . hotel visible elsewhere , could understand , not think . light illuminate curtain , make room & quot ; less dark & quot ; throughout night . sake guest , well conserve energy , would recommend remove light , least , turn 10 pm . 7 . wander downstair sleep deprive state , look breakfast , around 7 am next morning , enter Forum Restaurant breakfast buffet . , could entirely fault , point make aware much buffet go cost . see ( side menu table ) & quot ; full english breakfast & quot ; available additional fee £ 8.95 . since majority buffet consist fruit , toast , croissant , cereal , think would cost much . certainly much full english breakfast . imagine surprise ( still sleepy state ) go check find buffet £ 21 . realize thing expensive London , buy full english breakfast £ 8.95 , surely , plate fruit , croissant , juice price less , right ? , sum Forum , overprice , lack pricing signage ( think ) . also , buffet , butter mold floral pattern store bed ice . pretty , every try spread ice cold butter onto croissant piece toast ? end rip shred . 8 . tell front desk , porter / concierge , need ride Heathrow , let & quot ; book & quot ; make sure get good rate ( flat rate ) £ 65 . . get airport , taxi driver say bill £ 67.95 plus £ 2.00 booking fee . explain tell would flat fee £ 65.00 , not hold much weight . meter verify side bill , sure wrong . know cost extra £ 2.00 hotel call , rather walk either 3 taxi wait front . not know whether aforementione & quot ; flat fee £ 65 Heathrow & quot ; actually exist , merely unsubstantiated rumor ( like existence ice machine 4th floor ) . either way , like ice machine , staff need inform actual fact situation . , summary , actual hotel building amazing handsome . training issue , procedure could improve . get ready write review hotel website book ( Orbitz think ) , dilemma . ' m really sure condense write short review , whether review good one . right , think wait hear thought , write review . & quot ; response area concern either defend policy question , & quot ; look & quot ; . light shine room , non - disclose price breakfast buffet fruit toast £ 21 really tick . book area right underneath bedroom window scream teenager midnight inexcusable & quot ; high end & quot ; hotel . 
 Aug 9 2009 	 good LOCATION 	 near tower London , Tower bridge etc . hotel would expect standard hotel . room well furnish good quality fitting . shower powerful lashing hot water . staff helpful well train polite , check doddle . our double room decent size . friend family room large . minor gripe look train station , air con slightly noisy , boil egg breakfast underdone . none point spoilled way stay . Tip ayone go river e.g eye try take water bus service road hotel different way travel . expensive tube lot fun . 
 Aug 5 2009 	 lovely hotel overlook Tower London 	 stay week problem happy choice . bed bath great ; room look Tower Bridge . as matter fact stay Penthouse first 2 night late getting room guess give away . the staff nice professional , however problem bill end bit unnerving . japanese restaurant snuff review indicate , breakfast buffet great . nice little pub serve food til hour although food quality tend go downhill come wkd . grocery store nearby local pub etc although tube ride shop etc . also great gym pricey 20 L daily visit , also internet 12L /24 hour 
 Aug 3 2009 	 5 star 	 well book pay hotel 5 day regret do . arrive room , find look straight office window privacy . ask well room tell yes would extra 30 pound night , see people suite , tell worry no - one stay door open maid . funny able wave fellow guest . sort sheer cutaining would solve problem easily . just get back room , tired housekeeping , bed mess bit floor table clean . call housekeeping ask redo room , supervisor came maid tell understand maids human maybe rush tired . call 5 star . supervisor make many excuse job do . supervisor also walk room two day prior without knock , question privacy , say knocked . seem like guest wrong hotel . on check enquired internet service tell charge per day even log . stayed log , find next day charge usage . the first night smoke alarm go twice airconditiong turn resume hour . must admit management put note elevator next morning say sorry . in four day , greet smile reception staff way , litte thing . room service , limited menu , must admit prawn mango salsa devine , try risotto , worth eat . stay London hotel can not compare , stay middle Eastern hotel year patch . 
 Jul 26 2009 	 great hotel ! 	 Grange City Hotel great place stay London . hotel terrific shape , room luxurious quiet would think be guest stay . location ideal us - stone 's throw Tower London step Tower Hill underground station . concierge helpful , staff encounter . pleased Grange City would definitely stay . 
 Jul 23 2009 	 lovely comforable hotel 	 book special occasion , book executive room request view . disappointed looking rooftop / Fenchurch train & amp ; office block opposite . ask reception possible change , helpful assisting . give lovely room look Tower London Thames . breakfast continential £ 8 supplement full english ( good ) . however , service restaurant staff breakfast good . stack plate table walk past ignore . ( reason book evening meal restaurant ) access tube problem , quiet area much go apart visit Tower London . take 20mins Euston Square Tower Hill 1 direct tube ( circular line ) get back west end involve change Embankment Temple ( still 15 - 20 min ) would go back , hotel lovely comfortable . expensive rate week , drop weekend ( & amp ; weekend include price continental breakfast ) whereas weekday pay 
 Jul 20 2009 	 Luxury well 	 stay couple time love . surprise partner upgrade deluxe room ( £ 80 ) literally big room ever stay ( 16 lunge one side ! ) good leisure facility ( not get much time use ) free access suite huge tv , food , drink pc . two minute walk Tower Hill station DLR Fenchurch Street close . absolutely amazing room service ( personally recommend club sandwich ) attentive staff . great view Tower London stay side . sure bit pricey , well worth . bad point parking - yes on - street , sometimes require long walk back hotel ' ve find space . would not hesitate recommend stay - can not wait ! 
 Jul 17 2009 	 Nice hotel glitch 	 son stay 5 night recently . hotel lovely room clean comfortable . bathroom pretty great shower tub . partial view Tower London 6th floor . book hotel rate drop quite low weekend average pretty good value . pool spa area lovely not use . location good one block Tower Hill tube station . hand , not much neighborhood , especially weekend . glitch service : - light room not work first evening , electrician come hour problem solve ( give we bottle wine inconvenience ) - hair dryer room not work note housekeeping request one employee result action . Philippe concierge desk get take care right away.- taxi order departure . tell would fix rate Heathrow cab driver not know that . the concierge employee friendly helpful . ask us adventure , chat , etc . really make stay worth money . 
 Jul 15 2009 	 good special occasion 	 stay Feb valentine package partner , stay previous Jan love hotel , especially gorgeous pool . however , upon return hotel overally impressed . tell we would recieve chocolate rise room . room get , room nice view stunning . we call reception say would bring dinner . we enjoy nice meal ( even waiter spilt champagine partner table move we ) say 5 * star hotel yet keep come we every 5 mintue ask meal ok remove bread knife fork time finish . once back room ring chocolate rise time lose intrest . eventually arrive small box chocolate one use bed night heart on . consider much pay package one night stay impressed service include deal . we return hotel recommend stay kind special occasion . 
 Jul 12 2009 	 fantastic hotel ! 	 stay one night- would definitely return ! staff helpful accommodate . arrive tell room would ready another 10 minute , bring we complimentary lemonade . concierge wonderful , arrange transportation give recommendation . room nice- great view Tower London . pool wonderful long day , spa look nice , though not try . breakfast morning lovely- assortment yogurt , croissant , tea , fruit , cheese / meat , etc . , hotel locate half block metro station . 
 Jul 8 2009 	 oh dear another hooky hotel 	 find quite amazing hotel think five star order 's guest car / limo company license trade . car pick client insure 's driver company order pco approve . Shahi Elite Chauffeur service act illegally Grange hotel group consent management . please make SURE CAB , CAR LIMO LICENSE . doubt INSIST BLACK CAB 
 Jul 5 2009 	 Great Location Good Quality Hotel 	 return Fri - Sun stay hotel . ideally locate right next Tower Hill Tube . within business area London therefore weekend not appear shop open nearby except Tower London . pain want late night munchie . choose order room service instead , £ 2.50 tray charge advertise . hotel clean comfortable rate get book direct hotel web site seem really competitive . issue hotel fact one staff speak English first language . issue deal thing like check whenever go ask question travel London advice attraction make amusing conversation we usually give work thing ourself ! ! Breakfast include ok however bit basic seem struggle weekend number guest . 
 Jun 22 2009 	 Loved Grange City Hotel 	 stay business executive suite balcony . Balcony view alright . quick easy check . room lovely - king bed , sit area , large bathroom . staff lovely . continental breakfast include delicious - crossiant , toast , cereal , fruit salad , juice , danish , cold meat cheese . upon check store bag hotel whole day make site see much easy . would happily stay . one thing note - internet access 5pound hour 12pounds 24 hour . 
 Jun 16 2009 	 fantastic weekend 	 book hotel wedding anniversary march year great time.we upgrade club room spacious comfortable good view tower london . breakfast two morning good continental large choice cereal , pastrie cold meat etc.on sunday english breakfast good value money consider price hotel charge this . I would recommend hotel . 
 Jun 15 2009 	 Great Weekend break 	 reading review little concerned booked hotel Husbands 50th birthday . need not be . we check 11.30 Friday not expect able go room paperwork state 2pm . however , tell room available upgrade lovely room comfortable bed ever , lovely lounge / office area . breakfast saturday good , 8 am warn could get busy weekend , even leave around 9 pm full . plenty choice , cereal , fruit , pastry croissant also boil egg , meat cheese . staff polite pleasant . lovely rush back home see Billy Elliott , weekend break would recommend . 
 Jun 15 2009 	 completely dreadful service 	 nothing wrong actual hotel - well - locate seem nice . staff administration ruin stay . group 11 5 room book . thing go wrong : -1 arrive 11.30am drop bag . offer check - in paperwork accept key would ready early . girl desk started say busy could later . problem complain later manager room allocation hold we ( see ! ) .2 arrive back 6 need leave 7 . queue half hour check - in . tell one room ready need another 30 minute . explain restaurant booking get ready . offer we executive double room rather twin double reluctantly accept - ideal share bed someone not know well book twin double room reason . also seem rather late still service rooms.3 book 5 room two double bed . one room three we go share enough room . point check girl say room two double bed ( apart king room accept ) . go room lo behold - two single bed . went ask someone else room party - check say room two single bed . change stance . fact everyone different room one would sleep 3 . say could rollaway bed advise £ 40 charge - addition 2 double bed one we want share . never intention use uncomfortable . reluctantly agree rollaway refuse pay . size small child 's bed mattress inch thick - lovely suppose 5 star hotel . when meet rush get ready 5 double room : -One single twin rollawayone double uncomfortable sofa bed one executive double room not ready standard normal roomone single twinone massive room two double bed , two sofas study ! complain double / rollaway etc morning duty manager say trouble check late room reallocate . not seem care wanted check 11.30 go away request . unhelpful say nothing could ask someone phone us week . we come hotel stress - free getaway make we stress . reception staff unhelpful seem say thought want hear rather truth ! breakfast poor - hardly anything nice buffet . last time everyone cook breakfast include - extra time decline . tea make coffee pot taste odd . service extremely slow . there couple good point - one party forget toothbrush reception put one room ( would not hotel ? ) swim pool staff really friendly . neither particularly exceptional point poor service elsewhere noticable . we disappoint - especially stay expect much well . apparently shortstaffe lot staff leave go new hotel . show suggest leave plenty time check in / out , drop pick case , breakfast etc etc nothing get do urgency . check early may get room book . 
 Jun 2 2009 	 DEFINITELY 5 STAR 	 stay hotel recently one night end long work week London . hope would relax bit luxury . arrive around 11/11.30pm . leave wait reception 10 minute whilst 2 people man front desk . one deal another guest totally ignore we . 5 star service . leave wait 10 minute . not enjoyable stay . get room collapse bed find 2 pillow next obvious stain . bed also cover flint crumb . point could not bother complain tired . put cushion floor brush bed . also try access wireless internet ipod touch . hotel page charge guest use internet ! stay many 5 star hotel internationally first charge use internet access wirelessly . plus stay 2 3 star hotel early week free wireless access . therefore call reception speak room internet connection . one desk staff come room . let mobile phone continue conversation stand room minute . get phone take one dirty stained pillow , apologise , connected internet free due inconvenience . mention room size fair offer change , however , declined not want inconvenience staff late hour , plus tired . I mention issue morning desk checking . comment reception staff issue would go record . see would make difference acknowledge issue . hope review come overly picky aggressive . person focus small negative thing . however , hotel advertise luxury 5 star hotel experience 5 star . service , lack hygiene , standard response reasonable complaint reasonable guest would expect luxury 5 star hotel . pay premium room warrant well . 
 May 27 2009 	 maybe ' m tired ........ 	 hotel convienient city Tower London . two minute walk Tower Hill tube station ideal . staff friendly helpful . room clean tidy hot night unfortunately aircon low setting noisy not get good night sleep compound delivery lorry rumble 5:30am . nice enough hotel experience well , cheap alternative around London . 
 May 24 2009 	 lovely hotel great service would return ! 	 lovely hotel ! ' ve return short stay sister visit London fault thing . staff friendly , polite , helpful efficient - really good atmosphere hotel , ease check - in attention staff breakfast . room lovely , spacious comfortable fantastic view Tower Bridge / Tower London Thames . room bathroom spotless , generous supply Molton Brown toiletry - lovely ! use swimming pool sauna / steam room facility really impress beautiful spa quality centre . can not imagine anyone disappoint stay hotel would definitely return ! compare like - for - like hotel central London , think room great price top quality hotel ! 
 may 20 2009 	 consistant great hotel 	 stay hotel 2 time year business consistantly great.tea biscuit daily great not want go 7 am cupspa , business center bar locate facility place centrally locate insurance/ financial businessthey go way accomodate 
 May 17 2009 	 top hotel ... visit ! 	 hotel excellent ! stay go see Hairspray easy get London . arrive could not believe nice hotel friendly staff . feel home immediately ! check room ready check time get upgrade executive room . use spa facility clean well look . room beautiful . order room service arrive quickly food lovely ! wil deffinelty go back hotel . fall hotel do not park 10 min away cost £ 2.50 per day . 
 may 16 2009 	 Great Location - 4 Star 	 easy ride Gatwick . location next Thames London Tower give something flight arrive check - in . staff courteous . breakfast okay good ... would skip walk one block Pret Manger , good cofee assortment pastry . room nice , good bed , decent bath , balcony 7th allow good view Tower Bridge . if business financial district would stay . next river give good reference point , location close touris stuff want see well . average cab far 10 pound Picadilly , Westminster etc , 5 pound Bishopsgate center Finance Distrcict . Tower Hill tube station adjacent hotel itself . business center pricey , may able negotiate . 
 May 11 2009 	 Good Location decent 4 star 5 ! 	 Location excellent , metre walk tube tower hill , also ideal tower london . also go west end , easy tube ride away . convenient location . upgrade executive room arrival husband birthday honest apart large room would expect London , leave thinking , standard room like . bathroom good , nice powerful shower , good toiletry useful mini - bar , bit expensive side . bed comfortable , although prefer king struggle double , bit small use big . Decor ok , bit tired , carpet , guess not go admire inside room . all staff helpful , buffet breakfast expect upgrade 2nd morning cook breakfast nice worth extra money . eat bar nice , good food quick service . drank bar not crowd night , drink expensive , bailey £ 4.50 husband whiskey £ 8 . beer soft drink averagly price . leisure facility , clean useful , good sized pool . only downside feel rip price , add vat onto room price not make clear , end pay £ 130 night , think expensive get . clear policy quote price exclude vat book direct they . so would return , spite room cost , would rather stay near another attraction next time . novotel next door , cheap , get reasonable review , would probably go . 
 Apr 29 2009 	 nice hotel 5 star 	 4 star hotel , certainly 5 star advertise , never less really enjoy stay . breakfast set though ? table close together practically sit neighbour lap ! Thames water tea yuk yuk yuk ! ! ! would stay though , love next Tower 
 Apr 28 2009 	 Nice Place ! 	 lovely hotel . bar really nice . dead like hotel bar . bit atmosphere ! room spot . bed amazing ! comfortable ! continental breakfast everything could want upgrade fry 8 pound ( would not see need tho ) . seem like nice 4 star , luxurious something like 4 star Marriott Radisson . location fine . worried far really be not problem ! recommend ! 
 Apr 26 2009 	 absolutely fantastic ! great value superb service beautiful hotel ! 	 make arrangement stay hotel husband part suprise birthday present . say , everything trip hotel brilliant . would recommend hotel anyone would definately go back ! 
 Apr 25 2009 	 Room fantastic restaurant huge disappointment 	 hotel impressive majority staff extremely helpful . room give 11th floor incredible view Tower London clean spacious . happy water provide room , although bottle water available minibar cost . disappointing aspect stay meal hotel restaurant , however . despite almost empty , service poor food disaster ( end send main course back unappetise agree would not charge ) . overall , stay enjoyable meal spoilt would otherwise lovely evening . 
 Apr 13 2009 	 superb find 	 recently use lot different hotel London ( stick primarily familiar hotel airline card affiliate one ) come across one . wow ! many plusse list . 1 . staff ( superb ) special mentions- reception , room service concierge.2 . leisure facility wonderful . room large , well appoint clean , bathroom great walk power shower seperate bath . this hotel certainly impact not mean credit card wise . lovely , lovely hotel 's main asset , 's staff . thank Grange City , back . 
 Mar 31 2009 	 Excellent Hotel 	 stay hotel friend part London Theatre break see Hairspray . hotel excellent value money . locate 2 minute away Tower Hill tube station circle line across road Tower London London Bridge . check - in smooth helpful staff . room 5th floor view hotel 's piazza nice . twin room large airy good size bathroom . continental breakfast include package lovely restaurant locate nice . eat meal hotel order snack room service one night arrive quickly , still hot taste great . swim pool good jacuzzi welcome ache foot long day pound street London ! stay Grange hotel one would choice come back . fantastic time Grange City Hotel . 
 Mar 30 2009 	 good business hotel great staff good leisure facility 	 stay 3 night London business find hotel good . ' ve stay want ensure stay 's location 15 minute walk Bank area need go day hotel itself . the staff good check quick easy . room decent size decent size bathroom powerful shower . view window office building unless pay view not expect much around kind area . the breakfast good though pay probably would not willing pay £ 20 time breakfast matter give ! Waffle 's pancake go well though . the leisure facility basement comprise beauty area not try , gym look decent not try either 25 metre pool . pool area decent size change room shower pool area sauna , steam room spa neatly decorate mock roman theme . the bar large selection whiskey 's staff friendly , however pretty appalled £ 6.50 single Gin tonic ! one meal , prawn risotto resonably tasty though nothing special . note area around hotel quiet evening office area well head bit away want find busy bar / restaurant . conciege also helpful time require assistance provide phone charger , toothpaste leave luggage service ! overall good stay one tight budget ! 
 Mar 22 2009 	 lovely hotel helpful staff excellent room great value money 	 hotel really make weekend stay london special . weekend break Christmas present good friend , mention book nice man , Greg upgrade we . room really lovely , everything could want . hotel beautiful , swimming pool , sauna , steam room etc . great , staff really lovely . friend actually cry enter room . think hotel excellent value money . 
 Mar 4 2009 	 Fab hotel 	 stay last weekend , husband birthday mention book upgrade free exec room really lovely spacious . have book RO rate give complimentary breakfast part upgrade great . staff helpful , breakfast good , great value tube 2 min round corner ( although station close weekend hotel fault course ! ! ! ) . highly recommend ! 
