unique 	 love staff atmosphere Monaco ! relax , whimsical , great seat area throughout lobby lovely fireplace . wine reception 5:00 great touch , even serve hor d'oeuvre . Grand Cafe honestly good food eat , long time dine pretty extravagant restaurant . highly recommend hotel ! furthermore , great location two block shopping ! 
 always pleasure 	 stay long weekend November 2009 , eight year first stay . hotel keep distinctive guest room ( bright candy - striped wallpaper , dark wood furnishing ) excellent , personable service . free wireless internet ( join Kimpton loyalty program , easy free ) bonus , evening wine reception . location couple block Union Square right next Curran Geary theatre - people might jib proximity Tenderloin , fine . catch bus Golden Gate Park right across street . 
 Outstanding 	 say enough hotel . ' want spoil everyone find , ' able get room ' able afford one . wonderfully comfortable bed bath , breathtaking lobby , large fireplace lounge wine serve 5 pm coffee 5 ( great jet lag ) . 24 hour room service ( albeit somewhat limit wee hour ) ! ! incredible gym spa area . street Union Square action shopping restaurant . theater next block . one complaint would restaurant ( Grand Café ) attach . one order waffle one continental $ 40 . however , many place choose . everyone go Dottie ' around corner ( line door ) . olympic almost next door ' look like much good pancake ! give try . finally , car , park around corner 24 hour lot Taylor . see reason pay valet service believe work twice cost . 
 girl Getaway Weekend 	 5 fellow mom recently stay Hotel Monaco recently 2 night , satisfied . research many hotel ( 5 woman please , ) , relieve everyone thrill w / the choice . 2 adjacent room stylish fun . comfortable bed w /duvet cover good - quality linen . room spotless spacious big city . bathroom nice bright w/ Aveda product . location good w/ popular retail store w / in walking distance . service curbside desk absolutely excellent . Staff allow we leave car late afternoon , w / no extra charge . really appreciated , get car , find parking couple hour would hassle . problem arrive back hotel dinner Sat . night friend want dessert drink restaurant , rather lounge . approach maitre have , abrupt informed restaurant eat dinner . , despite many available table . employee 's credit , inform host 's behavior next morning , shocked , ask we would stay another day . unfortunately , get back home . , Monaco terrific hotel , definitely back ! P.S . small dog welcome . hotel even keep photo album canine guest ! 
 Oct 9 2009 	 beautiful decor clean - good value 	 great location , stunning reception . room small clean funky decor . bathroom outdate though . breakfast include think good value price pay ( nearly $ 300 night ) ! Jacuzzi lock ! not think go back ! 
 Oct 8 2009 	 get away weekend daughter 	 love Monaco , small great room .. free internet Klimpton membership , safari style robe linen . doormen great . perfect location union square shopping good access public parking trolley car . excellent valet parking SF well know 's expensive parking . site restaurant lovely , enjoy dinner appetizer bar stay . hotel close many great restaurant . one day desk person keep little dog , cute . great little hotel amenetie large place . famous rock band stay , everything quiet elegant . 
 Oct 8 2009 	 Nice hotel customer service 	 would give hotel 5 star , difficulty customer service . try check hotel half hour early , room available yet . front desk person tell hotel completely book offer guest deal stay alternate hotel . travel infant son not want hassle stay elsewhere , turn offer . check time , go front desk tell room still ready would wait half hour . half hour turn hour . finally get room , noticed crib request ( even though front desk guy assure would ) . take 3 call hour crib deliver , meanwhile contend grumpy / sleepy son . not 5 star service . room service great , room clean decorate nicely , not noisy . would receive great deal though TravelZoo.com , almost half can not really complain much . would pay full price room would disappoint . 
 oct 8 2009 	 great location nice 	 good location , literally min walk Union Square . friendly staff , clean albeit small room everything need . good shower water pressure , room immaculately clean & amp ; tidy . boutique hotel feel although probably hundred room . Haid pay internet access annoy , $ 6 15 min , hey , small complaint . continental breakfast include price consist pastry , fruit , juice & amp ; coffee . pay extra hot breakfast ..... complaint though pastry absolutely delicious fresh . would highly recommend hotel . LOVED San Francisco ..... go Alcatraz experience . also , Pier 39 great shopping restaurant . Shopping Union Square totally unaffordable , designer shop designer price , nice place walk around & amp ; browse though ......... check TravelRepublic.co.uk cheap deal hotel ............. 4 * * * * 
 oct 6 2009 	 Faultless ! 	 hotel simply great . excellent location , 2 block Union Square . lead room type 's small ( reviews mention ) upgrade well one problem . grand cafe attach hotel excellent . first stay Kimpton hotel could fault . staff friendly , hotel & quot ; quirky & quot ; make stand rest . really enjoy stay , simply put 10 10 . 
 Sep 28 2009 	 Small Rooms - expensive - clean quiet 	 like Kimpton chain . hotel quirky staff friendly accomodating . quick overnight trip ( Canada ) time explore area even eat hotel . room expensive , even U.S. government rate . would stay room pay . 
 Sep 22 2009 	 Hotel Offer Disclaimer : Smallest room West Japan 	 travel lot , love hotel . Hotel Monaco look quirky , hip alternative neighborhood intrinsic stuffiness W other soma district . fail , make decent effort . exaggerated tiny standard room , would offend cramp room anywhere Manhattan . staff inform area rude quite nice either . bed nice bathroom clean , well light Aveda product . room much get .... will not back . 
 Sep 22 2009 	 Fantastic Hotel ... 	 stay Hotel Monaco 3 night begin Honeymoon . hotel staff fantastic , could ask well hotel . small room initially , soon suite become available , upgrade free charge bottle bubbly - add bonus . fault hotel anyway , hotel staff credit hotel . thank everything Hotel Monaco ! 
 Sep 13 2009 	 tiny room view arrogant staff nice city 	 experience Hotel Monaco memorable , good way . simply put , room size ( nightly rate & gt ; $ 350 usd ) small closet -- actually gasp amazement enter room . view single 2nd floor window adjacent building roof wall . hotel staff overly friendly helpful . wife horrific nightmare one night stay -- overall negative karma experience . want forget , promise would post comment , eventually . 
 Sep 9 2009 	 Hotel Monaco pretty awesome unique ! 	 hotel make want stay long ! room fantastically unique . really know make guest enjoy room . room decorate pattern stripe canopy bed . PROS : room fairly clean . decoration pretty awesome . bed comfortable . pillow nice big . sheet smell clean . con : insulation room not good . hear water run somewhere . hear people hallway . hallway little stuffy , room not . not bother much . 
 Sep 8 2009 	 another great Kimpton ! 	 great hotel special amenity get Kimpton property . loved location Theatre District . usual , staff concierge extremely helpful . room quiet comfy Kimpton mattress . lobby separate room wine reception hold really lovely space sit . around great property . 
 Sep 8 2009 	 nice hotel small yet trendy likeable room go back ! 	 typical kimpton hotel ; small room yet nice , comfortable trendy . impeccable room Aveda toiletterie ( great ! ) .We get queen bed small comfortable . walk distance everywhere . parking expensive ( valet ) park nearby public parking much less . 
 Sep 7 2009 	 Fantastic ! 	 Hotel Monaco beautiful hotel wonderful service . locate near Union Square lot place toeat shop . staff fantastic take gret care we . wine party lovely . wish coffee room . stay relax enjoyable . ask room front parking lot ! 
 Aug 29 2009 	 great location charm hotel 	 Hotel wonderful deal . email inquiry answer within minute . check - in quick friendly . ask deluxe queen -- get two double -- minor glitch . charming public area . wine snack 5 . two complaint : waitstaff breakfast exceptional ; window grime cover outside . never see filtthi window -- -pretty much eliminate view . location excellent -- block two public transportation , minute Chinatown , one block cable car wharf . room small , european hotel . 
 Aug 29 2009 	 Loved hotel ! 	 extensive research hotel San Francisco family vacation , settle one base location , value , room size , style , review . glad ! hotel beautiful well maintain . staff exceedingly friendly helpful . book double double room teenage daughter deluxe queen husband . able get early check 12 pm girl room . come back later check room find also put double double ( large expensive ) instead queen . desk say upgrade we charge would prefer queen would happy move we . decide stay put since room big nice , would liked see queen look like . unfortunately , girl end big room bathroom ! peek room hallway clean seem vary size and/or layout . worried room size many review San Fran hotel , general , say room small , find comfortable large enough . love decor bed pillow extremely comfortable . stock minifridge every room move stuff way put food drink . clean staff nice accomodate . pet friendly hotel problem pet odor . the complaint lot clang noise street early morning could heard loudly 3rd floor streetside room . not know go ! complimentary wine reception every evening well attend guest . suppose run 5 - 6pm often see go close 7 . also wine hour offer free 10 minute massage large screen Wii game set up . location great . two block cable car right bus line . buy 7 day transportation pass use cable car , streetcar , bus pay 2 day . easy get around public transportation walk distance many attraction . dicey area 2 - 3 block away call Tenderloin district , easy stay away attraction direction . would highly recommend join Kimpton Club make reservation periodically offer special deal email member . able rebook room twice saving $ 700 overall . we love come back Hotel Monaco every day sight seeing agree good place ' ve ever stay ! 
 Aug 24 2009 	 Great Hotel 	 stay three night Hotel Monaco recently convention absolutely love ! note review , Queen Deluxe room REALLY small – one spot sit bed , desk . small room usable need space would wise consider one large room . staff hotel one good ' run across anywhere – every request take care within minute , non - functioning tv remote wireless internet access instruction . ' never stay Kimpton property , ' fan stay . decoration really fabulous feel kind " funky posh . " another reviewer mention hideous wallpaper room agree point , stay see interior several room clean nauseate yellow / green striped wallpaper . ' off - note hotel otherwise beautifully decorate . gold / red bathroom much pleasing . bed linen first rate extremely comfortable . towel bathroom could little big plusher – also faint smell launder kitchen towels restaurant . wish hotel would figure keep carefully separate . also find room pleasantly quiet – hotel full never hear guest voice Television noise room ( perennial complaint hotel .. listen tv room next door . ) old style window actually open provide fresh air ( AC , really need San Fran unless ' experience rare heat wave . ) even window close faint occasional sound usual city siren wail . the hotel really need clear spa . website currently explain spa downstairs open ( Jacuzzi , steam room , sauna ) guest unlocked use since hotel attendant duty . treatment ( facial / massage ) do directly guest room finish spa renovation . ' use fitness center due recent injury look well appoint variety machine , yoga mat free weight . several time use spa , usually guest ( spa facility co - ed , bring suit . ) change room shower plenty fresh towel . in - room safe easy use . honor bar small refrigerator , fully pack ' pull stuff order use personal supply . get WiFi figure , breeze speeds reasonable wireless . love hotel provide ihome room , big Thank Kimpton treat ! wine reception 5 6 pm day popular , end promptly 6 , ' late ! coffee maker room , downstair coffee arrangement morning plenty sufficient . hotel deliver NY Times door every day ( charge ) unless specifically ask . wasteful supposedly " green " hotel . across street Walgreens supply small grocery . San Fran expensive ; expect everything cost 25 - 30 % back home . even greasy - spoon diner street outrageous price , ' know people travel kid ever afford San Francisco . Grand Café restaurant attach hotel call French - California ( translation : Hip French ) seriously excellent food . moderately price item menu expect drop coin , especially wine cocktail . great atmosphere equally stellar staff hotel ( although sport ugly statuary ' run across . ' certain somebody somewhere consider " art " , eye beholder that … . ) Theatre District , restaurant fairly popular pre post theatre crowd ( dinner , dessert drink afterward . ) Filet Mignon splurge final night would lick plate clean delicious . , would stay heartbeat . 
 Aug 21 2009 	 fabulous 	 love Hotel Monaco . 3 adult 1 child book mini - suite $ 159 / per night . sofa bed living room king size bed bedroom . Cozy 4 large bathroom regular room ( peek maid clean another room ) . decor funky fun . staff attentive . location great -- 2 block center Union Square lot small deliis / restaurant breakfast . Cafe Lux right next door also good . careful wander wrong way & quot ; Tenderloin & quot ; -- little dicey . wine party 5 - 6 nice extra . resident dog -- guest dog list bone shape chalk board . great value -- would stay . 
 Aug 18 2009 	 wonderful Travel experience 	 spend 4 days/3 night Hotel Monaco . share enough experience hotel . front desk staff quite pleasant accommodate . also find room quite comfortable good lighting amenity bathroom . problem experience operating clock room . however , e - mail response hotel regard issue superb . thus , negative become positive . would definitely stay . fact , ' ve already make reservation stay November 2009 . 
 Aug 17 2009 	 Great Weekend ! 	 wife spend weekend SF celebrate wedding anniversary . stay HM 2005 . love loved time . staff greet genuine interest . accommodate we promptly we elegant room time . the hotel situate within easy walk distance Union Square , cable car , BART / MUNI shopping . wife like ! ! ! walk Fisherman 's Wharf . take we 25 - 30 minute HM . SF beautiful city plenty see . HM allow we enjoy time together romantic setting . I would recommend hotel anyone . great getaway , whether business leisure . will back sure . 
 Aug 11 2009 	 staff wish could take home . 	 Hotel Monaco 's entire staff treasure . return hotel , front desk always smile & quot ; welcome home & quot ; greet . housekeeping attentive need . room comfortable , location convenient , adjacent Grand Cafe lovely . art wall whimsical without silly . truly enjoy stay . 
 Aug 10 2009 	 especially good get right deal ... 	 Hotel Monaco get basic right -- - good location , fun decor , nice restaurant bar , friendly employee , etc . key join Kimpton InTouch program get email special deal free wireless internet . would not pay $ 300 / night room , package deal include parking ( normally ridiculous $ 49 / night ) $ 159 , plus respond email Kimpton get upgrade big 2 - room suite $ 29 / night . steal . the ' 4 ' score rather ' 5 ' relate staff issue need bit employee training . although everyone nice , whole front office short staff ( front desk , bellman , doorman , valet ) lead line , lot guest stand around wait , every phone call put hold , etc . overall think employee handle well , lack efficiency not expect . maybe be former hotel front office manager , would like see eye contact recognition employee . bellman manager sort conversation several minute stand 5 foot wait retrieve bag , either look acknowledge wait . ' m patient easily annoy , get point ridiculous could not believe go another guest stand . also tell call 15 minute advance car , come outside 15 minute , stand another 20 minute finally arrive . another time go pick car without call not doorman employee outside help guest least 5 minute . get point ... say , price pay , would gladly make return trip Monaco . think missed boat particular weekend anticipate staffing need . 
 Aug 10 2009 	 Nice hotel small room 	 decide extend trip last minute weekend hard time find decent price decent hotel . find one bookit.com get fairly good rate & quot ; Queen Canopy & quot ; room . fortunately one night room tiny , really big enough 2 people long night two . queen bed home one room definitely small , though insist not double . room clean well stock , bed amazing , service good , size bad thing . 
 Aug 3 2009 	 Great Hotel 	 husband & amp ; 2 friend town Giants game & amp ; stay Hotel Monaco 1 night . great central location , 2 block Union Square . staff friendly & amp ; always helpful . room small side ( typical San Fran ) clean nice decor , quiet night . lobby & amp ; 2 lounge area , fireplace , beautiful . include afternoon wine & amp ; cheese , miss due game . get special deal ' m Kimpton Club member , pay $ 139 per night plus free overnight parking . can not much well City . GREAT place sray . highly recommend & amp ; definitely stay . 
 Jul 29 2009 	 good location smallish room 	 Boutique hotel within easy walk distance Union Square . onsite bistro acceptable . complimentary wine buffet evening 5.00pm living Room plus day good way meet fellow patron ( massage available ) ; morning coffee array newspaper Living Room morning . Custom er service manager helpful book & quot ; Tower Tours & quot ; pick hotel morning . pay $ 181 per night . smoking room available . always try Lefty O'Douls Geary budget eat Daily Grill next door Handlery something little market . Breakfast Lori 's Diner coffee / breakfast spot Taylor Street across block , side street , breakfast . would proabably stay use Handlery two previous occasion . also check rate / facility Union Square Plaza , Warwick Regis , Adagio , Diva , Adante , Touchstone Clift , nearby . 
 Jul 28 2009 	 excellent experience SF ... friendly staff comfortable room 	 really enjoy Monaco . Staff , especially James Benjie excellent . welcome efficient . room recently decorate little busy , lots spot stripe , essential good , great bathroom , well ventilate enough safety feature assist slightly physically impaired . excellent bed , apart occasional street noise , quiet . drink snack bar , friendly , one meal restaurant also excellent . great aspect hotel proximity Union Square huge range breakfast place nearby . really enjoy Davids try Kosher food , also one call Bleary O'Learys , not 's right name . lot major store nearby close transport theatre , also excellent small galerie . pleasant experience , would stay , despite cost valet parking . car retrieval prompt efficient . 
 Jul 28 2009 	 Hotel Monaco- great experience 	 spend three night hotel . hotel exceed expectation ! conveniently locate within walking distance many attraction . room visually pleasing clean bathroom . staff extremely friendly helpful . fitness center exceptionally well equip clean . 
 Jul 27 2009 	 great hotel 	 terrific stay Monaco . staff absolutely superb . room comfortable quiet . evening wine hour actually great - sangria well . location pretty spot . would definitely recommend stay . thing careful get & quot ; closet room & quot ; ( aka Queen Deluxe - believe different version ) -- - though first room give , quickly give large room without fuss . 
 Jul 23 2009 	 wonderful hotel 	 spend three night Monaco end tour California great . room great , small american hotel might expect city , bedroom bathroom decorate high standard . the evening wine hour great idea , hotel chain consider offer . 's great way relax meet traveller , wii also nice touch . hor d'ourvres accompany wine also great . all staff encounter friendly helpful . could not enough . UK hotel chain learn success Kimpton hotel . whilst San Francisco dinner Cheesecake Factory top floor Macy 's . can not recommend enough - great value , high standard food , together great view Union Square friendly staff . try ! 
 Jul 22 2009 	 fabulous accommodation SF 	 wonderful place stay San Francisco . hotel renovate , room decorate well ( although bit busy ) . locate heart Union Square . every night 5 - 6 p.m. happy hour wine drink , free massage , Wii . staff wonderful . choice , choose Hotel Monaco . 
 Jul 22 2009 	 Charming Boutique Style San Francisco 	 friendliness staff make short coming efficiency , people treat like family , especially James Bell Captain . the lobby living room area hotel grand romantic , contain fireplace charming sit area . one fireplace large enough climb without getting burn . the hotel host pleasant wine cheese hour every day resident mingle hotel staff tarot card reader . my room large cozy alone could wonderful place romance . amenity modern especially pleased Room Service order . basically exactly want Room Service , speed , hot food friendly service . food taste also good . the spa sexy place dim lighting hot tub tranquil sound odor permeating room . sauna hot tub function well well . definitely place could return . 
 Jul 22 2009 	 well expect 	 read review hotel go trip . complain noise street , complain somewhat sketchy part town . complain small size room . apprehensive , however get good deal room make attractive bargain . nothing nice thing say hotel , start finish . staff wonderful , room clean comfortable . resturant superb . San Fransisco big city course problem major city -- homeless , local bar ( noise go ) . however none thing major annoyance we . Hotel Monaco extremely friendly place , quite pleasant suprise . close Union Square , Muni , BART , China Town . nice location nice hotel . 
 Jul 14 2009 	 fantastic little hotel 	 stay Monaco Hotel ( SF ) recent trip San Francisco mid - July . unable book Hilton 3 night row price want fortunately able book 3rd night Hotel Monaco . want stay Union Square area - move hotel hectic want pleasant stay last evening SF . even though 1 night find stay hotel pleasant 3 night stay SF . reception service personalize , friendly thorough - even though get early ( 1 pm ) , able check we right away . book room Priceline - mention pricematche next time ( & amp ; think one reviewer mention well ) . room huge - expect boutique city hotel , enjoy decor room , nice bed Aveda product . & amp ; clean course . ( though not excite leopard skin pattern bath robe ... mainly wash bit not fluffy .. ) find service orient traveler friendly - list additional bathroom amenity could request free ( ex . tooth brush ) item could request fee . complimentary wine reception 5 - 6pm - unfortunately miss reception . however , delighted find could still enjoy complimentary glass feature wine hotel 's restaurant ( Grand Cafe ) . lovely perk long day walk hill SF . try Grand Cafe restaurant dinner - notice menu look interesting also tired walk much evening . dining area back actually airy spacious find nice relax well . restaurant disappoint . nice gnocchi dish also enjoy appetizer . recommend restaurant . one comment service : rush leave - catch morning flight SFO , boyfriend misplace I - Pod could not find . look bed etc run time leave . check , mention receptionist give we card call later lose find . arrive back NYC nothing report clean staff room , however man personally go check call we back right away ! ! find well hidden dressor - clean staff not even catch . pleased would go way check report back we promptly . & amp ; definitely recommend hotel ! stay Kimpton hotel ' m seriously consider look future travel . 
 Jul 13 2009 	 wonderful friendly comfortable hotel 	 staff Hotel Monaco friendly , accommodate , always helpful . hotel beautifully decorate , funky hip time warm inviting . evening wine social fun lively . nightly free chair seat massage -- masseuse fantastic ! free yoga kit use room , wonderful little dog greet desk every day make seem like home . room bit small , expect . everything clean perfect though . attach restaurant wonderful . gripe advertised yoga channel not exist continental breakfast coffee tea . hotel fantastic would stay definitely . 
 Jul 9 2009 	 Fantastic Hotel 	 recently return three night stay Monaco surpass expectation . solo female traveller staff make feel instantly home . room meticulously clean include everything need . restaurant bar serve delicious food / drink reasonable price staff attentive , friendly proffessional . occasion need ask front desk advice transport/ tourist site etc go way give correct information . San Francisco beautiful city choose Monaco ice cake . already plan return trip end year . 
 Jul 8 2009 	 elegant friendly efficient service 	 recently husband spend day San Francisco 50th wedding anniversary trip . make extremely comfortable beautifully decorate room friendly gracious staff , arrival find chill champagne wait we -- -a thoughtful gift . desk staff also helpful direct we local attraction good restaurant ( unknowingly , one First Lady daughter also dine ) quite experience ! ! Ken Norma Watson 
 Jul 6 2009 	 Great Pet Friendly Hotel 	 arrive hotel 7/3/09 time 4th July festivity . spouse & amp ; travel 2 dog . could not ask well hotel . pet treat like we & amp ; ammenitie bowl , pillow free . many hotel ask pet deposit hotel not & amp ; expectation far beyond exceed . hotel nice & amp ; locate block Union Square . definately recommend hotel friend . 
 Jul 5 2009 	 Beautiful Hotel Great Location Wonderful Service Perfect Trip ! 	 lovely trip San Francisco huge part make wonderful Hotel Monaco . find great deal line call hotel match price . book Queen Canopy room also join Kimpton Hotel club . receive email hotel week arrive ask come anything special , need anything , question . tell first time away kid celebrate husband finish huge licensure exam . also ask couple suggestion restaurant chinese italian food . receive detailed email back many idea suggestion . try two restaurant suggest outstanding . arrive hotel inform upgrade we Queen Suite ! wonderful surprise ! another huge perk Hotel Monaco 5 - 6pm complimentary wine lobby every evening . end make back wine evening wonderful chance relax talk sight - see do day . relax always ready head find great place eat dinner spend rest evening . also able mingle hotel guest enjoyable conversation . a couple thing area find helpful trolley block away . also bus system efficient get hang route system . take we day half get hold good bus map , plan use bus system would recommend seek good map right away . bus come every 5 - 10 minute get town quickly . would highly recommend Hotel Monaco stay 
 Jul 3 2009 	 Amazing Anniversary Monaco 	 fabulous anniversary night . great service start street greet door open . place pet - friendly max -- huge security deposit bogus extra cleaning fee . hybrid discount parking . kimpton group one favorite . really strong loyalty program member get free internet . also , stay 2nd 3rd time , leave nice note -- come anniversary wish champagne . nice ! upgrade really big room clean nicely decorate . bathroom huge , big tub big shower . ipod dock . dvd player . bed firm comfy . pillow great , choice . nice big window . really quiet ( 7th floor , end room . ) comfort home . good thing monaco feel anything need , happy take care . positive friendly attitude service staff . come , pass popsicle ( really hot day s.f . ) hour later complimentary wine taste small appetizer . negative , be probably positive , fact sell slipper camis next robe closet . leave sell good closet , kimpton ... 's confusing worry clothing wear without charge can not be.we great stay kimpton monaco can not wait go back . 
 Jun 23 2009 	 good hotel experience ever ! 	 simply good hotel experience ever . service impeccable , evening wine reception pleasurable , every staff member attend anticipate travel need . San Francisco , stay anywhere else . simply put . 
 Jun 23 2009 	 Excellent ! 	 high expectation hotel hotel live even outperform . location great BART , Muni Union Square within easy walk distance . need rental car trip town several option around corner . room people mention , quite small , nice decorate room nice stereo even cd cool music well ihome Ipod - docking . combine free Internet ( InTouch - member ) hotel throw complimentary continental breakfast Grand Café small welcome gift room along welcome note arrival nice package . room 6th floor ( request high floor room time booking , request honor ) top friendly staff course & quot ; wine reception & quot ; every afternooen wine , snack , Nintendo Wii quick massage . People tend talk & quot ; home away home & quot ; . Hotel Monaco hotel ' ve visit close saying . highly recommend hotel ! 
 Jun 21 2009 	 overall nice stay . 	 early check - in , front desk going call we ready ( not ask early check - in ) . call 2 pm , regular check 3 . long expect , bad . long check , hotel staff member walk room without knock ( apologize , still awkward0 change shower curtain . little later , someone come check fire alarm . night return dinner energy drink chocolate cover raisin welcome we kimpton member . we queen bed rate $ 81 / night . surprised tiny room seem , 81 / night , could not complain . would pay , would little disappointing . enjoy wine night three night . night staff member make round appetizer , enjoy 10 minute chair massage . front desk informative able help we dining suggestion . location pretty good , although neighborhood around not ideal . 
 Jun 17 2009 	 Great Service great price ! 	 decide stay hear central everything need see SF . quick walk cable car , BART station great shopping . everyone ready bend backwards help great time . wine hour white sangria excellent -- nice touch already outstanding hotel . ' ve find home away home SF . 
