sospa 	 hire spa group six us corporate entertainment event . everyone fantastic time . build beautiful . staff knowledgeable helpful . lunch good . successful day experience definately repeat . many thank SoSpa . the rating base cleanliness , location , service value not see room 
 8/10 	 struggle find top quality hotel London honeymoon night everywhere seem booked hotel ridiculously price £ 500 . previously stay one top central London hotel year ago , Swissotel , Howard Embankment , would prove benchmark hotel stay . pay £ 320 2004 top quality room swissotel , overlook river separate living room area massive bathroom . pay £ 500 + 5 * Luxury Hotel London seem pretty silly , see standard room , offer breakfast room look tiny photo . in end , decide go last minute.com secret hotel option coincidentally Sofitel select luxury room . quite happy luck day rang Sofitel directly tell luxury room fully book date ring back confirm reservation day , say last minute cancellation ............ hmmm ! anyways , tell special occasion arrive , receptionist inform upgrade junior suite delight wife . we take upstairs show room also champagne ice letter management , welcome we ...... say letter , mean compliment slip thought count . the room bathroom small thought would Junior Suite . would luxury room like wonder ? Toiletries Hermes brilliant rain shower . bed incredibly soft review describe . order room service , , expect , overpriced - club sandwich £ 16 + service charge delicious almost justify price tag . as stay one night , say breakfast option .... know be think & quot ; 's guy 's wedding night ... cheapo & quot ; would think £ 26 per person breakfast ...... starbuck job £ 3 pop 's 500 central London . sofitel simple thing well : staff friendly helpful , room exceptionally clean , bed brilliant food . however , beg belief top central London hotel cost much hate think tourist think price choose book . guess less , especially hotels bang central London . yes hotel bang central London , minute walk Piccadilly yet £ 450 + room ( remember book luxury room get free upgrade ) astronomical - not think stay would good give small , luxury room . however , get pay ; question top quality hotel term service receive , food cleanliness room room big enough not expect much basic accommodation option . come conclusion large proportion pay location . everything damn expensive place yet anything complain be treat kindly make feel welcome . would stay though think well hotel , offer well room space luxury money . 
 Sep 4 2009 	 touch class 	 Sofitel St. James fantastic . my arrival excellent - staff attentive , friendly , professional - even though shortly midnight arrive . room ready wait include nice arrival gift chocolate bottle still water . my room nicely size London standard . bathroom large tub great shower - low volume nozzle adjustable height direction , overhead deluge great stand relax . towel hang heated bar . strangely , room dark despite numerous light fixture . desk area comfortable ( free ) wire internet connection . small bottle water replace daily . as other mention , location convenient National Gallery central London location . Piccadilly Circus Underground station quick two block walk away . numerous restaurant available . breakfast hotel quite good . my rate include picnic lunch delicious . touch class provide evening via pianist play quietly balcony lobby . my departure like arrival . 
 Sep 4 2009 	 nice tasteful 	 St. James great small elegant hotel lot taste excellent service . definately meet expectation level . restaurant maybe bit overpriced , would not argue quality service food . tasteful hotel great location reflect price . 
 Sep 2 2009 	 could please Sofitel St James Hotel 	 hotel staff definitely know deliver excellent customer service . attentive helpful . room well appoint , absolutely clean , comfortable . bed plush roomy , room quiet , sleep sound . hotel centrally locate major tourist destination walk distance . good hotel experience London . 
 Aug 31 2009 	 great hotel central location 	 choose Sofitel mainly location . close many London sight , include National Gallery Buckingham Palace able walk many place . room ( connect room 2 kid ) service top notch . eat hotel restaurant dinner , good . this first time stay Sofitel , definitely last . 
 Aug 28 2009 	 CHIC DISCREET 	 stay Sofitel many time service always exemplary . staff polite housekeeping excellent job keep room clean dust free ( wife suffer asthma ) . last stay Prestige Suite spacious contain good range technology , e.g . Internet TV , IPOD docking station . room service quick quality food high . hotel expensive good deal find prepay advance . throughly recommend stay hotel 
 Aug 27 2009 	 wonderful hotel grandiose spa perfect location - perfect stay 	 stay Sofitel Saint James 3 day embark Queen Mary 2 20th anniversary . blast french touch make romantic stay . room large , clean comfortable great ammenitie ( Hermes product bathroom ) . service excellent , polite , capable always determine please address request . also perfect location visit city discover London , minute Buckingham Palace , covent garden , Soho , Picadilly Circus , Saint james park London theater district . Brasserie Roux wonderful place lunch dinner . newly open SPA incredible peace busy day . little known city also offer afternoon tea lovely tea salon , discover beautiful delicate blossom tea ever imagine listen enchant music harp . highly recommend . 
 Aug 27 2009 	 stay 25th wedding anniversary 2002 ! 	 love hotel comfortable immaculate room would highly recommend one ! ! although book present relative may quite expensive ! ! 
 Aug 25 2009 	 great hotel 	 Sofitel St James London one well hotel stay . location beat room one good . also , hotel employee nice pleasure meet . hotel close Buckingham Palace , Trafalgar Square , Piccadilly Circus , Bond Street , St James Park , subway many theatre . sofitel hotel room & quot ; Bed & quot ; one good bed ever sleep , well own . even though problem begin , hold way handle . happenne upon arrival ( 9:30 pm ) notify due computer problem room accidentally give away 1st night stay would classic room ( small superior room book ) . also inform 1st night upgrade luxary room well one initially book . hotel also apologize give wine appetizer ( like , replace juice wonderful fruit basket ) well one free breakfast . small room okay since solo traveller room next 2 night fabulous , spacious . would definately recommend hotel . definately & quot ; lived & quot ; 5 star . as London , play always great bthing night find half price / discount ticket well play . if never London definately would recommend Hop on / Hop Big Red Bus . 1st time London 3 year ago great way see & quot ; main attraction & quot ; locate . bus also give free beatle walk tour really enjoy . time , take tour Bath Stonehedge , will not dissappointe - 2 company ( Premium Tours Viator ) offer private tour Stonehedge actually go touch walk upon stone . if like Modern Art , go Tate Modern Museum free like London museum . thing watch & quot ; change Guards & quot ; Buckingham Palace , tour Kensington Palace , London Tower , Portebello Market Knottingham , Harrods , Convent Gardens ... could go on . there always something London , enjoy . 
 Aug 23 2009 	 really great ! recommend ! 	 sleep 3 night luxury room . big , Beautifull , clean . view really nice , long day shopping , not care . bed really confortable , bathroom really nice . personnal always . really enjoy hotel . return London , sure will take one . 
 Aug 21 2009 	 family hotel feel large multinational 	 pleasure stay twice month find front house staff friendly helpful knack making feel stay family member .This be not top attention sometimes make feel ill ease . the location superb want treat centre city strongly recommend hotel 
 Aug 18 2009 	 world 	 book weekend wife 40th . easy get train . walk train station time . location fantastic . walk hotel within 2 minute walk watch practice troop colour . ade bonus . staff fantastic helpful . decor hotel much superb expect . fresh flower everywhere atmosphere relax . breakfast room morning WOW not begin describe . decor room amazing ( especially wallpaper ! ) timeless ... , could wish give wife nice birthday . 
 Aug 9 2009 	 middle everything ! 	 great hotel middle everything . room , service brand new spa superb . be close piccadilly Circus ( blue subway line ) bring 40 min heathrow . overall place london . 
 Aug 8 2009 	 great location ; elegant hotel 	 London hotel hit miss . Sofitel St. James hit . amazing location - close action Piccadilly Circus , shopping , theater , short walk South Bank - quiet elegant . excellent value . barely take cab tube - walk everywhere even picnic St. James Park . also small excellent fitness center . 
 Jul 23 2009 	 wonderful hotel ... amazing location ! 	 return five night stay delighted hotel . friendly , accomodate front desk personal doorman say goodbye never feel comfortable . concierge Joe Rodrigues staff see every need . able get theater ticket day request tour , ticket reservation handle ease . location amazing short walk theater , St James Park , Trafalgar Square , Horse guard Bond Street . beautiful place . 
 Jul 20 2009 	 good place Town 	 take husband surprise weekend ( birthday ) staff great , nice room breakfast super . travel lot experience always stay mind . visit hotel last year think change management service already good last year time mistake all . Anastassia Goloubeva 
 Jul 14 2009 	 Beautiful Classy Hotel 	 husband return european honeymoon Sofitel St James last hotel . well save well last ! hotel beautiful comfortable . location great , along service . upgrade suite upon arrival staff rise petal spread throughout room two dessert cake upon return night . hotel definitely 5 star hotel ... probably nice hotel ever stay . 
 Jul 14 2009 	 great location service 	 arrival booking mess ! great start handle lesson good service courtesy . Thomas duty manager example sadly lack call ' luxury ' hotel day . expertly handle situation , immediately sit we complimentary drink proceed find we suite couple night . hotel great location though formulaic decor excellent fitting comfortably furnish . must treat staff well also pleasant , smile demeanour encounter another pleasant surprise city centre deluxe segment . thoroughly impressive , well manage place . 
 Jul 14 2009 	 Excellent hotel 	 Sofitel St. James perfect place celebrate anniversary . the hotel excellent location excellent service . minute ' walk theater , restaurant main attraction . close Piccadilly , still remain hide quiet . hotel room lovely . staff courteous helpful . we afternoon tea Rose lounge enjoy much . 
 Jul 9 2009 	 perfect location super service 	 love sofitel st . james ; walk almost everywhere bed good trip europe . luxury room , believe bed matter price category ; ask feather remove : ; ask extra bed sheet duvet : receive immediately . need safety pin , within 5 minute deliver plate ! ! ! also , get buffet breakfast include rate : fantastic never need anyhting eat dinner time , much food . also , rate excellent , prepay 3 month advance ; take traveler insurance case would need cancel , ( elderly mom live we ) go well . room small , expect . room lack nothing ! ! perfect , quiet air conditioning , . bathroom excellent , separate soak tub , beautiful decor amenity . start love sofitel sofitel chicago , often go dinner lunch ; disappointed . one thing , restuarnt excellent pre - theater dinner reasonable price ! gram 98 
 Jul 6 2009 	 Hidden gem 	 be sure hotel escape notice long . fan Sofitel standard - understate comfort , elegance generally well situate hotel reliably good service , reason ' ve never consider Sofitel London now . other favourite unavailable various reason work variety option online , reserve room couple night directly Sofitel , get price quote elsewhere ( could save good deal time simply go directly hotel website first ) even though know London pretty well , must walked drive past entrance several occasion , idea hotel , great location . warmly welcome moment arrive find staff universally helpful attentive . room similar Sofitel bedroom ' ve enjoy - comfortable , cool spotlessly clean . despite centre city , atmosphere calm peaceful . I ' m pretty sure know will stay next time be London . 
 Jul 3 2009 	 will never stay place else London 	 highly recommend Sofitel St. James location , amenity service . first stay hotel 5 year ago wow facility . second trip disappointment . first rate ! complaint whatsoever ( though concede use food service -- many great restaurant area price range ) . close proximity tube , restaurant , theater , museum , name . wonderful room impeccable service . qualification would make place family young child -- hotel cater adult business traveler . 
 Jul 3 2009 	 peaceful glamorous oasis heaert London 	 beautiful hotel , room staff delightful even though small problem ( broken iron , faulty tv room key keep fail ) could not enough help resolve problem minute . oh - beds - heaven earth blissful comfort feather mattress . also great business hotel - suites downstairs spacious calm facility spot . definitely return leisure break . 
 Jul 1 2009 	 good location - outstanding service 	 second stay Sofitel St James . location ideal everything : situate Trafalgar Sq & amp ; Picadilly Circus quietly elegant St. James Sq Sofitel close theater , National Art Gallery , Mall tube . service flawless room excellent . especially appreciate soak tub walk shower . turn service fresh fruit every evening wonderful breakfast restaurant . add sparkle new fitness center state art machine . TOTALLY TERRIFIC . 
 Jun 25 2009 	 always easy please - thrilled Sofitel St. James 	 First let say pretty demanding guest hotel / resort . particularly true one pay price necessary stay London . times left & quot ; .... ? ? ? & quot ; encounter service entirely opposition cost staying location . one time . my primary concern hotel lack expedient service . hotel , son say , HOOK ( mean great ) come responsiveness . order ice room service ( charge ) door maximum 5 minute . room service anything else exceptional , literally go locate power strip / extension cord could plug various hair equipment . impressed.the hotel extremely clean , room set heavenly . LOVE LOVE LOVE bathroom . roomy tub soak separate shower - usual & quot ; sample sized & quot ; soaps shampoos Hermes , replace every day use . bed like sleep cloud , bring we extra pillow immediately ( max 5 minute ) request they . they nightly turn service turn bed , bring water set slipper . often nap already tuck , keep come back . persistence excel customer service department delight , one reason continue select Sofitel 's brand . the location also perfect 10 minute walk several sight well shop Oxford street . lovely grocery less half block away many pre - make selection / salad , sandwich , etc . not feel like eat and/or want something snack room . hotel staff happily empty mini - bar fridge could store water ( always , mini - bar rate prohibitive ) - put snack well . I say enough perfectly happy hotel experience , not say often . 
 Jun 24 2009 	 always welcome stay London 	 Staff always friendly helpful . breakfast lovely relaxing . room well fit bed comfortable . always enjoy go back St James . 
 Jun 22 2009 	 superb oasis heart London 	 want stay one London 's well hotel choose spend 7 day ( June 14 - 21 , 2009 ) sofitel basis tripadvisor review . not think could make well choice ! other mention , location fantastic , room ( junior suite ) light , spacious ( least London standard ) well appoint , service excellent ! also surprisingly quiet . other also mention , inexpensive hotel 14 pound sterling martinis cross line ( much prevent we enjoy one every night ) ! tip / suggestions:1 . pre - theatre dinner restaurant . excellent good value.2 . wait Godot ( play next door Theatre Royal Haymarket ) fantastic miss . sell helpful folk concierge desk able get we excellent seats.3 . breakfast hotel lot cafe close quick coffee croissant.4 . Cinnamon Club fabulous restaurant near Westminster Abby ( 15 minute walk St. James Park ) . sure make reservation . 
 Jun 19 2009 	 Great Experience 	 St. James Sofitel great ! husband London honeymoon . first time London second , want see everything . lucky room ready upon arrival long flight US . staff friendly . room clean comfortable . like little santuary hike around city . shower great - although water seem escape incomplete glass partition . location really can not beat ! 5 minute walk tube , Piccadilly Circus , St. James Park , Trafalgar Square . oh , free computer internet access ! conversion rate , great not pay e - mail friend family . , would highly recommend everyone ! 
 Jun 15 2009 	 lovely ( pricey ) 	 know .... stay 5 star luxury hotel , expect pricey . room £ 300 time add breakfast evening drink , will not get much change £ 400 . say room good service superb . breakfast delight ( even £ 25.00 ! ) service ( rather small ) bar superb ( even though bottle beer £ 6 ! ) ' Rip Britain ' 5 star price 5 star service ? will let decide . 
 Jun 2 2009 	 close perfection one get 	 good experience December last year , wife choose stay Sofitel St. James long week - end London two small son ( 4 1 1/2 respectively ) . choice could hardly well . location hotel speak ; accommodation exquisite ( upgrade one hotel 's good suite ) ; overall service perfect : warm , friendly professional time . eld son leave wonder aloud live ; urge we plan another trip soon . impossible disagree . 
 Jun 2 2009 	 amazing experience 	 stay sofitel st . james could well . little concerned stay upscale hotel small child , upon arrival find find child 's bathtub , robe , potty , even rubber ducky room . staff incredibly polite helpful . location perfect ... right middle everywhere want . addition , far big comfortable room ever stay london . 
 Jun 2 2009 	 fantastic everytime ! 	 time parent ( God could never afford Customer Service salary ! ) truly fantastic . staff incredible , attentive , polite pro active , always give good tip restaurant go ( even though restaurant lovely serve great french food , parent not speak english send we french speak waiter spend time translate , nice gesture ) ... room luxurious , fantastic bathroom , location amazing well , nice stroll St James Park morning play squirrel . last least , would try high Tea lobby . could go forever , can not wait go back ! 
 Jun 1 2009 	 Excellent Location / Excellent Hotel 	 modern , spacious room central location . overall good value $ $ /euro / pound spend . bit pricey still well worth - modern large bathroom though shower permit water run floor reviewer state . distraction enough deter stay . business center free internet ( wireless , free MAC usage ! ! ) . breakfast buffet great cheap ! overall , give wife want spoiled bit anniversary , please back . 
 May 27 2009 	 great location bespoke service stylish sophisticated atmosphere . 	 moment arrive know go enjoy stay . although room ready ( heck sell night arrive 6 am ! ) morning delightful . offer beverage escort fitness room could privately freshen . stroll gorgeous park one block away , enjoy relaxation tea room . guest room immaculate amenity anticipate . love power rain shower deep separate soak tub particular . turn service night timely fresh fruit deliver morning . breakfat buffet provide wonderful assortment item great service . front desk concierge staff could friendlier efficient . truly feel satisfaction utmost concern . 
 May 27 2009 	 Perfect location great hotel . number 1 choice London 	 Hotel location amazing . step away major tourist spot transportation . service friendly helpful . room comfortable , clean , modern . staff terrific child go way make sure stay memorable experience ...... would stay heartbeat . 
 May 26 2009 	 french Gem Heart London 	 recently return short trip London . pick Sofitel St James base upon excellent review receive TripAdvisor , plus reasonable rate Sofitel offer website . hotel centrally locate . take Picadilly Line Heathrow , mixed experience . take 45 minute get hotel , try deal luggage tube rush hour annoying . return trip much easy & amp ; justify early annoyance cost saving alone . take tube hotel , make sure leave Picadilly Circus station use south Regent St. exit . hotel 2 - 3 minute walk due south . get hotel , find entire staff friendly , french quite helpful . try well allow early check - in , hotel completely full night . amazingly , room ready 10:30 . room , notice look almost identical room depict Sofitel website . room somewhat small , lot quality touch , like flat - screen tv , comfy bed , coffee / tea service , iron / ironing board & amp ; huge bathroom . lot review site complain shower soak entire bathroom . see possible intense water pressure . also not help hotel use stylish ( overly complicated ) retro - style water fixture tub / shower . experiment bit , master use contraption experience flood many other experience . overall , excellent hotel heart city . unusual french flair likely greet bonjour rather hello . high level service seem many people enjoy hotel . pro : business center free computer access . con : many room view inner courtyard . 
 May 22 2009 	 great hotel - watch telephone charge gauge construction noise ! ! 	 great location , especially near West End theatre shopping . meet efficient helpful service front desk concierge . standard room adequate clean however , would highly recommend ensure room low level near north end building . construction adjacent building , , ongoing month . complain give quieter room 2 floor , south side . choose upgrade room next level , find room spacious lovely . watch telephone charge fee ! ! ! call local mobile number room speak 6 minute . charge whop UKL22.16 . apart two item ; thoroughly enjoy stay . management could not helpful friendly . ' ve stay many time would . 
 may 22 2009 	 nice hotel shame management 	 wife satye romantic weekend , generally hotel nice , good location etc . however use shower afault mean bathroom flood therefroe shower unusable . staff apologetic , get recompense management . price pay , expect well . 
