always 	 stay wife 5 night early Nov. 2009 . always , room clean well maintain , hotel staff always pleasant . appreciate extra help receive Pedro , assistant manager . residential hotel nice neighborhood , able walk place want visit . room large , fully equip kitchenette . probably stay Affinia 20 time last 5 year . 
 Affinia Gardens Great Hotel 	 room service Affinia Gardens terrific . location ( E. 64th near 3rd Avenue ) perfect . staff people encounter various trip -- Krys , Latoya , Sam , Rhonda , Pedro Sal -- pleasant helpful . hotel configure like residential building hotel . like small , intimate reception area put directly onto 64th Street leave . fact , experience Affinia Gardens like residential hotel live Manhattan . highly recommend . 
 Nov 2 2009 	 large room great location 	 friend stay 7 night October . check - in give upgrade book room available . upgrade one - bedroom suite - large , well appoint 2 queen sized bed . first night though ask return original booking ( junior suite patio ) . handle quickly without hassle . this room obviously small , still large NY standard . bonus original booking large , private courtyard attach equip outdoor table chair - use every morning coffee , every evening glass wine bed . the staff friendly helpful - particular La Toya always smile offer assistance . it great kitchen room ( equip enough heat takeout , store cool drink make breakfast really equip cooking dinner ) . small , small negative thing notice sachet sugar never replenish stay ( though coffee ) .The location brilliant - quiet street couple minute walk fun bar good restaurant , shop also handy subway . I already recommend hotel sister tell travel agent recommend client ! 
 Nov 1 2009 	 's good hotel 	 hotel nearly interesting site city . room big clean . service attent resolve problem quickly . 
 Oct 27 2009 	 touch Upper East side sophistication 	 Affinia Gardens well locate quiet street Second Third Avenues , within block Central Park , Bloomingdales subway . front desk staff welcome , friendly thoughtful . room comfortable housekeeping high standard . convenient restaurant , bar coffee shop neighbourhood although hotel bar cafe possible order number place room service . 's good choice Midtown shopping sightseeing Museum Mile . 
 Oct 27 2009 	 BEST location Manhattan ... close everything 	 everyone friendly helpful - room comfortable clean - perfect travel young child . jennifer front desk lovely 2 doorman , Michael Pedro awesome .... complaint anyone . housekeeping staff pleasant keep room look neat . can not wait go back Affinia Gardens ! 
 Oct 26 2009 	 excellent every way 	 stay Affinia Gardens 5 day . could ask well . staff go beyond call duty make stay fantastic . exceptionally courteous request answer promptly . room large two queensize bed . even choice pillow make comfortable . location upper east side great , two block subway . thank Affinia Gardens , back . 
 Oct 24 2009 	 wonderful experience ! 	 recently stay Afinia Gardens friend city business . large room beatiful kitchen . hotel room clean , well - maintain , except carpet look worn . housekeep woman friendly poliet . name Anna W. Kris , doorman ask put & quot ; good word & quot ; team , Sam , Latoya , Sal , Shefi , Randa . friendly helpful . pleasure stay hotel . 
 Oct 21 2009 	 Pied Terre Manhattan 	 Spacious & amp ; comfortable accommodation , great staff . feel like home hotel . ' ve 3 time , return . 
 Oct 20 2009 	 Love Hotel 	 Excellent service , friendly staff . stay hotel 3 4 time year last 5 year always look forward come back . room spacious , especially New York . close major amenity . hotel promote zen like philosophy ... 
 Oct 14 2009 	 fabulous location spacious room 	 travel NYC least 3 4 time per year . , always stay different hotel try . stay previously Affinia Gardens far well many 4 5 star hotel upper east . reason : location great ! well situate upper east busy street noise problem . always like stay place space hotel provide nice sized room . ( traditional size room find Manhattan basically go around bed space ) . affinia closet space decent living area comfortable . 
 Oct 14 2009 	 Good experience 	 trip New York great . arrive hotel , expect , assistance need . room quite nice delight refrigerator room sit couch . employee hotel soo helpful , namely Latoya Michael unnamed maintenance man offer help even though package control . difference make hassele air trip , etc . 
 Oct 12 2009 	 good location room poor service end 	 hotel room well apointed , clean great location central park , museum . however , little way extra service prepare . front desk concierge , someone multi - task everything . person , , recommendation dining place . & quot ; concierge & quot ; send we ticket broker broadway ticket broker never get back we promise rude call back . & quot ; concierge & quot ; take generous tip call we back well , never call information leave end shift . next day , nonapologetic , state not information give we be not call . ring we tell we ticket still air ? would make plan man let we know , rather leave we lurch . & quot ; service & quot ; joke . well say service promise without delivery . 
 Oct 7 2009 	 Love hotel ! would return . 	 Melissa , Marjorie Jennifer make stay joy ! staff courteous friendly . love tea party girl ! 
 Oct 7 2009 	 great stay 	 pleasent stay hotel . recomende front desk atention Latoya Jennifer ( speak spanish ) matter provide assistance we Sal , Sam Kris . thank , sincerelySilvia Pfeifer Jorge Szejersilviaszejer @ yahoo.com.ar / jsestudio @ ciudad.com.arbueno Aires Argentina 
 Oct 3 2009 	 great experience ! ! 	 love stay Affinia Gardens , huge room close everything . stay two friend one bedroom suite enough room , like home New York City . service excellent everyone extremely helpful . LeToya really helpful give we great tip go shop even help we get discount ticket theatre . 
 Sep 30 2009 	 good spirit 	 would like pay special tribute follow staff member Affinia Gardens : Rhonda , Caprice , Pedro , Latoya Michael . this hotel really great ! staff show well deserve pride achievement , good skill , style , consistency grasp job well faithfulness spirit . for foreigner front line US get first impression country open smile welcome attitude people meet first , despite whim whit visitor . they provide valuable advice matter relevant stay whether business trip visit . thank keep great teamwork ! 
 Sep 28 2009 	 real new york flavour 	 enjoy ny oasis . great location within minute walk good place Manhattan ; friendly staff ; good place rest busy day . great herbal tea lobby . P.S . latoya reception well . Igor 
 Sep 22 2009 	 great hotel 	 stay five night Affinia Gardens please accommodation . jr suite 2 bed ; suite spacious nicely appoint . entire suite clean , quiet well lay . staff hotel extremely pleasant helpful . particular , Krys nice . time see we , would friendly greeting . store luggage arrive hotel prior check - in time . Krys helpful trouble locate baggage claim ticket ; remember we retrieve luggage without fuss . unfortunately , get name young lady work front desk arrive hotel . also pleasant . since room ready arrive morning stay , go grab bite breakfast . return hotel sit rest int lounge area wait check . sit lounge , call name let know room ready ( prior check - in time ) .I particularly like location Affinia Gardens . Upper East Side quieter many area Manhattan hotel close subway stop . many grocery store within walk distance hotel buy food breakfast meal enjoy suite . 
 Sep 16 2009 	 helpful friendly service roomy suite = happy family . 	 need kitchenette living space suite perfect little family reunion . much roomy mid - town hotel . staff always helpful knowledgeable . neighborhood relatively quiet . bathroom little small lacked fan , nicely design , okay . nice price Manhattan . 
 Sep 13 2009 	 pleasant hotel great location 	 family stay 6 night wonderful stay . staff pleasant cordial . bed plush junior suite roomy . convenient laundry downstairs great dining option neighborhood . would recommend anyone . 
 Aug 28 2009 	 Service Top notch ! 	 never NYC Affinia Gardens part 1st experience New York City . staff definitely go beyond assure stay perfect . come Los Angeles , long flight arrive hotel mid day . door man wait side help we bag soon arrive . family vacation 6 year old memory New York experience lifetime . book one bedroom suite . amazement suite locate 11th floor balcony patio . view area amazing suite huge ! friend family warn we NYC cramp , smelly , dirty . Affinia Gardens , place large , airy , clean , fresh . block away Central Part , Bloomingdales , serendipity 3 definitely hurt . I say one good experience would highly recommend . doubt like initially , give hotel call . even room service restaurant hotel great ! 
 Aug 21 2009 	 rate not great deal would not stay 	 stay many hotel recently , span Southeast Asia one New York tail end vacation . read reviews Trip Advisor , visit website awe wonderful ammentie include find fantastic deal nightly rate , could not resist booked room week part gift . really want like hotel , end couldn't . first positive : -The complimentary tea bar great addition , would nice put tea room well.-the hotel quiet , nice oasis bustle city.-the hotel manager courteous eager help , definitely plus.-the room clean well maintain course week.-The location great . nearby subway ( F N , R , W line close ) easily walkable ( 4 5 block ) Central Park . also , nearby M66 bus stop take across park Lincoln Center Upper West Side . the negative ( many deal breaker ) : -You inconvenience staff . flight delay come JFK , not get midnight . realize late call hotel confirm still come . get room ready , single security worker man front desk . speak get worker night . apparent appreciate even let sigh frustration ask order room service . realize late , also realize hotel catering guest . ' ve arrive later Holiday Inn treat courtesy.-i assume incident isolate , not . young , guest . stay late wake early . every evening either one front staff make certain tell we late ( early 9 pm ... 's NEW YORK ) . every morning recieve questionable look / tone arrange wake call . choose stay hotel convenience privacy . pay staff demonstrate opinions.-housekeekpe minimal work , whose quality change day day . day amazing , like step new room , day horrible welcome strange smell . least none stuff missing.-as another reviewer note , Affinia hotel offer online customization room ammenitie . include everything special pillow particular care package offer complimentary service guest . definite plus . however , convenience negated not act upon . big deal , would rather advertise something not exist ( not work ) .-We ask worker internet access . be available complimentary anywhere . business center guest , 's single computer pay use . eventually get tired ask thing pay room internet , $ 12.95 night.-Personal ammenitie shaving cream , toothpaste , razor , etc . provide ask front desk . give irritated reaction ask they - this one 's personal preference , hotel definitely cater old / family crowd . first day , not see single person 50 besides worker . nothing wrong , would nice know . love spa - esqe atmosphere , wish know space mean elderly family . bottom line , hotel not bad , steal pay . regular price , 's terrible well par . definitely nice place stay New York hotel offer nothing beyond typical hotel experience . way stand service , flop big time . not know week , something right . hotel good , lack couteous service really irk prevent return . 
 Aug 18 2009 	 dissapointe 	 look nice set close central park base professional website . choose room backyard ( ground floor ) . worthy . sit elevator ( nice traffic ) . plus backyard noisy ( hotel machinery seem behind ) miss purpose selection & quot ; quiet restful big city & quot ; also , bathroom not AC / air get hot u let door open . plan use sofa bed , room / a bit crowded . kitchen old sufficient cooking tool . guess use microawe reheat possibly cook egg morning . also door room kitchen cook smell spread out . also , pre register / website prior arrive send several message ask specific request / choice among set service . . nothing deliver request . care fuss nothing . professional appearance , less executionhence , also , nice check , rude check . Room prepay . ask credit card . would answer customer simple question & quot ; need credit card # extra & quot ; . Clerck keep repeat question we . could si^mply state & quot ; excuse , indeed charge plan use card need computer system not allow checking without number & quot ; . Unconvenient / stupide customer least would understand communication . much smooth handling , friendliness service . arrogance stubborn . care bring service anymore hotel brand name city ... plenty offer around . we come downtown ( embassy suit ) much like want close uptown site avoid useless trip subway . would redo similar trip , would stay embassy affinia . 
 Aug 17 2009 	 great Find Upper East Side 	 interested hotel room family NYC stay Affinia Gardens ! renovate apartment room stay 1 bdr full kitchen , living room bath . ample space hang pull sofa theh living room kid share . pillow menu choose type pillow stay website , plus amenity . nice neighborhood close lot midtown hectic feel . pay pre - tax $ 249 per night hotel bargain NYC ! hotel lovely lobby tea room enjoy tea relax . check website special . downside hear local traffic , 's New York . 
 Aug 11 2009 	 Loved hotel ! 	 daughter stay Affinia Gardens first trip New York could not well . service exceptional . everyone affiliate hotel helpful professional . room could anticipated . room kitchen well . location convenient Central Park , great dining much . Affinia Gardens hotel choice future visit Big Apple . 
 Aug 5 2009 	 hotel good ' ve stay New York . 	 stay place around city , several year , always come back Affinia Gardens . room beautiful , incredibly comfortable bed pillow choice , suite kitchen . take garden face room ; quiet relaxing . staff top , service excellent absolutely bad snooty attitude many high end New York hotel employee . welcome courteous , always willing help need may . also , many amenity ( especially love Aveda product ) make stay even well . perfect location , Upper East side , close museum district theater district . thing would say drag , amazing tea & quot ; relaxation area & quot ; , make , can not order ! really treat really nice stay New York . 
 Jul 29 2009 	 Fantastic - hotel room staff location 	 hotel clean comfortable room . staff friendly short walk Central Park Metro . would defintatly stay 
 Jul 27 2009 	 Best good ! Affinia Gardens Luxuary 's Finest ! 	 business trip casual night away , Affinia Gardens meet every one need ! service impeccable amenity keep come back ! A++ individual make Affinia Gardens Best Best ! 
 Jul 25 2009 	 really great ! 	 share little gem , clean , friendly , love low key location . I stay one night family , stay long next time . pleasantly surprised . thank Affinia Gardens enjoy stay . 
 Jul 24 2009 	 somewhat overrate 	 not know move three night impeccable Westin Jersey City Newport , hotel somewhat letdown could not wait get back Westin last two night . spend four night Affinia Gardens offer king bedsofa oppose double queen book room ready arrive . politely decline offer pay USD40 / night upgrade junior suite . problem queen bed uncomfortable king bed , grateful bedsofa ! four we could fit double bedsofa , would sleep avoid wake stiff neck back ! bathroom pleasant surprise , although compact , well design half one wall fill mirror ledge front plenty room lie toiletry . white tiling look quite fresh together good lighting . kitchen expect find prepared light breakfast expensive supermarket la Food Emporium area , much expensive dine . room large standard 6th floor overlook hospital quiet time . room clean fortunately experience evidence blood stain another recent reviewer write witness number patient wheel look bad wear ( thought eye , ear throat hospital across road , look like bandaged head toe ? ) . clean room without fault , except towel change every day even though hang everything ( advertising suggesting , not follow environmental thinking since continually replace ) . entire establishment , lobby lift shabby carpet , look tired , fairness , three star establishment . location excellent ten minute ' walk Central Park . put place par service receive arrival . book internet special prepaid rate actually include HSIA ( would otherwise cost USD15 per day ) . ask confirm check ( since read horror story guest charge incorrectly HSIA place ) , ask instead something paper prove . also advise non - professional manner pay 70 % less rack rate , interpret meaning lucky even get bed price , let alone HSIA include . doorman stand quip everyone pay rate , soon would give room away . well , firstly , idea rate pay record , cost USD169 per night plus tax , Affinia Gardens like sell room price , not make deal available book directly website via Travelzoo access promo code . not dare use HSIA check next day ( guy check we ) could confirm include ( would debit account credit checkout ) . MyAffinia thing not work , may fault day prior arrival could not match booking . might work next time stay Affinia establishment ( never love Westin ) . pillow menu we , although manage provide we two ask checkin ( , tell we really entitle one - drag drop action allow choose two pillow ? ) . BYOB kit available other due book houseguest whole concept tranquillity ambience lose far concerned . , although peppermint tea lobby lovely , not feel welcome enough sit enjoy lukewarm welcome receive checkin take room enjoy avoid possible comment staff ( like perhaps would complain offer us free cup tea ! ) . know could get WTC Lex 59th via Lexington Express train take less 15 minute , would stay entire time Westin commute Manhattan , even get Central Park visit friend Upper East Side . 
 Jul 22 2009 	 blood wall stinky room 	 stay July 2009 . room huge not make cleanliness overwhelming & quot ; hospital smell & quot ; permiate stale air . multiple blood smear window blind wall . disgusting . apparently lot people stay get surgery across street . drain bathroom clog . good thing : relatively quiet location , nice tea selection , patio room ( could smell cigarette smoke people patio ) . 
 Jul 21 2009 	 Tranquil understate sophistication warmth european pension 	 Understated sophistication , warmth european pension -- -the Affinia Gardens truly oasis tranquility ! second visit Affinia Gardens year tell . rhonda reception Kris , doorman , housekeeping staff , genuine , unpretentious warmth hallmark great Upper East Side hotel . but -- -it would nice coffee return tea bar .... 
 Jul 21 2009 	 like home away home 	 first visit New York unforgetable . could ask perfect hotel stay . Affinia Gardens could hope . hotel beautiful , comfortable clean staff could helpful . location great . many attraction within walking distance . family can not wait return NY - Affinia Gardens - next vacation ! 
 Jul 19 2009 	 terrrific place extend stay NYC family 	 hide jewel hotel place stay plan spend week two NYC bussiness vacation . first hear good friend stay every summer number year . room spatious full kitchen - allow significantly cut cost meal vacation . the staff courteous friendly . service general second none . the location terrific - quiet neighborhood upper east side yet block Central Park Rockfeller center ... 
 Jul 12 2009 	 big room Best Value NYC 	 ' ve stay couple Affinia hotel NY generally great , Affinia Gardens outstanding size comfort room price pay . can not imagine beat anywhere midtown NYC . note : stay back side hotel , overlook park quiet . service also great , staff helpful friendly . highly recommend . 
 Jul 6 2009 	 good family choice NYC 	 let start say & quot ; not review & quot ; . get back trip Manhattan kid stay Affinia Gardens Hotel simply spectacular . live tri - state area work NYC , look hotel stay kid not look traditional business hotel . find Affinia Children 's Museum Manhattan one stop kid ( great 3 6 year old ) . check - in staff friendly whatever could ensure stay get right foot . location fantastic , beat path enough quiet close Museums , Central Park , Upper East Side , Upper West Side , Time Square Theater District . room LARGE , comfortable , refreshingly cool , quiet clean . separate bedroom kid , look . plenty restaurant 1st , 2nd 3rd avenue via short cab ride . restaurant hotel offer fast in - room delivery several local place take advatage twice . cost also competitive NYC especially give size room fact kitchen two room suite . really can not say enough hotel add help make trip one well ever take kid ! ! five star . 
 Jul 1 2009 	 Best New York City 	 Gardens surpass expectation stay New York City . service exceptional , front desk helpful needed help television , direction , suggestion sight seeing . room large , clean neatly appoint . location exceptional , close attraction dining establishment . like good quiet neighborhood evening , give we opportunity get great night sleep . would highly recommend business traveler , couple , family . wonderful four night experience . 
 Jun 26 2009 	 Perfect location great room great staff 	 stay one bed apartment week 15 year old . little worried bedroom may cramp plan use sofa bed need . use teenager want stay late watch tv say comfy enough . whole place huge , walk sit room area twice size standard hotel room , sofa / bed , chair , tv , desk coffee table . bedroom massive 2 large double bed ample storage space we , plus tv . kitchen small , perhaps many cupboard fully equip gas cooker / oven , microwave , diswasher , kettle , toaster large fridge - freezer . Eating / drinking untensil 4 provide well pan etc . bathroom small , perhaps one downside place , toilet immediately door bit door cut accomodate . bath small unable use plug work properly minor issue not bother shower adequate .. location could not well , near plenty local shop ( check food emporium end street 3rd ) dining area . first night walk Central Park straight 15 minute stroll . bloomingdale also 10 minute walk away ( worth trip opinion ) couple subway station within walk distance honest prefer walk get cab subway bit hassle . China Fun restaurant road first night order , food deliver 15 minute much could not finish . load place eat nearby taste budget , vegan / vegettarian / diabetic nut allergy contain family problem eat anyone can . the staff hotel 100 % customer focus , everyone meet polite helpful , special mention Chris conscierge arrive leave make life easy . arrange car take we airport , beautiful Lincoln 75dollars .. bit extravagence worth . also facility print boarding pass free hotel lobby , small touch make difference . view ongoing bill via tv anytime itemised bill post door last night . check speedy efficient . the Air Conditioning welcome relief easy control . pre - book special pillow walk tour pack , room , though ipod walk pack advertise hassle would not use it . Room clean high standard day , leave tip pillow every morning ! couple small issue . one charge bottle water , walk tour pack order ( free ) assume gratis , charge 7 dollar , ( litre water ! ! ) unless really thirsty not bother - walk shop stock drink - cost internet access feel tad excessive , pay 62.95 week , ( use hotel lobby 6.95 15 minute preferred ) , useful day age really charge nominal charge wifi access . fairly slow high - speed expect . we issue noise guest staff good peaceful night sleep night . all would highly recommend hotel , well place , clean , well equip staff excellent people . probably get cheap want spacious central place well worth cost . neighbourhood extremely safe vibrant without overpower . ever make back NYC first port call . 
 Jun 19 2009 	 huge room ( NYC ) private patio 	 arrival upgrade junior suite patio suite - room large ' ve ever see New York City , private ( not count neighboring highrise ) patio enormous . also get full kitchen . we little concerned hotel restaurant need get early want room service breakfast - worry , room menus several neighborhood restaurant would deliver put charge room . order breakfast room 15 minute . location excellent - walk distance Central Park , shop 5th Park avenue Met . 
 Jun 18 2009 	 absolutely great service 	 second stay Affinia Gardens . staff turnover virtually non - existent , indicate management know staff happy , guest . never unanswered question . never see face not smile . deal someone even one time , never forget name ( would love know secret ) . special kudo Latoya , Michael , Chris , Alex , really know guest want , even ask . Affinia Gardens place list future NYC visit . 
 Jun 14 2009 	 large room great ambience 	 stay week business accompany wife toddler . select hotel location ( close Central Park ) fact separate kitchenette , useful young son . the room probably one large stay New York city - spacious - plenty crawl walk room toddler . bathroom small , big issue . great food deliver italian restaurant corner ( Accamedia de Vino ) supermarket close . not fool & quot ; tea room & quot ; ground floor - really extension lobby . staff great would stay . 
 Jun 9 2009 	 could not well experience ! 	 stay 4 night service great . first night small graduation get - together son Emily ( charge housekeeping someone else go ) huge help ! check see need anything pleasant . stay could not well . room nice personnel front desk gracious . would highly recommend stay . 
 Jun 4 2009 	 Convenient Location Good Rates Mixed Service Experience 	 pay bargain price around $ 250+tax incredible bargain centrally locate 1br suite Manhattan . suite spacious great amenity family kid ( microwave , stove , dishwasher ) . Bathroom small make great use space product excellent . Carpet suite stain quite badly probably due replacement , otherwise unit clean feel update . complaint quality housekeeping first day exceptionally poor tub leave dirty , towel replace , water leave kitchen floor . subsequent day service standard though ' m sure leave generous tip pillow . hotel staff helpful cordial , though could friendly . would recommend hotel young family other look well locate suite , long rate remain competitive . 
 May 30 2009 	 nice quiet base explore city 	 wife manage obtain three night junior suite bargain price . arrival greet courteously , everything ask room . suite huge , facility cooking , make drink etc . perfectly clean comfortable , although part looking bit date tired ( seem experience round US , unless mega buck ! ) , money happy . US , find location quiet ( 12th floor ) good place explore NYC . subway less 5 min foot , easy navigate . within 10 min walk Tiffanys exuberant shop 5th . thing would mention will need buy tea / coffee supply . want wifi extra well . really enjoy stay would recommend great base explore NYC . 
 May 26 2009 	 overrate 	 stay 5 night april end three week ny trip , quite frankly find hotel overrate price . stay Affinia Manhattan find staff much personable competent Affinia Gardens find room , although date adequate price pay . we junior suite think 's call AG , first room huge , 10th floor front build two four night someone directly we smoke filter vent choke we . 's suppose non smoking hotel unacceptable way handle management quite unsatisfactory , fact email complaint website return NY never receive response , typical management style observe stay . whatever not buy breakfast hotel , receive free compensation terrible first two night throw terrible , tell front desk check ( try ccharge we supposedly free breakfast ) shrug say sorry hear not enjoy . pastry stale , coffee bad , granola / museli bar bottle apple juice paper bag ... rip , glad do not pay it.anyway , expensive hotel stay stay include stay two Thompson hotel far superior completely different league , $ 40 night cheap , go figure , would not bother Affinia Gardens tell friend bother trip . 
 May 21 2009 	 overprice charmless 	 often stay Affinia hotel , suite hotel , studio kitchen . not stay Affinia Garden , probably convert apartment building . room large , clean , huge bathroom ; bed good . style stark , minimalist , mono - tonal - unfriendly look . restaurant , guest order menu , breakfast deliver local shop - well expect . neighborhood mostly residential , hospital across street - nothing interesting walk . one computer , extra charge , main floor . 
 May 20 2009 	 Loved Affinia Gardens 	 Beautiful hotel . stay NYC time , hotel different would expect NYC . room amazing , much quieter NYC hotel I ve stay . quite part Manhattan hotel allow relax chaotic NYC day . room clean staff excelent . 
 May 13 2009 	 Great Customer service .. can not wait check 	 make reservation 83 year old parent , come NYC daughter graduation Pace U . major concern come . call hotel directly request speak manager . day age , extremely difficult talk someone make decision . one good customer service experience ' ve long time . want thank Marjorie make senior happy ( daughter , granddaughter , etc ) 
 may 6 2009 	 Great Hotel 	 sister stay hotel long weekend end April . although room not ready arrival ( 4.30pm ) staff well get ready we leave bottle wine compensation . alaso give we complimentary breakfast -- really could not ask . one bedroom suite bedroom 2 queen bed , large living area sofa bed , kitchenette nice bathroom . great shower ! hotel good location far subway nice quiet . would definetley reccomend anyone visit Big Apple 
 May 5 2009 	 Affinia Gardens weekend kid 	 recent weekend wife kid ( 6 , 3 ) NYC start difficulty , great fun trip end terribly . we enjoy Amtrak ride Boston NYC transfer smoothly via taxicab Penn Station Affinia Gardens Upper East Side . thankfully , stroller fit cab 's trunk ! arrival Affinia Gardens , room ready yet . worry since minute early normal check - in time happy go walk Central Park . 90 minute later return room still not ready . fortunately manager step offer we temporary use small room get clean dinner . return dinner around 8 pm , still confusion whether room ready eventually give key ... room already occupy . back front desk manager get involve finally get we right room . while check big hassle desk clerk tough deal , manager bellhop friendly , helpful good remedy problem . we impress size Affinia 's room , especially light reasonable price hotel room NYC really small . temporary room use first floor great outdoor patio . room kitchenette big help travel kid . drawback bathroom toilet close bathroom door swinge door actually hit toilet seat . difficult get bathroom without put toilet seat . hotel well locate visit friend family mostly live upper east side . walk distance several kid - orient attraction include Central Park Zoo , Dylan 's Candy Bar , Serendipity 's . chance upon nice playground 3 block away . all , good stay Affinia Gardens . follow terrible time Penn Station cancel train Hertz reservation location car . another story ... 
 May 2 2009 	 nice hotel Upper East Side 	 return two - night stay . hotel pleasant surprise . could believe size room ( 206 ) -- huge NYC standard , small kitchenette , large l - shape main space king bed sofa bed , nicely appoint . usually stay one large hotel like Sheraton Westin , always try stay . note , staff extremely nice . annoyance pay internet . People comment lack restaurant apparently walk 2nd Ave , lot coffee - shop pizza - type place , 3rd Ave , stylish wine bar / italian restaurant right corner . 
 Apr 27 2009 	 Nice Hotel NYC 	 hotel wonderful . nice , clean , large spacious room . block subway . great locationon UES . quiet residential neighborhood . two grocery store , Food Emporium Gourmet Garage , next block . nice small kitchen . aveda bath product . staff excellent . pet friendly . dog love walk Central Park . 
 Apr 12 2009 	 great location exceptional service . 	 stay Affinia property impress . stay Affinia Gardens well expect . request room balcony . awesome ! staff courteous helpful . use Valet parking easy . two adult , two teenager one 9 yr old . plenty room . much nicer & quot ; hotel & quot ; . be like borrow upscale NYC apartment weekend . price reasonable location , size room service receive . back . arrive late hungry , Jackson Hole right across street excellent burger , look , 's basement . 
 Apr 5 2009 	 staff truly helpful 	 brief two night business stay . mention Trip Advisor , hotel staff great . seem willing assist way may ask . book car early morning trip back JFK ( $ 75 ) disappointment main floor room ( # 107 ) adjacent elevator tired carpet noise hall elevator . I jog around Central Park , walk Guggenheim ( sp ? ) Met . location good however would ask advise local restaurant . many towards Park Ave expect . probably lot nearby look . 
