ok 	 frill 4 * hotel . many point , hotel well locate Gloucester Road tube station & amp ; Sainsburys & amp ; Waitrose nearby supply . major though wall thin & amp ; person next door clearly hear even be make much noise , talk , use toilet etc . get wake 4 am couple arrive next door we & amp ; ordinary normal volume conversation . positive , room come iron 4 * hotel & amp ; staff good . stay agin purely basis wake 3 night trot wall thin ! ! 
 room small like wardrobe 	 location hotel bad,10 minute walk Gloucester Road underground station , picadilly line good get city centre . hotel clean , room small feel claustrophobia , single room maybe 9 square meter include bathroom look like corridor . bed comfortable , hairdryer ironing board , small kettle , fridge find adapter reception charge mobile phone , buy it . smoking allow anywhere hotel . continental breakfast poor,3 kind sausage , one eatable,1 kind cheese , cornflake , milk , yoghurt , juice , tea coffee , toast , bread . vegetable , fresh fruit , cake , omlet english breakfast . on weekend possible wait breakfast line 10 minute , much place breakfast hall . staff hotel quite polite , check quick smooth , 11 a.m. early check . 
 Jan 14 2009 	 Awful Hotel - trick Free Wifi 	 4 * hotel . period . minibar room service speak . order Pizza , clear simply put Goodfella 's frozen pizza charge we 10 gbp pleasure . clean service absolutely irritate , unless 11 , do not think get room clean . bathroom amenity great , overall severely disappointed . choose hotel think might actually 4 * wifi , instead go 2 * patchy wifi service check every morning stay . never stay go hotel . period 
 Dec 6 2008 	 pleasant comfortable unremarkable rather cramp 	 Checkin efficient room well equip quiet . one night needs not go far beyond clean room comfortable bed , provide . but room certainly small . not know whether bed suppose large single small double , grateful . provide one folding stand suitcase , not know expect anyone erect . thoughfully provide iron board useful set , could not get bathroom . breakfast service good food nice . location good , long not mind rather compact room ( course uncommon Central London unless pay fortune ) , job . 
 Nov 14 2008 	 Good Choice 	 ' ve pleasant stay four night Quality Crown Hotel Kensington . hotel ideal begin city trip locate near various subway bus station . 24 hour supermarket nearby . room clean spacious , staff friendly helpful . summary say ' ve got expect value money recommend hotel friend well would like stay . 
 Nov 2 2008 	 safe choice 	 stay Quality Crown Hotel Kensington three night absolutely complaint . hotel nothing exceptional , find clean staff helpful ( actually need help twice time staff show room less five minute solve problem ) .The room rather small , quite normal London , guess really average size . I would say Quality Crown Hotel safe somewhat conservative choice , find many surprise , neither good one , importantly , bad one . 
 Oct 17 2008 	 Great Hotel ! ! ! Good Location . 	 return great vacation London , England . be little disappointed check room available . request early check - in due overnight flight Canada . Staff however , take luggage storage room ready within 1/2 hour . staff friendly helpful . housekeeper sweet friendly . Coudl not ask anything more . room little small compare north american room otherwise sufficient traveller need . grocery store , pub , restaurant , laundrymat , news stand , bus stop tube station within short walk hotel . great irish pub locate short distance hotel ! ! ! hwelshOntario , Canada 
 Oct 1 2008 	 Teeny Weeny 	 hear room would small ... yike ! ' ve never see compact space ! point amazed fit much functional furniture room . will not lie say not little disappointed even frighten first saw room - husband 6 ' 3 ( barely ) double bed we . however , shock wear besides , not go London sit hotel room matter little tight ? end turn ok , everything clean relatively new - look . front desk staff leave something desire ... little ont rude side even tell get married 2 day early start honeymoon establishment . smile & quot ; congrat & quot ; would go long way ... 
 Sep 11 2008 	 ` ` Noisey neighbour ! '' 	 stay daughter 4 night . location great , even supermarket virtually next door . check staff bar staff speak excellent English helpful . the major problem noise next door ! ! ! sound proof room word , snore sniffle audible . matresse lumpy big spring button stick , really 4 star standard . mention checking tell slowly replace old matresse . if could guarantee get good matress next door neighbour would stay otherwise must something well nearby . 
 Sep 6 2008 	 unhappy guest 	 room small 
 Aug 26 2008 	 small hotel room world 	 hotel small room ' ve ever stay whole life ! room 512 ! small double bed push wall room one person walk side it . ask possible upgrade large room unfortunately hotel full . check informed fault request small room ? ! would ever request stay cupboard ? seriously silly ... lot hotel area would suggest use one - sha not go back 
 May 8 2008 	 adequate thin people - not like eat ! 	 could actually tolerate small room , although ' m big guy . review accurate assess nice lobby excellent bar . hotel room well maintain far cleanliness , quality sheet towel . gosh , staff could friendly ! many hotel eager sell postage mail business correspondence post card . - will tell walk street grocery store . scold 2 3 morning go downstairs breakfast . think reservation & quot ; full buffet & quot ; firmly reprimand help scrambled egg instead muffin / fruit/ continental fare . not bother food good . location terrific . find great restaurant walk towards Earl 's Court . Unbelievable Thai restaurant , nice breakfast spot fresh squeeze orange juice prior & quot ; little french restaurant & quot ; ( another goodie ) road split . hotel adequate think research little well next time . 
 Apr 10 2008 	 clean .. Nice Staff 	 clean pleasant staff . room small ' m 6 ft plus tad cramp . stay two day sleep well . not bad value room rate £ 80 per night . nearest tube Earls Ct . 
 Apr 9 2008 	 nice place 4 star room ! ! 	 hotel ideally situate short walk Gloucester Road tube station , thus place perfect location access London tourist attraction . the room however , even though clean comfortable small , carry bruise try negotiate simple journey around room without constantly bump bulky item furniture . basic tea coffee make facility room , mini bar would expect . 5 tv channel available , other pay extra , something else would normally expect pay 4 star hotel . the staff friendly , breakfast comment price £ 10 per person somewhat put , 24 hour Sainsbury be around corner provide much cheap alternative . 
 Mar 28 2008 	 nice staff tiny room paper - thin wall 	 expect room small - - still nicely appoint . not expect , despite review ( find often seem stay different hotel guest review site ! ) really could hear everything go next door room , due presumably connect door thin wall . helped fact people next door room obviously farewell party leave China next day . fairness try quieten knock door 2 a.m. ask nicely calm ! room clean bathroom Dove accessorie nice shower lukewarm high setting . the staff generally nice though , especially barman obviously take shine 17 year old daughter . well locate , ' m sure would stay - much well hotel area price . 
 Feb 20 2008 	 Bedrooms size cupboard 	 hotel look great website , take picture large pinch salt . bear little resemblence actually like ! arrive late hotel , reception staff unhelpful unfriendly . room size cupboard even though double , 3/4 size bed , barely enough room walk side ( side bed wall could 2 people stay ) . bathroom small could not sit toilet without either bang toilet roll holder bath . heating work freeze cold . ask fresh milk bring room take hour . room service ( find incredible call 4 star hotel ) reception staff rude unhelpful try fax deliver room . room badly sound proof noise lift door bang night . not get wrong , decor nice , comfort space important hotel offer neither . , check , ask receptionist call cab , refuse say would quick hail one street ( would take 15 minute arrive ) . half hour later still stand cold damp try hail cab . dreadful experience would ever return hotel . 
 Feb 17 2008 	 Small room 	 stay business three day . room small wall thin . bathroom room next door next bed could hear everything ! ok West London Location . disappointed 5 channel tv happy ' Dove ' range toiletry . 
 Feb 17 2008 	 wall thin ! ! ! 	 stay three night February 2008.i book Quality Crown Hyde Park , upon arrival tell problem would move another hotel . they book taxi arrive within 5 minute offer complimentary drink bar wait . upon arrival new hotel check quickly give room 5th floor . I please room bathroom clean although huge sufficient need ( bed kingsize appeared upgrade double booked ) .my room clean every day fresh towel / tea biscuit replenish . now problem ( major one ) .The busy road outside disturb window must double glaze 5th floor , however wall like paper ! ! never experience anything like it . one side room adjoin door neighbour might well sit end bed conversation . I could hear every word say even thing drink open . luckily three night neighbour side foriegn force listen conversation ... stay stay husband know every word say could clearly overheard , would happy ! ! go straight boot buy travel ear plug next two night , helped slightly still could not drown noise entirely . the lack privacy disturbance unacceptable ( turn tv hear conversation next door , not even shout ! ) shame would happy hotel . it near Gloucester Road tube 30 second walk 24hour Sainsburys 5 minute walk Natural History Museum V & amp ; Museum . the adjoining door seem main problem ( could hear side well not nearly bad ) stay try get room without adjoining door possible ! ! 
 Feb 13 2008 	 uncomfortable stay 	 stay approximately 7 night 8 day . uncomfortable . see one cockroach whole time . stand outside room stairwell 80 room . hot uncomfortable . window seal shut , despite staff 's attempt opening . air conditioner work either . yes , air conditioner need January . window would open , AC need . not work either . blow , cool effect . room clean orderly , despite one cockroach run around . one time . otherwise clean . later find dental floss behind chair 1/2 pill someone leave near coffee pot , not bother much . leave alone . room small , expect . pillow cheap uncomfortable . towel thin small . bed kinda hard , otherwise fine . nightstand terribly small . light fine , plenty lighting . quiet also . never wake sound outside hall outside . continental breakfast much desire . wife eat peach wheat toast . crossant thin meat warm juice . ice difficult commodity come . thing everyday without anything new table . location fine . Earl 's Court far away . use map get around museum , etc . good location . overall rough stay . comfortable , meet minimal need international traveler . i.e . bed , toilet bath . wife may another opinion , mine . wife photo , may submit review later . 
 Jan 22 2008 	 great ok Central London . 	 stay last week business purpose . stay single room , whist expect small , literally walkway bed dress table , barely room one overnightcase . say , bed small double bed , comfy ! bathroom similarly tiny , purely functional- place take long soak bath . wall rather thin , early part evening prepare go evening , could chap next door talk away , fortunately cease time get back . noisy neighbour , could prove problematic peaceful night sleep . I stay bed continental breakfast basis , selection fro breakfast good- cold meat , bread roll croissant , Muller yoghurt variety good quality cereal . this hotel fine purposes- night Central London early morning businss meeting ) , however ' m sure have impress book 4 * hotel holiday purpose . 
 Jan 3 2008 	 great value money 	 great place stay London - hotel close two tube station . room clean comfortable , breakfast good staff nice helpful . would book hotel next trip London . 
 Dec 17 2007 	 car park 	 book hotel Hotel Assist choose location hotel car park . check tell provide parking discontinue 3 month ago . recptionist suggest try Marriot road NCP Warwick Rd . drive Warwick rd although NCP parking council depot next door , Marriot full ended Holiday Inn 2 block away , take hour rush hour traffic , leave thinkin do not stay Holiday Inn ? room anticipate small good standard little worn . adjoining door room guest next door try open arrival , door allow much noise pass leave feel lack privacy , thankfully noisey foreign do not listen prattle . privacy front catch apnt house keepin gwho decide let room 7 pm bring free newspaper ? bar good barman sociable humourous . go dinner Earls Court Rd five minute stroll , recommend Prince Teck pub opposite Nandos . breakfast inform room rate although booking say continental breakfast , receptionist sort include , full breakfast £ 10.50 beware . brekkie ok nothing special . stay parking must area London . Holiday Inn cost £ 28 night parking basically anything 12 hrs . 
 Dec 15 2007 	 good two star hotel 	 spend four night hotel . room clean extremely small - hardly enough space go around bed . a MAJOR problem door connect adjacent room hear every whisper neighbor . 
 Dec 12 2007 	 disappointing 	 disappointing stay hotel . it clean , room rather small . pillow cheap uncomfortable , ask another none wardrobe usually hotel extra blanket , need . towel bathroom also need desire , thin small , fit touch . continental breakfast much desire , hardly choice thing everyday without anything new table different fruit ( prune , grapefruit tin peach ) choice bread ( none , soft roll ) .different meat stack top eachother plate , garlicky smell one go other , do not like garlic , tough . tea coffee weak well . well , ' ve get gist , disappointing stay . also , information room thing see London . all museum 10 minute walk road would not know , information room reception London all . plenty otheer place London ( would interested London ) travel hundred mile ..... beyond . 
 Nov 23 2007 	 enjoyable stay expensive 	 well locate hotel tea & amp ; coffee facility , clean bathroom helpful staff . room small modern . stay 6 night September 2007 . good continental breakfast pleasant surrounding . Gloucester Road Tube far away Sainsbury store close . walk distance Kensington High Street shop / restaurant well Harrods museum . expensive would stay . 
 Nov 14 2007 	 bad reception service 	 stay hotel bad experience relate service level reception . one evening 1 hour spare time want get internet code reception . respond 1/2 hour . reception answer try get hold housekeeping , room service , bar restarurant . one answer . walk reception say bussy answer telephone . would happend case emergency situation ? lose possibility work excuse compensation offer . 
 Nov 6 2007 	 unplesant experience 	 book hotel travel agent , cheap , 180 dollar night single room . expect comfortable night order prepare meeting next day . unfortunately arrive tell would sent another place not room . accept . however , get puzzled see many guest arrive get room without discussion . finally transport Quality Crown Hotel Hyde Park . tell hotel level . think ok . , get room basement window street , three single bed small room , rusty bathroom ... 
 Nov 5 2007 	 really good hotel 	 pleasently suprise hotel reading review , hotel clean well situated rest london , gloucester road tube station 200 metre walk away . hotel room good enough size two people necessary facility tea / coffee making equipement , wireless internet , iron / hairdryer . continental breakfast adequate morning criticisim tea bit weak . one positive hotel sainsbury almost next door hotel great essential . refelection hotel great money , would not hesitate stay 
 Oct 23 2007 	 Nice hotel reception staff rude 	 book hotel london town.com good , ask room would accommodate three adult . agency email we say could accommodate we one room one bed campbe ideal fro child age 12yr . immediately state want make enquiry hotel email say would accept two interconnect room price . accept . however nightmare begin arrive check . give key room two adult bed sofa / camp bed ! ! ! ! extremely small , uncomfortable amount money pay way go accept . go back reception speak two receptionist , male appear manager ? female . extremely unhelpful rude try explain book happy room . male make sarcastic comment unless 7 ft tall sofa bed fine ! ! ! I m sure would first complain make sleep ! ! ! point blankly refuse help say hotel fully book room . contact agency london town . com helpful , put manager name Malcolm work one quality hotel . he extremely helpful apologetic . explain everything say would sort straightaway . within five ten minute female receptionist initailly check contact we via phone hotel room say could upgrade we two room extra cost , also breakfast free charge inconvenience ! could not believe , ask come sudden available room mumble something ! ! ! attitude completely change realise touch . definatly lie we probably think could get away put we room campbed hope would not complain . hotel lovely , ( think expensive ) smart decor etc , room eventually get well furnish proper bed ! ! ! ! ! ! ! breakfast also nice waitress much friendly helpful . Im glad book via london.com otherwise book direct hotel probably would stuck original room campbe ! 
 Sep 10 2007 	 great hotel 	 great location.room clean modern.superb bathroom.breakfast good lovely room.bar quiet nice pint.barman Orient supporter good attitude.will back . 
 Aug 30 2007 	 good value location 	 Excellent value ( central london least ) even morning paper deliver room unrequeste extra chargegood room service . 
 Jul 31 2007 	 Solid Westminster Abbey 	 find place let us go Guidebook . quality , clean hotel convenient Paddington Station , Bayswater , Kensington Palace . take express directly Heathrow almost not bother cab . the desk clerk helpful , enormous number flyer available lobby . stay first floor hotel , initially worry foot traffic , small noise hall lobby mute noise . room compact , excellently appoint . great closet space , clean bathroom , obsessively change linen . continental breakfast serve next door Best western , standard fare ( even ham cheese protein ) . be look full english breakfast recommend Art Cafe around corner . 
 Jul 12 2007 	 Great Location 	 spend age online look hotel stay visit London Wimbledon . end choose hope choice right . want luxury spacious room hotel ( experience ) not . however , want comfortable bed base stay . room adequate need bathroom clean . towel change every day believe sheet - bed certainly make . can not comment breakfast not part package . Gloucster Road tube station 5 - 10 minute walk away Piccidilly District Lines ( may Circle ) great get tourist attraction also direct journey Wimbledon Heathrow , however , choose walk & quot ; local & quot ; place . walk straight Cromwell Road onto Brompton Road eventually come Harrods onto Hyde Park Corner pass museum . hotel also relatively close Albert Hall Kensington Palace not mind walk . also lead chain supermarket one block away handy arrive later night . , would go back hotel weekend break comfortable , clean location great . 
 Jun 26 2007 	 average hotel 	 stay four night recently stay . well locate south Kensington . one upgrade superior room , room quite comfortable American ( i.e . US ) standard . room well furnish quite clean . hotel staff responsive , morning breakfast quite adequate . , well run hotel good , british say , value money ( light pathetically weak US dollar ) . 
 Jun 26 2007 	 good location tube system 	 stay hotel June 18 - 23 . hotel locate close two underground station Kensington . book room understand four star hotel . opinion rating three . room adequate stay , staff helpful . bell hop helpful polite entire stay , one gentleman see reception desk . rest staff treat we us favor answer question . continental breakfast include price room , high , want full english breakfast pay . also pay extra internet connection . Kensington , opinion , good part London stay . return part city , seek different place stay . 
 May 30 2007 	 mean four star hotel 	 book hotel surprise half say bitterly disappointed . hotel three star good , room ( pay extra considered upgrade ) nicely decorate cramp . lobby , bar etc . nothing special small cramp . really would not recommend hotel look stay somewhere nice stand . 
 may 16 2007 	 know room swing cat 	 room end 01 eg 401 501 clearly one room turn two , possibly small room , stay year world wide travel , .Next door bath shower seem inch away head bore awoken every morning 6 am cheerful traveler singing elton john songs shower . class . complain eastern european receptionist claim UNDERSTAND 
 Apr 21 2007 	 Great Location Average Hotel 	 stay April 2007 . hotel locate beautiful Kensington close dining , transportation shopping . hotel average every way . proximity West End London great find neighborhood , property nothing special offer . room small , clean efficient . staff polite , though one go way provide above - average service . overall , bland experience . future visit , ' stay hotel unbeatable price area . Kensington great place stay , ' keep hunt favorite hotel side town … 
 Apr 3 2007 	 Comfortable 	 stay Quality Crown March 15 - 20th tour London . hotel & quot ; tourist & quot ; London , conveniently close Gloucester Rd . tube station . able check 2 pm , walk around London- right street fantastic shopping area & amp ; Museum Natural History . come back hotel beer two Cafe lobby . staff ( head manager ) largely Eastern European , not bother we . actually chance speak bar tender awhile background & amp ; interesting . staff fully proficient English , patient & amp ; speak slowly take care . room locate 4th floor face street . large european standard . one room renovate . 2 foot around side bed , large closet , safe , bathroom . bathroom clean well - keep . ( extra soap etc ... ) downside room hear everything next door & amp ; hallway . say something not want everyone hear , speak softly ! room service everyday complaint . good get stick safe call get someone help we . young lady arrive right away help we , not problem . , however , maintain safe dysfunctional . breakfast good . someday regular continental , day full - english breakfast . ( pay full - english breakfast ) find food fresh ... especially enjoy cheese set . unfortunately , someday become crowded hotel time day ! advice arrive early breakfast not end squashed among other eat ! not problem elevator ( & quot ; lift & quot ; call ) . everyone pretty helpful need direction & amp ; etc .. around London . the good part hotel locate near many restaurant ( Thai , italian , etc ... ) . eat somewhere new everyday . be also conveniently close internet cafe case need write email home anything . overall , good experience . look something ornate posh would suggest stay somewhere else . look regular accomodation nice breakfast morning hotel . 
 Mar 21 2007 	 terrible customer service 	 get send sister hotel - Quality Crown Paddington give away room reservation ( be another story ) . morning debacle , ( business trip ) request cab front desk 6:15 a.m . call room wake 5 a.m. say & quot ; taxi & quot ; . clearly guy front desk wriiten wrong time 100 % certain tell 6:15 5:15 . case- mistake happen . however , get downstair & quot ; early & quot ; cab rush get ready- guy front desk begin argue say fault - unpleasant completely unapologetic . this clearly error guy front desk- behavior bad error ! horrible customer service- will not go back . 
 Mar 14 2007 	 hot ' can ' bother 	 hotel easy walk Gloucester Rd station although look like ' 70 's hell hole reception bar modern , though lift corridor date hotel feel . prepare tolerate nonchalant reception staff downright ignorant porter front house not problem ! can not check early leave bag stay get free paper chocolate pro con . the room seem small - adequate available space around bed . bed small double really uncomfortable , hard two pilow . sound proof fine though even though room front ! bathroom small spotless great hot bath - shower powerful . main complaint heat room , boiling can not open window , leave AC night - environmentally friendly healthy . £ 85 not bad expect great either . location brilliant maybe another hotel road could offer well deal chirpy staff ? 
