review 	 hotel nice . concierge great well staff bar / restaurant . staff front desk horrible ! ! ! ! wait 1 1/2 hour pass check time finally go third time room ready we . hotel beautiful , room nothing special , hotel close everything ... include hospital across street ambulance siren leave arrive time night ! ugh . 
 Sep 12 2009 	 's average . 	 think price cheap . hotel not pick - up serice , & amp ; free Internet . be $ 11.00 per day internet access . not wan na pay since need use internet like 1 - 2 hour per day check email . 
 Sep 10 2009 	 Great Location - could use updating 	 stay 2 night Labor Day weekend . Booked executive suite online wyndham.com . rate cheap , want space normal city hotel . room large , although enough furniture size room . room , furniture tv quite outdated price hotel . good feature hotel great location , one block Michigan Avenue . overall , basic hotel - clean safe . staff could friendlier welcoming - usual big city hotel . I would recommend park one nearby lot Northwestern Hospital , valet parking $ 50 / night take 20 - 30 minute retrieve car . 
 Sep 9 2009 	 stay 	 Awesome hotel . convenient Michigan Ave . bus route museum . Conceirge Russell top notch , always helpful travel tip save time and/or money . room big bed nice , especially long day Chicago . stay Chicago 
 Sep 7 2009 	 great location good service 	 can not beat location . easy walk anywhere Michigan Ave , Gold Coast , Millenium Park . great TravelZoo rate include breakfast . parking bit expensive $ 49 night . cheap parking within walk distance hotel . friendly staff . got runaround bit try connect internet . Wyndham Rewards member , internet free . hotel blame internet provider , internet provider blame Wyndham . 20 minute , problem solve . 
 Aug 30 2009 	 fault hotel . 	 read review site quite surprised negative comment . girlfriend stay 4 night stay extra 2 birthday . service hotel staff Excellent . say word describe good concierge especially Kaitlyn , award good concierge win . two different room stay upgrade suite birthday . ok not flat screen tv 's comfortable bed suite room . room immaculate . we lunch day restaurant time stay lunch special $ 10 include main soft drink . service restaurant first class especially Joel could enough we . please not put stay review experience would recommend anyone . thank Wyndham Chicago great stay . 
 Aug 26 2009 	 Fantastic Chicago stay 	 hotel stay fantastic . service staff friendly . room clean . recommend hotel . good location . 
 Aug 23 2009 	 Unremarkable 	 wondering feel hotel decided not feel much anything . sometimes travel , something hotel inn impress . hotel not impress much . get sound negative , clear not impress good bad way . well situated , room clean bellman pleasant . feel restaurant , room service mini bar expensive - even hotel standard . fitness center pool okay . reach concierge 4 attempt phone occasion hold long hung . probably need speak concierge person order avail assistance . 
 Aug 23 2009 	 Hotel O.K . concierge amazing . 	 good hotel $ 150 night . nothing special . two thing stand out.1 . location ! right Mag Mile . 2 . staff ! room staff friendly . concierge awesome ! ! ! must commend , specially Kaitlyn Lawlor . : charm , speed , good memory ' ve see . stay , would ask still work . job really make difference . 
 Aug 21 2009 	 great experience price point 	 stay Wyndham Chicago one night August . hotel busy , rate available rather expensive rate . room large , layout awkward , room clean . complimentary water bottle table open use , dirty towel corner check . price point , could stay Four season Penninsula much well experience . average , good . location good part stay . 
 Aug 19 2009 	 Staff great - room need little work 	 experience Wyndham mix . staff could nice , particularly check upgrade executive suite instead junior suite expect . however particular room although large look worn . upholstery chair tear fade , wood table scratch dent , – look like purchase garage sale . room need refurbish . size room , two separate AC system one two unit work ( engineering say need new fan ) . general stay ok , certainly feel luxury – PS , trip stay downtown Hilton St. Louis incredible – comparison quality room even though Hilton standard room Wyndham executive suite . 
 Aug 17 2009 	 great experience comfort class Wyndham Chicago 	 everything make good hotel : clean , beautiful comfortable room . good linen service time request . nice warm personnel . good installation Gym . excellent location . love 
 Aug 17 2009 	 bad customer service ever 	 recently incident hotel shut bar large group house notification bar hour . heart Chicago busy weekend Air Water Show could not get drink . manager duty Sheila seem inexperienced manager clearly customer orient obvious rude demeanor . tell we go somewhere else . obviously revenue not important hotel recession good customer service . also stay hotel previously room not ready , request towel coffee ignore . measure Wyndham standard service . 
 Aug 16 2009 	 another great stay Wyndham ! 	 return three - night stay Wyndham . everything perfect , ismail front desk Dennean ( request manager ) . room wonderful , daily breakfast include package excellent , kids blast , service friendly . can not recommend hotel enough be already talk next return . also can not beat location hotel . yes , siren hotel across street hospital . however , 16th floor definitely tolerable . 's city ... city loud . deal . basically , not let detour stay . , be happy something , not hesitate ask . honestly say far friendly hotel ' ve stay Chicago . every employee talk kind act like truly care job . 
 Aug 10 2009 	 Great Hotel w/ Great Price ! 	 stay Saturday - Monday Aug 1 - 3 Wyndham Chicago . GREAT . get deal travelzoo $ 129 per night upgrade jr suite free breakfast buffet morning . amazing deal ! get top floor corner suite great ! view nice bed comfy . can not say enough staff . great restaurant conceirge front desk . come early room ready leave luggage problem . first trip Chicago would recommend take map everywhere go ask direction bit confusing becaue street name number like nyc . concierge recommend fabulous restaurant Piccolo Signo first night GREAT . moderately price must sit outside get full affect . primarily italian food . really great . breakfast buffet good . eat scramble egg , fruit , potato , yogurt , oatmeal , cereal , bacon , etc . problem complaint hotel . would definately stay . super close michigan ave close site . hear noise hospital outside bother we much . one thing stay would recommend Adler Planetarium . personally , worth $ 40 admission two we . exhibit soso see 3d show would reccomend . especially kid . bore ' m 5 ! ! overall though , recommend Chicago hotel highly . other group pay close $ 300 per night omni literally 3 min walk wyndham ! get great deal treat nicely Wyndham . 
 Aug 5 2009 	 Great Location nice staff . watch ' do Disturb Sign ' 	 stay Wyndham 2 night conference nearby St. Charles . overall like hotel . second stay Chicago preferred location hotel expensive one stay last time . close everything . literally walk everywhere hotel . staff ( especally bellman ) nice room modern clean . one thing bother leave & quot ; Disturb & quot ; sign door would not come clean room go . really be not necessity we . do not know take upon remove sign clean room anyways . know would put away belonging instead lie . fairness , could call tell need room service . , thing hotel go never someone remove sign come room anyways . also , next morning sign door cleaning lady knock try open door anyways . someone clarify cleaning service & quot ; Disturb Sign & quot ; mean . 
 Jul 30 2009 	 nice thought would . 	 really high expectation book Wyndham . room small us 2 small kid . sand chair / ottoman . bathroom clean plus . pool lot small figured would water freeze cold . concierge desk 1 girl work always overcrowded people wait talk not helpful . parking expensive anticipate also ... $ 49 / night . could save $ 8 parking , goodluck find spot . location great , 1 block Magnificent Mile . , hotel & quot ; okay & quot ; not think fantastic . would stay discount rate , would never stay full - price rate ... definitely worth money . 
 Jul 27 2009 	 Great Hotel Family 	 first time Chicago , spreadsheet hotel two night stay choose Wyndham price , location size suite . pro : early check - check 1 pmsize room - 700 + sq foot suite door bedroom live roomshower pressure towel goodcon : noise - fault Wyndham , every hour bedroom could hear ambulance loud alarm clock 30 secondsrestaurant - fancy pricey young kid eat much , 4 bakery within block place . we would stay give thumb . 
 Jul 23 2009 	 Thumbs 	 Suites big , clean comfortable . great location would recommend family travel child . oh way kid like pool nice work facility . 
 Jul 22 2009 	 Nice hotel 	 nice place . centrally locate Chicago attraction . wish pool though . 
 Jul 19 2009 	 Awesome Location Great Staff 	 pleasure stay Wyndham 2 solid week staid Wyndham . staff hotel exceptional . everyone friendly helpful . concierge always excellent offer suggestion make arrangement . task small . even call Capital Grille order desert would ready got . location fantastic , centrally locate one block south Michigan Ave . room nice . close shopping restaurant away hustle ( one block ) . Caital Grille connect hotel , fantastic restaurant around within walking distance . perfect location . even see Lake Michigan hotel , 10 minute walk get lake Navy Pier . 
 Jul 17 2009 	 Perfect location . great hotel . good deal . 	 Wyndham downtown Chicago perfect place stay someone interested downtown location without astronomical price . room clean bed comfortable long day walk city . staff great ! breakfast include beat . fresh berry fruit egg make order serve fourth floor corner . Perfect eat watch people street . waiter wonderful ! pool area little small side hot tub situate close pool make little difficult relax . hotel seem attract family young child , not scene , may want look elsewhere . location safe neighborhood , one block Michigan Ave easy access site walk public transport . stay return Chicago . 
 Jul 16 2009 	 staff make difference 	 twin daughter turn 14 take Chicago shopping trip Miracle Mile stay Windham . we book room Travelocity , offer upgrade suite price check . well worth money extra space . & quot ; suite & quot ; not impressive ' ve ever stay , nice enough . many hotel choose , must hard / expensive keep thing up - to - date . tv example small tube type many place offer large flat pannel day . however , not room make stay great , staff . every time came greet large smile desk staff . request extra towel pillow answer promptly curteously . Kaitlyn concierge extremely helpful even treat send room hear girl ' birthday . whatever be pay , raise good we always eager help we make plan . definitely large thumb . might get slightly well room somewhere else , will not find curteous staff make difference . 
 Jul 15 2009 	 good overall 	 pro : hotel clean & amp ; conveniently locate near Magnificent Mile , Navy Pier , & amp ; tourist attraction . staff friendly & amp ; helpful . con : right across street Northwestern Hospital ( Trauma center ) family & amp ; awaken several time night ambulance siren ( way 16th floor , still awaken siren ) . parking outrageously over - price ! charge we daily fee use wi - fi ! 
 Jul 13 2009 	 Great Service 	 stay Chicago Wyndham Downtown past weekend ( July 10 - 12th ) due wedding reception hold . previous review call [ -- ] speak Mr. Wilson . extremely nice say minute half walk Wyndham ( think even less minute ) . cost $ 39 minus $ 4 dollar discount cost $ 35 per day verses $ 49 hotel . could come go much want . park car never need get everything within walking distance . car attendant pleasant helpful . check Wyndham go smooth . early sign Wyndham Rewards able receive free internet . previous review ask room away hospital . aaron front desk extremely accomodate place we 15th floor away hospital noise . room large bed extremely comfortable . bathroom large nice amenity . husband use workout pool facility 4th floor . wide range equipment . pool & amp ; whirlpool area small clean . for quick breakfast go Corner Bakery kiddie corner hotel else could go opposite direction Dunkin Donuts . eat bar area hotel one day lunch . run $ 10 special also include drink . food good service excellent . window table could watch people walk . Friday night eat Gino 's Pizzeria 2 block north ( corner Superior & amp ; St. Clair ) . line form alley move pretty good pace . tell would 75 minute wait seat 40 minute . Michigan Avenue one block west . hotel easy walk distance major store . art Fest go near Wrigley Building fun check out . the wedding reception attend Wyndham like clock work . service food good . think reception guest impress organize everything . 
 Jul 13 2009 	 Pleasant Stay 	 stay Wyndham little Michigan Ave shopping prior visit University Chicago college road trip . Booked TravelZoo get great rate suite upgrade . Great Location . king suite spacious welcoming . breakfast dining room outstanding . see fresh fruit breakfast buffet ever . highly recommend . less 1 mile millineum station . 1 block Michigan . great location we . bed comfortable . recommend family , appear business professional orient . 
 Jul 6 2009 	 Comfy bed shower pressure convenient location 	 Wyndham Chicago conveniently locate downtown Chicago . easily accessible train ( CTA ) take blue line red line , lot luggage , blue line ~ $ 6 cab ride . Michigan Avenue ( shopping ) couple block away , major attraction like navy pier , museum . one problem hotel location proximity hospital . luckily notice noisy ambulance way check , specifically request room one upper floor . think work , ' hear room . the room quite spacious – comfortable king size bed , comforter , pillow . definitely get good night ' sleep . bathroom large , nicely decorate granite counter . one pet peeve travel amount shower pressure . happy say , one pass test ! able get shampoo hair easily ? . room equip internet access ( fee ) , tv , mini bar / fridge free coffee . there dine area 2nd floor reasonably price menu – everything $ 10 . however , ' eat . many place downtown Chicago want try , quick walk downstairs ! multiple people manage Concierge desk , wait speak someone ' long . concierge knowledgeable often give we specific walk direction / map wherever want go . also somewhere leave luggage 1st floor . use way flight time match check time 3:30p check 11:00a . all , really enjoy stay . bed extremely comfortable , shower lot pressure . heart everything want see , yet directly midst tourist – reasonable price . would definitely stay . 
 Jun 21 2009 	 true pleasure : ) 	 want stay Michigan Mile area first time Chicago visitor friend , debate property several other near Magnificent Mile ... include Allerton , four point Sheraton Courtyard Marriott . pleased decision stay Wyndham . Booking Wyndham website offer good rate . check could not efficient smooth . offer upgrade Corner Suite $ 30 extra nite . want see difference , first decline . standard room give nice , clean well appoint . travel , might ok . view spectacular room guess many side hotel since directly face 16 story wall next door . like say , business traveler someone not mind view , would fine . I want lil room great view first time guest , opt suite . honestly say good $ 30 spend weekend . ( per nite ) . make DIFFERENCE . room large 100 sq foot view 4 huge window great . need . the hotel quiet weekend staff housekeeping never bother we . bathroom marble update also full size tub too . I reach find vice , one account Northwestern Hospital across street . & quot ; almost every 10 minute & quot ; ambulance arrival annoy first can not make dent overall enjoyment stay . , course , fault hotel , still get top mark I . the trick , get high floor room , siren may fade tad . across street , luck ! Corner Bakery ... grab breakfast hit town ! homework , , choice repeat visit Windy City . thank Wyndham ! 
 Jun 15 2009 	 nice ... great place relax hard day tourist ! 	 wonderful stay Wyndham Chicago two day June . room clean comfortable , great return hotel enjoy sauna , steam room , hot tub pool next fitness center . great hotel ! 
 Jun 13 2009 	 great place stay Chicago 	 ' ve Chicago several time first stay Wyndham . room rate spring break $ 100 awesome . love location close Michigan Ave . allow upgrade room upon check - in even give low online rate . need roll away bed give we charge . corner king room spacious family 3 . concierge helpful recommend place lunch . overall , staff gracious . hotel bar comfortable relaxing day shopping . think hotel choice future trip Chicago . 
 may 27 2009 	 Classy Affordable 	 stay still like . lobby , hallway , room nicely furnish decorate . staff especially worth return ... employee deal nice , efficient , accommodate . could not figure set clock , kid not , hotel promptly send engineer ... take care problem . also turn alarm next door ( think must brief power outage due thunderstorm . ) room ( 1609 ) next top floor , pretty good view hotel - building downtown Chicago . room nice enough , although still old style tv . would like HDTV NBA playoff . ' m also crazy single cup coffee maker . two pod provide equal two small cup coffee morning . need . , room fine ... bed comfortable , sufficient outlet , armchair hassock relax on . I like Wyndham Request , give ( choice ) two bottle Coke , two bottle water , bag mixed nut ... waiting desk arrival first day . room service dinner disappointing time ... almost inedible . meal enjoy immensely back January ( braise boneless short rib noodle , awful topping horseradish creme fraiche ) . wonder maybe change management cook restaurant . it sound like ' m complain lot , would definitely stay . 's convenient downtown Chicago , genuinely nice place stay . this classy hotel , affordable one . 
 may 17 2009 	 Good Location Clean Rooms Decent Value 	 like Wyndam location clean , update room . two block Crate Barrell Michigan / Erie 6 block Lake Michigan . nice lobby 2nd floor well . room well appoint would expect 4 star hotel . king room clean comfortable . beef buzz sound pretty common old Chicago building . sound like someone shower run a / c entire time . ask housekeeping say hotel could fix . not expect entirely sound proof room . overall , good choice downtown Chicago . 
 may 16 2009 	 Solid Performer 	 Wife stay one night -- everything expect . room comfortable good shape . bathroom well appoint . bar nice . nothing really spectacular meet need . light sleeper may like location due frequent siren ambulance go Northwestern Hospital locate across street , otherwise location excellent . would definitely stay especially less $ 130 night . 
 Apr 17 2009 	 ` ` Faux W '' next good thing 	 go Chicago like stay W Lakeshore one trip hotel full book Wyndham . joke friend stay & quot ; faux W & quot ; . must say happy Wyndham would stay again . pro : Staff Concierge knowledgeable nightlife restaurant Chicago . staff also friendly willing help . room bed huge . perfect location -- two minute walk Michigan Ave close Gold Coast , Rush Street , Lake Michigan . con : young single & quot ; scene & quot ; great bar restaurant . 
 Apr 11 2009 	 Fantastic 	 take son first trip big city - all say could believe friendly helpful everyone . need leave luggage check check out - we use amtrak , problem . need direction everything concierge ( young lady beautiful smile ) could helpful ask lot question . room large comfortable clean . stay come back . 
 Apr 1 2009 	 great location uncomfortable bed . 	 overall , hotel nice clean good service . location fantastic - right next North Michigan Ave . ( magnificent mile ) 's fabulous shop . pool rather small , good enough keep son happy . far parking - the nearby parking garage much cheap valet thirty - four dollar per night . bad side , view side building , not matter we since not spend much time room . room small bit noisy due siren due nearby hospital . bad thing quality mattress . husband sleep well wake neck backache . not uncomfortable bed , would rate hotel 4 . 
 Mar 19 2009 	 Winnner right price Invaluable Staff A-1 + + + 	 use Trip Advisor find family great hotel first visit Chicago . Wyndham Chicago pass fly colour . we use website get reservation , speak time get internet rate guy loser phone , rude feel bother . represent Wyndham way deserve , sure unhappy person , & quot ; happy - up Bill . & quot ; tell reservation phone staff not even locate usa.our room huge , front desk upsized room ( suite ) free due two small child , name Daneen absolutely great day wear genuine smile . ask daily everything be . if criticize would two thing , parking price $ 49.00 24 hour breakfast price $ 14 $ 19 , al carte even concideration , , , ouch travel spouse kid ! ! location second none , safe , clean anything want close , city block small walk 1 - 2 minute . other comment noise hospital nearby say , trouble , stay affected room face hospital . would suggest anyone want great hotel save buck , get breakfast plan park vehicle save Valet charge . I would stay wonderful Chicago Wyndham . thank Staff ! ! 
 Mar 17 2009 	 great Stay Wyndham Chicago Downtown 	 stay past weekend Wyndham celebrate daughter 's birthday AG Place . arrive 3 pm check right away . Wyndham ByRequest member get room , pleased see request ( extra towel & amp ; coffee , room high floor ) grant . also ByRequest member , receive & quot ; welcome ammenity & quot ; cheese , cracker , soda , bottled water . addition , automatically grant 2 pm checkout - all extra charge . every employee encounter hotel go way friendly , give hotel warm feel . concierge helpful , first time Chicago , give we explicit walk direction everywhere want go , card would cut wait time Gino 's East , special robe American Girl magazine daughter . room service breakfast . pricey ( surprise ) portion size generous . four we order individual breakfast could easily order 2 split meal . meal include hot oatmeal , bread , fresh fruit bowl , juice huge carafe coffee bring along breakfast . walk Michigan Ave . also walk Navy Pier . hotel great location . plan return visit summer definitely book hotel . negative discover ( hotel 's control ) loud siren hospital across street . sleep pillow head try block sound ! 
 Mar 16 2009 	 Excellent hotel right gold coast ! 	 want beautiful , update hotel Michigan Ave , great hotel visit . my family live one hour north Chicago want spend weekend city . choose Wyndham proximity Michigan Ave one hotel area indoor pool . not eat restaurant , idea food . hotel staff attentive room update comfortable bed . within walk distance Water Tower Place ( Mall ) well many restaurant store . public transportation ( trolley , cab , bus , L train ) take ever want go . frig room . 
 Mar 7 2009 	 wonderful place stay 	 stay hotel know expect would get reason choose hotel again . the location right next Magnificent Mile unbeatable ; hotel walk distance Water Place , North Ave Beach et cetera . the staff helpful , trying make thing happen . downside notice wireless internet room . speed signal strength poor happen lose connection double annoying pay $ 10 24 hour . wireless complimentary hotel . besides wonderful place stay would stay . 
 Mar 3 2009 	 Nightmare several time 	 Reservations make month advance . pre - arranged electric water kettle , microwave , source heating water room . could use coffee maker run water heating , water would taste smell like coffee . not desk refuse assistance correct situation . No & quot ; Request & quot ; gift basket upon arrival , promisse always receive Wyndhams , even small town . when refuse correct situation , try leave charge card 5 - day stay . front desk person make lie , tell speak manager . use cell phone call main number , tell manager day . lie continue even though able find great hotel go , Wyndham Chicago tie credit card take 4 hour get check another hotel . , try check 5 - day later , Wyndham Chicago charge account , , 5 - day stay problem check hotel . waste several hour lot roam charge phone try get straighten . returninig home , ' m still issue they . stay away ! recommend Hotel Rafaello . go much accommodating , comfortable suite , fridge & amp ; microwave , pay $ 55 / night less tiny room view Wyndham . 
 Mar 3 2009 	 Great Value Super - great Personnel Best Location 	 second stay property downtown Chicago . attend conference Chi - Town annually , forget much like place recent stay . first , negative : 1 ) pool close two day four - day visit . 2 ) hotel locate across street major medical center . hear siren three time . niether two minor thing inconvenience I . now , many positive : 1 ) staff exude midwestern charm . friendly , willing help need , never seem get annoyed ask question ' ve hear 1,000,000 time . 2 ) property small enough service staff get know couple day . single female traveler , quite comforting . room several time first second day stay . end second night front desk people greet name . 3 ) homework join Wyndham & quot ; Request & quot ; club ( free Wyndham.com ) , save bunch also get good perk ... wine cheese deliver room arrival , free room upgrade ( available , say ) free wireless internet access . 4 ) book room use & quot ; internet rate & quot ; require immediate payment cancel , also give rock - bottom rate . mine $ 97 / night ... least $ 40 low property area .... cheap city standard . 5 ) room give almost comically huge . Chicago conference & quot ; Executive Suite & quot ; living room would guess around 30'x20 ' . fold - out queen couch , two chair , armoir tv mini - bar business desk ergonomic chair .. bathroom huge featured marble fixture . bedroom separate french door also large ... approx . 15'x15 ' comfortable king bed Wyndham bedding pillow . 6 ) Location , Location , Location . hotel center great Chicago . shop - a - holic , Magnificent Mile couple block away ... fantastic food find literally every block adjacent property . great blue jazz club short walk ( try Andy 's Jazz Club ) ; Navy Pier six block . good architecture U.S. city ... be come New Yorker ! 
 Feb 15 2009 	 one big problem fix right away ! ! 	 boyfriend stay Wyndham past weekend Valentines day . location hotel GREAT ! take South Shore Chicago walk straight hotel probably good 7 - 8 block fine we . walk every restaurant want eat weekend five dollar cab ride State Division bar hopping . one really big problem staff great help we . check room hope take nap couple hour head dinner keep hear loud bang noise . first think noise door slam investigation realize pipe water pressure . could take noise go straight front desk complain . immediately give we another room room excellent . noise ! ! first room 7th floor second room 11th floor . would definitely recommend hotel stay away room 734 . front desk concierge great ! 
 Feb 12 2009 	 enjoy stay much 	 upon arrive Ohare airport , take CTA close hotel . recommend take CTA Clark / Division hail cab hotel . great place shop eat . upon arrive hotel , Esmerelda check gracious accomodate room would like , well secure valuable hotel safe . area safe area bank building renovate hotel . adjacent surgeon center Capital Grille . since room not quiet ready , early check time , walk road lunch Boston Blackies .... check review one . arrive back hotel . upgrade Corner King $ 40 night , find room comfortable . large window ( floor ciele ) large window nice king size bed , tv limited cable channel ( flat screen ) love seat coffee table ( could update ) nice secretary desk desk chair . linen comfortable well pillow large bathroom Housekeeper , Anna Marie , prepare nicely . hotel offer pool , sauna , whirlpool , steamroom excersize equiptment . nice , well keep , treadmill look high rise building outside . bathroom great hot water pressure offer Bath Body work true Spa amenity . concierge desk helpful accomadating place eat . book volunteer cultural center go walk . show many site , service free . Book ahead take bus 8 block road get . give free day ticket CTA . walk Theatre District , take subway Argyle Street shop Oriental Stores bakery . stop post office ship package back home , well , walk Lincoln Park snow , Second City , end Old Towne . also eat dim Sum @ Funerama ( check review ) . second city purchase ticket Monday show . give direction get back hotel walk Dearborn Street quiet old Chicago . breakfast onsite restaurant Lemon Meyer Pancakes scramble Eggs great . great restaurant breakfast couple block hotel call West Egg ( see review ) ... TGIF road place skip totally . Crate & amp ; Barrel withe walk distance block Mag Mile . use CTA easy although old , feel safe . staff great ! 
 Feb 2 2009 	 Super Service ! 	 stay Wyndham two night . take Amtrak Chicago year pick different hotel look great location good deal . miss deal another hotel booking see boy glad . even though pay $ 20 per night Wyndham well worth money . book corner king room sofa . give we complimentary refrigerator upon booking . arrive ( 11:30pm ) late night check smooth say want give we upgrade room two kid . say okay . room awesome . view build next door . executive suite . two room king bed pull sofa door inbetween . room spacious not feel trap like past hotel room . service impeccable . every time turn around someone help . Russell concierge extremely helpful save we 32 dollar taxi give we explicit bus direction . give we card Ed Debevics give we small scoop sundae free souveniour . Catelyn try help we get desert line suggest restaurant long . hotel restaurant give kid free sundaes cheesecake quiet atmosphere . much say good word excellent ! would stay without question . 
