good 	 mom recently stay Ramada Eastside Thanksgiving enjoy Macy 's parade . hotel good location could walk everything . continental breakfast include room price , nice . room compact clean . coffee maker ( rare NYC ) , flat screen tv , comfortable queen bed , price location , would definitely stay . want cozy , nice , quiet , clean , safe , convenient , reasonably price hotel Manhattan , Ramada eastside good value ! 
 Sep 2 2009 	 location great ! service good .. 	 stay 3 night , really clean room bathroom small . really convenient , 10 min . away Empire State Walking , 5 - 10 min . walk subway ( go Time Square , Central Park , etc . ) also cheap one find downtown . staff friendly . end sell us shuttle take we hotel LaGuardia Airport , make we pay 40 buck , realize taxi instead , could pay 25 buck . : / breakfast really basic , satisfactory . besides brazilian Coffee Shop adjacent hotel .. awesome ! would recommend hotel friend . 
 Aug 21 2009 	 great Hotel NYC ! 	 husband , father - in - law , friend stay Ramada Eastside 8/9 - 8/13 . really good hotel stay New York , hopefully review important thing help anyone look decently - price hotel make good decision . look hotel , really need place stay good amenity , medium - to - large sized room , accessible subway , internet access kind breakfast . essence , look mid - range hotel thoughtful amenity . Apple Core Hotel chain fit bill family quite well . pricingthe price reasonable , range $ 109 / single person / queen sized bed / night anywhere around $ 200 . keep watch rate online , able get low price . offer 10 % AAA discount show card check . ny , great price , especially spacious room . roomswe room queen - sized bed . room renovate last 6 month , contemporary design ( sage green , dark brown , oatmeal color ) . enough room walk around , high ceiling , will not feel box claustorphobic . will not ton space , NY , will not cramp either . bed Tempur - pedic mattress ( aka memory foam ) , comfortable . linen nice cotton , not luxurious duvet cover , blanket warm . fairly new pillow standard foam one . room full bathroom , even though small , shower , tub , sink , toilet hair dryer . plenty drawer space , need unpack long trip ( 2 nightstand chest 4 drawer ) . closet small , in - room safe , iron ironing board luggage rack , everything need . room also nice new flat screen tv . air conditioner work great ... not need heater hot hell NYC ... large window room give lot light . thankfully , blackout curtain ! desk coffee maker room , too . AmenitiesWe really like free WiFi business center hotel . Wifi super fast , share guest hotel , time really slow . also , not ethernet port room will not option plugin cable . able get email , could not really watch news show online Amazon Video - on - demand internet not fast enough . plenty brochure map thing ny , need , reception . continental breakfast basic , good enough mostly juice , milk , cereal , bagel , bread , english muffin , coffee , tea boil egg . breakfast item run last 1/2 hour breakfast time , make sure get enough time . miss , Brasil Coffee Shop attach hotel , get big variety food . fitness center , not use , vend machine ground floor , run hotel busy . hotel also baggage check , leave luggage storeroom check . staffthe staff friendly hotel . good experience Priya Harry , everyone nice . housekeeping folk cool great job . NeighborhoodMurray Hill quieter part ny . not want stay heart Times Square , work great location . not hear siren cabby crowd night like would part city . get 4,5,6 subway line easy , 28th St & amp ; 34th St. station equidistance away , 4 block . neighborhood great italian indian restaurant open late , find 3rd Avenue Lexington . Chinese Mirch , Lannam Vietnamese , Turkish Kitchen favorite ! thing KnowOverall , stay hotel really good . two quirk think anyone stay know . one , two small elevator entire hotel . guest maintenance / housekeeping use elevator . get pretty crazy around breakfast check - out time morning , plan wait . also , ice machine 6th 9th floor . get room either floor , definitely request one away , guest want ice hotel come get , will hear ice machine working night . along quirk , one warning would give guest , simply experience . make reservation , make sure credit card charge room valid jeopardy expiring . card expire -- obviously hotel 's fault -- authorize charge first night stay card even arrive , need valid . since be not , hotel not hold room we , not place stay 8/8 like thought . room book husband one night rest family join we , feel like hotel call we , since have book multiple room . bind since not find get evening , fly Los Angeles . could give another credit card , problem , give room away . Priya , duty front desk , helpful try get we another room city , let we keep bag bag check , hassle not need first evening . could avoid easily phone call . luckily find place stay , everything work , expensive budget . ... word warning , careful . , stay extremely comfortable would definitely stay short trip . 
 Aug 18 2009 	 satisfied 	 satisfied stay hotel . room update clean . check effortless . helpful staff . free internet breakfast bonus . location easy get area city . 
 Aug 2 2009 	 disappointment ... 	 hotel locate neighborhood one could describe Little India . lot nice indian restaurant around ( many completely vegetarian ) . also try many type restaurant nearby never disappoint . hotel green line subway ( # 6 ) , service lot museum tourist hotspot . walk around direction get know neighborhood eventually find look . free wireless work . price right . now bad side ... choose hotel base review post Trip Advisor website ( one mouse cockroach post , otherwise would book ! ! ! ) . although efficient , front desk staff unfriendly . never greet enter exit hotel . stare you . we small hotel room -- ideal working business ( small desk place right next tv ) . queen bed little space around two people . seem quite clean , although allergy either clean product something else room . ( another guest scratch uncontrollably elevator . ) clean day , room clean perfection . other , drop clean towel supply bathroom , bother bed ! ten day , although like waste water cleaning sheet excessively , know sure change day 8 cut accidentally get blood spot sheet , eternity ! bathroom smell pee get , smell never disappear . not think clean bathroom floor disinfectant . four day straight , bathroom floor never clean ( hair -- be small , believe , notice ) . remote control work . husband go front desk request new battery . send audio guy upstairs show , think , remote . work try , work . bother again . they encourage people post good review Trip Advisor , like much . worry get supervisor check cleanliness room deal pest control . hear suspicious noise one night . I definitely return , although like location . size room big concern -- expect Plaza price pay -- , tolerate uncleanliness unwanted visitor . 
 Jul 31 2009 	 Surprise ! 	 select hotel base Trip Advisor review great AAA price . first impression ? large room two comfortable queen size bed , strong air conditioning , good location , fast free WIFI . surprise ? mouse room ! need say ? 
 Jul 27 2009 	 get pay . 	 friend meet NYC girl ' weekend getaway . initially , impressed size cleanliness room . old building , seem quite well maintain obvious room modernize . still , nothing fancy quite nice price . however , first evening , friend find cockroach coffee maker . fortunately , see kill one 's one cockroach , always many . off - put enough we keep belonging zipped suitcase entire stay . also strange incident towel hang closet . damp leave hanger . sure , leave closet door open one day housekeeping staff would see towel change remove . however , towel stay entire visit . the staff competent . not overly friendly helpful not rude unhelpful either . serve function , nothing less fine we . one slight annoyance check - out though . contact front desk approximately 11:15am ( 45 minute departure ) ask call airport limousine pick we noon . five minute request , front desk call room tell we car arrive , please come downstairs . minor incident irritate rush finish packing check ou hotel . on plus side , book smoking room hope could get non - smoking room . hotel not able accomodate we smoking room clean smell smoke . not know give smoking room , would able tell . also , bed comfortable . all , enjoyable stay mean worst . hotel cost approximately $ 30 / night less hotel could find comparable class / rating . originally reserve room another hotel brand new ' m sure would not bug issue new hotel , decide save little money go hotel . the problem not enough put damper visit , would much nice bug - free stay . 's old building know 's much one really completely eliminate cockroach infestation . may reason hotel available low price competitor . get exactly pay . need consider comfort level cockroach book hotel . be ok , hotel good value . tend gross , be worth investment book expensive hotel . personally , probably will not stay hotel cockroach issue . understand difficulty deal cockroach , not mean ' m ok sleep . 
 Jul 18 2009 	 HIDDEN GEM ! ! ! 	 great place ... not think I / you tell anyone ! ! ! wind see many hotel check plan trip - shuttle laguardia ( along lexington ) ! ! even driver make good comment drop ! ! room perfect ! ! place no - frill side ( room service , not get escort room upon check - in ) . one real complaint would staff ! ! ! need print boarding pass flight , locate business center go print paper printer ! ! ! pick phone automatically begin ring extension , tell person end call tell come back front desk get ! ! ! upstairs hand half ream , not WORK , take 4 sheet go need finish print job ! ! ! one caution familie small child ... notice many door leave open lead ominous look fire escape ! ! room ( 404 ) recently upgrade ! ! ! although smoking room ... smell cigarette past @ ! ! ! two suggestion would hotel ... constant door slam guest room jar ... mention make difficult sleep ! ! ! especially around time housekeeper make round ! ! ! suggestion would clean window ! ! ! rainy city summer - get - layer / film dirt look like ! ! ! room hotel well maintain ! ! ! restaurant next door look invite ! ! ! train ( 6 ) 2 block away ... convenient ! ! ! many thing open late night 24/7 around 28th / park entrance ( mcdonald , duane reade ) . murray hill center city - place - centrally locate pretty much everything ! ! definitely make first place check next trip nyc ! ! ! ! 
 Jul 15 2009 	 absolute value money New York standard . 	 clean well manage hotel , nice room , breakfast wifi include room extra cost . people may find room small , New York standard really small . real estate New York small . almost want suggest owner property get away Ramada franchise list brand . Ramada propertie good condition . another suggestion property owner & quot ; Apple Core & quot ; indicate website AAA discount offer hotel . 
 Jun 27 2009 	 pleased 	 absolutely pleased hotel . 1st trip NYC , never know go get book hotel , description list exactly get . clean , great location , great staff bargain price . the bathroom important us clean mildew , breakfast bar great , choice 2 daily newspaper . hotel within walk distance major site want visit , include metro line . recommend hotel anyone want spend night two NYC . thank ! 
 Jun 11 2009 	 nice place stay . 	 nice place stay . good part staff . help everything . first trip NYC . ask front desk room must feature , get exactly need want . long walk around NYC need place come back refresh place . usually travel stay first night expensive hotel ( ) try budget second good place get trip . usually second place stay let . hotel hold ritzy Time Square hotel overall satisfaction . 
 Jun 5 2009 	 could not ask well place stay ! 	 absolutely thrilled hotel . never know go get book NYC hotel , description list exactly get . clean , roomy , great location , great staff bargain price . stay ! thank ! 
 Jun 4 2009 	 great location nice hotel close restaurant subway 	 think great place stay consider time stay New York Manhattan . indeed hide gem great stay Murray Hill . lot interesting thing see Murray Hill great see restaurant nearby hotel . enjoy continential breakfast pleased service . also enjoy use free internet Business Center . also printer could use print info . internet want also free ! hotel room clean bed comfortable . 
 Jun 3 2009 	 Perfect 	 friend choose hotel several find internet . look quieter area close everything affordable . Ramada eastside disappointed expectation . clean , nice neighbourhood , recently refurbshide , excelent bed fair complimentary coffe . free wireless internet roon must . Staff helpefull need . nice coffe shop building always lot young people ( look like student ) lap top book . although review say elevator slow notice . reservation Ramada website go . come back sure . 
 Jun 1 2009 	 great Stay 	 town graduation stay 9 day . great stay . staff professional , front desk , maid service breakfast crew . breakfast continental nothing write home , fresh . lot casual restarant new , esp serve indian food . subway 2 block away . grocery store nearby want picnic . 3rd different Applecore stayed enjoy one . 
 may 25 2009 	 excellent value pay . 	 stay three night ( May 6 - 8 ) . Got CAA rate - $ 99 / night , absolute steal nice room great location . the room clean , quiet blind darken room . bed really comfortable , good pillow . desk nice leather chair . bathroom bit cramp , clean . powerful shower different setting . slight complaint lack towel rack , couple hook high bathroom door , strange place they . amenity take advantage : flat screen tv , free coffee tea , cordless phone free local call , bottle shampoo / conditioner / hand lotion / soap , free internet little business centre . breakfast consist toast , bagel , cereal , yogurt , hard boil egg , juice / coffee / tea , even fruit ( apple / orange / banana ) ! nothing fancy , include price , be hard complain . hard get seat breakfast room though . overall , great hotel greal location . 
 May 19 2009 	 reasonably price centrally locate 	 take girlfriend NYC 5 day vacation May 14 - 19 . look reasonably price hotel review find online promising . Ramada Lexington centrally locate ( 30th Lexington ) , price quite reasonable Manhattan . hotel locate two block line 6 Subway ( 28th Lexington ) , quite convenient . room bit small , bed ( advertised queen sized ) bit small size . not tape measure , however would guess not standard 60 & quot ; . bathroom super tiny , bathtub make 7 year old , lol . water pressure bathroom great . room also offer flat screen tv ( also HBO ) , nice fridge . 's mini room , well organize , also offer large closet ( mean large size room , lol ) , store luggage .. everything clean staff quite helpful . price also get continental breakfast . breakfast room locate low level , seem bit odd people . breakfast offering : toast , bagel , coffee , hot tea , fruit cereal . think see boil egg well . ice breakfast room , like ice tea like , would encourage get ice bucket stop 6th 9th floor get ice go downstairs . breakfast room large , might want go early might wait table . serve breakfast 6 am 10 am , quite crowd last two hour . from hotel , take 5 minute Empire State Building , locate 34th 5th . front desk clerk arrange limo back toe JFK , flat rate $ 50 instead $ 45 Taxi charge , however sure time . also gym first floor , exercise machine . course , hotel offer free wireless access . nice . work time ! price , definitely back . 
 May 19 2009 	 exceptional value money . great place stay NYC . 	 stay Ramada Eastside 10 night early May , say really exceptional value - for - money hotel . I arrive around 11 pm problem ( let know ) .The room medium - sized , large flat tv screen safe . the bathroom really large hotel , bathtub big mirror . 9 towel ( 3 size ) , replace every day . clean . the safe not work , promptly fix staff . the breakfast not anything special , be also free , complaint it . the front - desk staff not always warm , not care much . moreover , let check - out two hour late . the location good : Midtown Manhattan , 5 - minute walk subway . like well : value money , room . like least : breakfast . 
 May 19 2009 	 great find ! 	 excellent find Manhattan - price excellent hotel offer many many extra free would pay ( expensive ) hotel . free wifi , breakfast , use computer printer , check kiosk hotel flight , in - room coffee maker etc ... small fridge would nice price , be complain ! room good size bathroom large clean . 9th floor even though corner 30th Lexington , traffic noise problem . the complaint , could call , would blind curtain bathroom window ( though glass frosted ) door bathroom glass , light outside come bedroom . fix second night closet door open cover glass door partially blind bathroom window would useful . secondly , would nice see environmentally friendly table ware breakfast room - cheap plastic cutlery styrofoam plate little cheap feel surely good environment ... fabulous experience - definitely back recommend friend . 
 may 17 2009 	 great NYC experience 	 stay Ramada 5/10 - 16/09 find exceptional value price pay . breakfast fresh plenty criticism breakfast would soap paper towel sink wash one hand get soil sticky . room exceptionally clean fresh other say bathroom , place hang towel use . towel bar . , ' m picky speak Mgr . . say still process upgrade would address issue . room safe good closet . the area nice bus subway close hand . could ask midtown Manhattan reasonable price , close transportation , first meal day cover . will back . 
 May 11 2009 	 clean quiet good location . 	 stay , mother impressed appreciatiave clean hotel . staff friendly hotel include many great perk . one area free breakfast , be nice breakfast ! business center also helpful . suggestion get discount rate ( AAA , etc . ) must present card proof discount time check . highly recommned get confirmation , staff make copy discount , date signing . note several people trouble get discount time checkout . otherwise , happy stay hotel . would recommend would hesitiate stay hotel future . 
 May 7 2009 	 wouldnot get well hotel well service Ramada Eastside . 	 stay Ramada Eastside April 30 May 06 , 2009 never forgetable experience . hotel clean friendly proactive staff . breakfast serve fresh . top everything well value hotel . month April , pretty reasonable . will not get well hotel well service Ramada Eastside . perfect ! love . 
 May 4 2009 	 great find NYC 	 great find New York , give cost form accommodation city . say often review , ' excellent location block away place like Empire State Building Madison Square Garden – around 15 minute walk Grand Central Station . ' also subway station nearby . room clean perfectly adequate nice , comfortable bed ; well - sized flatscreen tv newish shower / bath . also provide free breakfast stay . ' encounter many problem noise outside room , either . thing bother customer service ( lack ) . staff seriously need customer service course and/or go hotel part world learn interact ( even give occasional smile indulge friendly conversation ) guest . , travel across USA , lack customer service seem standard practice lot different part country day . 
 May 1 2009 	 Excellent value 	 stay 3 night April , book hotel , enjoy stay last year . the hotel renovate meantime , large , nice double queen room . room clean everything perfect condition . the hotel situate Murray Hill , 2 - 3 block . 6 Subway . nice neighbourhood lot good restaurant . breakfast ok , although breakfastroom basement small . friendly helpful staff . excellent value money , back ! 
 Apr 24 2009 	 another Great Stay 	 another great stay hotel . family three stay time & amp ; trip consist two mom & amp ; 2 child age 12 . staff friendly & amp ; helpful . room clean & amp ; update . one complaint bathroom could use extra hook counter space put gear . , great location good price . thank 
 Apr 19 2009 	 excellent choice trip New York 	 really nice hotel recently refurbish . breakfast include plenty choice . room clean bed great . staff helpful . 10 minute walk Empire State Building . stay last year trip would hesitate recommend hotel . excellent value money . 
 Apr 18 2009 	 pretty good deal location . 	 use Google Maps locate hotel within reasonable walking distance NYU College Dentistry . knew want wireless internet , 24 hour front desk breakfast include hotel go stay . place cheapest find within 15 - 20 min walk distance NYUCD areathat amenity . guy work lobby pretty nice helpful ! around 130 dollar place pretty good . toilet kind close wall mind much ( perhaps room ) . room sort noisy try sleep think window open little . get smoking room since seem time not think could hold hotel 's rating . would recommend place go interview NYUCD . close Koreatown area Empire State building . take New York Airport Service La Guardia airport try get . cost 21 buck ( plus tip ) round trip ( drop off / pick Grand Central Station station ) . walk ( mind since sightseeing ) hotel . think NYAS shuttle service hotel Grand Central walk since want see city close . overall would stay bc/ relatively cheap price compare similarly equip hotel . 
 Feb 23 2009 	 reasonable hotel good price location 	 stay two night town business - rate ~ $ 125 ( AAA discount ) king bed room . good : - clean quiet room ( even though face Lexington Ave ) 10th floor- good selection food breakfast buffet- wireless high - speed network fast & amp ; free- good location Murray Hill - lot place eat neighborhoodbad : - Slowest elevator ' ve experience year - fitness room facility par- fairly old heating / cool system room - upgrade renovate hotel- Breakfast area open 7 - pretty late weekday hotel 
 Feb 18 2009 	 great value ! ! 	 can not beat price hotel , awesome value ! friendly helpful staff . clean room bathroom . comfortable bed . continental breakfast hit spot , good bagel , donut coffee . neighborhood nice necessity near , pizza , diner , bar , coffee house right next door , pharmacy , subway , etc . single woman stay 4 night never feel uncomfortable unsafe . would definitely stay . 
 Feb 16 2009 	 Fantastic Hotel 	 Ramada Inn East side New York City , truly fantastic hotelFebruary 13,2009my wife arrive Philippines exhibit attendance Javits Center try Ramada Inn due price proximity location . two year ago comfortable location especially we know thing New York . gladly surprised new lay design room well fantastic improvement make bed , bathroom well general cleanliness room . breakfast right , service good man woman counter helpful course flat tv really highlight . Ramada truly make stay memorable almost become paradise us 20 hour trip Philippines New York . 
 Jan 22 2009 	 great place stay NYC 	 impressed Ramada Inn Eastside . think quality unbeatable price , definitely stay NYC . room newly refurnish tasteful , clean -- everything new ( stay 2 different room stay -- one 2 queen one 1 queen ) . matresse comfortable tempurpedic - style matresse , ipod dock sound system build alarm clock . give hotel donwtown Manhattan , fairly quiet , though NYC noisy wherever . room decent size NYC , overall hotel bright , clean , new vibe , old New York building . impressed , not know accomodation like available NYC price . pay twice price room nearly nice . definitely stay . 
 Jan 18 2009 	 Value money NYC 	 ' ve stay time business trip year well last . room large New York hotel room gradually upgrade street face one modern bathroom great , put noisy street - definitely make feel like be NYC ! bed new , comfortable pillow rock hard large sore neck 3 night . large air con machine window massive flat screen tv coffee make facility , be also small gym breakfast include , although self service cheap process food stryofoam crockery plastic utensil well avoid - plenty nice cafe shop nearby food drink . two block 28th St subway stop easy get around , although easily walk 5th Avenue , Union Sq , Empire State , Madison Sq garden etc . great value money say tin . 
 Jan 9 2009 	 worth money . 	 first , let say 're NYC , perhaps city , be pay place sleep . far much worry little amenity . main care NYC semi - quiet place sleep , be clean , be safe . fulfil , & quot ; happy . will save fret marble countertop deluxe lobby ' m elsewhere . this hotel basically & quot ; frill & quot ; room pretty tiny , tv pretty small , view not really great . plus , bathroom realllllly small . but , clean , people friendly , part town pretty nice quiet , breakfast good . 130 buck night Manhattan . could complain ? 
 Dec 21 2008 	 Great Hotel Great Price 	 stay hotel 12/19/08 . hotel close family . Searched Tripadvisor notice great review . book hotel 2 queen bed Room 1014 10th floor . supprised get elevator notice bright hallway . ceiling light every 10 foot . Room recently remodel . bathroom new spotless . bathroom good size space place bathroom item . bed excellent . Dresser deck / chair good . light excellent . clock / radio wireless contain ipod docking station . temporary parking front hotel . icon parking garage 3 block away Hotel rate $ 20 regular rate $ 40 . breakfast excellent fresh local bakery donut bagle . attendent great job . 
 Dec 15 2008 	 Great Hotel Reasonable Price 	 hotel great location , reasonable price New York standard free continential breakfast . within walking distance many tourist attraction . room large bed comfortable . great place stay ! 
 Nov 3 2008 	 good place stay 	 Stayed one night late October . satisfied room ( nice bathroom , reasonably sized bedroom , practical , wireless access good ) , overall feel hotel . also remarkable nice staff reception shift . friendly helpful . Breakfast , hotel NY breakfast include , somewhat chaotic could tidier . okay overall . one real worry thatsheet bed look fresh . q : Unironed ( hope ! ! ! ) use ? ? ! ! hope former , room / bathroom otherwise v clean . lastly , location handy . 
 Oct 14 2008 	 Pleasant Surprise 	 read many review spend endless hour search NYC hotel $ 300 night , catch & quot ; sale & quot ; room hotel . use live NYC visit quite often , shock difficult find room Columbus Day weekend . able make reservation Ramada website directly without pay whole stay advance , relief . hotel recently refurbish . room bathroom small , newly decorate clean . front desk staff okay , answer question ask . able check 1 pm appreciate since fly night . continental breakfast well hotel type New York . IPOD / mp3 player connection appreciate . could even use computer downstair check flight . nice coffee shop next door . location little far midtown ( $ 10.00 taxi ) , subway stop 5 minute away . , great find busy weekend New York . 
 Sep 26 2008 	 Good Hotel - Good Location 	 Stayed night September . anxious see review find good . room bathroom appear recently refurbish ( stay 8th floor ) clean . breakfast good selection well maintain clean . good location visit city . would recommend . 
 Sep 16 2008 	 great experience 	 husband stay week Ramada Eastside pleased stay . compare price hotel Manhattan good value . great location . minute walk Empire State Building 20 minute Times Square Rockefeller Centre . good amount restaurant nearby also 3rd Avenue . italian restaurant next door hotel lovely . unlike hotel hotel provide complimentary breakfast breakfast excellent plenty variety food drink . kitchen staff keep replenish stock food run low . staff throughout hotel pleasant , helpful obliging . bed extremely comfortable ! really nice . room keep clean . phone bedroom allow free call anywhere us.lifts might bit slow 12 floor altogether not take long get floor . our complaint would room mirror except mirror bathroom . also , television remote control temperamental . would work hold certain angle . nice television though ! great experience great week New York . would definitely stay Ramada Eastside . 
 Sep 9 2008 	 rave Ramada Inn Eastside 	 be look reasonable hotel offer room 2 queen bed free breakfast , definitely hotel . mom , sister , good friend plan trip NYC celebrate 30th birthday . mother insist stay hotel queen bed instead full , internet search criterion bring we Ramada Inn Eastside . book online , arrive , greet friendly staff accomodate entire stay . room much large expect , bed comfortable mother look order one . love location close many major attraction , use full advantage , often walk hotel explore city . take cab , usually dollar anywhere want go . throughout trip , marvel lucky stumble great hotel reasonable price ( mention big bed competition ! ) , complimentary breakfast ice cake ! 's Ritz Four Seasons , clean comfortable night 's stay convenient location , can not go wrong hotel . 
 Aug 31 2008 	 good experince 	 wife stay Ramada eastside almost 3 week 10th august 30th august 2008 . hotel , though small clean well staff . facility like free internet access free local telephone call useful save lot money . business office also basic facility small office work . Mr . Harry front office well inform helpful . I would surely recommend Hotel want clean economical residence heart Manhattan . Dr Bimal Mody ( Mumbai , India ) 
 Aug 24 2008 	 Comfortable Bed ever . . . minute 's sleep ! 	 book hotel short notice , without really know much , except close NYU Medical Center , get inexpensive rate NYC . super tiny queen bed room , thing need -- closet , desk , flat screen tv , small clean bathroom . bed 's mattress Tempur - Pedic -- quite possibly comfortable mattress ever sleep . however , not get sleep night ! two problem -- first , room room next mine door practically touching . every time people next room enter exit room . . . sound like come room . second , road noise crazy . could hear people talk street room -- 11th floor ! every car , bus , ambulance drive , hear ! yes , know NYC , & quot ; City Never Sleeps & quot ; . . . noise loud check window two time make sure not leave open ! probably can not much blame hotel problem . . . value sleep , will not get much . 
 Aug 14 2008 	 good position 	 good stay hotel . family room need ( 2 queen sized bed ) breakfast include . bed extremely comfortable - Tempura mattress . view Empire State Building window main attraction within walking distance . great diner road . staff friendly . 
 Jul 30 2008 	 nice hotel spacious room 	 overall , nice hotel would definitely stay again . thing like : - good location . near subway ; many restaurant nearby . penelope across street good dinner breakfast . many indian restaurant vicinity . Chennai Garden ( block away ) excellent ; good meal new york.- large room . prepare small room New York know , room extremely spacious recently renovated.- comfortable bed . comfortable bed ' ve ever sleep hotel . thing like : - front desk staff friendly helpful . usually could bother say hello walk lobby . could tell we near chinese restaurant public computer could found.- Marginal continental breakfast . little variety ; expire yogurt remain available entire stay . 
 Jul 27 2008 	 ready prime time . 	 possible get deal hotel NYC . pay full price one , worth . could get great rate , would be . I newly renovate floor , everything new , quite finished ! check , phone not work ( next day ) . call front desk cell . day , window stick open -- san screen -- someone come close . call ask hairdryer take cold shower water take long get hot . & quot ; fitness room & quot ; one machine plug . think renovation upgrade do , fine hotel get good price . staff management nice helpful . try hard , room ready prime time . 
 Jul 23 2008 	 Great Place Stay 	 stay Ramada Eastside 5 day . location excellent . train station near plenty store within walking distance include several cafe , delis restaurant . also easy catch cab always drive by . the hotel clean . room small clean fine really use sleep . continental breakfast offer 7 - 10 consist : bagel , hard boil egg , dry cereal , donut , yogurt , fruit . the staff overly friendly courteous helpful . my complaint elevator super slow . 
 Jul 21 2008 	 great Clean Accommodations - Ramada Inn Eastside 	 Dad stay Ramada Inn eastside trip see Yankees play May 2008 . staff friendly enough check - in . get room , find small , clean . bed ( 2 double ) comfortable . bathroom nice modern , clean . guess not expect nice ( not get wrong , be luxurious , nice comfortable ) . pleased accommodation . breakfast ok - typical continental breakfast . attendant not overly friendly . seat space limit , sure get rush . breakfast area little cramp people seem stumble one another get food . nice italian restaurant next door great indian food 28th . subway within walk distance feel safe neighborhood . complaint would cost , Ramada Inn eastside good rate could find time area . 
 Jul 12 2008 	 always nice easy 	 stay several time year ... even tho renovating , still well around . staff always accomodate NYC standard room always well appoint .... big , New York . great starter breakfast location terrific ..... close everything , easy cab service bus subway nearby ... nice little coffee haus downstairs . many foreign guest ... know value quality . price ..... beat location parallel . 
