perfection 	 family 3 stay 4 night long Thanksgiving weekend . warmly greet Frances check we without problem . room excellent , yes , window - seat cool ! nice cuddle blanket cup coffee watch shopper scurry around street . we traditional Thanksgiving dinner McCormick & amp ; Schmick 's , less 5 minute walk hotel . starbuck coffee lobby morning wonderful , wine reception evening nice . hotel set Wii kid enjoy parent sip wine relax . the hotel amazingly friendly comfortable . everyone staff smile face , even Thanksgiving day . mean much . finally , location . else say ? perfection . 
 Good need little updating 	 ' ve stay hotel time always good experience . recent trip , notice floor smell musty . room good wallpaper peel wall generally need little TLC . 
 Nov 1 2009 	 LOVE PLACE ! 	 amazing location block Michigan Ave far Macy 's . decor gorgeous , 's right river , staff friend . wine tasting evening . ' ve stay time trip Chicago 's always go - to place . 
 Oct 28 2009 	 .. name baron von knuckle 	 stay Hotel Monaco get away city . initially get we free wine evening coffee / tea morning . 's lovely hotel , comfortable ummm different bathrobe . extra clothe closet could purchase seem bit weird maybe people love animal print . little disappointing yes place sit near window do like window seat ( pillow , cushion , blanket .. nothing ) . end use spare blanket sit watch person across street make look like paper mache eagle . spare blanket not thick enough make comfortable warm ( seat near window hotel river february need cushion ) . also wait goldfish . hope have , since request head time , right check . already name everything get room long time later . 
 Oct 27 2009 	 Fine Service Location Amenities 	 hotel nice upscale boutique hotel feel . staff greet name enter exit , wine hour living room like lobby ( wine serve along snack , even access wii game ) excellent morning coffee lobby . since travel companion one night , not seek goldfish , cute Kimpton touch . room lovely view overlook river , two nice cushion window seat enjoy view . several bar restaurant within walk distance along 24 hour convenience store across street . reviewer mentioned & quot ; beware train noise & quot ; correct , not bother -- 's sound city kind like , issue . bed comfortable . ask wakeup call morning behold ! real live human call . 's year since be happen . free wi - fi join & quot ; Touch & quot ; Klimpton loyalty program . a couple thing not like much : not enough outlet charge phone , computer etc . IPod dock expect contemporily style hotel . coffee lobby wonderful , people like not feel ready primetime unless morning dose . even small one cup coffee maker would trick . know hotel feel must bathtub guest , guess guest kid , consider leisurely soak bathroom sort luxury , would get complaint room tub . really like walk shower real door instead bath / shower / shower curtain set . decor fine , really stylish I . I would definitely consider return hotel Klimpton 's Hotel Allegro stay Chicago . 
 Oct 26 2009 	 excellent choice 	 husband two friend spend weekend Hotel Monaco . room update , clean attractive . hotel staff outstanding -- friendly always willing way find answer question provide suggestion . several additional feature would encourage we return besides good location ( close river block Michigan Avenue . ) staff print boarding pass request ; hotel offer lovely wine hour late afternoon offer two free item mini bar ( $ 11 . ) concierge knowledgeable arranged tour we . return Chicago , certainly plan stay Hotel Monaco . 
 Oct 25 2009 	 pleasant stay ! 	 town Chicago Marathon , stay walkable start / finish race ( Grant Park ) , could nicely accommodate 4 people suite . location great - everything within walking distance , staff friendly , helpful , accommodate . the decor room bit top , think & quot ; circus & quot ; theme , think fun different . suite HUGE , jetted soak tub , window seat size twin bed ( someone could easily sleep one ) . room could use slight updating , really , fine . be light sleeper , make sure request room away train ( run right end block ) . could hear night long room , big problem two we . hotel not full , would switch room . Loved free nightly wine reception lobby , Wii fun touch would great kid . also love free wifi . attach hotel restaurant good , great ; would not eat great place Chicago . definitely recommend traveler look reasonably price 4 - star hotel . 
 Oct 25 2009 	 Fantastic ! 	 customer service hotel outstanding . front desk graciously change room daughter ( frequent Kimpton guest ) explain first trip Chicago birthday hope river view . concierge , Ryan , incredibly personable helpful . Ali , hostess restaurant , fabulous ... help we pick wonderful bottle wine room later personally deliver we cheese plate enjoy & quot ; house & quot ; . wow ! experience hotel Hotel Monaco Alexandria , VA Kimpton fan . 
 Oct 25 2009 	 Dr John Kimpton Monaco Chicago 	 centrally locate Loop directly south 7th Day Adventist Church ( room look upon Wacker Drive , aforementione church Chicago River . small room , virtually storage space . attend conference Monaco venue . provide adequate service , problem . first time spend Kimpton Hotel register Frequent Stay program . never feel comfortable hotel . ' m 60 yrs old appear clientele target half age . rude front deskperson unidentifiable gender . young people . will stay Marriott Michigan Ave next time . 
 Oct 18 2009 	 excellent stay 	 love hotel would definitely come back . initially not give goldfish , disappointing , leave tip housekeeper , reward we one . fun sip wine play Wii lobby every afternoon . staff quite friendly helpful , even print boarding pass we . room comfortable , cozy little alcove window read paper . first worried noise , since room next elevator , hardly hear , not notice street noise either . hotel colorfully tastefully decorate , well - light , ideally locate . 
 Oct 16 2009 	 still Good Hotel w / Great Location Notice Budget Cuts 	 think recession take toll since previous visit 11 month ago . concierge work behind front desk , assist check in / out , 's WII station lobby concierge desk use sit . not see bell captain , adequate staff ( & quot ; bell boy & quot ; sound outdated ) handle luggage promptly . delay fetch car checkout , be common hotel . in - touch member , receive free newspaper choice , free WIFI , turn - down service . request coffee maker room trip . coffee Taza tea skim milk cream lobby . however , one day hot water skim milk urn empty . stand request quiet room upper floor , time 14th floor king room behind stair well view ( # 1418 ) . indeed quiet ( though hear slight elevator noise bathroom ) bite large two easy chair wide closet . bed comfortable ever , noticed stain carpet , couple stain ottoman , rip chair slipcover . excellent , adjustable HVAC . hotel offer yoga bag ( mat , towel , block ) request , various free yoga , meditation , Pilates workout hotel 's tv menu . like hotel staff friendly & amp ; helpful , walk Lyric Opera , Art Institute , Michigan Avenue , great River North restaurant . even walk Field Museum ! not need full breakfast ( spend $ 30 tip South Water restaurant ) , Corner Bakery nearby various Starbucks little . downside $ 40 / day parking cost , perhaps try parking garage around corner next time . 
 Oct 14 2009 	 great Stay Monaco Hotel 	 great stay Monaco Hotel . Manager surprise we fruit tray compliment Harbor Court Hotel San Francisco ( stay several month ago ) . big thank HOTELS ( check attach picture ) . great room . . . window seat well relaxing , read New York Times look window . room make timely manner . Front desk staff helpful nice . room 14th floor ( top ) enjoy every minute stay Monaco . give try . . . will not disappoint . 
 Oct 14 2009 	 great stay excellent hotel 	 husband stay Hotel Monaco July , 2009 . stay previous Kimpton hotel always please . intouch member , able get discount rate weekend big plus ! room spacious trendy . free internet plus . concerned hotel parking ( valet ) able find parking garage around corner hotel . convenience & quot ; L & quot ; plus . 
 Oct 13 2009 	 highly recommend ! 	 Beautiful downtown hotel close Millineum Park & amp ; Chicago Art Institute . staff friendly , professional , & amp ; motivated make sure stay comfortable . arrival marathon weekend mix - up room request . end even well room & amp ; free bottle wine , compliment Mark front desk ! housekeeper leave we free Corona observe like , & amp ; door man personify quintessential Chicago . 
 Oct 8 2009 	 welcome staff great location 	 stay Hotel Monaco , Chicago 5 night business impress . staff friendly time check . concierge helpful reservation restaurant even get us reservation place normally not take . room beautiful view Chicago river . noise neighbor slam door late night ( 2 - 3am ) , last one night thankfully . the location , within Loop , make easy get various point interest . overall great stay hotel would return . 
 oct 8 2009 	 Great Location 	 Nice size room , nice staff great location ! ! 
 Oct 8 2009 	 wonderful hotel 	 not normally stay right city , without kid get great deal room . wonderful time . room gorgeous , clean , quiet . staff attentive helpful . 
 Oct 5 2009 	 fish ! ! ! ! 	 disappoint hotel . read great review give hotel pool stay premise would fish room entertain child . email hotel well advance assure would put one room . upon check tell fish would come . nothing happen . call finally tell , hour later , fish , much child 's disappointment . reason give vague - either fish die run . point never bother tell - find many attempt not like kind treatment suppose four star hotel . room clean , either ( hair , dust ) , wallpaper come wall spot . make choice , would go hotel pool . many choice . 
 Oct 3 2009 	 loose end tie ... 	 let start say return hotel . friendly staff , good location , stylish environment , great graphic , lovely L'Occetaine toiletry . , however , negative experience . example , bath & quot ; bomb & quot ; animal sock place room free . yes , price tag / sign accompany item , prefer hotel room place sleep , shop . excellent free coffee available lobby , 6 9 . suggestion : offer coffee til least noon , dump proffered ignore apple orange , put modest tray breakfast carb ( roll , muffin , bread ) . bless bestow benevolence breakfast . ask receive quiet room , room overlook service roof / steakhouse sign , san view beautiful city Chicago minus window seat tout guest review . Dark , depress lack geographical specificity . prior visit , join Kimpton club , front desk record membership . membership offer number benefit , include preferred newspaper deliver room . receive request NY Times one day three stay hotel . Pad pen ( took go first day visit ) replace stay . 's little thing ... another guest reviewer mention receive warm cookie . cookie MIA visit . Monaco offer & quot ; use & quot ; pet goldfish one 's stay , have rather cookie . actually , ' m going try put goldfish thing mind together . Monaco CLOSE great . hope comment take constructive spirit offer , lead perfect sojourn next trip Chi . 
 Sep 24 2009 	 Excellent Location 	 ' ve Chicago always stay suburb first time stay downtown . choose Hotel Monaco attend wedding Reception Hard Rock Hotel ( round corner ) make right decision . staff friendly helpful . request early check note reservation not actually get hotel 5.30pm flight Heathrow delay . hotel excellent location Downtown attraction . walk everywhere - well nearly everywhere - get cab rain ! 2 negative - 1 . room quite dark look alley not get sun 2 . Tea / Coffee make facility room ( offer reception though get dress ! ) 
 Sep 23 2009 	 Heavenly Delightful ! 	 Hotel Monaco rare find busy city ! fantastic friendly hotel cater every individual whim fancy style . room spacious beautifully decorate , window seat provide incredible view city ChicagoRiver . enjoy Wine Reception free morning Starbucks coffee . let hotel know celebrate birthday favorite city , return room evening , bottle champagne waiting . two evening later , pleasantly surprise champagne fruit concierge , Ryan . housekeeper Beatrice even leave M'Ms ! Mark Frances thegreat staff ( wish could remember name ) , make visit indeed memorable . Ryan 's dinner suggestion Hugos Pizanos right on . the architectural river cruise beautiful- Chicago 's First ladyWe fly Midway take Orange line right loop- cheap easy ! go Sox game also take El . ball park modern spacious delicious food drink . hotel location perfect ! great shopping loop magnificent mile . we definitely stay Hotel Monaco ! else goldfish room , palm read wine reception lobby ! 
 Sep 21 2009 	 Great Hotel Great Location 	 husband spend weekend Chicago recently u2 concert want reasonably price hotel good location . pick winner Hotel Monaco . staff friendly helpful . room clean bed soooo comfortable . actually due new mattress soon may buy one . good can not beat location . within walking distance many sight since 's Loop every El line 1 - 2 block away . fly O'Hare simply take blue line walk 2 - 3 block hotel . go Chicago defiantely stay . HIGHLY recommend Hotel Monaco ! ! 
 Sep 16 2009 	 absolute delight ! 	 ' ve travel far much would like admit , Hotel Monaco Chicago refresh memory hotel really . refreshing arrive comfortable lobby genuinely warm welcome desk agent . not expect usual , & quot ; give credit card , be key & quot ; routine . staff actually talked -- intrusively , mind -- make connection . long weekend every time come go , greet . staff ask thing go stay . mention something might need , take care . Forget & quot ; might , & quot ; ' ve got cover . two day arrive , one agent helped check we ask dinner Volare . actually remember recommendation receive concierge ! room perfect . touch run - down upholstery . not look upholstery . look delightful view river spacious window seat . easily 6 - foot long 5 - foot deep . could imagine sit hour rain storm , read book waste hour away . I ' ve stay bore big hotel aim mediocrity . thank . without super - chlorinated lobby fountain . will take Hotel Monaco ! 
 Sep 15 2009 	 HIghly recommend Chicago Hotel Monaco ! 	 lobby seating truly feel like comfortable living room newspaper early morning Starbucks coffee evening wine . room relatively small exceptionally clean comfortable Occitane toiletry , quality seat good lighting . Workspace functional internet access free Kimpton membership . especially appreciate day cushion bay window make smile provide unusual view Chicago River adjacent office . location superb close el line theatre district . hotel capacity stay staff always gracious warm welcome back return . a small point - would recommend hotel acquire proper fish tank insist goldfish hallmark ! really not like see fish little bowl . . . . Stayed Trump , Hotel Monaco James stay would recommend order . 
 Sep 1 2009 	 Rare find 	 time Hotel Monaco wonderful experience . never travel Chicago rely upon review previous stay Kimpton hotel choose hotel . experience far surpass expectation . the Monaco perfect location . be within block cta location , primary metra location also close . be one block Michigan Avenue , block Millenium Park . 's easy walk distance wonderful restaurant shop River North area . feel safe , regardless time day / night transit . hotel staff always available -- smile generous spirit . lobby , unlike many Kimpton property , expansive plenty location mingle colleague friend . room large tall ceiling great window . bed wonderfully comfortable , loud street noise ( wail siren ) could penetrate room . never hear neighbor , plumb normal street noise . not sleep well age . housekeeping stellar . room meticulously clean every day . leave average tip first day reward bottled water night , compliment housekeeper lovely note . my Kimpton Touch arrival gift include bottled water caramel corn . I not try restaurant , busy every evening . seem particularly popular local happy hour . possible critique coffee / tea service end 9:00 every day ( include weekend ) . opt sleep one day , plan walk nearby coffee shop . 
 Sep 1 2009 	 perfect 	 stay night wedding . view face riverfront spectacular . everything room immaculate perfectly coordinated . color bright bold , overall decor soothe . beyond appearance amenity neat comfortable . hot tub window seat favorite . 
 Aug 20 2009 	 Great Hotel 	 initial thought hotel , place ok , do not look review stay 2 friend . truly impressed ceiling floor room . view good , surround building unless towards front river locate . ' m crazy huge bathroom one HUGE . love space . flat tv , traditional seating admire fabric - base headboard . nice ! walk distance restaurant convenient . ' m highly frequent traveler Chicago almost 20 year always stay relative . event , would recommend stay Monaco ! 
 Aug 19 2009 	 WOW ! 	 stay Hotel Monaco three night August , 2000 . excellent every way . the doorman arrival excellent – friendly accommodating . explain go check room ready , ' . arrange quickly valet , give we help many bag . our room ' ready ( 1 pm ) – deskman friendly clear explain could wait room high floor , could get we low floor room right away . choose wait . tag store luggage . we spend hour hotel restaurant / bar drink – time frequent restaurant , good – lot drink option available . then get room go WOW ! get great Travelzoo rate suite , large nicely lay . décor funky – ' probably home , hotel lot fun . provide two animal print bath robe . room comfortable queen bed nice chair couch . room also window seat , provide nice seclude space read watch world go by . the high speed internet include rate work well . the bathroom huge shower stall , giant hot tub . the staff friendly entire time . one issue internet , resolve right away . question Chicago answer quickly . the evening wine reception nice , though many toddler roam around like . morning coffee paper nice touch . evening turn service – chocolate mint pillow , relaxing , record stream / waterfall & quot ; movie & quot ; TV.The room quiet . air conditioning work well – good thing hot muggy outside . and location ' beat . ' right Chicago River , block Michigan Avenue . short walk theatre district , Millennium Park , course Michigan Avenue . be Kimpton Hotel , pet friendly , though not dog we . not ask goldfish go room . all wonderful experience . 
 Aug 18 2009 	 Great Location Upscale hotel great rate ! 	 Hotel Monaco truly great experience . room superb , personally enjoy bed enjoy ! wine reception every day 5 summer , set wii kid play . shower great , give turndown service charge every day ! rate excellent Chicago , 2 block away Millenium Park . great location , within walk distance everything . Hotel Monaco place ! 
 Aug 15 2009 	 Hotel Monaco Hit 	 stay Hotel Monaco three night August 11 August 14 . first trip Chicago please choice city hotel . location : choose Hotel Monaco base many positive report Trip Advisor site . want close river train Lake station block away , location we perfect . Wicker Park / Bucktown , Oak Park course ' Hare easily access . particular , convenience take train major international airport downtown oppose taxi , bus , etc . appreciate ( hello Toronto , get act together ) . loop location ( Wacker Wabash ) great many major attraction within easy walk distance ( couple early 50 ' teenage daughter ) . hotel : isa great hotel , reasonably price excellent amenity , room staff . give room 1208 , overlook intersection Wacker Wabash river , Trump Tower Mies Van der Rohe tower form backdrop . room clean , large , cool bright two queen bed . concern would lack drawer space ( maybe due adjoining room 1207 . window seat wonderful lay gaze view catch short nap ! hotel quiet hall room noise . 12th floor could hear El Wacker really enjoy ( El major interest ) . enjoy size hotel front desk lobby staff recognize . Complimentary Starbucks coffee morning wine late afternoon , offer double height room adjacent lobby , nice touch . staff : staff helpful professional , offer interesting important fact advice . 11.30 arrival , luggage store front desk staff call cell hour later inform we room ready . bottled drink leave we housekeeping staff realize like orange juice . family emergency occur day departure , staff offer help get luggage Lake station trip ' Hare . excursion : mean Chicago expert ' suggest following:1 . check Wicker Park / Bucktown area great little shop ( use book , movie , etc . ) wonderful food.2 . Chicago Food Planet Food Tours wonderful way slowly get know interesting neighbourhood ( get away repetitive nature place like ' Magnificent Mile ' ( mag mind ) .3 . Steppenwolf Theatre OldTown nice treat able get good food drink ' briens.4 . trip Oak Park ( self guide walk tour home tour ) interesting . part Oak Park beautiful home tour guide offer great insight life Frank Lloyd wright.5 . whatever , GO Millennium Park Art Institute . world class way . unfortunately Millennium Park close 11.00 pm sure go early catch amazing light Pritzker Pavilion surround building . in conclusion , would highly recommend hotel next trip Chicago . 
 Aug 13 2009 	 Hotel Monaco Flair 	 frequent travl Chicago . part large group conference probably small room hotel offer . say , comfortable . furnishing nice bathroom small spartan lmiite toiletry . stay Hotel Monacos DC , Denver Portland , Chicago suffer comparison . build quite old much improvement could make . say , still nice hotel worth consider location price . 
 Aug 5 2009 	 love window seat ! 	 great location helpful , professional staff . elegant lobby fun comfortable room . view river . complaint room bit odor . sister described & quot ; leisure suit & quot ; . 
 Jul 27 2009 	 great service location 	 stay three night . service good . hot cookie check . room ready time well keep . hotel three star accomodation 4 star service wonderful location . walk shopping , restuarant threater . Grand Lux Cafe great food Michigan Ave . 
 Jul 26 2009 	 Great Location helpful staff 	 overlook Chicago River ; leave hotel , cross street walk along river 's path Lake Michigan . along way bike rental , cafe 's , boat cruise , water taxi ... invigorate way exercise see water . Shop N State St one block away . 's mecca retail discount shopping ... Filene 's Basement , TJMaxx , Loehmann 's , Nordstrom 's Rack , Sears / LandsEnd , H & amp ; .. ... bargain ? bet . upscale dine practically adjacent hotel ... Morton 's , Mccormick & amp ; Schmick , Smith & amp ; Wollensky . walk bridge 1/4 mile will find Chicago great like ORIGINAL Uno close - by Due ( DOO - ay ) second one build handle Uno 's overflow . fave restaurant 1/2 mi hotel call Quartino . italian tapas 's good , dream . ( see Quartino 's review ) . staff hotel friendly helpful . 4 night problem . room little worn , sheet hole use flat ( fit sheet ) sheet keep get untucked make bed look sloppy .. Housekeeper see buying water keep leave we free bottle ... nice touch . car know ahead $ 40 / night charge surprise ( comparable parking garage / hotel nearby . ) need car visit relative nearby L , walk , taxi ; average visitor would need car . 
 Jul 23 2009 	 Gorgeous w / fabulous location staff could use improvement 	 location decor could not nicer ! price right , , take advantage TravelZoo special . nothing could beat windowseat upper floor room look onto river North Wabash State Street bridge newly finish Trump building ( lot architecturally aesthetic NYC monstrosity ) .but staff seem though not thrilled work . not unhelpful , per se , appear prefer not bother answer question , whether restaurant recommendation direction southside location . assure two concierge mass transit hotel unavailable . bit internet research part ( NYC native ' m use navigate mass transit system ) reveal close El stop ( State & amp ; Lake ) Hotel Monaco would drop we station Southside easy bus ride ( connection right outside station ) would drop we right across street destination . have buy one day fun pass cta , round trip bus train include flat fee card ( use early day ) .so , concierge could bit knowledgeable helpful guest travel outside hotel 's immediate neighborhood . one also give we incorrect direction Willis ( formerly Sears ) tower . and check Saturday discover erronious restaurant charge add bill , front desk clerk inform we could reverse charge . would done accounting dept . , not work weekend , problem would not take care Monday . promise follow - up accounting dept . not happen either . but ... atmosphere location ( be also within walk distance superb highly affordable restaurant , well proximity State & amp ; Lake El , go anywhere city , Monaco can not beat . truly gorgeous . 
 Jul 23 2009 	 well advertise 	 stay Hotel Monaco 's , favorite . staff friendly helpful , room product spectacular , location could not beat . can not wait stay . 
 Jul 22 2009 	 good 	 location well , well Magnificent Mile , walk everywhere . room clean good size , service excellent . stay hotel try Kimpton Hotels 
 Jul 21 2009 	 smart comfortable hotel city centre 	 although even & quot ; boutique & quot ; hotel part world pretty big high rise , one lot character many large chain offering . room chic comfortable . service friendly . location excellent Downtown Loop . breakfast good , eat lunch couple time well average . bar really nice buzzy atmosphere hotel , good range local & quot ; craft & quot ; beer draft ( ubiquitous Bud Lite ) like sort thing . overall , cheap definitely worth . 
 Jul 17 2009 	 Great Location Service 	 husband stay Hotel Monaco July 4th weekend . previously stay Monaco 's sister hotel Burnham please , want check someplace different . hotel staff among friendly encounter anywhere . extremely helpful accomodating . never enter leave premise without enthusiatic & quot ; welcome back & quot ; & quot ; great day . & quot ; observe staff help guest unfamiliar area give great advice even guest quite rude . location prime pretty much anything could want Chicago . hotel extremely clean restaurant downstairs . room huge typical historical hotel Chicago , NYC major urban location quite comfortable . 
 Jul 16 2009 	 Missed Mark 	 disappoint recent stay conference . give favorable review , anticipate much happy experience . several thing & quot ; & quot ; . although check - in time post three , room not ready 4:30 . desk staff appear either overwhelm disintereste . instance , leave one day , counter person ask & quot ; shall call cab ? & quot ; . respond would take ' L ' . response ? & quot ; will x get cab . & quot ; also rather unpleasant experience housekeeping . return ( albeit early afternoon ) find room clean . drop material say would back soon . return hour later room not pristine ( water glass still table ) bed make , towel refresh think well enough . start change clothe relax , knock door . housekeeping . rather grumpy & quot ; ' m do cleaning room yet & quot ; come door . point not want disturb long , say everything fine be . too , realize room can not face river , alley face window give way lot noise ( ' L ' trash removal ) . visit Chicago every couple year business thought would give something besides large chain try . certainly re - visit hotel , though . 
 Jul 15 2009 	 Top 40 U.S . 	 stay five night Hotel Monaco , opt well chain , primarily base decision stay reputation Kimpton Hotel chain Travel Advisor rank . even though stay convention -- understandably be little choice room -- , would expect well . arrive 12:30 pm show two room reject . first one dark second one though bit less dark , funny smell ( fact bed room smell funny -- poor soap old feather pillow ) . tell 3 pm would offer nice room . 3:20 , inquire tell room ready . discuss ( manager say veiled sarcasm : & quot ; ' m sure stay well hotel & quot ; say upset ) , finally give room face wall 14th floor , otherwise fine . complain coldness room tell take fan temperature would fine -- never go 68 . hotel good location , room tastefully decorate ( though show age ) adjacent restaurant serve great breakfast , never come back . 
 Jul 13 2009 	 whimsical good sense word 	 wonderful time Hotel Monaco . everything would expect quality chain hotel feel small , boutique hotel . room richly decorate . nothing bland . window seat fantastic . check goldfish program . ' ve already recommend friend . 
 Jul 13 2009 	 Location location location ! 	 location unbeatable ! staff extremely helpful friendly . Hotel beautifully decorate inside . room show little bit wear ( wallpaper peel one place , floorboard scuff several place , shower make annoying noise ) would definitely stay ! ( hotel valet parking ... neglect tell $ 40 / day ! shocker bill ! ) 
 Jul 10 2009 	 highly recommend 	 Monaco friendly , stylish , clean well locate . not let weird facade fool you- disappoint pull inside well decorate staff could nicer . room large excellent furnishing , clean , surprisingly quiet consider hotel locate pretty much hectic corner loop . walk distance Art Institute , Millennium Park , Michigan Ave shopping , theater , restaurant . wine hour pleasant 1 dollar upgrade continental breakfast well worth it- large fresh fruit plate plus pastry - the little window seat cool . great bed linen , nice big bathroom , fantastic robe large closet . 
 Jul 9 2009 	 Excellent hotel great location . 	 hotel one well stay . location great , short walk Michigan Ave . room HUGE ! big hotel room ever stay . great decor ambiance within hotel . wine hour 5 - 6pm resident make free wine , snack also wii console use within hour . great way meet traveller enjoy beautiful hotel . would definately reccoment hotel . gym , however small . attach bar/ restaurant also nice . free breakfast bar also available rception desk - never hotel give much free thing ! suitable . Dogs even allow ! 
 Jul 9 2009 	 Awesome 	 first time Chicago want hotel good location . definitely fit bill . could walk place want see - close Michigan Ave Magnificent Mile . 15 minute walk Art Institute . hotel staff friendly go way helpful . coffee lobby every morning , welcome . room comfortable clean fairly quiet . could hear train traffic street ( consider location , not bad not affect ability sleep relax ) . would definitely recommend hotel - gem ! ! 
 Jul 7 2009 	 great location helpful staff wonderful experience 	 top - floor suite Monaco Fourth July weekend love . suite large comfortable bed , jacuzzi , two large flat screen tvs sleeper sofa kid . girl love huge window seat overlook river . staff friendly , prompt helpful . give kid stuff animal check bring pet goldfish we stay . location fantastic , right Wacker across Marina City river . manageable walk distance lot kid - friendly spot : American Girl Store , Rain Forest Cafe , Cheesecake Factory , Hershey Store , Portillos , Millennium Park , Art Institute plenty pizza place . museum complex also short train ride away easy find bus take Navy Pier . could not see firework hotel walk couple block see street . whole , would highly recommend hotel . 
 Jul 7 2009 	 great stay ! 	 husband LOVED stay Hotel Monaco . location fabulous - right downtown loop close everything - include El stop . room great . LOVED window seat . could sit read look city river . couple part hotel look little & quot ; worn & quot ; - instance entryway ( carpet , etc . ) , look little & quot ; old & quot ; . , - great place . appreciate free Starbucks coffee morning free evening reception , although get go . short - Chicago amazing city Hotel Monaco great ! 
