perky 	 staff great . be good thing hotel . ' ve stay time business London . previous visit change room room assign not scratch . time , booking , remind reservation not impress previous visit expect might get well room time around . basic , tired shabby . lumpy pillow . poorly order room . Hand hold shower . felt look like upscale hostel . 's pity , use great . 
 may 3 2009 	 good start poor finish 	 upon arrival staff efficient helpful neither friendly welcoming . disappointed room small . choose eat hotel though drink bar . get bed turn one bedside light seem blow fuse room . localise room . reception tell problem appear first time happen . really want quick fix share experience , however seem possibility get work do night . much hassle move stuff agree take torch monastic evening . morning meet manager speak night , ask ' make right ' bill . make attempt apology make reference incident poor service perspective . stay hotel 100 + night year hotel list . 
 Apr 27 2009 	 Great Location Nice 	 hotel close Oxford Str , Soho . walk hot spot city . our room first floor . small everything clean . ceiling high do not change room . hotel nice internet - room . sit , relax , cup tea coffee use internet free anytime want . lf go London , husband choose hotel sure . 
 Apr 14 2009 	 Great Hotel 	 stay one night . hotel far tube , although room small hotel staff helpful . room clean , well equip modern . breakfast yummy . price reasonable . would definately go back would recommend . 
 Apr 9 2009 	 central stylish sophisticated ! perfect cit break . 	 fantastic one - night stay Myhotel Bloomsbury ! central location perfect go club bar west end short walk hotel . near theatre . however , despite centrally locate , hotel peaceful . hotel decor sleek attractive create glamorous ambience . also library , beauty therapy room gym great city retreat pamper ! staff welcoming , well present , attentive efficient . order ' Pornstar Martini ' cocktail delicious - new favourite cocktail ! room huge , comfortable bed well stock mini bar . really good shower lot good quality bath salt , shower gel , toiletry . nice quiet great night 's sleep . the big wall mount flat screen tv also great include satellite . great channel - hop lazy lie morning ! check location ideal go shopping , eat , visit London 's gallery , park museum . again hotel staff helpful offer hold luggage cloakroom could enjoy day , collect bag hotel later . 
 Apr 8 2009 	 fabulous service perfect central location cool spacious room 	 great hotel ! service impeccable especially day spa . room big modern usual London hotel room . very clean . situated quieter street hub London make eay walk around instead catch taxi everywhere . loved front office staff really friendly looked like enjoy job . 
 Mar 1 2009 	 avant - garde extremely small 	 staff well groom greet we nicely . since British Airways / US Airways lose luggage , bag we utilize bell service . room small typical like hotel room downtown london . tell breakfast include withour stay later charge since find book special rate , charge 2nd night . free w - fi card give we allow access library workout room downstairs . sauna hot tub available rather nice decor asian accent . way small two 200/250lbs man share one bed neither one sleep well . 
 Feb 27 2009 	 great location expect pay little ! 	 great location - near Convent Garden theatre . 5 minute walk away . also 5 minute Oxford St etc . quite pricey expect central location . room clean , comfortable , small side adequate . internet room great . really well design well equip gym . continental breakfast yummy ! 
 Jan 2 2009 	 nice clean hotel ideal location Oxford St 	 Booked New Year Break , give upgrade suite arrival . staff freindly & amp ; helpfull , continental breakfast excellent . bit pricey , happy choice . 
 Dec 20 2008 	 many little thing wrong ; Staff clueless 	 stay myhotel bloomsbury 9 night December 08 mix business pleasure . first 5 night single last 4 double husband . never stay again . check : check check time room ready . offer complimentary drink say would bring key ready - fine except take 40 minute . upon check , informed would need change room husband arrive single room small insisted rate change- great ! first Room : room 420 single . cute , clean upon check , cold . adjust heat could never get right temperature- either freeze burn . tv work sporadically . internet great . phone work . call help phone connect need 2 minute later someone room- connect call- room ? clean room well all . second room : room 118 double . seem small single double bed . , temperature hard control . tv work room . bar : bar quite nice bright spot- great menu mix drink wine . claim open24 hour day . not beleive . 1am offer basic drink wine understandable advertise . complaint- staff bar barely speak English . travel around world hotel staff speak well English everywhere else . gym : gym good- equipment clean . tv nice . hot though ! check : check awful . try charge 30 pound & quot ; upgrade & quot ; fee double room insist upcharge . unacceptable . ask multiple time check get new room key ensure understand correctly insist . General Manager tell employee could not see upgrade fee- hate tell him- fault . the value room fine . value service acceptable . hotel pretend focus unique needs- do not . 
 Dec 1 2008 	 great location friendly staff small room 	 wife stay Myhotel Bloomsbury 4 night stay end November . book hotel on - line auction site get room rate unbelievably inexpensive . , price $ 100 per night , little hotel could do would cause disappointment . big plus - Location . literally step Tottenham Court Road two block tube station . hotel strategically border two great neighborhood : Bloomsbury Fitzrovia . mean plenty fine restaurant within quick stroll , British Museum minute away , many attraction easy get . several pub close , fact Jack Horner building . I always appreciate hotel understand need traveler get transatlantic flight . thrilled room available check 12:30 p.m. we give room 306 , queen size bed . happy . room small one chair , desk . flat - panel tv wall , desk , 's placement odd tv watching . impressed room stereo listen radio much watch tv . be comment , lack closet space . one small cabinet hang garment . room could definitely benefit wall hook . despite small size room , use space well get other way . desk lamp could improve thing term light useful reading light bed . two drawer dresser two drawer desk available unpacking . dresser also safe , electric kettle tea , Nescafe , hot chocolate provide . appreciate provide two water glass , two tea mug two wine glass vanity . mini - bar / refrigerator ( dreadfully overpriced ) use chill beverage buy Tesco 's block . we , , issue squeaky floor board room not hear noise anywhere else except occasional police siren Tottenham Court Road . we thrill quality towel bathroom . possibly well ' ve hotel ' ve ever stay London . entire bathroom , small , set well . good water pressure temperature available hour . we breakfast part room rate . agree 14 UK pound exceptionally unreasonable . thing ever get on - site restaurant cup filter coffee 2.50 ... bit steep . the wireless work perfectly , know wonderful library never would even bring laptop we ( 3 pc - base computer 1 mac available library ) . library free coffee bottled water fruit day . never use gym 3 -4 machine seem adequate . overall , pleased hotel would stay . 
 Nov 25 2008 	 trendy hotel central location overprice noisy cheap decor 	 stay partner MyHotel Bloomsbury end November 2008 part business trip . initial impression great , hotel exterior smart , check - in service friendly . we give double room third floor , directly opposite lift next door cleaner ' storage room . room small , adequate , bathroom ( full bath ) nicely fit . shower good pressure maintain 's temperature . unfortunately , floorboard room incredibly squeaky , floorboard room . disturb sleep , noise storage cupboard next door wake we early . the reception tv great , fuzzy picture . Wi - Fi work describe . disappoint amount hang space provide , iron ironing board provide room , although note could provide request . breakfast typical continental affair , croissant various pastry , bread , cold meat , fruit etc . make sure get include room rate , cost £ 14.00 's definitely worth . , breakfast nice , staff little off - putting , stare we eat . final point decor hotel room communal area poor quality look rush do small budget - expect 4 star hotel . plasterboard wall room start detach beam behind , quite concerning . 
 Sep 23 2008 	 lovely 	 birthday present , book theatre show well West End hotel instead rush last tube / train costly cab fare home . greet two friendly receptionist well notice round hip contemporary feel . room lovely minor sign wear tear . also appear pleasant scent throughout hotel . enjoy couple cocktail bar however service could bit fast . Realised Yo - sushi behind reception desk pop quick dinner . request extra swift service due time constraint well please . 5 min Tottenham Court Rd station ( far cry tackiness around station ) great able stroll back 10 min night theatre bar around Covent Garden / Soho . love breakfast follow morning . would recommend . 
 Aug 23 2008 	 ok Business Trip 	 arrive hotel wet Sunday afternoon choose hotel Husband attend business meeting Monday , hotel situate good central location , get taxi Euston arrive hotel within 10 min . on arrival receptionist greet we well book we swiftly , folllowe TA review hotel decide upgrade suite room , room good size side hotel , room describe minimal taste border stark , clean bed comfortable , bathroom decent size people comment nice bathroom product . we quickly unpacked staying one night , go bar quick drink book lunch elsewhere wait taxi staff extreamly nice friendly . the public area hotel also minimal decor , downstair small library type room opportunity use . hotel good central location however speed use taxi get around prove costly traffic especially Monday busy taxi meter keep run even move . as book lunch Sunday Monday restaurant use hotel restaurant Sunday quiet Monday pack assume food good . breakfast accord husband eat basic . all decent hotel helpful friendly staff ok overnight business trip . 
 Aug 18 2008 	 bit dissapointe stay 	 surface lovely hotel , expensive small room seem become little try . book superior room , basic 2 single materesse push together ( romantic ) also wifi signal iron ruin shirt ( great start ) . Manager move we suite ( normal size room ) compe ' breakfast - furniture try , aircon inefficent run shower gel not replace . feel little rip 2 night shy £ 200 night . bar Yo Sushi plus point . 
 Aug 11 2008 	 Romance Dead 	 overall great hotel , good location , friendly staff nice clean , well appoint room . my word warning would , wary booking extend package like & quot ; Romance Package & quot ; , boost ; • Myromance simply want share inclusive box chocolate love one• deliciously chill bottle Laurent - Perrier Champagne serve bedroom . • candle create right atmosphere • Aromatherapy massage oil . • beautiful soft ostrich feather . • morning , room service continental breakfast ensure bedroom place . -- however get explain package reception staff get room nothing . call ask package put ( romantic surprise ! ) , go evening . return bottle champagne plonked dresser . that ! extra £ 50 could bothered do . it be reflection time , people excellent marketing , great develop idea up - sell experience , slick adept take money , lazy reticent actually come physicality anything . offer package content morning , apology money , moment pass . it be nice hotel , ' m say make sure book package get someone 's name make someone accountable arrival , will not happen will look like fool infront partner like . 
 May 28 2008 	 try fit ... fail ! 	 ok , hotel room London nowadays general miniscule . one ready prepare trip . ' ve London three time last year , stay 3 different hotel common room small , could not keep suitcase open walk around time . mind applie would call & quot ; regular & quot ; room . & quot ; deluxe & quot ; room different story . my single room myhotel Bloomsbury big average standard rate room London . on positive side , hotel centrally locate , care take way hotel look ( wall peel worn furniture ) , couple nice space basement use guest sound system room nice touch . not forget complimentary WiFi internet . also , imagine water boiler little tin box complimentary sachet instant coffee , tea chocolate would appreciate people nicer I . the bar ground floor also nice . all would nice , not construction work go back hotel . every day except Sunday , would impossible sleep 8 am 5 - 6pm ( exactly sure stop work ... not room ) , noise drill shout construction worker . would enjoy water boiler , also mini - fridge could keep milk go instant coffee . mini - fridge . course , could mini - fridge fit room , ' even room closet ! clothe need hang , hang hanger rack jut wall . keep mind room small suitcase could keep open . closet also mean safe , ' feel safe choose carry passport around town abandon hotel . also , towel must wash environmentally friendly detergent leave funny smell … ' smell dirty , bit like dry - clean ' nice feeling rub face they . breakfast plain ok . ' much well breakfast 2 hotel stay year . incredible disappear staff Saturday Sunday morning … nobody bring coffee ! somebody start regulate London hotel … ridiculous think get away ! 
 Apr 23 2008 	 good thing come small package 	 stay myhotel New Years Eve ( 2007/2008 ) . many hotel available last minute stay time year consider lucky get anywhere . the check fast . hotel easy find ( round corner tube ) step away Oxford Street many attraction besides . the room nicely present tiny window span waist height almost top high ceiling . window long blind keep light well suggest take something cover eye whilst sleep could problem . decide room turn side may got size bedroom compatible price pay . the bathroom small . sit loo knees directly sink ( good partner 6 ft tall ) .... look bright side , could kill two bird one stone brushing tooth whilst sit business ! bath ( shower ) fix screen ( good idea bathroom small ) mean contort body get loo bath enter - shower curtain would utilise space bit well . in general , room clean modern everything could ask except absence mini bar / fridge ( oh , bit space ) .The price go New Year around £ 150 night inclusive breakfast - way , staff dining room accommodate breakfast delicious filling . this nice hotel area stay Jury 's Inn room 4 time size less pay - Jury 's also nice place stay . do not put unless claustrophobic nice hotel not pay odd room either not get lot space money . 
 Apr 8 2008 	 Thumbs 	 boyfriend & amp ; choose MyHotel due 's location agreeable rate available Expedia . hotel typical 's central London location ( small room ) however lack space , certainly make style . the room beautifully furnish excellent finish . amenetie include : hairdryer , Plasma TV , free wireless access room , robe , safe , tea / coffee facility , cd player , Aveda bathroom product . staff excellent - friendly keen help overwhelmingly . although not use gym / library ( free internet access ) look standard well equip ( esp hotel gym ) . 's real bonus Yo Sushi ground floor ( provide sushi lover ) well funky hotel bar outdoor seating ( perfect spring / summer evening ) .It 's locate close Oxford Street shopping ( Selfridges , etc ) Soho / Charlotte Street eat , hang cool bar people watch . would definately recommend & amp ; certainly stay next town . 
 Feb 20 2008 	 love Zen - like library delicious smell 	 nice hotel would recommend . lobby seem unimpose inside tranquil fragrant candle burn . snug , atmospheric bar Eastern - feel . also use library basement soft - lighting free internet access along free tea coffee . everywhere incence scented candle . room fine , bit small perhaps , bathroom modern central heated feel cold . minor criticism actually quite complicated work shower / bath unless arm average length need step bath turn . drench head cold water shower try run bath . tv overly complicate almost select adult movie mistake . turn tv back get rid . room feel modern clean . toileterie good quality enough . towel , fluffy luxurious , nice bathrobe slipper . enough room luggage . breakfast really , really good fruit , cheese , waffle sort bread etc . one good breakfast UK . Yo Sushi next hotel great . bar serve delicious cocktail lovely atmosphere . 
 Feb 17 2008 	 great location 	 + great location : 2 min footwalk Oxford St & amp ; London tube+ clean hotel+ forthcoming staff - great service+ Lounge groundfloor w/ free coffee / tea & amp ; water+ Gym & amp ; spa hotel- big variety breakfast ( bore stay long ) - thin wall roomswould definitely recommend stay & amp ; come back 
 Feb 4 2008 	 far worth 	 toilett flush working , weak water stream change shower temperature , dangerously burn hot towel dryer small bathroom , micro hifi working , use - look furniture , bad insonorisation noisy street , hard manage heat system ... perhaps frustrating , & quot ; sorry not serve breakfast already pay anymore , be eleven serve till eleven , menu wish order breakfast & quot ; ... definitely no - go 
 Dec 27 2007 	 Great Location Stylish Hotel 	 like stay MyHotel Bloomsbury . always clean comfortable . it great location love shop oxford . room quite small , think common Europe . 
 Dec 27 2007 	 do not live expectation 	 hmmm average rating really , London work 2 night need book somewhere reasonablly price last minute December . use use Myhotel bar couple year ago live London always want stay not great remember . room real let although ok business trip . extremley small single room , ok do not expect big singe small UK size 8 struggle move around bathroom weird set wardrobe - reach hand small gap hang clothe , husband would got arm stick ? ! another big bug bear although be not unique hotel hairdryer . somebody please provide decent hairdryer hotel , lady like style barnet wash go , thankfully one switch one awful thing hold use , however mirror room . ugh annoying ! ! do not stretch mirror door bathroom . apart need somewhere stay central around £ 155 per night ok pick . be clean , breakfast fine not include price , check good , one lift break . average . 
 Sep 23 2007 	 Great Room Location 	 stay back love location . central part London like explore . the bar nice use one night hang friend Paris . bathroom decently size good soaker tub room handle american sized luggage . bed comfortable swallow room . consider price neighbor Mayfair hotel hotel seem like bargain . would definitely stay next time London . 
 Sep 20 2007 	 great location Zen 	 stay myhotel bloomsbury back 1999 absolutely serene experience . room , service , everything Zen . love actually think year would there . I come back 2007 . have London since , stay high - end place either company pay use mileage point program pay . time footing bill , choose somewhat modest myhotel . quite good : location still great - quick walk theater subway national gallery british museum . love location.also , nice feature hotel library . couple computer use get online . magazine book , be even coffee water . nice way wind begin end tire day trek around city.pretty good : room come stereo nice toiletry , breakfast fab . really nice . good remember : could would idealize place , maybe really change . would remember Zen -- especially room . spare , peaceful , etc . this time room sort orange brown maybe color . also , other say , construction outside -- noisy , yes , although try sleep ; attractive look ? . hotel 's control , sure , take away Zen quality . 
 Sep 1 2007 	 Love location hate construction noise 	 third fourth stay myhotel Bloomsbury . room smallish comfortable , staff friendly accommodate , amenity acceptable . business traveler , dislike trap touristy area , everything overprice , selection limit , local scarce . fancy tourist hotel also tip nightmare - ' need anyone open door hail cab , thank . , good part myhotel Bloomsbury great location , Tottenham Court Road block Oxford Street . , bus , tube cab get anywhere city , pretty quickly , weather tolerable , ' within walk distance central London . ' great stroll neighborhood . funky little restaurant shop Goodge Street , two block away . Tescos newsstand electronics shop convenience abound . British Museum around corner . ' little movie theater across street . hotel house popular little sushi restaurant , hip young bar scene night . ' friendly corner pub right next door . all say , quibbles:1 . construction noise - stately old building completely flank rear hotel renovate , jackhammer . work ' begin around 8 end around 8 9 pm , ' expect nice afternoon nap quiet time daytime business , ' well bring heavy - duty earplug . ' know work schedule completion , look thing ' time soon.2 . flat - screen tv receive something like 7 8 boring channel , plus music - only channel . need video entertainment room , bring laptop pile dvd ' s.3 . vend machine . neighborhood shop close 10 , Tesco midnight , plan ahead . want snack soda , get lobby bar , open 24 hour . glass Coke set back 2 pound . outrageous ! one thing - try avoid room face Tottenham Court Road . although large double window heavy curtain muffle sound , truck bus traffic night long . ' impossible open window sleep fresh , cool night air . 
 Aug 14 2007 	 small room equip everything need excellent amenity ... 	 stand one week . reception always friendly helpful . room quite small , everything equip expect 5 star Hotel : coffee & amp ; tea facility , flat tv , CD , Radio , shoe shine ... basement find access 24h call library ... real cool location tea & amp ; coffee facility , allway fresh fruit , relax area 6 internet Terminals free use printer everything need admin . the F & amp ; b good , always nice people bar / restaurant . location perfect London Musical ( Queen round corner ) shopping , club ... business . def . go next London trip ! 
 Jul 13 2007 	 good hotel good service good location 	 hotel bit wierd one . ' ve stay many hotel Londona world one not really stand - except expensive get service good . 1 . parking - go NCP 5 minute round corner . Pain 's raining.2 . lovely reception area , friendly staff helpful . 3 . room ok , get bit fade bathroom v average nice toiletarie . 4 . v comfy bed . everything else random bit small . tiny tiny wardrobe , fiddly lamp mean feng shui guess annoying . everything get bit tired , guess originally nice . 5 . man reception phone say would like late check birthday . nice touch . 6 . man reception walk we street brolly call taxi we pour rain . 5 * service 3 * hotel . 7 . location excellent , right Tottenham Ct Road big shop , plus near British Museum Marylebone High St great browse shop brekky . 8 . yo ! Suhsi next door - always bonus . overall good hotel experience , nothing wow , nothing bad , think get well less London . would go back ? Hmmmmm ..... need exact area , otherwise would probably try something else . room improve yes , 100 % . 
 Jul 8 2007 	 not call myhotel ... 	 ' m surprised review say wonderful hotel . guess come expectation . experience disaster . travel alot work maybe experience make bit discern problem . judge whether want deal place not.1 . price : extremely overpriced compare get get money . room small amenity worth £ 150-£200 per night go rate double . plus seem like see well day . room carpet dirty stained bathroom wear tired.2 . loud : first place 1st floor room sushi restaurant ( actually pretty decent ) . music drift floor , heavy base beat , make impossible sleep . change room . 3 . tv : first room place wall parallel bed . could not see ( think place suppose feng shui smart design ... smart . ) second room not work . someone come fiddle get work wire one box hold leave . not patience fix thing every time want watch ( involve crawl hand knee desk etc ) want tv chance be go to luck here.4 . temperature : heat blasting room AC could barely counter . middle summer . horrible . one could figure fix ! ! ! hotel 's response simply pretend not issue ... weird.5 . towel : 1 per room even though be double ? be plain dumb . beg extra towel maid take away enxt day even though leave hung rack indicate would use . every day . also take shampoo day not replace . go front desk twice get towel shampoo.6 . breakfast : waste time . pretty lame . continental fresh fruit anything beyond pastry . old bread danish would see conference room set croissant . pretty pitiful.7 . service : pretty non - existent . give problem , interest fixing . big issue . be go to personalize experience call ' my ' hotel really need follow fix problem meet request arise . absolutely none ... overall would avoid place . worth money really nothing special recommend . one time probably pretty nice cool judging wear tear time 5 - 7 year ago ... 
 Mar 30 2007 	 get good rate nice 	 spend 6 night myhotel Bloomsbury end March 2007 . book hotel web site $ 250 US . room offer price small choose upgrade superior room ( # 201 ) double size . $ 50 US per day upgrade . room 2 large arch large window front hotel , flat screen tv , cd player , safe , desk sit area sofa chair . pleasant linen ( hotel frette ) great . rate pay -- consider London -- feel get good value . comfortable library basement internet workout room . nice breakfast include room . staff friendly attentive well . location couple block British Museum . myhotel 's web site video tour hotel good representation except spot get wear . 
 Mar 28 2007 	 lovely myhotel 	 lovely weekend stay myhotel - good location Bloomsbury , near shop / bar / musuem / cinema . hotel stylish - lovely bedding aveda toilettrie . staff helpful andthe breakfast bar area lovely . problem beingable work heating cold spell can not really fault . 
 Mar 15 2007 	 ok location overprice 	 nice modern hotel good location , however quality match price . room nice inside lack detail , much noise corridor floor room , could hear step squeaking.staff decent , honesty trouble understand receptionist , speak indian type accent 150mph . I major complaint next time stay another hotel , many equally nice reasonable price . 
 Feb 15 2007 	 never treat well 	 staff myhotel Bloomsbury great . attention detail make feel like be home thing set ' just like them' . service personal without in - your - face . the library great place sit . decor aromas throughout hotel lovely . the buffet breakfast offer great selection healthy option . the location fantastic , walk everywhere . I highly recommend myhotel Bloomsbury will definitely stay . 
 Feb 14 2007 	 strange odd stainy 	 give tour hotel go curiosity . never stay hotel see room . tiny , look like jail cell . & quot ; closets & quot ; consist thin long space wall design see clothing ( be actually tour guide tell ! ) stick arm around access clothing . bad thing see comforter bed . first , fur ( idea real fake fur ) . fuzzy . make mistake touching . white , sticky substance get onto hand ... say . . outta ! weird . 
 Jan 24 2007 	 Home Away home 	 never normally write review compel make comment MyHotel Bloomsbury . global traveler certain essential service & quot ; must & quot ; hotel ; internet business facility , good location , 24 hour service include quality room service , security , concierge relation gym amenity . regular visitor UK past 18 month regular guest MyHotel Bloomsbury entire staff ' attention detail genuine concern guest . room well appoint , hotel excellent conference facility catering service result time thoroughly utilise . room well appoint first rate bed linen , make sure not feel like living box , room slightly unique décor shelf ikea . 24 hour bar excellent japanese restaurant open lunch dinner . also provide quality transport airport ensure fully manage stay . management house staff commitment hospitality truly exceptional unlike large hotel chain - remember name ! meet guest comment always , & quot ; staying & quot ; . myhotel great example modern boutique hotel cater modern guest want another number door . truly feel like Hotel . Mark MontgomeryCEOBrainbow Pictures 
 Jan 24 2007 	 bland 	 ok . ok . god price I d want ok . bland central . staff fine - would not go crazy . price stay Milestone hotel - staff good . 
 Jan 11 2007 	 ridicilously overprice 	 location MyHotel Bloomsbury definately good , compare price quality hover oxford circus consider reasonably price . we stay hotel week overall major problem stay . room , deluxe size one , small decent London . setback include squeaky floor , make loud noice everytime walk certain part . room door quite gap underneath poorly seal , make even small sound form hallway hearable inside room - probably way around . service ok special way , breakfast good . consider location , would good deal half price . recently stay Radisson Sussex , locate block selfridge - actually well location opinion . price almost half one , consider fact hotel share even rather similar style , much prefer Radisson . 
 Dec 15 2006 	 Appalling .... pigeon love 	 one bad hotel ever misfortune stay in . first , partner allocate room single bed ... that s correct , single bed four star hotel Central London . naturally point error give double room , overlook street . room absolutely tiny , one we get ready go , lie bed , we could not stand time ! bad thing however window . one window room head height sit bed ( place sit ) approx 3 inch pigeon crap sill , endless cigarette end stick ... look like somekind dirty protester birthday cake ! VileService good , bar staff outside street chatting whilst wait drink . avoid possible . 
 Nov 28 2006 	 Awful 	 oh dear . qualify duff hotel year far stay dozen place year . thing like : plenty wardrobe space ( eave ) ; bulbous drinking glass bathroom ; bathrobe ; cleanliness fine . thing like : hard uncomfortable seat mean use desks- mine look find skip ( report reception get sympathy ) ; claustrophobic attic room Extortionate price ( £ 220 ) ; lack mobility phone ( hit head answer ) ; offer non smoking room ; able see tv bed ; Solvent smell towel ; awful desk work slidey glass topNoise street ( ok London , forgive ) ; pay internet room price ! bit worn feel ( bathroom edge miss , hole tile old hardware ? ) fuzzy TVSo price particular grotty room make disaster repeat . beware ! . 
 Nov 22 2006 	 Oasis 	 hotel great . far enough main road ensure be quiet . room chic tasteful . website offer ' mypreference ' tab allow specify type bed , music even bottled water would prefer upon arrival . 's eclectic array tea , sleep mask slipper . scrimp toiletire either , Aveda brand rule ! tranquil oasis busy city . would recommend stay ! 
 Sep 5 2006 	 good option great location 	 great location , close Soho , Convent Garden theatre still calm quiet . modern , clean , good brekfast , small bed two need black curtain room . 
