way 	 hotel street surround residential building get real feel would like live area . find great diner nearby ( Joe Junior 's ) become regular breakfast place , laundry deliver , bar corner ( mumble ) great scallop restaurant , block Union Square 's shopping , restaurant subway . room ensuite glad week . second floor , could walk , good lift seem slow . amazingly quiet ( although air conditioning could rival jet engine noise , not ue ) clean enough . bed little hard double , would not hesitate go back location real star . 
 good value location 	 nice , quiet location near Union Square . hotel attractive facade , lobby room decent . share bath ( least corridor ) close room extremely clean , room comfortable quiet . desk clerk staff member saw , seem pretty detached . absolutely fine , might bother . would hesitate book room . 
 Jul 4 2009 	 awesome 	 place deliver brilliant times.staff do not bother , infact hardly know even there.awesome location near trendy east village alphabet city groovy dukebox classic , dive bar trendy type - close enough stumble home 8am.nyc pretty small easily walk soho west village , subway easy aswell.hotel 17 - great price , cool room straight movie one street uma thurman ouse - can not go wrong ! 
 Jul 4 2009 	 Great would stay 	 great place stay ny.cheap cheerful . our room 6th floor spacious . staff friendly helpful . bathroom always clean , great since be share . location excellent . one thing annoy always hot room , not spend much time anyway . yeah , would definitely stay : ) x 
 Jun 17 2009 	 tiny great price 	 ' ve stay many hotel several country surely small room ' ve see . 's bed , foot walk around . 's nessecarily bad thing , spend little time room , people look lounge around watch tv , look elsewhere . communal bathroom always clean never busy , not issue . smoking section hotel smell , do not carry wing . place not really conveniently locate & quot ; big & quot ; tourist attraction , 5 minute walk fairly major subway station ( Union ) . also , since 's heart city , ton ton restaurant around pick . always feel safe area , walk around 3 am ; plenty light . service staff helpful , polite always . live resident kind eccentric , add NY atmosphere . overall awesome , fun little find cheap stay long not mind cramp quarter give luxury fancy hotel . 
 May 15 2009 	 Picking Daughter NYU 	 wife recently spend 3 night Hotel 17 wonderful experience . ny help daughter pack first year college . find Hotel meet need . staff friendly helpful . room ( 612 ) double lay quite nicely sunny . closet / shelving unit big enough store suitcase , encase nice television helped keep room unclutter . separate area pedestal sink mirror blow dryer . room end quaint narrow hallway , share bathroom seem step away . bathroom always extremely clean never wait ... two floor . hotel 17 locate great part NYC . Union Square couple block away . pretty park across street towards 2nd Ave . Washington Square Greenwich Village less 10 minute walk ; East Village even close . area NY , lot good restaurant nearby . get coffee light breakfast Corbet Conley , 17th St. across 3rd Ave would eat room . hotel nice feel well maintain . single elevator , though slow , put back another era . find good price room book website . wife stay March multi - night special . true current trip . would hesitate stay next trip ny . 
 may 12 2009 	 second time still satisfy 	 review second stay Hotel 17 April 2009 . previous stay , really enjoy choice Hotel 17 . time -three people- stay non - smoking room big well window view smoking room . say Hotel 17 be - clean - safe - central - friendly - close public transport - fairly pricedalthough trip April , weather hot ( app . 32c ) . air conditioner noisy work properly . open window . luckily window mesh . location nice 8 minute walk Union Square Subway Station . nice cafe restaurant around . arrive , ask cab . receptionist arrange take 40 $ La Guardia Airport . actually difficult go airport public transportation , one friend huge suitcase . stay room share bathroom . problem . clean mostly available . 
 may 2 2009 	 enjoyable stay 	 sister - in - law visit New York April 2009 . stay Hotel 17 5 night enjoyable stay . hotel clean , room clean shared bathroom also clean , main concern . always available , fact , hardly meet guest hall , reception elevator . reception area hall quite small . first night stay 7th floor one double bed . next morning talk James possibly get room two single bed , ( thank James , much well ) , move first floor , room 111 . little bit spacious , bit cool side reason , turn great hot weekend nice come cool room . hotel quiet nice neighborhood , wake sound bird chirp every day ( surprise ... expect NYC ) . hotel simple , much far extra ( many european traveler think could least electric adapter ... cost $ 6 buck , buy charge cell phone ... leave , use ) ... coffee , etc ... serve basic need need extra towell blanket , even electric heater one night , within 5 minute . great little mexican place behind corner 3rd Street call Paquito 's , good food . location great , 3 4 block subway Union Square take pretty much everywhere . Good shopping Union Square well . - great place price , nice stay . 
 Apr 30 2009 	 nice 	 stay last year week holiday New York . we double room share bathroom pleasant stay . share bathroom ( two corridor ) always empty even though hotel full always great condition . the thing really like hotel 's character old fashioned charm . apparently scene Woody Allen film film see , lift especially , look like something straight old american movie . pair lovely location ( nice safe & amp ; 5 minute walk union square ) 's great base explore New York.one tip though : be go around September time prepare hot subway station , not factor humid hot would ( come Ireland ) ditch jean buy light clothe ! 
 Apr 25 2009 	 basic room stench corridor 	 stay Hotel 17 New York City 3 night . room clean , bed bug . share bathroom also clean , however narrow . free wireless internet access , slow unstable . not expect amenity , breakfast etc . part hallway close room strong urine stench present whole stay . explore Manhatten whole day stay hotel hour night , good location . rate reasonable , especially good location percent website even well . 
 Apr 21 2009 	 Book hotel ! 	 location - downtown Manhattanpublic transport - Union Square 5 min walk ( get everywhere ) room - clean , comfortable double bed , sink , tv safebathroom - 2 every hallway never wait one always cleandefinitely value money ! 
 Apr 20 2009 	 comfortable convenient price 	 friend stay five night March . definitely boutique style hotel , wallpaper room definitely bright quirky . twin room consist double single bed . bed comfortable squeaky , place exceptionally clean . initally concern share bathroom situation , patron floor two bathroom share . bathroom clean regularly encounter anything unpleasant - important remember swipe card would want lock youself room wear towel ! go toilet , exceptionally clean . room TV , two large window open air room , airconditioner use , dress table large mirror well hairdryer , small wash sink mirror . overall could walk hotel subway 3 minute could walk Times Square 30 min . walk entire time use Subway see everything want time , Brooklyn Greenwich Village etc . two great diner near hotel serve amazing pancake - authentic american diner experience great way fuel walk day . also cute little bar nearby well . oh one point - think reviewer mention - internet access look quite bad room base see people sit stairwell laptop perhaps great want take laptop along ! staff reception helpful even call shuttle company book bus early flight US - $ 15 - 20 save lot money taxi . 
 Apr 19 2009 	 lone female travellers- excellent 	 stay mid April 2009 disappointed . neighbourhood lively within easy reach transport . single room small , cosy quiet too- rare thing New York ! single room without sink move single room sink- either way share facility really clean never wait bathroom . 's budget hotel , clean comfortable would recommend lone female traveller staff really helpful . 
 Apr 19 2009 	 Perfect money 	 pay $ 136 three adult share ( two bed ) . sink room . shared bathroom , clean bring towel ( provide room ) dry hand . long day walk around manhattan pleasantly relieve find room smell fresh clean . quiet night time . safe neighborhood . $ 10 get cab times square three we . think room every bit nice one Edison Hotel 07 . big even bathroom course . free internet work room . ask tell we work first floor . seat tiny lobby hang around on . we use parking garage find staff nice helpful . overall good experience . 
 Apr 14 2009 	 perfect inexpensive neighborhood hotel - Best Hotel Value $ NYC 	 two we stay 5 night end March room 217 single double bed could not please . want stay neighborhood setting spend much money would hardly ever room . share bathroom right across hall work perfectly - never see anyone else use , spotless sink , hairdryer two mirror room . lobby quaint love dark wood trim throughout . laugh fact noise hear room come bird morning - traffic noise . room look well see website . would stay sure . 
 Apr 13 2009 	 basic good value 	 stay 4 day . suprise find good value . pay 200 pound 4 night . apart dorm room bed find nothing else approach value . the place clean basic share bathroom . free wifi patchy . great location . nice little cafe call sunburst 1 min walk away 18th St. good breakfast . to honest have much rather stay somewhere luxurious facility run number justify extra cost . really good option know about . I ' m go give 5/5 great option brilliantly . know expect though - clean , small room great location trimming share bathroom . 
 Apr 6 2009 	 convenient location good option budget traveler 	 stay hotel 5 night March 2009 . block away Union Square , location good , close subway station within walk distance many restaurant several delis . single room 4th floor overlook 17th street . room tiny truth hardly spend time room go Manhattan . room sink , soap , towel , shampoo , conditioner hair dryer . room never make unless put & quot ; please make room & quot ; sign door . internet complimentary service fail everyday . there 2 bathroom per floor , always keep clean . never trouble find empty bathroom . heat not enough cold day , turn daytime warm day . not turn late evening return room around 7 pm cold receptionist offer extra blanket . service reception desk always polite professional . would definitely stay highly recommend solo traveler couple search affordable good hotel Manhattan . 
 Mar 29 2009 	 good value money consider room size location 	 stay 6th floor 2 room 2 bed , face 17 Street , decent view , noisy . pay $ 150 US / night . room spacious clean , wasample shampoo , soap , towel . room quite attractive , hard paneling , faux fireplace , beautiful high ceiling , like blue wallpaper room show tripadvisor . two share bathroom floor , never problem find free one . hotel elevator . the hotel 3 Ave , interesting cafe shop go north , be close shop cafe go west 17th St . would definitely stay . 
 Mar 9 2009 	 clean safe place 	 visit hotel October 2008 part two week holiday US . hotel easy find within safe walk distance subway ; set quiet street ; supermarket close well various coffee shop etc . room small quite dark dark panelling ; also view speak since wall next build 30 cms away crane neck see sky New York . heating room spurrious . room also sink tv , safe alarm clock . everything clean . bathroom little outdated also clean . not expect much staff front desk ; really not much customer service speak . aware swipe credit card machine check , swipe check , although charge . also rather unpleasant surprise price book contain city tax add ( another $ 150 time ! ) . hotel expensive get good location ny ... 
 Feb 11 2009 	 Fantastic ! 	 ok , luxurious cosy , clean location spot ! believe lucky find ! highly recommend ! 
 Jan 30 2009 	 Perfect location hotel 	 Excellent location , Union Square Stuyvesant Park . 5 minute foot Washington Square Park greenwich Village , 15 minute foot Penn Station Empire State Buliding . it be & quot ; real & quot ; part NYC ; i.e . people actaully live building nearby walk dog hour . the room real character , reception friendly . 
 Jan 26 2009 	 Great Value Price 	 initially reluctant stay hotel . previous visit ny stay well know , name brand chain , mostly mid - town . sky - high price decide give Hotel 17 try . everything represent honestly without surprise . travel alone get single room . yes , small , different might find London economy / tourist class B & amp ; b . room clean , share bathroom floor even clean . never wait use one . downside old building central heating , automatic heating unit really warm ( small ) room , crack window open let fresh air . also , room sink / wash basin - apparently , ' come sure ask room one . location great - close subway plenty local , neighborhood restaurant . street noise could hear even window open , quiet pleasant night ' sleep easy come . staff friendly . 
 Jan 24 2009 	 great rate close hospital 	 husband recently hospitalize , need stay NYC want keep cost . luck find Hotel 17 , single rate $ 95 . first , hesitant share bathroom , never wait bathroom always clean . front desk staff helpful , would definitely stay . 
 Jan 7 2009 	 good price / quality ratio 	 stay 3 night mid December soon wife . base former review , ' know expect . hotel 17 turn good 2 hotel stay 5 day NY ( first time NY , hotel Ye Old Carlton Arms ) . yes , dark , reception guy bite weird room funky wallpaper , room clean , tv ( tiny cosy room , 412 ) sink room . shared bathroom ( 2 per floor ) spotless , wait issue . our room locate back hotel therefore quiet ( even hear bird morning ) .only part , state review , due guste icy wind , wind blow true air conditioner , create cold draft . ( put piece cupboard front work fine ) .so , short , 4 star hotel , bit rough around edge , great location definitely good price / quality ratio . would definitely stay next visit . 
 Jan 5 2009 	 Perfect hotel great location .... affordable . need ? 	 can not really say enough hotel . perfect location , short little walk Union Square . staff friendly helpful , room large never wait bathroom ( always clean ) . back future , question ask . 
 Jan 5 2009 	 nice place 	 stay hotel 17 four night stay another hotel . although hotel 17 cheap room much big . expect unrenovated room ( look like picture strange wallpaper ) last renovation long ago . also location much well first one . five star deluxe hotel expact . nice , clean , well locate excellent value money hotel New York . would definitely stay . 
 Dec 13 2008 	 would stay 	 great location price - would definately stay . although decor date dark hotel spotless room clean every day request . never problem share bathroom spotless - also basin room . only thing do not like heat - overpower time room way turn . although week spend ' unseasonably cold ' sleep window open cover comfortable . definately worth money though . 
 Dec 12 2008 	 Excellent Location 	 stay Hotel 17 short trip New York . well locate mid - town within walk distance major attraction plenty 24 - hr eatery nearby . hotel slightly spooky feel apparently attract film - maker shoot . bit worried use share bathroom facility toilet shower spotless never wait use facility . would definitely recommend budget . 
 Dec 9 2008 	 Good Price Good Location Nice Staff 	 second stay . first time July Fourth weekend 2008 , time early December pre - christmas high season . good price room -- $ 120 Sat night , $ 110 Sunday . think may actually $ 100 / night Summer . beware NY hotel taxis add another $ 40 stay . times single w/ share private bath . small room -- estimate 110 - 120 sq ft . , dark view clean , staff nice , hotel good location . note pension - type hotel ' ve stay include sink room . . also , stay third floor , a - side ( specifically , room 306 ) pretty apparent jerk relieve hallway -- pervasive urine smell . the hotel 's Gramercy Park neighborhood low Manhattan , north East Village . close NYU . room service dining facility plenty restaurant bar nearby 's Duane Reade drugstore couple block away 's open ' til midnight Whole Foods supermarket 14th ( three short block away , hotel 's 17th ) . subway 's nearby 14th St & amp ; 3d Ave , NYC subway system 's bit inscrutable find walk 23d St 8th St station direct access line go uptown . btw -- notwithstanding reputation local , quite helpful decipher subway system . be walk , Manhatten 's flat Soho , Chinatown , Little Italy , tribeca neighborhood easy walk South , mention , hotel 's North edge East Village . similarly , Empire State Building , Madison Square Garden , Herald Square ( think Macy 's Thanksgiving Day Parade ) pretty easy walk North . also walk Times Square Rockefeller Center ( North ) Financial District ( South ) next time , likely take subway cab . 
 Nov 30 2008 	 location can not beat 	 Stayed 5days Hotel 17 would recomend location price . single room small basic room do not ensiute sink . can not say agree reviewer share bathroom problem . 2 shower per floor constanly check see free bit pain . room clean clean daily . Location fab , real neighbourhood plenty cafe , shop , bar excellent place evening meal . would go back could manage grab room shower , may sound petty 5days really miss private space . 
 Nov 25 2008 	 Brrrr . 	 experience not seem representative review , disappointed stay Hotel 17 . first room check noisy pipe right next bed , noticeable draught come air - con unit window . credit , hotel switch room without fuss . however room exactly problem huge draught come window air - con unit . exaggerate quite cold time year . try block draught bag clothe , retrieve morning utterly stone cold . draught could compensate radiator full blast window , spend rather cold night wear many layer hat thin sheet thin foam ( ! ) & quot ; blanket & quot ; .In summer however doubt would problem . the negative despite safe tv room , cupboard , shelf hanger description ! find incredible . anyone stay one night would begin tire living suitcase . lastly , decor hotel hideous dark floral pattern , give whole place oppresive claustrophobic air . to hotel 's credit , staff friendly helpful , place seem clean , include share bathroom . overall however glad booked hotel one night , cold simply unacceptable . 
 Nov 25 2008 	 great Choice know well 	 spend night NYC , come look good deal value cleanliness . live work East Village five year mid 90 's , know $ 150 night stay Hotel 17 go major money - save coup , . hotel clean overall atmosphere nice -- victorian decor , earth tone , low - light . room small exactly need -- bed , work heat pipe , tv . bathroom , share one hall , clean available whenever need . know location ( stuyvesant ) well , close favorite downtown restaurant ( include Veniero 's , fantastic italian pastry shop e11th street ) .Let 's face , people , rating hotel , expect personal masseuse not fully understand great deal place actually . be within 10 minute walking distance one great place world -- East Village , people complain trifle . let go uptown spend $ 300 night one touristy job spend yet overprice presumptious restaurant . will take Hotel 17 East Village anyday . 
 Nov 23 2008 	 Good Value 	 stay last week would definitely . book via website , call confirm twice arrival -feare botch reservation story tripadvisor- issue reservation call likely need . convenient , safe eastside neighbourhood . room 109 good shape ... clean & amp ; new sink , wall fixture TV . booked & quot ; non - smoking & quot ; room ashtray nonetheless . also notice ashcan hallway . luckily , neither room hallway smell smoke ( perhaps lucky floor without smoker , judge previous review ) . noise issue ... , might quiet floor . two thing mention : hook hang wet towel room , would nice robe / slipper get share bathroom ( give size towel get , well modest ! ) . satisfied . highly recommend . 
 Nov 21 2008 	 good night 's sleep reasonable price 	 room private bath modern clean . quaint hotel quiet street centrally locate near Union Square suit we perfect . stay 6 nite comfortable . the room one small one stay . not expect fabulous view window selection channel tiny tv limit , however find whole hotel clean , staff friendly , would recommend friend . 
 Nov 16 2008 	 whole place reek like ashtray 	 indeed , Hotel 17 cheap . rave review , book friend stay four night . immediately enter noticed smell cigaret . every hallway many ashtray , invite people smoke . ' m fussy , find strange one else would notice horrible smell . the third night could sleep neighbour a / c night , cause factory - like noise room . reason use a / c heating system turn way controllable guest . way make room hot , turn a / c . eco - friendly terribly noisy . when ask another room noise , staff member would sigh sigh finally say : well ok , room probably bad . say ? ? ? ? cheap yes , neigbourhood fine , recommendable . 
 Nov 16 2008 	 great value New York 	 4 we arrive around 9 pm back 9.30 check unpacked quick check in . the room date basic 4 lad long weekend trip need compare hotel price reasonable new york . bathroom share must clean time spotless do not become issue all . location wise near union square within walkin distance everything fact time get cab airport reception even help overall great hotel would reccomend stay certainly 
 Nov 15 2008 	 Great Hotel ! ! 	 recently spend 6 night Hotel 17 excellent experience . hotel keep clean ( stairway stank polish gleam walk stair ) share bathroom regularly clean one incident water shower floor ( let face hard keep water shower people ! ? ) hotel locate pleasant tree line avenue roughly two block Union Square one side Lower East Side . always feel safe area . negative WI - FI working stairwell occasionally hot water room minor distraction . overall would recommend hotel other would definitely stay . 
 Nov 14 2008 	 Loved Hotel 17 	 unless be use 5 star hoel reason world give place bad review . Great Hotel , staff location . little apprehensive share bath room share , private never problem wait - it always spotless . live New York 2007 know way around 's subway Union Square 7 - 10 minute walk ( shop along way prepeare side - track ! ) would definitely stay would hesitate recommend ! 
 Oct 31 2008 	 Loved ! 	 Loved stay Hotel 17 . spend 5 night def go back . gr8 price , spotless , friendly staff , safe location within walk distance city offer . 
 Oct 27 2008 	 Love Hotel 17 ! 	 stay Hotel 17 probably good decision ' ve ever make . Close Union Square , East Village Gramercy Park , find everything either close within walking distance . especially subway stop incredible budget restaurant find . where hotel locate , will find safe quiet street , across peaceful park . great eat outside enjoy ambiance neighbourhood . the staff super friendly super helpful . room keep clean daily . though reservation share bathroom people , end not matter . line up facility keep precise order . I stay Hotel 17 future visit . highly recommend ! 
 Oct 21 2008 	 great hotel 	 great hotel price ! street 's Gramercy neighborhood quiet pretty night . tell lot wealth live street . really nice park directly across street hotel . the hotel keep immaculately clean . worried sharing bathroom clean several time day , honestly , clean bathroom home ! plan go back month definitely plan stay . 
 Oct 20 2008 	 important part reservation : hold 	 friend stay Oct 17 - 19th . request non - smoking room " available two single bed " . understand chance would share bed room two bed . however , non - smoking room option offer hotel reservation make , feel non - smoking room hold we . smoking room third floor break air conditioner one double bed . call front desk ask one look ( ' need cool room , need bring fresh air ! ) wait 12:30am one showed . staff friendly overly helpful . however disappointed attention pay reservation request dissatisfy overall cleanliness location hotel . room clean bathroom always available spotless . bed comfortable pillow , fluffy fresh . friend feel safe neighbourhood , find 14th street Subway stop convenient travel uptown town . know tv work , another reviewer comment , watch tv NYC ! would suggest stay hotel somewhat independent traveler , appreciate great deal ( willing compromise time ) , want middle NYC offer . 
 Oct 15 2008 	 frill hotel frilly city ! 	 cute hotel . frill , lot history.my roommate triple room ( full twin bed ) . pay $ 90 per night stay ! steal nyc . staff bit uppity , nyc ... bathroom always clean.disappointe be not fridge leave over . do not know tv work . watch tv go nyc ! lyric diner 23rd 3rd , block away , delish ! wait staff always cranky.would definitely stay . 
 Oct 4 2008 	 Excellent budget hotel 	 love Hotel 17 . sis concerned NY 's expensive accommodation lucky find hotel . location great 's close Union Square subway . M1 bus stop nearby go straight Madison Ave . feel safe walk back night neighborhood friendly . hotel decent . 's clean share bathroom well maintain . downside dark hallway funny smell room spray use . definitely choose hotel next time visit NYC . 
