great 	 stay three night Thanksgiving . choose Executive room ( high floor ) 12 floor - high go quieter room . street noise get bothersome . clean well furnish room - although trouble tv local station operational ( something change system ) staff cheerful helpful time . tradition put beverage near elevator . day get unusual tea time bowl & quot ; cucumber water & quot ; different refreshing . would describe hotel European , small , new , efficient modern necessity . we would go back . 
 Sep 17 2009 	 great location lack little bit warmth character 	 great location good mexican restaurant one block away . room bit small disappointed find award win restaurant shut prior arrival bar facility either . notice get upon arrival room . otherwise fantastic location able take cable car Powell fisherman wharf , amazing thing . 
 Sep 1 2009 	 beautiful hotel excellent service ! 	 staff extremely helpful . room exceptional . central location able turn rental car early save ton money . first visit San Francisco wonderful large part experience Hotel Adagio ! 
 Aug 23 2009 	 Perfect choice great location 	 stay 3 night start California fly - drive holiday 2 child , 9 11 . though not get high floor , room spacious , comfortable , quiet . good location - 1 block you´re catch cable car downtown . staff helpful clearly like give tourist advice . breakfast though , go outside - plenty cheap good option close . 
 Aug 16 2009 	 Glad back 	 stay five year ago professional association last town Hilton O'Farrell - previously find room cramp whole place feel like bear garden . Adagio less five minute walk tranquility . staff pretty impressive - change travel plan month ago forget change reservation arrive 24 hour early ! however , front desk coolly apply advance rate upgrade seven night . friendliness whole team doorman maid apparent throughout . main downside noisy aircon - eventually decide open window night room high enough avoid city noise . free wi - fi , nice linen , well - equip bathroom high standard maintenance cleanliness . breakfast expensive - restaurant franchise close replace least temporarily free continental buffet lobby . neighborhood alternative , business couple morning pinecr Diner couple block downhill Geary . health - conscious really classic american diner great service . neighborhood also share street people gentrification proceed apace since last would make much effort get place feel seriously uncomfortable dark . certainly question move around Geary . 
 Aug 11 2009 	 good location 	 good hotel . handy location , not think seedy all . Staff seem helpful call ahead ask parking though not realise could park car save valet fee staff not tell we , bit annoying . can not remember exactly much extra cost , maybe 20 park 45 valet service . add be staying night be . room bathroom good amenity free WiFi . room service pretty good . newspaper morning nice touch too . you could hear noise hallway though door / wall may bit thin . it nice hotel convenient everything . bit impersonal though , reception staff friendly . 
 Aug 9 2009 	 extremely comfortable hotel ; wish could stay day 	 friendly efficient staff , front desk bar . central , excellent cocktail menu . room bathroom large , spacious comfortable . downside : breakfast fine , pricey probably wander eat elsewhere morning . would definitely stay recommend . 
 Aug 7 2009 	 right landing pad family four . would happily stay . 	 Adagio thing , well . try big , swank , avant - garde . offer safe , quiet , comfortable place land , ideal location . Hang leave front door , walk couple block , smack middle Union Square . hang right , take step Jones Street , glorious breakfast Dottie 's true Blue -- San Francisco landmark . ( perfectly delightful breakfast alternative , without hassle expense Dottie 's , hike 1 block Honey Honey , Post Street . ) room tastefully appoint kind & quot ; understate Starbucks & quot ; color scheme -- light brown bit forest green -- easy eye . immaculate , modern convenience , everything work . complimentary wireless internet idiot proof pleasure use . end day , delight able flop king - sized bed . two teenaged boy crash contentedly queen - sized sofa bed . the bathroom sparkle clean sensibly arrange . snow - white towel plentiful thick . morning , especially appreciate Krieger in - room coffeemaker , intuitive simple use . double - pan window effectively suppress honk hiss street , make easy we sleep late whenever choose . room occasionally get little warm , handy in - room AC unit quickly cool thing -- add welcome bit white noise . lobby traffic make obvious hotel fully occupy , yet inside room , enjoy total privacy ; total quiet make seem guest . the porter , Steve , exceed expectation job entail -- way beyond bring bag room , Steve offer wealth detailed information thing see , suggestion consistently spot . Steve 's gift deadpan comedy would asset improv troupe , like true professional , keep thing low - key . without Steve , one imago Adagio might seem bit haughty -- shall one put : & quot ; Euro & quot ; ? -- whereas Steve 's unassume good humor lend Adagio entirely different personality . ( fact , poll family highlight trip , teenaged son respond , & quot ; Steve ! & quot ; ) thank breakfast feast Dottie 's Honey Honey , follow big lunch & quot ; field , & quot ; never enough appetite evening try in - house restaurant , Cortez . step Adagio Bel - Clift Grocery , stock everything Doritos goat cheese chill bottle Chardonnay . qualm let kid make solo snack run Bel - clift . at checkout , ask hard - copy printout final bill . apparently , hotel 's standard protocol simply send e - mail version bill , ' ve leave . may timesaver dash airport , 's good idea -- want see 's bill 's charge credit card . nevertheless , consider trivial hiccup otherwise extremely pleasant experience . 
 Aug 4 2009 	 Comfortable Hotel 	 book hotel Expedia reading review Trip Advisor . the room spacious clean . three us Deluxe Junior Suite . the way shower toilet set good , wash basin outside shower toilet . sleep pull bed comfortable , location hotel near Union Square , numerous restaurant bar nearby find somewhere eat drink problem . read reviews hotel seedy area , find problem walk around area , problem pan handler . the good way get around town purchase Muni Pass , give travel cable car , tram , train trolley's . I would stay hotel . 
 Jul 30 2009 	 good value 	 quiet clean room frill comfortable . location right center feel little sketchy late night . , pleasant stay . 
 Jul 29 2009 	 good value - comfy bed 	 good good rate online - room decent size - bed extremely comfortable - convenient everything - person need ? 
 Jul 27 2009 	 disappointing price pay 	 disappointed quality room , especially bed duvet instead thin foam blanket sandwich cheap white sheet ( sheet bed hole ! ) . quite cold San Fran , force keep outdate noisy heating overnight bed warm enough . location ok ( 3 block union sq ) service facility hotel standard would expect well overall quality price . 
 Jul 26 2009 	 sweet view comfortable quiet room 	 stay Adagio 2 night July great experience . get bumpy start request room high floor tell , upon check , not room available high floor . bit discussion , able give we Executive King one high floor settle . view nice unobstructed . could see Transamerica pyramid . the bed comfortable , pillow soft bathroom especially nice . make - up mirror great , sink large , shower spacious . room adequate storage option . some minor complaint : window open crack ventilation great . like able open window let cool air blow room . also , big portable air - conditioner front window really ugly . Summers San Francisco cool air - conditioning rarely need . wish include AC request . wifi work ethernet cable little annoying ipod doc provide not plug . ask one , say . oh well . also , parking hotel provide expensive garage area . really think hotel figure way guest get good rate parking . park another garage cheap walk block . the location super : couple block Union Square near many major attraction . stay Union Square , touristy , great centralized location San Francisco . overall , great , clean hotel nice view convenient location . 
 Jul 26 2009 	 Fantastic 	 love Adagio . arrival request comply get fantastic room high floor . could not fault room , hotel service . room well clean every day . complaint bath shallow , hard day walk around city would love soak deeply long . 
 Jul 23 2009 	 bit disappointing 	 may first trip San Francisco , base solely hotel location , would come away quite disillusioned . hotel clean pretty much would expect moderately price boutique hotel . major complaint room lack central air conditioning . in - room unit vent window . noisy insufficient cool room size . open window option street noise unseasonably warm weather time SF . second issue location . want close Union Sq . hotel close Union Sq . immediate surrounding pretty seedy . fortunately , explore neighborhood follow day , include well hotel location ( e.g . Financial District close Embarcadero ) provide we much positive image SF . will definitely go back different well locate hotel . 
 Jul 21 2009 	 comfortable good price centrally locate 	 great hotel , great location , quiet comfortable . bed comfortable . ceiling fan asset . 
 Jul 16 2009 	 good location quite pricey 	 stay 3 night middle California road trip . location good access shop , museum , cable car , though good eat place bit walk away North Beach . hotel elegant , lovely decor lobby . room quite small , well equip . breakfast provide , lot place around go . we leave car day San Francisco , expensive - probably get much cheap shop around . we feel hotel quite expensive , perhaps par course part city . 
 Jul 2 2009 	 great stay ! 	 stay 3 night find room need . room spacious find exactly picture website . surprise . book parking package hotelres.com , excellent deal . staff helpful courteous . especially like Steve help check - in . call ice every night 2 room bring couple minute . also retreive thing valet park car number time problem . hey , group lady 60 except one 40 's , forget thing . , great stay . back . 
 Jul 1 2009 	 Great Views Friendly Staff Great Location 	 arrive first stop honeymoon ( travel Pacific Coast Highway ) . great rate , room 15th floor everything need great , helpful friendly staff . bed comfortable , room sizeable view excellent . staff give we bottle wine chocolate honeymoon along personally sign card , endear touch hotel eight US give we different treatment honeymoon . bit edge area , close Union Square Powell Street Station , would still strongly recommend location . also great diner breakfast locally . jetlag leave hotel breakfast serve never chance eat dinner restaurant , look good . 
 Jun 29 2009 	 Excellent location price perfect stay ! 	 stay 6 night perfect . 3 block Union Square cable car line . 5 block Powell Station , night lazy even take cable car 2 block hill Powell Station line . close nice breakfast place ( Dottie 's , HoneyHoney , Sears ) walgreen block drink , snack anything forgot . we 5th floor corner king room . expect small size , big typical Holiday Inn Marriott . picture website see . king bed , chair ottoman , desk flat screen tv , good sized closet shelf , mini fridge , nightstand 2 big drawer , large sink area separate room toilet / tub . portable air conditioning unit ceiling fan work fine , warm night . face look East Geary front hotel . SwigSwig Bar across street tiny bit noisy people singe outside street Friday night , shut window leave bathroom window open air . maybe go join party instead ! every night / afternoon call ice within 5 minute ice arrive . husband find plenty newspaper still available even late afternoon return . bed comfortable shower pressure good . bit trouble get onto wireless network front desk give we alternate password work , well plug - in jack desk work also . like : Location , decor , price , room sizedislike : think 1 minor silly thing - drawer dresser would stay shut easily . close top , bottom would open . close bottom , top would open . quite comical actually . eventually shut . 
 Jun 28 2009 	 Great Value 	 stay city several time year theater ticket , etc . since relatively & quot ; local & quot ; need drive always look & quot ; parking package & quot ; . book hotel hotelres.com often find hotel package . we stay hotel past various incarnation , first , funky El Cortez , many year ago , Shannon Court stage . we find hotel 's late rehab quite classy comfortable nicely decorate . coffee maker stock fridge enough room stash juice . the staff exceptionally efficient customer friendly , especially young man staff door take care organize valet parking . I amaze see portable air conditioner corner room . since people out - of - town always complain hard time find air - condition hotel San Francisco , ask bellman . say people checked realize temperature often say unit ugly could remove ? : ~ ) adjacent restaurant , Cortez , ( aptly name ) one favorite small plate menu young hip wait staff know menu . this hotel part Joie d'Vivre group , , participate SF Greeters program . request greeter , charge , take tour city answer question have . the hotel incredible value $ 105 , include parking . rack rate begin $ 130 , plus parking . must economy 
 Jun 27 2009 	 Good Hotel Great Location 	 Hotel perfect location explore San Francisco . close bar , shopping , club , restaurant close transport link see sight slightly away . hotel clean , tidy , stylish , modern staff efficient little cold . room ( suite think ) spacious , lot extra . overall , good stay would return . 
 Jun 21 2009 	 Cool Place ! 	 stay one night . location fine . far Union and/or trolly line . Room modern update . dark wood furniture cool lighting fixture . 
 Jun 15 2009 	 Hotel fine 	 hotel fine fairly good location , i.e. , access Union Square . room large expect . nothing overly outstanding hotel , nice place stay . negative not coffee / tea service last morning ( stay 2 night ) . 
 Jun 13 2009 	 looking 	 ' m surprised negative review . place great position , friendly staff really good room . sure get room reasonably cheap Hotwire , standard fit nicely slightly iffy 3star bloat 4 star hotel nearby . the room expecially impressive . fairly large need include kettle ( irritatingly rare hotel US ) free fast internet . 
 Jun 12 2009 	 Home away home 	 ' ve stay lot hotel many live service Adagio . staff warm welcoming would drop everything get we whatever request . birthday staff go beyond call duty . would recommend hotel anyone ! 's perfect location , room neat beautiful , staff , well , can not say enough . thank good birthday date ! 
 Jun 11 2009 	 good value hotel would recommend short stay 	 boyfriend stay 2 night stopover way Napa Valley . find staff helpful friendly , great doorman give time day smile get heap back . lobby great place sit complimentary coffee morning plan day . room good size , huge bed , comfortable quiet extremely dark , look straight high rise apartment & amp ; hotel air conditioning unit therefore block natual light & amp ; need room light time room . hotel locate slightly seedy part town look carefully could see sign time feel unsafe nervous - even dark late night . great value stop hotel take californian road trip type holiday long break San Francisco would recommend stay one high end hotel . 
 Jun 7 2009 	 Great Stay ... Restaurant Fantastic 	 stay Adagio 5 night would highly recommend . room give 6th Floor spacious quiet . husband even comment bring two kid along would cramp room . location convenient , seem close shady neighborhood , not venture . several good place eat nearby , make sure try Cortez . not expect much hotel restaurant food one well meal eat SF & amp ; go several high end place . great drink ( love cucumber gimlet ) & amp ; snack one night & amp ; good go back next night dinner- equally delicious . staff friendly & amp ; accomadate even recognize 20 yr anniversary wine & amp ; chocolate . would hesistate go back . 
 Jun 3 2009 	 worth money definitely 4 * 	 stay Adagio 5 day , Virgin Holidays . sell we one hip place stay SF . arrive Sat ( day Memorial day ) 11 hour flight last thing need hear restaurant bar shut Tuesday . room 4th floor , despite request high floor , tell offer one perk Virgin Atlantic guest . room end corridor 4 room meet , make noisy , ( well hotel general ) dark , mean light time . also never draw curtain ! room adequately furnish quite large , bathroom leave lot desire ! appear hotel try minimum refurb bathroom , austere . also , want bath forget , tub shallow . view 2 brick wall ducte hotel , awake every morning 6 - 6:30 sound like security grill lift . the hotel 's location edge seedy part town , however people ask money everywhere Tenderloin , spare change handy ! service hotel poor , impersonal , always queue reception , door man , etc . add restaurant bar close ( even 1 pm follow Saturday ! ) would say Virigin definitely get class 4 * wrong hotel . average 3.That say however , great location get everywhere easily . communal area whole lot nice room . 
 May 28 2009 	 great Stay Hotel Adagio 	 recently stay Hotel Adagio great experience . first book month arrival date hotelres.com get great rate parking $ 105 / night . block away Union Square . find area around hotel unsafe . room decorate nicely although bathroom new clean . staff extremely nice , offer we late check without even ask . & quot ; upscale & quot ; hotel within walk distance worth extra money . 
 May 27 2009 	 WTH wow never go back 	 well trip memorial weekend , yes expect little noisy.the room next loud . call front desk many time yet really do not anything . check staff rude , would go ask question look distain . Holy moly be not super high end hotel . give break.ok up . comfy bed , decent resurant get . 
 May 25 2009 	 good hotel 	 stay 2 night good experience . . hotel 10 minute walk BART station , near Unior Square , 4 block . staff friendly , except one woman , unpolite ( chinese woman ) ... doorman other helpful friendly . room decent size cleaness . 24 fitness center , free internet , good amenity . \ 
 May 24 2009 	 definitely worth check 	 Hotel Adagio good value . stay 4 night overall good experience . book trip Expedia price amazingly low San Francisco . hotel 12 minute walk BART station easy get airport hotel . staff friendly ready recommendation restaurant site . doorman even helpful look weather forecast . room decent size ; think spacious city hotel . room clean arrive , although high level cleanliness keep throughout trip ( e.g. , hair bathroom floor , iron board leave , etc ) . 24 hour fitness center ( several treadmill , elliptical , bike , weight ) much nice other visit . get free internet ( tell wireless room , computer able find wireless network ) , get really fast internet connection must pay $ 10 . pro : convenient location ( walk distance BART Muni , Cable Cars , city tour , union square ) , good price , friendly staff , good amenitiescon : near Tenderloin district , can not walk lot touristy site , LOT panhandler within 2 - 3 block toward union square , quite noisy room face Geary ( club / bar , traffic ) . 
 may 23 2009 	 great hotel explore city 	 stay 4 night Adagio May 2009 . hotel locate 4 block Union Square within 5 mintue walk Powell Metro / Cable car station . hotel impressive relax lobby bar . free internet ( 15 min per 24 hour ) also small gym . room spacious well - equip mini - bar , safe etc level fitting good . valet parking ( $ 45 per day ) easy leave we free explore city foot / public transport . would highly recommend hotel would certainly stay . 
 may 22 2009 	 Good Stay 	 stay one night flight East Coast . reserve room excellent price internet & quot ; consolidator , & quot ; concerned might get bad room . room bit small , view , nothing wrong - clean quiet . 
 May 22 2009 	 Adequate 	 Decent hotel . comfortable room , bit small . neighborhood not great ; much character . bar restaurant okay . parking cost , like SF , outrageous . 
 May 19 2009 	 Great Location 	 stay 3 night April . location fantastic , walk anywhere need go ( Union Square , Cable Cars , Dinner - name ) . staff wonderful even get flower birthday ! ! lobby beautiful . feel room lack personality view parking lot . love room make want stay , room provide feel . get amazing deal certianly worth every dollar pay , however would booked hotel normal rate . offer rate , would stay heartbeat . 
 May 19 2009 	 great hotel friendly staff comfortable bed ! 	 research hotel Nob Hill , Union Square area , liked look hotel LOVED arrive . location perfect access train , trolley take long walk explore exciting neighborhood . always greet friendly staff answer question . big question & quot ; kind mattress bed ? ! & quot ; . comfortable night 's sleep day sightseeing , shopping , wine taste great dining . special thank Marlen provide we name mattress ! would definitely recommend hotel anyone visit San Francisco ! 
 may 15 2009 	 friend 	 can not rave enough stay . moment group 11 pull front hotel moment check , group treat like honor guest . room marvelous & amp ; roomy standard San Francisco . believe good part front desk ( believe manager ) call ask need later check originally ask . astonish ! everyone group state would stay hotel next time stay San Francisco . 
 May 5 2009 	 Good hotel fab location 	 like location hotel - near Union Square transport link . ensure not wander efw block south , start get bit scary . room clean spacious , bed tiny . give room & quot ; 2 queen bed & quot ; , bed small standard UK double . much fun sharing partner , fine 's 2 single sharing room . room also portable aircon unit , seem bit temporary measure . outlet shove open window bit foam , make room noisy night . could also one member staff reception . wait quite check . aside , like hotel . restaurant ( Cortez ) utterly fabulous . 
 May 1 2009 	 Nice Hotel - great value 	 Hotel clean staff nice friendly . coffee available free lobby ( ) .resturaunt pricey , cafe / coffee shop across street price right , although food average service horrible . Lot 's place around eat . centrally locate , drawback , 's & quot ; seedy & quot ; area , next Tenderloin district . room decor average good , clean . go parking package , Valet parking include room price ( area parking- $ 25 - 45.00 , nightly ) lot panhandler area . cable car 2 block away , near Union Square . would stay .. 
 Apr 11 2009 	 Smart understate 	 Adagio conveniently locate minute away Union Square , crucially , less block Dottie 's true Blue Cafe - join queue breakfast , be worth ! airy chic lobby , clean , comfortable large room decorate warm colour funky touch , shade hang , rather sit top lamp basis . service friendly efficient . problem safe room , fix immediately . not visit bar / restaurant , hop night stay ( mid - week ) . , good choice . like : DecorDisliked : slow elevator 
 Apr 11 2009 	 Terrific ! 	 get back week Adagio - terrific hotel ! excellent location , nice room ( Jr. Suite w/ king bed big enough 3 people ) . outstanding front door check - in staff , always helpful smile . little thing add : free newspaper , free , good coffee a.m. , free internet . would upgrade towel bit , place terrific find ! heartily recommend family tough , critical ny'ers ! 
 Mar 28 2009 	 suit purpose 	 description Hotel website . breakfast far expensive , forget go . plenty place nearby far characterful offer well service . location fine get onto cable car system taxis plentiful . problem get back forth Fisherman 's Wharf . room comfortable well appoint , get special price upgrade , disappointed , awestruck . pretty middle road suit purpose . well worth try leave bad memory we . 
 Mar 13 2009 	 Central well appoint Good Value 	 -Seven minute walk Powell BART / MUNI station - nice room , up - to - date furniture - comfortable bed - friendly , together efficient staff ( wait day half wire connect iPod stereo , one morning wake coffee ) -close lot excellent shopping , restaurant 
 Feb 14 2009 	 Great - would stay 	 Prior arrive ( night ) phone enquire car parking leave luggage go early . lady reception could not helpful . say room infact vacant matter time arrive could check . true word , arrive next morning room ready available , even upgrade we ! concierge , Richard , also superb , give first class direction even depend want speed scenery . even arrange transport airport end stay include bulky ski gear . the room could possibly update , however clean always well make , even day lie late . the hotel location two block Union square cable car other mention . also edge tenderloin , could intimidate night , day interesting tour . ( part reason travel see & quot ; real & quot ; place ) .There bar directly oposite called & quot ; Swig Swig & quot ; pleasant drink despite name . all , return SF would quite happy stay . 
