poor 	 minute check Sunday , knew not go good stay . smell cigarette smoke especially strong soon walk door . lady reception say room would not ready 4 pm ( normal check - in time ) give room 2 Queens instead 1 king have order , could check immediately . question normal check - in time rude . said & quot ; not stay & quot ; reply , & quot ; do not & quot ; . anyway , room fine . extras frustrating . in - room internet cost $ 15.00 per day . gym cost $ 25.00 per day . overall would not recommend hotel . 
 Loved Paris Hotel Stay ! ! 	 return home 4 day stay Paris Hotel love ! stayed & quot ; Red Room & quot ; great . decor modern room clean . view absolutely amazing , able watch water show Bellagio daily ! bathroom large amenity stock daily love blow dryer attatched wall ! linen clean carpet clean , room safe handy although arrive room safe stuck open locked position call maitenance within 5 min someone door ready fix safe . casino fun full excitement staff throughout hotel helpfull pleasant . would definately stay . 
 great location 	 ask view strip Bellagio fountain get it . clean comfortable room . hotel great facility , bar restaurant shop etc . make use spa , find expensive , treatment good . 
 great place stay ! 	 first time Paris last . everything expect . Imperial Suite awesome . room clean amentie great . coffee pot life saver rush morning coffee . sure room coffee pot sure would save number people go elevator first cup coffee . book Paris central everything . pretty much walk everywhere go . Ellis Island restuarant two block away great place eat . check little slow checking breeze . 
 expect price 	 husband stay Paris November 2009 nice mini vacation . trip book quite thrilled go stay Paris virtual tour make room look beautiful . dissapointment room great . seem old weather . view horrible . could see parking garage roof hotel . ask could change well view tell room available time . bathroom not clean either . say concierge desk amaze helpful question activity . staff great well ... friendly . lobby casino really beautiful ! romantic feel really walk street Paris . location strip perfect ! right middle easy walk distance see everything . view Eiffle Tower amazing night ! would say vacation turn great would stay Paris ever make Vegas ! 
 Location location location 	 say , Paris outstanding location , right center Strip . combine frequent rate deal excellent Vegas homebase . Access Bally 's monorail station ( beware , go though Bally 's get , man long schlep ! ) regular shuttle Rio keep hook many property . for & quot ; theme & quot ; Strip hotel 's human - manageable size apart Eiffel Tower replica contain extravagant attraction other seem favor ( zoo , garden , water attraction , ride ) use hotel , per se , definitely middle - of - the - road property . ( Part Harrah 's group ) . high - floor room get renovate / redecorate sell & quot ; upgrade & quot ; & quot ; Red Rooms & quot ; & quot ; , high price . ( premium actual Strip view ) Comfortable well appoint bathroom quite get attention would expect -- non - adjustable , cheap - look showerhead , separate tub small . person could well serve base room care nothing decor view . one hint give : unless intention pig , many senible people opt buffet -- pricey long line -- instead hit one standalone dining site resort . 
 Nov 14 2009 	 Fun Informal Gambling 	 second trip Vegas , stay Luxor . two much preferred Paris , room service notch well . atmosphere hotel & amp ; casino floor informal casino ' ve make well occasion . also enjoy 2 1 martini offer ! great evening ( break even table ) good meal burger / sport bar room comfortable & amp ; quiet place relax & amp ; recover . breakfast next morning however disappointment - price & amp ; flavour unusual service standard . when go back Vegas stay . 
 Nov 12 2009 	 Excelent Quality 	 good hotel ever . excelent room , free parking . thing not like wi - fi free . btw , quality room outstanding 
 Nov 11 2009 	 disappointing - great location enough people want full fun Vegas experience 	 go Vegas recently 5 night , husband group 8 friend ( mixture couple single age late 20 's early 30 's ) . Vegas number time stay Luxor , Wynn , Excalibur friend New York New York Encore . trip want stay somewhere centre strip within walk distance shop etc visit Paris last trip love . ( girl trip guy ) draw beautiful chandiller ceiling within lobby casino tell breakfast buffet amazingWe book trip get good deal ebooker . want trip Vegas fun 5 day , enjoy nightlife , drinking , eat , sit pool , shopping , buffet , husband like play table . check fast problem , staff friendly nothing special , do not go way make feel special like hotel . room Paris ok decor old ok . bit dark dingy , bathroom nice . casino do not seem much athmosphere , like vibrant feel lot go , people seem little old lack Vegas fun feeling . Haloween much party effort make many people dress ( well like we anyway ) play slot hour seem 2 people casino serve drink , wait hour atelast one drink woman come round rude . buffet also disappointing although lot sweet pastry etc much choice other . pool basic sell food go get sandwhich - do not understand big hotel , surely could got bread fill another part hotel ! end spend time Ballys want stay local well atmosphere . still amazing trip can not Vegas . friend stay Encore go visit like another league price pay much . meet actually upgrade suite Paris realise difference room mean , suite lovely make difference much bed comfy . think fact stay hotel make we disappoint Paris , may think first stay Vegas . my advise anyone young want enjoy nightlife scream Vegas stay Paris ! beautiful hotel visit want relax experience , definately go lunch look round . do not think hotel problem be not right we . review really positive part reason book want make people aware everyone . lookig fun hotel Luxor betternext time look fun hotel Paris location can not fault ! 
 Nov 10 2009 	 Great Location Great Stay ! 	 2nd time Vegas . fiance planning make Vegas yearly trip we . last year stay Harrah be walk every casino strip know Paris next destination ! complaint reserving room indicate would check around 10 pm . flight delay get Paris around 10:45pm . checking find still clean room ' ready around 11:30pm . grab drink bar wait go back pick room key . go pick key politely ask anything could compensate we inconvenience room ready ( credit , meal voucher etc ) . say rudely could ask manager assure nothing would we . not one happen first go check insist room king bed non - smoking . word never come mouth however indicate online reservation . proceed say could give we double bed smoking room want accommodate we . ask point reservation request not want follow . ask manager come back 10 minute later even big attitude say busy could check back tomorrow want speak . stay amazing . room nice clean daily , little surprised tv ' room update flat screen . casino well keep staff friendly . eat dinner Eiffel Tower restaurant great view romantic atmosphere , food delicious . able lay pool morning afternoon . friend also come along stay Bally ' . good thing walkway two hotel connect . make convenient go back forth . fall sport bet sport center greatest . tv 's outdate really space bet horse race , be really lounge hang watch game . happy Paris would consider stay . 
 Nov 8 2009 	 great value comfortable room excellent location . 	 second time Vegas , first time stay Strip . chose hotel advice friend 's get experience , great choice . Red Room Luxury room large , comfortable , colorful . hope . wife comfortable - probably much might fancier hotel would ' ve get amount money . choose upgrade $ 50 night room would ' ve view Strip , decide much . regret would well view Bellagio fountain show - one big well free attraction Vegas , think . overall hotel clean , excessively smoky ( area smoke ) , decent variety food option . tell Stratosphere well view Strip Eiffel Tower , go tower ( free coupon get hotel ) , disagree - view Eiffel Tower ( half tall original ) great ! buffet ( Le Village ) good - key tip : pay extra $ 5 jump line via Express Lane . lucke - miss sign first get line , see go take picture long line . save maybe hour half way . yeah - line joke . huge Pina Colada plastic Eiffel Towers fun , careful ! 3 - 4 Pina Coladas ' worth sugar ( brain freeze ) take toll ! middle strip great . could walk shop Venetian Caesar 's , cab Mandalay Bay easily , walk right across street see & quot ; & quot ; Bellagio ( fabulous ) . another key attribute Paris - 's nearly vast property Strip ( Bellagio , Caesar 's , MGM Grand , Venetian ) , will not take 20 minute walk room front door . walk hotel not like trude swamp , course , ' ve walk mile go around Stirp already , be nice able get room fast be back home base . not go Eiffel Tower restaurant , hear ' ve get great souffle . 
 Nov 5 2009 	 Paris romantic nice hotel 	 stay Paris Las Vegas October 28 - Nov 1 , 2009 . lovely romantic . food restaurant delicious . little pricey , high . lovely restaurant take elevator upstairs overlook fountain Bellagio another one eat outside porch Las Vegas strip . Paris Las Vegas hotel make like movie set Paris , France ceiling paint light blue white cloud like daytime sky . 's beautiful great romantic stay . arrive We d 10:15PM wait time check . check front desk Mon 10:45AM wait time . ' ve read review people wait , guess come good time . go Eiffel Tower $ 10 per person take picture . want internet room , $ 15 per day . want refrigerator , also $ 15 per day . mini bar room refrigerate small amount space food leave - over restaurant . charge mini bar unless take something . ad , think room whirlpool bathtub , not . tub separate shower , tub whirlpool . whirlpool tub $ 50 per day upcharge , not get one . Paris centrally locate strip ( across Bellagio ) , bonus much walk Las Vegas . Paris little fancy pricier Bally 's , Harrah 's Imperial Palace , be pricey Venetian Bellagio . stay 5 night Paris 1 night Imperial Palace . Imperial Palace fancy , be basic . tv picture fuzzy Imperial Palace plastic glass . champagne taste beer budget , Paris suit . pay $ 470 5 night Paris tax . would stay 's nice , clean pretty expensive Bellagio Venetian . nothing wrong stay cheap hotel Vegas 's afford , afford Paris Las Vegas , recommend . afford cheap hotel , would stay Bally 's , Harrah 's Imperial Palace . would not stay Hooter 's casino ugly far away center strip . also would not stay Circus Circus Stratosphere far center strip . stay Hooters , Circus Circus Stratosphere , spend much taxi fare opinion . usually try stay toward center strip convenience sake . Paris nice hotel would stay . highly recommend & quot ; & quot ; Watershow Bellagio . also , make sure suitcase not weigh 50 lbs get overweight bag fee fly . carry - on bag limit 40 lbs certain size liquid limitation . bring tennis shoe walk , walk , walk . print return boarding pass business traveler 's center Paris . pay $ 3.50 per person boarding pass one layover way home . 
 Nov 4 2009 	 Paris beautiful hotel 	 stay 5 night Paris hotel Las Vegas past July . 1st trip Vegas husband & amp ; . really love stay . Paris hotel quite beautiful . loved high paint ceiling casino . room nice . view not great , not care . housekeeping immaculate ( least floor ) particular . buffet breakfast really good . really like half - price martini bar every night casino . location hotel perfect . right middle strip . take free shuttle & amp ; go Rio hotel one night . lot fun also . highly reccommend Paris , Las Vegas hotel . 
 Nov 4 2009 	 rate 	 experience poor check check . suppose luxury hotel far luxurious . food price blah . $ 4 bottle ice tea ..... highway robber . need learn customer service , room maintenance basic hotel skill 
 Nov 4 2009 	 Nice hotel great location ! 	 have stay Paris twice like time ! room not anything brag overall clean nice . pool great . location Paris perfect , middle everything ! would stay Paris . 
 Nov 4 2009 	 BED BUGS 	 Checkin sep609 7 pm celebrate 40th birthday . woke sep0709 itch become bad day progress develop red rash . decide seek medical atten sep0809.The clinic recommend hotel want charge appx . usd350.00 pp . we speak pharmacist locate clinic adve looe like bedbug bite . return hotel adve request assistance medical bill . they refuse decide change room ' it would make we feel well & quot ; .We seek medical assistance even though train EMT hotel send room also say look like possible begbug bite . we decie deptart las sep0909 terrible pain itch embarresment scratch public . the hotel decide still bill we entire stay . the lack assistance help lack customer service appalling . 
 Nov 3 2009 	 amazing ! 	 first trip Las Vegas . glad choose Paris ! service excellent , cleanliness room impeccable . ambiance casino one well see . staff courteous helpful . plenty eatery available inside hotel / casino . food excellent . registration easy close elevator . great , worry , experience . also get great pic download yet . pool clean & amp ; nice ; however , water heat , little cold & amp ; unexpected . great view right strip & amp ; could see Bellagio fountain light eiffel tower every night . 
 Oct 31 2009 	 beautiful hotel flaw 	 arrival Paris 15 hour flight UK ( 20.30 ) service check leave alot desire ! small queue arrive not expect one person behind desk totally disregard wait people instead open another desk serve ' platinum customer ' ! eventually check 30 minute without much apology kept we wait . however .. room large clean , bed extremely comfortable noise room outside . peaceful ! amenity hotel vary although small popular hotel strip enough variation suit taste . a visit Eiffel restaurant well worth fantastic view neon Strip butalso romantic ambience . one disappointing experience last night . go drink Le Central ( lobby bar ) husband ( age 36 ) ask I.D , something become use States . produce drive licence tell inadaquate passport would suffice ! ! appal leave , walk less 100 yard serve drink Gustav bar without second thought ! perhaps hotel need get ridiculous inconsistency sort out . on whole would recommend hotel due fantastic location Strip overall asthetic hotel . 
 Oct 30 2009 	 great location beautiful hotel 	 pro : - nice room bathrooms- hotel room mostly clean ( find garbage behind minibar ) - Location excellent- Hotel interior exterior lovely- good buffetcon : - casino bit pricy beginners- much night hotel except gamblingconclusion : will not disappoint 
 Oct 29 2009 	 Great Hotel fantastic service rate ! ! 	 pick airport take promptly back hotel ! extremely fast check room clean ready every day ! room large nice sitting area . bathroom fantastic every amenity upgrade imaginable ! ! 's great location strip easy get hotel casino . pool area large plenty seat fast service ! disadvantage place room look side Ballys . 
 Oct 28 2009 	 great place stay ! 	 location hotel fabulous ! great place stay , especially first trip Vegas . since Paris centrally locate walk almost anything strip , choose take cab fare rarely $ 8 . room pretty standard hotel room , nothing fancy , probably exceed expectation price pay . clean ! really enjoy theme decor hotel even little kitschy ( vegas , expect ? ! ) . remind real Paris , France , cute nonetheless . not miss creperie stay , great breakfast ! casino great table game , be serious gambler , may want consider stay another casino . overall complaint would defintely recommne Paris . 
 Oct 28 2009 	 Beautiful Rooms Bad Service 	 really love room . decide upgrade room last night almost regret hassle . everything take care , lose half day . room absolutely beautiful incredibly well furnished . bed plush comfortable . stay Paris hotel , request strip view , be absolutely worth . be really hungry go buffet . want snack , eat crepe . delicious . Skip Eiffel tower go Stratosphere . 's roomy nearly long wait . 
 Oct 27 2009 	 Au revoir Paris Hotel ! will not miss much ... 	 wife travel Vegas first time long business weekend stay Paris hotel four day . originally suppose stay Wynn , arrangement make corporate folk probably not know difference Hotel / Casinos strip ... big mistake . hotel , like many other strip , take theme & quot ; classical french decor & quot ; turn horrible parody . everything place gauche . check marred fact King bed available , despite request week early . indifferent shoulder shrug consolation inconvenience . check folk clearly immerse role annoy french local not break character entire stay . amazing ! room par fine 2 star hotel rural Arkansas .... dirty , small , poorly furnish dim . bed absolute joke awful linen , mattress rival pullout couch home , pillow smell oddly like egg . shower water pressure like 80 year male end stage prostate enlargement . coffee machine , electronic amenity circa 1986 .... old TV keep switch every 20 minute reason , limited station , Wifi ? Mais non , nothing remotely business worthy hotel suppose cater conventioneer business person ! room service take hour simple breakfast order think see plate lie hallway two day collect dingy carpet . mention carpet look like floral paisly throw ? Mmmm , place keep get french every minute ! restaurant visit Mon Ami Gabi , actually good ! eat outside patio great view Bellagio , invariably want stay place leave stain . otherwise food drink predictably overprice , cocktail incredibly weak .... much casino visit . Stick beer wine will fine . much gambler , can not really comment experience ... suffice say smoker , like walk around place . Paris ventilate like hermetically seal tupperware .... even occasional smoker like , eye lung burn like rage UTI weekend . , mean thing place go location . centrally locate along strip , spend time hotel casino far surpass Paris experience . course , would meant pay bit , place absolute joke . travel experience whatsoever , will know Howard Johnson cheap & quot ; French - like & quot ; amenity , substandard cleanliness spotty servicefrom see , would really recommend Venetian , Bellagio , Wynn . stay away horrible excuse & quot ; french experience . & quot ; least Paris , France , would overprice room lousy service .... Vegas . 
 Oct 26 2009 	 sophisticated 	 3rd 4th night 6 day trip . I stay Las Vegas Bellagio disapointe time choose Paris reputation location . at check offer upgrade Suite $ 70.00 okay we . suite couse spacious . tv stand lonely middle room bettween bed 's sit area . look definitely odd , think could better small side board . however room 's business area , desk printer fax . get fax direct phone number room . use pretty cool . want 's fax print even work computer Vegas ? ? ? ? anyway carpet & quot ; big & quot ; spot would pay full price would complaint would upset . 2 bathroom . one shower one jacuzzi . elegant , clean pretty . the staff extraordinary friendly . never nice person check 's Vegas . Ususally stress focus fact . really feel care . breakfast buffet also great ! would stay 
 Oct 26 2009 	 well bad either 	 choose paris hotel get great deal stay hotel . basic room . room clean really old feel . think hotels paris look like anyways . not impress previously stay venetian like modern look . room clean bathroom well . clean room daily , clean lady notice really like lotion leave extra . nothing steal bag ( happen hotel ) . ok room stay paris would upgrade red room one well room . casino spectacular . dealer friendly always smile face ( even one win ) . atmosphere lay back really liekd . do not try restaurant look ok . would highly reccomend lunch buffet bellagio , excellent really great value . pool be not good ... overcrowd big . location excellent , middle everything . nightclub lounge open time , go bellagio caesar 's night . love vegas always go back gamble paris stay room category stay . venetian suit . 
 Oct 25 2009 	 fantasitic location fantastic hotel ! 	 travel Las Vegas one week October . choose Paris trip advisor comment cetainly not disapointe . location fantastic right centre strip . hotel beautiful clean . good size room spotlessly clean . quiet never hear noise . pool lovely begin October still hot enough swim . not really eat Paris want venture ito hotel . check fast staff cutious helpful . not party hotel good couple still plenty atmosphere . I would recomednd October good time go weather right . get taxi hotel actually work nearlly cheap shuttle much easy . cost $ 14.the mirage hotel Belligio hotel excellent buffet breakfast price $ 15 . eat 10 am morning never need lunch . we find drink expensive price $ 6 bottle beer . however hotel happy hour 5 - 7pm . we go see lion King Mandalay Bay hotel fantastic would highly recomend it . we meal top world revolve resturant startosphere hotel . spectacular . view something never forget food lovely quite pricey . also helicopter tour Heli USA book lastminute.com leave cost £ 157 . include tranfers airport , helicopter flight Lake Mead , Hoover Damm Grand Canyon . land wew take cowboy ranch horse carraige breakfast , look around , gun fighter battle demo option horse ride extra $ 39 . not go Montana already arrange horse ride . go back helicopter , expreince moe breathtaking view fly Vegas strip . highlight trip . pilot informative put right ease ( nervous flyer ) , however love every minute . also go Coyotte Ugly bar like film , know one girl dance bar , nothing good old fashioned rock music beer whiskey . locate New York New York hotel brilliant . fantastic night roll 4 am . get free husband pay $ 5.we also go search Elvis Arama close Vegas museum bit disapointe . also take duece ( bus service 24hr tavel stip $ 7 , good value money ) Freemont street overly impressed . 
 Oct 24 2009 	 would not spend Money 	 complete 4 - night stay part convention . reserve king non - smoking room . arrive around 10 p.m. Saturday night . tell not King room , give non - smoking room . know thing go well approach room . hole kick wall least three place whole floor seem kind shabby . room non - smoking , believe non - smoking mean & quot ; one smoke room last 20 minute . & quot ; Complained , tell room available . this room along line 2.5 star room . thin towel , old furniture , coffee maker , smallish . certainly worth pay $ 50 per night . refrigerator , stock overpriced booze munchie set automatically charge move anything . after complain next day , upgrade mini - suite remainder stay . well , still great . room quite large sofa , chair wet bar usable refrigerator . separate corridor lead one end large walk - in closet light make - up table . end oversize bathroom separate shower jaccuzzi bath separate toilet room . time , in - room coffee set - up . carpeting room tired . room still thin towel , bathrobe , neither room 21st century tv.there serious nickle - and - diming . want use gym ( average , nothing great ) , $ 25 per person , per day . want internet access , another $ 15 daily gouge . have room service twice . overprice , decent . expect 1.5 hour delay breakfast unless order night . breakfast buffet downstairs , however , great value $ 15 per head . vast selection , include omelet , crepe belgian waffle station . eat twice . eat steakhouse . , overpriced get . far well steakhouse town . also meal burger - orient sport bar , fairly price great service happy , friendly server . one major disappointment Louis Cafe , wife ignore half hour , probably high point dining experience . thereafter treat shabby service , cold food , watery drink . tip , write check , & quot ; AWFUL DINING experience ! & quot ; Hope get message . all - in - all , Paris poor choice convention hotel . judge point view casino hotel , OK . see , far well hotel money Las Vegas . would return dime would probably stay elsewhere even business meeting / convention venue . 
 Oct 24 2009 	 Glad choose hotel ... good value true Vegas experience 	 think Paris Las Vegas hotel good choice us - hotel right Strip , near many impressive attraction impact ambience full - on Vegas experience . glad choose . room could little big well furnish equip comfy enough rest experience good indeed . expect long wait check concierge service ... say , sure would different elsewhere . , good choice . 
 Oct 23 2009 	 place self contain never leave ! 	 go Las Vegas celebrate husband 's birthday . meet friend Harrah 's member want stay Harrah 's property . recommend Paris , stay . standard room large adequate need , bed comfortable , bathroom nice . view back strip , parking lot basically . friend red room much different , get well view , Bill 's Saloon . ' m glad not shell upgrade . line check seem long . lot restaurant hotel eat . hotel even connect Bally 's sort & quot ; mall & quot ; . Eiffel Tower restaurant favorite not take Harrah 's reward point disappointing . breakfast couple time hotel , good expensive get . restaurant always seem crowded always difficult get table ... unless diamond player . even line buffet always seem long . order room service instead reasonably price quick . the casino fun , love free cocktail ! disappoint unable find $ 5 crap table , oh well , maybe next time . catch show , though none hotel . would great place Cirque Du Soleil show , French . 
