crack 	 stay 2 night Chiswick Moran attend friend wed Kew Gardens soooo glad . crack hotel , central London would far expensive . book Room 425 lovely spacious room , albeit set disabled guest - although mean spacious . carpet lovely room modern well design . 400 m away Gunnersby Tube station ideal visit Kew Gardens half hour away Hampton Court - it ideal need . bar lively stay ( Fri Sat ) DJ playing give great atmosphere crack bar staff boot ! breakfast first morning ( severly hungover day 2 ! ) good 7/8 10 - its help style buffet bake bean : ( . lovely evening meal first night select set menu around £ 17 2 course good value food . 
 Jul 23 2009 	 rough edge 	 check 9 hour flight US . checkin , not inform hot water boiler break . waste gallon water futilely wait hot water come , call front desk tell hot water repairman work . next day , whenever enquire , tell would hot water soon . never happen . finally speak manager front desk form recompense hot water . informed would give 20 % discount checkout . during whole stay , 26/6/09 28/6/09 , hot water . check , front desk refuse give discount say pay full write management would consider whether give discount . manager make representation around request see manager duty . wait 15 minute , lady front desk come back confer back office tell would give discount . understand hotel problem time time not like fact try go back representation stroppy would give discount . hotel not make effort keep guest informed development lack thereof . the room quite nice clean . unfortunately free wifi available lobby . bar next lobby get loud evening . Saturday night rudely awake drunk reveller hallway shout . breakfast ( include package ) pretty substantial staff restaurant nice . 
 Jul 21 2009 	 Great Hotel Peaceful Location 	 stay three night attend family wedding Kew Gardens . upon arrival upgrade executive room ( wedding booking ) , breakfast include reasonable 89 pound rate . room large , exceptionally clean , modern , come necessary convenience . bathroom separate shower huge soak tub lovely tile . really enjoy Chiswick , hotel short walk shopping / restaurant long walk / short bus ride kew Green direction . live North London past always stay central hotel , find much well alternative . location much quieter great value money , three minute walk Gunnersbury District Line Overground centre quickly . hotel staff always extremely friendly , restaurant staff especially make we feel welcome . breakfast buffet weekend , la carte menu weekday , food adequate . also , front desk give password two hour free wireless lobby restaurant . really enjoy stay recommend hotel without hesitation be visit London . 
 Jul 15 2009 	 Fantastic 	 staff friendly helpful room amazing breakfast offer wide range cold meat , pastry cereal continental also offer hot buffet . stay 2 night gather room would also clean every day ! 
 Jul 14 2009 	 shame 	 beautifully furnish hotel . much like . ...... encounter problem hotel likely experience poor approach customer service . actually confirm company approach customer service rotten core , speak various level management hotel , I ve actually write owner ( 7 day email I ve still response ) .I definitely understand people would stay . aware stay hotel look great , be not interested feedback customer . actually mean do not really care customer service . take defensive approach problem , even performance inadequate . when first stay hotel year ago top 20 hotel London Tripadvisor . write 98th . do not take genius work head wrong direction . I would love hotel well run , much luxurious . owner manager dedicate provide great customer service would fantastic hotel . this last stay hotel 
 Jul 14 2009 	 friendlyeasy findgood location smart 	 Hotel easy find , staff friendly & amp ; helpful . room nice clean . location excellent go Wimbledon . restaurant little expensive side expect London ! would use hotel . 
 Jul 5 2009 	 try hotel 	 overnight stay impressed every aspect fine hotel . especially warm friendly staff . make feel welcome unlike lot hotel London staff act like favour let stay ! room spacious comfortable . would every confidence recommend hotel anyone . 
 Jul 5 2009 	 Cool room 	 last minute stay surprise , look fairly ordinary business hotel outside , interior quite different . stylised room , fab bathroom . extensive breakfast menu . 
 Jun 22 2009 	 Great Hotel Impressed . 	 impressed hotel . room everything really need chic retro look clean . bed incredibly comfortable room view ( 6th floor , north face wembley stadium distance ) bathroom modern , clean well lay . also safe , iron board tea coffee make facility . gripe room could not quite work air conditioning , can not open window . staff helpful confortable bar downstairs London pub . do not use restaurant evening meal , continental breakfast basic could pay extra cook breakfast be not include staying cost . location be not central London ( zone 3 , careful buying tube ticket ) however like location , turn leave hotel 20 minute walk get load great restaurant , shop pub ( also last zone 2 tube station , Turnham Green district line ) get tube central London 20 minute chiswick much quieter . feel confortable walk night lot bus . 
 Jun 9 2009 	 ideal home home whilst visit kew Gardens 	 travel North hotel easy find 7mls M1 . hotel within walk distance Kew Gardens Chiswick High Street river Thames path . room comfortable tastefully decorate Kingsize bed clean date bathroom . irish buffet breakfast excellent staff friendly helpful downside pay car parking ( seem secure ) although think could norm London would recommend hotel . 
 May 31 2009 	 modern good hotel 	 wife stay Chiswick 4 night . good location Tube station Gunnersbury 5 minute walk away . quite district / location although minute away central London . modern deco room good view overlook surround scenery . clean . Breakfast delicious . really enjoy stay . definitely come stay visit London . 
 may 27 2009 	 impressed ! 	 husband stay leisure . live Las Vegas come accross fine hotel . comparison , impressed hotel . staff helpful friendly ! room bathroom spacious clean . restaurant like fine dining food delicious & amp ; plentiful ! location perfect nice area away hustle bustle city , near Tube ( Gunnersbury Station ) . thing would recommend hotel get pillowtop mattress . , would definately stay ! 
 May 20 2009 	 good business hotel - would not want stay leisure weekend 	 spend long , long time hotel train new company 's absolutely fine business hotel . the room fine , slightly nice other ( like shape size corner room - make sure ask one separate shower bath ) staff friendly , would avoid restaurant . be over - price 's much nice food available little Chiswick High Road . all , fine place particularly handy be work Chiswick Park , around corner . 
 May 6 2009 	 Cup Tea ! 	 husband stay one night business trip . check go bar order food - restaurant deserted customer 9.30pm . order food arrive quickly , warm suspect sit around . husband awake 5.00am feel well . hotel would describe modern 70 's , really choice decor , convenient purpose , sure would appeal many other . bedroom suite , lot room , 2 bedroom large bathroom bath separate shower . shower make awful noise particularly pleasant experience . turn air conditioning sleep , find window could open room bit stuffy . would reccomend coffee room , incredibly strong . book special deal night , ask bottle champagne next morning arrive . apology though hotel give we £ 20 parking fee complimentary . meeting next day tell hotel good reputation service would reccomended eating ! 
 Apr 27 2009 	 surprisingly stylish room 	 stay one night purely account fact attend event locally . price pay happy stylish room pleasantly surprise size / décor / facility . check - in check - out quick staff courteous . ' ask anything ' comment local knowledge efficiency , eat hotel . Chiswick tourist centre , visit London might find hotel ' location somewhat remote . however , well - connect tube / railway station approximately 2 10 minute ' walk respectively probably offer would get price close central London . 
 Apr 26 2009 	 sure fuss ? 	 really can not get head around people get excited hotel . want cheap hotel outside central London fine sure could bad place . yes room clean bed comfortable that s end . food dreadful , service indifferent good room look like style Austin Powers . avoid irish breakfast cost , fact would say favour grab breakfast one cafés 5 minute road fraction price quadraple quality . the hotel slightly well holiday inn , . not book place thinking get sort bargain see & quot ; funky & quot ; pic website let . many hotel London have good look around booking unless stay Chiswick area . 
 Apr 17 2009 	 Disappointed frustrating 	 stay Moran Chiswick second time easter . however , find frustrating disappointing experience ! book junior suite especially request quiet room . room allocate lovely big room , exactly photo noisy main road alot window . lack sleep ask move next morning back hotel , even mean standard room . imagine dismay return evening find relocate two door original room , small noisy room front overpowering smell bleach ! ! ask move show small smoking room first floor , seem noisy . refuse give small smoking room seventh floor toilet , shower bath room ! ! overall disappointing avoid spending time room . 
 Mar 5 2009 	 Excellent room 	 need stay night Moran flat work do disappoint ! although hotel cheap , room large ultra modern . bed big well make bathroom clean nicely do . honestly , one nice hotel room , ! bar downstairs also nice need stay Chiswick excellent option . 
 Mar 4 2009 	 Loved ! 	 book hotel valentine day weekend , arrive saturday leave monday morning , please everythimg place . arrive shortly 4 pm , check easy friendly french receptionist make we feel welcome , allocate room first floor .. smoking room request . the room right next hotel gym , seem people realise one , partner extremely pleased private work room make full use ! 2 morning 10 am ! room spotless fall love bathroom , sure necassary huge shower double end bath make good use nice touch , numerous different light setting , huge bed simple yet modern decor . I must say partner slightly annoying , whole duration stay order less 5 ice bucket ( mini fridge ) several bottle wine , call room service friendly polite . housekeeping OVERLY keen tidy room call around 3 time could actual clean , finally leave room return first arrive ( new sheet ) .parke fine back entrance hotel could walk straight car park lift , PLUS manage get away without pay anything ! TIP .. do not pay , will never know : - ) do not experience globe bar restaurant seem lovely . the hotel quiet staff leave alone unless u approach , exactly want valentine weekend perfect . would definetly go ! hotel like central london would double price ! 
 Mar 3 2009 	 good location 	 lovely hotel excelent location get central London . find staff friendly helpful . Liked decor food good . round good would recommend friend . 
 Feb 21 2009 	 total lack customer service 	 stay 3 night overall find hotel good . the big let wastheservice hotel . seem completly indifferent customersWe enquire get wimbledon tennis club show tube map askedif could look computer see tour time tell none available onlysocket laptop , noone offer check we leave standing desk poor . also check ask enjoy stay , everything ok etc handed bill pay ! plus side room lovely nice modern breakfast enjoyableall woud stay feel indifference put 
 Feb 20 2009 	 could good stealing ... 	 could good experience we not steal t - shirt ! ' ve move another room forgot t - shirt pillow . hour later ' ve realize happen ' ve check old room ( still key ) , already clean . t - shirt never find & quot ; lose steal & quot ; say could not track person clean room . incident like tell lot quality hotel . also , breakfast include , turn continental cold stuff , want something hot pay . general , hotel serve purpose we ( wedding church near ) . room big , metro station near .. oh , good part dinner - food amazing ! company ten people every dish great , not expect anything like good hotel ... 
 Feb 16 2009 	 nice ruin one member staff . 	 boyfriend stay hotel Valentines Day . my boyfriend rung Thursday morning ask room rose room valentine present . staff member , name R Duggal , say would . boyfriend call check Friday evening done- not . time late order rose . staff member speak rude unapologetic . consider completely unacceptable . staff member fail carry request , speak rudely beyond unacceptable . moreover , boyfriend not ring check- way would ' ve know rose waiting room . deeply dissapointe hope staff member know much dissapointed boyfriend . overall , enjoy stay- think price good quality hotel . also pay extra pass health club road excellent great value . also please standard food Globe Bar . staff member excellent ' m afraid whole stay tinted dissapointe turn event boyfriend experiene . hope manager make sure staff member reprimand poor service understand fail make boyfriend unhappy . action affect other individual work customer service industry , need understand . 
 Feb 14 2009 	 Cracking hotel ! 	 great hotel want access Central London easily stay away main hustle bustle . the hotel situate 3 min away away Gunnersbury station ideally position hundred yard outside congestion charge zone ! train central London take 15/20mins- find quick change train Hammersmith join underground line . the hotel bright modern easily accessible . check advertised begin 2 pm although able obtain room approx 12:30pm arrive early intend . we allocate room second floor amazed spacious layout . the room brightly decorate keep modern feel hotel . bathroom fantastic size separate bath shower unit . room equip LCD tv ( swivel platform allow move close bed ) , wireless internet access lady , decent hairdryer actually dry hair ! bed huge extremely comfortable ! whilst little noise road opposite guest next door , aware music play loudly bar 12:30am - not something cause concern we may affect early start . breakfast run 07:00 10:30 charge £ 10 full irish breakfast ( cook order ) £ 8.95 continental breakfast . hotel offer onsite car parking detail welcome pack £ 20 24 hour . mention review , reduce £ 10 hotel resident ticket validate check out . all pleasant stay difficult find fault ! definitly stay Chiswick Moran . 
 Jan 22 2009 	 New Years Eve pary Hotel 	 great time Bar / Lounge bring New Year dance floor area , hug kiss guest ! atmosphere hotel classy refine . decor modern warm . staff smile sometimes ! ! ! champaign affordable wine reasonable . run Corona 's ok . washrooms clean , security staff considerate . 
 Dec 29 2008 	 make feel welcome 	 ' stay hotel twice ; right Christmas summer . Chiswick Moran Hotel four star hotel right Gunnersbury tube station . Gunnersbury District line Richmond , take 20 minute get Victoria tube station central London . upon arrival first stay upgrade executive room . room , especially bathroom , spacious light airy . full - size bathtub one side bathroom , shower size tub opposite side bathroom . addition regular hotel room feature , like card bedside table say would bring new book selection bestseller read ' finish . great idea ! bathroom really cool window / light , much keep general design hotel . let add even though hotel place great emphasis design , ' sacrifice comfort . room amenity could wish , except refrigerator free internet access ( think ' tacky hotel make pay internet access ) . even though room face street , could hear noise . second stay tell would upgrade executive room available . adore hotel nice guest . seem want guest well stay possible , well category room available stay , might upgrade . ' good customer service . give one regular room , allow choose color design room go stay . choose blue room , beautiful . bathroom huge size bathroom executive room , waterfall showerhead . remember executive room hair conditioner , sure miss second stay . room small executive room , fresh flower card offer new book ( although ' selection constantly change newspaper magazine lobby take room ) . never less great room . breakfast wonderful . great selection fruit ( get even well second stay ) , bread , pastry , full irish breakfast . weekend ' hot buffet well cold buffet , weekday ’ cold buffet , see cook whatever want , still get selection week . first stay communication problem breakfast staff member ' speak English well . ' happy report member staff improve English considerably half year later . the gym necessary equipment would need keep work routine travel . ' big , ' get one every type cardio machine , ok selection weight . one use gym . room improvement area : staff knowledgeable hotel , surrounding . ' helpful , good look answer folder , think maybe ought take field trip nearby area see restaurant , type food serve , bus leave right outside hotel take , close drugstore close , etc . really wish hotel computer available guest use business center . staff friendly try good help , spell Tower London ' never hear , ' really bother ask help . staff member also take initiative . instance first stay , hotel ' adapter leave , think member staff go boot buy bunch £ 3 adapter lend guest . this seem hotel ' interested satisfied guest . judge improvement notice first second stay , ' sure ' matter week impossible fault hotel . I ' pretty sure good value hotel London . love . ' get lot cool design , yet ' homey cozy , ' well take care . ' already back , ' sure ' back . 
 Dec 28 2008 	 Excellent ! ! 	 husband & amp ; go watch rugby Twickenham stay hotel . convienantly locate , close train station 2 stop away Twickenham rugby stadium . the hotel awesome ! clean room love decor ! ! modern ! ! enjoy fluffy duvet , soft pillow spacious bathroom . , nice room ! staff friendly effecient . Breakfast YUMMY ! ! like hotel minute set foot ! overall , GREAT stay will definately back ! 
 Nov 17 2008 	 great apart one particular member staff 	 upon arrival greet reception staff check wonderfully modern super clean room promptly . follow morning ( Sunday ) make way restaurant politely greet curteous kind young man Eastern European accent , explain us restaurant buffet work show we vacant table . breakfast buffet good quality replenish continuously . thouroughly enjoy breakfast atmosphere breakfast room friendly welcoming , even though busy . I impress hotel amount wonderful courteous staff attend help we . unfortunately wonderful experience come abrupt end minute make aquaintance assistant restaurant manager MarkThis man greet we Monday morning ( 3rd Nov ) ask room number give state : don´t breakfast include ? tell indeed offer go upstairs look email confirmation , charmingly say good GRIEF , sorry , would appropriate start fiddle look like print list room number say good GRIEF yet , waive we breakfast room . then sit shortly man return table menu , tell we indeed continental breakfast include pay warm case want . say ok fine , continental waitress , MARK return yet , say could warm breakfast include . now little confused . what go ? tell , already breakfast previous morning one stop we tell we couldn´t eat , say : don´t worry , go charge yesterdays´breakfast ! ! ! ! ! ! entirely unnecessary leave feel irritated . then MARK tell we entitle contintnental due new rule . little puzzled MARK proceed explain supplier new rule booking make continental breakfast . nice , ` book particular supplier , book Alpharooms , point . waste minute ask numerous time sure book Alpharooms ( somehte TRAVEL ) good GRIEF utter time well.this accomanie rifle list room number roll eye dramatically . by feel far welcome little annoyed make show front guest , look like want steal something entitle , go upstairs return email confirmation , show Mark . he read say Good Grief , rifle list , let stand whilst go make phone call return another look list room number another good GRIEF , say ok could go ahead order warm breakfast . we half do eating , MARK return table stand loom we say : OK check suppose continental ! say furious .... man leave thing alone ! ? want half do eat egg ? ? ? want back ! ? everyone around we snigger enjoy scene . feel like extra FAWLTY towers half expect Basil Fawlty make appearance . I feel anger creep , go make scene , choose get , leave half eat breakfast walk , travel lot ( business well pleasure ) say whole 15 year frequent travel , never feel less welcome one individual . this gentleman redistribute another department , customer contact one duty . travel spare time expect able relax treat respect blood pressure raise . once would like stress , everyone else work absolutely delightful curteous hotel modern , beautifully furnish modern 70´s twist style spotlessly clean . would recommend hotel good friend ? absolutely ..... would advise stay away breakfast room gentleman work . 
 Nov 11 2008 	 Nice Comfy Hotel probably would stay . 	 stay 2 Nights , weekend break November . got great rate alpharoom . hotel really nice , decor comfort . really love big walk - in rain shower bathroom well big 2 person tub . bed possibly one comfiest I ve ever sleep . Gunnersby tube 5 min walk away , journey approx 30 min Central London . find take good day , especially tube run slow . bar nice selection draught beer available would need look , Heineken Carlsberg tap . first place London fail get either tap . Aircon control room bit fiddly get hang , really nice night room get muggy . stay top floor wake night pigoens roof , outside window , request room lower . breakfast ok nothing worth write home . Sunday Morning Buffet Monday Table Service . book full breakfast part book alpharoom , go breakfast first morning tell could continental . explain book hot breakfast , head waiter say problem go enjoy hot breakfast . however go whole process second morning another waiter , make big deal . tip Hotel Cooks / Chefs - lad rasher soft tender hard chewy , obviously hold cabinet something . housekeeping make room , replinishe sugar , coffee milk tray leave dirty cup , ask ? consider still nice hotel , nice area , bit far London like . however comfy bed large bath make . would stay - probably . 
 Nov 2 2008 	 good hotel * Great Location Tube 	 Booked hotel Late Rooms , day arrival London . choose due 's locality M4 & amp ; tube fact Earls Court Line ! easy find hotel correct side road miss ! park car underground hotel carpark ( £ 10 per 24hrs although sign state £ 20 ) proceed check . give room 2nd floor , nice room , black & amp ; turqoise colour ( love ! ) , huge comfortable bed , gorgeous bathroom ! nice rain shower double end bath .. view back end hotel overlook back garden ! light airy room , Carpet bit tatty shaggy pile stain bad ! air conditioning tad noisy turn fine room get hot . after return night take aback load hotel bar .. Friday night blast really tacky early 90 's music , could even hear restaurant . restaurant staff helpful professional . food faultless infact enjoyable meal , apart resound pound bar tune . however , back room could hear music - luckily ! breakfast next day , waiter advise breakfast include price happy pay extra deal do ! opt hot buffet perfect require . hot buffet £ 10 per head cold buffet £ 9 ! get eat fairly early problem although search milk ! staff pleasant helpful ask . check 9 am request leave car pop London . problem we allow leave . spend 8hours City collect car . great ! ! wil return hotel - purely location & amp ; practicality ! ! 
 Oct 20 2008 		 regular weekender London , normally stay Docklands . unable book mid - week , choose Moran one eye review word hotel 's website . I like Chiswick work stay area many year ago ; Moran easy find [ gunnersbury station ; District line ] look good outside reception . check process good , allocate room 6th floor front reeked smoke , whole floor designate smoking area . reception happily re - allocate smoking room [ request book ] rear first floor full height wall 5 foot window , absolutely view , . even glimpse sky . we go concert RAH return 11 pm drink Bar , music deafen [ see review ] - bad thing tell wife see mouse run across floor , accuse & quot ; one many & quot ; - first drink . anyway , watch we see mouse , mouse , happliy scurry fro across bar floor . wonder cleanliness like elsewhere establishment . anyway , room . ring downstairs ask Hospitality Tray replenish - & quot ; problem & quot ; say Receptionist ACTION 45 min later go bed . only awoken 6 am loud music eventually trace public seating area inside front door hotel clearly hear Room 129 . - one chore morning man shave ! great shaver socket hunt begin . will not bore detail , suffice say - not one . I ring Reception ask shaver socket male know expect find one modern hotel room . receptionist refer someone else reply & quot ; 's room & quot ; - little grumpy time ask & quot ; precisely & quot ; reference someone else bring reply & quot ; bring adaptor & quot ; . do . now may room hotel without view without shaver socket - suggest take adaptor stay Moran . unless not shave . breakfast ok - although seated could see preparation area entrance kitchen . but , enough Moran . it may fine , . 
 Oct 10 2008 	 ok 	 stay hotel 4 night . nice clean nothing exceptional , would call 4 - star . spoil american hotel , find room bit small . Breakfast ( include rate ) also ok , nothing really talk . chiswick quite distance Central London . subway station close , direct line downtown . take probably 35 - 40 minute subway get main London attraction . service bar evening uneven . somtime fine , sometimes good . 
 Sep 30 2008 	 could Better 	 attend conference Chiswick book 4 night hotel upon recommendation conference organizer . typical tiny London hotel room . big bed , modern design , nice duvet cover , flat screen tv , cool bar , good restaurant dinner . be also close tube . one flipside , number frustrating thing hotel . book internet site complete pain . get good rate multi - night stay , literally book 3 separate reservation . also , & quot ; free & quot ; wireless access room work . finally , stain thick shag carpet room . pillow hard . movie demand work . bad thing cool - look bar downstairs create unbelievable amount noise . management allow keep base music pump 1 am Friday Saturday night . call ask could turn , say . unacceptable far ' m concerned . primary reason people book hotel room place sleep . overall summary : nice put annoyance . not expect good service , know be get . could well . 
 Sep 12 2008 	 great hotel great location 	 stay hotel Saturday night . the hotel well maintain room face front nice clean . price also reasonable breakfast delight quality service . wish girl work breakfast shift working dinner shift Saturday night . the two bloke seem get everything wrong start , water order never arrive put bill , side order chip arrive 10 min main course undercooke do rush list go on . I would definitely stay hotel hope sort wait staff Hotel would 5 5 . 
 Sep 6 2008 	 good 	 Excellent family room ( good ' ve find London hotel ) , overall high quality establishment . breakfast good ( buffet Sunday , table service Monday ) , hotel well locate bus , tube taxis . tiny quibble - shaving mirror ( excellent bathroom ) locate angle washbasin - end crick neck ! ! ! 
 Sep 1 2008 	 absolutely brilliant 	 stay hotel rem Twickenham . price pay value money . everything place fantastic , moment walk room pleasantly surprised . staff friendly breakfast lovely . mam allergic certain food plenty food choose . would totally recommend . 
 Aug 12 2008 	 Brillant ! ! ! 	 stay Calcitta Cup Twickenam . england team staying get load autograph ! ! ! room spaceous clean . Breakfast FAB ! ( RRP £ 15.99 ! ! ! ) 
 Jul 14 2008 	 Gorgeous 	 Moran beautifully decorate , room really plush .. little thing like huge walk shower , tv tilt .... gorgeous mesh green net . accross window ... safe number combination , would definitley stay . room face high road , could plane watch ! breakfast great continental pastry cheese ham , fruit salad cook ( black white pudding ) ... help much . globe bar food .. lovely chicken brie grill sandwhich come tortilla chip salad . side .. shaver point despite tell evey room one desk side hair drier , receptionsit even come could not find left adaptor free charge , normally £ 10.00 deposit . car parking secure £ 10.00 resident get ticket validate exit .. free , meal Napa restaurant , extend bar . huge choice drink even thing menu like non alcoholic cocktail muster . oh iron board iron .. also biscuit ... evey hotel biscuit . ! Booked Hotel Connect , direct availablity , great use many time . enjoy near Gunnersby tube .. 
