great 	 family suite two double bed separate room queen . spacious nice view Coit Tower , Embarcadero bay . front , settle street noise view worth . one block cable car route block Fisherman 's Wharf . love location . would definately stay can not beat free parking ! 
 Aug 17 2009 	 hide Gem San Francisco 	 fiance stay three night extremely surprised nice Inn . definitely no - frill inn , pool breakfast , location could ideal ! 3 block walk Fisherman 's Wharf , Ghiardelli Square , 1 block world famous lombard street middle everything , yet hotel quiet even though vacancy neighborhood safe even night . one block station f - line light rail street car route , never loss transportation around city . fact , car entire time leave FREE street parking provide hotel . bed comfy room good size large bathroom . for $ 155 night king room , defy anybody find well deal san fran ! 
 Aug 14 2009 	 great no - frill place stay s.f . 	 like full service hotel chatty staffer make restaurant recommendation , etc . , place . be budget - minded family prefer leave alone thing , ideal place stay ! family ( two adult , two teenager ) spend three night Columbus Motor Inn July . reserve two - room suite request refrigerator . room spacious clean , two tv nice touch . even great view Coit Tower . opt purchase Muni pass , instead ride cable car walk everywhere . hotel ideally situate feel safe walk back even night . many good restaurant nearby ( try Pat 's Cafe breakfast L'Osteria del Forno North Beach dinner ) Safeway Trader Joe be within walking distance . not car not take advantage free parking , rent car morning check nice able park load luggage leisure . front desk staff ( really & quot ; lobby & quot ; speak ) bit stoneface , rarely engage anyway . entire stay , rarely see hear guest , even though place full . street sound , be quiet . , terrific place stay $ 210 night ! 
 Aug 13 2009 	 Good Hotel 	 nice big room , 2 bed bath , clean hotelroom , good neighboorhood close fisherman wharff , little italy chinatown . free parking garage hotel . nice staff , breakfast . 
 Aug 12 2009 	 great location poor staff 	 location great - minute walk cable car station little long Fisherman 's Wharf . room well expect , decent amount space balcony . unfortunately , customer service poor . front counter staff bored , indifferent , smarmy simp would soon spit look . ask question prepare get smirk one - word answer . be room 9:45am , forget maid service . 's city information ( magazine , brochure , etc . ) kind - even phone book . in end , 's roof head free parking decent area city - still recommend place , ignore staff ignore , expect nothing , great time . oh , try indian restaurant across street suggest previous review - sure management change , food suck , service terrible - restaurant hotel seem staff zombie forgot smile . 
 Aug 8 2009 	 great motel centre San Francisco 	 stay Columbus Motor Inn 3 night read good review tripadvisor parking free real bonus San Francisco . even without sat - nav , able find motel without problem - locate around 10 minute walk Fishermans Wharf around 20 minute Transamerica Pyramid area . the room large seating area window clean really great view Telegraph Hill Coit tower . ice machine floor useful touch fancy glass wine room . this motel small reception area restaurant exactly want & quot ; fly - drive & quot ; holiday California . the parking area new spacious remain free option Columbus Motor Inn continue highly recommend place stay San Francisco . 
 Aug 7 2009 	 great little hotel centre San Francisco 	 stay hotel check tripadvisor hotel review honestly say hotel ideal family . please room parking include extra bonus . 
 Aug 1 2009 	 luxury brilliant place stay . 	 ask get 2nd floor room rear hotel , recommend previous reviewer . room really big , 2 queen bed sofa , everything could need . always keep spotlessly clean . thoroughly enjoy 6 night would hesitate go back . location perfect walk Fisherman 's Wharf , cable car start around corner 's much well cheap Marriott Hilton , around corner . luxury brilliant place stay . 
 Jul 31 2009 	 Noisy okay 	 wife choose Columbus read Trip Advisor review . book month advance , request room back tell upon check not type request ( 1 king bed ) . ask unfriendly old man desk request response & quot ; book guarantee room , can not promise particular one & quot ; . think pretty ordinary . could tell we book . we stay 2nd floor main road initially worry able sleep like right next Indy 500 . however , traffic less night , airconditioner sleep okay . notice one woman stay room nightclub side . look like not sleep wait change room . bed comfortable , tv good , free apple reception . People mention wonderful staff , particularly Noah . well , two people encounter far friendly , Noah check we not anything special . location excellent . near train station cost less $ 10 taxi . short walk water , past tacky souveni shop . lovely dinner Ghiradelli Square - Bar Marche think big restaurant / bar overlook water - great seafood chowder . one free walk tour near Coit Tower . make sure ring find tour . excellent way see city hear history local . stay away Walgreens Fisherman 's Wharf ; one near station cheap special . first time San Fran since kid ( 1984 ) , great time . would stay Columbus ............ considerably cheap place , yes . 
 Jul 25 2009 	 enjoyable stay San Fransisco - excellent accomodation 	 planning trip Australia Canada stay San Fransisco way back , look map accomodation near Wharf 's . 1st selection Columbus Motor Inn whilst littel bit concerned booking site unseen , need worried . email concern query answer promptly . arrival greet friendly helpful staff . room good bed comfortable . thing not realise fridge room realise get one $ 5 night towards end stay . Pats cafe recommend breakfast good place eat lovely friendly waiter Pat gem . Indian Restaurant across road lovely food although 1st impression good settle meal , great . within walking distance Pier 39 handy get bus right outside want go Chinatown City . thank excellent stay highly recommend accomodation . 
 Jul 20 2009 	 GREAT value LOCATION 	 15 year old daughter , good friend & amp ; stay 7 night . first trip San Francisco research plan entire trip booking . rent car trip Carmel place interest SF area . free PARKING top list . refuse pay $ 40 & amp ; park @ hotel ' m pay guest . location could not well . purchase Citypass also great value . Noah @ front desk could helpful ! restaurant recommendation drive direction wonderful ! make manager ! FELL LOVE SAN FRANCISCO . hope return Columbus Inn soon . ' m afraid word little gem get , might able book room . 
 Jul 19 2009 	 AWESOME 	 please hotel . love cozy , posh atmosphere . daughter trip CA coast . hotel safe , close everything want see . close access Muni go place . gentleman desk helpful highlight map get want go . parking free street . stay . 
 Jul 8 2009 	 great location friendly staff free parking 	 great location -- easy walk distance lot thng easy access public transportation . staff absolutely good -- friendly helpful . Noah Oscar front desk Lina housekeeping -- everyone accessible , happy ready answer question take care need . free parking add bonus area . room large clean . view great . 
 Jul 7 2009 	 Faultless ! 	 Hubby spend 4 day June end 4 week road trip around California . need - massive , clean , comfortable room , great bed , helpful staff convenient location . ask room back perfectly quiet , one thing worry . desk staff great , knowledgeable , patient kind . Oscar on - line flight check - in we , even though take age get onto website . staff friendly helpful nothing trouble . bus stop right outside , cable car- stop one street great indian restaurant road , everything really convenient . decision stay not take lightly , read many review hotel San Franciso , really please great . have doubt stay next time SF ! 
 Jul 6 2009 	 PERFECT location GREAT hotel ! 	 family get back vacation west coast . stay Columbus one night , could not happy ! location IDEAL - well stay Warf much well rate . beat free parking either . couple block & quot ; crookedest street & quot ; Fisherman 's Warf . grab cable car right corner walk two block towards FW grab end / begin line . area perfectly safe never feel nervous walk around evening . one thing note , however , nightclub next door open ( people previously state closed ) . room third floor corner right next club could hear music slightly wall . not think would problem get room face street corner room staying week instead weekend like we . though room right front elevator , never hear peep other stay hotel . the room clean nicer expect ! love layout room ! though not balcony , half wall window open great little table / chair sit watch day go . bed comfortable , bathroom nice size , shower good water pressure . we would certainly stay . staff helpful polite . note : may tempt ask room away road , would not . 're stuck ( 1 ) view face building next door ( 2 ) be stick right next nightclub - certainly quiet street weekend . traffic noise minimal would not bother average sleeper . besides , 's huge interstate highway pass hotel anyway . regular city street . Fisherman 's Warf : touristy location cute little warf might imagine remember day go . certainly take stroll least check sealion basking platform , would not recommend eat unless want something basic . instead , China Town Little Italy close offer much well selection quality food . Cable Car : purchase day pass instead simply one - way round trip ticket . day pass cost couple dollar allow jump want whole day . 
 Jul 5 2009 	 average room Great Location Parking include 	 two highlight inn location parking . close Fisherman 's Wharf within walk distance public transportation , dining , China Town , shopping , grocery downtown . hotel charge extra parking , anywhere $ 20 50 day . room average clean housekeeping good job . front office staff general helpful . open window bring street noise . Pat 's cafe good indian restaurant across street noisy average food poor service . request refrigerator $ 5 / day microwave . consider Trader Joe 's Safeway couple block away , microwave would really useful . 
 Jul 5 2009 	 great location free parking nice room 	 stay two room family suite , two bed one room king size bed . balcony face street nice view Coit Tower . street noise bad . free , safe parking big plus . front desk staff pleasnat helpful direction . also walk Fishermans Wharf feel safe even night . also , one block Chestnut San Francisco Institute Art beautiful mural Diego Rivera enter courtyard leave also roof area offer incredible view city . 
 Jul 4 2009 	 well expect 	 great stay honeymoon . room 302 . street side , great view Coit Tower Alcatraz . not find noisy door close . nicely furnish room , homey light wood furniture . nice little table two chair big tv . room pretty spacious , bathroom sink / counter area bit small . great free wifi parking . irish pub / curry house across street great night cheap beer indian snack . 's great area long avoid Fisherman 's Wharf 's touristy . lot great local restaurant / bar / coffee shop . would definitely stay ! 
 Jul 2 2009 	 Excellent Surprise 	 husband spend three day SF head Monterey Carmel . surprised find room hotel clean , large perfect location . ask third floor , get . balcony see Alcatraz Coit toir . look clean , frill hotel great location , great bet ! ! another thing parking free , rental car place block away . also bike rental North Beach street . highly recommend walk North Beach pasterie coffee morning . Washington Square close well nice watch local artist weekend . 
 Jun 23 2009 	 Great Location - easy drive great view cool staff . 	 beleive many good review Columbus - 's true . simply put , be right Fishermans Wharf 's road easy drive via Golden Gate bridge , parking esay awesome view . 's huge , facility slim ... ' re right CENTRE SAN FRANCISCO ! room actually large , smart clean bathroom usual coffee etc downstairs door away great bohemian coffee lounge , whose name forget . trolley car stop nearby - walk Chinatown Fishermans wharf - 5 minute away . the guy desk young clue - recommend great chinese msg free restaurant far good . 
 Jun 20 2009 	 Goof recommendation 	 look evening arrival SFO follow long flight Florida . leave wine country next morning , need simple - decent , reasonably - price hotel good night 's sleep . ! room immaculate , quiet comfortable . self - parking cover garage include reasonable room rate . hotel excellent location head north city . breakfast Pat 's Cafe around corner departure fine . 
 Jun 13 2009 	 Best Hotel Deal San Francisco 	 stay Columbus several time , every stay good . room large , comfortable clean , large flat screen tv , coffeemaker , iron refrigerator ( $ 5 extra ) . room price reasonable San Francisco , pay $ 155 per night , include free parking cover garage . usually stay one room back hotel , be quieter like open window , front room small balcony well view , noisy street . location perfect , Fisherman 's Wharf , North Beach Chinatown , easy access public transportation , include cable car . many restaurant , bar , sight easy walk distance . all , luxury hotel , nice price fill need perfectly . 
 May 18 2009 	 second visit nice first ! 	 stay Columbus Motor Inn four year ago sister . time , husband , brother wife travel together two - week trip California . book Columbus Motor Inn San Francisco three night stay really glad ! get family suite ( 2 bedroom K / Q ) comfortable four we ( although one bathroom four adult sometimes challenge ! ) disappointment not glorious view would Columbus Avenue room . room face onto back several row house , even though not scenic , quite bit quieter Columbus Avenue side . small refrigerator room request ( $ 5 extra per night ) . would nice hotel provide large refrigerator possibly small microwave part price room , work OK . use free wi - fi quite time look restaurant area . suggestion great day out Columbus Inn - rent Blazing Saddles bike bike across Golden Gate bridge Sausalito take ferry back . thorough enjoy excursion . also eat Pat 's Cafe see several review nice breakfast . favorite restaurant Sotto Mare ( Columbus / Green ) . excellent cioppino feel like dining family . owner staff attentive full left ! ... Columbus Motor Inn provide excellent base camp explore ChinaTown , Fisherman 's Wharf , Coit Tower , cable car , Alcatraz , Lombard Street Little Italy free parking ! thank ! 
 May 9 2009 	 return ! 	 year since stay Columbus Motor Inn . past enjoy stay return visit find Inn good experienced . our room look recently renovate . not remember crown molding , might fail memory . anyway ask room top floor back get . room face wall another building therefore view , not want room face Columbus St. begin . room absolutely traffic noise unusual San Francisco . not even hear siren common s.f.the room comfortable , clean , simply furnish flat screen tv . plenty space put luggage room cramp . the parking free adequate . take car affraid return get parking space . public transportation couple foot lobby . Stockton bus run right front . want tourist thing cable car block away . walk center Little Italy Chinatown within 10 - 15 minute leisurely pace . for $ 102 night one big bargain San Francisco . 
 may 8 2009 	 unbeatable location 	 stay next trip . San Francisco many occassion first time find decent hotel free parking reasonable rate anywhere remotely nearly location . the good - one block cable car , couple block Fishermans ' Wharf , muni door step , cycling shop next door , great indian food road amenity stone throw . place clean , staff always willing helpful . bad - ( 1 ) air con room , might problem hot night ( 2 ) fridge . oh , neighbouring property call & quot ; Bimbos & quot ; might think , even though room overlook , noise nothing street level cause we concern . this place credit owner & amp ; staff . 
 Apr 28 2009 	 Great Easter weekend stay - fridge would nice 	 stay 4 night Easter . family suite ? ? separate bedroom another room 2 double bed - load space family 4 . place clean unbelievable location . place hidden gem free PARKING ! love stay here . the complaint fridge would nice family suite computer terminal lobby guest access internet . 2 week road trip California majorty motel inn free internet access lobby . the price great would recommend place anyone . 
 Apr 26 2009 	 great Stay - WiFi problem 	 hotel ( 2ad , 2 ch ) two night stay california trip . hotel excellent , safe , quiet , good location , free parking . Room King - Queen 2 separate room one bathroom . pleasant walk Fisherman Warf , Alcatraz cruise . Pat ' café good crepe small . problem WiFi could work wm6 phone ( Samsung Omnia ) , since initial page accept term could display neither IE Opera browser . reception idea helpdesk ISP say do not support window - mobile . fortunately room reception another free wifi use problem . 
 Apr 25 2009 	 great stay 	 could believe nice room price , king bed another bedroom kid double flat screen tv . room clean 3 floor & amp ; hear noise . easy walk Fishermans wharf . lot nice italian restaurant nearby . free parking . would definitely recommend & amp ; can not wait go back . 
 Apr 13 2009 	 hotel live great review 	 stay 3 night early April . hotel truly gem . Wed - Thurs rate 82.00 , Fri 98.00 . able check early 1:30 since room ready . room 301 . street noise low , would ask 3rd floor room avoid street noise . also request frig since hotel 4 available . laundry room hotel , would nice . bus stop right front hotel city easily accessible bus system . trolley stop block away . try Mo 's Gourmet Hamburgers Grant Ave North Beach Pizza Grant Ave great food . 2 block walk bus stop Columbus Union ( 5 minute ride ) . use transit system , get 1 , 3 7 day pass allow unlimited ride public transportation . also include old fashioned trolley car . 3 day pass 18.00 - great value . 
 Apr 12 2009 	 Great Location . free parking . small well keep room 	 112 $ per night , think room good deal . four block Fishermans Wharf , ten block Chinatown , Little Italy close well . Trader Joes short walk , too . you want room book , though . want stay extra day , front desk tell we king roll away bed . say would fine . get back end day , move we cramp room two twin bed rather king promise we . beyond , though , stay go quite well 
 Apr 5 2009 	 nice big clean room great price great location 	 find hotel trip - advisor , thing cought attention review say surprised get relativelly very - low price . must agree review . it fancy luxury hotel , room HUGE , wide comfy King - size bed , large clean bathroom , big ~40 '' LCD tv even nice view ( could see bit Alckatraz , tower etc . ) .also , hotel free parking , usually cost $ 20 - 35 SF hotel . I would defenetly come back hotel . 
 Apr 3 2009 	 good except deadbeet desk 	 Stayed day love . ditto say -- clean , excellent location , exceptional value . would give five star except front desk personnel without exception sullen creepy individual ' ve ever see work customer service . not mind low iq verbally challenge deadbeet desk , definitely great place stay . 
 Mar 31 2009 	 Best keep secret ! 	 thank great review Columbus Motor Inn , spend pleasant cheap evening . refurbish nicely immaculate . Windows open fresh air , sound nearby North Beach view Coit Tower church spire . many restaurant block away safe interesting area . note famous nitespot next door open special event time month . early bed , request room side hotel . terrific breakfast Columbus Caffe 901 Columbus . sure request waffle artistic latte . 
 Mar 25 2009 	 Great Value San Fran ! 	 stay Columbus Motor Inn March 11th -march 16th truly enjoy stay . really close Fisherman 's Wharf . choose hotel need free parking hotel check charge 30 dollar park . much rental car . this FRILLS HOTEL , DEFINITELY stay AGAINFLAT panel FRILLWe double room 2 double bed leave , would bed small husband sleep together . check king room cleaning would rather room like . ( large people ) .We love black curtain read review request room 3rd floor back hotel locate busy area use street noise . noise minimal room . think hear noise stay . the hotel staff wonderful accommodating . hotel clean . room look like bedroom home way love flat panel tv . coffee maker room , hair dryer toiletry . light set timer new we , energy conserving . hotel staff recommend place eat anything else would like San Fran . I recommend get Citipass use ride transportation available include price - cable car , subway , bus , ect . good 9 day attraction include well . worth 54.00 pick trolley pay center . do GO SAN FRANCISCO AQUARIUM WHARF WORTH ITDO GO CALIFORNIA SCINECE MUSEUM NICE AQUARIUMA ; LSO SUBMARINE SHIP EXHIBIT free TOY MUSEUM . pay play TOYS COIN operate . LOVED ! ! EAT PAT 's CAFE eat every DAY breakfast ! ( pancakes make WHIPPINBG CREAM instead MILK ) . walk DISTANCE . like pay print boarding pass . 
 Mar 23 2009 	 Columbus Motor Inn - Great location - would stay ! ! 	 , mom two sister stay room 313 ( suite two bedroom & amp ; 1 bathroom ) . room balcony plenty room . ample closet dresser room , free parking free internet , great room rate clean room . small coffee maker room wolfgang puck coffee case , walk block north towards Beach st . good breakfast cup coffee Pergaminos - also irish pub building . Pat 's cafe also great breakfast . recommend Rose Pistola 's ! able enjoy wine ( pay $ 15 corkage fee ) listen wonderful jazz trio ! . thank San Francisco ! great stay city planning return family soon . stay next trip ! thank Miller great restaurant suggestion ! 
 Mar 21 2009 	 Great Hotel - Excellent Location 	 stay 5 night hotel well worth money . good location .. 2 block fisherman wharf .. close cable car ( get muni pass alot cheap buying single ride ticket ) . good indian restaurant across road safeway block away ... love stay san francisco 
 Mar 18 2009 	 Great Value Great Location 	 stay 3/11/09 - 3/16/09 two room suite w/ king / queen set . Requested get rear room high floor . quiet barley hear see guest . room rather spacious family four need . bathroom clean hope , ' ve stay 4 & amp ; 5 star hotel bathroom wear grimy . rest room clean decor pleasant enough . great tv . frill , location excellent walking distance many thing - Fisherman 's Wharf , North Beach restaurant , Safeway & amp ; Trader Joe 's . also good access MUNI stop . free parking room internet access really make good value area . 
 Mar 16 2009 	 North Beach great location 	 first hotel part west coast road trip . lovely room welcome long delay flight UK : fairly large comfy bed even little balcony . love location North Beach , seem less frantic overly touristy Fisherman 's Wharf Union Square still either walk get public transport pretty much anywhere San Francisco . buy 3 day muni pass certainly get money 's worth ! hotel include parking great need hotel area charge around $ 20 night . 
 Mar 10 2009 	 ' ve enjoyed stay 20 year . 	 Columbus Motor Inn great many level . location great , staff low turnover - ' ve talk housekeeper 20 year ! room clean neat , free parking worth LOT SF . great place . I ' ve stay family , , be great value . 
 Mar 2 2009 	 good value location SF ! 	 stay Columbus Motor Inn early december find great , clean hotel , comfy bed , need short sightseeing weekend . free parking great also , hotel charge $ 35 per night . location awesome , able walk fisherman wharf , cable car great restaurant columbus ave . $ 8 taxi union sq well . would definitely recommend friend , good value town ! ! ! 
 Feb 25 2009 	 Great Motel great location 	 stay two night way home trip New Zealand . location great , literally block away Fishermans Wharf interesting walk Columbus Avenue towards China Town Union Square . room spacious , two queen bed , table chair massive plasma screen tv . bathroom decor little & quot ; tired & quot ; perfectly clean . reception staff friendly helpful . , great location great price , would stay . 
 Feb 20 2009 	 great location great room . 	 3rd floor room balcony great view . central thing want see walk distance Fisherman 's Wharf , cable car line , 2 nice quaint breakfast place recommend staff front desk . , restaurant dinner . staff helpful friendly . room large clean . large flat screen tv wall nice clarity picture could use improvement . considering not spend much time room , fine . free parking rare around . drawback room face front get noisy emergency vehicle past . would stay though recommend hotel everyone . 
 Feb 19 2009 	 Location Value 	 recently return trip California , three night stay Columbus Motor Inn . choose Inn base review read . review point -- Inn locate within walk distance attraction , centrally locate , knowledgeable desk people , extremely clean room , price value fantastic . wish able provide continental breakfast , , due small size lobby set - up , really not doable . however , cafe sort ( husband walk one morning ) half block away pick mighty tasty muffin . garage parking big plus , not need take car time stay . fact , also book Muir Woods / Wine Tasting Tour , able pick right front hotel . I would say top reason stay value cleanliness room . 's Ritz Carlton , be absolutely worth price within walk distance Wharf . 
 Feb 18 2009 	 amazing place 	 looooooved stay . desk staff great room absolutely amazing clean spacious even balcony . 4th floor even walk roof check scenery . walk distance Pier 39 Coit Tower . well comfortable Fisherman 's Wharf stay night 2 month prior trip . price right recommend . drawback place ( important ) pigeon poop balcony balcony great view . room also large flatscreen tv . aweeeeeesommmmme 
 Jan 25 2009 	 love stay 	 block Fisherman 's Wharf ! enjoy walk activity . room clean bed comfy ! slightly concerned review concern street noise , find problem . wife love feel room love stay . check smooth friendly ! every employee encounter polite helpful . would positively recommend hotel anyone ! not mind walk block wharf , hotel excellent value ! 
 Jan 12 2009 	 super bem localizado 	 book hotel 12/28 01/01 . one king size bed two doble bed . room great , tvs enormous new ! adore localization , square fisherman´s wharf . recommend hotel ! ! ! ! 
 Jan 6 2009 	 Great Place stay 	 recently stay three night motel , reserve family suite . consist king bed main room double bed separate bedroom . refrigerator microwave comfy chair sit room lack nothing else . concerned staying photo view place make look bit date . photo old , room look nothing like photo . bed nice quality , wall paper , floor , counter , etc . update . also concerned area motel , know expect since price room reasonable . locate several block Fishermans Warf area , quiet feel safe walking evening . take advantage free parking , leave rental car garage three day walk , taxi have road bus , cable car , etc . garage CLEAN ! please stay price awesome ! 
