pleasantly 	 wife travel Thanksgiving weekend get - away . choose Whiskey Pete ' pet - friendly hotel bring along Boston Terrier we . little concerned room service would read review Trip Advisor , figure " heck – let ' give try anyway . " arrive , five couple front we check well . one hotel clerk working , process take little long start long holiday weekend , 15 - 20 minute make hotel desk . young woman work extremely friendly efficient , get we check problem delay . explain put we room set - aside people pet course expect , think sure mean old , dirty , stinky room . but get room , discover fear unwarranted . room large , clean ( carpet , bathroom etc ) , great view outside pool , good , smell like completely deodorized . certainly Ritz – great room – especially low price pay . the casino staff also friendly helpful . give wife T - shirt pick player card also compe we ticket Country Superstars Tribute show nice little gesture really start weekend well . we highly recommend try place next time ' look inexpensive get - away . 
 Apr 22 2008 	 Inexpensive Safe 	 ' ve stay Whiskey Petes several time past year . rate ' ve get Travelworm always fantastic . terrible recently buy Primm property , think ' ve bring improvement . noticable service coffee shop . previous ownership , wait staff bunch listless eastern european girl . service definately improve , portion generous inexpensive . the room Whiskey Petes bad . yes , be use old ugly bedspread , wallpaper border come , would not walk floor without sock , a / c work great , good water pressure shower , mattress comfortable , bed clean , amenity ( shampoo & amp ; conditioner ) bad . give amount pay stay , not expect perfection . ' m much gambler , casino typical slot & amp ; smoke fill enviroment . table game , ' ve week usually operate many . 
 Apr 1 2008 	 good place stay nite 	 stay Whiskey Petes 1 nite 3 - 22 - 08it good , room big comfy , bed clean , bathroom clean , nice view I15 .... 1 nite , arrive 830pm ... check breeze , nice warming staff ... casino busy , hear alot machiene go , culdnt wait go try luck.went player club get card , friendly there . try luck slot tournament .... go : ( anyways alittle , drink service slow , hope onto shulttle buffalo bill . like gamble well .... situate ont niclke slot find waitress nice , tip well keep drink come ... ... 45.00 decide call nite ... 3 am hop back onto shuttle whiskley pete , problem waitng elevator room sleep.check fast , free slot play coupon terrible funbook ..... use ! Ready go ..... come back 
 Mar 17 2008 	 Decent Place stay 	 without high expectation , Whiskey Pete 's decent place stay base price . room date clean , personel friendly atmosphere great small size hotel . would stay needed keep mind old saying , & quot ; get pay for . & quot ; 
 Mar 4 2008 	 good budget hotel stayed 	 stay Whiskey Petes 4 time past 5 year vacation . love : -1 ) reasonably priced2 ) clean decent sized rooms3 ) good casino facilities4 ) good access fashion outlet mall5 ) good entertainment close ( star desert arena ) expectation high , love place . I always make sure include least one night Whiskey Petes travel L.A. Las Vegas . Las Vegas 25 minute drive away i-15 save packet instead stay Strip . even regular shuttle Primm Strip well . 
 Feb 25 2008 	 hotel awful ! 	 family stay one night , Friday , February 15th , way home Disneyland . thought would break drive home Las Vegas nice way extend vacation another night . boy , wrong ! check around 4 pm . woman friendly give we kind room request . go room , word six year old , yucky . green string look like old chew gum smear wall bathroom . several tile crack broken bathroom floor , much & quot ; safety lesson & quot ; child would not cut foot . , exaggerate , 1/2 1 inch thick dust floor spill behind tv armoire , around heater / AC , around edge bed . small table room sticky . towel shelf bathroom rip wall one side housekeeping staff balance towel side still attach wall . call ask housekeeping staff 2 blanket 4 pillow . say , & quot ; fine , problem . & quot ; ten minute later man came hand three sheet three pillow yell , & quot ; blanket ! & quot ; say , & quot ; ok , fourth pillow ? & quot ; yelled , & quot ; blanket ! & quot ; turn around left . we go downstairs dinner buffet bad . one friendly . six we cost 50 buck . hostess go seat we , ask we many we . bring we section nearly empty say , & quot ; well , table seat five table seat six . want ? & quot ; think kid first stand wait answer ! say , & quot ; well , since be six we , think would like table seat six . & quot ; sit we table seat four table near seat two ! ! ! not even push together anything ! waitress came immediately ask want drink . young , be five , say Sprite . waitress turn around leave rest we could answer ! bring back Sprite run could order . 20 minute even get order drink ! ( except young one ) also , table two wobbly husband 's drink spill three time ( never refill ) . food bad single one we eat hardly anything , child open - minded kid come food ( one not like mint ... 's ) . end eat ice cream dinner ! go dessert bar get ice cream , roach crawl across counter towards plate pie cake set . employee stand right behind counter not try kill bug anything . hope not see common occurance . we eat cafe next morning people friendly food least edible . also reasonably price , unlike buffet . try positive , room pretty large , bathroom . AC / heater work fine . toilet flush . little money kid asleep . able check via television . accidentally leave coat room check problem go back get . elevator neither slow fast . there helpful friendly people , although grateful . place dirty rundown . never stay . 
 Feb 19 2008 	 Hotel Room Clean .... problem .. except lose money ! 	 get pay head towards Las Vegas , Nevada enjoy weekend ... $ 500 spend weekend could not wait get play slot machine get away Southern California ... leave morning stop Hesperia snack cash paycheck Stater Bros .. turn paper check cash get coffee ( around 9 am ) get back onto freeway towards Nevada .. get stateline ( also know Primm , Nevada ) think stop continue Las Vegas .. stop refresh play quick slot machine get coke .. park car go inside casino start play .05 nickel slot machine .. waitress come around order regular Coke .. like $ 50 $ 5 nickel keep play money never go $ 50 $ 500 bring inside casino .. move .25 cent slot $ 20 spend $ 250 ! change lady come hand pay tip .. move another .25 machine play move another .25 machine 20 min playing machine would eat money away keep let play .. not win nothing really big move yet another .25 cent machine play 10 min another $ 500 ! come handpayed tip lady ... could not believe ... within 1 hour $ 750.00 $ 500.00 bring total $ 1250 ... not even two hour money stop quick break ... continued playing decide go stay since money ... make way towards hotel check pay like $ 35.00 one night ( inexpensive ) desk clerk friendly quickly check ... get room key upstairs find elevator make way room .. open door room clean adn look picture quality .. plop bed turn tv ... remember look towards window thinking .. wow ! pretty high hotel eye level middle mountain ( south tower ) relax 1 hour take quick shower ... shower clean towle nicely fold .. $ 35.00 can not go wrong ! not notice noise problem room .. end go back play slot start drink Whiskey Coke $ 1250 become $ 20 Mr. Pete come six shooter robbed pile $ 1.00 coin ( play dollar slot ) play three machine time .. Lesson learn ... ahead casino much money call night quit ahead ! 
 Feb 12 2008 	 GET pay 	 stay one night 02/08/08 . price seem right fly back Las Vegas not want pay strip price . valet line extrememly back stand outside car around 1/2 hour . check line front desk yet another 1/2 hour . get room seem fairly clean room bathroom large , could set 70 porn shoot . insulation come air conditioner carpet stain . call housekeeping twice extra pillow wait total hour half get . line player club card take another 24 minute ( point time everything ) could use dollar buffet dinner . , get pay . salad bar good , main course selection leave lot desire temperature , selection , quality . upon checking take 47 minute get bellman room take luggage . overall disappointed service receive . offer $ 5 table gambling , affordable . would rate overall experience terrible except $ 300 play black jack . 
 Jan 17 2008 	 reasonable stay 	 stay Whiskey Pete 's one night stop LV - San Diego . walk - in rate $ 31 ( great deal ) get Motel 6 quality room . room clean basic . service great check - in , check - out , table game . windy night could hear wind blow AC room . overall , get pay , want somewhere cheap crush night , great steal . 
 Dec 14 2007 	 impressed time 	 stay Whiskey Pete 's way Disneyland split drive . 9/29/07 10/6/07 . stay past way California enjoy room inexpensive price . however , time happy stay . we Tower day . first night 7th floor next night 1st floor . even though non - smoking room room smoke . room date show significant usage . overnight stop could overlook terrible smell smoke room . one room tv work well either . overall pleased probably choose stay elsewhere future . 
 Dec 2 2007 	 bad Quick stop 	 ok use Primm ( like alot ) cheap stop LA Vegas . stay two night ( way Vegas back LA ) $ 19 night happy . tell girl check - in & quot ; want good night sleep & quot ; kinda smile say will see , casino loud good looking crowd , get quiet night questionable , surprise night put we top floor casino little wait elevator delight top floor actually quiet great night sleep drive next day . 
 Nov 4 2007 	 can not expect much $ 37 night ! 	 boyfriend stay begin 4 day trip Vegas ( eventually end Luxor - review follow ! ) room rate reasonable . stay Whiskey 's get kick & quot ; & quot ; honky tonk feel place have . we check 11 pm 2 employee duty , take bit long would hope . request non - smoking room , king bed , high floor . run king size bed ( supposedly ) settle 2 queen , non smoking 18th floor . 2 outta 3 be not bad ! : ) room ( 1825 ) drab , bed quite uncomfortable absolutely desire spend time room except sleep shower . $ 37 ! ! ! ( not believe even find Motel 6 price anymore . ) also , laugh housekeeper not pick & quot ; comment card & quot ; previous guest . good thing honest people person fill home address , phone number , etc . ( previous guest ) write bottom , & quot ; give information ! & quot ; well , much ! even though check late , restless decide go couple drink bar . bartender surprisingly friendly personable . not gambler enjoy video poker drink compe . ( great people watch , way ! ! ! ) a / c room make terrible racket , unfortunately warm even time year without . sleep earplug whenever travel , still could block incessant & quot ; bangety bang ... bangety bang ... bang bang BANG & quot ; noise thing make night . I say little window seat near A / c kinda cool . sit look i-15 desert - 's pretty surreal watch car come disappear sight . desert beautiful look right way ! morning breakfast coffee shop ( Wagon Wheel , believe 's call ? ? ) hit road . omelet Huge . ridiculously huge . barely eat 1/3 mine completely stuff . serve toast hash brown - one order bacon , avocado , etc . $ 5.95 ! ( pay close 3 time amount breakfast Vegas . ) please note hotel , smokey elegance charm whatsoever . simply place crash night maybe enjoy gamble cheap food . pay $ 50 - 60 / night , would probably rate place one two star . price pay reasonable ! 
 Nov 3 2007 	 get pay 	 stay 3 night cheap alternative Las Vegas- $ 140 total . good point - check fine , room comfy big shower , monorail / bus neighbouring property across freeway , Fashion Outlet Mall adjacent . bad point - Coffee Shop staff disintereste / understand English quite poor , wash basin room take 20 minute drain , poor tv reception , pool close season despite temperature 80 , wake 6 am one morning sound like plane use reverse thruster actually strong wind outside come ( turn ) air con unit , hair food Buffet , winning neighbouring casino ( own company ) could cashed home casino . all , future would pay extra stay Las Vegas . 
 Oct 16 2007 	 watch money 	 come charity motorcycle ralley . try watch money stay Wickey Petes . reservation book online special rate . start - NIGHTMARE ! hotel staff incompittent start . ask sign credit card another person room . room ( 4 ) wrong rate . I state want credit card bill would pay cash . say problem ...... wrong . evening manager give we meal 2 problem .... later . room decent clean . evening entertainment good . that s thing say good stay . the Buffet horrible dry skin food old vegetable . desert table doughnut could use hockey puck . much well food Buffalo Bills buffet . upon check charge wrong rate . time counter person helpfull fix state hold card release . upon explain happen , give free meal bad , suggest talk desk manager compensation problem . get manager ? leave upset guarentee card billed.2 day later charge show account . call one accounting ask Hotel Manager Roxanne Probst . tell bank screwd nothing wrong . & quot ; work bank 15 yrs & quot ; little upset talk bank - upset . hotel still hold almost $ 600.00 room . call tell desk manager wrong stick . do stay Whiskey Petes . room ok food staff horrible . want stay Primm - favor stay otherside freeway Terrible 's Buffalo Bills . perhaps treat well . overall 1 bad weekend ever never return . 
 Oct 15 2007 	 Better thought 	 visit Vegas want go shop Primm . go alone , think would stay day end stay 2 day . book reservation online get room exceptional deal . even get 2 free concert ticket see Pat Benatar . stay Whiskey Pete 's . room lot nice thought . staff friendly . concert monorail shuttle ride ( free ! ! ! ! ) across highway . Pat Benatar sound awesome bring back memory . although not gamble stay Vegas , surely hit jackpot great deal ! 
 Sep 22 2007 	 absolutely stunned 	 way Vegas San Francisco really exhaust long drive . reservation Vegas hotel saturday night , pull place & quot ; sleep attitude & quot ; . man wrong ! ! front desk lady extremely nice , think upgrade deluxe room , not konw really tho . price ? 36 $ dollar . step elevator enjoy ride drunk vey nice indian man ( apache ) . open room shock . like 5 star hotel . incredible bed , marble bathroom , fine toileterie . 36 $ buck ... old Vegas feel , luxurious room cheap price . a room like Strip ? least 119.00 weekend lucky . I stay ' m do long SF - Vegas driving pass feel need good sleep stop enjoy great place middle nothing . 
 Sep 11 2007 	 good value 	 3 - day Labor Day stay great .... average check - in wait ... actually quick downtdwn vegas . hotel .... great friendly staff . & gt ; clean room , well maintain stay . & gt ; food average hotel food ... good expensive & gt ; food staff competent friendly . outstanding service Silver Spur restaurant . & gt ; security highly visible ..... alert professional & gt ; Lots child .... pool area quite crowed kid .... obvious trouble - maker . & gt ; elevator somewhat slow due high volume family holiday .... lot kid go lot .... leave Monday Tuesday much quick ....... & gt ; bell service less 10 minute . friendly staff 
 Aug 21 2007 	 great bang buck ! 	 little nervous first stay Primm , pleasently surprised . hotel pretty clean , staff nice , casino offer variety entertainment . live band play main casino people dance great time . bed room huge , enough third . bathroom clean tidy . little age showing room , , please $ 40 night pay weekend . half hour outside Vegas easy access 15 . free tram take Buffalo Bills outlet mall . resturaunt hotel choose , opt go mall little variety . not use pool people elevator bathing suit day . still try figure castle theme western casino ... ? oh well . would stay recommend friend . 
 Aug 10 2007 	 tired place bore unfriendly staff 	 need place night , figure would put we close home morning . surprised price - $ 28 . look nice enough . room nice size , bed comfortable . lamp dim , industry standard casino - want gambling , read . the staff look either bored pained . one dealer master look convey & quot ; leave alone ! & quot ; Pit boss never seem leave seat , could not notice . leave , & quot ; leave alone ! & quot ; guy actually sleep table . you get pay , suppose . , eat Buffalo Bill 's , across street , owner , night day difference , maybe will give try . 
 Aug 3 2007 	 never 	 someone else say , get pay . first time husband stay Primm last . room okay many thing spoil stay . would rather drive extra way Vegas , pay extra money stay somewhere enjoy . 
