Best 	 WOW ! ! ! fantastic hotel . warm welcome staff arrival . room everything would expect 5 star hotel , large room dress room large bathroom . furnishing top quality . staff always helpful courteous could enough maid hotel manager . hotel like step back time impressive lobby seat area . every floor hotel like walk art gallery numerous piece art , well worth go wander check . staff dress uniform similar would worn colonial era . atrium impressive ideal place relax afternoon tea . hotel pool oasis hustle bustle Delhi . 
 Oct 11 2009 	 awful service stay Taj 	 spend two week travel around India honeymoon wife think would stay imperial last night . wrong:1 ) Reservations forget wife room set single occupancy . inform double occupancy incur extra charge , wife still share bath robe , towel , slipper , mineral water etc.2 ) Reception make fuss say would send we cake flower honeymoon - never arrive . ( stay three Taj hotel previous 2 week give we bunch flower , chocolate , towel shape swan lovely smile ) .3 ) engineering call twice hot water bathroom . 1 am 8am.4 ) room freeze cold , engineer say thermostat not allow room temperature outside temperature.5 ) service nothing compare Taj . the place rely heavily reputation . room cram full advertising shop / service list nomination award ( case come realise 's rip - off ) . never . 
 Oct 5 2009 	 not waste money 	 stay three forgettable night , whilst make feel unwelcome . upon check - in show room mono syllabic receptionist fail mention anything hotel facility , breakfast location . confusion book hotel resolve unstaisfactory manner , make we feel unwelcome . staff general rude concierge service quiet poor - ask flight confirmation , bother confirm we addition provide wrong information regard event city . on positive note , hotel beautful . room large comfortable . pool impressive ' ve come across - huge great area sunbathe . also good gym available . nice hotel nice location , however staff let badly 
 Oct 5 2009 	 Experience Imperial 	 stay Sep. 09 , check ok , room excellent , floor staff fault attention detail . Front house staff friendly seem need training type hotel . Air Conditioning unable turn , even engineer problem it . word warn traveller pay credit / debit card , Hotel may charge double credit / debit card , difficult recover charge . 
 Oct 5 2009 	 real let ! 	 Hotel Imperial always synonym luxury , comfort old grandeur . sadly enough experienced little stay last month . begin , hotel undergo maintenance work room give we work go ! truly rude shock . could sleep rest afternoon worker move ladder , bucket , etc talk loudly . certainly expect five star hotel . hotel provide hair conditioner part bathroom amenity call housekeeping tell shampoo provide hotel " two one " ! maybe recession time one get use trick never face silly issue hotel include far Taj property South India . first night waiter forgot get half room service dinner order result wait food get cold . waiter never bother offer warm . much imperial comfort . similarly get room clean evening service result mineral water replenish . however ask housekeeping later night send we complimentary water say charge . , find trivial issue . bother INR 100 - 150 customer pay INR 12,000 per night . besides , ask part evening service . , leave bitter taste . consider return customer surely expect kind service hotel . return recommend hotel friend family . 
 Sep 11 2009 	 Good Great 	 arrive Delhi midnight Shabati Express Agra . ' Shinkasen significantly superior Amtrak . excessive luggage receive appropriate disapproving look fellow passenger . learn minimize trinket & amp ; souvenir ? Peirce & amp ; Leslie rescue we four porter tow . thousand meter walk vehicle surreal chaos night - time Delhi one favorite India memory . wild . enter Imperial son escort become quite excited . star " Love Aaj Kal " pass give we friendly nod & amp ; hello . son , watch idian tv , tell Brangelina India . ' Imperial . ' hot - trendy ( yet traditional ) spot . hotel beautiful outstanding art collection . public room echo Luytens Busby Berkeley well . check - in quick efficient standing . ' fan buffet breakfast spread varied tasty could want . table " asian " fruit every morning half dozen fruit ' never see . pastry well ' ever . manager constantly circulate large room make sure nothing amiss – impressive attention detail service . like lounge 1911 . server excellent , accommodate enjoyed talk they . the gym tad small ' see sign drink bite stunning pool . front house Spice Route attitude . maybe think waverly Inn Delhi . cancel reservation instead enjoy 1911 . Heritage Suite attractive comfortable . linen fine imperial logo every piece cloth room . available purchase gift store . room view . mean none , wall one window pigeon perch high ledge . bathroom separate shower tub shower curtain . hate shower curtain . look like half room discretely renovate floor . suite likely recently redo - quickly . plug computer wall plate push sheetrock . son deem room " cozy " . least sliver view glass enclose shower . we enjoy Delhi Imperial well locate venture . ' first world , capital city , 4.5 star hotel , notch would find NYC , London Paris . unfortunately spoil Oberoi Aman . imperial ' new GM spend night competition see indian hospitality continue run beautiful , Spot fall short potential . 
 Sep 8 2009 	 Hotel still fabulous 	 get concern stay Imperial , hear several people management hotel change within past year , standard slip . previous manager Imperial currently manager Raffles Singapore . , approach imperial trepidation . really pleasantly surprised . hotel indeed well year past , must truly awesome , still magnificentt place stay . the interior hotel memorable . think hallway really good hotel ever stay . marble floor wall line antique print make go room wonderful interesting experience . learn much look hundred print wall . room quite beautiful well , spacious shower nice toiletry ( although hair conditioner ... one pet peeve .... ) true , room view speak . window old part hotel quite small , mention another reviewer , extensive work go one side Imperial . shanty - type building outside , worker sleep . hotel promise work would quiet , would say . not issue privacy work area , although aware people . extensive screening room , although not necessarily attractive . , not find work area issue . after hot day Delhi , Imperial 's pool quite treat . not notice fume , mention one reviewer . large generator overlook pool , make noise , not problem . pool huge magnificent fountain lovely garden surround . pool memorable part imperial experience . we make extensive use car driver hotel , find excellent . one driver take we Agra , familiar indian road , know quite wild trip respect . Agra , almost adherence traffic law . Imperial 's driver great , make we feel safe midst lawlessness ! also , concierge hotel get we tour guide Delhi 45 minute lead time . guide incredible , master 's degree history . intelligent knowledgeable guy ..... impressed Imperial could get hold someone like short notice , moderate price . impressed concierge service hotel . oh , breakfast buffet Imperial 1911 restaurant fantastic . lot variety high quality food stunning setting . not miss ! , would say stay imerial quite exceptional many respect . mean , stay bland 60 style box hotel New Delhi stay historic elegant place . place Delhi would tempt stay Aman , not work well party time . imperial way . 
 Aug 29 2009 	 Classic Elegant 	 privelege end India tour Colonial Hotel . pleased upgrade suite . suite classic furnshing wonderful bathroom . view , believe true room due 's location . the pool nice place relax , however noxious fume gas station next door often air . the italian restaurant first rate , whereas Silk Road restaurant serve mediocre cuisine . bar interesting unique style . 
 Aug 28 2009 	 Amazing 	 stay Imperial twice , first touch India due leave , must say hotel simply magnificent . oasis peace center crazy Delhi great mixture colonial style ultra modern chic . the room amazing , staff manage perfect level service , present whenever need without usual intrusiveness find hotel India ... pool fantastic cocktail divine high tea absolute must ! cap , noticed partner birthday leave surprise cake room ( give total kudo ! ) . 
 Aug 26 2009 	 unforgettable experience Imperial Delhi 	 travel delhi Jan 2009 stay Imperial Hotel Delhi . find comfortable marvalous stay . http : //www.indiaprofile.com / new - delhi - hotel / imperial.html 
 Aug 25 2009 	 stylish sophisticated 	 beautiful place shopping / entertaintment area , close Conaught place ( restoraunt , fast food , shopping , cinemas ) . 
 Aug 19 2009 	 Amazing - simply perfect 	 one good experience ' ve ever big city . quiet compare overexcite athmosphere street . luxury one good Thai restaurant inside . expensive like 5 star luxury , real great experience . 
 Aug 19 2009 	 disgrace word luxury 	 please avoid hotel ; indeed disgrace world luxury . expensive term internet , meal room facility -- get bad water dry river Yamuna , filter part fece see sink water . std call way expensive another hotel would charge . staff polite , helpless . wall plaster photo etc . claim historical one , however artificially produce misleading character veracity . meal poor quality . order indian food , poorly make tasteless , flour use good quality . please avoid place 
 Aug 16 2009 	 solid hotel get upgrade room . 	 stay Imperial twice 5 day . first stay get upgrade Heritage Room spacious well equip ... decent size bathroom . second stay get art deco room half size Heritage Room ... 's problem start . first call fix lukewarm water shower . second call someone get rid mosquito fly around room . came spray insecticide room make room smell . , overall , experience Imperial uneven . 
 Aug 10 2009 	 Watch tout leave hotel foot 	 walk gate hotel look shop Jan Path road go emporium handicraft house right across road rickshaw driver hassle send deliberately wrong direction get commission & quot ; helping & quot ; find right store . ignore firm . quite overwhelming even aggressive . can not shake shout one several guard stand gate hotel . I mention wife fall scheme take obscure shop several block away . potential hazard ! 
 Jul 30 2009 	 poorly manage property waste potential 	 property beautiful artwork , great breakfast buffet , good swimming pool , friendly people welcome front door , be . fancy world class hotel , cheap every corner . excessive internet charge ( wireless not even work Dell computer ... huh ? ? ) maintenance work main hallway middle day , Imperial know make guest feel home . wife arrive find booking think have make online , incl . wireless , airport transfer , breakfast , actually something -- room . , stick tiny corner room overlook construction site / tent village worker look room . also hang lamp fall rot hole ceiling . ask move , tell could , even though another employee tell we hotel half full . location hotel also hardly serene . first night , want take cash ATM , hotel . tell front desk walk couple hundred yard near one . walk front gate , immediately step dozen people lie sidewalk . meanwhile , numerous hotel security guard gate look dumbfoundedly without think point right direction warn might great idea . plenty luxury hotel choose New Delhi , stay away Imperial . hard feel resentful place beautiful Imperial , somehow management figure make happen . 
 Jul 29 2009 	 Excellent hotel good staff 	 great hotel , impeccable decor beautiful room . staff excellent , friendly efficient . stay 6 time past year get well . Gym could well . pool excellent location . 
 Jul 27 2009 	 nice hotel every stay 	 lovely lovely hotel , everything amazing . think pool favorite part - amazing saline pool , really amazing . room , service decor hotelwide treat brunch world . totally decadent treat able stay . location great , block CP across street cottage industry emporium . great shopping . love Delhi beautiful city , well plan full sight , sound shopping delight . love whole experience . wait go back . 
 Jul 27 2009 	 terrible service 	 husband stay hotel month ago quite disappointed level service check - in breakfast . hotel 's common area beautiful unique somehow make aloof attitude staff . waiter breakfast slow take 10 minute even hand menu sometimes even ask menu several time . see guest complain also . regularly stay five star hotel India around world ( Oberoi - service excellent ) , Taj , Park Hyatt , Ritz , Plaza Athenee etc ) we level service simply unacceptable . room ok except bathroom five star standard . spice restaurant decent standard expectation . 
 Jul 22 2009 	 gorgeous luxury hotel - highly recommend 	 really beautiful hotel . pubic area stunning everywhere go smell jasmine . we stay two separate occassion , business second time return tour Golden Triangle organise Castle King Inc , base New Delhi excellent . Castle King recommend Imperial we . on first stay Heritage Room , large elegant . love soft quilt slipper crisp crest bedlinen . drink Atrium although cheap generous nuts nibble frequently top ( unlike hotel England ) . dinner Spice Route excellent service good . despite indian business associate tell we order indian wine , white especialy palletable . I go early morning swim ( 7 am ) pool lovely , bed already pool attendant attentive without intrusive . on second stay stay Deco Suite also lovely , thing floor process decorate gorgeous smell Jasmine power awful smell paint . one night not matter much though . I would thoroughly recommend hotel - steep history quite stunning . stay many lovely hotel ( Rambugh Palace Jaipur ) favourite . I would go back shoot . 
 Jul 22 2009 	 Colonial Style ! 	 Imperial New Delhi fantastic sanctuary dirty messy sad city ..... soon gate close behind we could relax , check comfortable room necessary amenity . the style hotel true colonial , 1920 ` decor . really feel set back time hotel , everything well maintain . lunch buffet hotel one well ever , fantastic choice salad , charcutterie , bread , kind cake dessert ! ! ! sit outside terrace , stylish ! & quot ; drawback & quot ; view street , sad indian streetlife ..... guess part New Delhi deal ... , perfect place & quot ; hideaway & quot ; New Delhi , New Delhi .... ! 
 Jul 18 2009 	 Classy stylish - true Jewel Crown 	 Prepare take trip back time enjoy delightful service amazing colonial decor . hotel pay much attention detail , really show . fresh flower everywhere , nice scent aromatic oil hallway . room incredibly comfortable classy . wide array restaurant bar , lunch 1911 , good , dinner Spice Route ( hype surround , not impressed ) . downside : not spa . in short : lovely , luxurious hotel , real oasis . 
 Jun 23 2009 	 oasis calm 	 luxury hotel centre delhi . excellent service wonderful art . indian restaurant superb , buffet breakfast ok . real problem development work outside window . change room middle night . however , hotel management act quickly efficiently put thing right 
 Jun 18 2009 	 great hotel 's advice 	 ' m go bore detail good hotel , everyone else already do . instead be little bit advice.1 . not bother book hotel car hotel reception . driver ferry around privately ( luxury hotel car ) half price ask ( 10 quid hour ) 2 . travel Taj Mahal hotel car , not bother pay pack lunch . food fantastic quality , not put ice boot car . lunch time 's red hot . hot smoke salmon not good idea ! 3 . Daniel 's Tavern great curry house , not put name.4 . hotel bar great White russian.5 . every hotel driver use ( whether Mercedes green , yellow black Hindustan ) work commission . buy something shop take , get cut . 's fine principal , problem place take charge twice much everywhere else . 6 . give money beggar car window , car suddenly get swamp beggar . disturbing ! 
 Jun 17 2009 	 truly excellent ! 	 room rate include transfer airport hotel . arrive hotel meet entrance escort Reception , receptionist already check - in paperwork wait . initial experience typical first rate service receive throughout stay . staff try anticipate need well comply quickly request make . desire anticipate every need evident room , immaculate . public area also beautifully maintain . food also wonderful , particularly 1911 ( one restaurant ) . small internal courtyard front Spice Route Daniell 's restaurant drink serve wonderful place relax . go New Delhi business definitely return imperial holiday . 
 Jun 10 2009 	 love property 	 hotel heart city ..... start . beautiful propoerty remind English era , food awesome service unbeatable . reccomne ....... 
 Jun 9 2009 	 place stay Delhi ... money ! 	 stay imperial treat last stop return home travel . way would normally spend hotel little anxious expense . and lot money . time , considerably cheap equivalent western capital . everything well finish - lobby , room dining area immaculate understate elegance . service exemplary , moment door open bag take bellhop , people reception dining area . breakfast include cover wide variety food , include surprisingly good pastry , lot different fruit usual make order egg station . also please upgrade room suite . suite lovely , two widescreen tv two bathroom . whole experience make feel special pampered , be look imperial place . 
 Jun 8 2009 	 love scent 	 good fragrance around , give perfect environment relax . food good one need try prawn dish , also like gazal play . room relax perfect stay . the surronding shop also quite good 
 Jun 6 2009 	 beautiful hotel 	 stately hotel impressive facade interior . lovely room , great pool , breakfast ! 
 Jun 5 2009 	 Best Hotel 	 stay imperial couple time . visit Delhi freqquently official work . property great , room superb.good service .. would recommend . 
 May 18 2009 	 gorgeous gracious retreat perfect central location 	 stay imperial room ( low room category ) three night May . hotel inexpensive , discount internet rate feel good value money . pro : central location , yet peaceful . gorgeous public space facility , restaurant bar pool . spacious room high ceiling , beautiful decor , large dressing area nary peep neighbor . generous bathroom amenity , complimentary bottled water fresh fruit renew day . great housekeeping . great breakfast buffet . superb , friendly service airport pickup front desk porter rest vast staff keep place like run seamlessly time . con : one think ! India wonderful sometimes challenge western visitor . long block sightseeing , come back imperial like exhale deeply ; , everything easy ! every little request take care immediately good cheer ; everything beautifully maintain scented jasmine ; a.c . ( back must enormous generator ) work wonder even other city suffering power outage . well , though , staff . hotel seem struggle strike right note service . Imperial deliver perfect balance solicitude without obsequiousness ; correctness without overformality snobbishness ; total warmth grace . make look effortless ! definitely return . 
 Apr 28 2009 	 fragrant luxury heart Delhi 	 visit property two night December couple week mumbai attack . Christmas party full swing security cursory shambolic . however first impression enter lobby luxurious fragrant oasis heart city . room comfortable , plenty dining choice ( child enjoy italian restaurant ) pool look invite . would go back would prefer thorough security process adopt hotel chain catch attack . 
 Apr 26 2009 	 opulence good ! 	 always , Imperial Hotel Delhi set standard hotel industry world wide ! ! travel lot world , hotel still remain favourite place stay quality , staff , service , opulence well . although pricey , US $ 200 per night , reasonably price five star service India everything awe inspire ! staff long term employee know provide every need go way make feel special . arrive entrance uniform take back Maharajas , walk foyer flower display ( change fortnightly ) artistic creation find throughout hotel , impressive marble floor - stun pattern immaculate tile ! british Colonialism ooze early 1900s photo adorn wall day - history amazing . walk corridor feel part era . artwork stairwell passageway room keep entertain every time pass , furniture corridor time place go . room opulence class , fine victorian style decor set apart rest . always pleasure return hotel - whether meal ( although expensive ! ) wide choice restaurant , stroll garden corridor , lap luxury top class hotel impeccable service , smile live era 1900s , time time ! 
 Apr 21 2009 	 Imperial - one good hotel world 	 wife stay imperial one night start two week tour Rajasthan . stay business couple week 2007 , keen wife experience Imperial 's elegance service not disappoint . everything hotel pick - up breakfast selection excellent although drink price expensive expect 5 star hotel . the Imperial also well locate main Delhi ' cottage industry ' emporium directly opposite ( brave taxi driver outside hotel tell 's closed ! ) . recommend Chor Bizarre evening meal ( Old Delhi Hotel Broadway excellent North Indian Food ) Dilli Haat slightly touristy nonetheless enjoyable shopping experience - fact 's small entrance fee mean not pester tout beggar . 
 Apr 13 2009 	 decline since last visit 	 stay couple year ago love time not great . concierge ok particularly helpful whereas last time could not enough we excellent help we plan stay . room & quot ; overlook pool & quot ; fact look tree ( look carefully enough could glimpse pool ) building site . bathroom huge separate shower clean not great - toilet need good scrub ! dinner 1911 fine nothing special cocktail bar not great . also lack much atmosphere different last visit . one thing point not really focus last time & quot ; spa & quot ; . 's spa , 's hair salon manicure pedicure storage room double treatment room want massage . 's old date grubby - foot massage pedicure good though - like relax spa might imagine hotel . Overall be still good hotel standard seem slip somewhat 
 Apr 11 2009 	 pure luxury ! 	 stay hotel 4 night wife son . really good time , enjoy really . hotel one best option accomodation Delhi , beacause colonial style , perfect stay India . the room absolutely perfect , clean big . shower bath . also , breakfast quite good . if go back Delhi , would go imperial , without doubt . 
 Apr 7 2009 	 lovely 	 stay imperial son friend enjoy much ... give jr . suites upgrade .. lovely .. charming .. well do ... hotel alot beautiful painting drawing india wonderful look .. staff good ... pool nice place busy city life ... enjoy restaurant also .. good food ... 
 Apr 6 2009 	 excellent hotel excellent location 	 really good hotel everything could want . quite stunning Rambaugh Palace Oberoi Amarvillas extrmely good city centre hotel . hotel tour well worth take - lot history . location perfecty - half way Caunaught Place India Gate . business centre efficient although internet connection bit slow . food terrific service excellent - great refuge hustle Delhi - place Indai tip refuse ! ! downside swimming pool area not attractive get bit crowd late afternoon . 
 Apr 2 2009 	 quite simply stunning 	 stay imperial number time quite simply one stunning hotel ever set foot . service impreccable , hotel , surrounding food . one good restaurant world ( Spice Route ) well one lavish bar ( would recommend pre dinner sundowner lawn ) . drag away hotel will find centrally locate one Delhi 's pretigious shopping district ( Cannought Place ) . also shop emporium across road hotel well worth visit . overall recommend hotel enough . 
 Mar 30 2009 	 wonderful hotel 	 absolutely beautiful hotel . everything gleam lovely jasmine scent everywhere . upgrade we one category ( basic imperial room heritage room ) gorgeous . exactly like hotel 's photo ( fact even well ! ) often say ? room # 30 spacious enough not think need book suite . yes , view fruit plate tiny , 's negative . hotel amazing museum art East India Company period , thoroughly enjoy stroll corridor view many picture . Spice Route restaurant fabulous see , not find food particularly special ( , great asian food Vancouver ) . buffet breakfast 1911 restaurant fine , expensive 5 * hotel . service restaurant adequate , though nowhere near good Rambagh Palace ( Jaipur ) Amarvilas ( Agra ) . Locationwise , imperial great tourist , central sightseeing , 5 min . New Delhi railway station , therefore easy catch 6 Shatabdi express ( highly recommend ! ) Agra & amp ; Taj Mahal . I choose accommodation India bias towards historical significance , imperial disappoint . price highend , cookie - cutter chain hotel room North America get unique , stunning hotel full Old World charm luxury boot . would happily return Delhi landmark . 
 Mar 20 2009 	 high quality class act 	 wife start visit India three night Imperial . name fit place . hotel elegant sophisticated , well - develop air old british era India . book spacious suite , large living room , bedroom large enough hold comfortable king bed additional small piece furniture , small sit area desk near closet , pleasant good - sized bathroom . comfortable , room not strike we really & quot ; special . & quot ; furnishing perfectly fine & quot ; unexciting & quot ; , less interesting attractive find hotel . two minor drawback : single , relatively small window , look toward another wall hotel ; plumbing water go drain make loud sound exit room . staff pleasant attentive ( true everywhere visit ) . breakfast buffet outstanding , something find characteristic 5 - star hotel stay , enjoy asian indian restaurant . meal Spice Route ( asian ) quite good outstanding might expect , give reputation . meal indian restaurant actually not tasty , although attribute selection make ( select actually guest , colleague New Delhi husband ) . atmosphere outstanding . hotel fill drawing british era , many quite interesting , plus several remarkable floral arrangement , include lobby . incidentally , tip tour Delhi : Old Delhi , make sure take bicycle - draw rickshaw ride market area . crowd , color , noise , smell - combine seemingly well - orchestrate chaos , truly memorable assault sense . one major highlight great trip India , fill highlight . 
 Mar 20 2009 	 beautiful hotel 	 stay imperial blissful week . beautiful 1930 hotel well run excellent condition . many delightful architectural feature ( e.g . internal courtyard fountain ) jasmin - scented corridor decorate delightful picture - corridor tint print rock - cut temple south India give we idea another trip ! breakfast excellent real pleasure enjoy shade terrace . eat restaurant : 1911 ( Brasserie ) , San Gimigniano ( italian ) , Daniell 's Tavern ( indian music ) famous Spice Route ( South - East Asian ) . good , italian restaurant particularly enjoyable . the staff everywhere pleasant helpful . we visit number 5 star hotel drink meal ( include Taj ) never felt stay wrong place . , good value money . 
 Mar 5 2009 	 disappointing accommodation . disgusting breakfast beverage . 	 disappointing room : Dark , smelly overlook construction site ! yes , arrive London 3 am show twin - bed room 1st floor , really stank stale tobacco smoke . immediately ask transfer another room , across corridor ; seem small first one stink . morning light day , pull back curtain see room overlook construction site , hut , earth move machinery rubble . course ask move , tell ( despite insist several time ) room available . ( believe ) . two night later , day due leave tell another room available . record , window Imperial appear small . perhaps build fort 19th century effect let little daylight bedroom dark dingy . disappointing wife first trip India tell previous 3 stay imperial lovely old - fashioned neo colonial atmosphere historic 19th century ambiance . unfortunately , since last stay 2003 , hotel undergo complete refurbishment although retain feature , somehow much ofthe old somewhat - fade atmosphere appear lose . , Imperial truly unique , like luxury hotel something former charm lose process . one final thing . look forward nice cup coffee tea breakfast , forget ! wife agree coffee breakfast tea disgusting taste anywhere , ever . bring instant tea bagsif want half decent cuppa . David Baber , London March 5th 2009 
 Mar 4 2009 	 great historic hotel 	 stay Imperial Hotel visit Delhi transit Bhutan ... hotel centrally locate ... close Red Fort Parliament ... hotel traditional finish colonial fashion ... modern amenity ( small gym business center ) well good restaurant ... Spice Route restaurant excellent regard one good restauarant India ... staff friendly , particularly Sikh doorman , concierge responsive pre - arrival request ... Delhi also eat restaurant Bukhara , locate ITC Sheraton , think live reputation one good restaurant Asia ... bukhara good indian food eat , particularly like grill meat ... look traditional hotel Delhi , imperial choice . 
 Mar 2 2009 	 Elegance Comfort Great Location 	 husband , another couple , stay Imperial Hotel 3 night February . hotel exceed expectation respect . king bed comfortable , room elegantly decorate , bathroom modern spacious . one favorite part hotel amazing breakfast every morning . everything omelette station smoothie cereal bar , delicious pastry bread . one night , eat Spice Route hotel . , delicious food , impeccable service , quite decor . we highly recommend hotel many reason , without doubt , would stay ! 
 Feb 27 2009 	 Beautiful Old Hotel 	 husband conference Delhi , come leisurely vacation . room beautiful , marble floor great , big double armoire instead closet . sleep room , well lobby hallway floral scented oil burner ( think counteract smell air pollution ) . fresh fruit room well complementary bottled water . my first time India , get sick dog . room service staff good , take request specific food item menu suggest thing would easy stomach . 
 Feb 25 2009 	 beautiful hotel amazing service oasis mayhem . 	 travel New Delhi twice year business lucky ebough stay imperial trip . always delight come back . much need home home oasis beauty calm frenetic activity day . the service superb , make sure comfort meet . staff incredibly helpful polite . upgrade Superior room time stay 's worth ask . Imperial become exclusive hope lose old colonial regal charm . new extravagant beautiful pool spa build , benefit form moment sap facility somewhat limited . the Imperial offer range restaurant well beautiful Spice Route . if afford splash stay enjoy smell jasmine pemeate throghout ! 
 Feb 9 2009 	 exceptional ambience 	 madness Delhi , hotel oasis . fastidiously maintain , wander awe British Empire . Spice Route , restaurant , excellent . memorable experience . 
 Feb 1 2009 	 disappointing 	 Grand , comfortable public area . ( Room 148 ) marble bedroom floor dark furniture small window . overlook ancillary area mean curtain draw privacy loud noise early a.m . toilet work properly get plumber sort . bar masculine , lack relaxed seating . great single traveller . italian restaurant fab extortionate . 1911 pleasant meal . breakfast good service poor second morning . have swedish massage salon . specifically request almond oil . guess , almond oil masseur slather much could fry fish chip 1000 ! Better Shangri La . prefer Trident Gurgaon Oberoi 
 Jan 31 2009 	 Lovely Hotel ! 	 hotel lovely ! room comfortable lovely big bathroom . try 2 restaurant , Spice Route Daniell 's Tavern . food ok service exceptionally slow forgetful . restaurant also freeze ! bar lovely hotel one nice Mango Daiquiris India . disappoint discover swimming pool close especially prior notification . would stay though probably would not eat . 
