Friendly 	 close everything would want . located heart Union Square , lot great dining choice nearby , close cable car line public transportation . large room San Francisco comfortable bed ! staff extra friendly helpful . free room coffee newspaper daily . certainly stay visit San Francisco ! 
 Nov 9 2009 	 Excellent hotel . 	 Excellent hotel . large studio room 9th floor . king size bed fold sofabe teenager . spacious room even leave foldout sofa open entire time . clean room bathroom . helpful friendly staff . concierge available reservation , suggestion , etc . valet parking car catch taxi . desk staff friendly . Daily maid service nightly turn - down service chocolate . everyone professional . room small foyer closet dresser mirror . large bathroom . clean bathroom . water pressure shower extremely strong ! ! ! ! room dish , glassware silverware 2 , small fridge , microwave , coffeemaker coffee , sugar . salt pepper . small bar sink towel . shelve efficiency set . nice well use we . room flat screen tv armoire side shelve side storage . Desk chair lamp . also 2 additional lamp bedside / sofa - side table . also , club level lounge . coffee , tea , hot chocolate , hot water , table chair sit , eat , relax . bring lunch warm , sunny day . door outside deck open . nice . useful quiet . see people work laptop also . also wine cheese hour 4 - 5pm looked well attend . small gym club level floor . stay Nov. 3 - 8 . great location . one block cable car . bus stop outside . one block heart Union Square . cafe , restaurant close , block one two block walk . plenty store shopper . Lots San Francisco . hotel well price consider location , room size , amenity , etc . nice room come back end day sightseeing . would definitely stay . highly recommend hotel . first visit San Francisco . loved city . loved hotel . suggestion . request high level floor away sound jazz music 2nd floor restaurant prefer quiet . room 9th floor right we . 
 Nov 9 2009 	 Adequate / Convenient 	 pick Donatello base great review website , well great rate get . think review tad generous , high expectation . decent location staff extremely friendly helpful . room spacious , bathroom decor bit wear / old clean . bed comfortable . microwave mini fridge nice bonus addition coffee maker . not check fitness area part hotel , sure like . need place conveniently locate relatively safe area , reasonably price , since stay 1 night . I 6th floor , could hear traffic cable car ( Powell block away ) night . , location close Union Square trade . light sleeper bring earplug get high floor . computer use lobby , 1 . wait use , think free wi fi bring laptop . 
 Nov 9 2009 	 Perfect choice - will stay ! 	 Donatello perfectly locate one block Union Square , be surround amazing shopping , restaurant cable car stop . hotel staff wonderful - helpful map , umbrella , cab - anything need provide quickly pleasantly ! room large - my husband share king size bed , daughter sleep pull sofa bed , plenty room maneuver . excellent experience around . 
 Nov 6 2009 	 wonderful room great location 	 stay Donatello 2 night please friendly informative staff , great spacious room wonderful location . club floor coffee , tea comfortable seating relax . wonderful perk great way start day . 
 Nov 5 2009 	 good value SF 	 stay hotel deliver spacious update room price . hotel SF ( even recently remodel one ) old w/ really small room . yes , be see city , room , little extra space always good thing . plus 's minifrig , micro , champagne glass , etc . help stretch travel dollar . staff great ; let we check room early . walk city afternoon take champagne 14th floor terrace enjoy sunshine ( amazing 75 degree Nov ! ) . will definitely back recommend friend . 
 Nov 4 2009 	 Excellent Service Value Money 	 moment arrive staff helpful willing answer question . delighted able get room early . room compact well equip comfortable . access lounge complimentary warm beverage alternative place sit read / talk etc brilliant . locate one block Union Square location could well . child ( age 5 7 ) love spa donut breakfast ! request quiet room high floor provide . we definitely stay agin recommend hotel visitor San Francisco . 
 Nov 3 2009 	 consistently Good 	 stay Donatello many time . first get engage back 1988 ! staff always great seem love job . room comfortable , clean frig , micro sink make snack easy . hotel real bargain consider quality room staff location . 
 Nov 2 2009 	 Knee Deep Hoopla 	 Donatello locate great part San Francisco , close Union Square , cable car , China Town . great deal energy flow area , well accompany noise . think part daily performance art exhibit include laugh , yell people , honk , bus brake bum . 's quieter work week spike weekend . for part , invigorate . however , want ' turn ' , huge single - pane window hold back much - although partially compensate opening crack let brisk air . especially rancorous beer bottle start fly neighbor use powerful plumbing ( Mgmt : try look hammer arrester ) .If deal hubbub , treat nicely sized room necessity much way trendy furniture ( calm color choice - unless Bears Gators fan ) . bed like - hard soft . yes , icebox , safe , wet bar . as typically find great city , service great friendly . get room always snap w/ two quick elevator short hallway . for money , probably can not beat , be overly picky sensitive tourist set not despoil city anyways . travel Fatherland w/ Bosha can not figure cable car personal taxi : please stick South Beach - be wait . 
 Nov 2 2009 	 enjoyable stay 	 21 family member Hawaii attend son 's wedding San Fran enjoyable stay Donatello Hotel . entire staff friendly helpful . Front Desk & amp ; Bell man greet we every morning way enjoy city tell we nice day . room spacious clean . location excellent , one block Union Square 3 block cable car turnaround Bart station . lot eat place close well . 
 Nov 1 2009 	 great location great value comfortable clean room 	 four night stay quite satisfied . location great ; walk travel , walk San Francisco hotel . 6 block walk BART stop easy access to / from SFO . pillow tad large / hard side , stay perfect . would definitely stay . 
 Oct 28 2009 	 Great Location -- Helpful Friendly Staff -- large Clean Rooms 	 stay Donatello American Academy Ophthalmology . location Union Square great , property fantstic . upon check , notice cell phone run charge realize forgot pack charger -- sure enough front desk spare give free use day . 5th floor room huge clean even nice courtyard area table back . front desk staff always smile hello come went really make feel welcome . would certainly stay . concierge even set rental ( two block away ) could drive Yosemite day . general area , two restaurant enjoy -- Daily Grill -- pub type atmosphere nice menu perfect dining alone Farallon nice seafood restaurant one - of - a - kind decor ... 
 Oct 27 2009 	 good hotel good value 	 good location , large room fit also 2 people . staff friendly helpful . 
 Oct 26 2009 	 average 	 read positive review , expect little hotel . average , however location could well . 
 Oct 25 2009 	 Superb place stay 	 fantastic location , helpful friendly staff , clean greatsized room everything need amazing value money 
 Oct 23 2009 	 top location great sized room excellent value breakfast . 	 easy walk Powell Station hotel offer great value money addition huge room wonderful $ 7 breakfast . staff helpful make first hotel US holiday great experience . 
 Oct 21 2009 	 nice great value great location 	 consider quality location hotel , price ( ~ $ 160 / night ) really great value . room spacious comfortable . close BART , come airport , right near 30 bus ( Exploratorium , Ghirardhelli , City Lights bookstore , North Beach , Chinatown , etc . ) . also quite close Dotty 's true Blue Cafe , excellent breakfast ( go Friday morning , 1 hour get line serve food - weekend probably much bad ) .The desk staff helpful friendly . complaint second night , get ready bed around 11 pm , someone start insistently knock door , not immediately answer , try come ( although could not use additional lock ) . peer , hotel employee ask room clean . WTF ? first , yes , , second , hell would anyone ask 11 pm ? maid call ? would want maid room 11 pm anyway ? check tell desk clerk , note say would investigate . far tell , one stupid employee otherwise nice hotel . 
 Oct 21 2009 	 everything would hope read Trip Advisor 	 Title say really : ) 1 block Union square Cable Cars 10 min leisurely walk Moscone conference center . breakfast long free excellent value 7USD per person . free use Jacuzzi , sauna Gym . Rooftop garden nice lounge free tea , coffee etc . room BIG bed huge equipped microwave , coffee maker , fridge basic kitchen stuff ( knife , corkscrew etc ) .friendly knowledgeable staff . parking bit pricey ( Valet service 28USD ) be guest unlimited in / Out privilege 24 hrs . good kid - great location . would not hesitate recommend would definitely stay . 
 Oct 17 2009 	 elegant 	 beautiful hotel right heart shopping center , easy walk distance cable car restaurant etc . 
 Oct 17 2009 	 Nice hotel 	 stay 2 night end trip San Francisco . upon arrival , staff friendly helpful . room clean spacious comfortable bed , large flat screen tv dvd player . hotel also offer complimentary wi - fi tea coffee top floor . the downside really room quite noisy . 11th floor , could still hear traffic street . reason give hotel 4 star also stay Parc 55 hotel trip find well hotel well location . 
 Oct 16 2009 	 great room - TerribleWi - fi 	 town conference room awesome ! chocolate every evening ! however , need work wi - fi terrible ! would nice default LAN line could tap , would give rating 5 ! 
 Oct 15 2009 	 great stay . 	 mother , two young child , stay Donatello 10/11/09 . attend Shell Vacations owner ' update meeting , already stay two night ( 10/09 - 10/10 ) another hotel Fisherman 's Wharf . want extend weekedn trip , decide use Shell Vacations point Donatello . stay Donatello August , stay great . everybody front desk super friendly helpful , make we feel welcome back . thing different , free continenatl breakfast anymore . family enjoy breakfast much August , anymore . guess try save food beverage cost ( ? ) . overall , hotel still wonderful , definitely return soon ! 
 Oct 14 2009 	 disappointed select Donatello Hotel San Francisco . 	 time share Donatello also use hotel room come available nothing available time share . bar hot spot happy hour every night . bar tender gracious knowledgable . large bar comfortable . often live music . every person connect stay go way make feel want home . bell staff give impression job profession ! one favorite employ 17 year . location excellent -- block Geary Curran Theatres -- block Union Square surround many major shopping venue . awhile since dine restaurant hear food great . Friday night wine taste reception array goody . room clean sparkle . ammenitie exceptional . also fully equip exercise area spa . negative parking include . 's home City . 
 Oct 13 2009 	 great place stay near Union Square 	 Donatello Hotel great place stay visit San Francisco . locate block Union Square within walk distance Chinatown Knob Hill . room clean spacious include kitchen area microwave . enjoy shopping Union Square visit restaurant area . also spend several afternoon enjoy walk tour sponsor City Guides , great way learn city get exercise time . hotel happy hour every day 4:00 feature half price appetizer low price drink , great place relax walk tour . 
 Oct 13 2009 	 excellent stay 	 great hotel - location , room large clean . staff pleasure deal withwill stay excellent breakfast , fine resturanttvsev 
 Oct 12 2009 	 convenient location 	 stay Presidential Suite husband 's 50th b'day sister husband . check front desk person state & quot ; oh Presidential Suite & quot ; , thought & quot ; wow must pretty special & quot ; . Decor date . although appear clean look bathroom age furniture make feel otherwise . bathroom date , mark mirror , paint old vanity . shower head extremely low wall . water pressure 2nd bath shower poor . main toilet keep run water unless hold lever entire flush . Maintainence come immediately fix , problem well . unit large roomy . on another note , staff extremely pleasant helpful . 
 Oct 11 2009 	 perfect destination 	 stay Donatello exceed expectation . location right center art gallery , fine restaurant , major theater , close transportation take we part city . room quiet spacious well clean . bed comfortable . advice front desk extremely helpful get direction obtain theater ticket . breakfast restaurant bar certainly adequate effcient . enjoy center city . 
 Oct 11 2009 	 Great Bargin 4 Star Hotel 	 find Donatello Clean well take care . staff always service friendly . find location perfect need . close China town , Union Square , several Resturants . shopping sight seeing could done walking block , eliminate fight traffic taxi fare . 
 Oct 10 2009 	 central COMFORTABLE DECOR stick ' seventy 	 Donatello rather gloomy inside , much stuck ' seventy ' boutique hotel ' see describe ! however , double room huge mirror place , sofa , plenty wardrobe space massive bed . little dingy - dirty could facelift ... comfortable central , Union Square . hideously expensive position would recommend short stay ( 3 night ) . 
 Oct 8 2009 	 unique comfortable hotel great location 	 third time stay Donatello . always service great although enjoy concierge try get we go time share talk ! thank , ' m vacation ! issue . room unique color palate royal blue orange comfortable plenty room . great bonus room come partial kitchen include dish , mini fridge , microwave , toaster , sink towel . great money saver make breakfast every morning . hotel also great location union square , block cable car lot shopping . 
 Oct 7 2009 	 simply perfect 	 spend week hotel wife September 09 , love every moment stay . staff extremely helpful . room excellent , spacious , well equip everything brand new . also , location great , close cable car , department store , bus stop lot restaurant shop . would definitely come back Donatello next trip San Francisco . 
 Oct 7 2009 	 good value location 	 return Bay Area trip , include couple night SF , Donatello . purpose could ask well location . along adequate room ; reasonably price park courteous helpful staff ' , think hotel provide good value . a couple nit however ... complimentary breakfast note website long exist . choose partake essentially continental breakfast ( package instant oatmeal hard boil egg throw ) , charge $ 7 / person . , look spread . next , take shower upon arrival , tub clogged , ankle water . engineer come repair immediately , would think someone housekeeping staff might notice prior new check in . all say , would probably return similar need . 
 Oct 5 2009 	 generally good couple problem 	 good location town , decent sized room pretty helpful staff . however , two separate company promote service reception club level little weird . room ok , great . cheap cutlery questionable decor . bed spread particular look clean . breakfast ok get early enough . however , big problem location room . room first level accommodation , near end hallway banquet room . traffic noise not problem we , room also accessible window via flat roof banquet room , security concern leave window open . plumb particular room also loud pipe creak wake we every night . staff try identify problem , not able sort . overall hotel ok good . 
 Oct 5 2009 	 great location 	 Nice hotel great location . the hotel clean personnel helpful friendly . a bit noise evening / night nothing complain much unless sensitive noise . what make hotel great location minute walk city centre . 
 Oct 5 2009 	 Excellent downtown S.F . hotel 	 location Donatello Post Mason close get downtown shopping scene city . room nice , usable amenity , staff pleasant helpful . in - and- parking convenient . enjoy stay . 
 Oct 5 2009 	 favorite San Francisco hotel location service . 	 stay Donatello many time continue . great location outstanding professional staff make stay pleasure . think room need paint job redecorate , size price room , beat . top floor lounge special treat . 
 Oct 3 2009 	 Pleasant surprise . 	 permanence Donatello pleasant . expect decent Hotel , instead find upscale place excellent service . room San Francisco usually small low ceiling . room Donatello large , pleasantly set , high ceiling large window . sure , next time San Fran , will visit hotel . way , right middle shopping ! 
 Oct 3 2009 	 great hotel great location great value 	 Great Location ! walk everywhere and/or take local transportation . hotel staff nice helpful . love feel botique hotel . bed comfortable room nice clean . we would stay ! problem encounter breakfast place Taylor street cross street O'farrell . wallet take purse sitting table . lucky enough catch thief ........ breakfast place ( label & quot ; good breakfast town , Zagat award & quot ; ABSOLUTELY nothing ! not offer call cop , not offer kick thief . ( thief get scared get food go catch retrieve wallet back . ) not comp breakfast . other , LOVE SAN FRAN SERVICE AREAS ! DONATELLO AWESOME ! 
 Sep 30 2009 	 Escape reality 	 greet doorman escort we car spacious room , introduce us clerk efficiently register we moment . later concierge effortlessly attain we Saturday night reservation local restaurant . getaway weekend City Bay enhance stay Donatello . 
 Sep 28 2009 	 Excellent Customer Service good value 	 stay 3 night leave Columbus Motor Inn noisy room . customer service superb hotel show 's wear tear . get room black mold along tub . staff quickly take care satisfaction immediately notify . offer wine taste Friday 's nice coffee , tea , hot chocolate available leisure . right Union Square great access many restaurant shopping establishment within walking distance . also nearby many homeless individual hang street overall feel safe . grateful Donatello able accomodate we make last minute reservation problem Columbus Motor Inn . would definitely stay . 
 Sep 27 2009 	 Superlative service accomodation comfort abound Donatello ! 	 recent stay Donatello Hotel continue meet expectation . '' convenient location Union Square add charm , adjacent , reasonable valet parking garage add bonus travel car . enjoy able walk superb restaurant good shop San Francisco offer , Donatello . long day work play , friendly staff fitness center sauna whirlpool await . stay Presidential Suite & quot ; frost cake & quot ; , provide spacious 2 bedroom , dining room living room layout comfort home . would come back jewel place ? bet would ...... , many time . 
 Sep 25 2009 	 GREAT LOCATION FRIENDLY STAFF 	 stay five night hotel . reception friendly . bedroom large clean . Towels linen change every day . continental breakfast also provide good . plenty toast , pastry , cereal , tea coffee . hotel great location two minute Union Square transport . would recommend hotel short stay visitor . 
 Sep 25 2009 	 Comfort good value central location 	 use Donatello three night , arrival UK whilst wait pick RV . choose hotel basis comment guest TripAdvisor disappoint . staff Reception friendly happy give advice get good short stay . bedroom huge ( bathroom ) kitchenette sink , microwave , fridge coffee maker . on - line rate seem excellent value , include continental breakfast . recently improve - serve mezzanine floor alongside restaurant , well supply fruit , cereal savourie supplement pastry coffee . hotel one block Union Square , reduce noise , short walk ( even wheeled case ) BART cable car terminus . good location sight - seeing , go north Fisherman 's Wharf cable car come back via tram along coast . 
 Sep 24 2009 	 Donatello excellent 	 presidential suite since 3 we . staff extend every extra courtesy location right middle everything . not get roof deck b / c windy , would even well . recommend hotel . 
 Sep 22 2009 	 hotel exceptional customer service 	 , along family , recently pleasure stay Donatello . impressed hotel even arrive . phone call hotel prior arrival quickly answer . staff knowledgeable helpful . even remember previously call . although arrive prior 3 pm check - in time , well care . bell captain take bag check . call room become available . the hotel well situated , block cable car close store restaurant . convenient parking available , hotel near - by lot privilege reasonable cost . the room spacious inviting , high ceiling window open . especially enjoy roof - top lounge , fireplace inside outside seating , great place first last coffee day . another great service hotel : print direction help navigate San Franciso . tthere many wonderful thing Donatello , impress welcome staff . 
 Sep 22 2009 	 friendly accomadating great location 	 Park car leave ! walk take trolley take street car , good way get around San Francisco . 
 Sep 22 2009 	 wonderful hotel great location ! 	 first trip SF . Donatello great central location use public transportion want go . room clean comfortable . free continental breakfast also big plus choose hotel . 
 Sep 22 2009 	 '' stay ! 	 great hotel ! perfect location uinion square , place lot shop plent vitality . near cablecar line , near Powell street station . staff incredibly welcoming , polite willing help every kind problem . room bathroom spacious , clean , comfortable forniture eat ( microwave , cup glass , mug , fork , spoon , toaster , etc . ) . plus hate hotel moquet floor allergy dust , floor hall make beautiful marble . appreciate . 
 Sep 18 2009 	 wonderful stay 	 moment arrive Donatello treat like honor guest parking attendant , bellman front desk receptionist . wedding anniversary , treat complimentary bottle wine chocolate . room spacious , request , high floor street escape city noise . funky furnishing pleasant functional , lot storage space . mini kitchen handy snacker like we . club room top floor lovely place sit talk . continental breakfast restaurant adequate like we , see people voucher not pay normal $ 7 charge . negative peel paint bottom bathroom door , discolor grout around tub not look clean even , loose faucet mini bar . consider minor great hotel right price heart action could walk everywhere . even walk pier Alcatraz Ferry . would stay Donatello ? Bet ! 
 Sep 18 2009 	 great location convenience 	 would highly recommend hotel . king size bed great fold large comfortable . mini kitchen handy . as far location 's great Union Square area give great access transit , cable car , great shopping etc . 
 Sep 17 2009 	 good value superlocation 	 hotel location want San Francisco . close shopping area Union Square walk distance touristic area San Francisco . room clean spacious service good . friendly personnel nice jazzbar live music good food . 
 Sep 17 2009 	 friendly efficient service ; great location ; large room ; window open -- could ask ? 	 group nine adult get together annually . year 50th wedding anniversary , get pick venue . know picture & quot ; lie , & quot ; visit least two dozen hotel around Union Square San Francisco delight Donatello within price range . standard room large other nearby hotel -- window open , real plus . book checkout , service everyone friendly efficient . room equip microwave , fridge , basic dishware . Friday afternoon wine cheese augumente stay appetizer local restaurant ; enjoyable hour socialize guest . free continental breakfast ( apparently everyone 's favorite ) replace self - serve buffet ( $ 7 / person add bill ) Zingari restaurant bar ( accessible hotel elevator ) . ' m unclear relationship restaurant hotel , would recommend restaurant well . husband eat many time never less good excellent food service . time even willing provide we separate check ( must reunion ) .We room 8th , 9th , 10th floor complaint noise . room face Mason St. ; room face Post might noisy . hotel center major city , , be go quiet wilderness . the hotel resort , ask give sale pitch . purpose get together . information property room . 
 Sep 14 2009 	 Great 	 spend 2 night getting reacquaint city 30 year absence . room & amp ; service perfect every amenity one could want ; include robe , microwave , fridge , daily newspaper door even chocolate leave bed turn night ! $ 7.00 charge continental breakfast would skip instead hit one many spot Union Square area serve breakfast much price . free coffee , tea etc . available day top floor lounge room coffee maker well . would definitely stay Donatello . 
 Sep 13 2009 	 perfect 	 staff excellent throughout hotelgreat happy hour good food drinksthere small spa upstairs club level - not exciting - but want itthis great location , walk distance almost everythingrecommendation restaurant near good , try Fino - great italianthis San Francisco hotel future trip 
 Sep 13 2009 	 Fantastic - Loved ! ! 	 stay Donatello 5 night tour San Francisco . staff friendly 's excellent location near union square . staff helpful locating attraction book activity ( see Sarah front desk ) . Breakfast not worth look ( fruit pastry get early - get 7 am ) . bed comfortable though everyone say location sell it . tip : Friday afternoon complimentary wine cheese timeshare sale pitch , not waste time not interested buying timeshare . 
 Sep 13 2009 	 amazing service location great price . 	 great value . downtown location service would expect place charge double price . room mini - fridge , microwave , toaster , mini - kitchen sink , addition typical hotel amenity . hotel staff extremely courteous helpful -- give direction , make change street car / trolley adventure , hold luggage check could explore town afternoon fly out . the negative comment could make loud night , traffic etc . would expect downtown location , also expect new hotel insulate window reduce noise . 
 Sep 10 2009 	 fantastic staff great Union Square location 	 spend 4 day Donatello love . block Union Square ton good restaurant within walking distance . staff , front desk bellman maid friendly helpful . parking $ 28 per day , not take car - cable car trolley car walking distance away . large room small refrigerator microwave . comfortable bed flat screen tv . restaurant hotel pricey ( San Francisco restaurant ) , good food ( excellent service ) . definitely stay . 
 Sep 10 2009 	 Great Location 	 room clean , friendly helpful staff , great location , think little price , consider pay parking , 2 room party 5.Breakfast OK fab , day check move breakfast area restaurant . much well selection place sit , extra $ 7 per person . I would use hotel 4 we . 
 Sep 8 2009 	 amazing value money 	 stay two night Donatello San Francisco . choose hotel mostly good review high expectation excel . the location amazing . near Union Square get everywhere use muni system . walk Embarcadero even pleasant long walk . the hotel modern clean room huge . good real bargain ( shop around online find amazingly low price ) .I would highly recommend hotel , want stay San Francisco . not find shortcoming not think find well package price . 
 Sep 6 2009 	 would love come back every year ! 	 first visit San Francisco idea expect . thrilled excited impressed everything see experience . hotel perfect staff helpful friendly . great location . walk Market Street Embarcadero along Fisherman 's Wharf . long walk use thoroughly enjoy . another day , rent car drive Pacific Coast Monterey Carmel . absolutely beautiful . able park car night hotel reasonable charge . also rent bike bike across Golden Gate Bridge Sausalito . another really fun day . far much one trip . will come back continue . zero complaint we . 
 Sep 6 2009 	 good location great room breakfast average 	 room large comfortable . service excellent . proximity union square , shop public transport option also helpful . nice coffee room coffee breakfast suboptimal . go starbuck . 
 Sep 5 2009 	 wonderful location great value 	 lot positive review centrally locate 4 star hotel San Francisco 's another one . book via internet site also confirm phone get good deal £ 119 + tax studio room king size bed large sofa bed . room large San Francisco standard ( smallish bathroom well equip ) . good city view room also Club level top building free hot drink available spa , sauna fitness room . staff friendly helpful good concierge service book restaurant etc . Location Post Street Mason good , although Mason Market Street fair share rather tacky tourist restaurant store . stay two night would happily stay long enjoy great city . 
 Sep 4 2009 	 great first time kid see great sight sound San Francisco ! 	 kid 9 & amp ; 7 - year think old enough appreciate sight great city . stay Donatello great experience central sight either walk drive . include price parking ( free ) help tremendously . hotel amenity room superb . wonderful experience look foward another visit Bay Area ! 
 Sep 3 2009 	 can not fault Donatello 	 Booked Donatello directly website , drive trip rental car , parking important . not want pay much park car , hotel room . get parking package , include unlimited in - and - out valet parking . staff contact fantastic , enthusiastic helpful , clearly enjoy job . room spacious , mini kitchen ( complete salt pepper , cutlery , crockery , coffee machine , microwave frig ) real bonus . be often stay hotel large couch easy chair studio room . bed oh , comfy . great location , one block Union Square . definitely go back next holiday San Francisco . 
 Sep 2 2009 	 great service large comfortable room excellent location ! ! 	 really enjoy 3 nite Donatello . hotel staff excellent , room large fridge microwave , utensil plate . we usually stay Lombard decide try hotel great choice . definitely stay ! ! 
 Sep 2 2009 	 Great Heat Escape 	 Living Arizona , important us desert rat find great get - away middle summer . stay Donatello weekend one good time live . much see barely time rest .... Farmers Market Fisherman 's Wharf UNBELIEVABLE ! ! ! ! muni system well get point point b without hassle .... hotel staff helpful find we right place eat , etc proud . would recommend Hotel anyone , anytime . thank Trish & amp ; Ed 
 Aug 31 2009 	 great location - great hotel 	 Stayed Donatello one week summer . travel 3 teenager - two room . chose property base review site disappoint . room large ( even pull couch open ) clean well furnish . bed comfy . housekeep good , extra towel leave automatically , need ask . turn service nice touch . location wonderful : near everything great variety restaurant within walking distance . hotel restaurant good well . exercise area small equipment limit . computer lobby area nice touch internet access unbearably slow . concierge able help we print boarding pass return flight . area continental breakfast small . hotel change breakfast restaurant area accomodate crowd limited selection complaint . Seemed would fee associte . ( $ 7 ) check new choice , may want clarify expect free continental breakfastuse valet service daily . car always bring promptly . day parker busy car take another minute two , valet always acknowledge apologized delay . would return propoert without hesitation 
 Aug 31 2009 	 San Francisco Treat 	 always enjoy location Donatello Hotel well courtesy staff . arrive early delight allow access room ; treat drive San Diego son truck . tired wait restaurant open bar menu happy hour drink quickly feel relaxed comfortable . next day fun begin explore City easy location come go . second time stay Donatello come back real soon ! ! 
 Aug 30 2009 	 wonderful location friendly staff great accommodation 	 husband Shell Vacations Club timeshare point Donatello use & quot ; cooling & quot ; summer Sacramento Valley heat . love place staff extremely friendly curteous request extra always meet promptly . location , one block Union Square , ideal everthing , shopping , restaurant , theater , name . accommodation nice include small & quot ; wet bar & quot ; microwave , comfortable sofa chair . enough say . 
 Aug 28 2009 	 LOVED ! 	 boyfriend recently stay Donatello can not say enough nice thing . first time San Francisco book resort Shell Vacations Club . ( member . ) hotel centrally locate within walking distance Union Square Chinatown within 10 minute driving distance Lombard Street , Wharf Golden Gate Bridge . room hotel lovely . room tastefully decorate nice color number window , large bed pullout couch . also mini - kitchen room , microwave , small refridge , sink , plate , cup utinsel . hotel staff exceptional , - valet , concierge , front desk employee , clean crew , everyone - extremely nice helpful . would recommend hotel / resort family friend . wonderful experience . 
 Aug 27 2009 	 presidential view top 	 snag Presidential Suite top floor booking , spouse in - law . owner use live feel much like home ... home 14th floor block away Union Square . luxury living room , corner dining room great view , entry hall corridor master bedroom ( en suite ) second bedroom ( small bathroom across hall ) . spacious , bonus decent sound insulation ; feel like could space . flat screen tv 3 room , microwave fridge . front desk staff helpful . party take advantage exercise room breakfast club room . even succeed get clean staff leave towel request ; every single place ' ve far put ' Save Planet ' sign bathroom replace towel matter what . street parking , even drop luggage , tough impossible , ditched rental car thank goodness . 
 Aug 26 2009 	 Best Hotel San Francisco 	 staff superb location good , one block Union Square close BART station . breakfast wonderful complimentary wine cheese Friday GREAT ! ! love visit . 
