perfect 	 Hotel quiet , street quiet night . hotel close pretty much everywhere will want go . short walk Bryant Park , Grand Central Station . little long walk short subway cab ride Rockefeller Center , Central Park Lower East Side . room pleasant enough room move around , leave luggage floor , put thing away , etc . window actually open nice touch hotel offer . able easily open window get little cool air packing . bed comfortable lot extra pillow ; side bed little table lamp . hotel decor happen exactly style bright color ; make everything feel cheery . excellent breakfast buffet reasonable price NYC . complaint . staff friendly helpful . seem brief problem heat . least be tell deliver space heater notice problem . never need use . heat work fine hour later . also nice find superb rate Kayak . offer park reasonable rate Manhattan , not even need use . got great advice park car get free parking space within 2 block hotel weekday weekend . not know will ever able afford hotel , would love go back . 
 small room yes comfortable . 	 go New York City third time October mom great aunt . teenager , quite bit travel experience . say , Roger Williams hotel second hotel one trip . switch two day stay Novotel . arrive Roger Williams , kind concerned location ( location time square ) , not know nearby . walk hotel impressed . exactly like website show ( sometimes website bit improved ) , comfortable feel , warm lighting . pleased entire stay . yes , hotel room small , compare last hotel not mind . hallway colourful , room white colour . bathroom quite small , yes , light not good . still like . modern , comfy . shower leak floor , detachable shower head over - head one not work . veiw not good , room service kind weird . still , nice hotel compare leave . look feel safety hotel room , guarenteed . oh , add : bed amazingly comfy ! 
 oct 2 2009 	 Roger 's unique style service equal stay small 4 season . 	 tip would book early , include wonderful eourpean breakfast start day , relax let lovely staff pamper . enjoy location , middle old new Manhattan . surround beautiful architecture 2 block Empire State Building . great choice 25th wedding anniversary . 
 Sep 29 2009 	 Excellent Midtown Hotel ! 	 arrive 9am lucky check early . staff friendly accomodate . breakfast buffet excellent , many choice , typical hotel food . canele prosciutto amazing espresso , $ 20 per person , average NY boutique hotel . room size right , free WiFi , comfortable bed pillow . return sure . 
 Sep 26 2009 	 Beware UK Travelodge 	 unfortunately give good review hotel 4 star hotel originally booking . Hotel KItano double book we send we advise good hotel would get well room . we must first allocate room give case like ask another room . 1st room overlook outside terrace guest sit smoke , stand room 1 shower room , state disrepair - wood veneer break furniture , wardrobe safe locate 6 ft high . 2nd room much well could hear occupant another use toilet air condtione unit leak carpet wet foot . report dry carpet much say checked mention . concurr breakfast really expensive breakfast room also bar 's pretty small . if want UK Travelodge style hotel would fine not also bit futher orginally mea not stay lack bar immediate area nightcap . reception area nice room spacious comfy bed we . 
 Sep 17 2009 	 great experience around ! 	 stay hotel Roger williams labour day weekend friend . check fast courteous . within five minute get room , get phone call front desk ask everything room alright need anything ( never happen hotel ' ve stay ) . room excellent , clean spacious . location hotel perfect everything close ( shop , restaurant etc . ) . front desk doorman helpful give recommendation dinner even make reservation we wherever go . great experience Primehouse steakhouse recommend hotel staff , even give we complimentary dessert hotel referrre we . another great recommendation give we breakfast place around corner ' Guy & amp ; Gallard 's ' , cheap great food ! everything hotel winner include price , especially staff .... friendly helpful . would definitely stay highly recommend . 
 Sep 13 2009 	 bed ! ! ! 	 spend three night Hotel Roger Williams last weekend . nice , trendy hotel . close enough subway station get we US Open Mets Game . breakfast tad pricey serve delicious selection . sausage egg , oatmeal , bagel , lox , pastry , good coffee much . main attraction bed . 108 x 102 inch heaven ! people rarely get good night 's sleep stay hotel , experience remarkable . shock late slept ! staff helpful friendly . everyone know job well . 
 Sep 8 2009 	 Roger Williams Hotel centerpiece fantastic visit NYC 	 husband visit NYC attend US Open Labor Day weekend . shop many online channel find good deal 4 - star property good location Manhattan ' m satisfied choice . guestroom ready time front desk agent friendly welcoming casual , yet efficient manner . check , notice two laptop side desk available guest use . end stay able check flight print boarding pass ease . superior guestroom design match style lobby service chic eclectic touch . course not large guestroom ever experience , definitely within expectation NYC . plan first trip New York , prepare small accommodation . location desirably situate area local feel block away Empire State building . walk Herald Square , Grand Central easily catch subway Central Park US Open Queens . return Queens hungry Pizza hotel recommend Vezzo , two block away , outstanding . also hit Brother Jimmy 's BBQ , two block away , lunch also good . favorite dining experience yet two block away Ayza , wine chocolate bar . love area . always like try different boutique hotel NYC , hard return back Roger Williams next visit . thank great stay . 
 Sep 4 2009 	 one good boutique hotel manhattan 	 spend day teen son NYC.It second time Roger Williams hotel far good boutique hotel price have . the room large NYC standard , spotless , friendly staff good breakfast . I usually go nyc buisness stay mercer hotel Soho . william rogers luxurious Mercer .... special rate $ 169 / night cost third price mercer distrure people wait star stay Mercer . the problem see Soho much well restaurant choice Midtown trendy shop . my son love kidrobot one ! .In short reccomand Roger well hide pearl manhattan . Flavio Geneva 
 Sep 1 2009 	 beware scam charge continue ! 	 reviewer state hotel decent enough location excellent . scam daily & quot ; service charge & quot ; go $ 18 day ! shock charge even though book Hotwire ( good $ 158 rate ) . really law kind thing . 
 Aug 31 2009 	 nice hotel extra hidden fee . 	 book trip , pleased price , location , quality hotel . check $ 18 fee internet phone service , REQUIRED charge per night . list website marketing material . also , site say & quot ; help - yourself Breakfast Pantry , complimentary daily newspaper & quot ; , turn pay breakfast . TECHNICALLY wrong , misleading . , hotel really nice staff nice , aware hotel really cost . 
 Aug 26 2009 	 Great Place Location . 	 hesitant stay since room look small , especially 2 bedded room . room small absolutely problem . plenty room luggage shopping bag ! issue door / wall bathroom frost glass ... could not see bed area , next bathroom / door . , getting use , fine . 4 large pillow , 2 small pillow bed . bench end bed use mainly luggage . window japenese like screen front - head bed leave close , give room soft glow , need nightlight . want pitch dark , could always pull actual window shade . location fantastic , close shopping ( Macys ! ) , far Times Square , subway close - 6 33rd use many time ... go 34st subway choice . cab plentiful area . must use room key go elevator . Deli 's , coffee , restaruant close . eat Bella Napoli pizza one night street block Sushi Sushi Twist . good ... eat Tasty NY quick bite morning . the hotel staff good ! . always door , always greate we warmly - whether pass hall wherever . even maid crew - ever see hall , always nice . great impression make . Loved ! definately back . 
 Aug 25 2009 	 great Midtown experience ... 	 spend long weekend Roger Williams past weekend wife two teenage boy . great stay overall . Roger Williams start impress soon walk lobby ... great look decorate style . desk personnel friendly , helpful eager please . Bellman great ... quick open door offer assistance . Rooms New York smallish nice . funky style comfortable bed welcome ton walk around city . dinner hotel lounge one evening turn good ... welcome convenient extra . location good ... block Empire State building , block subway far enough Times Square craziness . nighttime fairly quiet compare city standard . overall ... nice place , friendly people good location . 
 Aug 23 2009 	 great spot great service ! 	 first trip NYC many attempt get . hotel clean , quiet well locate . room extremely comfortable homey . the hotel staff helpful friendly . arrive early , well check time accomadate we without complaint . free internet access hotel guest lobby doorman nice touch . great toiletry bathroom lot room hang clothe stuff . it centrally locate , two block Empire State building . great cheap family run breakfast / lunch place across street well . 
 Jul 27 2009 	 Roger perfect we ... 	 book Roger Williams Hotel last minute Hotwire . funky little boutique hotel great location . staff courteous helpful . ithe room fine 5 year old ... mostly fill king size bed , good sized flat screen decent selection channel evening .... crazy night life 5 year old tow ! bathroom quite small , functional clean . really enjoy Madison Square Park close son play hour two day , grateful front desk telling . eat two restaurant suggest staff perfect within short walking distance hotel . right pleased , ask parking , tell valet $ 60 per night SUV , good w/ walk two block could park $ 22 per night w/ hotel validation ! be pretty significant saving inconvenient ... pick car , $ 20 per night . bad NYC ! would definitely stay Roger would recommend friend family . 
 Jul 6 2009 	 nice choice East Side adventure 	 get nice rate website 2 night stay July 4th weekend . nice stay ! staff friendly helpful . room small average Manhattan . clean , comfortable bed great pillow . small flat screen tv adjustable arm . clock / radio iPod dock nice touch . the downside wear tear room ( scuff baseboard , creaky floor , rust shower fixture ) . ' m crazy decor . ' m really nitpick . could find lot bad NYC hotel . $ 18 per day charge housekeeping / wi - fi / fitness center whether use . feel like room high price convenience store goody price list . not eat $ 4 kitkat . will find great delis , CVS , surround block , go explore ! favorite aspect hotel location . Murray Hill quiet little neighborhood far fun midtown central tourist stuff foot . hotel convenient 33rd Street subway station could easily ride # 6 train East Side . great subway trip Met , Grand Central Terminal , Brooklyn Bridge . would gladly return Hotel Roger Williams recommend friend interested East Side comfort convenience sightseeing . 
 Jun 25 2009 	 hotel fine safe bet NYC hotel 	 ' stay hotel write ( hotel offer free internet ! ) . ' check tomorrow . safe bet NYC hotel . ' central , 2 block Metro 15 minute walk large department store world ( Macy ' ) great place NY style pizza slice across street . choose hotel , stay group rate $ 199 conference near . make reservation ask high floor away elevator . check , room preference read great tip previous Tripadvisor review , decide ask room shower stall instead shower / tub combo ' stand . give go see . bathroom really nice , 2 full bed want one . front desk say room shower stall 2 bed . move room 405 small nice large bed flat screen tv ( shower stall room ) . worried low floor ' hear street noise . noise inside hotel worry . room bit noisy , door slam early morning . one thing window covering bite odd . slide screen front small window block lot light , guess provide privacy . also note , ' provide body wash ( soap ) luggage rack room ( apparently , entire hotel ) suitcase must kept floor . safe also small even tiny laptop . positive note , allow late checkout : 1:30 nice . agree reviewer say staff go way make happy . also , reviewer complain in - room sale , save offer $ 5 toothpaste since forget mine . pricey , worth face colleague morning breath . 
 Jun 19 2009 	 could not ask well hotel NY 	 hotel great - love everything , location , service room . want hotel attribute Roger Williams meet expectation beyond . ! short walk major tourist attraction , certainly stay next visit NY 
 Jun 19 2009 	 wonderful boutique hotel courteous staff 	 husband return 2 night birthday stay wonderful hotel . book online queen bed regular room . however check , mention birthday gentleman front desk , Eric ask want upgrade . course say yes send we penthouse room terrace ! ! room bright , colorful , modern clean . terrace view empire state building . bed well describe soft fluffy marshmallow . nothing room lack . yes , sink bathroom tiny little counter space , everything else room make . doorman could not nicer help we get cab , night clerk Raina doll . 2am return full day , realize leave sweater diner near lincoln center . call , leave google map door next morning retrieve sweater . also 24 hour deli across street deliver two small bottle water ( pay $ 3.50 ) water room sale bit expensive . I would definitely stay . park within walk distance beautiful area general great . sister live Manhatten could not believe great charming hotel . lobby night light candle little cozy place sit . 
 Jun 15 2009 	 lovely comfortable hotel money - make friendly 	 room lovely like extra touch : umbrella , guide book , pity everything sale high price plus lot junk crisp shaving kit , feel like be stay shop ! Extras expensive e.g . coffee breakfast , many service charge scam many say . the staff attentive ( lot scurry open door etc ) not feel real warmth . feel bit snooty cater people wealthy I . having say , be lovely , comfortable hotel , brilliantly place ( near Madison Square Park , fab ) , quiet elegant , would definitely stay again . enjoy ! 
 Jun 10 2009 	 great find Manhattan ! 	 friend stay Roger Williams Hotel overnight celebrate 27th birthday would not way ! hour search travel site read review finally choose Roger . picture review seem great find middle Manhattan block away great shopping . hotel representative personality , like stay someone 's trendy home rather hotel . interior design impeccable service great . price also really good . cost one night $ 239 include valet parking breakfast two . can not wait stay ! 
 Jun 5 2009 	 Quite Possibly Favorite Hotel Manhattan 	 wow . LOVED Roger Williams ... Manhattan 5 night early May happy accident stay Roger Williams . book Ace Hotel not open , relocate Roger Williams bargain price book Ace . say fantastic , ' ve stay Roger , ' m definitely willing pay return ! -staff incredibly courteous helpful . doorman seem make real effort remember guest , front desk staff . Front desk staff helpful guest observe -- anything train schedule restaurant suggestion set car service . say little worried price pay stay Roger , staff never make feel like not belong ... -room spacious NY spotless . bed comfortable ever , AC silent , window open ( be fairly quiet location ) , decor stylish , right detail - as other mention , bathroom really quite small ... hey , not really spend much time bathroom , right ? peek another room floor notice shower instead tub ... bathroom default seem large . think go problem , ask room shower . -free WiFi great , though hotel not business center laptop lobby guest use - safety : single female traveler , important . use room key elevator -- great touch . , staff seem know guest , helpful - seem like crowd stay fairly sophisticated ... mean lot people business , usually nice quiet night welcome treat deal reveler City want sleepagain , can not say enough good thing Roger Williams . certainly return ! get right ! ! 
 May 29 2009 	 fantastic location although bit pricey 	 travel first time own- feel safe walk night main area . want stay somewhere walk distance Broadway main shopping area . friend recommend hotel , although price little high could not fault location , cleanliness staff . not eat breakfast meal couple evenings- delicious . go New York would happy stay 
 May 26 2009 	 Hidden service charge- beware ! 	 hotel fine . room small clean modern . however , checkout notice bill service charge clean room . compare rate hotel room choose one base rate , disingenuous add hidden charge . could stay W dollar , know hidden charge . also , feel like convenience store knicknack sale small bedroom . 
 May 12 2009 	 Great Hotel 	 stay two night great experience . room good size bed comfortable . bathroom comparable would find cruise ship cabin ( i.e . small ) , prepared , bad . staff helpful thumb doorman always catch cab we want explore city open door we smile face way back hotel . breakfast hotel ( pretty expensive ! ) venture building right hotel quaint little cafe fantastic bagel pastry full breakfast menu well . like hotel quieter area . take we 40 minute walk Times Square hotel . $ 15 taxi ride Central Park / Metropolitan Museum Art hotel . next time venture back Manhattan , definitely stay hotel ! 
 Apr 29 2009 	 comfy little expensive 	 choose hotel location positive review . pay bit want attend event neighborhood elderly aunt want sure minimum difficulty and/or disappointment . pretty happy choice . bed room super comfy room clean , cozy , bright . would appreciate couple surface put stuff -- room tiny desk , tiny nightstand two bed , hotel stuff . actually end re - purposing ironing board ( first get iron something , realize really handy surface besides floor bed put stuff ) . enjoy breakfast much . breakfast - include deal many describe pay $ 20 breakfast still enjoy much , also super convenient we go ( aunt 90 ) . appreciate SELF - SERVE breakfast include automatic gratuity pay also place tip . 's right ! not TIP * twice * SELF SERVE breakfast ! opinion would better hotel charge high price eliminate type sneaky charge -- make customer feel take advantage . next time visit NYC tear stay Roger Williams take chance another less expensive hotel . happy comfortable feel pay much . 
 Mar 29 2009 	 great location good service Roger Williams 	 Hotel staff courteous , attentive , friendly . room small , hotel room NYC , comfortable . location fabulous , walk almost everywhere . check - in concierge offer upgrade terrace room $ 25.00 ; well worth . view spire Empire State bldg . , plant , chair small bench outside . sure bring snack , drink , etc . - mini - bar price astronomical . neighborhood number small shop buy item reasonable price . many good restaurant several low - price breakfast place area - skip expensive hotel food . 
 Mar 28 2009 	 wonderful stay experience ! 	 partner stay three day two night Hotel Roger Williams . staff wondeful . help we find direction easiest way get even think ask five time . patient great time . 
 Mar 23 2009 	 simple trendy comfort 	 husband stay Roger Williams Hotel March 21 one night . NYC attend birthday party family member . hotel run special web site . price include room , plus complimentary parking gourmet breakfast buffet . we drive door bellman right offer park car take bag inside . front desk exceptional . they even ask prefer high low floor . minuet room front desk phone make sure happy . room small know would review read . however , spotless . room decorate sleek modern decor bed simple elegance mattress extremly comfy .. side could find hotel bathroom . either husband large people handicap anyway way could manage bathroom .. would also challage manage child . doubt would book room one two night small bathroom place put anything counter . stay room 603.we leave party around 7 pm bellman flag cab . staff hotel exceptionally polite helpful . return go bar Hotel drink return room . great vibe staff . the breakfast buffet fresh cut fruit , fresh squeeze jucie , roll , egg small sauage . good selection . great service . check Sunday morning go great call car head home matter min . what make hotel special staff exceptional service . decor trendy , modern comfortable elegance . husband stay work city find much relax one large chain hotel . the location good . close almost everything city fashion district etc . short cab away Broadway . we feel safe hotel . I hope return lovely hotel smile staff next visit NYC . 
 Mar 22 2009 	 Roger Williams -- Ol ' reliable 	 second visit Roger Williams Hotel Madison . 's still great place get good rate . lobby attractive & amp ; welcome . room nice & amp ; bed firm . plenty closet space . location always plus -- close several subway station & amp ; good launch point be head uptown downtown . rare gem traveler not money burn . 
 Mar 21 2009 	 Great Hotel Great LocationGreat Staff ! 	 finish three night stay Roger Williams would stay next time . hotel good Location , quiet night close enough walk tourist spot . get room $ 149 Zootravel.com/hotels sister - in - law tell about . the staff friendly accomadating . I would ask question would find answer immediately always witha smile . the room nice big enough , remember New YorkCity . see Empire State Building room . go 15 year old daughter love . ( hotel city ) hope help someone fun ! ! ! 
 Mar 20 2009 	 fantastic stay ! ! ! 	 boyfriend back stay nyc.we stay roger 5 nites - the experience pleasant begin end - the location convenient , staff extremely friendly , room clean big enough 2 we , food tasty - all would recommend anyone anytime ! 
 Mar 20 2009 	 clean neat contemporary ... room tight ! 	 stay hotel . stay Chandler Hotel , much well choice . rate $ 189 per night . Roger Williams Hotel lovley lobby , quite trendy - contemporary well appoint , room really small lovley . take word . although Chandler Hotel small room ( 12x16 ) , lovley . silk drapery , comforter pillow , lovely hotel . 
 Mar 17 2009 	 would definitely return . 	 usually not care much staff , crew exceptional : friendly ( yes remember name ; even doorman ) , efficient , everyone seem genuinely . room exceptionally quiet comfortable ; bed perfect . lot drawer closet space , bathroom large . room service fast . food surprisingly good ; breakfast buffet $ 17 well worth cost : fresh , lot variety , egg sausage , oatmeal , healthy option , Sarabeth jams granola . would certainly stay . 
 Mar 17 2009 	 Fab fab fab . 	 stay 3 year ago business come back husband year , great remember . room stylish , clean bed super comfortable . yes , bathroom small city ! customer service , even american standrard outstanding . doorman 15 storey hotel able greet we name every time return ! ! restaurant recommendation give desk staff perfect ( Chef Yu Intermezzo ) .The bar lovely come back meal cocktail coffee , relax cosy . immediate location nice quiet walk pretty much anywhere , use Empire State building guide home . Times square 10 minute away . we manage get great price trip advisor . stay ! 
 Mar 13 2009 	 Great Hotel Great People 	 husband business trip NYC coincide bday & amp ; suggest come along could celebrate & amp ; could couple day kid - free quiet - tome bday treat . company travel agent book Roger Williams company deal not expect anything special . boy pleasantly surprised ! staff friendly & amp ; helpful go bit beyond . room lovely well - furnish bed cozy . bathroom small well - lay & amp ; shower good water - pressure . public area hotel nicely decorate lounge / restaurant area comfy . hotel nice area , busy close enough everything feel safe walking , even night . look forward return & amp ; would love try one terrace room spring . 
 Mar 10 2009 	 Real Nice Hotel 	 stay weekend leisure . good location , excellent , professional , courteous staff , cool decor , room large expect decorate really nice . comfortable king size bed . reasonable rate $ 149 Sat night stay . can not say bad thing hotel . already book another night . can not go wrong place . 
 Mar 5 2009 	 large quiet room Manhattan 	 love hotel ! stay year ago decide write review favourite hotel Manhattan . fave B & amp ; B Eden House Columbus circle . the service wonderful , eg . receptionist see postcard offer send . everyone helpful , doorman remember I . my room clean bright , comfortable , nice bed enough floor space yoga . bathroom shower , bath nicely appoint , new tile , free fo mould grime . thing not much like shag carpet . not like walk around barefoot . 
 Feb 23 2009 	 great place great staff 	 stay lot hotel ny , one rather special . wonderful staff service 
 Feb 22 2009 	 Great Stay 	 stay Roger Williams past weekend , book package include parking , breakfast , upgrade deluxe room total $ 250 . well worth . hotel remind boutique hotel european city . service excellent ; shortly check , reception call ensure satisfied room . room simple , clean . lounge put great breakfast spread , serve drink night . fitness center adequate serve purpose . staff friendly accommodating . would definitely stay Roger Williams . 
 Feb 9 2009 	 Pleasant stay rw 	 recently spend weekend Roger Williams convention Javits Convention Center . kind last minute . orbitz special run $ 150 night . city seem great , book right away . it be mile half away Convention Center fine , know Javits do not really much around do not want stay near area would rather stay inland . enter Roger Williams . check - in realize actually rush book wrong date Orbitz . ooop . person desk super helpful , thought have screw we check - in tell we would sort Orbitz , worry . ' ve never hotel front desk personel cordial accomidating . definately huge star save day one . we check early boot , beyond expect . even rare NY people generally impatient pushy ( sorry local NYers . ) anyway check - in , room pretty well lay comfortable . be not huge room furniture modern well choose short footprint room size noticeable due furniture do not crowd room become bare jail - cell like . tv could use modern touch . seem like akward mix old tv amongst room modern flair . do not use tv main gripe . hotel , even low scale travel lodge flat panel tv 's day . minor gripe . the bathroom bite tight liking . sink like barely squeeze . suppose lead big space room even still . feel little close toilet . other room comfortable fine . japanese slide screen cover window , think unique touch way cover typical unexciting view build next door . room well lit do not actually feel claustrophobic . , chould easily slide let sunlight , rather shade building . internet free work flawlessly . also laptop near lobby free use . quite could get laptop need check mail / google something real quick . my reason give establishment 4 5 breakfast buffet bare 18.00 . much money , I d expect custom omlette pancake . none available . scramble egg sausage that s far warm food go . fruit , muffin , bagel , nothing really warrant almost 20 dollar . suggestion would skip breakfast walk hotel one nearby diner . will save money probably enjoy well food . definately well selection warm food . wait staff occassionally . sometimes would refill coffee .. sometimes would come around ask . inconsistent . I would stay due great value get $ 150 night . room great , bed great within walk distance thing heart city offer . front desk staff really go way accomidate rare . especially establishment 200 . 
 Feb 1 2009 	 Perfect stay -- definitely return 	 Roger Williams exceed expectation every way . arrive 9 a.m. room vacant , staff allow check right away . standard room ( least expensive ) , spotless every amenity need ( Time Gotham magazine , useful NYC travel guide , umbrella , robe , safe , Aveda product ) . bed comfortable . every employee meet friendly ... housekeeper nice great job room . front desk staff doorman always nice attentive . bartender / waiter friendly chatty , concierge BEST . recommend great restaurant around corner ( Artisian ... highly recommend ) help get Town Car airport ( much well option taxi price ) . hotel quiet , safe location less 15 - minute walk subway . solo female traveler never feel safety compromise . definitely stay . 
 Jan 29 2009 	 still good 7 year later 	 wedding anniversary end January often end NYC night two relatively cheap . 7 year ago stay right hotel get makeover quite nice . high end price scale still able get room Expeida $ 200 night . room even well big last time ; decor still refreshingly functional sophisticated . 7 year ago like vibe hotel quiet location Madison Ave 31st St. good , upscale restaurant right Ave -- Olana , be easy walk Madison Gramercy Parks . 
 Jan 13 2009 	 Great Hotel 	 stay Roger Williams night Christmas 08 . never stay , little worried , should not . hotel lovely , staff friendly room clean tidy . next trip NYC would certainly stay hotel . 
 Jan 5 2009 	 comfortable nook city 	 stay Hotel Roger Williams part friend 's birthday weekend getaway NYC . room clean , spacious nicely decorate comfortable , well put together feel . staff nice , offer we free room upgrade , luggage storage check check could explore city . rate also affordable nice stay central location ( especially free upgrade ! ) . wonderful trip , look forward another visit . 
 Dec 30 2008 	 great experience 	 good hotel experience year . room amazing balcony 14th floor ! hotel vary stylish , spotless helpful staff . definitely go back ! 
 Dec 29 2008 	 little good little bad 	 booking hotel , go lot review great . however , minor compaint hotel , even tho hotel nice . arrive little early check hotel offer hold bag could go get bite eat . nice upon arrival everyone seem nice helpful door man front desk maid . get room later day think expect little , hey guess be NYC . superior Double Room room pretty big nyc style hotel . nevertheless , bathroom small heck . mean small , mean 2x2 sink door wall bathtub . feel like RV bathroom something . also , expect one fancy dancy shower , get bathtub instead . disappointed . when come time get something eat , call front desk make reservation local establishment reccommende . nevertheless , place good , feel like minimal selection pricey get . get piece meat size thumb 40 bucs ! well , guess that s NYC . Wish would go commercialize section NY get something towards Times Square . the bed comfortable get good night sleep . beware mini bar , do not look price get hard . 4 dollar bottle water 5 dollar fig newtown oreo . list go . check smoot quick . even hold back want go something time spare flight trip back wherever . overall , nice clean hotel . probably come back , even tho place nice , want try hotel maybe opinion change . 
 Dec 28 2008 	 comfortable bright ! 	 husband stay Roger Williams four day precede Christmas year . hotel bright cheerful staff quite helpful seem genuinely happy . room large NY standard comfortable bright look . place rough around edge ( Odegard carpet lobby could use good cleaning light fixture room could use good dusting ) , nothing would really put . thing could really complain fact room hot . salvation window able open floor high enough feel safe sleeping open . we enjoy daily breakfast include rate nice buffet include pastry , oatmeal , cereal nice meat cheese . quite nice , though not know would think worth 17.95 price tag include room . overall , nice place stay convenient location next 6 subway line Murray Hill . 
 Dec 16 2008 	 love place ! 	 place good customer service far . location great hotel clean unique looking . love ! 
