great 	 staff amazing . the breakfast dinner perfect . save we ton money perfect kid . great location ! 
 oct 8 2009 	 Excellent hotel family terrific location ! Great Value ! ! 	 husband stay hotel July two small child summer vacation . fan Hilton hotel never stay Homewood Suites , favorite chain . large room give we plenty space privacy time . kitchen convenient warm breakfast every morning complimentary dinner hardly use . hotel staff great , mix guest , business family child hotel perfect group . hotel great location block away Double Decker tour bus stop . next time go back Chicago will sure stay ! 
 Oct 8 2009 	 Excellent stay 	 second visit Homewood ste . downtown Chicago . clean newish suite want plus ! competent desk staff friendly employee around ( bear mind large city & amp ; place & quot ; friendly & quot ; relative term ) .Good include breakfast . LOCATION , LOCATION , LOCATION -- live 90 mile north Chicago , try get 1 2 time year leisure past 15 year . ' ve stay many place . family teen place well . 
 Oct 8 2009 	 Location Location 	 Nice facility perfectly center various activity . Perfect want park car use foot visit Chicago . staff oblige complaint seem overwhelmed weekend crowd complimentary breakfast , quite good way . all say , enjoy stay much 
 Oct 6 2009 	 Exceptional Service ! 	 corporate travel consultant book hotel often client . family stay Labor Day weekend know popular client ! ! hotel great location staff OUTSTANDING . impress everyone front desk server 's breakfast . everyone extremely friendly always willing help . complimentary breakfast great value travel family . teenager 's love freedom go breakfast bring back room . 
 Oct 3 2009 	 Great Value 	 back business trip . homewood great location Magnificent Mile , include great breakfast , heavy hor d'ouevres dinner beer pre - pay rate $ 129 . without doubt good value Chicago long , long time . 
 oct 1 2009 	 rough start overall nice stay 	 little bit confusion first thing settle good place hang hat . check 4:00 pm , ' expect early time . request upper floor give 10th 19 story building check 6th ? get comfortable room couple walk . complain ' room ? call front desk check rather ? well couple eventually vacate , , completely unpacked still wheel luggage around . I leave House Blues get back late evening . key work room ? go front desk disable key confusion whether ' check . recommend use swing latch door , ' stranger surprising housekeeping let 5 second knock might catch pant down . now good stuff ! excellent free breakfast light dinner . location great ; block away EL Red Line take Wrigley Field , museum , bean Chinatown without transfer . room spacious full kitchen ( less oven ) come handy , grocery store block away . service friendly attentive . my front end experience isolate case reflect big picture give good mark would come back . 
 Sep 30 2009 	 Perfect location clean 	 First would say location perfect . close major attraction , walk distance everything . breakfast great , warm , plenty , positive thing say it . the room huge , two tv 's , kitchen , etc . bathroom vanity area big well . the bed sheet hole , carpet properly vacuum , shower long , dark hair mine . Decor : love black white Chicago photo wall , outstanding . the bedspread 70 's , ugly , pinkish / salmon color look fresh clean . the curtain awful striped color . the air conditioning work great , enough towel toiletry hair dryer . also iron iron board good . the Staff friendly , elevator take forever arrive . enter first floor check 6th floor . the business center nice view , well - equip print boarding pass color . like ! also get free internet access . there gift shop open 24/7 stock food drink good well . the wall super , super thin hear go room . freezer part refrigerator pretty noisy . all , look luxurious accommodation hotel impress . look place put suitcase day , place . 
 Sep 27 2009 	 Sweet Home Chicago ! 	 husband come Chicago reacquaint fabulous vibrant city . choose Homewood Suites location , Hilton Honors membership , reviews Tripadvisor . disappoint ! staff friendly . Jonah , John Starr tremendous , feel know review . everything make stay comfortable . valet parking staff efficient friendly , wish could recall name . we wonderful suite great view . plenty space . full kitchen plus , stock twice healthy food Trader 's Joe 's two block away . also enjoy complimentary dinner first night , breakfast every day . breakfast filling need long day walk , shopping sightseeing . elevator speedy . hotel clean . maid service ( name recall Norma , name cart ) top notch ! even air room we . everyone friendly , include guest . lot friendly chatter elevator . here be make hotel gem : unpretentious down - home , like Chicago , still attractive dash style . People feel comfortable . people stay run gamut type : business people , couple , family . the location excellent : area full shop restaurant suit taste budget . shop Nordstroms , Water Tower Place , North Michigan love Apple store there . one word location : relatively safe , teem life early morning midnight . Chicago friendly city , everyone work frontline job must take guest relation course . somebody something right ! way , nothing wrong parking fee . actually less expected . be city , heaven 's sake . we certainly return Hilton Homewood Suites Grand Avenue . soon , well ! 
 Sep 25 2009 	 Fantastic Stay ! 	 fiance stay Homewood Suites 6 night September . thoroughly enjoy experience . location superb ! walk practically everywhere : state street , mile , Hancock tower , bean museum . restaurant area also great , plenty variety . I enjoy kitchen full refrigerator heating leftover cooking meal . room fairly spacious downtown Chicago hotel . think valet parking extremely overprice ( $ 43 night ) , parking garage area price . oh well , be get city . couple friend stay we one night car park valet lot well . pay one day parking , discover charge entire hotel bill two day later . speak front desk mix friendly confrontation . spend half hour try resolve issue , take minute . overall experience good , would plan stay visit Chicago . 
 Sep 25 2009 	 Outstanding Service ! 	 Homewood Suites great bargain nature . big room , kitchen , bedroom . great deal price . one might expect service would suffer proportion value . absolutely case . Star pre - register we funny , charm helpful . upon actual check - in later day , Lorena make we feel right home , sweet , knowledgeable real professional . Toni especially helpful get we busy restaurant near hotel - know treat we like VIP 's . real treat long day sightseeing . make sure entire machine keep run Manager Jennifer Kerr . nice , funny , , hand - on assure tha ther guest happy aswell take care possible . give A+ definitely back . 
 Sep 24 2009 	 great location extremely friendly service . 	 Perfect location downtown Chicago . walk distance major site . friendly helpful staff . decent complementary breakfast . clean , spacious room . 
 Sep 21 2009 	 Great Location 	 PROS - great location , complimentary breakfast & amp ; light dinner , free internetcon - expensive parking , room date , fresh smellThe hotel staff helpful plentiful . location convenient shopping , dining , entertainment . on - site fitness center ok , CRUNCH fitness center downstair part hotel stay . crunch fitness full facility class , lot cardio & amp ; weight equipment . the first night problematic toilet & amp ; kitchen faucet keep run freezer make ice . call front desk run toilet faucet maintenance person could fix everything first day . next day attend conference return room find thing go . point concern go front desk tell belonging move another room , last night comp would , please free beer Suite Store trouble . the breakfast rotate every day scramble egg every day accompany either bacon sausage , hash brown various cold cereal fruit . manager 's reception different everynight familiar deli meat , italian cuisine , hot dog , substantial salad . also free beer & amp ; wine serve Manager 's reception . definitely chip & amp ; pretzel . in summary , thing important ( good breakfast , workout facility , location , free internet ) available do consistently well . would stay . 
 Sep 20 2009 	 Wonderful Anniversary Celebration 	 first time Chicago celebrate 19th wedding anniversary . Homewood Suites staff make perfect trip . staff helpful friendly . thank Jennifer John give we wonderful stay . room roomy nice . breakfast add bonus . lot choice please palate . good job Homewood . 
 Sep 19 2009 	 another great Stay 	 another trip Windy City , time late summer , prove wonderful . stay Homewood Suites several time time friend / co - worker along trip . hotel staff service , usual , great . ' ve hear guest comment slowness elevator , especially around check - out time , never big issue . ( wait next one ! ) comp . breakfast fill great way start day sight - see conference . can not beat location ! ! hotel literally sandwich Nordstroms Bloomingdales ! Weber Grill block away well many great restaurant Rush . even Trader Vic 's Market 1.5 block away want fill kitchen room eat . ' ve always recommend hotel friend travel Chicago first time return trip . employee friendly helpful , will provide suggestion even get ticket show club moment notice . back . love city , love Homewood Suites . 
 Sep 17 2009 	 Lifesaver ! 	 wife enjoy mini - moon stay Homewood Suites . help tide we honeymoon Australia November . couple thing would like highlight . customer service - everyone friendly helpful . front desk give we map city point nearby attraction supermarket around corner . day departure , realize leave wedding band room . head airport train , call front desk search ring . find ring mail ring overnight address . would dead without great service . would also like mention prompt service , whether provide additional towel wine glass bottle opener . other thing like hotel : free breakfast , full size fridge store leftover , one block red line , comfortable king bed , free wireless internet . the pool fitness center bit small lot kid around , least top floor hotel . overall , think great deal price . able spend less hotel food . Tim 
 Sep 15 2009 	 great house staff . . . . . . 	 review two part . . .I advise reading . chapter one : actual hotel staff find house staff friendly accommodating . room nice clean well . disagreement review regard hotel room staff . great location walk three block south reach riverfront , block reach water tower North . easy ( one block ) walk subway ( red line ) . morning complimentary breakfast substantial . muffin coffee . complete breakfast want . , even breakfast server really nice efficient . would recommend hotel base solely physical location , room , staff . chapter two : nightmare book room central reservation July mid - September arrival . rate quote $ 159 per night four night . confirmation email , incorrect $ 300 . immediately call hotel . say make correction email new confirmation correct amount . receive correct confirmation email . . .All do ? . one week later , credit card statement arrive old high amount charge . call hotel transfer central reservation resolve . explain error , literally call liar person reservation , told & quot ; 's problem . can not help & quot ; . . . tell pay high amount . excuse ? , go back call hotel manager get assistance . leave message , get general manager call back , discuss issue . take name people speak , assure credit account immediately . even get call someone accounting dept confirm credit card etc . . . one week later , still credit . , call general manager . oh , might take 72 hour process , tell . , please give another week . another week pass , still credit . another call manager . tell credit process , even send email confirm & quot ; agreement & quot ; credit , appease . another week pass . still , see credit & quot ; definitely process & quot ; week ago . yet another call general manager day leave trip Chicago . tell arrive , point , want see personally , physically use credit card process credit . remember , talk six weeks still resolve . arrive hotel , make long story short , general manager never available see , make attempt schedule time see talk . person speak face face , assistant general manager . completely unconcerned situation , make completely inappropriate statement & quot ; realize boil matter ' he say say ' & quot ; . . . ? ? ? ? today , trip , fly back home . STILL receive CREDIT account ! ! ! absolutely report Hilton Corporate Customer Service , absolutely dispute entire amount point . take little adventure consideration deal hotel . 
 Sep 12 2009 	 Nice Surprise Perfect Location 	 son sort happen upon great hotel . wonderful experience . suite great tall need king bed , kind configuration work . staff member incredibly nice . feel like among friend . view hotel amazing ( skyscraper view ) . big - than - I - expect pool top floor room even amazing view city . Super , super , super downtown location - central everything . we love include breakfast , staff helpful joy talk . be look high - glam superstar , probably will not find . however , everything well nice . great , boutique hotel will not break bank like many downtown hotel - , get breakfast boot . yea ! 
 Sep 12 2009 	 great stay love hotel 	 stay 5 night 19th floor great view spacious room kitchen facility . free breakfast every day dinner Monday Thursday great thing provide take away box could take food back room . location good . staff polite helpful would definately stay 
 Sep 12 2009 	 highly recommend 	 stay january -20 . even enjoy much could wait get back . chicago great town visit homewood suites place stay , period.now stay 9/5/2009 9/5/2009 enjoy every day . ( p.s . weather high 70 ) . get back hotel , fantastic , everything need write heart city . two seperate room handy teenage son . full kitchen , ( laundry 7th floor ) seveal foodmarket within walking distance , everything within walking distance . will not need car $ 42 valet parking will not want one . do not take word , check will not disappoint . oh mention free breakfast dinner . job do . brainerbook . p.s . there s also beach within walk distance 
 Sep 12 2009 	 Chicago 13 month old 	 one bedroom suite nice toddler . request crib even call day arrival confirm crib ask portable full size could bring approriate sheet . inform full size crib . pack n play . pack n play bad , clean put together , full size crib expect . living room roomy hotel suite , however , bedroom small pack n play go living room . big deal something consider . homewood suit great location . go Navy Pier day walk take free trolley back . walk take 15 - 20 min stroller tow free trolley back nice prepared wait . first trolley come full get door wait 20 min next one . drive Shedd 20 min drive make sure ask direction . try follow map since not know sure go hard we get road need due construction one way street . since blcok half michigan ave walk shop . , like location staff friendly . need thing bring we bring promptly . little concerned right across hall elevator hear nothing room quiet . two complaint pack n play shower need wipe . look like housekeeping maybe hurry . 
 Sep 11 2009 	 Professional friendly attentive staff 	 thing would add many benefit recommend hotel , experience inconvenience first day likely beyond control hotel . John front desk immediately move we different room satisfied . stay , ask John completely satisfied . make happy . 
 Sep 9 2009 	 Fabulous hotel ! 	 first stay Homewood Suites , real idea expect . Chicago day ' couple time ' . hotel fit budget jump . pleased ! lobby staff ( luggage , parking attendant ) friendly helpful , yet professional time . Front Desk 6th floor . ... great attitude . room large , immaculate could hope price pay . kitchen area , living room area seperate bedroom vanity area bathroom . thing could want provide , question answer completely . location heart city , perfect . suppose con whole thing parking expensive . valet park $ 45.00 day . , even though check , keep car rest afternoon additional charge ! manager buffet evening enough dinner use one night . free beer wine ... wine not bad ! Breakfast well serve , plentiful delicious . thank hotel , ' couple time ' great ! 
 Sep 7 2009 	 good location ok room 	 husband stay week August / Sept 09.The good point : location excellent , close Magnificent Mile , Grand Ave El , lot restaurant shop . room fairly spacious get excellent room rate . staff friendly helpful . kitchen fully equip full sized fridge ice maker . the bad point : breakfast room awful smell . food breakfast average , run thing every morning . always massive queue get table breakfast , endless scream kid . room date , need revamp . bathroom small bit grubby , shower not lot pressure . sheet not fit bed properly every night come side bed end partially sleep directly mattress . bedding also feel cheap , feel like nylon sheet . lift slow . window room dirty , could not see smear they . if looe cheap place stay middle thing , place . look sophisticated hotel , place stay . plenty nicer place stay . 
 Sep 6 2009 	 Fantastic Hotel - Great Staff Location - comfort home . 	 recently stay family trip Chicago . husband travel 10 month - old son 3 year - old son . moment arrival experience completely positive . valet helpful unload kid luggage car . staff front desk fantastic . crib deliver room within 20 minute arrival . complimentary dinner first night great . travel afternoon , nice not try make arrangment dinner . staff & quot ; lodge & quot ; dinner breakfast serve friendly attentive , well . nice carry - out container available take dinner breakfast back room not want eat dining room . throughout stay , staff friendly helpful . room great . like apartment , give we plenty room kid spread toy play . nice kitchen , especially prepare bottle , dinner room generally carry - out area restaurant . hotel room service arrangement P.F . Chang 's , within walk distance lot nice restaurant . great location walk area attraction - Magnificent Mile , Navy Pier . already plan retun next summer , recommend Homewood Suites family friend . 
 Aug 30 2009 	 Homewood make son 's wedding weekend smooth stress free 	 staff Homewood Suites make wedding weekend trip family stress free smooth . 6 suite reserve prepay rate $ 129.00 weekend August 28 - 30 . front desk happy give wedding goodie snack bag , make home , member group check . detect faint cigarette smell room first arrive , front desk prompt move we different room . even give we large suite avaiable floor , would large gather place entire party 13 people . , Rose , front desk , ask would like whole party floor . great since elderly child , also . many extra staff help we : bring extra chair suite , fetch item wedding valet - park car , round mini - van taxis large group twice , bring we extra towel ice within minute call . hotel sell weekend , breakfast room crowd overflow room open , never run low food . Saturday , break water pipe kitchen , hot food , sincerely apologetic . wait elevator busy time , never wait minute . could give little thought family get size room . couple use crib give one small room floor , make tight room , single , senior citizen great - grandma get corner unit window 2 side large , uncrowded living area . close everything need location . 
 Aug 22 2009 	 good place dowtown Chicago 	 place great location close Mag Mile . room decent , although bathroom could use update . suite spacious clean . elevator annoyingly slow take good bad . breakfast morning good selection even though get pretty crowded . would stay . 
 Aug 21 2009 	 great except leave ! 	 recommend everything , except get home , start get ton sale call cell PHONe Hilton Honors annoying , pushy non stop . reason , would never stay hilton hotel ! Google ... see thousand similar complaint . SOOOOO frustrating 
 Aug 20 2009 	 wonderful city explore ! 	 spend 4 night Homewood Suites downtown Chicago second week July great time . the double decker bus tour city give thorough overview city allow get one 14 stop . beautiful day sit top outside . be sure take 90 minute Architectural Boat Cruise explain history downtown building along Chicago River . we impress Giordano 's deep dish Chicago pizza worth one hour wait . melt Pot fondue restaurant also new experience try 3 difference type fondue . Bistro 101 downtown excellent food lunch . the Shedd Aquarium Adler Planetarium gem worth see . take cab downtown avoid traffic . book ticket hotel see evening performance Shanghai Cirque Navy Pier excellent . Wednesday night firework 9:30 pm spectacular . the Magnificent Mile great selection store shop especially Niketown . overall , wonderful holiday . downtown clean people friendly . hope visit Chicago . 
 Aug 18 2009 	 highly Recommend ! ! 	 Perfect location , clean courteous staff add great stay . area plenty store ( Mile ) restaurant . hotel lobby 6th floor elevator get annoyingly slow overall would highly recommend place regardless family , friend business . subway Wrigley 1/2 block away front door . 
 Aug 17 2009 	 5 Star service Great Homewood Suites Downtown ! 	 stay fourth time July 26 aug.3 wonderful time ( ususual ! ) . encounter problem deal quickly joyfully . suite hotel fab , 's people work make BEST hotel Chicago . Kudos wonderful people ... John , assist . General Manager , take personal interest stay , problem encounter . John , go beyond call duty . room key would not work 3rd time , PERSONALLY escort room ... be service ! thank John , always remember kindness understanding : DJonah , one good bell man ever always smile kind word , really make feel like come & quot ; home & quot ; long day shopppe / sightseeing . share restaurant review ... thank ! wonderful lady man front desk ... always friendly helpful ! request ever big accomodate . Connie work lodge ... smile every morning ! along free breakfast ! . get touch food poisoning one night tell Connie experience ... offer get ginger ale settle stomache ! Connie work last time Suites ' 07 ... remember we ! suggestion visitor : leave hard work people cash tip ! yes breakfast manager 's reception free , people seat ya clean service industry deserve tip service ... know even appreciate dollar 2 ! 's lot consider much meal family would cost restaurant .... free wine & amp ; beer ... enough say ! can not say enough good thing place ! really stand behind 100 % satisfaction guarantee . do not know will back Chicago know hotel would ever consider stay . great location . great facility , great food drink , good group people would every want meet ! thank another wonderful holiday ... 
 Aug 15 2009 	 Perfect location 	 Homewood Suites perfect central spot explore Chicago highlight . close shopping , theatre , plenty good restaurant . Trader Joe 's around corner pick bottled water , wine fruit first day . free trolley great option get attraction tour near Pier . thing would recommend around hotel ESPN Zone bar / restaurant . the free daily breakfast convenient plenty option . free wireless room business center also nice . room large , could use update . would hesitate stay future trip . 
 Aug 14 2009 	 great place stay convenient many attraction 	 arrive early check , staff secure luggage start discover Chicago come back 4 pm problem check . room lovely , complete stove top , dishwasher , full sized refrigerator , coffee maker , microwave . would great family cut dining expense . full breakfast everyday wonderful yes wait table , cut confusion everyone want find table one time . lady work 2 3 day friendly . breakfast huge selection satisfying get fuel day walk site see . everyone hotel helpful . three lady get away girl weekend trouble get cork wine bottle valet attendant oh nice get cork remove we ! kind embarrassing admit : ) . anyway would definately stay hotel . everyone friendly helpful question ask . 
 Aug 13 2009 	 great location average room poor staff 	 stay week last month . can not beat location - close Magnificent Mile , Attractions , Tours , Great Restaurants & amp ; Night Life . spend lot night Homewood suite hotel suite hotel . thought room ok , great . overprice opinion . find staff unintereste helpful . wait lobby 6th floor room ready front desk staff could care less . watch week guest make wait well . breakfast stuff day day . week go , actually started run popular food item replenish ( weekly delivery guess ) . also , room busy staff make people wait table treat wait 5 star restaurant . travel work ( sale ) frequently stay hotel . travel family every year also stay hotel . rough ... camper . would come Chicago , would stay . many option worth investigate . 
 Aug 9 2009 	 food odor ! ! 	 lobby Homewood right hall kitchen dining room ( actually grade school cafeteria type set ) . odor kitchen disgusting , indeed remind institutional kitchen ( I.e . hospital ) . free breakfast free dinner palatable . suppose travel young family many guest , make hotel good value . would stay . 
 Aug 8 2009 	 Great Hotel . would stay ! 	 Homewood Suites , Downtown , great . Toni , check we , great . give we room 17th floor son want see skyline night . serve breakfast everyday , delicious . plus , Free . staff dining room exceptionally pleasant helpful . never eat dinner hotel , one night husband bring carrot cake great . hotel within walk distance Grant Park . would definitely stay , hope go back soon . 
 Jul 29 2009 	 Terrific Service 	 Forty member family attend four day / night 90th birthday week party Mother ( Grandmother , Great Grandmother , Sister , Aunt , etc . ) could not well . staff helpful courteous friendly . addition full kitchen , full hot breakfast dinner day able keep expense everyone . hotel contact , Alec Schraegle , work us year 's planning meet exceed expectation . family stay hotel several year always delight choice . highly recommend . 
 Jul 27 2009 	 good place stay 	 pretty much ditto everything everyone else say . add one comment think family 's small child need aware . sit floor 2yr old watch scenery room notice handle 2 1/2 ft floor . turn handles window open top inward . wife kinda freak thinking dangerous . actually sign warn guest . course little girl want open , tell not issue . 17th floor . huge issue , definitely something aware stay . 
 Jul 26 2009 	 great value location 	 heart downtown Chicago , suite continental breakfast little hundred dollar . completely satisfied . 
 Jul 23 2009 	 Awesome ! Great Location friendly service ! huge room 	 Chicago 5 time far ... & amp ; far Homewood Suites favorite hotel stay . be block away subway/ l . breakfast great ! pretty busy . not take advantage happy hour , sure great well . great view Room well . hotel perfect location . close Mag Mile & amp ; centrally locate downtown Chicago . room clean . full kitchen w / utensile well . could not believe full fridge . work well w leave food ( deep dish ! ) drink well . can not say enough hotel ! stay . highly recommend ! free wi - fi nice . also ( free ) full access business center w printer . 
 Jul 22 2009 	 another fantastic stay 	 Stayed , second time , last week June till 4th July . stay time last year great time decide return - sometimes disappointment , need not worried . great . one bed suite ( 2 x double large sofa bed ) large , clean comfortable ( brilliantly appoint ) . find hotel comfy , staff ( door , reception , housekeep dining room ) nice ' ve come across hotel , place quiet ( husband fussy / light sleeper , even happy ) . first stop USA trip little coin laundry huge bonus ( everything wash dry , 2 hour , $ 3 ) . Jewel Osco supermarket & amp ; California Pizza Kitchen , round corner , keep we go conveniant , cost effective meal snack nearby Binny 's Beer Depot keep husband happily beer ! Chicago wonderful , vibrant city return - , definately stay Homewood Suites 
 Jul 21 2009 	 another great stay 	 4th time hotel , great stay . time bring family member room . staff friendly never seem stress even though hotel fill capacity night . breakfast crowd weekend , wait host seat nice touch - one take table seem like restaurant . time huge room , oddly shape . get corner room , small , 2 window living area . location perfect , right across street Nordstrom Shops Northbridge . fitness room small , trick . downside pool , hot tub . plenty restaurant within block two . 's fancy place town , certainly good hotel price ( $ 99 pre - pay ) . will back next time ' m town . 
 Jul 14 2009 	 Hidden Gem 	 great experience moment pull front hotel . valet / bellhop friendly . check - in breeze . one bedroom suite pull - out sofa . kitchen well equipped . breakfast great - everything could think changed day . hotel pack great job get people . never wait 5 minute get table . pool clean warm kid spend lot time . hotel great location - central miracle mile navy pier . go day , get bus pass - 's worth . use bus lot . everytime go somewhere not want talk , go front desk girl would tell we exactly bus take . definately stay . 
 Jul 13 2009 	 home away home 	 wife stay two week January . never feel cold outside warm inside . staff go way assist we since stay long . room good size complimentary breakfast evening reception add bonus . get early fill fast . the bed great , sleep bad . also , kitchen come handy . location within walk distance many good restaurant Magnificent Mile shopping . plan go back next year . 
 Jul 12 2009 	 central everything ! 	 Homewood Suites Chicago new find we annual sibling reunion weekend . hotel run weekend rate special May , look nice photo , take chance . hotel River North section , parking expensive - $ 34 - 42 day , depend whether choose garage valet service . , location worth , 's block Loop train ( underground State Grand ) . , walk everywhere Chicago hotel , nice wonderful summer weekend . the suite arrange kitcen , dining table 2 , sleeper sofa chair one room , king size bed bath room . bathroom sink separate toilet shower , convenient . kitchen dishwasher , serveware , coffee maker toaster , plus microwave 2 burner stove . granite countertop , nice touch . hotel thrill little one , fitness freak . 19th floor nice pool , , 4 foot deep long enough lap . never see many well - behave child constant parental supervision hotel , love ( thank parent understand 's important watch kid times ) . lot towel table chair parent relax , look city west . fitness center nice free weight , heavy ball treadmill . prefer , complimentaty pass health club Crunch next door . the full breakfast full breakfast - sausage biscuit , corn beef , bacon , scramble egg , pastry , french toast , cereal , yogurt cottage cheese , fresh fruit , toast bread , coffee , tea , juice . serve breakfast dining hall crowd peak time , pack box breakfast buffet take back room . dinky cup , either ... everything full sized , keep replenish buffet closing time . outside hotel , Nordstroms across street great sale , walk inside mall get Michigan Avenue 2 block east - convenient rainy day . restaurant area offer every kind food . try Shaw 's Crab House Rockit please . sure try Ina 's W. Randolph breakfast , too . also miss area Millennium Park - fun place kid - beach along Lake Michigan . try street fair north nice walk lunch . last least , wireless access internet . be free , 's router room kitchen cabinet . reboot router time sign - unplug power second , reconnect . work time try . 
 Jul 3 2009 	 great location ! 	 first two hotel stay week NPE Week . overall , three day stay good . room large , clean , bed comfortable , free internet , clean kitchen kid enjoy pool breakfast huge convenience . dinner provide evening week even though not take advantage . staff response upon arrival check luke warm , 8 hour drive . try switch room default king reservation double , front desk not responsive request . offer roll way bed , use sofa bed kid instead . would prefer rectify situation , let slide . workout room nice , 80 + degree . also offer free pass Crunch Gym next door . great location ! 24 hour business center great feature ! able use facility print discount ticket attraction . love ! 
 Jun 29 2009 	 stay ! ! ! ! ! ! ! ! ! 	 great staff , location , room breakfast ! ! ! ! ! stay w/ 15 yr old daughter 7 yr old son plenty room 1bedroom suite . arrive 2 hour early able check additional charge . every staff member helpfull . lady front desk always give we great direction ! can not wait go back Chicago place stay . Martinez family ( st louis ) 
 Jun 22 2009 	 another yes vote 	 much add other already state - 's terrific hotel . room immaculate large , location outstanding , gorgeous view nearby architectural marvel , be walk distance Art Institute , money good museum USA . be also less block subway , right top worldclass shopping dining , 10 - minute walk fabulous House Blues music venue . on top , 's quiet churchyard sleep like baby awesome pad mattress , be great water pressure , worry buy snack - even middle night , 's vend area lobby . ventilation excellent - neither hot cold . room darken shade 100 % rip gap light blaze morning . ( ' m super light sleeper quiet / dark / ventilation important issue - Homewood pass fly color . ) also ! free wi - fi , often reason Hilton steal away loyalty program Sheraton - want nickel dim ? reason ' m give place five star think $ 42 much valet parking room expensive , $ 189 king suite - taxis . also , one elevator break stay even though could use service elevator , 10 - minute wait sometimes get downstairs . still , service excellent combine plus property , will back 100 % certain . 
 Jun 16 2009 	 great hotel great location great staff ! 	 stay king - bed suite 3 night mid may nothing praise place . room extremely clean comfort home . staff welcome helpful . concerned first get shabby room experience couple Homewoods , complete remodel , be probably bad room place . location safe perfect anything ' want downtown area . ' definitely stay next trip Chicago . 
 Jun 13 2009 	 wonderful Hotel right Thick thing 	 get back stay hotel great time . suite really nice fun look window see high rise . wonderful location - much could walk ! walk river take cruise walk Harry Caray 's dinner . also red metro right go game Wrigley Field . take 20 minute reach Wrigley . would stay next time go Chicago . 
