impressive 	 stay girlfriend / now fiancee ( propose London ! ! ) 2 night November 09 , receprion area walk stunning check - in efficient ( I ve lot place one smooth ...... trust ) . room great , bed huge everything clean , also huge tv room system could play mp3 player . gym small adequate , pool area / gym / sauna / steam room great really easy find huge hotel ! location absolutely brilliant tube station 30 second away 10 min oxford street , definitely back ! ! ! ! 
 perfect hotel location 	 stay week may deligte stay . book n / s family room 2 double bed hard find london . room assign corner room large many stay north american cite . room bathroom clean bed incredibly comfortable . hilton always brand one trust . already recommend hotel family friend due easy acce tube short walk oxford street . well excellent coffee shop , supermarket restaurant doorstep . definitely stay future staff could helpful interested making stay memorable . congratulation staff superbly manage run property expertise . 
 Nov 16 2009 	 enjoyable 	 second stay hotel love ! friend ( two middle aged woman ) stay Metropole weekend break London must say find great . great twin queen deluxe west wing 13th floor - great view - like cityscape . busy flyover side hotel - problem traffic noise . bedroom / bedroom corridor possibly get little tired bed comfortable room / hotel clean . hotel busy weekend - love buzz . problem check out . there plenty staff around . also love cosmopolitan nature hotel staff - speak excellent English helpful , pleasant responsive . staff last year think good sign . breakfast time busy go overflow area breakfast second morning problem . plenty choice breakfast lot helpful staff around . location hotel excellent closeness two tube station & amp ; ( within sight minute twos walk ) . walk Marble Arch / Oxford St Friday evening - Edgeware Rd lively . pool add bonus . Al totally recommend hotel stay London . 
 Nov 15 2009 	 avoid poor value service 	 stay hotel pay £ 111 double room last minute .com . situate urban enviroment concrete jungle feel surround . edgware road full lebanese restaurant group man sit outside smoking pipe flavour tobacco . upon arrival tell room two single bed . point travel wife expect double room book couple double bed . offer upgrade extra £ 40 . decline . the room small basic tired feel . clean show sign wear expect 4 * hotel . I request room view arrival . room give view wall opposite ! 4th floor 30 floor hotel could easily fulfil request choose to . the hotel busy facility work hard , certainly place relax . usually stay travelodge future Hilton worth extra money actually poor condition location travelodge use . I tell reception staff would review hotel give every opportunity make review good one make effort meet requirement feel unreasonable . in closing would say go Hotel want free paper happy cog metropole money make machine . 
 Nov 14 2009 	 good clean hotel excellent service 	 downside hotel leisure facility spa bath . 
 Nov 11 2009 	 Great Location Room small 	 travel London every year usually stay non - chain , time decide give Hilton try .... book King room let tell bed take whole room , walk space , pillow like cracker , bed hard . want use phone calling card still pay 3.00 connection charge ... free internet .. be $ 25 / day internet room ... also drink lot water buy bottle water costa coffee place lobby cost 3.00pound would $ 5 dollar ! ! ! ! location good tube , would never spend amount money night Hilton ! 
 Nov 9 2009 	 well expect 	 seem bit pushy arrival get attention service . . also upgrade check - in comfortable deluxe room overlook - well , seem lot construction go vicinity . not , have look on - ramp M4 , be difficult judge whether anything might well . noise reach we room , however , not view , pleasant overnight stay . anything , hotel large , room seem ' congress ' side building , fairly desolate congress take place . trek along corridor find elevator bank , feel perhaps bit touch rest hotel . room rate include breakfast , good buffet ample offering . importantly , good efficient staff seat we bring tea fresh orange juice ( addition selection available buffet ) . nice touch . the hotel excellent communication , tube train nearby within walk distance Oxford Street park . 's wide selection restaurant nightlife around , though , really need get unless hotel restaurant grip . despite size , fact pay quite dearly internet connection , good hotel need , would stay . 
 Nov 7 2009 	 bad business hotel experience 	 Highlight : foul smell room , smoke alarm go go 4:15 morning twice 6 night stay , inconsiderate staff , bad service , poor hygine . room smell foul time open door , repeat complaint staff tell room available . two night smoke alarm go room , first night 3:30 5th night 4:30 , one even bother give feedback tell leave hotel . the staff executive lounge impolite downright hostile , probably not like caucasian . staff make displeasure know quite openly . overall bad experince would recommend hotel anyone business trip . 
 Nov 5 2009 	 honest hotel -- avoid 	 believe say accomodation -- & quot ; free internet & quot ; mean really go charge $ 25 / day . place 800 call airline ? see $ 50 bill . figure , get upset leave see $ 175 bill leave early . honest hotel . bad experience ' m avoid Hiltons general . many well hotel find neighborhood -- much nice , well price truly free internet . 
 Nov 5 2009 	 REVIEW ADD 	 wow lot review ... relevant point . enormous hotel , well locate tourism , near Tube within Circle line . unusually Central London pool . will not find many price range . 's large smart hey .. essential part family break . our room ok - pretty average really . hotel large would guess people diffferent experience here . in experience service much well normally find London ( fair hardly service capital world ) . everyone speak understand English ( another novelty capital England ! ) encounter general ethos towards service . we one dinner include rate . pretty good . set menu produce simply buffet base . breakfast hand bit farce long queue ever see get door . ( note planner - if build big hotel also need build big restaurant - doh ! ) 
 Nov 3 2009 	 Good Location great Hilton Hotel 	 location good , 5 minute walk Paddington station , 15 min walk Oxford street . Altough Edware road good dining shopping . the hotel look nice , lobby bright . reception staff pleasant enough . stay King Hilton Deluxe room , honest room deluxe , small , date feel whole room , could barely move around bed , comfortable . bathroom not great either ; quite dark dingy , mould around bath . believe hotel full capacity , say could change room fully book . the bar hotel ok , restaurant ok , breakfast ok . pretty average honest . I would recommend stay Hilton London Paddington , much well even expensive , far . 
 Nov 2 2009 	 four star hotel view building site 	 first impression hotel big . many people coime go lobby nobody seem care . people go around bare foot talk loudly hotel . I get 2 double bed room Westwing . room ok . standard . not expect four star hotel though . view window fantastic ( ! ! ! ) . monsterously huge building build . though not hear noise building site ( Satuday night ) not pay ugly view . inform . can not open window . annoying unhealty . small long window main one , still can not open . feel like suffocate . dust goes room clean ? ventilation fan make annoying metal noise . really need fresh air . my girl use swim pool far small comparison huge hotel crowd . close 7.45 pm even though Saturday . although room clean everything say tin , not feel like stay four star hotel . not comfortable . come back . 's . 
 Nov 1 2009 	 Great Hotel Family Break London 	 return weekend break hotel , suit we perfectly . stay deluxe family room , 2 double bed . unlike lot family room stay bed take floor space , could move around ease . find staff friendly helpful check - in quick efficient . yes hotel large not queue breakfast although pool busy time time empty . on return home find daughter leave behind favourite pyjama , rung hotel really expect anything could , rung back hour later say find would send we . excellent service , especially ring 7 pm Sunday evening ! location central attraction , yes beautiful area , feel amenity good value . 
 Nov 1 2009 	 Perfect location 	 finish honeymoon London , third Hilton stay 12 day , must say low point & quot ; Hilton Honeymoon & quot ; . not mean hotel good . great reason . ' m say other well . , good thing : perfect location . 5 block away Paddington Station ( priceless arrive depart Heathrow since catch Heathrow Express / connect ) . 3 underground line front hotel ( Edgware Road Station ) 's 10 - minute walk Hyde Park / Marble Arch / Oxford Street . room small ok , great king size bed . room 10th floor Wing Tower view nice . case , price another good thing . find hotel Hotwire 100 usd per night Hilton London sound like bargain . definitely good value money . not breakfast include ( although complimentary tea / coffee offer room ) , Marks & amp ; Spencer right front hotel Tesco round corner . consider hotel full , not noisy . overall , good meet expectation . 
 Nov 1 2009 	 convenient room crowd breakfast . 	 stay 5 night . nice large room , clean . unfortunately could open window , turn on / off air conditioning . although close hotel ' west wing construction , disturb . hotel opposite tube line , walk distance Oxford Street . hotel huge , peak long wait lift . bad breakfast . wait time get 15 minute weekend . hotel staff open also promise enlarge capacity . food good – good Hilton standard . if look big busy hotel – highly recommend . 
 Oct 28 2009 	 big britche 	 whole , experience positive , however point overshadow would great stay . stay 2 night , husband , father little 4 - month - old daughter . let us start positives:1 . staff part hotel ( except one - see not - so - positive ) helpful friendly . 2 . location.3 . despite major road , window brilliant keeping noise out.4 . & quot ; leisure facility & quot ; ( see also not - so - positive ) 5 . provide cot little girl . not - so - positives:1 . hotel big accommodate need guest . check - in , take 4 people figure go . final person assign task allocate room , looked say , & quot ; help you . & quot ; - stand well part 5 minute . minor , yet memorable detail.2 . room bog - standard room . could find major hotel UK . perfectly fine , standard would expect experienced hiltons.3 . room properly clean arrive , follow day different cleaner do outstanding job.4 . leisure facility - , pool - simply small hotel size . wait get eventually give go back room.5 . not think necessarily hotel , man work left - luggage desk , name Alex , border rude give bag . overall , fine , would expect tad bit . thank god get bargain . would write totally different review pay full price ! 
 Oct 28 2009 	 easy relaxed simple stay 	 girlfriend find place great pick . use Priceline , work fine we . be right across Marks & amp ; Spencer , Edgeware tube stop ... right Paddington Station ( make easy we get Heathrow via bus / shuttle stop ) . pretty sure go London want four - star hotel Priceline price , would definitely work perfect we . 
 Oct 27 2009 	 Great need 	 return London 3 night stay Hilton London Metropole . book room well advance get good rate . look decent hotel central location . expectation meet . hotel situate next Edgware Road underground station take Piccadilly Circus , Leicester Square etc 10 - 15 minute . check smooth room exactly order . nothing special considering rate fantastic . breakfast include 3 morning . line breakfast pretty long morning deal quickly believe wait 10 minute long . wait really worth . breakfast buffet world . absolutely everything imagine breakfast . consider amount people go never anything miss buffet keep clean nice even late entried . we use swimmingpool morning well . even though seem hotel fully occupy never guest basically self . pool area around clean spotless . seem like brand new . one night eat 23rd floor situate Thai restaurant . view amazing price actually bad . bit disappointed food though . bit tasteless considering could expect restaurant like this . overall great experience Hilton Metropole . could get rate would not hesitate 2 second book . 
 Oct 27 2009 	 ordinary - not pay full price not expect full service 	 stay weekend October one part stay terrible , overall would say would not recommend hotel anyone unless get good deal not expect much stay . good point - swim pool well central London hotel pool . be big enough take good people . sauna & amp ; steam room allow kid - hotel sauna not kid get chance use full facility . be across road two Edgeware Road tube station serve Bakerloo , Circle , District & amp ; Hammersmith & amp ; city line connectivity pretty good . be near Paddington Station - minute walk away . load turkish , lebanese similar restaurant nearby . bad point - long , long list will put key one . book family rate phone can not online . rate mean second room charge 50 % . several week book several phonecall later ' m still wait refund come charge full rate room . when get hotel check reference * repeat * request adjoining room . family young kid go book two room kid different floor parent ? family rate equal adjoining room default . , , phone HHonours & amp ; hotel directly try sort refund confirm several time reservation adjoining room . we offer room 3 single second 2 single wait upgrade deluxe room double adjoining double . decide wait . however , deluxe room would not like see standard room like . room ( 1411 ) tiny . adjoining room ( 1410 ) smell musty . not raise issue glad settle last , smell inescapable . far tell ' deluxe ' mean face city . case view pretty impressive alright . top air conditioning unit adjoining block , low would not view speak of . we dinner first night restaurant . despite hotel full restaurant not , still decide locate various guest room . yet Hilton , despite dinner - inclusive rate hand full menu . order would end pay extra . ask special menu . Hilton floor staff get special course ask customer inclusive rate ? main come go sign kid meal come . look like floor staff forget meals kitchen not point plate ready go . staff spread floor take long time could catch anyone eye remind kid meal . breakfast hotel fine , although savage queue 0830 onwards . plus side cook egg order . sure beat hotel breakfast get pre - fried egg . big problem - report management fail act - emergency exit bar ( serve part breakfast room morning ) lock 2 3 day . probably lock 3rd not get chance check . wake - up Hilton - can not lock emergency exit especially restaurant full overflowing . noise - despite 14th floor could hear sirens Edgeware Road night . sound thing either fire station police station nearby Edgeware Road short route wherever need . sound proofing must pretty poor hear 14th floor . sound proof corridor side - could hear everyone come go bedin evening . People talk hotel really well muffle door . little moans - Hilton slipper , bathrobe , hotel guide room . film choice tv much mish - mash one film would watched contain major spoiler description screen could not even watch that . I ' m sure could think thing , be enough . book hotel know go pretty tour - bus - ish . want somewhere central pool - fill need . overall , though , hotel fail whole lot point pass , would say definitely would not back . 
 Oct 26 2009 	 tired old Hilton 	 guess hotel see former glory go drain , along badly stain carpet . say hotel close Oxford street stretch , 30 minute walk take . service ok , efficient would appropriate word & quot ; conference & quot ; monster , mainly aim business people . lobby look old dated , inviting , coffee shop sad sight . pay - tv work , connection error whenever test , help staff ask . a special note go extremely nice doorman ! keep smile ! 
 Oct 25 2009 	 worth money 	 Service friendly , one get check . receptionist hear room number wrong try charge lot extra . room okay , floor absolutely disgusting . stain everywhere . extra define hotel : everything cost extra money ( wlan , cable internet , put stuff minibar [ ? ! ] , breakfast [ worth pay ] ) .Location good , though 's noise traffic outside corridor well . I will never ever step Hilton Hotel experience hotel . 
 Oct 24 2009 	 Hilton use .... 	 book hotel 2 night could spend time London . great location , near Paddington station . 's nice pool small large number guest visit hotel . unfortunately service scratch seem hilton care customer . whilst check - in staff friendly , request make housekeeping generally ignore . Everytime request thing housekeeping call 2 3 time wait sometimes 2 hour arrive . example , hire fridge arrive 2 hrs 3 call disgusting state , take 2 call another hour bother come clean ( apology either ! ) . also experience problem many staff could speak english understand ask for / try tell . alarm go floor one morning phone tell could not understand hung phone explanation ! visit hotel unlikely visit Hitlon . not meet standard expect . 
 Oct 23 2009 	 Good Location 	 hotel fantastic location , near Hyde Park Oxford Street . never stay Hilton know expect . find staff friendly helpful accomodate anything ask . breakfast include price selection great , bad experience coffee , terrible ! ! cost internet connection guest room £ 15 per day feel rip . free charge . 
 Oct 21 2009 	 near good price suggest . 	 stay hotel 21st Birthday partner 3 night break . disappointed room get difference standard " holiday inn " room , although get privilege pay money . give we disabled room ( reason ) start , complain due disappointed get change family room much different . clean terrible , ' expect come back still find tea mug change . towel smell horrible make drip dry take age bring fresh one , fresh still smell nasty . defiantly get four star service . advice get hope first arrive hotel ( like ) room seem follow luxury standard would expect 4 star Hilton seem think different hotel room , compare posh reception . this 2nd time stay Hilton 2nd bad experience ( Hilton Aviemore ) . ever stay Hilton Losing name really show attitude care customer . 
 Oct 19 2009 	 hotel overprice overcharge everything . 	 stay hotel part Globus tour . stay two night early September start tour one night end . although presumably high level hotel , charge everything ! charge open room refrigerator and/or move anything , charge 3 british pound 15 minute internet access nonfunctional printer ( ' ve stay lot midlevel hotel free internet service include Super 8 La Quinta ) charge 1 pound jsut make local phone call . room size broom closet twin bed , double specify , move one bed could get two bag room . hotel allege caliber gouge customer every opportunity Hilton . 
 Oct 17 2009 	 Perfect Business Hotel 	 attend hotel present speech follow day . the hotel exemplary example run hotel business person . stay 20th floor overlook Hyde Park . beautiful view . the room outstanding state art AV , dual line phone , high speed broadband , work desk , comfy chair , lovely bed , nice bathroom great room service . great fitness room , great pool , great food , amazing restaurant top floor , great concierge , great conference room . GREAT ! issue hotel concern check , however blip deal exemplary way duty manager . great hotel great location . 
 Oct 13 2009 	 Excellent service - decent hotel 	 service excellent location good . close tube centre London . room clean . good facility . price conformity room , breakfast service . 
 Oct 12 2009 	 Good Location - Poor Hotel 	 ok start good point . location great , close tube Oxford Street West End walkable . arrive 4 -clock impressed main hotel lobby . large well decorate give impression good modern hotel . queue reception check . 6 check desk two manned customer . 3 people front we , took see . check tell room 12th floor Tower suite . go lift enter room . book double room walk see twin room . pick luggage go back reception . queue . time wait explain situation show book double room , twin room . receptionist say not sure room available would see could accomodate we . think bit joke book double twin . minute say manage get we double room , make sound like we favour . time room 16th Floor Tower wing . go back lift find new room . room small side strangley lay . four star hotel find decor quite date really would expect four star hotel . admit view amazing reason not head back stair . decide stay make 1 night London . room quite warm turn air conditioning . sound like hoover decide would rather hot able sleep due hoover noise ! window not open could not let fresh air room . mini bar ( say mini fridge least 4 foot tall ) make hum noise . bed uncomfortable springy . think Tower block part old hotel '' refurbish . feel like hotel really care stay spend time people stay expensive suite . conclusion , hotel look good outside , leave poor night sleep feeling let . 
 Oct 12 2009 	 large modern hotel pool 	 hotel great hotel , hotel large lovely pool sauna , great japanese restaurant top floor great view london . room modern lovely , would stay . location edgeware road great fan curry , Oxford street also edgeware road . Regent 's Park also walk away , would like break busy London . highly recommend hotel , however memory room service good , 
 Oct 11 2009 	 large room available 	 hotel conference center ( busy ) large room ( good family ) . could use spruce , work well 3 room bed true queen ( small double ) . negative immediate area ethnic neighborhood lot variety walk around find varied choice restaurant . hotel main restaurant good convenient option . location easy get taxi airport congestion zone well situate . tube station directly across hotel . negative hard sell get check try upgrade large suite breakfast include . worth money . 
 Oct 10 2009 	 solid 3.5 star 	 room Tower Wing , two twin bed . able check early , great redeye flight . room small side , understand 's case room London . stay one night . stay long , might try comfortable room . get room recently renovate , see 4 star hotel . otherwise , be like 3.5 star hotel . good get deal ( Hotwire ) . 's good affordable option long be expect luxury hotel . hotel conveniently locate . walk Paddington Station 5 - 7 minute ( take Heathrow Express airport city ) . reviewer note , neighborhood many middle eastern restaurant good cheap food . Wednesday , nearby outdoor market fresh fruit sale ( cheap & amp ; ) , among thing . 
 Oct 10 2009 	 Excellent Hotel .... 	 return three night break London ... States lot last year , think time ' tourist ' country 's capital ! ! ! got excellent rate Hotwire Hilton London Metropole , decide go ! hotel excellent location , literally come Edgware Road tube station , 200 yard road .. really close ! ! first thing notice big hotel , although inside tend forget .. check usual take forever .... seemingly straight forward thing always take long ? ? ? anyway go lift twelfth floor . my room decent size , clean lovely bathroom .. shower excellent ! ! ! tea coffee making also available , also flat screen tv ... handy ! ! througout stay staff always polite , ask need help anything .. really can not ask .. appear time everyone even though big hotel lot guest . all can not fault . location excellent tube boon not want walk ten fifteen minute tube station every time want go somewhere ! ! London ? really enjoy .. not know take long visit .. go Eye amazing see ' Wicked ' stunning do touristy stuff . trouble give urge want go back next year see show finish thing not get round time . much see , three day never go long enough ... not ! ! ! ! ! ! ! 
 oct 9 2009 	 comfortable convenient base explore London 	 group four woman stay nine day July . location convenient public transportation ( Edgware tube station connection Green Circle Lines block away ) pick cheap food Marks Spencers right across street . also walk distance Hyde Park Paddington Station . hotel clean , comfortable , staff friendly helpful , food restaurant excellent . would definitely recommend hotel would go back . 
 oct 9 2009 	 mundane average chain hotel 	 supposedly four star , find serviice four star far helpful friendly . feel like another tick box . manage upsell & quot ; deluxe & quot ; room due fact string overnight flight , truly find nothing & quot ; deluxe & quot ; room . internet BT Openzone , cost ten pound per 24 hour , ridiculous , especially since 's lobby . internet room wireless , cost fifteen pound per 24 hour , , , ridiculous consider tethered wall . nothing wrong hotel per se , jsut expensive experience mediocrity . 
 Oct 8 2009 	 Excellent Hotel 	 Hilton Metropole perfect vacation . book room access lounge day delicious snack drink . save lot money eat day food filling . room deluxe plus room side hotel normal room small use United States . however , deluxe plus room perfect size walk lobby lounge problem . overall hotel good deal recommend anyone . 
 Oct 8 2009 	 nice hotel get right price 	 would stay get good deal ( ) . breakfast good , people helpful , busy , large hotel bit remove London sight ( need use Tube sight ) . room need update / repair well . 
 oct 8 2009 	 Easter Weekend 	 arrival hotel check busy ( time ) smooth go room issue resolve within 5 minute staff prompt . room basic 2 queen bed ample size . pool small little cold . view bar top floor amazing see full london . breakfast amazing ....... everything could ask ..................... defo return huge hotel ...... 
 Oct 8 2009 	 recommend beat path kind stay 	 room facility keep clean , enjoy exercise facility ! order room service several time , price ok , food always fresh & amp ; hot , service time bit slow . concierge service outstanding ... helpful . ask guidance move around London ( safely , 2 lady travel ) , help tour city , etc ... always friendly helpful . even offer escort pub evening need - thank ! 
 Oct 8 2009 	 room date service breakfast location friendliness staff make 	 stay 5 night month ( oct 2009 ) . hotel HUGE , lobby like grand central station . hang around wait , everything move fast . ideally locate literally 2 minute walk Edgware Road Tube Station 10 min walk Paddington Station . Edgware Road long , 95 % muslim middle eastern , totally british . shop cater culture . mark spencer , superdrug hair salon right hotel door step . bar Hilton super expensive , lovely pub nearby call Chapel ( 5 min walk ) . HIlton Honours member ask bump usually happen check . breakfast brilliant , great selection service great . staff fantastic hotel . would recommend . also get taxi right outside door hotel consierge call . hotel fantastic . 
 Oct 8 2009 	 stay 	 check staff seem uninterested help . tell room Tower wing know room old , scruffy , smell bed incredibilty uncomfortable . I immediately ask West Wing East Wing room . tell hotel fully book . option . the bed hard spring stick back , end sleep floor . mini - bar , well , actually , mini , sound like tractor night . at 5 am call reception , nobody answer . 5.30am walk reception . tell useless reception girl need change room . 15 minute arguing tell would check 9am . the manager call room guarantee West Wing room . duly move room . result . however 11 pm attempt turn AC . stop pump air continue make loud noise night . I call reception . room available . check morning move Cumberland Hotel , Marble Arch . do stay HILTON LONDON METROPOLE ! ! ! ! ever . 
 Oct 6 2009 	 ok expect Hilton ! 	 stay recently property friend trip Silverstone London birthday meet expectation . ' book 3 room , king size bed close together ( confirm phone , reservation ) . arrival , tell front desk agent assign upgrade room west wing , ' appreciate till moment ' see room , apart 5th , 8th 10th floor , upgrade room , can not imagine standard room look like ! another surprise even reservation make two person per room , find toilet amenity one person - one towel , one shampoo ... ! since celebrate birthday miss kind reaction - show reception agent arrival check process ( birth date passport registration card ) reaction front desk agent birthday card room ! arrival ask front desk agent late check fly back 18h00 Lutton , get quick hotel fully book – problem store luggage concierge .breakfast good though , lady welcome guest breakfast room polite staff friendly . departure , leave impression agent want pay bill go ! time ask stay ! normally major concert first class hotel get feed back client . person ask stay gentleman luggage storage doorman big thumb . 
 Oct 6 2009 	 good location 	 back 3 day hotel mum long weekend not dissapointe , despite review . hotel gigantic hold 3000 people expect wee queue brekkie . room 9th ( 23 ) floor adequately decorate , little small side . fresh towel maid service day complaint . include deal dinner 1st night - give choice buffet table service - defo go table service go buffet choice menu available . breakfast brilliant - choice one chef make fresh omlette order ! use pool morning ( go 8 am biz start ) ourselves.23rd floor restaurant cocktail bar worth look view alone ( £ 21 2 cocktail though ) .great location straight across Edware Road tube station 15 minute walk Oxford Street shop . 
 oct 4 2009 	 huge scary first 	 arrivef 1 : lobby pack people world . quick check Hilton Honors desk . room small ahd climb bed get dresser chair . could change room night , able next morning . Nicer , still small room small bathroom . settle nicely . neighbor hood nice walk Hyde Park Speaker 's corner , short walk two tube station , convenient . interesting middle eastern ethnic neighborhood . dine outside sidewalk restaurant smoke Shisha hookah . great food , talk interesting people . adverse people , hotel . breakfast chaotic never know place breakfast suppose serve . fabulous croissant . dinner restaurant include package actually good . nice lobby many tour pick - up hotel . stay old White , well . afraid charge automini bar other note , problem . good value . get see Van Man Morrison Kenwood ! ! ! ! 
 Oct 4 2009 	 perhaps stay business ( must ) pleasure . 	 bring earplug , screwdriver inhaler ! disapppointe . attention & quot ; show & quot ; - reception area , room guest comfort . request quiet room 3 person . room provide ( 590 ) adjacent noisy plant room , view building site ( thankfully work weekend - beware weeknight ! ) room carelessly prepare - dirty & quot ; disturb & quot ; sign leave , cover coffee stain ( hope coffee ! ) Room reek overpoweringly & quot ; Shake n Vac & quot ; , strong need open window .... window unopenable ! air - conditioning control control temperature room - must request Reception , discover sleepless first night . poor attention maintenance , expose lightbulb bathrooom , towel rail hang wall , stain carpet . lady toilet public area : faucet loose . breakfast plentiful food mediocre grossly overprice . hotel central location , handy Oxford St , Paddington . Bedlinen clean , bed comfy . nice toiletry . poor information room - room service menu provide room . example staff polite pleasant particularly effective . maybe hotel fine overnight business trip - someone look pleasant break . 
 oct 4 2009 	 good hotel ever 	 stay quite hotel , one good I´w stay ( especially take account London ) .I however surprised hotel offer free Wifi . 
 Oct 3 2009 	 nice location great room good price 	 stay conference London . hotel big , check expect slow ... although rather fast . upgrade executive room , provide lovely view . room good size bathroom . bed nice , Hilton usually . maid service efficient , unseen . pool locker room well maintain . also good meal restaurant , one colleague celebrate birthday trip . staff go way provide special evening we . concierge helpful procuring transportation various outing , arrange overnight trip Paris . not afraid ask need . 
