great 	 return three day Holiday Inn Bloomsbury Nov 27th . could fault hotel . room 429 right opposite lift problem sleep three night . location great , Euston Station 10 min walk away , mess taxi 's arrive leave . lot place eat within walking distance , make sure take walk Bunswick shopping centre right hotel , really nice lot good place eat . eat Giraffe Strada could fault . would highly recommend use Big Bus Company tour get around , pick bus main road buy hotel , drop Trafalgar Square collect bus different attraction , brilliant way get around , 48 hr pass two we cost £ 50 well money worth [ one ten minute taxi ride back strand cost we £ 10 around 10 pm traffic busy ' m sure price would lot high . sum great location , great breakfast , nice staff , would highly recommend . 
 Aug 25 2009 	 Excellent Location ! ! ! 	 hotel awesome . one block Russell Square tube station Picadilly line . picadilly line convenient lot place like Picadilly Circus . also , Russell Square one block St Pancras station catch Eurostar train Brussels Paris . would stay hotel . get super deal Expedia stay four night . worried expensive food , Tesco supermarket around corner get cold sandwich drink 2gbp altogether . stock food drink head back night . another chain supermarket call Sainsbury 10 minute walk away buy hot indian meal 3gbp . portion great tasty . HSBC bank also one block away easy cash withdrawal . neighborhood safe full life even late hour . hotel , quite old outside floor room renovate . room stay seem quite worn clean simple spacious top floor . bathroom HUGE water pressure shower strong enough . could vary room room though . although room nothing thrilled , bed super comfortable . get good night sleep every night long hour walk around London day . room ok frill location good part it . the british Pound expensive compare US Dollars want save money , buy food supermarket instead eat restaurant buy Oyster card tube bus . save almost half . top much want even get refund unused fare . honestly find restaurant crazy London exception fast food fish Chips place near Tower London . ' basement near ticket booth . fish tasty fresh . 
 Aug 18 2009 	 would stay . 	 ProsGary , concierge great . walk Google . 1 block Tube.3 block British Museum . across street grocery / mall . local eateriescalle room service pillow arrive hour.2 block laundry ( ' m pay $ 5 wash underwear ) ConsAverage room . breakfast 11 pound discount Premier member ! not sign eat local eatery save 50 % 
 Aug 16 2009 	 Comfortable / Great Location 	 good quality Hotel , London Hotels disappoint overpriced right . very comfortable , clean friendly staff . brilliant location London ' stuff ' locally good range shop unexpected . Brunswick centre opposite usual high street store ' upmarket ' one . great eat fair price , include Yo ! sushi / Giraffe / Carluccis / Patisserie Valerie / Starbuck name ! ! ! great transport nearby , favour walk ! ! back street way interesting shop / restaurant / cafe . 
 Aug 15 2009 	 great location would stay . 	 hotel clean . book 2 single bed ( mom travel together ) location fantastic . Russell Square tube station around corner . many grocery store right nearby also . wireless fee ridiculous ( $ 30 day american money ) go Pret Manger ( yummy coffee Sandwiches ) around corner use free wi - fi . also many internet cafe around London use internet hour pound . & quot ; Fitness First & quot ; gym use day $ 10 also walk around London not enough exercise weather inclement . no complaint would stay . 
 Aug 14 2009 	 pleasantly surprised good hotel 	 stay six night nice quiet & quot ; Superior & quot ; room find big enough huge bed plus usual convenience room safe . use front desk safety deposit system secure convenient room safe . arrival first impression hover Bell boy suit we however assistance available require . helpful efficient staff round . good breakfast . excellent location Russell Square Tube station , bus stop include Original London Sightseeing Tour open top hop on / off bus . also nearby pick point Premium Tours Windsor Castle , Stonehenge & amp ; bath etc save time trek Victoria Bus Station . many eat place nearby plus shop include huge waitrose supermarket money save rotissorie chicken salad purchase along bottle wine enjoy hotel room . good Laundrette nearby . depart Concierge hail London Black cab we . St Pancras Eurostar station also close . will stay 
 Jul 30 2009 	 around good stay 	 2 night Crowne Plaza unhappy come . & quot ; family & quot ; room quite good size extra sleeper couch . staff extremely helpful friendly . location fantastic lot store nearby grocery essential . central tube line around block 's walk distance sevral major tube stop . breakfast buffet good plenty good place eat wlak away . excellent value ; large room would sleep 4 $ 145 full english breakfast . 
 Jul 23 2009 	 great place stay 	 first trip London . Loved hotel . block Russell Square Tube Station . great little grocery store across Tube . employee hotel great . knowledgable area could give direction anywhere want go . nice quiet area easy also get bus travel around London . close British Musuem great little park ( Russell Square Park ) . would highly recommend hotel . 
 Jul 22 2009 	 good location - room smallbut typical London hotel 	 good location west end , friendly staff & amp ; fast check & amp ; . room small typical alot London hotel . get good deal ( £ 116 dinner bed & amp ; breakfast ) can not complain . round corner Russell Square tube . 
 Jul 21 2009 	 one bad hotel ' ve ever stay 	 really can not say anything positive hotel honest . the room small , cramp , date view air conditioning duct window . room service almost inedible breakfast marginally well . luckily stay work not pay otherwise would ' ve demand refund move another hotel ... ! 
 Jul 20 2009 	 convenient location good basic amentitie 	 stay week - long business trip . overall , would stay next time need hotel near office . pro : - V. close Russell Square tube stop ( basically be right behind hotel ) - Brunswick shopping center across street restaurant , waitrose grocery store , 2 pharmacy , Starbucks , etc . within walk distance.- clean room basic amenity like hair dryer mini fridge ( mini bar room ) .cons : - room bit small , american point view . good sized RoW view point.- room face street ( esp . Coram St ) noisy due pub also drunk stumble back hotel 1am.- understand wish environmentally friendly , follow rule bathroom sign put towel floor , would like fresh , new towel -- old towel hang back up.- internet connection ( Wifi Ethernet ) cost £ 15 24 hour . 
 Jul 14 2009 	 good location Great Service 	 stay 1 night business , great location load shop tube near . room would expect Holiday Inn , general area plush . 
 Jul 10 2009 	 central hotelgood value . 	 friend stay hotel several time . room clean , bathroom small , adequate . lot choice breakfast . able leave case ar hotel checking . helpful staff . Russell Square tube station minute walk away . close West end . Waitrose & amp ; boot opposite . coffee bar mini supermaket round corner . taxi always around . close St Pancras & amp ; king Cross . can highly recommend . 
 Jun 23 2009 	 get bit pay 	 London accommodation expensive , especially Central London . Holiday Inn Bloomsbury , money , good value . check - in great , basic room comfortable relatively large London standard price range . despite thin - ish wall loud elevator , location hotel make thing easy overlook . often get pay european hotel , HI Bloomsbury give typical London budget hotel . internet access pricey , budget London , good place consider . 
 Jun 17 2009 	 bad check ever ! 	 stay two night April experience absolute bad check - in ever . young woman work reception look tramp check Ritz . greeting , smile , conversation . hand room key tell elevator behind . consider three lift literally 10 foot reception desk , go . bloody room key not wotk return ( different staff member thankfully ) recode . since last stay hotel , nothing change . room still small clean comfortable . hotel excellent location beside Russell Square tube station energetic walk Covent Garden 15 minute . the buffet breakfast good selection thankfully staff member meet stay anything like sour , unhelpful woman misfortune meet check - in . there irish theme bar hotel good atmosphere usually show live sport tv . 
 Jun 11 2009 	 great location - would stay 	 stay four night executive room . executive level hotel first floor ( american 2nd floor ) meet room . friend standard room . executive room slightly large upgrade furnishing panel . standard room nice spacious ( city hotel ) . next time would probably book standard room . upgrade enough reflect price differential . Holiday Inn guestroom facility meet expectation . the hotel close Russell Square tube station short walk British Museum . definitely tourist area . Brunswick Centre cattycorner hotel nice grocery store restaurant . like Carluccio 's Nando 's . Carluccio 's nice breakfast . ( eat hotel . ) would stay . 
 Jun 8 2009 	 Nice hotel shame dinner 	 book hotel part theatre package include accommodation , evening meal breakfast . room basic , bathroom small adequate need . evening meal go theatre awful . closely resemble frozen tv dinner , frozen roast potato freeze mixed veg ! although hot buffet food dished chef small portion offer . pudding look lovely , unlike main meal freely available we help ... sadly frozen dish trifle still ice middle . disappoint ' recommend evening meal . the hotel next pub 3 am follow morning woken crowd youngster hang around outside front hotel chat loudly car engine run . say , breakfast excellent . freshly cook plenty choice . as many hotel area next book theatre package doubt ' return Holiday Inn Bloomsbury , sadly evening meal let . 
 Jun 3 2009 	 fantastic location amazing breakfast 	 walk Euston hotel ( equidistant Kings Cross ) find shopping center adjacent well tube Tesco Express . room standard breakfast great fruit , cereal & amp ; full English . pub adjoin fair price meal & amp ; drink . Left Luggage complimentary extra , sightseeing without worrying case . 
 may 30 2009 	 ideal location traveller especially tourist . 	 mention least one reviewer , hotel choose hotel Yorkshire - London Tours Weekend . not realise time gem . include travel coach Yorkshire , two night stay breakfast , cost £ 258.00 - cheap weekend , well worth money re - aquaint London , hotel , hotel location . especially Holiday Inn . , apart expensive 4 5 star hotel , one give chance , would opt every time - price allocate bedroom right . get way , downside were:1 - bedroom overlook nothing hotel room , presume outlet air - conditioning working machination . view , none need . London all.2 - need guest vigilant personal possession . one lady , ( different coach tour ) , unfortunate handbag take . please take note wherever stay London , need look valuable , fault hotel , look try good could alleviate lady 's distress . 's , apart minor thing like ( large ) fridge , nothing ? prove bonus- store milk drink - explanation swipe card work lift - minor negative . hotel quick change , be ' cosy ' be inhospitable either . receptionist book staff excellent , consider busy weekend . the positive were:1 - ideal location relatively quiet square.2 - ideal location relatively quiet square ( apart room allocation perhaps ) make coach visitor feel like second - class citizen , would view tour hotel past .. 3 - hearty breakfast would gladly pay . need freshly cook egg example , ' short wait . serve staff efficient , fast , credit hotel . whoever - thank . hospitality much appreciate . 4 - proximity tube station London attractions.5 - despite miss handbag , feel safe area . hotel would choose stay alone.6 - clean room , clean bed linen , clean towel , ample toiletry provide weekend . hospitality tray like extra coffee sachet without disturb staff , take small amount quick - lock container : - ) could go , lovely Holiday Inn , albeit busy one airline staff booking time day night - another positive humble opinion - coach party - area easily walk take - away , shopping centre , chemist , 's irish bar attach , pub opposite lively friendly well police . point feel afraid wander away hotel . tip : buy ticket Original Bus Tours , be stop 's near hotel cut need travel tube ( make note running time stop . think one take we back near hotel 5 6 pm , handy we nevertheless . back hour later . ) need travel afield , buy Oyster card . can not rate highly enough , hotel central , would need add little money they . if be budget , buy necessity local Tesco - include snack , bottled water etc , empty fridge come handy . fr toiletry : boot pharmacist across road . if be book hotel , think safely say ( short visit ) housekeeping staff credit , wait staff breakfast time . 's add favourite hotel London folder : - ) would go ? right would ! : ) thank help make stay pleasant one . will back soon , hope . 
 May 24 2009 	 Great Location . 	 comfortable hotel conveniently locate near Russell Square British Museum . block away Russell Square Underground next small shopping centre sushi restaurant , cinema Boots . also reasonable walk ( 5 UKP taxi fare ) St. Pancreas Station , Eurostar . London theatre , good connection Leicester Square / Piccadilly Circus / Chinatown . also short walk Lamb Lamb Conduit , one good pub London . what ' like . wireless internet available , 15ukp day . hotel lose big point wireless ' free . Holiday Inns US free wireless . one ' . Boo Holiday Inn . mini - fridge ' work . hotel investigate new " scheme " fridge , well , bad . worse , look like movement sensitive system consider . move item mini - fridge go bill whether use . Boo Holiday Inn . tv old tube model , rather flat screen commonly find hotel day . finally , wall rather thin . could easily hear tv people room hallway . good point . nice size room two . tv remote paper sleeve detail available channel ( like ) . air conditioner powerful - although mysteriously turn night . switch problem . Coffee / tea room . safe closet . furnishing new functional . reception staff helpful friendly . breakfast include room rate well . normal ingredient british breakfast plus fresh fruit combination various bread , juice cereal . I stay year ago consider price location , would likely stay . unless find something close price quieter free wireless . 
 May 21 2009 	 lovely american - style biz hotel 	 pretty great Holiday Inn ... room large well appoint ; bathroom great shower water pressure . nice large tea set room electric pot . complaint lack tv channel ( 15 , sparse , since hotel 40 + ) , in - room internet CRAZY expensive ( around US $ 17 24 - hour period ... insane ! ) .The location FANTASTIC ... block British Museum , 1/2 block Russell Square tube stop , etc . really easy walk everywhere here . I get room $ 95 / night Priceline , crazy cheap make happy : - ) 
 May 16 2009 	 Excellent Hotel great location 	 stay recently anniversary weekend . speedy check - in helpful polite staff . queue minute executive room first floor . room clean amenity expect 4 star hotel . room quiet , despite first floor , Coram Street busy traffic , welcome . bathroom clean well maintain excellent selection toiletry bit piece . couple minor housekeeping issue deal efficiently swiftly manager , Mr Hennessy - great guy ! eat hotel , use Irish Bar service brilliant polite , Guinness great . good stay nice quiet location , yet step away Tube Bus stop . return later year first choice . 
 May 15 2009 	 great location food helpful staff ! 	 first trip London sister 6 year old daughter . hotel FAB location - able walk Oxford Street shopping Euston Train station . hotel staff fantastic really go way help we plan , direction , bus ( especially male concierge - thank ! ) . room fine extra bed set ready we . amazed quiet room night ! pay breakfast day ( cheap pay day room ) . would definitely recommend breakfast - cater really set day - not need anything till dinner time ! also eat lunch irish bar - really good , fresh bar food . 
 May 15 2009 	 Fabulous Trip London 	 May 3 – transitmay 4 – arrive London check Holiday Inn , Bloomsbury 4:00 pm . hotel wonderful location . ½ block Russell Square tube station , close British Museum . unlike many hotel Bloomsbury , ' busy street , small quiet street . we tire decide eat dinner room . across street hotel Waitrose market . get salad salad bar , fruit , nut , tea bottled water . dinner revive take short walk around neighborhood pass Russell Square British Museum . May 5 – short walk Euston train station get 7 day Travelcards railway logo they . we want take Hop Bus stay entire time . recommend go free walking tour see Guards . . hysterically funny guide . tell we take we place ' get unobstructed view Guards , instead stand huge crowd Buckingham Palace . go St James Palace ; amazing unobstructed view . play Saints go Marching formation , leave palace . get good picture . walk along road guard march towards Buckingham Palace . go St. Martins Field lunch Café Crypt . tuna sandwich good . brass rub enjoy . get back bus , go Tower Hill take free cruise back Westminster . cold windy top bus cruise ; get good picture . still jet lag go back hotel . stop Waitrose salad . bakery really good baklava . May 6 – husband soccer ( football ) fan book tour Wembley Stadium . last 90 minute soccer fan , highly recommend . way , get St Pancras Station early . someone family Harry Potter fan , ' want take picture platform 9 ¾. ' old train station , King ' Cross , across street St Pancras . tell go , ' pass right . ' actually alcove ' 2 set bike rack . tour , take tube Marble Arch lunch Ranousch Juice . good . walk along Oxford Street . pop Selfridge . ' department store cover entire city block . go Gray ' Antiques Gray ' Antique Mall – disappointed . avid photographer , see photographer ' gallery – another disappointment . 2 disappointment trip . on way dinner Tas Restaurant , go British Museum short time . dinner good . look forward spend time museum . May 7 – get Tower London open 9am stay 1:30 . use 2 1 coupon . see Crown Jewels go Warder tour . tour . Henry VIII exhibit wonderful . cold snack , want hot drink . visit Tower must . Lunch Wagamama ' right near Tower . our plan next go Tower Bridge Exhibiton . walk toward bridge , see entrance midway along bridge . cold windy ' want go windy place . , Covent Gardens . street performer Charlie Chaplin show magic . fun . that day . decide eat . get salad Waitrose , cook chicken , baguette dessert . good . May 8 – rain leave hotel British Library . awe Treasures Room . imagine , Magna Carta , Gutenberg Bible , Da Vinci notebook , letter literary giant like Jane Austen even handwritten song beatle one room ! stoop rain left library . day wet umbrella ? Glad Bags 2 ½ gallon zip lock bag . umbrella fit one . pop day pack . time British Museum . another must . ' quite collection . walk back hotel long break – get watch british version Biggest Loser . also read . go Rock Sole Covent Garden first british Fish Chips . dining room downstairs ' paint ocean motif . good . as big Agatha Christie fan , see Mousetrap . play 57 year . imagine ? absolutely delightful . may 9 – Saturday morning take tube Hyde Park Corner walk park . ' wonderful park . see people sport ' never see ask one . ' call roller ski . ' cross county ski training . walk along Serpentine . enjoyable walk . then time Victoria Albert Museum . take introductory tour highly recommend . lunch café . love museum . cast room really impressive . plan go science museum afterwards ; ' another museum day . we walk Harrod ' pack . ' spend much time . go back hotel another really long break . dinner Masala Zone Covent Gardens . love food . go candlelight concert St Martins Field . include music Bach , Handel , Vivaldi . acoustic really good ; sound rich envelop . special event . May 10 – first time trip , sky blue wear sunglass . breakfast Pret Manger . ' tea drinker . husband say coffee well Starbucks . recommend chocolate croissant sandwich . we go London Walks Greenwich . lovely day . see tour , go Painted Hall , Queen ' House , Maritime Museum , Greenwich Market Observatory . Lunch Pizza Express . view observatory spectacular . take picture Prime Meridian another must . take good picture . really good choice day . the DLR ' running , take Thames Clipper express back Westminster Pier . use 2 1 coupon . talf pub meet South Kensington Queens Arms . fun actually meet people post regularly site . fish chip there . my 11 – last full day London . breakfast Pret Manger Westminster Abbey . take Verger Tour . ' magnificent building . especially anxious see Coronation Chair , Poet ' Corner Darwin ' grave . this day people Sri Lanka rally . amount police police vehicle impressive . take security lot seriously U.S . cctv city . see lot police officer foot patrol . we lunch Pret Manger . time Churchill Museum War Cabinet Rooms . well put together ; enjoy it . off London Eye . fun . start walk along Thames , windy , decide go National Gallery . since close Covent Gardens , walk dinner . ' sure would dinner . walk Floral Street Masala Zone ; farewell dinner there . May 12 – fly homesomeone ask weather . 50 degree leave morning get 62 - 63 day . good . I hope able convey fabulous time . 
 May 12 2009 	 Convenient Location 	 book room triple accupancy last day business trip . room little cramp two double bed . otherwise room clean . refrigerator though . strange hotel class . give we extended check even bring luggage ( ten piece luggage ) . breakfast substantial . 
 Apr 23 2009 	 Perfect value trip london 	 book 2 night Holiday Inn surprise 21st birthday partner , part theatre break deal . say do not single thing complain could not ask nice birthday , hotel , location , staff , room , well basically everything ! dissapointment arrange champagne strawberry arrive 07.45am partner do not show ! ask staff front desk say go wrong room come next morning ! day return room find flower letter say fully refund cost champagne strawberry still next morning imagine please . the tube literally 1 minute walk around corner find extremely useful . restaurant bar also 5 - 10 minute walk away also really nice have not get noise outside hotel . plan go Majesty 's Theatre also 10 minute tube ride away also handy we . breakfast lovely huge selection cereal plus everything full english . if would like convenient , pleasant valuable stay london , would certainly recommend Holiday Inn Bloomsbury . 
 Apr 22 2009 	 Convenient Tube stop - waitstaff attentive ( be man ) 	 hotel conveniently locate , 150 step Russell Sqaure Tube station . room small , especially bathroom , clean nice . , mini bar warm . ask , advise disconnected mini bar empty warm mini fridge room useless . hand , be lot shop close mini - mall , well museum across street . must use card key access lift , realize 's additional security measure become hassle always several day . we book room breakfast include stay 3 night . whenever dining , staff ignore we - they never come clear table talk we . though invisible . assume female - we notice whenever lone businessman several man together , staff would go way clear plate constantly ask want anything else . not matter sit , come breakfast time , virtually ignore ( man never ) . seem think male customer worth serve . 
 Apr 19 2009 	 Great Location great stay 	 will begin say good hotel stay London price range . Great Location - 10 minute walk Oxford St. 1 minute away tube station . staff friendly helpfull . breakfast rich , full english + kind cornflake ! room clean , bit small - price London last minute booking - can not complane.all together - ' ve great vacation . already wan na go back ... 
 Apr 15 2009 	 great hotel would definitely stay ! 	 stay Holiday Inn Bloomsbury 10 night great ! stay twin smoking room , one us smoker . the room perfectly good size , bathroom . pillow great , extra one closet , use ( lazy get pillow menu ) .Staff professional pleasant . cleanliness flawless . tv , phone tea / coffee - make device room . our room face inner courtayard , see outside noise could problem get room face street . say : always bring earplug ( buy near drugstore ) . also , room could get bit chilly winter , window double - glaze heating seem heat - up much , even maximum ( either not know operate ) .Breakfast real feast , even though bit pricey ( around 10 pound buy upon check - in ) . buffet great variety high quality food , probably worth it . location could well , tube station 24 - hour Tesco right around corner , plus small complex shop restaurant step away . we love hotel would definitely stay ! 
 Apr 15 2009 	 Good Hotel 	 get hotel great price Priceline . usually fairly low expectation hotel hope pleasantly surprised . problem holiday inn . previous writer say , customer service excellent- include tip assistance concierege , Gary . good , safe location . 6th floor huge bathroom enough room roll away bed . housekeep good room look clean . overall , would stay would recommend . 
