enjoy 	 good thing say Chelsea Pines Inn . moment arrive treat guest . friendly , helpful show resturant recommendation . extend breakfast hour morning help alot . make feel welcome well take care . thank staff Chelsea PInes Inn . definitley back see . Regina 
 Perfect Location - Clean - Great Hosts 	 title say ! place spectacular ! go ny business class not sure stay . check homestay.com see great place money Chelsea Pines keep call . review amazing ease location well concierge . can not say enough locale . trip stay uptown pleasure close everything time . one bedroom suite picture work great employee . guy front desk gracious check check ( even though accidentally steal H2O fridge ) . become home away home never hesitate recommend other return ! thank everyone - blast ! ! ! 
 good job Jay ! 	 clean , friendly , idiosyncratic [ showered closet , work ] [ relatively ] quiet . great location away snooty people upper 5th . felt like real ny experience . Jay crew great host . will go backa tip . european like light breakfast bit ham smoke salmon would not go amiss ; look rear garden , could real treasure ; warn we old folk climb offer room 2nd floor 
 Nov 5 2009 	 Halloween NYC 	 Flew LA meet friend Albuquerque Halloween Big Apple . Daniel Xavier provide superior customer service make great weekend even well ! 
 Nov 4 2009 	 Perfect Chelsea location great movie theme room super staff . 	 Chelsea Pines inn great place stay . 's charming feel bed breakfast , privacy hotel . room movie theme terrific photo poster movie star silver screen . staff warm friendly , owner gm particular theater nuts wonderful advice / assistance offer interested seeing show town . celebrate NY , make even easy find good place dine , enjoy art , see town . even Inn Cat ( & quot ; Charlie & quot ; ) friendly make place feel like home . 
 Oct 29 2009 	 place come back soon possible 	 wonderful stay Chelsea Pine Inn . staff extremely friendly location nice , close beatiful Meat District nice reaturant café 's . 
 Oct 26 2009 	 great place great people 	 really really nice people , enjoy stay ! 
 Oct 26 2009 	 perfect first time NYC experience 	 recently return stay ( October 22 - 25 ) fabulous Chelsea Pines Inn could not wait write glow recommendation . arrive noon despite early arrival almost instantly show room . Jay Al quick show we around ask we first time New York . answer yes garner lot good advice ( use subway , would fun stroll gorgeous day , month 's show interested . ) staff arrange ticket show , car pick we time we depart everything else ask they . the room lovely , space clean amenity plentiful . garden sunroom perfect place start day book bagel . cat lover , Charlie mew good morning day extra special . I can not speak highly enough inn , staff neighbourhood . 
 Oct 21 2009 	 perfect location friendly helpful staff . 	 subway 100 foot away . right edge Village , Chelsae Meat Packing District . plenty restaurant , shopping park . Charlie cat ther greet every day come back .. business center available check e - mail . nice daily news letter go City . stay next visit . 
 Oct 21 2009 	 real gem ! 	 love Chelsea Pines would recomend anyone travel NYC . gay hotel , stay heterosexual friend several time always make welcome . hotel location Chelsea / Meatpacking district subway right corner , great part town . rate good value NYC get wonderful bonus breakfast , . room clean comfortable - think thing would suggest buidle tall lift , mobility problem make sure ask room low floor . staff helpful welcoming ever come across anywhere . think advantage part chain , atmosphere set wonderful owner , Jay . book enjoy stay ! 
 Oct 20 2009 	 great place stay New York 	 partner stay week Chelsea Pines would definitely stay . location excellent , 50 metre subway station find Chelsea safe area close good venue . hotel clean tidy staff helpful . room quiet breakfast day excellent . first visit New York Chelsea Pines great base . 
 Oct 19 2009 	 Fabulous friendly great locate Inn Chelsea / West Village 	 ' ve stay Cheleas Pines Inn almost 20 year , business personal trip . management continue improve upgrade Inn point rival good small boutique hotel NYC . staff incredibly friendly helpful , room comfortable , amenity top - notch . new 2 - room suite nice ideal 2 friend travel together . location border West Village Chelsea can not beat restaurant , shopping , night life , easy subway access NYC . 
 Oct 19 2009 	 wonderful hotel - great staff ! 	 wonderful stay Chelsea Pines Inn . beautiful inside . Charming convert five story walk . decorate lot classic movie star poster picture . stay Lee Remick suite . lovely ! comfortable queen size bed . gorgeous bathroom ! nice breakfast morning . great business center computer / printer . staff first rate ! subway block . easy get uptown show shopping ! would happily stay ! 
 Oct 19 2009 	 great location enjoyable stay frienly staff 	 return guest , , greatly appreciate Chelsea Pines inn convenient location improvement room renovation thing like Business Center . breakfast generous staff friendly helpful . definitely come back ! 
 Oct 19 2009 	 great place stay NYC ; friendly staff great location nice room 	 stay Celsea Pines Inn three night really like place . location right 14th 5th 6th , close / Chelsea , Soho Meatpackers . first thing notice step hotel cozy , clean well keep . second thing notice friendly staff welcome , nice indeed . room stay one standard room ; cozy , functional , good bathroom , nice bed view garden . also love breakfast , fresh bagel , juice etc ! downside book last minute room top / fourth floor ( elevator ) good workout get room . love stay . would really recommend hotel would come back ! 
 Oct 17 2009 	 simply best 	 comfortable & amp ; restful . full kitchen downstairs amazing ; homemade orange peel bread one morning - wow ! room clean & amp ; little large expect . Front desk seem know stranger ; treat like guest someone 's home like customer . stay . 
 Oct 10 2009 	 Great Style decor ... helpful staff 	 daughter stay boutique hotel , delighted room staff . room small ( large room , figure would not spend much time , decide save use saving elsewhere ) well design work well comfortable . bathroom upgrade upscale granite counter , tile plush linen . love old Hollywood decor movie poster . desk staff helpful , issue info page morning weather forecast , interesting thing , etc . business room computer printer charge ... continental breakfast include . elevator though , get good workout fourth floor . close subway station . 
 Oct 7 2009 	 first visit NY fab thank 's guy Chelsea Pines Inn 	 hotel NY not situate really nice area . be clean , welcoming , creative fun decorate room foremost wonderful staff . help find ever be look fore fill special little family - reel hotel nice atmosphere . big plus small backyard , take cup coffe morning . // Nina Sweden 
 Oct 5 2009 	 superb home home friendly staff 	 stay hotel 3 year previously choose return find facility , location helpfulness staff absolute must . fact , hotel refurbish new internet suite come handy discover have lose wallet arrive ! owner , Jay , could not concern helpful regard unfortunate occurence . 
 oct 4 2009 	 cute small hotel 	 stay three night hotel please . book double room advance everything alright check . hotel room dedicated film star stay Rock Hudson room . love interior old movie poster . downside hotel not lift step pretty narrow steep . the room separate hall small table , two chair fridge . bedroom spacious also couple chair small table . bathroom clean comfortable . be really nothing bad say room , cozy like it . breakfast include price basic stuff : bread , cereal , coffee , tea juice . hotel locate 14th street location please we , not want stay near tourist attraction . subway entrance near , many nice restaurant nearby interesting shop . gay neighborhood problem , suggest stay somewhere else . enjoyable stay could stay ! 
 Sep 30 2009 	 clean stylish hotel fantastic service great location . 	 stay Chelsea Pines first time read great review Trip Advisor . disappointed ... fact even well expect . Chelsea Pines great location ( walk distance ) Meatpacking District , West Village Soho great shopping , dining nightlife . hotel spotlessly clean fabulous bed linen plush towel . staff extremely friendly helpful catering every need genuine smile . great breakfast every morning serve 11 am nice get crack dawn night town : ) check time 12noon nice ... place NYC 11 am . would highly recommend hotel couple family look small , friendly , stylish & quot ; family run & quot ; place stay . definately back . 
 Sep 27 2009 	 friendly stay great location 	 Chelsea Pines gay - friendly : straight read simply friendly . key part wife 's enjoyment first visit New York ( New Zealand ) , think characterful place be ever stay . it be full - service hotel , staff friendly obliging , organize car Newark International middle night great efficiency . self - service breakfast excellent bagel - and - muffin genre , lot place eat immediate neighbourhood ; Chelsea Pines recommendation reliable precise ( make simple step realize & quot ; convivial & quot ; mean & quot ; noisy , & quot ; fogy like ) .Chelsea Pines Hollywood theme , lot movie poster around , top . quiet restful , hotel cat meditative kind ( well , be old sleep lot ) . real pleasure come back evening . we premium room , good space , though whole building kind narrow , space mostly length dimension . everything clean work properly , bed huge comfortable ( firm , excellent age back sight - see trip ) . noise level excellent location , trouble sleep . we be already recommend friend , hope return soon . 
 Sep 21 2009 	 Inn 's warm welcome carry throughout stay . 	 excellent location , pleasant helpful staff . feel comfortable moment arrive enjoy banter staff member . appreciate wonderful insightful idea recommendation thing place eat . 
 Sep 21 2009 	 can not recommend hotel highly enough 	 return New York spend 5 fabulous night Cheslea Pines group girl celebrate birthday . treat place . clean , stylish , incredibly welcoming , round pleasure stay . can not recommend hotel highly enough . staff brilliant , friendly helpful ( even put 6 girl high heel clatter around place ) add touch bunch flower room birthday lovely surprise . 3 room stay really spacious , clean bed comfortable ! Breakfast morning also add treat , yummy bagel , muffin home make bread lay wait we . lovely way start day . the location excellent , subway stop street . , lovely time ' m glad find gem place ! 
 Sep 12 2009 	 great room great staff great location 	 Staying Chelsea Pines Inn pleasure . room comfortable , nicely decorate seem new . aircon summer definate plus . sleep really well quiet , busy bustling area NYC . staff friendly , include resident cat . room name hollywood movie star photo poster star room . would recommend place friend would stay . 
 Sep 9 2009 	 great location great people great place ! 	 & quot ; Pines & quot ; great respite New York pace . visit work quite often really appreciate personalized service attention . customer 15 year never negative experience . look forward time , feel like home ! 
 Sep 8 2009 	 Friendly greatly locate 	 fed hotel chain love charming guest house , ideally locate Chelsea near Meatpacking district , one hot spot ny.the staff really nice helpful , sure return . 
 Sep 8 2009 	 Classy interesting small hotel fabulous neighborhood . 	 Classic , movie - theme small hotel fun comfortable . not use stair , sure request room one low floor . 
 Sep 8 2009 	 cool fun friendly 	 place excellent every way . rang make reservation request quiet room , one face garden fine . people desk extremely knowledgeable , warm helpful , make we feel nothing much trouble . hotel great location , near new High Line park wonderful , handy Subway . daily information sheet produce , tell 's stuff interest . room comfortable clean , air conditioning ( essential August ) . take two teenage boy ( 14 18 ) love well . relax extremely efficient , would highly recommend . 
 Sep 7 2009 	 fantabulous 	 location people , nothing beat Chelsea Pines . wish permanent room . convenient Meatpacking District Greenwich Village , Chelsea Pines little home away home . 
 Sep 6 2009 	 great value location 	 keen anonimous big chain own hotel base review Tripadvisor decide give chance first visit New York . great decision . stay 12 night Debby Reynolds suite consist decently sized bedroom small sitting room , equip flat tv room , air conditioning , private complete bath , hairdryer , refrigerator air conditioning , location great , right Chelsea Village , near lot good restaurant , step multi line subway station , free wi - fi , business center continental breakfast much appreciated plus . staff nice , corteous helpful . Daniel : thank much assistance . it definetely hotel NYK . 
 Sep 6 2009 	 feel like home great city New York 	 Chelsea Pines Inn , hand , nice hotel ' ve stay , since move New York area four year ago . ' ve stay number place , since move - Chelsea Pines Inn one feel like home - sophisticated , like city , wonderful sense style humor decor ( b movie star ) , incredibly friendly staff , clean quiet room , terrific range breakfast choice , great little garden back first coffee day ... ' m playwright , town see performance play mine - Chelsea Pines even go trouble blurbe play , daily in - house newsletter ... close subway , great restaurant , wonderful new High Line park - could not ask nice place stay ... hope stay , highly recommend . 
 Aug 26 2009 	 hotel comfortable atmosphere convenience home . 	 clean comfortable hotel , offer ample self serve breakfast include price . staff friendly go way helpful way . computer available use time . location great - accessible public transportation amenity . daughter great time . diabetic breakfast premise fridge room snack important . drawback would stairs ( elevator ) climbing problem , however staff willing help luggage necessary . ask low floor concern . 
 Aug 24 2009 	 friendly comfortable cool hell ! 	 place fantastic ! girlfriend spend two night break working camp absolutely perfect ! staff super friendly helpful . make we feel welcome give we load information go local area , include one amazing vietnamese restaurant round corner . the room spacious comfortable movie star theme cool quirky . feel much home comfortable hotel really enjoy self service / kitchen style breakfast bar back garden . hopefully return hotel next time be New York . 
 Aug 21 2009 	 great Choice NYC Visit 	 stay 4 night August - thank god air conditioning work ! ; - ) 's terrific choice - price , give location , excellent . , staff , , nice . happy advise restaurant , route Central Park , Metropolitan Museum Art , etc . it little surprising open door room arrive Charlie ( Chaplin ) cat walk , love cat , enjoy patting head whenever see he . the room typical urban area like ny - oddly shape ( super narrow ) , , plus movie poster give fun , funky feel . btw , Lee Remick room .... negative thing happen visit gas company start construction right front door ( 4th floor window ) 6 one day . course , hotel nothing - get we bed way day , least . the breakfast fine - good mix bagel , muffin , cereal , fruit go along juice coffee . tv tune news station , could catch current event want . it great subway station 100 foot front door - buy unlimited ride 7 - day ticket $ 25 get money 's worth , even though 3½ day . the neighborhood feel super safe - head south ( Village ? ) , zillion restaurant choose lively setting . when time leave , front desk make arrangement car service take we JFK - 's dollar taxi , lot comfortable . I absolutely stay - terrific ! ! 
 Aug 21 2009 	 good value great location cute cat 	 stay Inn three time last ten year - 's always fun great value . be especially good 20 30 bit budget - first time ny.it set great red brick building extension back breakfast chill out . the room name various celebrity , Rock Hudson , be do right side camp . essentially , course , gay Inn , friendly enough feel welcome - though fair , sort place go young family . it really close Metro great place eat drink nearbye , thank location Chelsea / Greenwich . the time stayed always find place clean . room good size ( pay extra well room ) facility good . I year hear price go , would shame marked bit - still place go small - medium budget ( much one ny ) .It get bit noisy people come stair ( note - stair , lift ) late , place , ever seem add atmosphere . likewise , yes , hear siren , be middle NYC - would ask refund could hear noise City ! not know ever stay , different circumstance , , fond memory three visit , course , New York . else say ? cat cat Brass Key Provincetown know run good guest - house ! 
 Aug 21 2009 	 great time 	 spend 2 night August Chelsea Pines Inn , great time . People freindly hotel well locate . recommene experience , also suggest lunch Chelsea Market , 5 minute wak hotel . cheer , Karen Gilchrist ( Chile ) 
 Aug 19 2009 	 excellent accommodation 	 not know expectation people write negative review place , ' find clean cozy hotel , courteous pleasant staff give we many suggestion restaurant place visit . stayed & quot ; Donna Reed & quot ; room three night : maybe be big room ( like lot place NY ... ) , clean comfortable . I recommend place friend look place different anonymous hotel own big chain , hotel personality . 
 Aug 15 2009 	 delight ! 	 Chelsea Pines Inn excellent place stay every way . perhaps notable aspect charming hotel delightful staff . everyone meet friendly willing go extra mile helpful . moreover , hotel sparkle clean tastefully decorate , location can not beat breakfast excellent . place much personable average hotel ; casual enjoyable stay prissy bed breakfast . would highly recommend place anyone visit New York purpose . 
 Aug 9 2009 	 definitely ` ` '' hotel NYC ! 	 husband recently spend 4 day NYC Chelsea Pines Inn . perfect ! staff excellent ( friendly & amp ; attentive daily newsletter highlight thing would miss otherwise ) , location can not beat - subway step away , quick walk HiLine park overlook Hudson ( not miss ) , Chelsea Market , great restaurant , etc . room quiet , clean , sophisticated & amp ; beautifully update , ( bath , flat screen tv , A.C. & amp ; ) offer every size / arrangement could need single room neat little suite . business center second floor make keep touch work , print map , research city easy convenient . love nice touch kitchen / breakfast area - 24 - 7 cookie jar . especially enjoy able coffee breakfast patio outside read nytime . , stair ( elevator ) may give pause , find 5th floor room issue first day & quot ; training & quot ; husband actually welcome exercise notice improved conditioning day . course , stay low floor . great value . can not think single thing improve . want nail do , dry cleaning , etc . plenty great place nearby . f.m.andrew Louisville , KY 
 Aug 9 2009 	 Great Service Location 	 recently enjoy stay suite Chelsea Pines Inn . arrival service excellent ( continued staff stay ) quickly efficiently direct room . suite quite roomy separate bedroom extra television . plenty room store luggage bathroom excellent large shower two basin . room 5th floor ( lift ) bit struggle day explore New York although well always pleasure return . breakfast offer good location excellent . subway station along Inn plenty sight visit foot . inn provide computer room free internet access also supply daily newsletter event tour suggestion . reception staff also helpful provide information sightseeing . would hesitate recommend Inn traveller return next trip New York . 
 Aug 8 2009 	 first trip NYC 	 opportunity stay Chelsea Pines NYC . first trip NYC look safe , affordable place . Chelsea Pines thing much . can not say enough good thing . friendly , helpful accomodate moment arrive . check baggage , offer we breakfast get we room quickly . entire stay enjoyable . feel like family can not wait return . P.S . Charlie Chaplin cat really look like Charlie Chaplin ! 
 Aug 7 2009 	 Chelsea Pines Hotel safe clean place stay New York . 	 Chelsea Pines Hotel safe clean place stay New York . hotel employee go way make first trip big city good . provide daily list interesting site discount coupon . front door step subway continental breakfast well supply . even hotel owner check we ! highly recommend … . 
 Aug 7 2009 	 Loved ! great value NYC 	 partner stay 4 night great value NYC . arrive upgrade deluxe room new york standard huge . downside , 5th floor lift face busy road 's new york . not bother we much . staff friendly location great . would definitely stay . 
 Aug 7 2009 	 not hesitate book room ! 	 choose stay Chelsea Pines Inn base positive review find Trip Advisor . not disappoint spend wonderful couple day . Jay staff create pleasant visitor New York . room clean spacious , nice amenity . everyone staff extremely helpful ; night staff especially accommodate early morning coffee request . restaurant recommendation first - rate , readily make reservation we . also easy get inn half block 14th street subway station , easily get almost place city . plan stay Chelsea Pines already recommend Chelsea Pines other . 
 Aug 7 2009 	 will back 	 charming hotel , great location , wonderful host ... rate real bargain .... 
 Aug 6 2009 	 Excellent hotel 	 wife read hotel trip advisor certainly live 's review . location great subway one minute away . hotel quiet great long day site see . room tidy cookie jar downstairs great . staff Jay extremely helpful excellent recommendation thing money save tip . look forward go back New York stay Chelsea Pines Inn . 
 Aug 2 2009 	 Hospitality coziness key word comes describe Chelsea Pines Inn 	 certainly terrific stay Chelsea Pines Inn . staff unusually friendly helpful , hotel warm , welcome charming . Europeans , value public transportation highly . C.P.I . locate friendly neighborhood easy access Uptown Downtown . even be familiar use subway - system , staff ( ) ready assist . , give good recommendation . Susanne & amp ; Anders , Denmark . 
 Aug 1 2009 	 great Stay . conveniently located . Lovely Hosts . 	 suprise fantastic B & amp ; b . recommendation provide Trip Advisor traveller spot happy stay . totally recommend young traveller lift access get room stairway quite steep : - ) pro : host friendly helpful . 2 min walk subway . dry cleaner across road provide clothe washing service . lovely cover court yard equally lovely breakfast . room bathroom keep clean tidy . stroll / walk distance meat Packing District trendy cafe . safe area live - though find Manhattan quite safe anyway ! con : small room pc laptop provide common area surfing web . toiletry top couple day resort use shampoo save away another hotel stay . climb room bit tiresomefor old traveller ( lift access ) though staff helpful carry luggage steep stair room . 
 Jul 31 2009 	 relax New York 	 go big city get away Chelsea Pines great place . staff helpful tip see get around . go bookstore get small laminated map NYC subway system get anywhere want go . stay 5 time definitely stay next visit . 
 Jul 30 2009 	 fail live expectation 	 choose Chelsea Pines inn carefully previous trip New York ( 12 year ) ago ruin substandard hotel . give review online expect good . the standard room poor . not expect large ( pay superior standard room ) particularly well - furnish ( budget hotel ) . expect clean . lavatory full waste arrive . shower clean piece paper stuck floor clearly . bedding , although think clean , smell like someone else sleep . quality furnish also unacceptable . bed spring Z - bed creak everytime roll handle hang wardrobe . the plus staff ( particularly art ) great , include breakfast free - wifi . Sure Chelsea Pines reasonably cheap sure must well place stay much . will not visit . 
 Jul 28 2009 	 p e r f e c 	 spend one night Manhatten , miss connect flight , happy coincidence discover wonderful little hotel . excellent value , room clean nicely decorate , overall hotel pleasant , decently informal atmosphere . great staff make short stay NYC great experience . highly recommend place . 
 Jul 27 2009 	 great stay always 	 second time Chelsea Pines Inn , totally satisfied customer . room interesting , particularly be film buff . clean , bed comfortable . staff friendly helpful- overall , 's personal place , be important . will definitely back . Tim Hauser 
 Jul 27 2009 	 could not fault place - hope return . 	 hotel hide gem . staff give we warm welcome incredibly helpful friendly . hotel clean , bothered noise . thrilled stay Doris Day room back hotel ( recommend ) . room spacious feature huge colourful poster bed , lot fun movie print . ensuite great sheet fantastic ! breakfast coffee , muffin , bagel cereal great , ample room store luggage final day stay . nearby attraction include High Line ( elevated park convert railway ) , Mac store ( really - glorious ) fabulous place eat drink . hope return Chelsea Pines Inn - wonderful ! 
 Jul 26 2009 	 star Heaven .... 	 visitor know , find good overly expensive hotel NYC easy task . discover Chelsea Pines Inn New York Times review - positive one indeed . , Chelsea Pines Inn guest twice , , like share additional positive comment . Chelsea Pines Inn successfully mix high standard service typical multiple star hotel cosy , would say , familiar atmosphere . standard room may small enriched nice bathroom , colorful decoration , confortable bed complimentary wi - fi . small Business Center , recently add , two brand new computer printer , represent improvement already high standard available service ( whever ask staff eager help ticket reservation , suggestion anything mighy need ) . Chelsea Pines Inn day start original useful newsletter ( Chelsea Morning ) slip room 's door , suggest attraction show concert day , follow rich breakfast , enjoy kitchen conservatory , informal atmosphere . feel home time personnel always careful available , ready refill serve plate find bagel , muffin , scone even salmon fresh cream , . conclusion expect standard chain hotel 's feature atmosphere ( elevator room might perceive small ) Chelsea Pines Inn 's slogan & quot ; star Heaven & quot ; definitely appropriate ! whenever leave taxi airport start plan come back . 
 Jul 23 2009 	 great have hope ... 	 Read review book base have read . friendly place not wow factor imagine . Breakfast sometimes run ( bagel amazing ) shower cold . not clean room ( hair bathroom ) . bit small suite ( specifically want space ) . like location although main road noisey . Recommend go High Line Brass Monkey bar well lovely bar Bleeker Street nearby . 
 Jul 18 2009 	 LOVE PLACE ! ! ! ! ! ! ! ! 	 2nd stay Chelsea Pines think could well last , . greet staff last trip year early . length EVERYONE go , help trip beyond ever expect . ( trip due death family ) . good attraction NYC welcome inn 14th street . place stay come City . love staff , atmosphere , room breakfast . 
 Jul 5 2009 	 can not wait go back ! 	 pick hotel due 's rating . love every minute stay ! go boyfriend stay standard double really spacious bed amazingly comfortable . theme room really cool cookie tea coffee get free time nice touch . 's relax breakfast coz make whatever want chill . staff friendly helpful , nothing much trouble ! location perfect young couple , love wander street chelsea greenwich village . highlight safron vietnamese restaurant near hotel recommend staff , brilliant food pretty reasonable . LOVE LOVE LOVE ! ' m book next stay ! 
 Jun 29 2009 	 Love love love Chelsea Pines Inn 	 Booking hotel base website always leap faith ... good , staff like , good area etc ? arrive Chelsea Pines Inn incredibly happy decision make . 's fabulous location , nice close subway , ton fabulous restaurant , cafe delis . have warn get NY room would ridiculously small , , pleasantly surprised get decent sized room great bathroom ( shower amazing ) . hotel staff helpful friendly provide great information thing around area . Charlie cat gorgeous definitely worthy kiss cuddle every morning . Breakfast include , perfect start day sightseeing . bagel , coffee , cereal etc set every morning kitchen . YUM ! complimentary business centre 2 computer printer , nmade easy look address , keep touch people home , print boarding pass next location . stay , not miss walk high line ( ask hotel staff ) . beautiful , tranquil idyll middle bustle city , testament people work hard get disuse transport corridor turn urban greenspace . again , would heartily recommend hotel anyone want experience great location hotel provide personal service comfortable surround . 
 Jun 25 2009 	 stay anywhere Else Chelsea Pines Inn Fantastic ! 	 four year ago colleague turn Chelsea Pines Inn immediately become choice lodge Manhattan . great section city - meat packing / Greenwich Village convenient business personal need . property charming well maintain . staff , include Charlie cat , nothing less excellent , really , everyone staff really great . recently travel area business Manhattan Connecticut . although long professional responsibility Manhattan , still stay Chelsea Pines Inn commute Connecticut . yes , Chelsea Pines great . come bed & amp ; breakfast concept , right well anyone else around . highly recommend . frequent lodger continue . hopefully will run ! 
 Jun 22 2009 	 Wonderful Place Wonderful People 	 husband LOVED place . quite charming . staff friendly helpful . make we feel home right away . book standard room expect small NYC standard , actually big room stay previous visit NYC popular mid town hotel actually cost much per night without coziness Chelsea Pines Inn provide . even well , second day manager upgrade we super deluxe room extra charge ! nice ? instantly fall love room , Jeffrey Hunter room , be blue wall vintage movie poster . bed super comfy . nice sit area little table two chair . room nice sized mini fridge wardrobe clothe . private bathroom surprisingly large attractively decorate . first room lovely modern glass bowl sink , second glass block wall shower . room impecably clean entire Inn . fact 's walk - up not issue we get use excercise fairly quickly . location fantastic : step away crosstown L train A / c / e train . complimentary breakfast : bagel , muffin , doughnut , cereal , yogurt , juice coffee quite tasty come handy go . last certainly least , Charlie Chaplin Inn 's black white cat always ready visit scratch behind ear . would recommend place highly can not wait go back ! ! ! 
