oct 	 great hotel Americans 	 great food .. decorate Christmas caroler ... beautiful hotel . 
 Sep 6 2007 	 Top Notch Hotel ! 	 ' ve stay twice ... time transit Beijing way back state ... flew night leave next morning afternoon . first time stay 2 year ago ... book Crowne Plaza 's website . arrive 3 day drop Crowne Plaza affiliation ... scared bit . think get & quot ; uh - oh , place not C / p standard ! & quot ; could not wrong . GORGEOUS hotel , big , great room -- big , clean , comfortable , many amenity ... could go . second trip , arrive late night fly back States next afternoon ... allow visit Great Wall badale morning still catch flight . arrange hotel car take , wait hour drive back hotel could freshen flight ... GREAT experience . hotel car 4 hour run US $ 100 . well worth finally see wall . 4 trip China year X 10 year still not see Great Wall trip ! car driver friendly , although almost English spoken ( thank God speak Chinese ) .Superb hotel , GREAT value . favor spend extra US $ 20 book small suite . well worth it . eat one meal chinese restaurant ... great food , reasonable price fantastic service . while relatively close Great Wall airport , long way City Center . PERFECT hotel -- fly quick one night , see wall fly . one day make city , tough time stay away Loong Palace ! 
 Aug 2 2007 	 Best Service 	 Beijing vacation stay end July 30 , 2007 good vacation wife ever experience . room 8512 beautiful bright . staff outstanding , always helpful answered question . wife hope someday return . good wish long life entire staff . Hank Hammersmith Lan Ying MiDiamond Bar , CAUSA 
 Jul 9 2007 	 Amazing Hotel good service 	 stay hotel part tour group base Hong Kong . say luxurious . downside amenity pay could not really anything else get hotel . room superb breakfast great variety . room large spacious bathroom . felt like home . great view back terrace . nothing complain . remote location . 70 Yuan Taxi ride city center ... check silk market prepare bargain ridiculously . : 
 May 25 2007 	 great stay ! 	 return another trip Loong Palace improvement regard service see get well - especially China . the restaurant still need improve regard service although menu change well since last visit February . this time go wife day leisure together nice break usual buisness trip chance properly explore leisure facility really good well maintain . although hotel really busy International Taekwondo event really take care , especially new Spa new South Wing call Spa certainly one well see Beijing . the understanding English also seem improve one member staff tell regular english lesson . I hope keep go back Sptember . 
 May 23 2007 	 Excellent Hotel 	 brilliant Hotel excellent facility , friendly staff good resturant . room large , well serviced , well appoint room service fast efficient . business facilite good , well locate relation high tech district . the Great Wall major sightseeing area within easy reach . I stay . 
 Mar 29 2007 	 excellent accomodation . 	 two friend spend 6 night Loong Palace . lovely hotel deserve 's 5 star rating . employee helpful , accomodating . speak enough english problem exchange money , ask area want visit , order room service order bar restaurant , even get massage . hotel bit downtown Beijing taxi ride inexpensive taxi cab numerous . 
 Mar 5 2007 	 Excellent Rooms 	 hotel beautiful , room spacious , staff excellent . yes , several review point , English skill often lack , little bit patience go long way . besides ... China .. fluent Chinese ? hotel several restaurant ( excellent breakfast Bravo 2nd floor ) , spa , bowling alley , tennis court , amenity fill free time ( assume ) . definitely stay Loong Palace . top notch ! negative anyone travel strictly pleasure location ( 45 minute cab ride downtown ) . 
 Dec 8 2006 	 Service challenge 	 hotel quite beautiful inside room furnish well , typical chinese business service non - existent attempt proactively provide assistance . regard meal , not even attempt order room service English unless sedative alot patience . stay business due location , spend several week on - site stay downtown January pay extra cab fare avoid poor customer service . 
 Jul 4 2006 	 Nice Hotel fair customer service 	 vacation family Beijing , stay Loong Palace Hotel throughout 5 day journey . the hotel remote outskirt city , travel reasonable . room nice , clean big . bathroom also good condition . variety tv channel breakfast also good . however , annoy customer service . father go access internet Business Center one evening . check price Front Desk beforehand , tell first 30 min would cost rmb $ 32 . fine . even though bit expensive , be top . we go Biz Center , check couple email around 25 + min . checkout pay , bill RMB $ 80 send . come real shock . subseqeuntly , find billing & quot ; First 10 min would cost rmb $ 32 , $ 1 per min afterwards & quot ; .We feel cheat Hotel , summon Duty Manager reasoning . sarcastically , offer fruit plate remedy , insist full bill pay . also guarantee investigation refund we full mistake make staff . the follow evening , Manager return evelope RMB $ 8 . say clarified staff make mistake , billing internet also post Biz Ctr , claim check use service . rmb $ 8 10 % refund show & quot ; goodwill & quot ; hotel . even claim event endorsement GM would use keep complain . refuse take refund walk away . think handle totally unacceptable , give mistake make staff , impolite manner Manager . 's matter pay extra service , breakdown trust expectation & quot ; 5 - star hotel & quot ; . hotel service several year front desk staff unaware pricing service ? would say unpleasant experience , whole journey enjoyable . however , incident spoil journey . 
 Jan 6 2006 	 Great Hotel 	 stay hotel tour group . hotel beautiful clean . food restaurant good good selection . staff friendly helpful , although speak english . hotel locate city center , cab ride downtown $ 8 $ 10 . quiet large indoor swimming pool . would definitely stay . 
 Nov 23 2005 	 Excellent Service staff little far 	 tour group child staff bend backwards accommodate we . facility fantastic especially like swimming pool free supervise . hotel little far Beijing not spoil enjoy . would certainly recommend anyonw . 
 Nov 17 2005 	 Excellent Hotel 	 stay week . amenity hotel among well far stay . employee part speak break english , well enough hold decent conversation . quite , however , speak english well . food Palms restaurant premise good , many , many choice available satisfy hunger craving almost anyone . choice range western asian cusine , well prepared . would recommend anyone , plan go back stay hotel . 
 Oct 20 2005 	 Poor 	 spend miserable time hotel . build actually nice room big . problem service lack english speaking staff . impossible order room service food arrive order . coffee shop pack noisy tourist group mess morning . virtually one reception desk could understand basic English . could tell executive club loounge ? ? ? pretty hotel avoid cost service . 
 Sep 26 2005 	 Nice Crowne Plaza long 	 book friend find upon arrival long Crowne Plaza . call Loong Palace Hotel Resort . could believe recreational activite available , even movie theatre ( open though ) . Weekend BBQ garden super . I would recommend hotel anyone . nice big clean room good price value . 
 may 11 2009 	 Tout simplement nul ... 
