much 	 stay wharf hilton 9 day ; check good smooth even immediate upgrade ( HH diamond ) possible due fully book hotel . checkin staff manage get we upgrade 3 day later promise still nice surprise . first room topfloor hardly noise neighbours nice view part san fran . upgrade room first floor noise upstairs neighbour expect old building ! hotelroom ( ) spotless , clean well daily basis anything need provide housekeeping . maintenance good amenity check supply every day stay .All one good hotelstay san fran past 20 year visiste city frequent basis .Our stay certainly give we good value money ! breakfast buffet ( continental - ) complete fresh ; one want warm food egg pancake , surcharge 10 $ never try .restaurant open breakfast choice eat plenty area .Area around hotel safe streetcar cablecar one get quickly downtown san fran shopping . minus observed member front desk staff certainly work & quot ; people skill & quot ; remind mangement hospitality business minus we . 
 Jun 9 2009 	 Motel Hotel 	 believe place carry Hilton name . top level member Hilton 's loyalty program , stay lot hilton say place unbelievable . frequent customer treat rude reception staff , room right next noisy air conditioning unit . ( complain move across corridor ) room large enough , bathroom tiny . guest lounge exercise room not even space put exercise mat . space mini bar television unit , place cheap buy fridge . point manager shortfall explain say & quot ; 's boutique hotel & quot ; . someone need explain people boutique not mean bad quality . I stay well Hampton Inns . advice not pay Hilton price tag motel room - find somewhere else . 
 Jun 3 2009 	 Service lacking ... 	 stay 2 night ( Friday Saturday ) service par . personality whatsoever . morning , wake 6:30am protest call ... said & quot ; I m sorry , nothing & quot ; instead offer room move anything ... terrible Hilton Name . 
 Jun 3 2009 	 great place stay 	 stay hotel 4 night Memorial Day Weekend find place perfect location . 3 - 4 block away wharf crowd yet close enough walk transportation entertainment . staff friendly helpful . room clean bed comfortable . two room , one two bed suite . suite plenty room 5 we gather end day . even small fridge extra sink . feel price room reasonable location city . cable car one block away . 
 May 27 2009 	 excellent choice ... great value ! 	 ok .. 's 5 star hotel ... budget Hilton ... staff extremely pleasant , polite , helpful accomodating ! location excellent . block FW , trolley , Ghiradelli square , etc . also , take cable car hill , walk crook street ( Lombard & amp ; Hyde ) walk back Hotel ! enjoy location first timer SFO . car rental around corner ... drive Muir wood , Wine country , Sausalito ... would recommend place , next time would stay another location ... complaint Hilton ! Hilton Gold member receive complimentary buffet breakfast , appetizer bar . also request top floor away elevator quiet location ... receive ... well early check - in ! make yr request early ! join Hilton club ! 
 May 23 2009 	 low end Hilton 	 want near Fisherman 's Wharf good location . thought want near till realize tacky tourist zone . would recommend stay near Giant 's stadium well SF experience . as hotel , far bad Hilton ever stay . get price Hilton none quality . staff decent try remedy problem really nothing could thin wall ceiling . could hear footstep we , mattress , etc . anyone shut door floor , know . serious age issue : mold , dust , etc . really need tear convert Motel 6 . Hilton name . 
 may 12 2009 	 great location average hotel 	 husband stay hotel recent visit USA . hotel situate great location , close pier 39 cable cart . hotel old due renovation compare hilton hotel stay . even though hotel old , still keep clean . arrival check early first front desk man ask we come pack 3 pm mind tired collapse , ask room available much persuasion eventually allow we check 10 am . little annoyed basically beg check early consider room available , front desk staff fantastic one man not like wish remember name . anyway , besides room clean comfortable , free wirless lobby area great overall would return hotel ever San Fransico . 
 Apr 30 2009 	 Loved ! 	 stay 3 night Hilton 3 night one O'Farrell . go back SF , would definitely choice 2 ! within walk distance Pier 39 , public transportation stop right outside hotel , feel safe ... 
 Apr 23 2009 	 Nice staff 	 stay one night I m March 09 . staff really friendly helpful . room clean spacious enough . negative aspect wall thin hear guest´s step room . morning wake early he / she apparently go bath tub ... 
 Apr 14 2009 	 great service - great location 	 stay Hilton wharf pleasantly surprised . room good sized ... even rollaway bed , not feel cramp . room little date overall great value . book on - line Hilton Honors get amazing price . staff hotel wonderful ! friendly , efficient caring . use live area worry staying & quot ; touristy & quot ; part town lot fun adjacent public transportation take we everywhere . Trader Joe 's around corner stock snack water room . family teen , could not well . 
 Apr 1 2009 	 could well 	 friend get impression Hilton 4 star book , bit dissapointe . room include fridge website state , also charge local telephone call . perk 's location , close Wharf , several bus line , streetcar , grocery store . be also close Chinatown , not spend much time . also people reception desk friendly rest staff building . people upstairs also noisy evening , could hear step . otherwise , awesome trip ! 
 Mar 3 2009 	 Great Location Great Room 	 beautiful room little window open let San Francisco breeze . room clean amazingly comfortable . use Hilton Points happy . hotel incredible location . lot walk perfectly locate . plenty restaurant around . great stay ... 
 Feb 26 2009 	 great location comfortable room 	 husband stay 3 night would absolutely come back . room nice size , well equip , , clean ! street noise little loud time , negative fantastic stay . location central several tourist area . public transportation plentiful close . not try restaurant , find lower price option nearby . everything clean , staff friendly . 
 Feb 16 2009 	 paper - thin wall 	 well say always try stay Hilton Family hotel go somewhere , huge disappointment . room expect , staff really nice warm welcome . however , room , notice huge problem hotel : really noisy . move first night arrive night early double - bed ( move King day ) not make difference ! noisy could hear people next room fart ! terrible tv next door 4 third night . complain manager credit one free night we , pretty awesome . would really prefer good night sleep instead credit . , look good night sleep , pray neighbor not noisy ! ruin rest ; staff over - friendly room impeccable . 
 Feb 8 2009 	 can not say enough staff 	 upon arrival hotel , staff greet & quot ; Welcome & quot ; smile - every time walk . ' ve never experience hotel , level . FELT welcome , not & quot ; corporate must say & quot ; . anytime need assistance kind , step . alicia front desk clerk , true gem ; Roberto good enough provide we option ride return airport . offer us & quot ; private & quot ; town car approximate price shuttle ride . shuttle course would stop hotel along route . kudo staff . the hotel , would classify & quot ; average & quot ; . room spacious , noticed nothing set rest . since within walk distance Wharf area several shopping area not need car . self - parking attach garage $ 42.00 24 hour , accord sign front gate . Valet parking Hilton $ 39.00 ? end rent car , easy several company choose right neighborhood . final hotel bill show have park two night vs one would actually park , quickly correct bring front desk . , can not say enough professionalism staff . even 4:00am . 
 Dec 18 2008 	 really great hotel 	 really great location . close cable car street car , easy access anywhere city ... around corner pier well . great breakfast buffet , helpful concierge friendly staff . love stay time go San Francisco . 
 Dec 13 2008 	 Hilton staff meet Motel 6 	 wife stay Hilton 5 night December 2008 . find location plus ... right around corner BART cable car , staff truly wonderful . folk front desk , concierge maid service topnotch . property ? be another story . although find decor , bed furniture ok , noisy hotel ever stay . ' m talk traffic , anything go outside hotel : ' m talk interior wall , paper thin say least . could hear person walk around room we -- every night . fact , could hear every footstep floor also creak . real disappointment noise come adjacent room . 4th night stay , treat & quot ; active & quot ; couple next door . not feel like experience porno flick -- feel like might actually one . another night , appear party next door . could hear every word . hotel ' credit , send someone end party , actually move we top floor last night -- seem help cut noise greatly . two disappointment : breakfast free internet . internet service available -- minute , Business Center . even budget hotel offer free in - room internet day . sum , property Hilton name . ' m guess may something else once - upon - a - time Hilton come slap name . like location excellent staff , many great hotel area , would stay elsewhere next time . 
 Nov 11 2008 	 Nice hotel great location 	 recently stay Fisherman 's Wharf Hilton . property would choose ( usually stay outside & quot ; touristy & quot ; area not like deal crowd ) , trip last year , two free night . take taxi airport ( $ 50 - 35 minute ) . bring car , valet parking $ 39 per night . ouch . could public transportation - not want hassle luggage arrival day . locate nice neighborhood - close Powell / Mason cable car turnaround , two block Trader Joes Safeway , 1 block Starbucks . probably 4 block center Fisherman 's Wharf . Hilton nice staff try hard . change room ( folk ought realize smoking property mean smoking room , lol ) . room large clean . bed soft taste , pillow great . room look like renovate last year two . matter , supply Crabtree & amp ; Evelyn product . the good - location , quiet room , free continental breakfast Hilton Honors . bad - fire drill check time , car transport airport showing ( talk we take one towncar airport instead call taxi , despite make arrangement noon – car 3:15 ) , odd smell bathroom , free wifi room , small glitch late checkout . ( , ' sound high maintenance ! really , easygoing people ever , everyone hotel greet us line , " hope " 10 " experience ! " , start notice glitch . ) ' " 10 " experience , would rate " 8 " plenty fine book . 
 Oct 29 2008 	 Ideal Location 	 good thing hotel location . easy walk distance wharf , cable car , fabulous restaurant , shopping . other , average , possibly slightly average , Hilton . room could use slight update , new furniture new television . many Hiltons visit lately new flat screen tv ; . bathroom extremely basic , nothing stand . bed wonderfully comfortable , typical Hilton . breakfast good , also expect . overall , good place stay San Francisco main concern location . 
 Oct 21 2008 	 's location .... hotel pretty awesome ! ! ! 	 stay Hilton 3 night . let start mention Diamond vip member , not know affected room assignment . put 3rd floor room overlook courtyard . quiet hear noise . bed probably favorite thing . comfortable love european pillow . room fairly good size . due diamond member , complimentary breakfast every morning . breakfast good . end eat every morning . not hot breakfast , could pay $ 10 , not much deal . now location one thing want . Marriott right along Holiday Inn . grocery store walgreen two block hotel . get Alcatraz cruise , walk 4 block Bay Street . get Fisherman 's Wharf , walk two block north towards water . 's & amp ; Burger among restaurant . want go shop Union Square , walk block Powell get cable car . end heart Union Square . walk way go stay San Francisco . City Passes allow we ride Muni Cable Cars . city pass also include admission must see place San Francisco . overall , extremely happy hotel . mention book room anniversary chocolate cover strawberry champagne wait we . could tell place strawberry still cold ice not start melt . plus , maid really sweet would ask we need maid service need towel whenever see . 
 Oct 13 2008 	 expect high quality room amenity service $ 400 / night ! ! ! 	 husband , along another couple , stay hotel last night San Francisco . impress anything hotel , except proximity Fisherman 's Wharf . check fine ... want park car garage 's $ 36 night ! go room find spacious decorate nicely . pillow comfortable high end bathroom amenity . view consist roof top room across way . again , besides close Wharf pillow not see much would make we rate & quot ; 10 & quot ; .The negative : -The bathtub look old dirty , rust stain run side tile . couple travel say long black hair bathroom , everywhere ! towel standard , rough hotel towel . coffee maker barely make 2 cup coffee . hotel wall thin could hear people next room , upstairs anyone hallway . pay wireless internet offer free breakfast ... even piece fruit muffin ! stay Comfort Inn & amp ; Suites Ukiah 3 night clean , friendly , free internet , free full , homemade breakfast beautiful room $ 89 / night ! luckily use point stay hotel ( be choose ) pay , couple travel pay cranky next morning ! ever go back San Fran definately go different hotel . luxury stay Hilton project complete lie ( least Hilton ) . ' ve stay nice hotel less $ 100 / night ! ! ! ! 
 Sep 19 2008 	 overprice bit disappointing 	 Fisherman 's Wharf expensive location pricey even local standard . also , compare Hilton LA , everything much small scale much high price . still , comfort cleanliness staff helpful friendly . can not argue location price probably could stay well hotel Union Sq . parking expensive be anywhere SF . enjoy great city book far advance possible get well value hotel , generally disappointing . 
 Sep 3 2008 	 above - average Hilton hotel 	 would definitely recommend Hilton SF Hilton O'Farrell . one cheap ! staff friendly , concierge wonderful , bed divine , clean spacious room - thing expect Hilton . it be far either Fisherman 's Wharf North Beach , great restaurant bar . 
 Sep 3 2008 	 great base San Francisco sight 	 stay four night hotel find great base visit city . book superior room include continental breakfast internet access room . previous review suggest ask courtyard room find late night smokere make noisey want window open . Air con somewhat noisey window well option . breakfast good , $ 10 upgrade want cook item continental content extensive . book . staff helpful polite . 
 Sep 1 2008 	 Nice Find 	 usually stay Union Square area San Francisco business . shy away Fisherman 's Wharf area primarily perception touristy area ( Union Square well , least business good shopping well ) .on trip , price difference Hilton near Union Sq Hilton Fisherman 's Wharf ( FW ) significant enough steer hotel . rationalize partly fact could walk client 's office hotel . the Hilton FW 4 - story property fit building around . near termini Powell Street cable car ( Hyde Mason ) well attraction Fisherman 's Wharf , short walk North Beach Chinatown . Trader Joe 's major supermarket within 2 block well . the room average size , furnishing nothing special , wire HSIA fee ( wireless lobby ) . bed soft side comfortable - pillow fill extremely comfortable . room directly front elevator window one floor street - level right main entrance . expect either would cause concern noise perspective pleasantly surprise neither problem . another nice touch room ledge window pad actually sit look window . side thermostat mount wall right window . lighting room night arrive , mater many light turn room , could read face thermostat ( old non - digital model ) figure switch temperature setting . able use daylight window next morning see . the lobby common area nicely do . small bar small restaurant . cool robotic vend machine lobby sell everything snack aspirin cell phone . downside accept credit card price somewhat ridiculous . the breakfast buffet average price accordingly San Francisco ( i.e . outside big city shock ) , though seem like everyone except breakfast voucher . seem lot large group european traveler stay property might explain breakfast . the staff exceedingly friendly helpful . finish meeting early day check several hour kill dinner meeting red - eye home . graciously extend late checkout ( help HiltonHonors Silver suppose ) . Marriott right across street ( also elite status ) yet courtesy , perhaps anything else , steer back property next visit client SF . 
 Sep 1 2008 	 love location 	 well first stop round world trip .... disappoint ! hotel good location , pier 39 ...... perfect shopping tourist ! room fine , service excellent would stay .... do not bother stay downtown , take cab stay waterfront ! 
 Jul 31 2008 	 Perfect ! ! 	 go Girlfriend Getaway March 2008 ( sorry review little late ) excellent . room nice , clean comfortable . love pillow ! location situate electric car , fishermans wharf resturant . Customer Service great would dfntly re - visit hotel . 
 Jul 24 2008 	 average city hotel extremely expensive 	 average busine style hotel faceless character less .. double queen room tiny Queen bed small european double bed . also request fold - away dump inside door re - arange furniture . unfortunately , although non - smoking hotel , people next door ( adjoining door ) choose selfish ignore ask move room stench cigarette smoke overpower . front desk move we immediatly , move luggage call rollaway bring . although 4 we , give complimentary breaskfast two . almost $ 400 night , much . poor value extrmely average - try somewhere else . 
 Jul 22 2008 	 step away Fisherman 's Wharf 	 stay two night Hilton Fisherman 's Wharf enjoyable experience . arrive quite late Thursday night one greet we door help we bag . little unusual Hilton , even hour . front desk staff pleasant check we promptly . the room good size king bed , small sit area desk . television standard , one flat screen see lot Hiltons . bathroom average size nice toiletry plenty space lie belonging . room also small safe , always find convenient . we voucher breakfast buffet Hilton Gold member . little surprised charge extra $ 10 per person hot breakfast choice . seem bit like nickel dimee I . the hotel small cozy absolutely terrific location within walk distance sight Fisherman 's Wharf . really enjoy walk visit old boat refurbish , little shop great cafe restaurant . you also close two cable car line , taxis bus local transportation . not bother rent car not need one . I would highly recommend & quot ; Blue Mermaid & quot ; either lunch dinner . fresh seafood , signature dish excellent chowder . come Newport , RI every year Chowder competition beat good New England . well worth it . a bump Hilton , overall enjoyable experience . 
 Jul 2 2008 	 great location SanFrancisco attraction 	 dad stay four night June . airport 's 45 ride shuttle bus around $ 17.00 person . hotel 's airport shuttle . room typical Hilton . two double bed , work desk comfortable sit chair room . wet bar though . bathroom large plenty counterspace . shower powerful bed super soft comfortable great night sleep . go restaurant one morning breakfast . buffet standard buffet . receive check total ..... $ 52.00 ! needless say rest breakfast little cafe 's area even well hotel 's . one night beer bar wathce U.S Open tv . typical bar , close 11 pm though . never check exercise room , get enough exercise walk . room 207 east side building hear alot street traffic never really bother we . hotel also business area computer onlyone 's free use . hotel two block Fishermans Wharf typical touristy stuff . cablecar block away too . there be lot restaurant close several bar include mexican restaurant / bar 200 different kind tequila . ( alright ! ! ! ) good experience Hilton would stay price right . 
 Jun 18 2008 	 yes 's hilton still comfortable 	 hotel first many fiancee stay whilst tour National Parks South West USA two week May / June ' 08.i travel lot stay many chain hotel business independant travelling . we find hotel superb . staff friendly helpful tourist question . check staff equally helpful get we check 12 hour fly . Stayed Room 164 spacious comfortable king size bed . outlook courtyard next gym neither problem . ideally situate Piers . two block , turn right right middle tourist scene . two block across Pier 39 , 10 - 15 minute walk . yes one lift , yes flat screen tv kid play video game really important rate ? ! ? 
 May 12 2008 	 's Hilton 	 use HiltonHonors point stay Girl Scout Bridging ceremony . good time . weather gorgeous though windy bit chilly . souvenir shop around block Fisherman 's Wharf Pier 39 . chief complaint one bank elevator opposite end room 339 . ROOM : face Bay St night place quiet . sleep comfortably . Saturday night get little noisy rowdy not last long . never find pool - one ? front desk staff curt - offer much info city . * find native pretty grumpy group beautiful city . keep windows open entire stay last day , occupant next door take smoking would drift right room . order pizza , spaghetti ravioli Napoli 's ( deliver 3 ) delicious inexpensive . true italian fare . 's Harley Davidson store around corner seem like unusually high number Hogs roll day n ' night be Harley fan not bother we any . high expectation : wish room modern . kid could not play video game tv kinda surprise . hilton flatscreen . computer room one pc / printer silly . basic Hilton - comfortable clean . place rest weary foot . think hotel staff go thru luggage never bother lock suitcase ( close clasp ) return evening - suitcase & quot ; lock . & quot ; nothing steal , harm do ' m still convinced miss $ 40 cherrypicke dirty laundry . 
 May 2 2008 	 great Stay - overall ! ! ! ! 	 choose hotel time share presentation Los Angeles . choice two different Hiltons 2 night 3 day ... pay $ 30 reserve day Sun Thurs . we choose Sun 27th - tue 29th ... arrive hotel around 10:30am intend check luggage go walk around course ask early check ... room available get give room .. third floor bit noisy not mind . pay daily taxis $ 17 per day ... hotel free internet , first time use internet feel like use dial use well ... overall , complaint stay , staff friendly , location convenient ! ! ! ! ! ! get stay hotel couple night $ 100 - would complain ? ? ? US ! ! ! ! 
 May 2 2008 	 Noisy Hotel 	 hotel incredibly loud . first think room ( # 370 ) near vend machine area . near bank elevator . sound like next door industrial sized washing machine . fellow conference attendee note problem not think report staff would resolve issue . would definitely hesitate rebook recommend Hilton location even though prime location near wharf tourist attraction . 
 Apr 24 2008 	 great location 	 family 2 adult 2 child stay 4 night comfortable standard room two double bed 1st floor . room face street close ground floor little noisey . next time would ask courtyard facing room . room clean , modern well maintain normal Hilton standard . coffee maker minibar fridge . gym pool . book Hotels.com find 4 day rate much well 3 day rate . the location super . easy access Fisherman 's wharf , 2 cable car line , trolly car , bus , Budget Hertz .. importantly easy find drive northern side Golden Gate Bridge . all major hotel Fisherman 's wharf locate within couple block access cafe , diner plenty restaurant . bike available day hire close ride across GG Bridge something special . the Ferry Alcatraz 20 minute flat walk along waterfront . a Towncar airport $ 45 $ 50 depend time day Taxi . great location tourist age . 
 Apr 19 2008 	 nice location need renovation 	 hotel decent location close pier north beach , marina . room average opinion . upgrade deluxe king room large luxurious . shower mold tile carpet look 20 year old . stay hampton inn look update . room not even flat screen tv think standard Hiltons . pool area pretty nice gym good . breakfast also really good . parking hotel convient not want valet . overall decent hotel could turn nice place modern update room . 
 Apr 15 2008 	 Pleasant all - round stay 	 stay Hilton two night April . executive summary , fairly typical Hilton ; stay pleasant problem surprise . location : Hilton one cluster hotel 2 - 3 block back Fisherman 's Wharf . other basic location include Hyatt , Marriott Holiday Inn . # 10 bus stop corner , end line F tram short ( couple block ) walk . find location acceptable , access Fisherman 's Wharf business SF ( due convenient public transport ) .room : room fairly typical Hilton room ; photo attach . clean , everything work ( heating / AC responsive ) , bed comfortable . wallpaper look bit tired , nothing complain . room view courtyard . room nonsmoke mine smell . housekeep good . bathroom : clean , good quality although luxury , shower work fine standard toiletry provide . restaurant : thumb breakfast buffet . quite small without much variety , quality good staff attentive helpful . careful room rate & quot ; include continental breakfast & quot ; - remember mean hot food , otherwise charge difference . staff : checkin / checkout staff customer - orient , although problem ' test ' . checkin / out fast efficient . facility : hotel provide free WiFi lobby . weak ( basically unusable ) signal room . wire internet available room fee . miscellaneous : head directly along Jones St Fisherman 's Wharf look restaurant . way , pass Walgreens pharmacy good place stock bottled drink supply . in conclusion , Hilton luxury hotel , provide pleasant acceptable experience . would happy stay whether business leisure SF . 
 Apr 13 2008 	 First Time SF - Great Location 	 husband 's first trip San Francisco ( Apr 4 - 8 , 2008 ) , fortunate enough hiltonhhonor point 4 free night Hilton Fisherman 's Wharf . even not free night , though , hotel still would among top choice . location great first - time visitor - quiet street morning walk along water , nearby drug store sundrie ( pricey , still well hotel price ) public transit within block hotel . never SF , not familiar various neighborhood pick & quot ; & quot ; good place stay , happy Wharf . friend stay hotel downtown , think quiet traffic - free street speed . the one downside arrive late ( 10:30pm ) not eat dinner , yet . restaurant still open area Denny 's fine , come land 24 - hour diner ( NJ ) , hope something little home - cook . also wish 1 complimentary pc printer Business Office - pay $ 4 use computer 10 minute print 2 page , also impatient wait turn free pc / printer . our room quite large king - sized bed view courtyard pool locate . bed comfortable lot pillow . hotel staff helpful throughout stay quickly take care reverse 2 day erroneous parking charge bill without question . upon arrival , cab driver advise we avoid restaurant near Wharf , overprice possible tourist trap . mean $ 10 one - way cab ride non - wharf restaurant , not mind , public transportation option available people not run perpetually late like we . all - in - all , great stay , would definitely return Hilton Fisherman 's Wharf . 
 Mar 27 2008 	 great location 	 not set course travel stay San Francisco end stay city extra day . wander Hilton @ Fisherman 's wharf stay Hilton Towers Downtown . rate not bad walk - in last minute deal - $ 149.00 ( 2 ) full bed roll - away bed . I ask breakfast voucher though check - in . $ 81.00 four we ! ! ! ouch ! parking abuot $ 31.00 / day - cheap tower $ 51.00 / day . room small sure , nice cozy pillow . miss referigerator though . Access Fisherman 's Wharg fantastic - great family . we would stay . 
 Mar 2 2008 	 Great Location Bad Room 	 return one day trip San Francisco stay Hilton . outside hotel look nice even lobby hallway . hotel locate great location Fisherman 's Wharf , 2 - 3 block away . be nice area . good part . recently increase parking rate nice enough give old rate confirmation book hotel . room however another story . room look little bit outdated . bed really comfortable enjoy pillow . however room horrible / annoying smell . could tell . bathroom rust leak wall tub really disgusting . location great room horrible . room Hiltons San Francisco elsewhere stay . 
