good 	 make reservation take advice traveller site . arrive 11 hour flight midday , quiet room look court yard ready we . room overly big , clean comfortable bed , great shower clean bathroom . nice decor good amenity . thoroughly recommend Cafe Pescatore adjacent hotel food good . ideally locate Fishermans wharf , cable car , plus supermarket across road . staff friendly helpful ( even buy we English Tea hot water ) .The wine reception great idea nice meet traveller great access free internet access room . 
 Sep 25 2009 	 Ok 	 stay hotel 2 night think book 2 queen , however fact 2 double bed ( 2 queen bed option ) . hotel ok . good position short walk Fishermans Wharf . importantly room stay clean reasonably comfortable . little noisy ( outside ) room overlook main road . the hotel seem ' warm ' inside mean need run air conditioner get room reasonable temperature . small point frustrating air conditioner locate floor mean air conditioner blow air straight face lie bed close air conditioner . the check & amp ; check efficient , however personal opinion staff go way friendly welcoming . we dine restaurant hotel . meal nice great atmosphere . overall price pay , reasonable hotel . 
 Sep 22 2009 	 bridge far ( Golden Gate ) ! 	 stay 22nd August 3 night . upon arrival airport decide get BART Embarcardo Centre taxi Fishermans Wharf . total cost 2 $ 26 , half price taxi direct airport . arrival , meet friendly reception staff . ask double room end get twin room , number 220 . upon check also give complimentary breakfast token day . ' expect , nice touch . also tell free wine reception 5 pm , great idea mean could chat fellow guest . manage every night ! room , look main street consist twin bed , small wardrobe , tv fridge ( lock though ) . wardrobe safe cost $ 1.65 per day . room also mirror wall give illusion room big actual , however spacious enough we . bathroom spacious clean . fresh towel supply every day . breakfast serve hotel italian Restaurant . give complimentary token receive huge bowl fresh fruit salad consist pineapple , melon , banana strawberry , toast jam & amp ; butter , huge glass orange juice tea coffee . Breakfast delicious . location could well . 15 minute walk Pier 33 ( Alcatraz Cruises ) , within walk distance Fishermans Wharf attraction . Alcatraz night cruise ( book direct month ) , Segway tour ( great fun ) hire bike day . cycle across Golden Gate Bridge easy far Fisherman ' Wharf . also 5 minute walk cable car turnaround Ghirardelli Square , cost $ 5 one journey . seem easy wait line get try get stop – popular busy . would definitely recommend Tuscan Inn . 
 Sep 21 2009 	 lot ice little cake . 	 hard time understand positive review hotel . guess people go image . look forward nice stay base see BW website review . disappointed . type hotel fancy lobby nice picture decoration throughout building , substance -- lack . room supposedly upgrade large room , case would hate see small room . room fancy colorful furniture , small lack certain thing higher - price place like ( $ 170 ) . hair dryer , microwave , still sure use shampoo type lotion ( tube not really say clearly ) . window stylish , care view lousy small open slightly ? parking garage , make leave vehicle park ( cost extra park ) want take drive later , wait staff get . take long time get car . real parking space , pull front hotel small space . other want time , someone would park street drive around block . also , location dull ; nothing real interest withe couple block around . restaurant adjoining hotel , own hotel , eat dinner . food okay great . really good thing hotel not pay since business trip . 
 Sep 21 2009 	 Great Value Money 	 good location Fisherman 's Wharf . within walk distance shop , restaurant tour . free internet access Happy Hour every afternoon . concierge extremely helpful able plane three great tour three different day . clean house keep fantastic . pay use safe great value money . book one month advance receive great discount . 
 Sep 16 2009 	 nice location ... terrible staff ... 	 check Hotel , give ' double ' room instead King book romantic weekend . confront ' mistake ' part tell wrong , show girl front desk print Hotels.com . instead apologize correct issue , tell nothing could do next day . even smile send way . tuscan staff move pack luggage new room , husband discover phone charger miss . approach Manager , accuse packing begin . finally , tell Manager would run purchase charge day overnight home . none do , force go purchase . nothing do correct issue stay tuscan . experience leave poor taste mouth , definitely never stay . also make point never recommend hotel friend family travel San Francisco future . pitty , location wonderful , two staff member really nice . 
 Sep 15 2009 	 girl Weekend PERFECT 	 First - Kudos Lita office . plan girl weekend wonderful work Lita - help everthing make sure take care . upon arrival , check breeze - wine deliver room - great . hotel perfectly locate wharf - could get everything easily . check breeze also . would go back heartbeat . Phenominal Service , great room , great location - could not ask . 
 Sep 14 2009 	 good location small room 	 good location tourist site , i.e . Alcatraz , cable car , bike rental , Golden Gate bridge , Fisherman 's Wharf , restaurant , shopping . clean room small view window tiny courtyard . balcony would nice . 
 Aug 27 2009 	 nice cramp 	 upon enter elegant lobby greet pleasantly staff . reservation room selection limit . room clean adequate small window across miniscule courtyard window . shutter need keep tilt other could easily see . Shears would nice enable light come maintain daytime privacy . husband find claustrophobic . little room put bag . big negative we ever leave room hallway reek cigarette cigar . there valet parking cost $ 42 . cater dog . frustrating wait use computer . hotel size really 2 . attach restaurant pricy . concierge great helping find way around . location proximity Fisherman 's Wharf 2 easy block away . I would stay make sure get outside face room away smoking area . room small would want stay long time . 
 Aug 26 2009 	 Convenient Comfortable 	 great comfortable bed convenient fisherman 's wharf area . within walking distance Pier 39 , Alcatraz tour , opposite direction Ghiradelli Sq , Historic Ships Cable car line . loved wine reception , perfect relax day site see . helpful staff safe surround . loved staying would recommend 
 Aug 1 2009 	 Nice Weekend stay Tuscan Inn 	 mother , sister stay Tuscan Inn two night . check - in quick efficient . room clean lot natural light . stay room 214 , junior suite , room perfect size three we . short hallway lead sit area sofa , chair , television , coffee table , mini refrigerator nice work area . hallway nice size , curtained closet . bedroom two double bed , small closet , dresser , chair coffee / tea set . room face street window actually open , nice surprise . hear little street noise night . bathroom single sink , large . hotel locate two block Fisherman 's wharf many attraction eatery . short , fun windy ride Union Square . eat restaurant attach hotel , however , plenty place eat near hotel . also Trader Joe 's , Cost Plus , Safeway grocery store , Barnes & amp ; Noble Bookstore within one block hotel . check - out also quick efficient . call valet left room finish checkout , car waiting drive we . I would definitely recommend hotel anyone look nice place stay San Francisco near Wharf . 
 Aug 1 2009 	 convenient location 	 hotel great spot visit Fisherman 's Wharf area . suggest review , request courtyard view room quiet . arrive receptionist say room request ready , could get another right away . say would wait ( get quieter room ) , Low Behold , room available right away . sure stand ground specify particular room ! . say , free wine reception evening two Buck Chuck , drinkable , certainly anything write home . Safeway across street convenient snack sweet roll . get roll night coffee morning . great bookstore next door run reading material also cost plus store ( not go , usually great wine reasonable price want pass two buck chuck ) . room clean & amp ; adequate size . bed little soft . parking pricey . AAA member , sure get discount price . 
 Jul 27 2009 	 nice hotel great location like little extra 	 stay best western mom 3 night mother 's day weekend last year . really love hotel . ' ve stay good western around country always think clean good value nothing like one . room standard nice motel room like , bathroom seem upgrade remember . location PERFECT block half fisherman 's wharf walk distance pier sea lion , ghirardelli square , ( forget # ) start cable car tour hill , also block half starbuck streetcar stop take part city . really like little extra . lobby pretty remember pretty mural either front lobby make stand unique cookie cutter motel - ish . free wine taste every night wonderful extra welcome relaxment long day sightseeing evening . also free coffee tea ( variety tea like ) every morning little extra feel make feel like welcome guest go way make hotel special . also eat restaurant year ago not really remember know good though , not remember good expensive , not particularly memorable . overall REALLY like hotel definitly stay go back husband . know mom plan go back bring dad want stay . oh beware San Francisco CHILLY ! be NJ think weather may would ... would wear thin sweatshirt would bring & quot ; case & quot ; every day buy thick jacket - like one wear top one . zipped hood whole trip . great knock designer sunglasse though ! 
 Jul 26 2009 	 Good Location Small Rooms charm 	 although close Fisherman 's Wharf , far enough away comfortable . charm decor , staff give good service we . great morning coffee , bisquotti claim . wine hour welcome two Buck Chuck ( not drink ) really $ 2 bottle trader Joes California , $ 3 NJ , admonishion sign two ( meagerly pour ) glass per person bit unnecessary kind rude guest . also serve form food wine . free internet lobby none sort room . room quite small need two bed prettily decorate adequate . 
 Jul 25 2009 	 Good Location 	 could not ask convenient hotel sight see San Francisco . bus stop outside door ; F streetcar block away ; Powell - Hyde trolley car two block away ; wharf two block away . staff friendly helpful , particularly concierge Manager 's Reception nice touch . hotel attractive . love food Cafe Pescatore - nice tired go far eat . say , room could better . not much drawer space stay long enough unpack . bad back find mattress soft uncomfortable . day leave note ask towel , even though request profile . toilet sink separate door operate light switch impossible turn light toilet without also turn light room , inconvenience partner try sleep ! soon comment sharp edge nighttable partner roll cut forehead - move away bed . although reviewer comment noise , find room quiet never notice noise . 
 Jul 22 2009 	 Great Place Stay 	 choose hotel great location . room nice staff friendly . may slightly noisy , get complaint . would stay , great value . 
 Jul 15 2009 	 Nice Place stay 	 perfect location , get loud outside , overall would recommend hotel ! 
 Jul 8 2009 	 bark dog 	 well place cater animal bark dog would not shut 1:30 morning , people front desk try call room answer come bang door . lite sleeper would recomend stay another hotel . nice clean staff really nice , locate 2 block warfh 
 Jul 8 2009 	 great location Grat hotel 	 never SF . find hotel get package deal . really good location . close wharf , train / bus stop , grocery store ( trader joe , safeway ) /shopping ( barne noble , cost plus world market ) . also complimentary wine taste every afternoon . like able couple drink dinner great way save buck . staff friendly / helpful . complaint loud room . hear lot street traffic , hall traffic . say , would totally stay . 
 Jul 3 2009 	 San fran well keep secret ! 	 TWe actually stay hotel part road trip west coast USA bite ao accident even stay wow good accident ! location amazing short walk cable car turn main attraction pier 39 . super market across street handy staff sooo helpful ! wine evening nice touch manage make one always sight seeing sleep ! ! nice complimentary breakfast good breakfast restaurant bit pricey . the room quite small perfectly form super bathroom . would definately recommend would stay . 
 Jun 30 2009 	 Nice 	 stay San Fran lot time -- Hilton , Sheraton , & amp ; Marriott always Wharf . thought would like try someplace new . check late Thursday night greate Gregory Hartzell could nicer ! get room look like picture , surprise .... really nice .... bed sleep well ... towel fluffy .... clean , clean , clean .... complaint . read review small room - need extra space ? plenty . definately stay next time ... new BEST place stay ! 
 Jun 30 2009 	 lovely hotel great location 	 stop several night June 09 love place . check quick easy , staff be pleasant request low floor room get . room large enough , clean contain would expect . Got voucher Continental breakfast connect cafe / bar site , get bowl fruit , muffin , tea / coffee fruit juice great , could also pay extra $ 5 get large breakfast ( usual fare ) tasty . the hotel lobby lovely , real fire , large comfy chair free internet access corner . every day 5 pm would complimentary wine nibble , treat chat guest night , guest seem happy hotel . the location great , walk door forward 250 yard be Pier39 Fishermans Wharf right sea front . eat , watch sea lion , ticket Alcatraz along pier right . if turn right hotel would get Piers ( one buy Alcatraz ticket , maybe Pier 41 ? ) . walk hotel turn leave , could easily reach North Beach 15 min even Union Square China Town 30 min . I find safe night 's well aware keep eye open , espeically cross road light . all fab hotel great city , can not recommend place enough . 
 Jun 19 2009 	 friendly hotel good location 	 stay two night . hotel good location Fisherman 's Wharf . supermarket 2 minute away provision . room clean reasonably sized . coffee available reception every morning , every evening wine available reception . great idea , get talk guest , friendly occasion . restaurant attach hotel , good food . overall - really nice hotel reasonably price . 
 Jun 16 2009 	 Perfect Location Great Room 	 everything stay best western - Tuscan Inn great , location wharf , cable car everything want see . could not get well price , definitely return . 
 Jun 15 2009 	 great hotel amenity european feel reasonable pricing . 	 stay Tuscan Inn last ten year , always June connection annual event San Francisco participate . location Fisherman 's Wharf area make suspicious , area & quot ; touristy & quot ; . however , Tuscan inn well worlds- great location , amenity , excellent staff , nice restaurant adjoining , reasonable price . guest world , tradition wine taste evening make great new acquaintance friendship . 
 Jun 15 2009 	 Great Location 	 book hotel review disappoint . surprised upon check - in get upgrade without even ask . nice , clean room . could eat bathroom floor clean . across street Safeway make nice get drink snack lengthly stay . one block trader Joes , Borders Book Store , place . close everything . 
 Jun 9 2009 	 Great Value Fisherman 's Wharf San Francisco 	 decide change travel plan see great rate offer Best Western Fisherman 's Wharf area San Francisco . close special attraction waterfront , cable car store . room comfortable charge $ 15 parking motorcycle garage . concierge , also free wine appetizer afternoon . one opportunity socialize traveller pick great tip couple Denmark . on downside , best western trip offer continental breakfast , beverage . , prepare go somewhere breakfast try Safeway across street . would definitely return hotel see area . 
 Jun 8 2009 	 good location 	 tuscan inn good location , within easy walk distance wharf . many restaurant attraction nearbythe hotel room large - ish one king bed daughter myself.very skimpy towel . ( prompt request ) iron board never put away , ice bucket never clean me.the bed comfortable.this safe area , believe , may feel threaten many homeless wandering . harmless . say , may feel comfortable.my teen daughter feel perfectly safe times.the staff , polite , look bit distracted , frankly disengaged.not incredible , enthusiastic staff describe stellar term lucky visitor . however , polite . 
 Jun 7 2009 	 GREAT location good room 	 locate two block away Fishermans wharf hotel great asset . room bit small , overall good value . disappointed do not complimentary breakfast , good restaurant around guess do not really matter . room clean update , bed comfortable , bellman service fast efficient . 
 Jun 5 2009 	 great price Wharf area 	 love location -- easy walk distance wharf cable car . reasonable price , San Francisco price call reasonable ! room clean typical amenity . pay parking . 
 Jun 3 2009 	 great place stay 	 stay 6 night early May . everything outstanding . one complaint . food restaurant great . incredible location . everyhte want within walk distance 
 Jun 3 2009 	 Location Location Location 	 hotel ton within walking distance , price pay make great deal travelzoo 85.00 , however say used stay true Kimpton hotel leave wanting , location price make great hotel , wine serve 2 buck chuck get early want partake , people everywhere wait pouring , decide skip one 
 Jun 1 2009 	 Explore San Francisco 's Best Neighborhoods 	 stay Tuscan Inn 10 - year - old daughter special overnight & quot ; mommy & quot ; trip . although live San Francisco Bay Area , want time explore certain special neighborhood San Francisco well see foot . Tuscan Inn perfectly locate we walk block opposite direction touristy Fisherman 's Whaft traditional italian neighborhood North Beach . walk part Chinatown , visit City Lights Bookstore Beat movement take flight , shop boutique along Grant Street great , spontaenous dinner . next morning go back lovely neighborhood cafe Mason Street two block hotel enjoy homemade pastry , latte local character . highlight visit historic boat Hyde Street Pier -- national Park Service site cost $ 5.00 adult free entrance shildren -- fascinate nearly two hour crowd . room Tuscan Inn cheerful , beautifully decorate , quiet , spacious , bright , well light reading night offer iPod port . service quick gracious checking . highly recommend Tuscan Inn base San Francisco . 
 May 31 2009 	 great location service value ! 	 husband get back Tuscan Inn . stay 9 night could not happy . location perfect ( close enough walk everything way enough quiet ) . room clean well - care . everyone encounter ( except valet guy front ) accomodate . minibar great ( remove hotel item fill drink buy supermarket one block ) . complaint one doorman / valet not thrill we parking car front * momentarily * removed bag car rent . that - perfect trip . would definately stay recommend friend . 
 May 29 2009 	 Great Location 	 hotel great location Wharf site city . although room small clean . Hugo concierge knowledgeable , helpful fun . 
 May 27 2009 	 great value service 	 partner along 2 friend stay Tuscan Inn 1 night . normally , would consider Best Western Kimpton hotel along great Trip Advisor review , book it . we arrive early able give we 2 room right away , give we one right away . , upgrade we suite nice spacious . sure sign Kimpton in - touch program . give we lotsa perk . as Kimpton hotel , offer little thing like coffee / tea morning lobby wine hour 5 - 6pm . hotel staff friendly knowledgeable . recommend couple local nearby breakfast place really enjoy . Darren 's offer great value western breakfast vietnamese food thing ... want something funky local , Pat 's offer another option . 
 may 26 2009 	 Sleepless San Francisco ! 	 stay Tuscan Inn San Francisco sleepless ! tiny room , furnish nicely , however , right outside window wall , huge duct keep go night . room inexpensive . check tell clerk noise reply never hear . apology . staff desk not go way helpful . 
 May 24 2009 	 perfect location comfortable room ! 	 Perfect location , great italian resturant ( little spendy ) , SUPER concierege . parking easy might realize . parking ramp across street MUCH cheap hotel parking . really fun happy hour afternoon wine treat . great time talk traveler find favorite thing area . honestly , San Fran favorite trip ever . can not wait return . 
 may 23 2009 	 WOW - great hotel 	 stay Tuscan Inn four night mid May 2009 . town Bay Breakers . what wonderful spot . we car , start valet . friendly , explain retrieve car – available ( 24/7 ) , long expect wait retrieve car ( 7 minute ) , etc . also help we bag front desk . the front desk staff friendly efficient . room rate order – ' book TravelZoo special , front desk right rate , right parking discount . we ask high room , street . get exactly . go free wine reception , great time . meet number traveller , wine pour - er hostess friendly efficient . wine reception night become event look forward ( wine ! ) . wine Charles Shaw ( two buck Chuck ) wine afficianado get excited , fine standard . room little small - pretty normal wharf area . immaculate nicely decorate . bed big comfortable . one interesting thing – room door open hallway , rather room . make room seem slightly big , door swing room , take space . ' surprised hotel ' . bathroom door thing , make bathroom seem slightly large . the room quiet . have see review say room face street noisy , ask room street , get quiet room . the air conditioning work perfectly . yes – need air condition San Francisco . unseasonably warm there . we eat hotel restaurant – italian theme – good . good food service . the concierge helpful extremely friendly . find concierge busy morning , try arrange tour people . ' use workout facility . the hotel one computer ( printer ) available free internet . free wi - fi throughout hotel work flawlessly . this Best Western , operate Kimpton - pet friendly . advertise picture manager 's dog check desk . wonderful stay ' highly recommend – get amazing rate , make seem even well . the location excellent want near wharf . two block walk Pier 39 . street ( North Point ) , busy enough always feel safe walking , busy feel crowd . the downside , fault hotel – rather , personal preference . usually stay Marina District , want hotel near wharf could walk Bay Breakers ( ' want stay near Union Square , even though would convenient ) .i like visit Wharf , personally , ' rather stay Marina District , visit wharf . honest , pretty sick tired wharf four day . , choice , hotel problem . all , want stay near wharf , ' highly recommend Tuscan Inn . though ' try get discount rate . 
 May 22 2009 	 stay hotel ? ? 	 get three star room clean hotel close wharf . live hour north San Francisco stay many hotel city always enjoy past week . surprised anyone would find place gem . staff rude not seem care guest . not seem matter front desk , treat everyone bad , valet . location good room pretty clean . bed awful . come room look nice . sit bed get thrill spring hit wherever lay sit . five people two room ... four bed bed awful . bad sleep $ 50.00 night room . course add thrill pay $ 40 night parking whatever chiropractor bill do bed . someone say quiet . street side room night long bus loud noise one get good sleep . go Palace Parc 55 , get treat like gold comfortable bed . 
 May 8 2009 	 little gem hotel . 	 clean , quiet , excellent location , delicious coffee bar every morning , staff helpful & amp ; friendly . good thing : sample California wine comfy , beautiful lobby , roar fire ; look forward come back afternoon . room bite tiny , clean comfy ... bathroom spotless nicely appoint . loved place . 
 May 6 2009 	 thank Pearl 	 second time Tuscan Inn satisfy hotel last year . however little irritation front desk concern security deposit request talk responsible management person . support concierge Hugo finally get contact Pearl . explain need security deposit full satisfaction also surprise we later unexpected generous gift bag room . this action show high hotel management value well feel theír guest want appreciate comment . 
 may 3 2009 	 Best Concierge 	 recent stay good western Tuscan Inn enhance delightful conceriege , Hugo Vides . help we e - mail prior trip provide many additional tip suggestion stay , include help return shuttle transportation print boarding pass . Hugo definitely enjoy job - show friendliness warmth toward hotel guest constant smile . thank , Hugo . Nancy Smith 
