trendy 	 hotel excellent location , couple block away Broadway ( Time Square ) choose hotel cool picture website . altough cool website , hotel still modern stylish . as use hotel sleep , give opinion regard room impression . use facility also chance experience either restaurant bar . the room book standard room . clean stylish , little small taste . the bathroom pretty decent provide brand toiletry L'Occitaine . as almost never hotel express much staff . guy bring bag room friendly helpful . guy escort departed . , interaction staff basically he . as mention early location excellent , reach anywhere NY midtown foot . also undergorund station outside hotel 's entrance . in opinion hotel suitable young crowd ( 18 - 30 ) Overall enjoy stay Dream . 
 Aug 13 2009 	 Dream almost great 	 spotlessly clean hotel middle Manhattan . two block south Central Park near Carnegie Hall . Times Square less 10 block south . get great rate Hotwire give 31/2 star rating , little high perhaps good value . . stay 4 nite could use another small dresser . room lack size make quality bed linen good quality comfortable , double queen mattress would appreciate . there mini bar safe room . bathroom small well stocked . large hd television wall analogue converter picture quality could much well . addition digital HD converter allow hotel keep update sell additional ppv services.they compe we couple drink arrival breakfast A / c act first nite . staff helpful courteous . rooftop bar fun , expensive place . boutique hotel understate buddhist motif . bluish white palate throughout hotel . large buddhist sculpture back lobby provide restful , quiet place relax . understand spa hotel see . room bible provide insight religion . although read little learn little achieve Enlightenment . take lifetime . I ' m write review critique owner obviously try hard make great hotel . would hesitate recommend . 
 Aug 10 2009 	 Sweet Dreams Dream 	 stay DREAM hotel New York two night highly recommend . be always easy find decent hotel not overly expensive . dream good location , friendly staff , room clean comfortable , check check quick , overall would say 's great value NYC . use Hotels.com make reservation go small room . not big clean , comfortable everything need e.g . iron , iron board , hair dryer little bottle shampoo etc . a / c work great absolutely issue feel safe . give try , think will please . 
 Aug 10 2009 	 Excellent experience 	 skeptical stay first , mixed review . great deal Priceline could not say . hotel staff extremely courteous happy share knowledge city . roofdeck lobby bar cool , expensive ( be NYC get use ) . room small , large enough stay night without getting freak . overall trip great , want stay perfect location ( directly Times Square Central Park ) stay Dream . reccomendation . 
 Aug 7 2009 	 accessible hip 	 recently hold meet Dream client incredibly easy deal . cab pull see bunch hipster smoke outside , little worried , fear deal lot attitude unfounded . tell old hotel recent facelift , ' ve focus comfort convenience . bed amazing , fluffy duvet pillowtop mattress . yes , room small , 's New York . staff exceedingly friendly energetic , bit green . love 2 story fishtank lobby . warning : not stay can not tolerate incense . also , internet access wireless , cause problem one member party . 
 Aug 1 2009 	 Boutique chich pricey 	 Stayed day work NY Dec 08 - great location couple block Central Park times square . chich bar - NY room cute small ......................... want hotel base see sight could pay third hte price probably get big room block back manhattan . ideal sight seeing.reception efficient polite , clean nice big red rosey apple pillow fab french tioletrie , bathroom ... bath shower / sink / loo big home downstairs loobar upstairs play good music dj - pricey drink cira we $ 10 per jd coke ...................... lot freaky dancer ! good atmosphere ................... recommend afford £ 300 per night liek bit ambience ............... somethign bit different ............. say ideal location . 
 Aug 1 2009 	 Ideal Location 	 get hotel stay Priceline concerned reading review prior come stay . location hotel ideal . never take taxi subway whole time within block Times Square Central Park . make sure park parking garage agreement hotel order get $ 25 daily rate . could swear bell hop tell we could park garage street front desk even put sticker parking garage ticket . however , next morning go get car gentleman garage say not agreement hotel pay $ 37 instead . know would not get large room bed post read already prepare . get handicapped room 9th floor little large , tell , rather quiet . bed really comfortable . bathroom not clean . hair floor see small insect sort . really like sample shower gel . oh robe wear . also receive 2 complimentary beverage coupon bar check . little bonus ... always nice ! never wait long elevator . everyone nice we whole time . think alot go expect .... felt definitely got pay . hotel pay 4 time pay still get look feel definitely get bargain would definitely go back ! spend get much . would definitely go back ! 
 Jul 31 2009 	 Great Location problem 	 Front Dest allow check early . really appreciate , want rest befora function Lincoln Center , walk distance . fun italian restaurant first floor . Met nice local give advice get around , go . club top floor good place single . music loud , way strike conversation . Carnagie Deli around corner . first stay NYC , can not compare hotel . imagine room small . important clean , well locate . 
 Jul 26 2009 	 pleasantly surprised 	 first time ' ve stay . ' m always little leary cool NYC hotel . the elevator small old . consider would suggest stay 1st floor -- -- although really 2nd floor . ? ' ve take luggage , use stair bypass elevator check out . bed incredible . bathroom nice livable . big mean , complaint . 42 & quot ; plasma wall , adequate space around one side bed . do not eat -- - NYC , would ? blue neon affect light 65 degree temperature room greet . nice.i will back . 
 Jul 26 2009 	 comfortable bed ' ve ever sleep 	 return weekend trip NY . travel son girlfriend . book room priceline quite suprised room get . Dream hotel perfect location . able convienantly travel around city . give room 10th floor 2 double bed . large room ny standard . bed white softest ' ve ever sleep . room emaculant . not think ' ve ever stay clean hotel room . sleep well . room quiet hard believe city never sleep . staff excellent accomidatingI absolutely stay 
 Jul 24 2009 	 not stay ... room could closet ! 	 stay two miserable night Dream .... room small hotel -- literally 20 & quot ; walk room around bed ( measure ) . ask move something least little large , would accommodate we 90 dollar night additional charge . room door not block noise . hear every word every step ( even flip flop flap ) anyone hallway within 10 room . 's nightclub ground floor , folk go room 3 4 , know ! ( mention boom boom noise emanating floor . ) not believe photo . lobby fine , location , room get absolutely unacceptable . fitness center open post open hour . Room Service nearby hotel limit expensive choice ( even NYC ) . 
 Jul 20 2009 	 rude unaccommodate staff noisy age slow elevator cheap decor impractical furnishing . 	 wait 10 minute elevator arrive . staff rude unhelpful . I travel mother , would provide room two bed . explicitly indicate reserve Priceline , could room one double bed ( even queen ! ) . first , tell room available -- even though check 3:00 ( maid barely finish clean ) . repeat inquiry , finally admit room two bed available . would cost $ 90 . since stay short , decide stay original room . cot ! room not even arm chair . dim lighting not hide cheap decor . noise awful . room noisy could barely fall asleep . 
 Jul 17 2009 	 good location funky hotel staff good 	 stay Dream Hotel birthday trip 18 month ago . hotel block Times Square good location , far enough noisy busy . room adequate size clean , smart design crisp white silver furniture . Turndown service include weather report fruit nice touch , toiletry bathroom good quality . COMFY BED ! ! strange lighting take we work turn , blue ! also bath full size bit frustrating want relax long day city . hotel funky , pretty exclusive bar rooftop , smart restaurant ground floor . not use either stay . main downside service . boyfriend order bottle champagne surprise birthday follow day - surprise ruin arrive already , even chill . birthday ask ice bucket - twice - got one plastic bedroom bin ice . realise drinking bottle actually sparkle wine . enquire told & quot ; be champagne States & quot ; not think ! ! bill we champagne real struggle sort leave . decent hotel interesting atmosphere . 
 Jul 17 2009 	 Really Noise 	 stay hotel 8 day ... room really small , bathroom really really old e poor . stay 3Th Floor , noise unbearable ... big AC machine close window . be stay make sure 7th floor . 
 Jul 13 2009 	 Dreamy 	 go NYC show , romantic weekend celebrate birthdays . check upgrade suite . two bathroom , large bedroom & quot ; living room & quot ; . corner room great view . bed wonderful ! apple pillow nice touch Big Apple ! blue light fun different . aquarium lobby amazing ! enjoy rooftop bar much . Yana great little waitress Heather , event manager , nice . would think could get $ 2 hamburger hot dog NYC roof top bar ? ? ? compe drink ? ? ? featured drink make cucumber & amp ; TyKu refreshing light warm afternoon go dinner & amp ; show . stay 8th floor bar quite busy Saturday night evidence line elevator ( one reserve hotel guest problem ) noise issue . location good , Central Park , restaurant , theater close - short walk short taxi ride . Front desk bellman helpful friendly . wonderful place stay city would return . 
 Jun 28 2009 	 well expect 	 base rather mixed review tripadvisor forum quite sceptical hotel , make good deal travel agent , hope well - find well expect . lucky we , get & quot ; large & quot ; room 9th floor backside hotel mean street noise sound bar rooftop , good place nice view evening . comfortable queen bed , solid bathroom , space store luggage ( incl . wheelchair ) , good flatscreen Bose radio - nothing complain . blue lighting room - well ... like Miami Vice 20 year ago , might find enjoyable . friendly quick respond doorman reception crew ( little issue safe take 10 min first call problem solve ) . addition , warn we sensible sensor minibar might lead charge even without take anything - nice move . onsite italian restaurant Serafina ok - ish . downside ? many - except wireless fee , ridiculous day get access anywhere else free . if like Central Park , Columbus Circle uptown museum like NAD , place recommend get good deal . , check standard tourist hotel midtown well bargain . 
 Jun 28 2009 	 Chic ` ` downtown '' feel midtown 	 stay one night friend 40th birthday . hotel clean , staff friendly attentive . decor modern sophisticated . bathroom small clean update . 3 room everyone love bed - super comfortable . stay one night not require lot storage however stay one night may find not enough dresser space . , great birthday ! 
 Jun 19 2009 	 Dream turn nightmare 	 trendy hotel serious flaw . first , staff treat like bother . check tell good room hotel ( i - prefer member ) . forgot tell we room right night club , top floor hotel . bass boom loudly room 1 - 2 every single night could not sleep . one night one hotel manager reluctantly call club agree turn bass ( make 3 call front desk ) . next night another manager crossly tell & quot ; club separate business , can not anything . change room ( one big room hotel go one closet sized room seem populate hotel ) . " tell want pack thing move we would , blow . & quot ; ' m sorry , & quot ; apology , nothing . overall attitude everyone hotel ( except one front desk person ) time ask anything , even connected room service ( connect us restaurant instead ) . constantly bring wrong newspaper , forget clean room one day , light mirror bathroom not light , door terrace would not lock . even maid act angry toward we not room clean 11 one day stay . phrase & quot ; customer service & quot ; & quot ; service smile & quot ; mostly unknown . be young , hip , bring earplug , like deal rude people will love hotel . be season traveler experience really good hotel service might want stay away one . 
 Jun 18 2009 	 Dream come true ! 	 trip birthday present husband , dream , hotel dream come true , room amazing , service amazing , staff excellent ... must thank staff help surprise make husband ... defenatly recommendthis hotel friend famaly , actualy already ... 
 Jun 13 2009 	 Cool place good location 	 location hotel quite good : close Central Park Columbus Circus , right next subway station fast train Town Time Square far either new show town . staff young friendly . room service quite different , focus Pizza , nice change probably reflect fact rather young people would stay hotel . lobby remind almost night club , aquarium right middle . whole hotel quite dark . 2 bar , perfect & quot ; last one & quot ; go bed . room rather small , comfortable - , New York spend much time hotel room . room rate ok , good value money ! 
 Jun 1 2009 	 stay away 	 not understand review place . ' ve stay hotel NYC 20 year , easily dozen different place , can not remember one bad . hotel employee especially issue ; great other obviously direction initiative . building mainly form function . a / c unit room , five room , individual unit entirely enclose within room -- loud . open window turn A / c . luckily evening cool . full length mirror room . furthermore , family please forwarnd erotic art wall statue hallway . 's mean obscene , however , be specific could see advertising hotel sex hotel couple short stay . four night price right priceline , however , would never choose . 
 May 29 2009 	 real dream much could expect 	 pleasant stay New York hotel 15 year yearly visit , far well place popularity index would suggest . something everyone , every type stay . much say shall restrict pointer . come four day New York stopover long journey , must take large room available , otherwise enough room store luggage . ask minibar empty ; give fridge need . also , soft mattress soft ask room service remove top layer ; remain firm mattress still comfortable . hotel provide breakfast , however like start lightly morning , Broadway Starbuck 's step away , many guest carry tray room . nourishing fare available Café Europa , two block Seventh Avenue , right opposite Carnegie Hall . daily snack room , supermarket corner 57th Street Broadway . Read correspondent say noise , like club dancing scene plenty action roof weekend , careful screen ID check security guard downstairs prevent minor undesirable enter . relaxation Spa base mainly ancient indian remedy . wish good time . - Amosh , Jerusalem 
 May 24 2009 	 totally dreamy 	 beautiful , sexy hotel ! minute walk know place special . staff top friendly helpful . room amazing , suite huge Manhattan standard . ethereal glow place make sweet dream . highly recommend hotel special time ny . look something unique , look . 
 May 24 2009 	 bargain right location great staff nice hotel 	 Dream Hotel corner 55th Broadway . restaurant street side din Broadway . address 210 west 55th . short walk 5th Avenue shopping Time Square madness . there bar 14th floor well rooftop deck great view get pretty lively club like lounge lobby heat late . beer three $ 8.every staff member encounter friendly , helpful sincere . hotel well keep , clean , modern everything work . small room available . large LCD tv build - in desk . WiFi $ 10 per day work reliably . well renovate old building room small . bathroom small . look large room spacious bath look elsewhere . think rate fair hotel caliber location . stay holiday weekend . rate Friday $ 229 plus tax Saturday $ 259.The spa great . good Ayurvedic massage . 
 may 19 2009 	 small ( small ) room lot NOISE ! 	 pretty hotel nice location , room small window keep noise room . stay 2 room , first room 5th floor LOUD turbine noise AC system ground floor . moved & quot ; quiet & quot ; side 4th floor still hear turbine plus new noise ground floor bar 14th floor . not mind small room NY work NY 15 time year , room small hotel , barely walk around bed . one positive Serafina restaurant lobby . excellent breakfast ( cheap outstanding ) maybe good pizza outside Naples . 
 May 17 2009 	 love Dream ! 	 spend 3 night Dream hotel . get fantastic deal price - line ( $ 120 / night ) worry negative review . random observation thought . I arrive NY 11 call see could check early . say full could drop luggage pre - register . not end get 2:30 able check . leis ship graduation attend deliver arrive . ask refrigerator could use overnight . woman desk say minibar room , could empty could room leis . think great . the room small . fine husband , would small . bed full size , dresser two drawer small refrigerator , closet ( iron ironing board ) , small desk outlet top ! loved convenience . bathroom also small ( maybe tiny ! ) half tub . the tv flat screen mount wall . 24 inch end bed wall . peek room pass ' m pretty confident mine small . bed tall enough able slide suitcase save space . there view , building . privacy blind bring natural light . think lighting bit dark . bathroom magnify mirror still , light not good . the bed heaven . alone make go back ! feather top pad fluffy pillow soft comforter . love ! ! service outstanding ! forgot toothpaste bring right away . start period early not prepare . call supply deliver . want glass wine two bar super crowded LOUD gentleman desk get glass able drink lobby talk phone . housekeeper nice . ' m sure expect rudeness , service superb . plus empty minibar . the hotel trendy popular club even though push 50 , not obnoxious . hotel would perfect young people party ! location fantastic . wireless internet $ 10 / day . next time visit NYC hoe take child not think would stay unless suite happen visit , would stay . bed dream ! ! 
 May 13 2009 	 Great Location 	 hotel midst . book part sexy weekend boyfriend . dine Amalia spend night dancing Ava Lounge . hotel beautiful trendy able sneak peek gorgeous Chopra Center locate downstairs . staff friendly , house keeper actually helped sow dress break way eat dinner ! much Dream Hotel ! yes , will admit room not perfect thing outside , would sit room ? 
 May 4 2009 	 worth money ! 	 boutique hotel locate close Times Square . location fantastic close tourist attraction . check Saturday May 1st . hotel lobby cool trendy look large fish tank center . first floor double bed room . room small cool trendy feel blue light bed , desk . furniture mostly white show wear tear . try figure light switch work ordeal . main switch turn blue light desk ... swtiche use turn main room light . room hot turn thermostat cool room leave dinner , upon return , temperature change . call tell someone would , 1 hour later call . technician finally arrive play switch finally get AC work . on second night , move King Suite experience issue light switch . however , room cold call heating fix . technician arrive tell we hotel turn heating option would get cold air suggest ask additional blanket keep we warm . checkout time 12noon call ask later checkout 1:30pm tell hotel sell . leave room 12noon forgot check go lunch . come back collect luggage hour later , apologize forget check tell problem , make sense since tell ask extension . hotel staff care . I would recommend hotel . stay Grand Hyatt NYC would recommend check one ! 
 May 3 2009 	 Nice overpriced 	 's blue , 's neon , be trendy - pricey ! room small 's New York ... 
 Apr 20 2009 	 excellent lovely modern hotel ... perfect stay dream hotel ! ! ! 	 boyfriend book 5 night new york Dream hotel surprise christmas pressie ! go easter 11th arpil-17th april . first little worried negitive review read , however could not happy stay dream hotel ! arrive hotel staff welcoming , give we free drink voucher bar next door , check we quickly . room 12th floor happen corner room spacious lot floor space ! ( prob corner room though ) happy know new york hotel room say small side . lovely modern crisp feel room , clean simple , taste . bathroom decent size , lovely clean , shampoo conditioner product we use towel change everyday . large plasma tv wall plenty storage space clothe fluff bathrobe ! great view room interested going see new york anyway ! great location , starbuck across road , close central park , 5th avanue , time square ! ! also lot small eating place near breakfast lunch ! subway corner block , use get place little away ! defo good way get around , taxi 's expensive ! ! overall FAB stay dream hotel , negitive comment problem 5 night spend , defo go back would recommend hotel family friend ! ! ! ! 
 Apr 18 2009 	 Excellent Hotel . freindly Staff 	 ' m suprise nagative comment regard staff Dream Hotel . could not nicer girllfriend . arrive 6:30 Saturday inquire dropping bag , could walk around Central Park . staff let we know room already ready check . also give we drink ticket bar next door . good location . two block park , right northern edge Theatre District . second floor view could see Ed Sullivan Theatre . room small side , would definitely stay . excellent decor penthouse lounge also ! 
 Apr 2 2009 	 cute hotel terrible customer service 	 hotel cute funky . room nice , tiny . problem solve satisfaction . manager pretty rude . even bring attention parent company also meet rudeness . customer base organization . travel quite bit stay hotel again . although , Chopra spa downstairs absolutely AWESOME ! 
 Mar 26 2009 	 Great Hotel Sleep 	 stay one night hotel say positive thing . Front Desk actually nice we not mind we check early could drop bag room begin explore New York . location great . room clean bed , sheet , towel soft comfortable . room basically consist bed desk nice flat screen tv . basically use room sleep shower 's need be perfect . plan staying room day could make feel little claustrophobic . we though , would rather see 's outside stay inside . 
 Mar 25 2009 	 Dream - Nice Concept ; Uneven execution 	 use Priceline 31/2 star hotel two adult get Dream good price $ 95 per night . unfortunately Dream room full - sized bed Priceline room assign . elite level several program time travel ( except National Parks ) ever see full - sized bed deem adequate two adult request Priceline . dream front desk staff among rude experienced , especially hotel level . use Priceline treat valuesd customer . Dream front desk staff treat like someone deserve . eventually able & quot ; upgrade & quot ; queen room two adult $ 30 additional per night . room funky like W Hotel fresh apple turn service nice touch . l'occitane amentie nice also . location could not well - - Broadway two block Times Square block Central Park , subway stop step east . concierge staff friendly helpful contrast front desk . for single traveler hotel tremendous Priceline tremendous value . 
 Mar 21 2009 	 Hot Room 	 not mean kind hot . temperature room 80 degree could get air conditioner come . want comfy place sleep nite comfortable temperature . suspect air conditioning yet turn bother call front desk . get late really want play & quot ; will send someone & quot ; game . small room , soft bed . the bathroom clean nice . restaurant , Serafina , great . go back . like thing comfortable without ask . 
 Mar 20 2009 	 great location ! ! ! 	 great location hotel , good service ... little expensive ! ! 
 Feb 26 2009 	 great location fantastic bed customer service not well 	 stay 5 night Dream , list pro con belowPros : concierge good , bed room really soft large . location superb , nice close Times square noisy . nice quirly design touch hotel make interesting , light cool also . con : reception staff bit rude departure , room slightly small side ( probably average NYC ) . maid obey disturb sign . overall would reccomend , especially romantic getaway . 
 Feb 20 2009 	 Great Location could fault ! ! 	 never NYC , nervous expect , esp hotel ! room medium queen , nice size , massive money clean comfortable need . I impress toiletry provide L'Occitane fab . every day room clean , fresh towel want bed could changed . very central location , subway round corner . roof top bar , good pricey ! staff , helpful pleasant door man reception handyman . the adjoining restaurant Serafina lovely , good food reasonable ! stay week young couple please ! 
 Feb 7 2009 	 Sexy small 	 stay holiday season . join preferred group hotel able get decent deal room , call & quot ; medium & quot ; size room . room big closet . actually change room first night , pro con . first room extra tiny overlook kind generator something . view daylight . pretty quiet . second room , 10th floor , slightly big faced Broadway really not view , unless consider look people 's apartment view . noise level street unbelievable . sleep earplug could still hear street noise , especially taxis honk horn ! say , room clean sexy . blue light add little something extra moment guy bed super comfortable . sure would stay though . do not think worth price . 
 Feb 2 2009 	 Sooo Nice . 	 hotel great location Manhattan . right center everything . room cool would definately get suite could afford . overall loved hotel would definately recommend . Dana - New York 
 Jan 12 2009 	 great location 	 quick business trip 2 night love Dream . stay several year change Dream say upgrade fab . good location great service . ' return minute . 
 Jan 9 2009 	 Cool Hotel 	 Cool hotel . great location . nice roof top bar great cocktail . 
 Jan 8 2009 	 Great Location 	 Great Location , location 7th Avenue 53rd Street , perfect location everything . room book quite small , small bed . modern great amenity . see Times Square end road Top Bar . central park short walk away . the staff helpful , everything clean . cheap , Manhattan . Book want great location , walk distance Times Square & amp ; Park . also subway end block . 
 Jan 7 2009 	 well positioned hotel 	 come back New York want add opinion hotel . leave check review decide book despite mixed rating . happy choose hotel . book large room big bed highly recommend , small room really small . bed comfortable service good . hotel well position New York , close many attraction , metro , lot cafe restaurant . New Year 's Eve step outside hotel , 7th Ave good view Times Square ball . one thing like noise . noise inside , room well insulate could hear room people clean corridor . outside noise street - especially garbage collect - lot garbage . since experienced issue visit New York hotel , prepared ear plug - highly recommend room face street . 
 Jan 2 2009 	 perfect Hotel Manhattan 	 read review mixed mind whether book . end stay 24th 28th December 2008 . location 7th Avenue 53rd Street , perfect location everything . room book large room fantastic , modern great amenity great toiletry . starbuck right corner right round corner famous carnegie hall carnegie deli . see Times Square end road central park north . staff helpful , bar cool everything great ! ! cheap , Manhattan expect gather . Book hotel want great location , walk distance Macys , Saks , Times Square favourite subway literally across road . brilliant ! ! ! ! ! ! ! ! ! ! 
 Jan 1 2009 	 Excellent Location 	 Dream Hotel ideally locate New York City . staff excellent , spotless certainly return . 
 Dec 17 2008 	 Artsy Boutique Hotel 	 Fiance book two room Dream one another friend husband . look traveler photo tripadvisor discourage want change reservation glad . look boring hotel appeal many find Dream trendy sort South Beach Miami style small room tiny , clean , great bathroom light apply makeup ( florescent ) , super comfortable soft duvet bed . go NY spend lot time room do not rent small one cozy two without lot space luggage . leave suitcase bellman downstair leave NY without one bag . call hour later bag tag Sunday receive bag Monday morning Houston free charge . commend Dream great customer service , can not beat location . also breakfast Serafina food good . 
 Dec 16 2008 	 hate dream 	 take recommendation co - worker stay Tribeca Grand Hotel . well , honor pay $ 310 night w/o tax room 13th floor . good ... brush tooth not far walk corner bed sink bathroom . wish bathroom door would not hit sink open . coworker bathroom door hit toilet open , feel lucky . front desk concierge staff polite . job though . the bad . place 13th floor nightclub dance floor . get hear bass beat floor shake night . addition elevator sound go plummet center earth . might well night sleep snuggle Lucifer ( actually wife 's name work trip ) . exaggerate ? , true happy home . would recommend Drake Weston Times Square Dream . 
