great 	 stay Apex weekend November base review site . disappointed . stay King Deluxe room first floor room HUGE ! bathroom large bath walk shower . my gripe pillow terrible ! standard one feather would suggest order extra foam one comfortable night . the room quiet London could hear wind tree small square opposite window . within 3 minute walk Tower Hill tube station , take Embankment 5 minute walk Leicester Square etc . Ideal Tower London across road . not food hotel pub around block full english breakfast £ 3.99 ok we . also pizza place , noodle bar various eatery within 5 minute walk . would also suggest walk Tower Bridge walk towards London Bridger South Bank multitude place there . all fab weekend fab price . 
 Oct 19 2009 	 lovely hotel 	 recently stay Apex hotel boyfriend 's birthday , come London relax see show . I book online late room ( get v. good deal ) . arrive London much Tube hop leave station find hotel 2 minute walk away ideal location ( brilliant ) arrival check quick hassle free . choice floor smoke non - smoking make way upto room . small , cosy , spotless tidy , excellent . we not eat restuarant drink bar , food little pricey , expect ! hotel free internet access . staff attentive extremely helpful even ask direction show , recommend cheap way convininet way travel . we check 2 day later smile face . , check quick hassle - free , will even store bag need depart home . the annye location plug socket . behind tv pain use iron also use hairdryer cord not long enough . other fantastic , would definately go would recommend friend family ( visit late room first though ) 
 Oct 19 2009 	 pleasant enough hotel shame room service 	 nice enough hotel , well situate quiet road close underground bus stop . complaint room , nice enough decent size bathroom , although view huge brick wall ! one night theatre break not bother . however , return room theatre , order supper Room Service . arrive fairly promptly , short later Room Service rang ask husband would go Reception pay , fail ask we credit card pre - authorisation check . feel unreasonable request consider get midnight try enjoy supper , reluctantly go Reception apologise , pretty annoying . decide heed hotel 's warning restaurant get busy breakfast weekend , pre - ordered breakfast room next morning , request 10.00 - 10.15 . arrive 09.40 ! husband still shower , time finish , breakfast cold . point ask time would like breakfast deliver , Room Service go take notice ? ! ! 
 Oct 15 2009 	 nice place - great location 	 min walk tower hill station victoria tube line , 5 min walk DLR stop . nice modern hotel . pret manger 2 min away breakfast not include rate . stayed 4th floor . room little small ( standard London ) spotless clean . large bathroom walk shower . staff helpful allow we check early day arrival . breakfast fine - standard buffet selection . bar quite pricey - though bar within min walk . 
 Oct 12 2009 	 excellent modern hotel 	 love hotel . great location ( 2 min walk Tower Hill tube station ) , friendly & amp ; helpful staff , modern & amp ; large room . good breakfast - everything full fry pancake & amp ; waffle .. amazing ! could fault hotel . small thing do not like bedroom window lock way open call reception someone come unlock do not leave key call lock ! definitely stay . 
 oct 8 2009 	 Convenient Tube Tower London 	 daughter stay Apex Hotel couple day travel around spring break college . staff Apex Hotel friendly efficient . room upscale comfortable . enjoy chance watch DVD hotel 's collection . Tube stop block away , sure get direction not wander around like . , visit Tower London , huge ... could spend entire day . bring home little yellow rubber duck hotel bathroom souvenir time Apex Hotel patron . 
 Oct 7 2009 	 Good Name > good Service > excellent stay 	 book hotel last minute . trouble book online - reservation desk close leave name number . call book next day , internet rate honour . furthermore decide extend day 1 , offer rate buy hotel staffhotel close tube station & lt ; 5 min walk next famous tower london . get anywhere london make easy fact tube close by.what find interesting love hotel free wireless internet service , plan weekend , look deal heart 's content without worry pay ridiculous price internet use.if love sport , like , would glad sky sport channel part tv channel ( free ) room , do not miss football / rugby / cricket game away home.if fancy nigt - in , get free dvd front desk watch flat screen tv.second time stay place , change service . totally feel relaxed hassle free . staff polite helpful usual.thank . c u soon 
 Oct 5 2009 	 Peaceful 	 stay hotel late September . although busy part London quiet weekend . overall staff freindly accommodation excellent need 
 Oct 5 2009 	 hide gem 	 boyrfiend stay weekend . thoroughly enjoy stay ! upgrade arrival , greet friendly staff , give direction anything need . room lovely , lot extra , warm . conceriege accomodate friendly . free internet plan day activity print map needed.it close lot tourist attraction , tube station outside need travel afield , good especially travel take train airport.we really enjoy stay recommend friend . 
 Oct 3 2009 	 Awesome hotel huge BEAUTIFUL room 	 fantastic hotel ! near tube stop Tower London . plenty place eat nearby well . stay basement room great , quiet quite large . hotel cool look clean . complaint shower ( separate huge tub ) . water leak onto bathroom floor end use bath mat water dam prevent leakage . bed sheet also really wide enough bed manage . free internet welcome surprise since many hotel charge ridiculous fee . 
 oct 1 2009 	 great hotel 	 stay 3 night Aug 09 love . minor hiccup check room turn fantastic , staff great clean round . location great easy access Tower Hill Station , Tower London Tower Bridge , be fair way rest touristy area . use tube great place base visit London . great service .... great hotel . 
 Sep 30 2009 	 overprice rabbit hutch 	 spending couple day London Premier Inn County Hall , stay one night business . Thought would choose hotel close work venue go upmarket - client paying . go Laterooms find Apex ; £ 168 room ( queen room ) , normal price & gt ; £ 300 . great deal think . . room 1/2 size one Premier Inn . ok bar soap smellie . internet not work . connect reception - good . speak techncial support people- good . give . apparently 12 guest problem.hall , overrated , overprice small room . want charge £ 15 breakfast . go cafe road , full English £ 4,50 ! ! 
 Sep 29 2009 	 Great Hotel 	 hotel beautifull price great ! little far away downtown London , really close subway station . 
 Sep 28 2009 	 good hotel 	 second time ' ve stay Apex second time ' ve find good place stay . room fairly spacious , first time ( although not realise ) superior room extra space sofa table , time standard room still leave enough spacce move although truly enormous bed take fair amount room . everywhere clean , staff efficient polite bar snack & amp ; continental breakfast nice . minor gripe , shampoo bathroom first day , remind breakfast staff want toast morning bar service one afternoon non - existent . , be find complain consider lucky ! location good , even 7 tube line disrupt ' plan engineering work ' not inconvience we much . highly recommend . 
 Sep 28 2009 	 amazing hotel - exceed expectation 	 nothing fault stay hotel - staff friendly professional room clean , spacious modern . despite minute away tube station large road , absolutely noise within room , enough space room guest can not hear . book budget room definitely nothing & quot ; budget & quot ; ! bottled water variety toiletry ( replace every day ) nice touch . really enjoy stay definitely go back ! top hotel without 5 - star price tag - could want ? ! 
 Sep 28 2009 	 Superb 	 Excellent hotel - room great , clean contemporary . Extras nice - complimentary water , tea , coffee etc , full size ironing board , iron , fridge . Liked touch , able play tv bathroom , little rubber duck ! staff pleasant helpful . thoroughly recommend hotel , location great underground , close tower bridge tower London , within walk distance Southwark , St Pauls etc . Handy Pret Manger next door , couple bar close , plus nice restaurant bar . nice quiet area . could not ask well , surprised 's classed 3 star , be probably good hotel ' ve stay age , within Europe & amp ; US ! 
 Sep 27 2009 	 great staff 	 friendly staff good - sized comfortable room . pleasant location ( near St. Katherine 's Dock ) .The downside room not ready 3.45 p.m. somewhat inconvenient . recommend otherwise , however . 
 Sep 24 2009 	 Great Value ! 	 thoroughly impressed Apex -- service impeccable room . room safe not work arrival maintenance guy replace straight away . definitely stay . free bottle water room nice touch - as choice pillow bed ( foam goosedown ) 
 Sep 22 2009 	 one good stay London 	 excellent hotel .. staff helpful pleasant . everything modern , excellent work order . perk telephone rate free internet greatly appreciate new york city couple . eat several meal Addendum , excellent room service prompt serve nicely.we special need weekend wherein could travel : pleasure lovely suite ( junior suite nice ) excellent hotel.we stay time London . 
 Sep 21 2009 	 absolutely brilliant hotel 	 good round hotel stay visit London . total surprise , expect good . modern spotlessly clean , hundred yard Tower Hill underground station Tower London . within easy walking distance St Katherine 's Dock 's many restaurant . perfect anyone visitng eastern side London . upgrade executive room spacious well equipped . tired tiny grubby hotel room place . breakfast excellent hotel England bacon cook properly . usually get greyish pink limp offering plate masquerade bacon { nobody else England cook bacon properly ? } crisp delicious . accompany pancakes maple syrup . perfectthe staff unbelievably good , receptionist helpful professional , concierge well experience UK.We ticket Coldplay would almost prefer hang around hotel ! terrific stop definitely use . 
 Sep 17 2009 	 first class base return busy day 's sightseeing 	 spend 3 night Apex find staff helpful courteous , room clean spacious breakfast excellent . could not ask would certainly go back . 
 Sep 10 2009 	 Excellent design room energy - save elegant trendy 	 neat elegant decoration , full kind energy - save idea - light bulb , toilet flush , etc . 
 Sep 10 2009 	 great value money 	 pay 99 £ hotel include breakfast think price fair . room nice , clean modern well equip bathroom . breakfast good , could want like pastry , juice lot fruit except cook thing like sausage egg ( not like anyway not mind ) . service superb hotel : staff extremely friendly welcoming . free WiFi room work well , really complaint . hotel centrally locate , ' ve get tube station right around corner ( Tower Hill ) . want stay not massive budget still want enjoy luxury . 
 Sep 9 2009 	 Superb Choice 	 Deciding stay Apex London superb choice . perfectly locate short walk Tower Hill station Tower London readily accessible London offer . time location quiet wonderfully name Seething Lane opposite small park . room large London standard stylish , modern bathroom large bath separate shower . " rubber ducky " cute touch . " king " bed firm comfortable . iron board clothe iron hair dryer well stock tea , hot chocolate coffee option . wide screen tv wifi access . thing lack clock clock radio . continental breakfast well experience large hotel great variety bread , fresh fruit , beverage cheese along generous special option smoke salmon . cooked breakfast also available , really necessary get good start day . the hotel restaurant ' try , lot eat option nearby side Thames short walk Tower Bridge . there also gym busy use . staff helpful friendly , special mention go breakfast maitre de concierge . stay six day nice touch breakfast maitre de remember name second day beverage order – large hotel . road Edinburgh experience London book ' Waterloo Place ' Apex . one good piece advice check hotel special book . manage get off - season price late summer . 
 Sep 3 2009 	 Apex apex 	 course 5 day London City bad idea . add excellent hotel , add day holiday total . Apex staff helpful wi - fi room good . ( room 550 ) . technical problem first time , 23:00 , receptionist technician help time . ROOM : large , twin bed , warm cover taste , manageable . large screen tv trying fall asleep wake . two phone set , free local call help use phone card . open - able window climate control excellent , could warm cool , depend feel . important , usually get one option , depend time year . breakfast : breakfast continental , plenty fresh fruit ( watermelon , melon - two variety , strawberry pineapple ) , smoke salmon , fruit plain yoghurt , mortadella , ham , parmaham Milanese sausage , cheddar , edam , ementaler , brie , various cereal , fresh apple orange juice , white full grain bread deli . hope miss something , every morning , complain . LOCATION : 200 m Tower Hill tube station , 500 m Monument station . walk distance Fenchurch Train station bus stop 15 . close Tower London . reach city centre could challenge since change line , could walk last 500 m . access disabled . 
 Sep 2 2009 	 top quality thoroughly professional great value money . 	 fiance discover hotel line base book outstanding review previously receive . fully justify 3 night stay take sight London superb . check staff reception particularly friendly upgrade we luxury room extra cost ! room turn fantastic extremely comfortable quality 6 ' bed , full sofa huge flat screen tv . sound system even speaker mount ceiling bathroom ! sound insulation black - out curtain ensure undisturbed night sleep whole place spotlessly clean high standard decor . linen egyptian cotton even bath robe slipper provide . dining room first class discrete , friendly , cheerful thoroughly professional staff continental breakfast splendid . whilst hotel locate yard Tower London distance majority London 's ' sight ' 2 tube journey West end theatre . aspect criticise ' ve try hard honest possible . hotel get ' thumb - up ' highly recommend . 
 Sep 2 2009 	 hit City 	 first stay Apex City London August enjoyable . we pleasantly surprise room upgrade , unfortunately not able make about . the room spacious , tastefully decorate , extremely comfortable fantastic bathroom ( big bath separate walk shower ) .The Tower Hill tube station nearby , preferred take bus number 15 , take past St Paul ' cathedral right central London , bonus old bus miss much ! staff friendly helpful . highly recommend ! 
 Sep 1 2009 	 Superb - Clean Great Location Spacious ... generally Excellent 	 choose hotel read excellent review , not disappointed ! girlfriend stay night Bank Holiday sunday whilst visit Natural History Museum Tate Modern . location perfect we come Fenchurch street , 2 3 minute walk away ... end road opposite Grange Hotel ( next back entrance Fen Street ) , also 5 minute walk Tower Hill Underground . travelcard use Underground get South Kensington ( 11 stop District / Circle line ) Natural History Museum also later evening Leicester Square ( 6 stop embankment 2 stop Leicester Square ) . follow day take nice stroll along Thames Tate Modern via Millenium Bridge , would say 25 minute walk . people mention , receive complimentary upgrade City King Room Superior Room , love ... spacious , unfortunately view not not really bother we . comfortable love Bed , Bathroom , big flatscreen tv ( main terrestrial channel aswell Sky Sports 1,2 & amp ; 3 , plus news channel foreign one ) general ammentie ... aswell Rubber Duckie Bath ! bath really big , quite big guy really comfortable . Shower also huge , easily fitting 2 people take fancy ! pay general price hotel £ 99 not include breakfast , think really reasonable price lovely hotel good location . see deal later include breakfast similar price would probably next time think breakfast expensive ( £ 12 £ 13 think ) ... end eat across road Wetherspoons pub ( Liberty Bounds ) 1 minute walk back entrance right leave hotel , happy Wetherspoons would suggest one well one ' ve , plus cheap food drink . I think receptionist concierge friendly helpful aswell , impressed casual seating area ( lot sofas comfy seat ) see people use free Wi - Fi Laptops . end take drink bar room , would easily comfortable sitting . overall would definately use hotel , love ! plus read positive review City Budget Rooms ( Basement room ) , would consider price reasonable ! suppose room view would not thing . 
 Aug 31 2009 	 Excellent location 	 5 minute walk Tower Hill , locate city London . Reception ( bar area ) welcome modern . room slightly small side old fashioned TV ( LCD would appropriate ) bathroom area roomy . bar restaurant get lively evening , slight downside 12.5 % service charge order drink , although discretionary . would recommend would stay . 
 Aug 28 2009 	 certainly back 	 stay 2 night mid week tourist sight mum . excellent location beside tower hill tube station . hotel tip top , bedroom plently space bathroom huge extremely clean , friendly staff , great choice breakfast , could not fault stay would recommend : - ) 
 Aug 28 2009 	 hope 	 good location L , st . Pauls walk Parliament square along river , Eye . tuck away . convenient .Everything immaculate . good cheap pub close restaurant . People nice . 
 Aug 27 2009 	 Excellent 	 good location , quiet street , 5 min Tower Hill Station . helpful staff , good size room , clean good price . stay 
 Aug 27 2009 	 ` ` left device definitely would ... go '' 	 can not fault hotel anything , attend concert O2 arena location ( round corner Tower Gateway DLR ) perfect we . check execute , Deluxe King Room describe website Bar area front hotel nice atmosphere . my wife problem passport concierge deal matter admirably . all hotel deliver good per 's website promise always case hotel encounter . 
 Aug 26 2009 	 Great Location Perfect Rooms Really Nice Staff 	 hotel great location , around corner Tower Hill station Tower London . the room nice , excellent interface TV 's , provide component video , etc . 
 Aug 26 2009 	 nice contemporary hotel 	 nice contemporary hotel tuck away quiet street Tower Hill tube station . friendly efficient check free upgrade nice touch . room although modern lacking somewhat . Old fashion huge tv radio manual search . Scuff mark wallpaper skirt board , carpet tear furniture move . however , room nicely decorate contemporary furnish bedding . bathroom separate walk shower big enough two bath . nice toiletry plenty . toilet seat round uncomfortable ( thought ) . presume quirk room flush toilet take huge effort muscle power . ( room 610 ) fridge room nothing . handy store snack drink . generally quiet London hotel , construction go nearby start 0700 morning . also seem quite lot party noise around 0200 morning , sure hotel local bar last quite . continental breakfast minimal really worth get bed . member staff unfriendly man greet we ( grudgingly ) show we table . everyone else friendly , professional efficient . difficulty access wireless internet room use meeting area lobby free even bring we extension lead charge laptop without ask . overall would recommend hotel . however , aware bit pricey much go way nightlife convenience store city therefore gear business traveller . handy Tower London . 
 Aug 26 2009 	 clean comfortable good value . 	 book hotel 4 night 1800hotel great price include continental breakfast . check noon day arrive pleasantly find room available . comfortable quiet room ( look like expansion part old church look courtyard ) king - size bed , flat screen television , large bathroom full - size shower separate tub , importantly air condition hot dry stay . the continental breakfast good include deli meat , cheese , smoke salmon ( weekday ) , yogurt , granola , juice , coffee , variety bake good . separate menu order available completely unnecessary . the staff bend backwards ensure happy . since Circle line ( Underground near hotel ) close construction weekend , rely double decker bus get around staff accommodate help we find bus route run 24 hour get around town , even call information line we answer question . the negative tube closure near hotel weekend . however , hotel 5 minute walk alternate stop ( Bank ) bus service extremely convenient taxi expensive London . 
 Aug 25 2009 	 Great Hotel - Modern Building 	 Stayed surprise girlfriend ' birthday . hotel clean staff friendly . stay " Superior King Room " , nice . separate bath shower . the disappointing part whole weekend , breakfast . continental option limit main breakfast ' much ; small bean , one sausage , mushroom 2 egg , personally worth £ 15.there many café ' s / pub within couple minute hotel , would use next time stay . 
 Aug 24 2009 	 Beautiful Trendy Central Located Brilliant Service ( accommodate Coeliac ) 	 Travelling Australia transit 30 hour absolutely exhausted . flight land early London ( 6 am ) time get immigration way hotel 8 am , hope desperately would allow check room early need shower little sleep peep ( note , check - in 2.30pm ) . staff accommodate whilst room not immediately available , wait lounge little less hour make room . initially think ' city king ' room little small , really well fit - out actually quite comfortable meeting need ( especially ensuite separate walk shower bath , come handy soak sore foot day walk around London . my main concern travel Europe time , dietary requirement think would need ensure carry gluten free product time ( especially tour european country ) yet , absolutely astounded ask waitress , hotel restaurant breakfast gluten free bread . provide additional charge . note coeliac , early Sunday business district get act together , local tesco close although waitrose supermarket short 15 - 20 min walk open 11 am obtain gluten free snack road . small centralized selection bread , roll , ready - make cake , muesli , rice - cake & amp ; snack bar . also check Tesco ' follow day ' appear many option . quite bit research consider book initial accommodation join tour 3 day arrive London - whether stay hotel tour leave , would convenient mainly terrible review stay central London make way set - off point day tour . review book hotel & amp ; well justify . confirm pictures hotel website current . tour depart early Tuesday morning 6.30am Victoria therefore concierge organize cab collect 6 am also kind enough organize breakfast deliver room 5.45 ( 15 min officially start deliver breakfast 45 min restaurant even open breakfast ) - another brilliant example staff go way accommodate guest . grateful & amp ; impressed . end book accommodation directly Apex Hotel website - short break package include continental breakfast every morning save around $ 50aud night compare book either expedia.com wotif.com ( ' breakfast inclusion ) . overall stay lot different hotel around world one truly world class without blow budget . would definitely stay recommend so … . 
 Aug 24 2009 	 Excellent stay 	 enjoyable stay Apex , choose review site . stay one night , find staff , room service hard fault . feel modern , nice view towards Gherkin . hotel within two minute walk Tower Hill tube , close Tower London . location quiet , couple pub close by . our room ' superior ' , get free upgrade , huge , perfect two . 
 Aug 24 2009 	 fantastic 	 return weekend stay nothing praise place . the location great - 2 min walk Tower Hill tube easy access whole London & quot ; city & quot ; quiet night . we book Deluxe King room top floor , fantastic . nice modern hotel room change , rather typical old fashioned room one get use . view window Tower Bridge especially good - price basic box room west end . look . 
 Aug 23 2009 	 appalling experience Apex City London 	 weekend travel London friend event host Google Headquarters . we book stay Apex City London basis excellent review Trip Advisor . unfortunately moment arrive expectation wholly subvert service wet downhill . we book reservation online Superior room promise upgrade deluxe room due mistake advise we size room hotel 's online customer service advisor - friend require separate bed , least sofa bed ; tell Superior room would fulfil need , double checking via phone tell incorrect , eventually offer upgrade deluxe room . arrival hotel tell room yet pay , despite provide credit card detail initially book . turn credit card detail take reserve room we , payment take . however , turn hotel , would magically possible bill card , accord wonderful lady reception . would major issue , apart fact trip pay , credit card . tell lady reception ( initially serve Aga , pass onto another female colleague , whose name know ) visit Harrods arrange one store manager 's ask whether would possible store luggage whilst visit store , closed , would rather pointless we sit wait person pay trip email hotel card detail . however , request refuse , surprising consider excellent customer service hotel 's review often mention . wait card detail email , sit hotel bar , offer drink snack , let alone glass tap water . return reception desk two occasion check whether information email , hear receptionist ( second one serve we , Aga ) talk someone phone address ' darling ' multiple time , give impression personal , inappropriate call , know .. happened twice keep wait time finish call check email . eventually email come , complain delay , tell would able leave luggage reception return later - forgot mention originally ask . well , thank receptionist 's utter incompetence delay hour half . finally card detail arrive , check twice confirm room upgrade deluxe room , confirm concierge duty time , receptionist 's serve - think least get one thing right . go ' deluxe ' room sixth floor ... \at first glance room ' okay ' , would standard room , room describe ' deluxe ' scratch . quick inspection review bathroom counter mark brown stain curtain . linen good , although pillow soft ; tv small , surprising hotel website describe tv widescreen Bose surround sound system deluxe room . kindly , hotel include two bottle water room - not last long neither friend drink anything since arrive hotel , put extortionate price hotel charge even water - would nice offer drink delay . whilst mentioning room , want compliment lady housekeeping clean room day - excellent job , always polite friendly pass she . however , room description clearly meet website deluxe room , contact reception phone confirm put right room , apparently be . after return evening staff reception change , greet gentleman friendly polite - nice contrast staff previously meet . reach room , realise forgot toothpaste , gentleman reception say would bring room . also decide order dvd ( nice selection ) call reception order one ; person reception tell ask person deliver toothpaste , find bit rude considering would sent 6 floor , think consider minute since request toothpaste , could do one trip . anyway , toothpaste soon arrive personally deliver polite gentleman early meet reception , mention dvd apologise make make second trip , polite , friendly - excellent . after spend Saturday Google ( arrive Friday evening ) arrival hotel receptionist first serve we , Aga , hurray . decide ask room , website clearly say deluxe room Bose surround system , could see speaker whatsoever . confirm correct , tell put deluxe room , despite yesterday confirm . tell confirm put deluxe room , repeatedly tell remember ( hotel manager read perhaps could check memory staff hire future , always help ) . eventually speak another gentleman , Gaurav , apologetic polite . after go room call speak Gaurav tell problem experience well - apologetic say manager available could not esculate complaint till Monday ( check Sunday morning ) . say could upgrade we deluxe room immediately decide little point already 11PM check morning . send we two glass complimentary wine , nice . also offer upgrade stay next time visit , , quite frankly , will not visit - really surprise ? go , 's stay Apex City London . certainly not live 4 star many positive review website . deal several utterly incompetent member staff , housekeeping lady , gentleman bring dvd , Gaurav , service experience , note conclude opinion entire stay , dismal . 
 Aug 21 2009 	 pleasant stay 	 everything Ok hotel . clean , luxurious , continental breakfast rich , free Wi - Fi , Complimentary newspaper , room service , location . would recommend would stay ! 
 Aug 20 2009 	 great hotel base see London come back relaxing space . 	 stay City King room base review site not disappoint ! room around corner Tower Tube Station make life easy get anywhere city ( buy 3 day Tube pass , hop day ) . Tower London nice river walk close . arrive London travel 18 hour sleep , not think go energy anything first day . check hotel , take shower ( nice shower bathroom ) little nap comfy bed ready go . first stop Tower London since right ( get 2 - 4 - 1 deal web ) . enjoy location nearby pub ( financial district feel safe , even night ) . nice relax long day run around London . bed , A / C , bathroom , shower great . staff also wonderful really helpful . continental include find fill , healthy start day . not order menu , can not comment look bit expensive , 's London . save money nice dining experience elsewhere country trip eat hotel breakfast , cafe lunch pub dinner . 7th floor , outside walk around great view Tower Bridge ( especially night light ) .If & quot ; non - positive & quot ; , would room not big . big enough get around , corner chair , desk nice flat screen tv wall . good sized closet , small frig safe . go London impression room average small sized compare place , not surprised . bathroom nice size though , big guest bathroom home far . hint- watch website deal book way ahead time . get great deal save 50 % promotion go . 
 Aug 18 2009 	 wonderful Hotel one Block Tower London 	 arrive Gatwick 6:30am past June 10 , 2009 , arrange London Country Tours transfer we Apex City London . drop luggage hotel short half block walk Tower London . check we hold luggage secure area return . bell service outstanding , great help departure well , include call transportation service bit late pick we . spend hour Tower London , return Apex City relax room ; book two room . one teenager , one adult . the room clean , spacious , large bathroom separate bath shower . outlet convert 120v shaver , well overhead speakers TV want ; never encounter hotel bathroom . supply shampoo , conditioner lotion large 125ml bottle . room free wifi service , small refrigerator , iron ironing board , hairdryer , digital safe . service room outstanding . the continental breakfast include tray cold cut , salmon , cheese , well fruit , cereal pastry ; adequate we eat morning . walk towards Tower , least three pub , two good food menue . two three block direction take one Fenchurch Train Station , Fenchurch Street able find Jessop 's Camera Store purchase battery charger camera . couple ATM 's bank branch well . Fenchurch Station drug store toiletry softdrink water , one really american fast food ... Burger King . the location great purpose proximity Tower London . besides Tower tour , arrange ticket Ceremony Keys Tower . ceremony 11 pm , short walk hotel . transportation rest London quite easy Tower Hill Tube Station two block away , Thames River Boat stop Tower London pier . boat trip Thames Westminster Pier Big Ben nice sightseeing tour river . ask would pick East end oppose West End London stay , proximity Tower London answer . Apex City London provide we quiet , modern hotel choose location Tower London , insure vist London would fill many fond memory first stop european vacation . 
 Aug 17 2009 	 Lovely Hotel Fantastic Value Money Great Location 	 fact hotel get great review make choice stay easy . always stay budget accommodation visit London get excellent rate Apex go ahead book 2 night . hotel great location short walk Tower Hill underground station easy find . great location Tower London , Tower Bridge , St. Paul ' etc . stay weekend imagine area London probably much quieter would mid week ' altogether bad thing . check straight forward hassle free . room locate top floor hotel . ' spectacular view room lovely bright , comfortable bed bathroom lovely separate bath tub shower generous sized toiletry provide . not spend awful lot time hotel . breakfast include rate continental breakfast tell arrive morning want English breakfast tell pay extra . annoy little . continental breakfast feel could much well selection choose buffet . breakfast room little small side fill quickly nice bright staff pleasant . 
 Aug 14 2009 	 Book ! 	 excellent accommodation well locate . staff friendly helpful - Tube Tower London doorstep . dine good choice restaurant within walking distance either side Tower Bridge . love rubber duck ! ! 
 Aug 14 2009 	 conveniently locate major site lovely accomodation . 	 certain Apex would live 's online photo praise , however need doubt . even beautiful hope . love 's sleek , minimalist decor throughout . lovely new age look amidst old , historical building around . avail restaurant room service prefer experience nuance available us town . , doubt food Apex ' Addendum , would every bit outstanding rest hotel , albeit bit pricey compare local pub special enjoy . 
 Aug 14 2009 	 fine amazing 	 hotel modern , clean fresh . breakfast good . staff pleasant helpful . nice hotel perhaps little business orientate bar area small atmospheric . nice room though nice touch . good location . room service menue bit limited . 
 Aug 14 2009 	 Excellent City London Business Hotel 	 nice quality hotel conveient location City London . also badly place tourist Tower London nearby , along good transport link rest London . check - in great though - put we smoking room without ask we . complain upgrade we nice room apologise . apparently whole 2nd floor smoking , watch . also first room dark , try get room high ! upgrade deluxe room nice ( see attach picture phone ) . Widescreen ( CRT ) tv , free internet ( ok speed ) big bathroom separa shower . bed super - king , bit uncomfortbale ( could feel spring ) . room service ok quality deliver quickly . lot good chain restaurant surround area . 
