great 	 world travel gay couple rarely find homophobia . upon arrival hotel greet young lady front desk . ask we three time correct want king size bed . assure correct sneered look like go ill . maybe , defense . warm greeting . the next day ask concierge time TKTS discount broadway ticket booth Times Square open say idea walk . stun we . later day different concierge hand helpful . room huge , comfortable clean . location can not beat . recommend hotel friend probably stay somewhere else next visit NYC . 
 like home 	 really really like hotel , nice place , easy reach mean ; service perfect , price effordable worthy people gentle . 
 Beautiful Hotel RUDE Front Desk Personnel get low mark 	 hotel surprisingly beautiful woman front desk horrible . misdirect room go hotel trying find , keep insist direction accurate . take colleague notify direction flaw even notice still not apologize look computer . later need call front desk person answer - quickly interrupt conversation response hang . beautiful hotel staffer work MOTEL , hotel . recommend hotel mindful rude staffer 
 apparently many folk think be Leona Helmsley 	 stay past ( 2009 ) Thanksgiving complaint whatsoever . the room ( king smoke 14th floor ) large comfortable clean . my good tip ? * * roosvelt deli west end block . cheap , friendly ( ! ) , open 24/7.i think 's safe assume property renovate part Holiday Inns ' & quot ; makeover . & quot ; , ask two cent ' worth , would bring two things:1 ) bright lighting , 2 ) ice machine every floor -- currently be stagger . meanwhile , must say like . travel would prefer , would definitely stay property . 
 Basic Accomodations .... get pay 	 bad hotel mean ... basic run . decor old drab , location mean great . however , far Columbus Circle , Central Park choice , right . unfortunately , get stick hotel Hotwire . sometimes get good , sometimes get bad .... time drab . 
 Nov 7 2009 	 impressed 	 hotel great location . room clean spacious . stay 5 night maid bring we fresh towel tidied room everyday . breakfast coupon eat breakfast hotel . breakfast good , problem w/ service . bar expensive , $ 7 beer $ 12 cocktail . hang bar due . find great bar 1 block hotel w/ well price . ( DJ Reynolds irish pub ) lot great restaurant around corner . diner across street , husband walk diner morning left get we cappuccino , good . street noise day , seem quiet around 10 pm . would stay . 
 Nov 3 2009 	 must read Hotel ok great portray 	 wife stay holiday Inn Midtown 10 day . surgery Sloan - kettering confine hotel 5 day . pro good location tourist , ok we . clean lady star hotel extremely helpful kind . hotel meal good . staff apprear professional orderly . con room damp musty smell , air condition ( season change ) hot ! ! window open week least 6 inch would open . good sleep hard come due noisy new york traffic outside . stay see one full grown roach run across floor . hotel wheelchair wife could use customer allow take wheelchair outside ( useless ) . wife surgery Dr order we stay new york extra 3 day ; however Holiday Inn help extend stay . make resevation move another hotel block away . continental breakfast . meal pricey include room 
 Oct 31 2009 	 location : excellent room : ok everything else : poor 	 stay mid October 5 night . book hotel request high floor , non smoking room . give smoking room mistake , instantly get change non smoking room fairly easily . new room ( ' smell ) main tower 8th floor . the 3 lift main tower busy early morning everyone go day . wait several minute lift try cram pack one will not uncommon . the room give also right next lift shaft dull rumble lift go could hear thankfully stop night … which time really matter sight seeing day . as review mention hotel desperate need renovation , specifically lobby hall way floor . look tired depressing . the room large , clean , comfortable bed typical " Holiday Inn " standard expect complaint . miss room safe though find odd . the plumbing bathroom little outdated find shower get excessively hot whenever hear toilet flush nearby room . this mean 5 star hotel ' go expect . location excellent money pay , fairly happy whole experience . ' also upload video room watch . when check leave bag hotel evening flight want explore last day . bellman offer arrange car back JFK $ 60 ( tip include ) . ' read tripadvisor people put actually think good deal take offer . ride back JFK 4:30pm take hour 20 minute nice SUV.I pay $ 60 cab JFK hotel ( flat rate + toll + tip ) ' hear get cab back airport would difficult one want take anyway car make sense I . if return New York ' stay , well review hotel less area price . 
 Oct 31 2009 	 good 	 check staff friendly helpful . get room big clean bed comfortable however bathroom ok need redecorate . not meal hotel thing walk quite bit nearest subway station . 
 Oct 31 2009 	 Faded tired 	 travel across USA tour organise Great Rail Journeys York 7th 27th October 2009 . 3 night New York Holiday Inn Midtown . we think hotel big need refurbishment – decor dark ( green , deep red brown ) fade tired looking . large number new mattress deliver ! room clean adequately service . bathroom ' old fashioned ' extensive use plastic bathroom erratic shower queen sized bed comfortable give we good night sleep . tv reception poor could clearly hear family next door . in - room safe . ' eat hotel Pool closed season . concierge helpful arrival take staff hour deliver luggage room . 
 Oct 29 2009 	 Good Location Smiles : ( 	 hotel win price location ! can not argue represent good value room / bathroom adequate . however , greatly let staff treat we everything much trouble . book 2 room family re - union travel opposite end world spite book 4 month ago hotel could put we floor . caution other : travel flight different part world arrive significantly different time . make book hotel would allow family check arrive , spite copy book confirmation surname . also charge leave bag hotel arrive . on one occasion room not service ( ok , accept anyone make mistake ) go ask shampoo coffee ( one complimentary coffee give day ) , finally bring room person go huff give tip something do anyway . bell staff also keen push guest unofficial overprice & quot ; taxis & quot ; oppose cheap yellow cab . throughout stay never get hullo good morning give feel guest , far pay customer nuisance . however like coffee machine room ice machine corridor . move Holiday Inn Falls Niagara Canada , difference attitude helpful staff like breath fresh air . Visitor 's tip ( New York run sort tip one ' get free ) : stay , try Morning Star Restaurant breakfast ( turn right come hotel , cross road 's corner ) , be good value staff helpful suggestion idea visit ( be shame work hotel ! would recommend hotel price location staff . 
 Oct 27 2009 	 fine hotel great location incl roof pool ! 	 hotel fine holiday . room small ( like tourist hotel ) ok.great POOL 14th store view city . great day shopping heatness june ! 
 Oct 19 2009 	 Tired 	 Part long journey USA - stay 3 night . extremely poor reception non american staff . overall impression hotel need refit - drab . good sized room . position good Opera Central Park way attraction particularly well site subway . eat hotel breakfast option available locally 
 Oct 15 2009 	 Convenient 's . 	 partner stay week September north face room ( direct sun day ) dark ; room distinctive damp smell entire time ( even cleaner ) . bathroom particularly bad . end buy deodoris corner store . room tired hotel need renovation point . effort make present towel etc aesthetically pleasing way . arrive thing strew bath rail staff care . hotel pay attention sort detail standard room similar price . perhaps $ 300 night 's get NYC ? say though concierge team helpful housekeeping staff pleasant well . however , porter acknowledge we offer help way entire week . fact interested lean desk talk amongst . attempt make help we luggage arrive . second day venture pool area greet think pool hand look like drag street . ( wear uniform could identify name tag worry could rob harass guest ) make attempt acknowledge we offer we assistance clearly hostile young man . end leave pool feel unsafe unwelcome . , context one would think front house staff would least smile rather grimace guest . finally , condition hotel totally offensive rather tired . porter pool staff make feel uncomfortable would stay . reception staff ( except woman check we ) indifferent reluctant offer information odd occassion make request . I previous occasion stay Holiday Inn Soho far superior experience one mid town location less pay Holiday Inn Midtown . fact book non refundable advance purchase room ( big mistake ) would leave 1 night go Soho rate Expedia.com cheap week stay . 
 Oct 15 2009 	 Great Place Tourists 	 visit New York week less would recommend hotel , sure be nothing special 's reasonably price good location . be like want somewhere put head night will sightseeing etc . , place that . the hotel 10 - 15 minute walk Times Square plenty place eat , 7th & amp ; 8th Avenue , within walk distance . also , would mention hotel seem one quieter street New York , help , New York probably noisy city ' ve ever visit , will glad reduce noise . 
 oct 8 2009 	 perfect location 	 great location - near Central Park reasonable walk away Times Square . room good - sized clean & amp ; mod price 
 Oct 8 2009 	 New York city August 	 stay 57th st Holiday Inn great neighborhood summer . quick walk away Central Park , Lincoln Center . block subway . overall great trip . hotel nasty though , stay base review Trip Advisor , not know be go . swimming pool save longue chair & quot ; member & quot ; pool . hotel guest . sit & quot ; sun deck & quot ; , chair . pool scam . accept nowhere reasonable Manhattan outdoor pool . 
 Oct 5 2009 	 Spot Location Great Value 	 stay may - book direct hotel website . got room top floor amazing view city . leave curtain open night viewroom big expect clean . downside - enough lift . handy subway 20 min stroll Rockerfeller Centre . would stay without qualm 
 Oct 4 2009 	 good value clean facility . stay ! new MATTRESSES SEPTEMBER 09 	 travel wife two young kid New York . booked holiday Inn becuase ridiculoulsy price like lot New York Hotels . happy , clean bacthroom , clean room , nice pool everybodie information leave ( september 8 2009 ) change every mattress entire north tower brand new one . I seem find lot whinger site want Waldorf Astoria Holiday Inn budget , want well open wallet . want good , clean honest accomodation walk central Park , 9th avenue restaurant , even Times square can not beat Holiday inn.and restaurant serve reasonably price breakfast ! 
 oct 4 2009 	 like BIG cockroach ? ? ? ? ? 	 stay Holiday Inn 2 night -- get good deal internet , location seem good -- close public transportation block PINKBERRY ! : ) be old hotel , show age . noisy , hear every time someone floor flush toilet . night , 4 morning , awoken people run hall scream yell . would okay , however second night daughter wake we scream 3 inch cockroach crawl across face . catch . check , bring manager , impressed . even apologize , simply look cockroach normal occurrence , shrugged , say , & quot ; be nothing , & quot ; bored countenance . never stay ! 
 Oct 4 2009 	 ok - sleep ! ! 	 date hotel need refurb . room clean enough - air con pretty stuffy . open window inch would allow end cover mosquito bite , pretty uncomfortable rest holiday . plan hotel time use get wash / shower etc sleep ok , although bit way , subway couple block away . save grace really around corner 9th avenue lot really nice restaurant bar tell New Yorkers eat drink - try extremely nice price not bad either ! ! 
 Sep 27 2009 	 location excelent 	 reading review holiday inn happy go . what great surprise get . we book american holiday could made difference accommodation get . our room spacious clean excelent view 17th floor overlook swim pool bay right side new york skyline . we never close blind fascinate could see . I worry people say smell tobacco loppy corridor do not know part build in . the building old well keep clean fresh towel every day sheet change want . bathroom small live five days.i find every one helpful . I definitely stay . 
 Sep 24 2009 	 could not wait check ! 	 arrive New York 10 pm stay one night particular property , must receive last available room hotel floor street level loud ... bathroom tiny , bathroom sink locate bathroom next room door , ... strange . private go share room . next morning , wake scratch noise .... yes , rub sleepy eye , peered see rat run across floor . end build pathway furniture around room not touch floor ! ! needless say , pack thing record time check . check , informed staff happen , kid , look , continue type away computer - nothing say . frequent traveller stay numerous property around world , certainly one would recommend . absolute rip get return . 
 Sep 21 2009 	 good stay handy location . 	 stay location start point roadtrip Cape Cod & amp ; Boston , hotel good average hotel , nothing really shout great base explore city , major issue , room clean & amp ; well maintain , plenty room family two adult & amp ; two child , rest hotel also clean & amp ; seem well maintain , stumble point elevator , 4 elevator large hotel full tourist add wait , know bit pain time . the rooftop pool great & amp ; small bar serve drink & amp ; simple snack ( hot dog , ice cream e.t.c ) nice touch weather hot . as already say one good point location , easily walk several place problem include Central Park & amp ; Times Square hotel , check in / out easy & amp ; quick , maid service good , great place stay visit NYC . 
 Sep 19 2009 	 good value 	 give hotel 4 star mainly value . prepaid get 5 night $ 135 per night absolute bargain . hotel excellent area , room whilst old clean large . quite dealing different staff find courteos helpfull . pool area clean relax one reason book hotel . would stay get good deal 
 Sep 18 2009 	 good deal love location ! ! 	 book hotel , skeptical reading review . priority member stay Tower twice . one time low level one time high level . yes , hear slam door people talk outside hallway . elevator ok we . one time around 11:30am lot people check , elevator slow . time fine . little place like lamp , remote control work , mold shower curtain , really bother . guess fussy person . service friendly , expect New York City . care location big clean room . one time doorman ask we want taxi get hotel limo we go La Guardia charge we $ 35 felt get rip . ( come back city take taxi meter , $ 27 ) . , next time go JFK , get cab ourselve . location , easy get cab . save tip doorman . would stay hotel price good love location not need crowd tourist place like hotel Time Square . 
 Sep 14 2009 	 good value money 	 never New York go 25th wedding aniversary . read review small room decide go well know chain , fact pool roof help ( time use much add bonus ) . helpful staff , clean room good location . Deboragh Stuart North East England 
 Sep 13 2009 	 good ! 	 room clean , bathroom .... IUt need major renovation ; toilet bowl disgusting .. lobby also need major renovation . this hotel convenient location . worth $ 50.00 night ... 
 Sep 10 2009 	 good clean hotel 	 stay hotel back August ..... say room clean ... 5 star hotel location pretty central many attraction . staff courteous although lady desk first arrive bit standoffish , perhaps tired long trip bit hypersensitive . the cleanliness room make though ...... one instance leave little note cleaner clean glue around toilet great surprise . corridor elevator lead room terrific would give hotel 4 star overall cleanliness location . 
 Sep 9 2009 	 New York ! place crash busy day ! 	 arrive midnight tired , night receptionist lovely helpful check we quickly efficiently . double book put we first night top floor suite , quietly disapointe see two room one bed pull sofa bed . look extra bedding none apart sheet pillow already pull bed . care tired do not matter ! next day move 7th floor room fine . the room seem clean , provide iron board , hairdrier etc normal thing . there ice machine 7th floor . mini bar . I use safety deposit box room disappoint one reception area , do not bother keep stuff I . it would nice kettle room , perhaps that s british thing , quite sad buy tea bag boil water coffee maker ( quite resourceful ) .breakfast ok , seat arrival dining room offer orange juice tea , coffee chocolate . Most menu involve egg form another , pancake nice french toast lovely ! always offer Corn flake quite other ask . every thing charge separately priority club card point accumulate provide discount $ 10 bill . ( normally cost around $ 20.00 2 us morning . the location really good near attraction one taxi walk back every night Time Square area . we regret turn right hotel every day last day discover amazing cafe resturant turn LEFT ! hotel practical need priority sightseeing sleep ( recover blistered foot ! ) . Sign Priority Club card chain hotel accumulate enough point benefit 2 free night discount breakfast . ( help spend extra good show Comedy Club ticket . 
 Sep 5 2009 	 happy stay 	 stay five night trip New York holiday . check quick , friendly efficient . room clean quite cosy feel place kind . cable channel TV . housekeep faultless . not try breakfast . Rooftop pool reasonable size lot sun lounger available use ( NB - pool available summer month ) . overall , place feel welcome £ 90 per night represent decent value NYC . would definitely consider stay . 
 Sep 3 2009 	 nightmare ... bad dream 	 choose hotel strictly location price point not expect much since want somewhere safe clean sleep good central location . hotel deliver ... BARELY . Stayed August 31 Sept 3 , 2009.First good : mention location price definitely acceptable . safe close subway point interest like Central Park . housekeeping friendly always greet we smile . room spacious ( tower B ) . not time use gym well equip ( privately own ) free guest . head east end block will find fantastic diner call Morning Star Restaurant . family own service & quot ; New York & quot ; charming ( mean good way ) . much see outside ... much inside food perfect service friendly . regret remember two waiter name really good guy . friendly helpful , feel free ask advice , direction suggestion . price also reasonable unlike many flashy diner . the bed comfortable a / c work well although despite little bit noisy . now bad : we , customer service important . parking guy okay impressed lean car unload bag ( bell hop see ) . guess really not care since not work hotel contract parking company call Apex . bright note cost valet parking reasonable ( $ 25 / day ) get car back quickly without noticable scratch . interact 3 different front desk people 3 different occasion clerk speak never offer smile anything resemble warmth .... fact one actually stop smile approach . job honestly , hard little friendly ? hello ! ! HOSPITALITY business ! small fridge cost $ 10 / day . discover call request one decide think . next day decide invest convenience fridge since ice machine floor ( one break one floor barely work ) . time inform would cost $ 25 / day . attempt clarify $ 10 yesterday today $ 25 ... respond & quot ; send one & quot ; . & quot ; well much cost & quot ; reply , respond & quot ; complimentary & quot ; . still not know exactly happen one time 2 wrong actually make right ... wifi hotel slow inconsistent . not wire option sometimes would give message many user connect ! bathroom .... counter space interesting stench ... body order / urinal like bouquet greet nose upon enter room . entire hotel also unique aroma ... old cigarette smoke compliment cheap air freshener delicate touch must . decor also depress serious need renovation . summary : decide hotel would like stay . we , future invest little bit money nicety hotel apparently deliver . 
 Aug 31 2009 	 Run idiot ! disgusting hole ! 	 arrive hotel ask credit card security tell would charge room end stay , happy . later evening go purchase something credit card astonish find Holiday Inn clean credit card ! demand fund credit back card immediately staff rude dismissive simply refuse . family transfer money overseas hotel clean ! ! ! ! arrive room come smell cigarette smoke . informed front desk book smoking room dismissive . place 14th floor time lift work . average half hour wait lift fire escape lock not even option . bad need factor & quot ; lift time & quot ; daily plan . room minimal lighting amongst smell stale cigarette smoke feel like live cave . none power point work neither T.V . overall appearance hotel depress run . staff suffer chronic depression concierge shrug shoulder ask recommend activity . would not recommend hotel anyone . hotel ruin holiday . be dodgy disgusting . 
 Aug 29 2009 	 Non smoker beware ! 	 first time NY look bargin 3 night 4 day break . hotel fit bill . friendly helpful staff , roof top pool although busy sight - see see , good location , spacious room believe premium Big Apple . if book ebooker , great efficient , remember read small print even book non - smoking room request hotel . you must ring HOTEL DIRECT REQUEST ! 14th floor stink stale cigarette ! ! ! ! room quite bad . we could not change room full request new pillow also smell . not ruin fantastic trip want pass tip . also do not bother transit bus JFK Manhattan . wait 30 min crowd stuffy mini - bus . take cab , must worth extra dollar . fantastic trip . good hotel already save return . 
 Aug 21 2009 	 wonderful stay ! 	 lovely place stay New York ! location good , staff friendly helpful , room clean spacious ... hotel locate couple blok away Central Park metro station close . could easily walk take train see spot away . nice place eat breakfast , lunch etc . close hotel . not eat hotel would try time . staff hotel friendly helpful . especially concierge help we musical tickect many thing . room enough room fit three friend room easily clean . bathroom could use little renovating not bother we . see pool top hotel look nice clean not time use . ever go New York will definately stay hotel . 
 Aug 19 2009 	 acceptable stay 	 stay one night attend NY International Gift Show . check - in staff friendly efficient . room ( 1140 North Tower ) large clean . furnishing little worn acceptable . air - conditioner work well time . ask front desk turn message light phone -- could not get . also ask repair deadbolt go dinner , repair not accomplish stay . concierge not helpful finding restaurant -- tell walk 9th Ave . overall hotel great find -- value location . 
 Aug 18 2009 	 lovely surprise 	 title say , lovely surprise reading review , quite anxious trip people opinion need not worry . hotel clean , room large comfortable bed / pillow . ideally situate quiet street away hustle bustle , also within short walk too . the concierge extremely helpful check flight time confirm airline would travel , organise transport airport ( limo ) much 2 taxi would 7 we . food : Europan ( turn leave 9th Ave ) great snack arrive need something quick , try Brooklyn Diner amazing scramble egg polenta . sight see tour bus ( circle line ) good money spend 2 day hop hop tour guide - brilliant . I would not hesitate recommend go back Holiday Inn - free safety deposit box ! ! ! ! pool , bonus need long day foot , shame do not open bit later though . 
 Aug 16 2009 	 Great Value 100 % recommede 	 hotel little gem expensive Manhattan , close everything ! walk take metro . also love hotel participate Linen Reuse program save water energy planet well reduce waste water chemical ... well , since travel little child , one & quot ; accident & quot ; second night place sign & quot ; please change linen today & quot ; door voila ! staff also helpful , room spacious clean , well , maybe could use new carpet ... restaurant good . buy breakfast coupon , useful we . I m pleased happy stay hotel . note not refrigerator microwave room ( ' ve stay HI across country ) , end rent one , 10 dollar per night need milk juice child , cheap keeping room buy restaurant . mean , 5 star ... extremely good pay ! 
 Aug 13 2009 	 Pleasant Midtown Surprise 	 take kid Manhatten day sightseeing , want central , short cab subway stop attraction . hotel close Columbus Circle Central Park , far midtown attraction like Museum Natural History , St. Patrick 's Cathedral , Empire State Building , FAO Schwartz Times Square ( toy r Us ) . neighborhood mostly residential street relatively quiet . front hotel 57th St. 9th 10th avenue , back 56th St. two block room , room either two relatively quiet street face tower , street noise minimize . there small shop eaterie around hotel , course Holiday Inn restaurant site , not use . brand pretty much determine luxury facility , typical brand , popular destination foreign tourist , bother would not stay . overall though expect much bad price . stay Sunday Monday night pay $ 128 / night plus tax , seem pretty reasonable location time year . 
 Aug 12 2009 	 great hotel 	 stay 2 night . everything great ... especially price ! get room $ 119 ! ! ! ! internet AAA discount ! great rate NYC ! convienent anyplace want see ! clean .. check check quick ! get hotel around noon immediately give room . drink lounge , nice ... thing miss would free breakfast ! rooftop pool close 6 pm . would nice stay open least till 8 especially kid . 
 Aug 5 2009 	 great value pool ! 	 travel 12 year old daughter one good friend , 13 year old friend . need hotel pool , even New York , easy find reasonable price 2 double bed ! usually prefer 4 * hotel 3 * , one great value , especially Midtown , close everything . good size room , outdoor pool 12th floor ! girl think great , husband . whole personnel great , front desk personnel concierge . great family value . 
 Aug 4 2009 	 would definitely stay ! ! 	 read review hotel little skeptical getting . , upon arrival pleasantly surprise great hotel actually ! lobby open concept clean & amp ; friendly , room ready early ( wait ) , request refrigerator instal 5 min arrive . hotel room clean receive great service every day ... fresh towel , bed make etc . hotel feel secure anyone come midnight show room key check breeze . request later check not problem . pack , leave luggage bag check feel completely safe free . staff nice , make trip run smoothly enjoyable . 
 Aug 3 2009 	 every service price hotel 	 book room hotels.com requueste 2 double bed , arrive say not request guarantee ( thank God still non - smoking ) - front desk lady nice either . ask rollaway bedand wait almost hour housekeeping . apparently request go front desk charge $ 25 / night ( stay Hilton two night different city rollaway free ! ! ) . last day , want go sightseeing city ask bell service store lugagge charge $ 2 / bag 's oversized bag . already mention everyone else park $ 25 / night , funny thing leave camera car want get car rule valet not allow go car leave parking garage . top , already check want fill gas , find scratch de right mirror rental car ! ! ! ! know not rent inspection rental car salesperson tell somebody try cover somekind paint . PARK CAR valet garage want SCRATCHLESS ! ! ! 
 Aug 1 2009 	 Excellent low budget hotel pool 	 wife stay three day Holiday Inn happily supiorse friendly helpful staff . room clean New York standard large . location hotel ideal . walk distance theatre district , Times Square Moma . subway block away . love pool , little disappointed & quot ; open long . 
 Jul 28 2009 	 safe area good price expensive ny nothing great hotel . 	 arrive CA , travel day not get hotel 1am . reserve NON smoking room w/2 double bed confirmation . however , put nasty smoking room , get elevator , almost get sick smell . young son cry hour smell ... great start . end sleep 3 hour go lobby try rest . morning , go see getting move NON - smoking room tell not available even though night clerk tell we could move morning . forceful tell need find we non - smoking room find we another hotel rate pay , magically find we room . manager arrive , speak conversation check want room fee waive night . audacity say , & quot ; happy 20 % discount last night . check in . & quot ; tell not really much choice since manager staff arrive 1 o'clock morning travel child , need shelter . end give we 50 % one night free breakfast hotel restaurant ( nothing special ) . rest stay pretty much people post . exceptionally friendly staff . nothing special hotel . , good price staying chain know hotel like . AAA card , get rate $ 140 / night ... be pretty unheard area family 4 . would recommend hotel get rate can not beat hotel feel like will safe be relatively clean . chance put smoking room issue , like we , beware might happen might worth . 
 Jul 24 2009 	 great central location 	 hotel nice clean . 's location walk distance Times Square Central Park . not think hotel charge park stay hotel breakfast expensive order , otherwise nice place stay . 
 Jul 17 2009 	 FANTASTIC - PERFECT LOCATION 	 stay ten day end June 2009 . smoking bit naturally linger smell smoke room couple cheapo air freshener solve wee problem . 14 floor fabby view part skyline light night forget perfect view independence day firework other pay $ 25- $ 50 dollar see ahem . room clean daily . downside sometimes wee bit wait elevator hey ho 14 floor 3 elevator serve , one expect ? could not fault location , 10 - 15 minute walk Times Square , fab ? breakfast wee restaurant / diner corner 57th Street 9th Avenue call Morning Star . quaint wee eatery run mainly family member - ace food fast , friendly efficient service , perfect set family day sightsee fab city . fancy restaurant serve food minus ambience & quot ; crack & quot ; three time price , end dinner every night . big hello George Harry Ron . Miss already . I luv New York , third visit . go back , would not hesitate book room Holiday Inn 
 Jul 17 2009 	 good value good location . 	 stay hotel three night Mother , two daughter , four girl room two double bed . end 11th floor nice city view . book another hotel , switch last minute price difference $ 300 + . glad switch huge saving pay meal three day . sightseeing NY , likely spend time room . two young child never back hotel 10:00 pm , go straight bed . room good - sized , big would say , fit four we nicely . state - of - the art , plush . average , substantial , clean serve purpose . bathroom vanity area small , big complaint . carpet could use update . usually like fairly nice hotel ( least 3 - 4 star ) go one base price . want good deal , good location , not mind 's plushy trendy hotel , good place stay . also , CitySightsNY double - decker bus tour love . hop - on hop - off bus tour , two day use bus . see almost major site city atop bus , stop place want see , hop next bus . would highly recommend tour . great way see city short amount time . we love ny , can not wait go back ! 
 Jul 14 2009 	 absolutely horrible 	 husband choose hotel first trip New York . say ... BOOK HOTEL . customer service HORRIBLE . hotel disgusting . walk corridor , smell dust smoke REEKED ! room disappointing . everything piece furniture dirty , grimy disgusting . short , picture website deceive ... stay ! 
 Jul 12 2009 	 Long wonderful stay 	 trepidation make reseration . review glow glower . happy report stay delightful , answer naysayer . room hot summer ? check make sure window close . notice right away small side wondow open . prompltly closed . also lead discovery room darken shade . previous experieence teach block ray keep room hot . mine stayed shut entire six day stay . however , notice several open window across way south tower . perhaps someone staff go close keep air in . this say room temp solely guest . Holiday Inn management need look shortening floor length drape sill length . allow drape close completely without block AC . drape flock insulate maerial heat reflect outside , keep cool air in . antoher issue fret smoke scented room . bring along bottle Febreze . thankfully use . yet , doubt managment would graciously honor request move necessary . staff ... efficient good friend . need help , . expect people joyous every occassion . difficult job . request make kindness meet . 
