say 	 travel Time : November 2006reviewer : Gaurav KumarI happen stay hotel business trip New York . stay month . convenient stay hotel close office , 1180 Avenue Americas . the location hotel excellent walking distance Times Square , plus Manhattan lot eat option around it . the comfortable although staff not courteous ( time even rude ) . check discover phone room work properly . unable take call room , complain tell problem could handle next two day holiday , would do third day . they could change room room available category booking . run reception take call . anyways two day guy finally come , tell wiring problem would take another day two . finally put foot lot argument finally upgrade high category room : ) leave aside stay ok . 
 Sep 24 2009 	 would stay sure 	 Great Location . 2 block time sq . east walk subway . clean comfortable . staff always ball . onsite dining lounge perfect meeting . gym could bit big equipt ice cold water dispenser great . room small comfy desk workspace perfect . stay ther . great wireless internet free . 
 Sep 23 2009 	 clean great location 	 Smaller expected room , not spend much time room . staff helpful courteous . hotel 3 block away Time Square 3 block away Grand Central Station . simple worth every penny . 
 Sep 23 2009 	 great location clean comfortable 	 read review hotel leave frankly expect good experience ... well ' m delighted say pleasant stay . staff friendly helpful , standard room adequate comfortable , bathroom clean shower efficient . location excellent , short walk 5th Avenue Times Square . complaint ... lift rather slow ! 
 Sep 18 2009 	 Great Place Sleep ... stay 	 's joke amongst business traveler stay Club Quarters Close Quarters . room small cramp confused closet door room door several time . internet not work . location great , service not good room great awake . 
 Sep 10 2009 	 Excellent Location 	 hotel excellent location minute walk time square . room : - book studio end executive suite 5th floor room 508 & amp ; 509 essence two identical room queen size bed room & amp ; desk , seperate door single outer door key bit strange annoying go clip outer door open close room door two key . ask move could offer much small room one room already , two room pin open door move around easily . we overlook air con unit quite nosey air con one room faulty , staff fix asap inform . the room dusty bed make staff clean towel every day wish . staff appear miserable help ask . 
 Sep 9 2009 	 terrible impersonal 	 currently stay here . the plus - low price part save & amp ; e expense employer , great location , delivery menus nearby restaurant room , clean room , free wireless interenetThe minus - impersonal - staff reply say good morning . direct computer check . ok . need staff guess . closet room small even NY standard . like hang clothe hanger stick protrude wall choice .. temperature control air conditioner ignore freeze , cheap poly blend sheet pillow case , wake itchy . Maid replace add new soap shampoo go two night far mini supply . if super budget get good price stay - otherwise , skip . would pay difference pocket next time comfortable . 
 Aug 21 2009 	 Luv New York 	 spend 3 fantastic night Club Quarters Midtown location . previously stay & amp ; really enjoy location Wall Street want close action Times Square decide try Midtown location . friend wonderful experience & amp ; recommend hotel highly . first 's , clean , include bathroom . also , sit room beautiful & amp ; 2 computer free internet use . also tiny gym free bottled water drink . location perfectly locate close major New York attraction & amp ; amazing restaurant . not forget eat Junior 's restaurant make sure go be really really hungry portion size , include regular cup coffee gigantic cheesecake ( many different kind choose ) die . visit New York time & amp ; really enjoy visit . also , hotel quiet especially night even though 's heart downtown . visit hotel , ' m sure will enjoy stay ! thank Club Quarters ! ! ! ! 
 Aug 16 2009 	 Great Value Money 	 get room Priceline steal March 09 . stay 5 night . hotel location E 44th Street could not well . 5 minute Times Square , 2 minute near station Bryant Park station ( recall correctly ) . hotel check automate ... however , problem , credit card name not match book name . make sure correct make booking . book standard room believe upgrade next room category room large plenty space . bathroom bite tight , shower tempermental , nothing serious enough warrant bad rating . tiny window back room offer little light . also two internet terminal printer lounge guest use . lounge also offer free coffee tea every morning . cafe directly opposite hotel excellent . although book pay online Priceline , check , hotel charge we . email hotel reverse charge ... lose money due forex fluctuation . Unnecessary hassle avoid . if use hotel place rest leg whole day wonderful NYC , could not well . location ace . would come back place get wonderful rate get Priceline . 
 Aug 14 2009 	 poor service - expect well reading review 	 Downside : book standard room 3 week advance confirm reservation week hand . arrive hotel front desk noon tell room immediately available need clean . leave bag hotel go day . arrive back Hotel 11 pm tell standard room take club room available . check soon room available ? well , not answer . People front desk friendly either . club room small - use be stay alone . room well insulate noise neighbour noisy . could hear entire movie watch adjacent room . not get road facing room ; noisy - lot hooting . hotel old plumbing great . problem tiolet flush . plumber quick arrive , sorted problem quickly arrive . upside : room clean neat . location good - close 5th ave , rockerfeller times square - many hotel . Verdict : offer 10 % discount next stay hotel , would pay stay elsewhere . stay Marriott Courtyard 40th street first visit pay extra $ far pleasant experience . 
 Jul 25 2009 	 great quality great price center NYC 	 comfortable room soft bed , table chair . free WiFI . coffeemaker coffee . but be important , be great value be locate 5 minute walk TImes Square . 
 Jul 9 2009 	 great value location Manhatten 	 although room first night small ' view ' brick wall bunch air conditioning unit , move high floor rest stay perfectly nice room -- large comfortable bed , decent desk work , nice modern bathroom . staff helpful give direction arrange ride airport upon departure . time elevator busy -- many time one work , leave one small elevator service entire hotel . unwanted noise hear slam guest room door ( side , risk go close lock behind leave room ) . also small technical problem internet printing service hotel . not work , lady front desk little clue . two pc lounge first floor laser printer , bring document USB stick print . door hotel great Kosher restaurant , Milk'N Honey . go breakfast every day ( http : //www.milknhoneykosher.com/ ) . 
 Jul 4 2009 	 clean small biz hotel 	 good corporate rate . clean room . okay sized room . free internet . perfect crash night - not expect spend much time building . great midtown location . soap shampoo stop CVS . 
 Jun 30 2009 	 Location location location ( plus service ) 	 review property criticize concierge / desk personnel unfriendly . not find . welcoming , warm , helpful , eager assist way stay . get good rate hotel Priceline pleased choice . the location great -- walk distance many place ( walk to / from Times Square , Rockefeller Center , Grand Central Terminal , among place ) , centrally locate uptown bus ( Madison Ave ) downtown bus ( 5th Ave ) well subway station ( Times Square Rockefeller Center ) .housekeepe room great , room quiet , large expect , love free internet . also like could turn & quot ; fan & quot ; AC system , since chilly enough ( even June ) stay AC not & quot ; want & quot ; turn -- want move air fan setting let it . I love refrigerator microwave room well ( something website call something like & quot ; suite & quot ; & quot ; minisuite & quot ; & quot ; junior suite & quot ; ) . use hotel 's shopping service bring soda ( would not haul around ) work well . business center free printing great ! recommend place -- think ( maybe report Trip Advisor ) work hard come across & quot ; friendly & quot ; guest . pleased . 
 Jun 25 2009 	 Excellent location friendly staff make a+ experience 	 stay Club Quarters Midtown may 26 - 30 , 2009 win bid Shatner 's website . hotel prime location 5th 6th Avenues , second 5th Avenue shopping 2 minute walk Broadway . unlike reviewer nothing polite helpful attention staff . walk us semi - self check - in process . elevator tiny luggage fit fine . room cozy - typical NYC hotel room - never felt cramp . plenty storage stuff . bathroom small reminiscent cruiseship bathroom - ingenious storage room everything . room two window face unattractive inner courtyard - stay room view . comfortable bed , extra pillow upon request room spotlessly clean . free wifi work hour . absolutely nothing negative say hotel would stay heartbeat . 
 Jun 9 2009 	 great hotel/ location/ Love ! ! 	 stay CQ 5 night , walk service great . employee front desk friendly ( little worried review ) great . show we use self check ... go room 4th floor . got room , lovely ... everything think would . room little small expect . cute ( working ) fireplace wall ... washroom clean ... great deal ! first day leave shower matt floor attract ant , call front desk within minute someone clean getting rid ! never return ! ... really not big deal hotel great ! last day self - check take bag fly later night . advise return least 10 min need leave could go get ... return ... issue ... cost money . great ! hotel awesome ! walk distance everything/ small enough feel like boutique hotel ! room clean/ comfortable ... would stay recommend anyone everyone ! wonderful trip NYC ! thank CQ ! ! * * Head Hells Kitchen 9th Avenue dinner ... min walk amazing food ! 
 Jun 5 2009 	 Nice hotel great location 	 thoroughly enjoy one - week stay Club Quarters Hotel , locate heart NY Midtown . 5th Ave around corner , walk distance Empire State Building , Times Square Central Park - mention fine shop restaurant . some reviewer seem issue hotel staff , especially personel front desk . although employee not appear friendly ( e.g . not greet upon enter lobby ) , use hotel guest rather limited check - in check - out procedure totally computer - base . far room service staff satisfy extremly helpful whenever additional item towel , toilet paper , etc . need . we not make use breakfast arrangement not seem worth price ( $ 5 bagel , apple bottle water ) . opposite hotel nice café offer large variety whatever heart desire - quality pricing good . the thing rather annoy extremly loud air - conditiong system locate back yard hotel . system run day night , mostly high speed . unfortunately room seem window face particular part building . however , tour ny demand great deal energy fall asleep immediately not notice much noice . all Club Quarters Midtown great place enjoy stay New York ! 
 Jun 3 2009 	 's location 	 take trip NYC catch couple Broadway show hotel short walk Times Square . price , location excellent . could find well ? probably ... probably would pay . desk front door always staff everytime pass time actually deal staff member motion we kiosk check hotel . never see staff hotel entire time . someone rely hotel staff anything , probably place you . the hotel old showing wear . elevator tiny slow . lighting hallway room little dark side well . room small clean . small sofa along small kitchen - type area sink small refrigerator . bathroom clean look like make sloppy repair tile shower floor . also look like make repair ceiling room use glossy paint instead flat paint ceiling odd paint streak . ( see picture . ) large room first floor past elevator 2 computer public use . able check e - mail there . Overall 's fine frill hotel fantastic location . would hesitate stay . 
 may 26 2009 	 fine hotel good location 	 good base explore manhatten . side street 5th 6th avenue quiet central enough walk everywhere midtown . room small functional staff helpful . 
 May 17 2009 	 horrible experience 	 terrible customer service , overbooke room , flat lying . lot well reliable hotel nearby . 
 May 11 2009 	 Perfect Location ! 	 could happy stay Club Quarters Midtown . location perfect . short 1 block walk Times Square , Grand Central , shop 5th Avenue . everything fingertip make weekend NYC enjoyable . would def . recommend and/or stay . room appear recently update . small room bathroom , room except change / sleep , suit we fine . similar european hotel visit . 
 May 3 2009 	 okay - nothing great nothing horrible 	 room clean ( hall smell though insecticide - like old apartment building live Manhattan ) . small certainly adequate . location good . service non - existent . get someone polite . get great price , great . , might well go somewhere actual staff . 
 Apr 18 2009 	 great value location 	 never stay Club Quarters not sure expect . get terrific rate ( ~ $ 140 include taxis ) hotwire . turn wonderful experience would definitely stay Club Quarters . one terrific location Times Square - close everything immediate gridlock people , traffic , noise nice reprieve chaos outside . lobby basic professional , room clean well - keep . negative commentary two ( tiny ) elevator may take quite bit time go room . also , leave bag early day since arrive check - in ; someone suppose bring minute - call half hour later tell need bag b / c go evening . , though , would encourage people stay - 's definitely significantly cheap ( even full price rate ) many hotel area good ( well ) . 
 Mar 9 2009 	 good location 	 stay hotel weekend find pretty good place . location top five minute walk times square minute two fifth avenue . reception pretty basic one person help self check type system , quick easy . room comfortable quiet , maybe bit small US standard small like main european city . overall great value money . 
 Mar 7 2009 	 could not believe charge extra husband 	 stay hotel Valentines weekend . reserve small suite daughter we . check tell $ 20 / per person / per night charge husband two daughter ! increase price extra amount , could stay much nice place . suite tiny , bathroom tiny . good thing lot . will not stay 
 Feb 23 2009 	 Club Quarters MidTown - Great Spot 	 great time NYC 3 day , stay Club Quarters Midtown location -- - great spot locate near Times Square , theater movie district good restaurant option area like Hell 's Kitchen section NYC . close Grand Central Subway spot , room modestly size plenty big two we . staff service orient , one time dine hotel good price reasonable . room hiccup , time quickly correct service staff cordial helpful . 
 Feb 21 2009 	 Great Location NY 	 stay Valentines night glad choose hotel quick stop . location excellent block away Times Square within easy walk distance numerous site include Grand Central Station , Rockefeller Center slightly Central Park . 's handy Starbucks across road parking garage use next block ( $ 42 24 hour ) .Booking hassle free case enter name onto kiosk print key card . room although small functional clean . view terrible bathroom tiny 's exactly expect location price . Overall 's decent 3 star accommodation ideal couple night , stay long plan spend extended time room ( would New York ? ) would choose somewhere bit big room big price . 
 Feb 19 2009 	 good location price rocky start 	 stay Club Quarters Midtown New York Feb 14 18th would like say hotel pleasant surprise due previous problem acommodation NYC famous location . however , little bit worried arrive since room book online hotel website available . tell previous guest leave expect stay small room , cheap . say ok could lie worried rocky start possibility go able get room 10 - hour flight . small inconvenience , however , stay extremely good hotel service quite upstanding . NYC hard find good hotel reasonable price quality room , service housekeeping Club Quarters provide . also , location perfect work leisure . 
 Feb 3 2009 	 hotel excellent deal ! 	 arrive New York Jan. 16 , record - set cold day ... 13 degree ! though arrive Club Quarters Midtown early 3 p.m. , room ready able check . read early review , concerned staff , everyone friendly responsive request . ask rollaway bed , bring promptly , problem hot water quickly rectify . yes , elevator tiny minor inconvenience . Club Quarters Midtown appear old hotel handsomely restore . room clean space adequate city room sleep shower . location could not well , within easy walk distance shopping , show , everything could want . not eat hotel restaurant , like Cafe Manhattan across street breakfast deli item . nation , door , relaxed neighborhood bar good food knowledgeable server ( hi , Josh ! ) .Our experience Club Quarters Midtown positive would certainly stay . staff effusive , professional competent . satisfied hotel entire trip ... except 13 degree ! -Miami Family 
 Jan 13 2009 	 Ideal NY location 	 go NY see New Year 2009 . Stayed QC Midtown week quite satisfied got . standard room , although overly generous size wise , perfectly adequate two we believe uncommonly small ny standard . check - in check - out extremely efficient , apart internet access not use hotel facility . great Deli right across road breakfast , plenty eat place nearby .location great short walk many area want , room towards back , nice quiet wanted relax hard day touristy thing . would certainly use qc visit ny . 
 Jan 4 2009 	 give room away .... sorry ! ! 	 make reservation major travel website new year 's eve hotel . get , tell hotel completely book room give away ! ! ! ! ! offer relocate we different CQ , $ 50 trouble ( say cover weekend night CQ regular night run 120 buck ! ! ! ! ! ) . point , want room queen bed ( couple ) non smoking hotel confirm true . get new hotel , tell , room leave either one two twin bed & quot ; push together want & quot ; queen bed smoke ...... seriously ? ? ? keep mind pay close $ 500 2 night ..... total RIP ! ! ! 
 Dec 27 2008 	 CQ Midtown simple central overprice 	 family stay every time visit quality always high . room small basic , completely clean cozy . service spare , unpretentious will not pamper , well take care . often good deal place online , usually good price give central location quality room . 
 Dec 20 2008 	 fine quick business stay 	 Manhattan business stay one night , . feel safe - hallway well - light , multiple fire door . property excellent Midtown location . not expect fancy amenity - check kiosk - 's fine . room nice , clean , quiet , fair size , Manhattan standard . would certainly stay . 
 Dec 12 2008 	 great location value overprice NYC 	 Club Quarters provide nice base midtown sightseeing .... convenient subway bus easy walk distance Times Square , Rockefeller Center , 5th Avenue shopping . room small , well organize , good bed bed , flat screen tv window face wall - quiet natural light . bathroom also small well appoint . whole place remind small european hotel ..... course , stay room NYC await . public area hotel quite nice , salon free computer comfortable seat area work read paper . dining room overprice breakfast adequate dinner menu . food mediocre service good . hotel endeavor somewhat ' self - service ' , always someone available help answer question . overall would say good value money . 
 Oct 31 2008 	 good location reasonable price not expect much service 	 lot already say previous review , will summarize experience hotel : location : good location , centrally midtown New York . hotel : elevator small , cause congestion check - out moment people suitcase . room : good enough stay New York . room not big , not small either . problem TV , default turn volume fully blow . irritate neighbour . room wireless internet available , free charge . staff : job , not expect go way accomplish . need 's . 
 Oct 28 2008 	 Super Location 	 want exceptional location NYC , place . hotel clean , although room small . traveler , need huge room ? price pay great area NYC . safe location lot business around two block Times Square . many people comment rude staff , ask question ( need ) , give direction courteous manner . require little traveler would stay place . 
 Sep 30 2008 	 would recommend 3 * 	 never hear hotel bid accept Priceline 3 * hotel . definitely 3 * hotel . first , staff rude unhelpful numerous time throughout 4 day stay . elevator small rickety , hold MAX 6 people squish . get floor , could not find room right away go stairwell get . , stairwell go another door , 4 room together . think safety issue , would comfortable alone . room tiny bathroom even bad . shower , tub . 2 people could fit one time . put suitcase . although close proximity Times Square , 's good thing say . & quot ; fitness room & quot ; 2 treadmill , stairmaster eliptical trainer tiny room ice machine coke machine . people mind . check , one say anyhte we , even thank stay we normally say check . know independently rate over - rate 3 * . would recommend hotel . 
 Sep 20 2008 	 terrible serivce - close normal CQ standard 	 stay Club Quarters London phillly extremely good experience disappointingthe good : location great . price variable reasonableThe bad : serivce terrible start finish . lobby staff shout boisterous arrive make we feel like imposition need check . book re - confirm early check - in ( normally $ 35 service CQ ) unavailable arrival , staff act like crazy even ask . book suite adjoining room put seperate floor . the phone one room not work . despite ask 4 separate time assure would fix immediately , no - one even come look 2 day later check out . we check luggage room not ready finally get room take 60 minute , 3 phone call cell phone ( see ! ) 2 return lobby get luggage back again . there several small annoyance ( trash left unmoved table sit area 2 straight day ) .Finally ask speak manager , tell could not . desk person insist tell problem ... be new one ! 
 Sep 18 2008 	 fine stay quarter 	 ideally locate near Times Square , hotel perfect short stay Big Apple . room small ' brief visit , ' spend much time room . ' business , hotel boast essential business amenity . 
 Sep 13 2008 	 Taking Care Business 	 stay quick overnight business trip . familiar Club Quarters business model Philadelphia London properties- small room , fancy lobby breathtaking view , basic business traveler . good location- short walk Times Square Grand Central . room , surprisingly , face air shaft , mean street noise . free Wi - fi signal little weak get drop couple time , easy set use . wake - up call came request . ' renovation progress effect guest could see one 2 elevator work stay . check - out little troublesome ; machine take credit card stop dead desk clerk check computer . also ask get Grand Central ( ' directionally challenge time constraint ' want make mistake ) . first clerk tell 34th Street get taxi . well , know ' . tell 42nd . tell 10 - minute walk . well , true informative . head out- wrong direction course , eventually correct course get . young woman desk night helpful ask get nearest subway station get particular subway line . hotel adjoining restaurant- look bit high - end taste , , NYC , many option around hotel . Club Quarters Midtown good choice want basics- clean , quiet room good location . 
 Sep 9 2008 	 snug little spot midtown Manhattan 	 town overnight ( fantastic ! ) show need somewhere fairly close Madison Square Garden rest weary bone head home . well , be good 's plan not space much room ! ( may compare apple orange get * single * almost size Amsterdam last fall less 1/2 price . ) pro : friendly staff , parking nearby , good location , clean . con : room size , lobby construction , amenity . be look someplace sleep , shower change not look luxury , might place . need lot amenity room stretch use laptop keep look . 
 Sep 9 2008 	 great location clean friendly staff 	 brilliant stay club quarter midtown . step right leave hotel half block 5th avenue , step leave block half time square ! friendly staff upon arrival throughout stay . room good size two us ... worried would tiny previous review . clean , clean day new bed sheet towel request . nice flat screen tv , comfortable bed . room key card require activate elevator add safety factor . room locate 11th floor back hotel result absolutely street noise ! brilliant ! overall great hotel reasonable price , look go back new york soon finance allow definately stay club quarter midtown ! 
 Sep 7 2008 	 fine location New York trip 	 Club Quarters Midtown locate conveniently midtown venue ( Broadway theatre , Times Square ) , subway station access anything city . desk staff friendly enough , though not need talk much . free internet accessible computer public area , great , since one computer sometimes wait . not know wireless access not wireless device . room clean , air conditioner work give little rev . view room ( air shaft ) , gaze window - want go show , etc . room locate across two ( small ) elevator , could hear elevator bell people talk pretty distinctly room , diminish overnight foot traffic slow . would definitely go back . 
 Sep 2 2008 	 Great Location Recommend 	 return 5 night stay Club Quarters , Midtown . couple block Times Square Fifth Ave . Booked Priceline get excellent price . hotel typical hotel small entry area serve lobby . staff nice . room small , get use move , really enjoy . yes , could large , , great . decoration update , room clean , bed comfortable , shower nice ... tub though ... much storage place clothing hanging item . say , would definitely recommend daughter friend . 
 Aug 26 2008 	 World 's small room . 	 downside : stay Club Quarters property , not sure expect . find one small hotel room ' ve ever stay . fact , want , could wash face sit toilet . room nice . however , terribly small . unfortunately , room never cool , air conditioning unit not work properly . finally 1 a.m . call desk ask could . told & quot ; pull curtain away sensor . & quot ; little , late . irony view room cool equipment . ' m sure equipment work someone ! upside : great location 45th 5th . easy walk 30 Rock , Time Square , Theater District , etc . rate apparently pretty good area . 
 Jul 25 2008 	 great price location 	 stay hotel April three us good value hotel could find . great location litterally walk end road 5th , turn right towards empire state turn leave towards central park , abercrombie , nike town trump tower etc . nice hotel I ve stay price good value , clean comfortable . afterall , New York base showering sleep . 
 Jul 10 2008 	 tiny room great location 	 come terrible hotel Queens , Club Quarters dream come true . travel 5 year old , 2 adult 1 child room way tiny , make good . room clean well keep love location close everything . overall satisfied value money , 
 Jun 25 2008 	 convenient 	 small room ( NY standard ) good position price mid Manhattan . breakfast offer 12 $ fruit , pastry , bagel cream cheese , cereal , aso . room equip coffee maker tiny wardrobe . 
 Jun 23 2008 	 lousy service match bargain price 	 stay Club Quarters last week New York must say price good location 's close Times Square . 's positive comment provide . get , wi - fi advertise working . call desk advise & quot ; go hall & quot ; try . take advice , still not work . course next five day , ask hotel staff six different time internet access . time , promise check get back . never . luckily , conference Hilton , able take laptop quickly get online . request hotel schedule cab pickup we day departure . instead call car service . 10 minute late get back , completely fault , wait another 20 minute luggage bring . ask length time take , indifferent concierge say , & quot ; take 15 minute . & quot ; employee keep come partial incorrect luggage , ask could go help identify bag . agree send ... get ... room ! 's keep luggage . instead 15 minute , short walk star 2nd floor . car service tack $ 25 wait , total cost $ 75 get La Guardia . terrible , terrible service . 
 May 29 2008 	 bad Service ever ! ! ! ! ! ! 	 get hotel - seem fine . got room ( tiny even NYC standard ) find queen bed . 2 married friend girl shopping weekend . immediately contact Reception promise something would do ..... cut long story short 5 conversation reception staff leave share bed 5 night - be not bad enough , water be not work room - take 4 call Reception sort . daughter email flight boarding pass hotel give we - give we . also leave item room mistake - also mysteriously disappear - advice touch hotel large bargepole ! ! 
 May 27 2008 	 Great Place Area Staff ! 	 return New York love Club Quarters Midtown . perfect location everything like Times Square 5th Ave . staff helpful polite . check check quick handle professionally . even hold bag check thing flight later day ! Cafe Manhattan across street great affordable place breakfast . go every morning ! room nice size bathroom . room [ pretty much sleep get dress size not important ! go hotel future visit hope ! worth ! 
 Apr 28 2008 	 great stay 	 suprising find great rate great place . staff friendly always courteous . room big think clean . 2computer guest use close lobby . one comission get work fine convenient . 30 minute limit good way will not wait long case need use . not much see around fin . district walk 2 block get cab ( call cab , car service ) never seem go hotel $ 12 - 15 dollar taxi take Time Square . bad thought , be much cheap get hotel pay 100 buck night stay times square . still save money . last time stay Westin hotel times square noisy even though high club room . Club Quarters hotel quiet night , love ! ! ! could actually sleep ! construction , noisy people , anything keep awake , thank goodness ! much enjoy stay . also binder several restaurant , one 24 hour deli Water St. awesome hamburger fry , also serve sandwich ton bakery item . good place case get hungry middle night although be like 7 block away , be worth . 
 Apr 24 2008 	 never Club Quarters 	 first & amp ; last experience Club Quarters hotel . room clean , although relatively spartan . customer service , however , horrible . 3 month stay , additional fee ( essentially & quot ; cancellation fee & quot ; time ) show credit card . attempt remedy situation phone meet resistance hotel . main office insist , first , actually show stay , prove , say book twice . 6 month later , still will not credit account errant charge . I would avoid place like plague . will never stay hotel , encourage rest avoid well . 
 Apr 14 2008 	 suite deal 	 want inexpensive room one - night stay daughter could get head start shop joined relative stay another hotel . priceline bid accept winner room clean , comfortable hotel fantastic location 5th avenue- one store . charming Grace check we efficiently , smile mysteriously , whisper give we & quot ; little upgrade & quot ; . & quot ; little upgrade & quot ; Diplomat Suite , sit room , bedroom - * eureka * - two bathroom . need tell nice two woman two bathroom ? room smallish , clean , quiet enjoyable . feel safe secure hotel ( mention want shop ? ) block Rockefeller Center , Saks , Garment District , Lord Taylor 's . hotel seem design frequent business traveler , not opportunity check amenity plan ( mention shop ? ) , ' m ever fortunate enough stay Club Quarters Midtown , will delight . thank , Grace , get annual girl ' week nice start . hope see .... shop . 
 Apr 9 2008 	 Great Hotel 	 hotel nice great location . free coffee tea morning nice . criticism fitness room joke . tv not work weight could update cardio equipment . 
 Mar 31 2008 	 like other item steal room 	 room fine checkout , ipod nowhere find . put desk go run two day . look like people problem jewelry electronic go miss . my experience hotel fine otherwise would never go back . front desk people helpful . 
 Feb 25 2008 	 good hotel 	 find Club Quarters clean , friendly staff good sized room . location excellent . downside unnattractive view thin wall ( argue couple keep we one night ! ) 
 Feb 20 2008 	 nice 	 husband come back today stay diplomat suite Club Quarters . think room clean nice two bathroom ............ yes , bathroom small overall design allow move around quite well . like contempory design flat screen tv 'S plus ( Tv 's could use little update - pic & amp ; sound good ) real fall parking ! ! ! hotel parking walk 3 block 24hr parking garage . would definitley stay ! location great restaurant , Broadway show , shop cocktail lounge . 
 Feb 18 2008 	 Minimal customer service 	 NYC many time , first time Club Quarters . return . arrive check , tiny lobby extremely crowd line move slowly . wait outside sidewalk . finally get check , find one elevator work . result long line wait ( 2 ) elevator take stair not good option since sixth floor travel sister pregnant . staff somewhat appologetic elevator fact ALWAYS full stopped floor . seem Club Quarters staff could handle adversity overwhelm broken elevator . could offer discount room complimentary snack . 
