absolutely 	 recently stay hotel five day / night . require hotel convenient convention centre strip , place lie head . Greek Isles fit requirement . the room clean , sheet clean , tv work door lock . staff friendly helpful - number question throughout week respond happily . breakfast restaurant excellent beer tequila ( medicinal purpose ) end day cold within budget serve friendly bar keeper . greek Isles good & quot ; work class & quot ; hotel ( work class - backbone nation ) would stay . 
 Jan 4 2008 	 horrible TACKY DUMP DIVE MOTEL ... Rat Pack Show GREAT ! 	 give Show 5 star hotel -1the show Greek Isles Hotel Rat Pack Back tribute show Frank Sinatra , Dean Martin , Sammy Davis Jr & amp ; Joey Bishop great ! ! overlook hotel 's locate , Greek Isles Hotel , place run DIVE ! go hotel show , tell come 2 hour early , reason think get money bore wait around show ! would not give another dime do not take money help hotel ! see place outside almost leave .... old dump ! even old Vegas style place , like run need dire repair , refurbishment , take cheap dollar store decor , paint could go .... ! place sad mean ! casino , sad , depress even old , sad , old Vegas .... run sad & amp ; depressing ! tell husband line , bucket pay remove tacky unnecessary decor line area casino would place wonder ! seriously white trash motel ! casino joke , like someone set casino garage grandmas house . go wash room leave go glitzy place money , fine , that s thing ! People , be not Old Vegas appeal , ...... old seriously sad run , owner give hotel facelift even good cleaning . 's joke , stay many place price look deal buck maybe like kind place , seriously , like old tacky Motel 8 abandon highway drive thru small deserted town across country , that s good description give ! charm , run dump . its also locate deserted , construction zone , seedy part town near nothing ! ! dinner weird dinner show , seat another couple not know table plenty table romantic dinner be not much food mediocre not dare ask extra bread . old plastic table cloth , plastic cup saucer coffee cup ! Christmas time go 2.00 string light fall thumbtack fall used keep . $ .99 plastic gold garland around casino fall . outside icecycle light hang brightly light casino ..... come guy , seriosuly , bad ! Chicken , steak 1 dish choice . period ! quality cheap buffet old Vegas 1 small serving ! Salad dress plastic container ...... tacky cheap . overpay dinner part BIGTIME ! long wait water , must ask get water begin , drink , like soda & amp ; iced tea , except coffee extra pay thru waitress double casino bar hole old worn dress that s 2 size small . ............... go show , Rat Pack back ..... amazing ! guy sound like real thing , show funny well put together , showroom old Vegas style entertainment quality 10 . young 30 's great show , even nightclub goer ! buy dinner & amp ; show combo ticket , recommend , ......... go show , period ! someone please move great show nice hotel be around great experience ! say enough show ! need shiny new Old Vegas Style theatre nice hotel strip showcase entertainer talent , relive Rat Pack show dread leave way come thru old hotel , Greek Isles dire need tear ! even performer manage crack joke show bad hotel know good show keep place afloat , make whole room laugh ! please someone move show well place ! plan wait cab , do not go hotel often ! ! cab driver dint even know , ask 2 other do not know either . finally get direction , person give laugh look we like & quot ; really go hotel ? & quot ; GO SHOW ! ! : ) 
 Dec 27 2007 	 want basic place . 	 frill , basic hotel . outside look bit rundown , get room , rundown . fade carpet , 80 's decor . renovate room , could great place . need place sleep wash real frill , it . the location decent 24 hour Wal Greens 7 - 11 nearby , handy . 
 Nov 21 2007 	 Basic acceptable 	 return 4 day Greek Isles Hotel , night could call & quot ; Greek .. les & quot ; & quot ; Greek ... & quot ; depend side sign look ; - ) say hotel provide basic acceptable level accommodation . I really can not say good value money stay friend 's cabin crew , not pay hotel , get impression many airline use hotel crew often pass crew , Delta , MyTravel , bmi , United corridor / lift hotel . location wise , bad position , road Wallgreens , Strip Liquour , Dennys , 7 - 11 etc ... side Monorail Hilton Hotel ..... ' ve previously stay Treasure Island , love , give choice would go back Ti anytime , Greek Isles available ( cheap ) have real issue recommend bed bath service ... hope help ! ! 
 Jul 19 2007 	 's bad ... 	 think property renovate thing pretty new room , bed plush soft , carpet new , actually look like whole room gutte re - do pleasing stay . look outside look kind like dump . look whole hotel update inside . room small refrigerator , coffee maker plenty channel watch t.v need . check restraunt show . stay comfortable pleasant . 
 Apr 16 2007 	 Rat Pack Fun ..... 	 like several poster stay hotel go Rat Pack show . show great , capture flavor old Vegas era . treat we nostalgic folk . hard get information beforehand tell arrive certain time seating , not happen stand line hour . guest admit guest come dinner show nice seat . place seat could see nothing . nothing . crane neck able capture bit piece show . warn Rat Pack show . sure place one long table middle like school cafeteria . sure management think ok . 
 Dec 2 2006 	 Rat Pack Good . Service Dinner Hotel BAD ! 	 stay Hotel . go Rat Pack . agree other .... & quot ; service & quot ; leave much desire . feel rip buy vip ticket include copy cd dinner ( not even include cocktail lounge advertise ) . meal terrible . cd ok . would recommend Rat Pack .... keep expectation low . need dress . place old smokey . 
 May 1 2006 	 horrible place 	 since Celine Dion become sick forced find another show short notice . low price ( usd 140 2 pax ) call & quot ; VIP & quot ; ticket warn we . the greek isle completely run place . take whole evening seroius otherwise would leave . Non - smoker aware get smoke side . purchase ticket lady box office explain non.smoke section . staff gude us table ( way small 8 people uncomfortable chair ) know non - smoking section . fortunately smoker table . the staff offer upgrade & quot ; private & quot ; table usd 20 . 20 buck certainly go pocket . although announce 2 hour show finish 75 minute already . the good part singer excellent voice funny casual acting . really enjoy evening good mood come singer . perform glamouroe place could excellent evening . the musical dircetor ( small fat bold guy ) piano constantly ignore orchestra make shouting time time . wonder part show real . 
 Jan 27 2006 	 love Greek Isles ... 	 love Greek Isles Hotel . stay every year . choose stay strip little crowd we & quot ; old lady & quot ; want together time sit watch great lounge show ... bad Steven David long ... wonderful . Yanni 's restaurant Wonderful . staff fantastic . yes , could use refurbishing , overlook fact staff seem stay , tend remember year year ... least remember we . be nice , quiet , safe , comfortable , still within walk distance strip . enjoy good world stay . always return . thank keep good work . 
 Jan 18 2006 	 horrible service 	 stay hotel , bad experience . walk strip back Las Vegas Hilton decide stop check casino . pretty late , 2 , walk . soon step foot walk toward casino rent cop cheap toupee stop . ask stay hotel . say , tell get & quot ; heck & quot ; b / c casino local ! horrible customer service ask . would stay away unless desperate room . 
 Nov 3 2005 	 dump ripoff 	 place dump probably never do since day one . do not stay go Tribute showshow brilliant butripped vip ticket - food - bad seatshotel not want know give telephone number ring . toilet foulshow staff rude unintereste - get scalp another $ 10 head get well seatsno taxi way get themkaroke staff hustle people leave show stay 2 1 drinksdrink serve glassescarpet wall dirtywhole place stankplease blow next 
 Jun 23 2005 	 Great Stay 	 Greek Isles great . agree need update , overall , great stay . be hustle bustle & quot ; Strip & quot ; traffic , yet still walk distance . price right staff great . excitement strip , nice head back G.I . play slot . ever happen back Vegas , definitely make return visit . 
 Apr 27 2005 	 go back 	 family see Tribute Rat Pack show ( purchase ticket befere trip ) , stay hotel . show great , hotel seedy , dirty , staff extremely rude . could not get cab show staff help either . go back . 
 Jan 27 2005 	 get pay 	 stay December 2004 , yes art deco , could refurbishment , ' on strip ' end day get pay for . the staff lovely book count lot . 
 Jan 20 2005 	 enjoy Greek Isles time ! ! 	 lucky enough stay Greek Isles in - law time - share . people friendly enough . room fit 4 people quite comfortably . large bed pull queen sofa room consider suite due beautiful curtain use separate room . everything clean . pretty picky come cleanliness . thing would like mention first visit use room service burger fry way expensive ! ! ! second visit make 70.00 25 cent wheel fortune . like casino quaint small . hope help . 
 Nov 23 2004 	 haunt Vegas Tour 	 sister go Haunted Vegas Tour show call Shock Greek Isles Casino Nov. 7/04 . Greek Isles Casino seedy place . get 8:30pm take tour . tour around Las Vegas okay show casino creepy . go Las Vegas time never go near casino . 
 Jun 3 2004 	 good ..... 	 hotel awful area , outside look even bad ! disappoint , chapel pretty ...... 
 Dec 2 2003 	 ok 	 hotel bad . cheap rate . room nicer expect , location pretty dull . really near anything convention center . decent value . 
 Nov 20 2003 	 Nice Hotel 	 pretty good hotel . room nice hotel close strip ( one block Stardust ) . pay $ 100 Friday night get 2 double bed , living room sofa , table chair , armior tv , microwave oven small fridge . tv get least 20 - 30 channel , though probably watch tv , want vegetate room one evening nice tv cable come clear get 5 channel ( happen we another Vegas hotel ) . room would pass mini - suite hotel strip probably cost twice much . lobby classy check breeze ( ' ve read strip hotel take 1 hour check crowd ) . casino small smoky . slot . do not order room service . get burger fry charge $ 9 . could almost get buffet Stardust . breakfast good . omelet take half plate come home fry take half , plus two slice toast . run $ 7.they several small show nonsmoke show room . go see Sixtiesmania . be baby boomer grow Beatles , Stones , CCR , door other , will enjoy 1 1/2 hr . show . all bad . thing would recommend weekly rate , since people come usually week . hotel nearby ( Somerset House Blair House Suites offer weekly rate ) . Vegas hotel offer Sunday Thursday low rate . 
