nice 	 usually use Hilton New York , newly open Hilton Garden Inn two block office make sense try out . I book two week back find room 2 night $ 219 night + tax seem like bargain . due personal reason delay trip one day change resevation online price go $ 359 + tax would make room little pricey considering . helpful reception quick checking . room nice ( albeit little small ) hd flat screen tv , microwave , coffee machine , iron board , etc . wifi perfect free . breakfast good include make order omelette . would certainly use would expect pay little less $ 359PS . bad point breakfast coffee ( european ) terrible . tea taste coffee expresso available : - ) 
 Excellant Hotel Location 	 clean , attentive staff well service room . outside front door Hotel see Macys right Empire state leave . Superb . 10 - 15 min 's walk Times sq . easy reach & quot ; attraction & quot ; Rockerfeller centre , 5th Avenue , central station , etc etc .compact reception area bar certainly adequate . not eat restaraunt far many great place eat outside . ! would hesitate reccomend . 
 Perfect choice 	 Hilton Garden Inn strategically locate heart Midtown Manhattan perfect location business leisure purpose . the whole property 100 % smoke free facility . cleanliness outstanding ( change bedlinen every 3 night ) . room quiet , though small medium size seem rule NYC.Neighborhood lively apparently safe ; subway station around corner major bus stop ( MTA ) front Hotel . Trusty website / brochure . we definitely recommend Hotel ! 
 Nov 10 2009 	 Great Hilton Garden Inn 	 stay 4 night hotel first week November . hotel fit need perfectly . nothing fancy , look something like Ritz Carlton Central Park , . want great location , clean comfortable room friendly service reasonable price , look far . room : huge , decent size New York . stay one - bedroom king suite . living room sofa bed seperate bedroom comfortable king bed , ample closet storage space , 2 tv , fridge , microwave coffee maker . bathroom nice spacious , equip everything could need . everything clean . hotel quite new contemporary decor personally enjoy . location : think great , right middle Manhattan 34th Street / Herald Square subway station step hotel corner 35th Street 6th Avenue . 8 different line stop get part Manhattan short time . see two show take subway night Times Square , one stop minute ride . the hotel practically next Macy 's close lot shop Madison 5th Avenue , Empire State Building Penn Station . lot place around grab bite try Korean / asian restaurant step hotel . great meal one korean one night arrive . elevator : not problem time day ( 31st floor ) .service : staff friendly helpful , reception concierge house keep breakfast . House keep excellent job . breakfast : negative think . feel breakfast buffet overprice ( $ 18 / person ) . decent breakfast price make - to - order item variety like experienced Hilton Garden Inn property . we great stay would definately return . 
 Nov 9 2009 	 overall satisfied stay - staff helpful friendly 	 stay three day prior New England / Canada Cruise . room size average forNew York . room clean , quiet , bed comfortable . staffwa friendly provide excellent service . location 35th Street convenient Metro station step hotel entrance . area notthe attractive New York , feel safe . overall good experience . 
 Nov 6 2009 	 way over - rate tripadvisor 	 hotel alright nowhere near deserve 4 5 star . room clean barren . bed comfortable . bathroom clean poorly equip . elevator tiny slow side . location mediocre . room feel like dorm room one high brand within Hilton chain . desk , chair , bed tv , not much else . bathroom almost counter space . bathroom amenity poor quality . ( label say neutrogena quality like suave . ) hotel close Madison Square Garden , subway , Empire State Building . 's healthy hike Theatre good restaurant , bit challenging get museum upper east side . not count catch taxi front hotel - unless be go airport . allow cab loiter front building reject fare unless be go airport . Hotels doorman allow cab loiter cherry - pick fare . would return hotel . 
 Nov 5 2009 	 stay somewhere else will probably get well value elsewhere 	 use Hilton Points ( 35 K per night ) stay 6 night . location hotel good ( metro station close street fairly quiet NYC standard ) also fairly new . parking across street validate thru Hotel charge 35 per night . room clean standard size New York , enough room walk around bed store luggage . hotel service leave lot desire . find staff unfriendly incompetent . check sure leave enough time catch elevator , small tend full around check time . Breakfast standard HGI tho expensive hgi , not get free coupon well eat outside . voice concern complaint hotel staff 's insistence , lack follow insult attempt compensation . escalate HGI management , told & quot ; mix & quot ; . amount point spend , would rather stay another Hilton property staff competent friendly . 
 Nov 4 2009 	 not make Call room 	 hotel new , great location NYC . room comfortable , could well lighting , difficult negotiate coffee maker . stay really nice , ruin present room telephone bill . 3 call ( 12 minute total ) Maryland total cost $ 68 ( 44 pound ) - disgraceful . speak reception get joy tell private company provie service - mmgh 's profit hotel ! 
 Nov 3 2009 	 great location great staff . 	 wife NY support son Marathon , 3 we stay 1 room , 2 double bed . room bite tight 3 we , clean comfortable location great . hotel facility good location great , good thing however staff . unfailingly friendly helpful . automatic first choice ever return New York . JohnWorthing England 
 Nov 2 2009 	 Excellent ! would stay ... 	 daughter ( 19 ) stay Hilton Garden Inn West 35th Street Oct 2 3 night . excellent location . 31 floor believe 15th floor great . amazing view Empire State building light blue night . window thick noise distraction floor . even open window couple time . you within walking distance many thing include subway extremely convenient hotel . hotel new Feb March 2009 , be always huge plus ! small microwave oven , fridge , coffeemaker iron etc room . everything need ... plus sell popcorn goody little pantry downstair one use get urge eat late night not want leave hotel ! room stayed call Evolution Room 1 King Bed . big enough 2 we . Manhattans real estate expensive room can not expect nearly large would suburban area Texas instance ! room big enough ( travel someone messy ! ) bathroom shower great , plenty water pressure etc . staff friendly helpful . chance definitely stay . free room wi fi 24 hr access business center print flight boarding pass theater ticket etc . convenient ! M.S . Greer Houston ( Spring ) TX 
 Nov 2 2009 	 Mission Trip remember 	 charge group 40 adult ( mostly senior adult ) church Louisiana spend five night New York City mission trip . help Marcia , Sales Manager Hilton Garden Inn , able stay wonderful hotel right heart Manhattan . treat royally everyone hotel moment arrive time departure . location beautiful hotel make delightful experience . need place stay New York City , try Hilton Garden Inn W. 35th Street ! ! 
 Oct 31 2009 	 great stay near MSG 	 take son see first rock concert Madison Square Garden use hiltonhonor point free room . walk 34th street , cut thru & quot ; park & quot ; front Macys . great location MSG , clean hotel . Perfect want enjoy drink event worry drive home . decent restaurant area well . 
 Oct 31 2009 	 good clean hotel midst craziness 	 search long hard find good hotel finally decide hotel . dissapointe . clean ( except drawer , dusty ! ! ) , new , good shower en next metro Broadway . view Empire State building ! 's midtown close basicly everything . shoplover , be next Macy 's , JC Penney 's , Victoria Secrets Gap ! ...... really midst one bussiest part town . next time book small , mory cosy hotel downtown Soho Greenwich Village . one piece advise , join Hilton 's programme . free get 60 $ discount night ! ! ! 
 Oct 29 2009 	 good hotel well place see New York 	 good modern hotel , nice public area room . room well equip clean . staff friendly helpful . think stay , hotel fine would recommend Hampton Inn Times Square North big room complimentary breakfast 
 Oct 26 2009 	 wonderful place stay well - appoint excellent customer service 	 husband stay anniversary , think stay Plaza Waldorf , choose stay say right choice . hotel locate block esb near local attraction . beautiful room view Empire State Building fraction cost high - end place mention . customer service excellent , would highly recommend . definetly back . also , stay luxury place truly compete . 
 Oct 19 2009 	 Excellent 	 great location , highly recommend ! ! come back stay hotel ... hotel centrally locate everything . 
 Oct 18 2009 	 new york standerd really good hotel 	 nice hotel small yet clean modern room ... location : hate walk travel winter bit far action 42nd street . 
 Oct 18 2009 	 new convenient bit noisy 	 nice new hotel locate 5 min Macy 's , Manhattan Mall , Korea Town , Empire State Building 100 ft Subway . 15 min walk Times Square . plenty eat choice nearby range morning bagel / coffee cart high - end restaurant . room small enough room King bed desk almost room open suitcase . office chair nice Herman Miller chair 32 & quot ; LCD tv appreciate . 's small nicely equip gym basement . free high speed internet free business center available use . 's also free coffee tea morning . I 13th floor street noise 6 am morning enough wake , make sure request high floor be light sleeper . 
 Oct 16 2009 	 great location - rather expensive 	 Hotel appear new , everything excellent condition . room comfortable size good facility . breakfast expensive $ 17 , many little diner round corner 6th Avenue breakast less $ 5 . find expensive $ 360 / night ( expedia ) , location make worth . short walk Times Square theatre , Subway . look line - up half - price theatre seat decide time valuable . go directly theatre ( within short walk form Times Square ) , get good seat 3 show pay $ 50 & amp ; $ 100 . must , Gray Line Bus Tour - package 4 tour $ 54 - wonderful , great guide . 4 see Manhattan , Brooklyn , Statue Liberty ( ferry include ! ) , night tour . ' ve many large city find Subway one hard one navigate , people helpful offer assistance whenever look confused - fun , can not get lose ! Taxi Airport probably rip - off $ 50 , 15 minute buggy ride Central Park $ 40 definitely . eating - go one many irish pub show , great food $ 15 - 20 . empire State Building must , Rockefeller Centre not . walk Brooklyn Bridge great view . overall , New York fascinating Hilton Garden inn great central location see . 
 Oct 15 2009 	 's wicked 	 decide visit new york first time stopover day en route usual holiday destination hotel excellent choice , basic everything need planing use base , early morning til late night really use sleep , quiet , comfortable book excellent rate.this hotel open early 2009 still clean tidy , staff friendly fridge microwave room stock snack buy outside hotel , price lobby shop bad location , route bus shuttle drop off / pick problem get new york airport , would stay hotel . last tip go see wicked gershwin not turn day hope get ticket , seat 10 row front 2 rear balcony , honest visual effect rear seat far well ! ! . 
 Oct 15 2009 	 Excellent Stay 	 hotel meet expectation Hilton Garden Inn . travel 60 + night business year HGI 35th Street everything one would expect . hotel clean staff polite attentive . would definitely stay . close major tourist site subway stop 30 foot door . 
 Oct 15 2009 	 highly recommend corporate hotel 	 tend shy away generic corporate hotel chain , love everything Hilton Garden Inn . staff , room amenity view room - great property . breakfast great General Manager walk around say hello guest ask everyone enjoy stay . highly recommend hotel Chelsea close everything ny offer . pick great deal online allow receive Macy 's voucher check ! 
 Oct 14 2009 	 Great Location 	 friendly hotel great location . everything need within walk distance subway ride away ( subway entrance outside front door ) .The room cosy brand new HD tv free Wi - fi . my room 2nd floor , avoid wait lift , easy use fire escape stair . 
 Oct 14 2009 	 Great Hotel 	 husband stayed walk Penn Station hotel . great stored bag till room ready . find bed comfortable room clean , even though small . position great walk attraction . reception give we flyer private car tjfk cost $ 65 plus tip . concierge want $ 100 . Taxis standard fee $ 45 , wait front door private car arrive . would cheap option know taxi would front 4 - 30am morning . 
 Oct 14 2009 	 good location reasonable price 	 great stay .. rate reasonable ( $ 200 / night ) clean , nicely appoint close many thing like NY ( Times Square , Madison Square Garden , etc . ) . 
 Oct 14 2009 	 absolutely fantastic 	 Stayed Hilton Garden Inn 35th early September 7 night girl shopping holiday . nothing good thing say hotel . book hotel base review Tripadvisor get great deal Ebookers ( 145 usd / night ) . upon arrival upgrade large room 21st floor view Broaway . room locate next elevator hear noice ever great surprise concidere busy traffic outside . the room really large ( double ) fact large hotel room ' ve ever . base review site expect small room lot extra space around king - sized bed + comfy armchair+ desk ( another chair ) + dresser . also flatscreen tv room . coffee maker , microwave oven refrigerator also room one big reason book hotel . also small package milk coffee could also buy actual milk bottle pantry locate next reception . bathroom clean roomy excellent water pressure clean , fluffy towel . bed comfortable ' ve ever sleep ! Room clean daily cleaning lady always helpful professional . also reception staff nice . trouble elevator ( like people write trouble review ) . 3 elevator total never wait second . lobby area comfy sofas , small bar , ATM outside chair enjoy drink evening . around corner ( Broadway ) 24 - hour deli buy breakfast item , fresh sushi , pasta , muffin etc . use deli instead hotel restaurant . even cheap McDonald 's next door deli . along 35th step hotel irish bar & amp ; grill , korean restaurant also nice bar / restaurant Hotel Metro . learn show room key could get discount neighbourhood place . information restaurant service available hotelbook find room . would definately recommend hotel also centrally locate , close major sight offer value money . also feel safe area already save next trip . post picture hotel soon . 
 Oct 13 2009 	 Great Location New Hotel 	 ' ve NYC many time stay various hotel . far good term location , cleanliness , service . family stay total 5 night NYC . hotel convenient . locate right Herald Square area step away Macy 's . 's 5 minute walk Times Square . subway line right front hotel . Penn Station also block away . the hotel build 7month 's really new clean . service overall excellent . free internet , buiness centre free color printing , gym . really impress helpful staff be . the draw back 's one expensive hotel set back $ 300 US per night . 
 Oct 12 2009 	 Right 	 thoroughly enjoy stay Hilton Garden Inn 35th Street . conveniently locate ( walk directly Penn Station hotel ) , within walk distance many tourist attraction ( hotel right around corner Herald Square , Macy 's Madison Square Garden ; Times Square 15 - minute walk away ) . also within short walking distance subway line . hotel practically brand new . large hotel , room comfortable , clean , fairly roomy ( New York standard ) , staff excellent . flight arrive JFK early day , check room 9:00 . hotel bit pricey , consider 's Hilton Garden Inn brand , chance upon decent deal ( range $ 150- $ 175 per night ) , great value . proximity tourist attraction also weakness , however . fact , besides sometimes high nightly rate , reason would not want stay not want stay near busy tourist attraction ( opt trip New York City ; happen go friend never want see everything ) . 
 Oct 12 2009 	 Great Beds 	 stay one night Hilton Garden Inn . staff nice attentive . room clean nice great view Empire State Building . bed comfortable nice spacious room 2 friend . bathroom great well . only issue , tell Hilton Garden Inn give free breakfast almost inadvertently eat 18.00 breakfast . hotel think tier Hampton Inn . also .. IMPORTANT ... say offer parking , make sure not spend 24 hour lot across street try make ridiculous charge ... 15 minute argue everything resolve , big fightall would highly recommend hotel . 
 Oct 12 2009 	 great place excellent location 	 come back 9 night stay Hotel . honeymoon , ' ve upgrade room big one extra charge . room big cozy not hear anything neighboring room . the staff helpful , especially Ali . location great also , step away hotel 's subway stop ( b , , F , V , N , R , Q , W train ) bustle 34th street Herald Sq . hotel cheap ( 300 $ per night include tax ) , be maybe drawback find regard , otherwise , be great place stay New York , would definitely go back . 
 oct 8 2009 	 Excellent 	 stay 4 night August , base review find Trip Advisor . hotel PERFECT . get great rate ( $ 145 / night ) Hilton 's website please hotel . room small clean new , location great , beyond expect . picky person please ! check check easy , left - luggage service helpful . 14th floor , amazed quiet room -- noise street hallway . look someplace safe , clean , nice , well - locate ( subway stop literally end block ) -- stay here . the issue ( minor ) adjustable bed ' work — but still comfortable , bit firm . 
 Oct 8 2009 	 Great experience 	 friend find hotel Trip Advisor great deal comparison hotel area . redeye flight end check 5 morning . let we check early small fee , upgrade we 2 bed room instead king room website let we book . room great , even though not spend much time mini fridge microwave good New York Pizza could not finish . overall , great experience . 
 Oct 8 2009 	 excellent service great value 	 stay hotel read review tripadvisor . hotel centrally locate 35th street near 5th avenue macy 's , short 10 minute walk time square lot restaurant surround area . check efficient . staff come contact helpful friendly . room locate 29th floor fantastic view empire state building . room modern comfortable , king size bed , coffee / tea make facility , microwave , fridge , neutrogena bathroom amenity , closet , load drawer space clothe , iron , large flat screen television excellent selection free tv channel pay tv / movie ( able catch favourite tv show 's new season episode yet show UK $ 4.99 per episode ) . eat breakfast room one morning - breakfast $ 17.95 , think great value selection hot / cold food excellent include pancake , french toast , bacon , sausage , egg want cooked order , toast ( even vegemite peanut butter ) , juice , cereal , cake , pastry , muffin , item . hotel offer complimentary tea / coffee lobby morning complimentary cookie reception 3 - 5pm ( chewy really tasty ! ) . hotel offer complimentary wireless wire internet room , complimentary printing via web business centre lobby ( handy printing borade pass ) . hotel ATM , bar , small lounge area ground floor , seated outdoor smoking area , pantry purchase food / drink take room , valet parking , concierge . also fitness center . checkout take minute . would definitely stay . 
 Oct 6 2009 	 wonderful surprise mid town Manhattan 	 stay week - excellent room . traffic noise - back hotel- ideal location . like shop 150 yard Macy 's - not forget get 10 % visitor discount customer service 1st floor balcony - Bloomingdales offer discount - provide ID 
 Oct 5 2009 	 great location great value . 	 stay hotel 9 night stay New York . get great deal hotel 's website . location great , central everything . subway end block great view Empire State Building hotel room . room clean everything need stay . breakfast hotel expensive great . deli call Speedy 's block downtown much well breakfast lot less . we would definitely recommend hotel anyone stay New York . 
 Oct 5 2009 	 Middle Midtown 	 hotel brand new . squish 35th Street overlook . 35th St. zoo . Macy 's one block away Empire State Bldg 3 block away . location allow quick inexpensive cab ride Manhattan . Herald Square metro / subway stop nearly door . temperature subway inhumanly hot summer ! hotel room small , well appoint . staff friendly enough , although , security . not problem regard , surprising . elevator take awhile . bother outside noise night never people around we , however , never see anyone else floor ! food cart corner great muffin juice breakfast go . 
 oct 4 2009 	 new clean hotel 	 find hotel Tripadvisor book one night . stay small double room . able make early check - in noon pretty pleased . staff polite . hotel pretty new everything clean modern . decoration stylish feel like business hotel . good location shopping . our price not include breakfast . feel bit expensive buy separately , comment . downside room not much floorspace could spread luggage . 
 Oct 3 2009 	 Hilton Garden Inn- excellent place stay ! 	 stay Sept 27 oct 02/09 . room clean , new hotel , fast elevater , pleasant helpful staff . bar main floor , do not use always look busy . do not eat restaraunt . concierge store luggage last day really help plane leave . good location Macy 's , Penn Station , shopping , subway 30 pace front door . would like mention every staff member meeting elevator would say hi ask day , professional ! also room quiet bathroom stylish glass shower . 
 Sep 30 2009 	 Perfect location explore NYC 	 agree reviewer – small ( NY ) , tall hotel mid - town . benefit ' walk age find room like big ny hotel . step elevator , step ' room . subway right outside door , Macy ' across road , plenty good breakfast place area . want see empire state building window , grab city view room . back . 
 Sep 29 2009 	 Great Hotel 	 happy stay - 2 night early September . price tend fluctuate hugely lookout well deal . the room average size ny ( ie . fairly small diff anywhere else ) - new look condition everything great . room quiet include bar fridge microwave . excellent location , next Macy 's Empire state building walking distance Times Square . good right top major subway station service multiple line . Complimentary Wi - Fi business centre ( printer ) free coffee morning also big plus . also friendly helpful staff . definitely back . 
 Sep 29 2009 	 Sssh secret . 	 great location , 20yds subway 150yds Macys 6th Ave ( Avenue Americas ) one block empire state building . high standard house keep three knock door ask leave checkout day checkout time noon . friendly , pleasant helpful staff . not eat hotel , however room microwave fridge . plenty restaurant ( get discount , see room advice book ) food outlet around . bar pleasant welcome barman . want transport airport leaving suggest use yellow cab ( flat fee $ 45 + tip ) 
 Sep 28 2009 	 Quality position great staff 	 what s wrong hotel - nothing . excatly right place situate adjacent Empire State Building . staff room top quality . bed , duvet pillow exceptional . flat screen tv , fridge etc shower that s BIG . not try breakfast still full eating steak night Keens Chop House ( around corner ) also recommend highly . 
 Sep 27 2009 	 Perfect NYC location amazing price . 	 perfect hotel anyone look affordable midtown Manhattan hotel . room small , big enough accomodate , partner 4 suitcase . bed big , comfortable & amp ; luxurious ever see . the bathroom big well - appoint walk - in shower . the location AWESOME . 10 foot subway station , across street Macy 's . 's perfect spot midtown - halfway Central Park / Upper East Side / Musuem Mile south island - SoHo , Greenwich , etc . the service nothing special ( cart bag trolley room street , concierge not even look ) , 's idea . feel like service apartment hotel , be like . want clean , convenient location perfect . incredibly low room rate , hotel ever want stay visit NYC . 
 Sep 26 2009 	 fantastic location 	 stay hotel 5 night begin september , overall pleased stay . we 4 friend travel together , book city view room . place 16th floor , fantastic . Exept fact room , 1602 , small , & quot ; city view & quot ; next door building . look floorplan , seem small room floor . friend room , 1606 , lot big , great view Empire State Building ! know complain room , could refund & quot ; city view & quot ; , really could not bother . room great anyhow . the hotel brand new , room tastefully decorate . bathroom wonderful , shower huge ! front desk staff concierge pleasant , get great service : ) good thing hotel location ! block Empire State Building , 10 - 15 minute walk Times Square . also subway station right outside hotel . 
 Sep 24 2009 	 comfortable clean pleasant room 	 other mention , room small ( pretty normal New York ) bed good bathroom nice plenty towel . bit worry 3rd floor , might hear street noise , neither husband hear thing . quiet . husband especially pleased coffeemaker room , supply china mug , not drink paper styrofoam . 
 Sep 24 2009 	 can not ask well location value New York City . 	 stay September 2009 one night . staff friendly helpful , room clean bright 's great location see many major sight city . downside room small bathtub ( really like ) . otherwise , happy stay would recommend business leisure traveller . 
 Sep 23 2009 	 Great Value 	 stay week June anniversary trip sister recommend . stay business review point , pick base price newness . anyhow , room well design clean . fairly quiet well . small everyone else say , really bad , ' ve stay small room ! location great take subway , 2 block close stop . find sometimes hard find taxi 35th , major artery , doorman run 8th Ave get one you . we pay around $ 130 / night include free continental breakfast . could pay extra upgrade hot buffet , never since big breakfast eater . server get know we day would automatically bring tea juice like table . one thing note tub , shower curtain . not problem leak people mention . really like Bliss bath product provide . overall , great find would definitely stay ! 
 Sep 23 2009 	 new favorite place stay business 	 hotel new , nice , quiet , sooooo nice . can not tell many time ' ve stay $ 500 night hotel wall paper thin . there not many room per floor nice , room 's everything would expect see Hilton Garden Inn . room size average NY . 's BARGAIN consider 's great location . the downside teensy bar area lobby . get drink special will sorry like . ' m use NY price , $ 13 drink lobby bar ? 
 Sep 20 2009 	 can not beat location Midtown 	 hotel open February 2009 nice stay brand new hotel & amp ; can not beat location - wallke distance major attraction midtown . although room small , comfortable . small fridge & amp ; microvave come handy . room look directly onto Empire State Building ! ! reception desk small often line , however move fairly quickly . love mini convenience shop within hotel & amp ; fact could charge item room . small business centre offer free internet access however room often full . would definately recommend hotel ! 
 Sep 18 2009 	 nice new hotel perfect location 	 hotel perfect location right broadway 6th ave direct view Empire State Building . room big new clean . bathroom nice large shower . breakfast good staff nice . 
 Sep 18 2009 	 great location nice view 	 stay Hilton garden inn 35th week mid summer stay great . we choose high quality / price ratio location book directly Hilton website . mistaken . its location perfect visit NY . 1 minute Macy 's , subway stop outside hotel . location allow we walk ( must say like walk ) central park ( 30mins ) financial district ( hour ) . personnel kind we kid begin . the room great view empire state building , rather spacious appreciated availability empty fridge ( useful store milk kid morning pre - breakfast ) microwave , complementary wifi connection . 
 Sep 15 2009 	 ideal location 	 stay Hilton Garden Inn Manhattan last weekend . agree many review accurately state ideally locate , Subway stop right outside hotel within walk distance Empire State Building Times Square . staff helpful room nicely furnish clean ( although small other ) . would definitely recommend hotel visit Manhattan . speak staff room service good nothing much trouble they . we also find wifi invaluable . comment trip advisor regard lift , wait short time one three lift arrive floor . get busy crowd not problem we . 
 Sep 11 2009 	 Great Location 	 stay Hilton Garden Inn Manhattan last weekend find great & quot ; home base & quot ; stay . ideally locate ; subway stop right outside hotel walking distance Empire State Building Times Square . Penn Station also short walk away ; therefore fly Newark ( ) easily take train Penn Station walk hotel . staff helpful room nicely furnish clean ( although small ) . would definitely recommend hotel visit Manhattan . 
 Sep 8 2009 	 great hotel great location 	 ' ve return 5 day Hilton Garden Inn New York - hotel clean , room nicely furnish bathroom spotless . nice shower , fridge microwave room large flat screen tv . small hotel bar fine great bar within 2mins walk distance . hotel subway stop 1 block Empire State building Macy 's ( great shopping UK ) . would recommend hotel excellent base New York , honest , going spend anytime hotel anyway ! ! 
 Sep 8 2009 	 Luxury get - away city 	 get great deal online hotel ( $ 180 per night room two double bed ) . new spotless . feel luxurious - bed sublimely comfortable fancy foam matress adjustable along uber - downy pillow . bathroom spotless ( picky ! ) feel top - class marble soft towel . right near Empire State Building . room fifth floor overlook building completely quiet night . staff could helpful , front desk team give we great recommendation input activity . 's little & quot ; pantry & quot ; open 24 hour buy juice snack . free wireless room well . we highly recommend hotel ! luxurious , great value welcome . 
