Great 	 parent stay visit China fantastic time . two notable aspect hotel service location . the location excellent walk take subway - great not speak much chinese subway good backup plan can not get cabbie understand tire Beijing traffic ( ) . hotel practically top Dengshikou station Line 5 , stop away line Temple Heaven Hongqiao Pearl Market . also walk distance wangfuje Shopping Street Donghuamen Night Market . technically walk distance Tiananmen Square Forbidden City short walk , especially already walk around day . couple convenience store within 2 3 block snack , etc . also . neighborhood appear sterile first ( nice hotel , department store ) interesting hutong street also walk around bit . the staff hotel excellent , especially restaurant . concierge helpful making booking arrange tour well give direction . reason recommend take taxi oppose subway everywhere maybe be not trust get around subway - really quite easy not hesitate take even tell cab recommendation . the room nice bed pillow comfortable . food good - particularly steak restaurant ( break chinese food night ) . gym also well - equip large expect . my complaint room street side hotel pretty noisy . although nice view be sensitive noise recommend stay courtyard side . for money can not imagine could find well hotel Beijing . rate find least US $ 100 less five star hotel look . 
 Wonderful 	 stay Peninsula two previous trip Beijing . decide try Regent time $ 100 night cheap suite look wonderful . true ! suite nice ever - even two bathroom ! President Korea short time stay - security tight - fact , everyone floor . club room option also wonderful . thing find different Peninsula staff good grasp english language . difficult time get thought across . fantastic bargain stay next trip . 
 Oct 3 2009 	 wonderful place stay 	 Royal Asarlic Beach Turkey wonderful holiday hotel resort food high standard staff helpful friendly good go back third year meet two different couple one twenthty time sixteenth time speak look forward next year 
 Oct 3 2009 	 good hotel 4 china city 	 nice room , spacious . great location close Wanfujing shopping area . 2 block away . Glass wall bathroom automatic blind control . really good breakfast buffet staff wait ready take away dirty dish . nice mix western chinese dish . nice 25 meter swimming pool . 
 Sep 20 2009 	 Excellent Hotel great location 	 hotel fantastic option Beijing . arrive early promtly check . book Travelzen great price find excellent request meet . decide upgrade club room additional 475yuan per night . well well worth upgrade . lounge great relax day trecke around beijing . free drink day happy hour 6 - 8pm nice hot cold food importantly free champagne : ) , every night overloooke beijing forbidden city . hotel 15min walk forbid city lot shop close by . the room huge large bathroom lot amenmitie , load fluffy towel decide shower / bath mid afternoon still fluffy towel morning shower . especialy like foot balm really help tired foot . request view forbid city get , view could well . nice view tianamen square forbidden city . perfect view firework rehersal national day 12th sept , amazing room . I must also mention consierge service excellent . Especialy one lady ( do not get name ) speak excellent english really effeciant friendly . book number restuarnt ( S.A.L.T , make China e.t.c ) . also ask ic travel card ( use subway travel ) . give one free charge whith money free . extremly useful would recomend travel subway . traffic crazy , use taxi . another good point hotel porter note taxi number hand card leave anthe taxi e.t.c excellent taxi driver really try rip . none hotel this . we also book taxi driver great wall hotel 600yuan . visit mutianyu . make sure taxi driver speak great english excellent . drive take 1hr 25mins would highly recommend book hotel . so summary would definately recommend hotel service , view location perfect ( metro stop beside hotel ) . 
 Sep 2 2009 	 Great Location ; Great Deal 	 use TripAdvisor comparison shopping find wonderful deal Agoda & quot ; deluxe room breakfast & quot ; 4 Star hotel . lovely hotel elegant friendly ( much Portman Ritz - Carlton Shanghai ) quite new . location terrific -- next subway see Forbidden City upper floor hotel . across Legendale Peninsula Hotels . huge room top floor grand view . bath also huge separate glass shower lovely toiletry . breakfast buffet sumptuous include Chinese , japanese western selection attentive staff wipe spill juice etc realize spill ! ! internet free well . fitness center pool also fantastic . , terrific buy ! ! ! 
 Aug 31 2009 	 wonderful 	 wonderful hotel . fabulous service , splendid room , great fitness facility . incredible staff . plan stay next month . absolutely recommend stay fine hotel . 
 Aug 11 2009 	 wonderful hotel would like stay long 	 part China trip July 09 , opportunity stay Regent Beijing . come away impressed . simple building interior design well . impart sense space openess . the check process smooth efficient . the room spacious nice ' open ' feel whole layout . could literally breathe easy hotel . room decor tasteful simple . bathroom amenetie nice though almost everything tinge lemongrass . not like lemongrass ..... food excellent . order room service must say one good burger would taste long time . addition , staff get slightly complex order exactly right . breakfast coffee shop buffet spread offer lot choice . egg station get order right . the staff friendly efficient pleasant . I definately stay possible , long . 
 Aug 10 2009 	 Great Hotel 	 room huge nicely appoint . room huge bathroom complete big tub shower room . also desk free internet service . breakfast include omlet station , home - make waffle choice could possibly eat . service bit & quot ; & quot ; - cast thousand wait - pretty young woman stand call elevator greet restaurant meal , order martini ( even point menu ) , get two shot gin ice . also refill inroom tea station every day milk affter first day . little thing , place carry Regent Touch - not quite make . 
 Aug 7 2009 	 spectacularly beautiful hotel 	 husband stay hotel one night part cruise tour take . hotel one year old time . public space soar , expansive modern design . room extremely large luxurious ' ve see , every possible amenity , bathroom . chinese restaurant ( believe continental restaurant ) hotel good buffet breakfast amazing , western chinese dish . could spend whole day eat dumpling . 
 Jul 20 2009 	 Great Hotel Good Location 	 nice room , spacious , clean everything need . one draw back Wi Fi available room , ethernet connection . wifi public area . great driver day go Great Wall . name Robin Kong ( arrange concierge desk ) english excellent , informative , would definitely recommend . location great , 15 - 20 min walk Tiananmen Square , Forbidden City . 
 Jul 8 2009 	 top hotel ... 	 stay Regent 4 night May ` 09 . 4th visit Beijing , early visit always stay Peninsula cross street . time want new experience , sure ... Regent look swanky outside , sure lobby impress , totally unpersonal . late arrival , dinner hotel first night . food really basic , price skyrise ! cup coffe USD 12 , - , bottle import norwegian water usd 17 , - ... room great though , necessary equipment , beautiful bathroom , already little date . the service staff basic , lack training . past visit Beijing , well knowledge Beijing concierge desk ... one smile try good girl call River pick we airport , Beijing hotel , hire ! next time definitely go back Peninsula ! 
 Jun 8 2009 	 luxurious ! ! ! 	 stay Regent birthday choose several place base review tripadvisor . hotel fairly new construction huge room . premium room overlook forbid city awesome view . room quite luxurious mattress comfortable hard day walk n great wall bathtub . believe soak end day wonder ache muscle . even toiletry disappoint . imagine aromatherapy relax foot rub ( bliss ) apart regular moisturiser , mouth , shampoo , bath salt , body scrub etc . always enough towel want bath . room bathroom glass wall cover venetian blind cud open let light in . the breakfast quite good continental , american , chinese slimmer option . oh room coffee maker addition tea maker choice normal fruity tea ground coffee bean . there excellent fitness centre 5th floor . the conceirge speak quite good english recommend good restaurant include one amazing peke duck call Da Dong . even guy door helpful , instruct taxi guy exactly take also argue behalf ! ! ! thing disappoint we atrocious english housekeeping staff . try help time patience run thin . hotel seriously need look . otherwise stay perfect . would recommend hotel want luxurious stay right heart Beijing . 
 Jun 1 2009 	 Great Stay 	 take mother Beijing birthday choose hotel base TA review . not venture friend guide arrange take we around hotel locate close Forbidden City rate include breakfast hotel restaurant great way start day . 's also ATM starbuck one building behind hotel . also really enjoy hotel fitness center / jacuzzi sauna . room spacious clean , staff ( reception house keeping personnel ) friendly . * * look hotel rate internet - rate pay lot low rate via hotel website . 
 Jun 1 2009 	 Five Star plus 	 recent stay Laguna Hotel , Bali never think wouldencounter similar 5 star experience . Regent Beijing certainly match 5 star hotel ' ve stay , moment arrive departure pure luxury . breakfast superb every possible amenity room . understand hotel fairly new immaculate . return room whilst maid still clean vacuum behind bedside table curtain ( hotel take note ) . location also excellant , 30 min walk Tianeman Square 10 min main shopping area . yes drink expensive : £ 11 glass wine £ 7 beer ( depend exchange rate ) service world class ambiance priceless . use Gym swimming pool stay nice , locker equip towel , robe , shoe water freely available bottle . free internet access room speed good . return Beijing would certainly stay Regent . 
 May 23 2009 	 always good 	 Regent Beijing modern , sleek , well - tone hotel wonderful oasis fascinating city threshold ancient modern civilization . Personnel , young well dress , duty constantly porte - cochere , lobby , registration counter elevator area . reserve , polite eager help , language prove obstacle ( see ) .The premium room emanates comfort class . flower inside door mini - foyer flower shelf bathroom , light indirect lighting . bathroom one mirror wall another glass draw mini - blind face bed . stand separate bathtub , patterned glass - enclose toilet separately enclose show basin granite counter , drawer indirect lighting . spacious elegant . good , great water pressure two shower head , one large round directly overhead fixture another usual type slide pole . one , two bathmat floor nice touch . good , large cotton towel . everything spic span . the bed area round drop - down circular ceiling indirect lighting round large light fixture middle circle . apple distribute daily . bed firm , comfortable linen crisp . air - conditioning thermostat work well quietly . glass desk comfortable chair free internet connection . nice sofa - bench sit front window . request small view Forbidden City . and yes , room quiet . the breakfast first rate . american , european , japanese chinese food slightly varied daily . I awake group daily walk around city clean safe . hotel 's main street hutong explore . 15 minute walk bring east side Forbidden City mingle fisherman try luck surround moat , see gate ( entrance ) impressive corner tower . night route west bring pedestrian walk Wanfujing find outdoor food stand abut red lantern , many people grid alleyway food stand little outdoor shop . still alive scorpion stick find . location , uncertain trip , excellent sightseer . my wife glass make deliver prior departure . concierge share concerned delivery overdue look we finally arrive . we mix reservation make one online tour company make we another cancel rate cheap include breakfast ( great plus ) . try resolve check late night clerk could understand situation probably could not do anything anyway . follow day tour company book we rate next 4 day , still pay high rate first night clerk could not change . tour company , however , reimburse we presumably amount prepaid room . none upset we least especially since comfortable stay hotel . always good every city world , seldom will . P.S . China Tours book we room $ 184 / night service fee breakfast inclusive . 
 may 21 2009 	 Treat Regent 	 come half way around world visit Beijing , Regent disappoint . decor furniture still trendy new . would feel comfortable cozy stepped room . price also reasonable . location hotel also excellent . general , would smart pick hotel next trip Beijing . believe ! 
 Apr 28 2009 	 exactly need full day Beijing ! 	 critical 5 * hotel top market yet often disappoint . however , Regent Beijing everything . room clean spacious ( try get room high floor , be worth ) , beautifully design bathroom . leisure centre full gym amazing surprisingly good sized swimming pool . really enjoy afternoon tea lobby long trip Great Wall bar ( cozy snug ) perfect relax evening drink . the downside ( ) expensive breakfast not fabulous ( much well place Beijing much cheap , try ' steak Eggs ' ) ( ii ) delay order cocktail bar , although arrive fantastic . Overall Regent manage anticipate everything could possibly need visit Beijing , small touch not often see elsewhere . staff really friendly helpful arrange trip taxis . exactly need full day Beijing ! 
 Apr 15 2009 	 five star - clean comfortable great value 	 reading review TripAdvisor , change exist hotel reservation Regent Beijing . ' m glad . hotel brand new , extremely clean , room large spacious modern decor . conceirge eager help taxis travel arrangement . partake dining business service hotel . simply look fancy hotel not interested pay extra . actually , tea lobby , nice ( though somewhat expensive ) . pool great too . I pay $ 170 night , well worth . nice get taste 5 star , certainly can not afford 5 star back home . 
 Apr 11 2009 	 6 star hotel - Better Shangri La swisshotel . 	 nice room world ! nice pool SPA ! excellent service ! excellent food ! excellent location ! incredible value ! 
 Apr 10 2009 	 Good 	 surround luxury good , Rolls Royce showroom downstair , Gucci Burberry across street . superb restaurant around corner . commecial building next hotel Starbuck , Li Garden ( cantonese , Michellin 's 1 star restaurant Hong Kong ) renowned shanghainese restaurant . famous peke duck ( Datong ) branch across street ( shopping plaza Gucci ) . 10 min Wafunjian . see Forbidden City room . Stayed suite 's comfortable ( twice size standard room ) . free Internet . good deco . large bathroom . resonably spacious desk work area living room come big bright desk lamp . caveat 's enough lighting bedroom ( window room ) . food ok , stay away order pizza room service . 
 Apr 3 2009 	 Quite Good 	 spend three day ( three Hotel Kapok ) really enjoy . time critical view , strongly disagree . mine great . way hotel build , would seem like room would large view . close curtain morning bright . service excellent , , , , well go Hyatt dinner . bit tangent , Hyatt could get traffic move front hotel , one charge , wait forever taxi . ' m glad everyday . case Regent efficient . could get taxi anytime want . bell boy seem qualified honest . ( seem speak several language . ) professional . breakfast good , cheap . beware . be super noise sensitive , front room could loud major intersection . Beijing driver discover horn . live NYC find quiet . 
 Mar 28 2009 	 beautiful hotel 	 Regent Beijing excellent location . close historic site ( like Forbidden City ) lot shopping . room large beautiful . bathroom floor need clean ( find ashe stray hair ) .The staff restaurant ( Cafe 99 ) friendly , limited English . find concierge helpful term dine recommendation . 
 Mar 6 2009 	 Thank Tripadvisor contributor 	 always choose hotel read reviews board . choose stay Regent not disappointed . truly luxurious service well ever experience hotel . even get stamp post postcard we . we breakfast hotel choice amazing . think try everything offer stay . not eat hotel night busy explore city try different place eat . Regent central everying . it wonderful come back soak bath trendy bathroom . toiletry plentiful add day . slipper bathrobe fluffy cozy - would not want stay anywhere else Beijing . 
 Mar 4 2009 	 Luxury touring day 	 travel Beijing several day tourist . Regent luxurious retreat . walk mile every day return Regent wonderful bathroom fabulous . room everything would want . staff always kind helpful . grownup child another room enjoy room much . breakfast buffet spectacular . family adventurous eat dinner however must admit good cheeseburger fry ever room service . definitely book regent hotel whenever travel . 
 Jan 5 2009 	 luxurious room 	 stay honeymoon October fabulous ! even basic room ( ) terribly luxurious . washroom particular * * nice romantic ... cotton robe nice touch . every day staff would tidy room twice ( day come back dinner ) . put supplier sprinkle rose pedal comforter evening . king bed linen comfortable carpet hallway room extremely plush . request website 's reservation page view Forbidden City honour . even put we 15th floor nice bonus ! hotel close Wangfujing Street Forbidden City right top subway station . overall , fantastic time feel lot rich . downside leave last day . would definitely return Regent Beijing . 
 Dec 28 2008 	 Luxurious 	 switch book hotel Park Plaza see rate drop , two week stay mid November . ask get room view Forbidden City , visible not smoggy . room elegant beautifully design , floor - to - ceiling window overlook Dongsi - nan Jinbao street . also mostly comfortable livable , universal outlet ; individual reading light side bed ; bottled water restock often . say ' mostly ' find glass shower stall glass toilet room rather inpractical , although pretty . 's point separate toilet room 's see - through ? oh well , aesthetically pleasing . the service Regent excellent- staff friendly helpful , language problem . warn potential guest extras hotel costly . example : trip great Wall / car driver 1 day : 1800 rmb Use computer business center : 30 rmb 10 minute + 2 rmb extra minute printing 1 page : 10 rmb 1 glass wine lobby : 165 RMBBut course , optional . the pool area spectacular ; definitely worth visit , lady locker room even lady - only whirlpool . the Regent great location tourist , 5 minute walk wangfuje snack market . walk Forbidden City well- maybe 20 - 30 minute . find subway , turn right outside hotel entrance walk along hotel Dongsi - nan . entrance Dengshikou stop ( line 5 ) right , Regent . continue past subway entrance turn right , enter hutong behind hotel , highly recommend walk area . be also handy little store enter hutong drink & amp ; snack . turn leave exit Regent walk along Jinbao , will pass passageway leave lead Park Plaza , Starbucks , restaurant . will also pass ATMs Bank China . overall highly recommend Regent anyone visit Beijing . 
 Dec 15 2008 	 Downright sexy hotel love ! 	 stay 4 night part World Ventures tour China ... wow ! gorgeous hotel , incredeible amenity level , service , food quality , robe , slipper .... great . indirect lighting carefully design create wonderful mood room want . view room 13th floor great - actually look Forbidden City . at 11:00 night , man concierge desk leave hotel 10 minute trek local store buy call card - 's impressive . the steam room sauna workout area awesome too . breakfast buffet $ 20 , fantastic quality truly impressive array hot cold item - traditional american item , well traditional chinese Japanese . the maid overlook restock swedish whole cream fridge coffee press use morning . bring many need immediately , make note leave extra every day thereafter . we go italian restaurant . Gourmet food gourmet pricing , high - end resort . great presentation quality . pineapple - chocolate drink taste far well sound - 's good menu accord opinion , many other tour well ! lovely .... would stay impressed . 
 Dec 7 2008 	 Warm Cozy 	 stay 1 not .... great location warm deco . loved room bathroom ..... amenity good quality . excellent staff offer warm bottle water get taxi airport . rate consider cheap 5 star hotel beijingcalvin 
 Dec 5 2008 	 first class 	 stay long weekend Hong Kong . review correct - hotel really excellent . location good central sight , room large great attention detail service friendly everyone speak good english . would absolutely hestitation go back Beijing . 
 Dec 1 2008 	 Excellent hotel 	 stay two night end November 08 . location ideal , right center Beijing . service , room food ( italian restaurant ) outstanding . hard time find well anywhere China . 
 Nov 20 2008 	 Regent regal 	 excellent service start internet . make reservation week - stay Regent hotel Beijing via online source , send concierge email ask transportation to - from airport . get reply within 24 hour complete pricing type car etc . also ask help make reservation Li Family restaurant , within one day , concierge reply affirmative . while check , clerk ask want upgrade suite , include free daily breakfast . exist reservation regular room ( include taxis ) $ 175 per night . upgrade suite , price $ 250 nightly . worth every penny . suite huge luxurious wood panel large livingroom bedroom one full bath ( tub shower ) powder room . two flat screen tv , glass wall great view city . bed , unlike many ohter China , soft linen luxurious . metro station beneath hotel travel Beijing 's subway system clean , cheap , efficient . the Regent 's lobby high class subdue elegance . piano music provide relax break hectic street city , drool Lamborgini Bentley showroom attach hotel . the hotel nice enough hold luggage go 2 - day jaunt Xi'an . Regent less 3 year old fit finish design comfort high . service level excellent employee speak passable English . minor complaint breakfast buffet check - in time . cogee cold sausage noodle . , although egg prep station , man day early breakfast 6 -- could not help since jet lag , hungry bored . chef eat breakfast later morning . check around 10 clerk tell would wait hour , could take upgrade suite , ready occupation immediatley . find sale tactic bit pushy , take bait love suite . overall , good hotel ' ve use long time . 's highly recommene , especially swing suite . 
 Nov 19 2008 	 good hotel Central Beijing 	 Regent favorite hotel central Beijing . room significantly large Peninsula . exercise facility good hotel visit Asia . tourist site within 15 - 20 minute walk . subway stop adjacent hotel . main shopping area 5 minute away cross busy intersection , problem . staff hotel friendly . however , would helpful concierge speak somewhat well English . definitely stay next visit Beijing . 
 Oct 10 2008 	 Regent Regal Finale Trip 	 take reposition Vancouver , CA Beijing China 25th anniversary trip . Regent grand Finale tripI book small King room get check room think beautiful sufficient we would busy tour day . front desk ask we upgrade Suite include 17th floor Executive Club privilege $ 59 US day additional day initially decline decide go ahead splurge happy do . the Suite incredible separate living room 3 flat panel tv , extra guest bath , floor ceiling window look city look smack dab new Legendale across street ( gorgeous light night ) .There nightly turndown service one night miss we not really bother I . every time call anything even little thing instantly . the location terrific . walkable Forbidden City Wangfujing shopping district . subway nearby dare . the Exec Club Floor buffet breakfast morning 24 hour free internet .They also snack , Lattes , sodas etc . 24 hrs day . Happy Hour 6 - 8pm daily hot cold appetizer free drink . the staff attentive .Everyone hotel speak English . 
 Oct 7 2008 	 Brilliant ! 	 husband return amazing 5 day Regent . hotel everything hope would . staff extremley helpful compotent , assist we daily make language barrier Beijing non existent . the bed comfy , view 16th floor room lovely . room spacious decorate stylishly . order room service times lunch breakfast . - good . the location excellent . minute walk shopping , 10 - 15 minute walk Tian ' anman sqaure forbidden city . would highly recommend hotel . I would highly recommend hotel anyone . 
 Oct 3 2008 	 Superb hotel great location 	 actually book Park Plaza , arrive 10 pm tell hotel fully book ( see review say happen people ) . upgrade Regent ( next door ) 5 star oppose 4 star Park Plaza , rate include breakfast . the room superb , top floor ( 19th ) , floor ceiling window great view Beijing ( Forbidden City roof top clearly visible ) . room quite big , nice bed , large flat screen tv , lovely bathroom shower bath electric blind . load toiletry accessory room , room safe could tell classy place . get free small water bottle room provide nightly turn service . breakfast great , lot choice - cereal , toast , pastry , fruit , yoghurt , cook item , egg station etc . we eat italian restaurant Regent excellent , supply basket fresh bread free replenish require ( 2 starter , 2 main course , 1 dessert 2 soft drink approx £ 50 ) . staff helpful . would highly recommend hotel , lucky upgrade . 
 Aug 19 2008 	 Gold Medal hotel 	 return 18 day China . Beijing first stop Regent first hotel itinerary . spend 3 glorious night jewel hotel . location fabulous . short walk Night Markets great food shopping right outside hotel . room modern , spacious , beautiful include every possible ammenity . staff gracious attentive , buffet breakfast amazing . would give hotel 5 + rating . love . 
 Aug 17 2008 	 Exeptional 	 WOW ! bargain perfection , even food italian restaurant 100 % authentic superlative standard ( live Italy 16 year ) . must visit mid - budget traveler ( sub $ 200.00 ) . impressed . 
 Aug 6 2008 	 Best Hotel 6 one month stay China 	 China Business trip month July 2008 . trip stay 6 different hotel 5 different city . hotel Chinese rate 5 star . Regent far good hotel lot . stay full week China trip . the staff extremely helpful friendly . every one speak good English . dine hotel couple night food incredible . room include full breakfast also wonderful . instead instant coffee room coffee press : ) add location within walk distance Forbidden City location could beat . would recommend hotel anyone go Beijing . 
 Jul 24 2008 	 great experience overall 	 book Park Plaza next door upgrade Regent . the hotel excellent location : close shopping , tourist destination , many eat place within walking distance . also small convenience store across street . hotel kind tuck side street , green space front separate property busy street Wang Fu Jing . rare Beijing . hear traffic noise room . the hotel appear new . room high floor nicely decorate contemporary style . bed comfy . bathroom generously stock . internet free . slipper plush . pool nice quiet . went swim several time never crowd like another 5 - star hotel stay trip Beijing . gym nice . even offer group class yoga Step . Room Service prompt food good . the & quot ; fault & quot ; find noticeable carpet stain several spot . overall , great hotel . would stay next visit . 
 Jun 2 2008 	 faultless 	 upgrade hotel another one next door . corner room executive club privilege . great hotel -- service , room , bathroom , breakfast , happy hour , pool unable fault . great location close city centre , top subway station near night market . business traveller may demand we , tourist delight . 
 Jun 1 2008 	 wonderful Property ! 	 love hotel ! beautiful , room great , bed comfortable . easy walk distance restaurant shop . book entire China trip China Odessy everything really great . great sight see Beijing . we also eat great restaurant call Noodle Loft - about 20 min away hotel taxi . waiter speak English menu picture - wonder ful food cool atmoshpere . for might impair , hotel offer free wheelchair great tour Forbidden City Summer Palace . this truely world class property - we would go back heart beat ! ! 
 Apr 30 2008 	 Loved Regent 	 Based TripAdvisor review , book Park Plaza $ 135 US per night . arrive late evening pleasantly surprised overbooke send Regent . Regent nice . flat screen tv , free internet , comfy bed , clean . modern . 15th floor could see rooftop Forbidden City ( hazy ) distance . I use spa massage , masseuse pretty good job . 1 hour massage $ 100 US , think little expensive compare thing small town . eat Decappo restaurant cheese pizza . good , also desperate non - chinese food . if budget , stay . within 5 minute shopping wangfuje safe area . also close local pharmacy need anything . 
 Apr 26 2008 	 Excellent 	 stay New Year 2007 , fantastic hotel ! room luxurious , 32 & quot ; hdtv , free High Speed internet , Rain Fall Shower , Free stand bath tub , every sort amenity could think ! good part bed , extremely comfortable , probably good ' ve sleep , stay hotel like Plaza New York , Dorchester London , Oriental Bangkok , etc . staff polite , level englsh reasonably good . cleanliness room hotel general moderate , quite dusty . swim pool health club opulent , hot tub , steam room , sauna , gym , 25 m pool pool bar . also spa though expensive . not eat hotel restaurant could not comment , though room service soup order tasty , price dinner dumple restaurant accross street ! location good , surround luxury hotel , e.g , Peninsula , Grand Hyatt etc . shopping perimeter quite good- Louis Vuitton , Chanel , Ferrari showroom , Bvlgari etc . hotel also yield taxi direct want go , well give card give taxi driver return . overall , excellent stay . 
