GREAT 	 read several review , pleasantly surprised . agree coffee maker room would nice amenity . room large , carpet stain , room overall clean ; linen , nice . bed comfortable . housekeeping service great ! would definitely stay . Location North end strip , be nice busy . easily access bus monorail . 
 well ' ve stay nice place sure .... 	 actually casino . Thanksgiving . suppose short handed help could not even get cup coffee casino . be not coffeemaker room inconvenient also fridge microwave . view good part room . woman Club Sahara helpful black cashier disrepectful rude . bored mind go WASTE money tight slot . money get me.to housekeeping ..... guest room completely clean stay F -- - room rude . 
 get Pay 	 not really sure expect booked trip Vegas . figured hotel would deal ... unfortunately , get pay . concur previous poster problem bed bug . also weird stain wall room . huge one odd place , like wall windows . can not even begin explain could get . also paint chip woodwork room . aside bug , bed comfortable though stay quiet . not think see single person floor . check - in / checkout line somewhat joke . seem like one two people work line stretch entire length lobby / hallway area . one huge positive proximity monorail fact casino not massive maze need figure . would stay can not get past lack cleanliness . sorry ... oh , also internet somewhat expensive not work great - go Vegas sit online anyway ? 
 Oct 8 2009 	 defend Sahara anymore ! 	 4 year since last stay Sahara ...... last . time bring friend embarrase do . stay 3 night ........... 's good , bad UglyGOODfast check - ineasy self parkingno timeshare shark lobby timepoolmonorailbadparke lot elevator disgusting - thousand shoe print wall ceilingcoffee - $ 3.50 cupsport book - locate elevator Tangiers tower . People crowd luggage try watch game . security post well - busy watch game .... premium room - * * * basic deluxe room . amenity . pay extra nothing . coaster , Platters , etc - come on headline 5 year ago their . UGLYNascar Cafe - half size , half menu embarrasment nascarpoker ROOM - tourist need play , rule local .... know prey weak .......... funny 2 tournament row player final table . catch one signal raise ..... happen every local fold big blind ..... pretty suspect . happen ! beware . 
 Oct 7 2009 	 good travel budget ! ! ! good hotel really ... 	 first , must say second time come hotel . honestly go Las Vegas want spend money shopping , fun , go show drink . hotel last thing use honestly see well value hotel whole strip area . I pay $ 26 night week mom . else go get price location ? location perfect , front hotel stop Deuce also stop Monorail . the room ok price pay even hotel old hotel like style decoration . dont listen people say hotel bad thing ever ... come ... look price . strip hotels price range definitely nothing beat one . strip privacy quietness too . near hotel Ihop , Subway , McDonalds Stratosphere Tower hotel . also gigantic gift shop across street . the $ 12 eat buffet , worth value . however try go early noticed food well around 6 pm around 8 pm . I never use pool do not like pool area great catch tan . if travel budget definitely great option .... love hotel return next year .... 
 Oct 6 2009 	 load crap 	 friend stay two night . room dark , dingy , smelly . carpet dirty stain , mildew around bath long hair leave bath ( mine none ) pubic hair bathroom floor . dust tv . good blood something like side mattress . would recommend pay bit something lot clean tidy . aware price , see price pay . pay two night think want fee incidental ( use ) money back rip . not forget tax tip ; add . Rip holiday . 
 Oct 6 2009 	 even affordable rate - would not recommend anyone - disgusting 	 use Vegas send return trip zion . know Sahara old hotel not expect much , jeez ... least pride hotel basic cleaning repair . not care amentie , want clean safe . drive late night ( 10:00 ) first experience parking garage . drop 4th floor signage indicate could not travel floor besides leave . finally find spot take elevator hotel level . garage elevator reek urine vomit glass look like not clean year . check pretty seamless one else check , one agent catch eye give ok approach . rest busy talk hotel 's local special nightlife . ask & quot ; upgrade & quot ; original reservation online . front desk give balcony room 24th floor one penthouse . give , thought would , thing consider , decent room . retrospect , would hate see room would looked like w/o upgrade . single woman travel alone , first thing notice first light switch arrive room work . fumble around dark find lamp . bathroom miss hot / cold nozzels b / c replace w / another fixture ( see pic ) . however , still look sloppy considering could caulk / tile . balcony seat could straight junk yard rip dirty ( see pic ) . non balcony right empty wine bottle someone climb window drank edge ( see pic ) . look ( find comical really upsetting ) , one see dozen bras / underwear trash throw story . leave room small bite eat gamble bit . say server Nascar Cafe Dealer friendly helpful . food Nascar Cafe leave feel sick wondering could deliver 2 minute ( yes - 2 minute cheese stick ) . think leave cancel order . eat leave rest . finally , checkout TV & quot ; wireless keyboard & quot ; punch information email confimation checkout . sticky pound letter several time even get show tv screen . finally give , call front desk , tell check leave key room . every intention eat breakfast joint ( think call Caravan Cafe maybe ) , look look like sad conference room w / no window locate , leave go Ihop across street instead . benefit hotel fact could balcony high ( rare Vegas price ) one last hotel North end strip make quick exit way National Parks Home . would stay . need deal w / the filth disrepair place new affordable . 
 Oct 3 2009 	 get pay ... much . 	 room , okay . casino & amp ; hotel , underwhelming . pool , break . dinner buffet , sub par . parking garage elevator , third world . next time ' m stay strip . location really not make dissappointing feature . 
 oct 2 2009 	 Excellent budget hotel 	 stay Sahara Hotel Casino 23 September 30 September 6 friend . bit worried awful review get , think great money pay . room ( standard one ) fine , clean , air conditioning work , ok look bit tired not come Las Vegas sit stare wall room . staff friendly , casino great . buy $ 1 hotdog , $ 1 beer , $ 1 shot play blackjack $ 1 day .... complain ! bit trek end strip action seem take place mean get walk $ 1 beer hotdog eat .... definitely diet time ! great time Sahara consider price pay ! ! PS : Grand Canyon tour company call Serenity brilliant .... seem cheap could find ! 
 Oct 1 2009 	 good location value money 	 stay nine day feel good hotel . location , excellent , near top strip , within 15 walk Fashion Show Mall south Stratosphere north , easy access car Interstate 15 highway ( around mile west ) . not understand people complain Sahara far everything ! not leg walk ? 's Monorail station right next hotel , though expensive use compare deuce bus run Strip . as cleanliness , fine . alright , small stain carpet room , hotel basically clean . course , would clean still management sufficient courage ban smoking everywhere , rather simply think much money would like make ( ban smoking would lead make less money ) . smoking allow casino area , customer walk everywhere cigarette , even area 's permit like near reception . ban smoking would first step turn around hotel numerous complaint dirty . hotel simply reflection people stay , ! room service pretty good , bathroom regularly clean daily . mildew round edge bath , nothing worry about . I not know much pay room come package flight include , can not much . room spacious . would say potential customer put numerous fusspot post site nothing would enough - can not get five - star hotel budget rate ! 
 Sep 25 2009 	 perfectly fine price . 	 spend $ 100 night hotel , would sorely disappoint . sure folk pay , can not gauge review . spend $ 26 night , perfectly pleased get price . room could definitely use work -- mean fancy . small tv , wear tear curtain , small stain rug . room , however , smell , issue air conditioning bug . love $ 1 blackjack $ 1 shot , really good luck slot . be great monorail , one close hotels downtown take bus cab . lot love Sahara , especially $ 26 night ! pool never crowd , never issue get towel chair . water cold , though ! be budget , not need stay somewhere fancy , think place great . spend 8 hour room Vegas sleep , really not want stay anywhere expensive . 
 Sep 23 2009 	 aweful hotel ever stay . never stay Sahara . 	 good part monorail stop escape . carpet dirty top dirt ( look like 30 year worth ) major stain . bathroom mildewy , many crack tile , sink crack , faucet leak side handle counter , towel dirty ( one mascara stain grimy ) , balcony use teabag crouton , desk fall apart ( old make particleboard obviously drink spill ) , breakfast buffet bland stale food ... however bedsheet surprisingly clean , although bed saggy . check one night . nasty top far everything . 
 Sep 22 2009 	 check - out good part 	 highlight stay 1 hour wait get key filthy , smelly room call front desk unanswere leave we wait line get different room ( not get clean one mind , different one ) . relax way start vacation . we joy experience nursing - home - style food buffet . really get taste bud happy vacation . sock floor shoe damp morning - gross . foot not sweat , moisture rug - wonder liquid give we something interesting ponder vacation . the stay , 24 hour end high note - check ! ! stay hotel make really look forward check . thank interesting stay , wonderment & quot ; be next & quot ; joy check out . never . even pay . 
 Sep 19 2009 	 way ... 	 one hour check - in . dirty hall , old room , staff ok . far away everything . 
 Sep 18 2009 	 experience repeat 	 recommend friend stay year ago like . overall impression hotel decay . obvious place elegance suffer year neglect due poor management upkeep . the place dirty unkemp . lobby lift room evidence need soap , water disinfectant . room poor condition actually improvement see despite dirty stained carpet . happy check - out . pool pay $ 6 use , see room everything else not even look . 
 Sep 18 2009 	 not stay ! 	 room swamp cooler , air . sweat night long . call fix drain water air unit leave . never stay dump . also hide charge not mention book . find later get . 
 Sep 16 2009 	 dirty wear 	 book & quot ; premium & quot ; room 4 night stay . check around 9:30pm tell premium non - smoking available . give smoking & quot ; deluxe & quot ; room instead . allergy symptom unbearable . mention stains carpet , dirty bathroom , stale odor . immediately next morning call front desk switch original request . much well . reason call premium room locate update tower room well decor . impressed . get pay though . hope descent room . toilet run night tub would drain . bathroom full mildew scum everytime try get ready allergy act . pay extra money stay descent hotel . 
 Sep 14 2009 	 dump ! 	 large group family friend gather niece 's 21st birthday , since know would entertain , reserve suite . sister - in - law select hotel low rate ( would never choose place ) . drive place evidence rundown area stomp ground next 3 day . cab ride well part strip cost $ 20 - prepared . Youl could take tram , be look $ 15 round - trip , well . wait line almost hour check , give key suite . way , pass loung area next check - in area , appal see huge sectional filtthy run , look though someone find abandon street bring back hotel ( good oman ) . anyway , room .... upon first sight , suite large , ample seating . however , initial impression immediately replace reality : room 80 degree ( air full - blast ) , telephone work , 2 lamp room work , refrigerator bar work , carpet stain filthy , 3 piece furniture tear and/or break . use cell phone call front desk report non - functioning room phone , tell assistant manager would bring new one . wait almost another hour ( hot room ) , surly assistant manager show new phone ( also work ) , make clear interest whatsoever hearing list unacceptable item room . make remark problem technical nature , disappear & quot ; see could do . & quot ; never & quot ; ' m sorry & quot ; inconvenience , even slight hint give one damn . forty minute later , bellman show move we different suite . take different room different tower , room clean well condition last , suite quite bit small . asst . mgr . say suite available , statement later discover bold - face lie . end , guest much small room , actually sit carpeting . give comparable room , upgrade . instead , give less reserved month . overall impression Sahara rundown , dirty , fall apart , run people not give damn . hell freeze ever stay dump ! 
 Sep 14 2009 	 Good Bad Ugly 	 good+ Cheap+ $ 1 beers+ Sixties Mania band loungeThe bad+ broken lamp , appliance , fridge+ smoke - fill casino w/ poor air filtration+ bad location , walkable strip destinations+ $ 14.99 + tax breakfast buffet+ run toilet+ individual climate control two tower ( request Tangiers tower ) + 30 minute wait check + $ 6 fee use pool ( whether use pool ) + motel quality bed , towel , etc . the Ugly+ Patchy , stained , filthy carpet+ tear upholstery+ peel paint wallpaper+ every upholstered surface need steam - clean replacement 
 Sep 10 2009 	 Labor day budget stay 	 either pay $ 90 good western $ 89 Sahara pick Sahara location . towards end strip , close old town . [ tower past Sahara shop - 427 ] room old small . AC blast whole time , still feel like 85 degree . tv small old 12 inch see old cooking show . ice machine floor pool big , fill people kinda musty ... recomment hotel anyone unless restrict budget maybe stay business . 
 Sep 10 2009 	 excellent value money clean HELPFULL STAFF 	 Excellent value money . arrive late evening wait 10 min register check . room clean cool . throughout 7 night stay staff helpful especially Tony reception . room always clean high standard day . okay furniture might bit worn excellent hotel price pay . would highly recommend anyone stay . dread stay reading report would advise anyone ignor experience exceptional one put dirty unsuitable room service . 
 Sep 8 2009 	 bed BUGS ! 	 beware ! hotel full creepy - crawler . stay Sahara always upgrade suite , problem , usually enjoy play poker tournament dine House Lords . time , however , two day arrive late not think would room much . stay room 1426 bedbug full infestation ! boyfriend go back room early many feel crawl tell come back room ! stay family different hotel . next morning call Sahara way back hotel find bug . tell could file report . time could get back room , room key work sheet strip bed . security lady escort room terribly rude even ask sheet go ! like take something ! seriously , person right mind would take infested bedding anywhere ? whole fiasco would bad - could checked get different hotel put suitcase bed . everything bring include suitcase get infest . bug crawl ! usually bed bug microscopic , sizes- attached photo take iphone- even limited resolution , bug evident . end throw many clothe good portion everything else suitcase . see large crawl bug tiny tiny carcasses- maybe bed bug type bug . boil clothe would something wear vacation . swimsuit ruin hot water dry . stay ! ! believe , enjoy spend portion vacation decontaminate belonging ! notify Southern Nevada Health District ' Environmental Health Division infestation hope nobody else deal creature . 
 Sep 8 2009 	 ready implosion 	 grimy filthy carpet . moldy bathroom , Offensive smell , unhelpful bell captains/ concerge . Dean , Frank , Elvis sleep , probably sheet . 
 Sep 4 2009 	 secret great time Sahara- will not cost much 	 Sahara many advantage . weak link room selection always ask upgrade room Tangiers tower floor 25 - 27 make sure room flat screen know newly remodel room . buffet good average would eat free buffet comp choose Nascar cafe , Cravan cafe Pacos pay . the reason choose casino great food restaurant , good comp ( even minimal gambling earn free food , drink slot play ) pool clean big rarely full , get monorail right hotel , show great ( see Platters , coaster really impressed ) , free slot tournament price reasonable . people budget $ 1.00 beer special $ 1.00 hot dog well $ 1.00 Blackjack . yes stay modern update casino able afford eat drink ? sister get great room price Mandalay Bay walk another hotel every day breakfast price . one last comment - Sahara quick cab ride downtown right across Stratoshpere . 
 Aug 30 2009 	 enjoyable overnight Sahara 	 end Sahara last minute , upon discover Excalibur book Sunday evening , pleasantly surprised overall value place . bear mind , requirement place particular evening somewhere Strip , relatively cheap , close monorail station . Sahara definitely exceed expectation $ 35 - 40 / night room . location not great , like Strip hotel , monorail station right take wherever want go . time catch place bit , overhaul would not bad thing , lot charm Sahara 's old - Vegas feel . importantly , clean find staff among friendly ' ve experience Las Vegas , infinitely pleasant contemporary gaming market ( Connecticut , Atlantic City , etc . ) . 
 Aug 29 2009 	 get deluxe room 	 read mixed review site , decide spring extra $ 7 select deluxe room . good decision . usual LV , room contain little keep room casino , nice room , worn , tired , dirty . suspect complaint folk go standard room old tower . ( three tower three class room : standard , deluxe , premium . ) 
 Aug 23 2009 	 quite satisfactory budget . 	 second stay Sahara . room compe three day , great deal . wait long line check , Tuesday afternoon . busy . find staff kind helpful . room bit shabby , carpeting really needs replace ! iron burn carpet , along cigarette burn well . temperature nice , air conditioning work well , loud . small balcony table chair , gorgeous view overlook pool . downside also overlook roof another part hotel air conditioning unit loud ! bathroom clean well appoint , tub drain slow . bed comfy , clean sheet , find couple bug bed . ( bed bug ? ) none we bite , however , maybe . curtain need cleaning , window . casino awesome ! play lot . win big , couple hundred . seem like winning taper late night early morning . Buffet average , $ 8.99 player card . late night steak egg one restaurant awesome , $ 4.99 ! get drink , though , $ 3.00 coffee soft drink . opportunity use pool , wish could . be beautiful ! monorail entrance right casino convenient . would suggest utilize go south end strip . , Sahara need improvement , enjoy stay great time . would suggest go anal cleanliness . especially 's free reduced rate . 
 Aug 15 2009 	 need facelift not bad 	 Sahara obviously need facelift refurb hear get - sbe logo cool cocktail cup give away ... lol . anyway , check fine , room bit shabby need refurb suit we need . barely room not overly bother we . pool area pretty good , clean , spacious busy . casino stinky think smoking cause . location wise not totally happy . although monorail stop hotel take right MGM bit way reason would stay another hotel go back Vegas . move Excalibur extra night reasonably price much near action . 
 Aug 15 2009 	 negativity 	 read revue hotel weihe , arrival booking desk clerk mire helpful process go smoothly late evening tired early night room 12th floor cool , morning go see desk clerk room cool enough sort straight away wher give room 22nd floor perfect.yes hotel bit tired look whole clean staff contact polite friendly people complaint loudmouth americans seem want venitian style service sahara prices.the show go see platter realy first rate , eat lot un restaurant think little expencive food nice eat different place stay would recommend . 
 Aug 12 2009 	 Cheap Quality Old Stinky expensive price ! ! ! 	 Sahara hotel casino 's room rent extremely expensive poor quality ENTIRE PLACE . stay well room little side road motel . carpet look dirty , bathroom door , bathroom ceele water damage although paint . sink leak floor use ... notice brushing tooth , disgusting . shower curtain close wall , leave little room shower . guess see curved shower pole . casino ( entrance hotel ) stinky , smoke poop . tell change carpet since onpene place . elevator make weird noise , old . overall , cheap QUALITY , expensive price , old RECOMMENDED ! ! ! 
 Aug 3 2009 	 get pay 	 stay Sahara March 22nd March 26th . yes know review long time come . Sahara Strip close Freemont Street old Strip . old hotel strip . see well day . Problem Vegas hotel Sahara would good hotel live , compare new hotel Vegas not hold candle . hotel dark well ventalate . smell smoke . compare Bellagio can not tell people smoke . room old , first room smell bad . second room well new still outdated . gaming area decent try find waitress bring drink . oh yeah outfit look like 1970 . 3 good solid restuarant however . Buffet really good cheap player member $ 9.99 . & quot ; diner & quot ; srue name good food , cheap well . favorite place Sahara Nascar area . great theme restaurant , feature & quot ; Speed & quot ; ride . intense roller coaster . fast Furious . anyway much say . pay $ 24.50 per night , really can not complain never room . would however spend little money next time room upgrade new hotel . 
 Aug 3 2009 	 cheap - old - worn ! 	 stay Sahara 3 night . room 20th floor , view nice . nice . room old wear . carpet fray wear . furniture old . nice . $ 12 per day internet access ! ! joke . 
 Jul 28 2009 	 Viva Las 	 much enjoy free trip Las Vegas last June . friend visit Sin City Fords dime stay iconic Sahara hotel . room nothing wirte home , really spend anytime room anyway . check check efficient staff desk acceptable . the BELL DESK : land Vegas luggage halfway ... San Fransisco . airplane attire first day ( suck ) guy great get luggage we ( thi job , do well ) POOL : busy good size great sun . ROLLAR COASTER : Lame anything worth once . the BLACK JACK : be much gambler look fun dealer nice patient . roulette too . the BUFFET : suck . go spend amount another Strip hotel . food Caravan okay , price good atmosphere feel little run dreary . the MONORAIL : station right be front door get almost anywhere strip . save hundred dollar cab fare buying 72hours pass . take MGM go catch Ka ' walk across street get New York New York Excalibur . take right Harrah 's catch free shuttle Rio Chippendale action pretty much anywhere else strip easily accessible . way convenient ! ! would not go back like variety would recommend like price . afford go elsewhere , be VEGAS ! right . 
 Jul 27 2009 	 Nasty disgust filthy hotel 	 husband stay Sahara one short evening . book Wednesday - Saturday trip Vegas schedule depart Sunday 12:45 . stay Wynn ( amazing way ) Wednesday , Thursday Friday night . not want spend money stay Wynn Saturday essentially leave middle night book stay Sahara pretty much place store bag last day . room super cheap -- $ 50 . check tell owe hotel add ' l $ 6 & quot ; electric fee & quot ; -- world ? ? husband immediately alarm shady look people walk around hotel mention crazy child run around unsupervised . get room , find dirty front door , filthy carpet nasty stain even large iron burn . furniture lamp looked not dust month Sundays . sprinkler system much dust hair build - up look like growne small fuzzy animal . hear strange noise come ceiling -- sound like something small run around . : ( bed look old comforter dirty . bath tub miss nob major scum build - up . husband lay towel bed feel comfortable sitting . red chairs room soooo nasty would not sit million buck . check , change clothe , brush tooth leave burn time strip plane departure . come back time freshen - up get h # * l ! honestly surprised luggage not steal return room . & quot ; stay & quot ; Sahara , shower ( think would feel dirty ) , take shoe lay bed . hotel may old lot history scary disgusting not chance look around . take advice not stay hotel ! ! 
 Jul 25 2009 	 dump 	 check fast easy despite book Deluxe room give standard one . hall room smell terrible room even bad : smelly dirty . stay . 
 Jul 22 2009 	 one night Vegas ! 	 good hotel , cheap ! Payed 30 dollar room per night pay hostel NYC Chicago .. high strip it´ still walk distance ! nice pool : ) 
 Jul 20 2009 	 sahara bad hotel . 	 Room hot appear old kind smell . good hotel spend . will not fridge microwave oven . flush toilet will not work properly . prepare stand long queue check hotel . there lot counter check maximum 6 people help check slow . 
 Jul 19 2009 	 Hot Mess ! ! ! 	 1st room dirty towel bathroom floor , cigarette butts dirty glass . ask another room one much well . Carpet furniture dirty could not sit . upstairs renter throw land balcony . Hair dryer break go service desk tell nothing could . not even consider hotel . ' m outta asap . 
 Jul 17 2009 	 GO ELSEWHERE REGRET ! ! 	 stay ! ! ! warn ! ! dad decide go Las Vegas begin Summer Break UK . look around find Sahara resonable price strip . that s good stuff end . beware ! ! hiddent charge hotel . $ 6 day per room & quot ; service charge & quot ; pool . pay even do not go it . the Hotel dark carpet dirty tacky . stain carpets place general funny smell . Most Staff look force work do not seem care customer all . the safety deposit box joke , staff say need use box would finish come help . wrong ! ! end wait 15 - 20 minute get box.then get tell room service arrive 8.30pm want drink snack relax 16 hour flight get tell want somthe goto caravan cafe get go mikstake ! ! see belowand find breakfast buffet House lord grill paco 's be close 2 week thereThe Caravan Cafe bad food ever eat . eat 3 time ( yup glutton punishment . ) eat well roadside burger vansall three time service slow food awful . Buffet be not bad selection poor . the room however ok . resonable size bed clean room clean day good standard thing top day . however one annoying thing room room light 4 lamp turn instead one ceiling light . also even though Sahara strip destruction Westwood Ho , Stardust Frontier huge void leave Sahara feel dull . well pay extra go hotel central strip give well service . the good part hotel check leave dump behind 
 Jul 13 2009 	 Disappointing 	 stay 4th 5th July . maybe poor timing . book ahead check room huge note state & quot ; $ 20 second night & quot ; . call front desk ask reduce rate would observe since pre - booked . start ask another question hang . understand rule pre - booking , disappointed service appal would hang . hotel show age well - keep . Loose , stain carpet , room thick dust floor ledge corner . day Fourth check 3 assistant check guest line snake hotel . also , poor planning . coupon leave room hotel guest restaurant , etc . expire . go elsewhere , would suggest . 
