nice 	 recently stay Excalibur Thanksgiving week . upon enter hotel able go straight check - in , plenty friendly attendent take care we . ask view thing airport , hubby plane watch gambling ... lol ... request meet easily . arrive early due time change ... 10 am , check til 3 pm able get room immediately . room one old room yet remodel . neat clean , exception little finger print window . bed comfortable clean . casino bright active , drink service could alittle available . nice place great location . 
 great spot cheap price ! ! ! 	 location perfect . price great . time share propaganda annoying . $ 29.95 eat day buffet excellent . 
 beware Mandatory charge 	 book trip cheaptickets.com go online print confirmation , find unwelcome surprise - & quot ; mandatory hotel charge collect hotel checkout : resort fee $ 20.00USD per Night taxable - include fitness center access , free drink more . & quot ; know mandatory charge time booking , would able compare option well . far concerned , dishonest pricing policy - include fee part hotel charge ? will not stay will certainly lookout hotel future . 
 Nice Hotel full kid 	 bad hotel find room 23rd floor tower 2 playground kid nighttime think hold elevator funny ! ! hound upon check go claim free gift redeemable give $ 40 deposit attend time share meeting new resort next day tell bring credit card form idendity ! ! go figure ! ! 
 Excellent Excalibur Experience 	 arrive & quot ; remodel widescreen room & quot ; find partial remodel . new tv , low - end remodel bath , new pillowtop mattress . warn thin pillowtop . sheet clean , stain . blanket dirty double sheet . however , request extra sheet . room furniture appear original . third day , hall fill 8 scream kid run knock door . security arrive contact security manager 2nd time thing calm . cocktail service casino horrible . plus find excellent maintenance staff ; good service Sherwood Cafe , location . overall , recommend hotel unless budget - conscious . step Circus Circus , stay elsewhere next visit . 
 great Time Las Vegas 	 problem Excalibur even though comment make negative . book online get great deal price include admission & quot ; Defending Caveman & quot ; .The staff relax friendly reception , room , 25th floor , Tower 2 , face tower , clean quiet . issue whatsoever . the one thing bit annoying fact people look like work hotel approach offer free show ticket turn try get attend & quot ; time - share meeting & quot ; . not hotel 's fault , annoying . 
 Nov 17 2009 	 get pay ... 	 's Wynn . 's Bellagio . 's even New York New York . great deal available , convienent hotel us budget . book midweek room $ 22 per night email promotion hotel . bed super comforable we 's key Vegas . Vegas city resort . tower . date room could use touch up would rather pay less per night pay tv never turn . staff friendly enjoy table slot casino . budget focus trip Vegas , Excalibur beat . 
 Nov 14 2009 	 stay anywhere else ......... ! ! ! 	 unfortunately could not afford stay Wynn Bellagio opt next good thing Excalibur . long actually room ? ? exactly , 8hrs sleep 1 hr get ready go day . excalibur ideal location stay budget enjoy luxury strip offer . Excalibur offershuge immaculately clean room lot red hot powerful water walk shower . a adequate pool area ( quiet October ) right next bus stop outlet shopping mall ( $ 3 ) right next monorail MGMRight next Outback restaurant near & amp ; shop meal die close new & quot ; city centre & quot ; complex due open December . you know make sense . spend wisely accomodation spend rest slot sightseeing . stay anywhere else . 
 Nov 12 2009 	 low LIMIT gambler 3 nite stay EX 	 Excalibur budget conscious location . excalibur casino many time previous trip really enjoy poker room low limit . year ago poker room switch electronic table Ex spot play trip Vegas live poker start month ago go . check 1 pm $ 20 trick getting upgrade room tower 2 21st floor overlook NYNY , MGM , rest u see picture . really clean room upgrade bathroom , bedding , carpet flat screen tv ( 12 channel ) . hallway also recently paint new carpet smokey smell . pool area nice 4 pool choose 2 hot - tub . use nice gym facility one morning include resort fee . would definitely recommend Excalibur not need crazy high end amenity . 
 Nov 11 2009 	 suprise ! ! 	 second vegas trip want spend less hotel avin fun . we book excalibur cus bargain reading review get bit worried soon change arrive though , check excellent waitin , free room upgrade without askin really helpful staff . the room clean , comfortable quiet big view be not good problem . room service fine seem take day remove food trolley though . pool area load space kid free area aswell . casino one good atmosphere strip especially wkend dealer really friendly slot seem pay casino . 
 Nov 8 2009 	 Worst Place stay Business Travelers ! 	 Vegas medical convention 5 Nights , spend 4 night Mandalay Bay , check Excalibar one night . soon check , know make mistake book place . room ' clean properly , bed sheet bathroom hair everywhere ( disgusting ) – 5 minute get room , " engineer " bang door . fix something bathroom . later , try get online course ' work . , call tech support 3 time , finally give . $ 156 per night , ' sure could ' stay much well place strip . 
 Nov 8 2009 	 perfect every way expect ! 	 return 2 night stay Vegas . goal see Criss Angel Believe show ( incredible fan ! ) . 16 year old daughter travel together want comfortable , clean , update room . Excalibur provide we without doubt . stay wide screen remodel room 23rd floor . bed comfy - and everything work . price still quite high Th - Sat . , hey be Vegas everyone come weekend . ' ve hear deal early week . even though pay $ 146 per night feel get exactly expect . room complain anything hey ! Vegas . think need prepared unexpected not go ! staff helpful , nice . Dick 's Resort loud - , VEGAS ! use connect bridge get Luxor , NYNY MGM ease . eat breakfast McDonalds upper level excal hot fresh . take taxi Venetian soak beauty & amp ; also walk across Mirage see Volcano browse ceaser Forum Shops . Taxi home Excalibur quite sleep . feel completely safe 16 year old nice time . 
 Nov 8 2009 	 not kid we 	 big hotel ' ve stay vegas ( around 10 ) , bad . lobby , amenity ground well keep . carefully construct maze keep ever find way around though . room pretty standard big hotel . view ok . temperature never right . room service awful . fact food place seem old , bad , . casino nothing unique interesting far notice . always cheap table game open though . pool ok far setup , man 's lot kid . trendy scene ' m use vegas . location great either , be really far end strip access one two nearby hotel . question intelligence morality put beer pong room hotel many tween . ( know , 's vegas , 's morality stuff ... really ? ) . 
 Nov 7 2009 	 enjoyable stay 	 much enjoy stay . especially enjoy swimming pool . 
 Nov 7 2009 	 bad Hotel Vegas 	 luckily we , stay 3 night Excalibur prior leave Vegas tour wonder South West offer . Excalibur occupy pretty good spot Strip , yet offer little none might expect . average . room : one ' new ' Widescreen room .... 's basically room widescreen TV . decor awful , sound proofing . casino : Dark dingly , horrible musty smell . dining : apart usual food hall , pffer little term fine , even plain good , dining . I personally would nevert use hotel ! 
 Nov 7 2009 	 Good Value 	 go Sema show Las Vegas decide stay Excalibur number reason . not close convention center , location Excalibur good much area Vegas strip . upgrade widescreen room . sema room rate $ 61.00 night , find well book room internet rate fluctuate day day . part , room fine . good view mountain . complaint would shower grout could use good dose bleach . friend book standard room ask upgrade say room really nasty . hotel day buffet $ 29.00 . good bargain . also food court good variety place eat . access Luxor Mandalay Bay convenient tram walkway . Excalibur could use facelift . give choice would probably stay another hotel next visit . total experience bad . 
 Nov 6 2009 	 wow - surprised pleased ! ! 	 book trip Expedia get really good deal 5 night 's stay Excalibur . arrive problem check ever , receptionist helpful friendly . tower 1 Strip View , room quite size , King size bed clean . bathroom good size aswell , huge shower ( bath ) . could not believe happy hotel , expect maybe problem review red be not great fact get cheap , wow explain deal getting . perfect location . nice chinese upstairs would recommend . go hotel , visit , beautiful much see . New York lovely bar eat night . do not eat hotel buffet do not see point , experience sort food restaurant opinion would not bother . round pool great , load sun lounger , weather lovely , hot . go Rollarcoaster New York New York fun ! ! visit downtown see lightshow , apart be not much , last night since shatter other night would . Las Vegas fantastic club like party scene , age aswell do not afraid , would recommend , bank Belliago , PURE Caesars Palace , LAX Luxor . dont buy ticket people street , time get free worker hotel . also go Paris hotel effiel tower , fiance go , romantic get fantastic view Strip . Halloween best time ever ! sad home . would definitly stay excalibur , pay money top notch hotel hardly ? EXCALIBUR WAY ! ! ! oh bring comfy shoe , 's lot walk ! ! ! fun x 
 Nov 6 2009 	 Agree ! hotel suck big time ! 	 review 4 year late . apology . find time read people 's review want give two cent . hotel remember vividly . hell Earth ! -- get plane 9 am 14 - hour flight Hong Kong via Tokyo , heavily jet - lag , tired yes , refuse give we room even though one available . & quot ; hotel policy & quot ; state 3 pm check - in time . walk refuse discuss we -- furniture old - chip , scratch , write - table leg crook -- noisy outside room . room sound - proof -- noisy INSIDE room . damn , old cranky air conditioner , break refuse shut . really not want turn 44 degree Celsius blister Summer heat outside . either live noisy air - con live noisy corridor , either way , screw ! not discount convention price organizer offer , would not stay . total 12 day spend Las Vegas , stay 5 night hell hole . 7 night book Luxor . almost cancel Luxor well think quality would much Excalibur Luxor own MGM group . overall quality service hotel appalling , heavily tick finer point rather compare hotel major city around world , hotel shameful say least . 
 Nov 3 2009 	 nice place stay . would stay . 	 stay recommendation friend . room two queen comfortable bed , husband & amp ; 10yo & amp ; 7yo . room clean . kid love pool even tho pool slide close 5 day 6 - disappointed . Las Vegas Casinos / Hotels really look & quot ; KIDS CLUB & quot ; ... king Tournament Show Excalibur great . 
 Nov 2 2009 	 decidedly average ! 	 stay Excalibur 6 night . whilst clean comfy enough , hotel casino date appearance . room average - room safe , refrigerator . would nice also kettle room morning cuppa . be pretty basic . stay one night Hard Rock Hotel comparison Excalibur , smart . deal around , think get money elsewhere , literally room hour sleep shower , Excalibur job . 
 Nov 1 2009 	 excellent value money 	 book line happy whole Excalibur experience . awesome room , Tower 2 Widescreen room look mountain range . quiet , easy sleep , comfy bed , clean room , big bathroom , quiet air - con , friendly staff , excellent food hall eatery , highly recommend Steakhouse . great location casino Strip . free monorail Luxor Mandalay Bay . fuss check even check motel account tv room . would definitely stay . 
 Oct 29 2009 	 Nice hotel mean worker 	 aunt uncle meet dad Las Vegas NV since halfway we . yet 21 although know could not gamble book stay Excalibur , believe would able still walk around everything . guess state law can not even stop near machine 21 . understand law , ok . everytime even walk past machine get tell supposedly & quot ; stop & quot ; . also rude . 
 Oct 28 2009 	 fabulous hotel rcommende fot child 	 reading review people hotel , bit worried take child Las Vegas need not worried . not get approach holiday rep , check - in breeze ! book Widescreen View room Tower 2 excellent . overlook New York hotel lovely . 2 child age 6 10 , love Spongebob ride well game available Festive Fayre area . Food Court excellent Cold Stone Creamery outlet lovely ! access Luxor provide cover walkway well regular free monorail , New York MGM connect bridge . Las Vegas provide load entertainment day night Bellagio fountain , Mirage volcano , Ceasars shop , Venetian , MGM Lion Habitat , Mirage Secret Garden name . even huge 4 floor & amp ; shop ! apart many & quot ; vendor & quot ; pedalling & quot ; escort & quot ; walk strip , issue bring child . pass card see kid , even not issue . excalibur great base kid would recommend anyone consider bring kid Vegas . pool great kid friendly . 
 Oct 28 2009 	 Yep would stay 	 think hotel be not bad .The food place great service good , room clean downside people solicit every entrance exit harrasse annoy tounament king bad waste money . 
 Oct 28 2009 	 Perfect Location Great rate 	 stay week really enjoy . room large huge bathroom clean . smoking room smell . staff bit unfriendly not really matter overall expereince great . good location Strip good buffet breakfast . fancy casino overall get value money . 
 Oct 27 2009 	 4 senior dublin ireland 	 stay excalibur hotel 7 night . find check fast check . hotel room clean service excellent plenty place eat drink . good value money . close action pool good clean plenty towel free . draw back . people entrance exit hotel sell time share stop every give chance annoying . also want ticket show go ticket desk hotel give price 140 $ per person ashow caesars palace refuse payand go direct caesar palaceand get 50 $ beware . 
 Oct 27 2009 	 Loved Excalibur ! 	 stay boyfriend three night ( We d , Thurs & amp ; Friday ) first trip Vegas . hotel room , happy . book one new widescreen room ask view strip . tell room require extra $ 10 night , be do . our room leave side tower 2 , incredible view NYNY MGM Grand mountain . tv nice , not many channel watch ( be go watch TV Vegas , right ? ) .The bed really comfortable , plenty pillow , later discover one drawback strip - view room : sound traffic loud feel be sleep right street ! fix turn A / C 's fan drown noise , really sensitive noise might want avoid room . the room clean , bed make , bathroom supply restock day towel nice fluffy . hallway stay keep clean food cart & amp ; tray remove promptly . third day , discover folder room key come also map hotel unfold even , would already figure layout then . for resort fee $ 5 , get 2 free drink credit , 2 free pass carnival game Fantasy Faire Midway 2 free pass fitness center . we not use fitness center pool area , can not comment they . we approach timeshare people first fool think hotel employee try help we . would read previous review , quickly figure . keep walk , leave alone . dress navy blue suit locate right next tower entrance bell desk . try breakfast buffet happy , ' m sure be well elsewhere strip . location strip , somewhat happy hotel . bit hike really impressive mid - strip hotel , major part fun Vegas explore strip . also , deuce bus make easy cheap get around . not gambler , would say casino dark smoky , not seem much casino walk . , happy stay feel ( least Widescreen view room ) probably worth have pay definitely recommend stay want somewhere nice stick budget . would probably choose somewhere else stay ever visit Vegas , 's sake variety . 
 Oct 26 2009 	 good bad 	 third trip Vegas year half . stay Ballys , Harrahs Imperial Palace ( twice ) . decide go Excalibur wait long book well deal HET property time . trip decide want stay weekend night . Flew Sat around 3:30 stay two night Excalibur move compe night Imperial Palace . first thing opinion Vegas Sat night ... basically weekday night people ! got hotel around 4:30pm , line check - in . Front desk lady try make upgrade widescreen room $ 20 extra night , thank pay enough already . tell would like standard room high floor . tell could not give one still want smoking room . tell 1st 2nd floor standard room pay upgrade could one room higher . Hmmmm , thank , tell would take 2nd floor ... say 1st floor leave . great ! map hotel give . really wish would give map know hotel . nothing room either . Room Tower 1 , first floor . not need elevator can not comment . room next last room hall . go way side Tower 1 ice machine . ( ask direction security , map remember ? ! ) security usually sit elevator , sign say need present room key one ever ask . sale people completely outta control , harrass soon walk door angle always entrance room get come go ! not fool first make think hotel staff try help check ! ! okay , lovely standard room first floor . first completely upset turn first floor great ! ! wait elevator ! ! room quiet , outside noise , view giant wall . space maintance guy walk window one day scared crap we . two double bed , comfortable 2 pillow . thank goodness use one bed . get bed first night pull cover find hole brown stain .... ughhh ! quickly get switch bed , one well . room service good stop hall one day 11:30 ask leave room . ummm yeah give minute lady , ' m vacation ! lol Room small table two chair . typical small channel vegas tv . bathroom rather large , tub shower . room size standard room pretty good size . go pool hour one day . pack since Oct nice set . pool locate Tower 2 . not much gambling , usually keep walk hotel . like base return explore south end strip thorougly . walk Luxor Mandalay Bay without go outside . also free tram connect . Liked walk NYNY , MGM Tropicana . buy 3 day Deuce pass online head time use head end strip downtown . hotel excellant food court . love able walk second floor quick food option . eat McDonalds chinese place lot stuff choose . also eat Southwest grill first floor near Tower 2 . would come back Excalibur good deal come along ! ! 
 Oct 26 2009 	 still value money ! ! ! 	 ok , quick bit background . head back Vegas Oct 12 - 22 , , wife , 12yr old son folk . stay Excalibur time last year , 5th visit Vegas last 7 year . got great deal Smartervegas.com , $ 647 widescreen room 10 night . long day travel Scotland , hit Vegas 2130 , grab bag dive taxi . $ 15 10 minute later , check desk ! ! line , serve straight away . try $ 20 trick check clerk already rush book even ask ID & amp ; CC , not even get chance see sandwich , lol .... upgrade available view room extra $ 15 per night , decline offer know room book good enough . 26th floor , view Luxor Mandalay Bay . ok , room .... like say , stay previous year , know expect . folk however Ex first time , previously stay Hilton HGV Club . everyone impress room , large enough , 2 good sized queen bed room , request adjoining door . Excalibur , opinion great hotel price right , certainly get great deal . not use hotel restaurant , place want try , although hit Krispy Kreme Doughnuts time ! ! ! service hotel good employee , true folk shower back maintenance man turn within 5 minute report front desk ! ! pool area good always , 3 4 pool open , cabana hire $ 60 really good . table slot pretty tight though , feel case casino year , Excalibur . overall , another great stay good price comfortable room . would recommend anyone go realistic expectation . Excalibur high end Vegas luxury , neither room rate . appreciate get good solid 3 star accommodation , good amenity friendly service , great time . 
 Oct 25 2009 	 Adequate money 	 stay 2 night standard room . arrive around noon line 30 people check . line move fairly quickly get non - smoking , 2 bed standard room ( widescreen tv ) 14th floor . not inquire upgrade not offer . got room date , clean functional . not spend much time room casino . try restaurant either . try check via tv , say unavailable . location detractor . spend time mid - strip would not stay unless really good deal . take deuce bus strip . buy 3 - day pass online use get Orleans , Rio , Palms . shuttle Paris Rio , 3 - day pass set use . eat Bellgio Wynn buffet be still exceptional . also take advantage coupon online sandwich soup Bella Panini venetian food court use Haagen Daz coupon ice cream . meatball sandwich good . complaint bed facility Excalibur . bit nervous read negative review , find everything satisfactory . 
 Oct 25 2009 	 cheap cheerful ! 	 last year stay Mirage Luxor . year want somewhere cheap Mirage want pay much , choose hotel . see last year prepare over - the - top castle theme , Vegas right ? need get spirit enjoy ! decide upgrade renovate widescreen room happy . clean , comfy ( despite tell pay ' view ' ) great outlook mountain . yes casino smokey ( casino ? ) yes sale people annoying ( expensive hotel ignore ) room non - smoking quiet . , course , pro con stay . pro : connect Luxor Mandalay Bay hotel free tram good selection restaurant food stand cocktail / other drink much cheap expensive hotel easy get seat deuce bus southern end stripcon : need walk fair distance get many hotel casino quite dark noisy room service seem leave trolley corridor day timeall , however , pleasantly surprised visit , especially read negative comment website ( guess people far likely post bad experience good one ) would certainly consider stay . also suggest hotel friend look fun , cheap option stay Las Vegas . 
 Oct 23 2009 	 would not go back . 	 wife want cheap vacation rate right Vegas possible . third time Vegas . previously stay Ballys Stratosphere . Excalibur probably least favorite old , corny , nice . upgrade widescreen room , must , still upset room . room feel dirty old , casino dark dingy sale guy obnoxious . good thing hotel pool , pool , clean fun atmosphere . food court great . would definitely return , would pay double price stay somewhere else nice central strip . ' horror story hotel / casino , guess get pay old hotel cheap . 
 Oct 20 2009 	 Pleasant surprise old hotel 	 despite 's date look , property casino clean manageable . location perfect , walkway Luxor New York New York Tropicana good perfect . upkeep clean tough trough people go property easily . Overall 's good bargain near everything . stay enjoy good night 's rest go back table slot . 
 Oct 20 2009 	 right strip ! 	 get little date still get bell whistle basic format strip hotel . ask high floor room good view quieter . 
 Oct 20 2009 	 true advertising web 	 great kid due Fantasy Fair . smoke huge issue we , lift could smell smoke Casino . kid pool close whole time season not state web site booking . room small , mean recently refurbish bathroom already look tired . excellent restaurant good shop hotel . 
 Oct 19 2009 	 hotel suck ! 	 hotel suck . friend fly Vegas 9 am . get hotel 10 . tell wait till 3:30pm get room . sign hotel charge 7.50 resort fee every night stay . room hole dent wall , security alarm go 6 am go 6:45am toilet break . employee keep bug we show could not see wornt 25 year old . really suck . would never stay hotel . 
 Oct 18 2009 	 nice stay accomodation 	 stay 5 night vacation Vegas . floor 26 nice view decent elevator access . room not change much since 1 1/2 year ago place fine . good service checkin / out easy . money can not beat . 
 Oct 18 2009 	 Trip w/ kiddo 	 Excellent place stay lot fun great place kid ! 
 Oct 17 2009 	 camelot - ha ! 	 ExcaliburWell ' m proud Welshman could go forever let know wrong get King Arthur element ! ! ! let us stick fact . I ' ve stay Vegas quiet times family orientate three star hotel . obviously Bellagio , Wynn , Venetian etc MGM & amp ; Mirage , par Harrahs Flamingo , slightly well Circus , Stratosphere , Tropicana ! hotel suppose King Arthur Camelot castle theme knight shine armour , fair maiden , fire breathing dragon ...... Robin Hood ? ? ? ? say find check staff miserable pounce every five minute ticket seller venture casino floor ! seem evident annoying anywhere else ' ve stay strip . like roach hand flyer outside Planet Hollywood , suit ! casino typical hotel much write home . room , locate one low floor tower 1 view spacious adequate plenty storage space , table & amp ; chair , shower safe not work . first time three trip past 12 month sting $ 5 night resort / energy tax ! hotel , clean part notice plate & amp ; dish halway noone collect 24 hour ! oh yeah moat not seem water entire stay .... guess water shortage finally reach Vegas ! plenty food choice fast food restaurant fail exclusive eatery big name chef attatche 4 5 star hotel strip . a poor selection shop , couple souveiner one plenty sell kid bit & amp ; piece , nothing suitable thirtysomething couple ! opinion want stay end strip opt New York , New York Luxor pay little bit extra MGM Grand . this hotel definately need upgrade revamp ..... disney reading , give job .... will thing right way ! 
 Oct 17 2009 	 fine price 	 19 year old hotel fine we . elevator wait really negative complain not pay much room never really ? good proximity shop restaurant New York , New York , Luxor Mandalay Bay . 
 Oct 15 2009 	 good choice value . 	 Excalibur good choice value . get really good deal low expectation . arrive disvovere hotel outdate bad describe review . plenty family kid . location good , close popular hotel . 
 Oct 14 2009 	 Excalibur - first time last 	 first time stay Excalibur would definitely stay . service great casino personnel polite helpful . spouse book standard room upgrade Widescreen room , impressed room . not think experience would less modern standard room , maybe feel expensive room pay $ $ $ night . originally go stay Stratosphere due 's low cost , seeing want spend time strip choose Sahara due 's Monorail connection . read horror story choose Travelodge strip , spouse never Vegas choose Excalibur least expensive big casino value . not care little time plan stay hotel , make difference overall vacation experience . 
 Oct 14 2009 	 much well expect .... great stay . 	 stop excalibur 24th-29th september great time vegas usual . third visit vegas absolutely love place . previously stop luxor mgm slightly concerned excalibur see previous visit review etc complete opposite . arrival , ask upgrade get one refurbe room plasma tv view strip brilliant nothing ( well , bit sweet talking smile ) , good start could hope ! ! room tower 2 , second floor perfect need . end day base somewhere sleep shower . never see point spend fortune luxury room wil hardly ! , view room strip , look window faced side monte carlo look slightly right view strip , mgm , new york new york etc etc could see far venetian . room recently refurbe look good modern , nice plasma , carpet , comfy bed large bathroom etc . fault room . pool area nice , near size quality mgm 's pool area still nice always find sunbed early afternoon . inside casiono area , old look place probably could modernise like excalibur , new york new york old hotel sometimes vegas . walk past ' party pit ' every night back room nice view , casino , slot table always busy , well food area etc . overall , pleasently surprised quality hotel , especially room . love vegas general would definately stop excalibur . 
 Oct 13 2009 	 child adult .... anyone ! 	 travel vegas lot decide stay excalibur time since good experience mgm / mirage hotel . suprise see much upgrade hotel / casino need shocked mgm / mirage hotel . must certainly black sheep family . reservation check - in experience acceptable . stay tower 2 & quot ; renovated & quot ; room ( basically put widescreen tv & quot ; renovate . & quot ; ) room need new & quot ; renovating & quot ; already shower barely worked.we come kid .... pool slide open one day three stay , kid love pool one day . arcade / midway downstairs bad ' ve ever see . break game , indifferent employess , enough staff .... look lot like carinival museum would look like . hotel kid , trust one . later day , adult like kid run around , family kid like stripper dance table . hotel cater huge mystery . like gamble , place play . mgm / mirage casino treat badly vip host . certainly need lesson customer appreciation . definitely one hotel need replace since location failrly good . 
 Oct 12 2009 	 Castle Strip 	 Service Excalibur kind courteoushotel room clean 
 Oct 12 2009 	 Dirty Old Hotel 	 Old , dirty , date hotel , poor customer service . love Vegas usually stay Bellagio , MGM , take kid first time even stay Circus Circus think bad , room clean kid entertainment great , Excalibur Hotel need major renovating go like hotel past . buffet not bad $ 15 , everywhere go see sign say buffet 29.99 confuse people , also krispy creme , mc donald , steakhouse italian resturant make eat convenient . smoker air filtration system work smokey even eye burn . pay $ 130 / night three room . gross mildewy , shower , someone spill something bathroom we guess not mop . bedspread another room many cigarette burn hole ask another one , find another place stay . we need hotel night head lake Powell hiking fishing , price right , next time spend bit cleaniness . 
 Oct 12 2009 	 LOVED 	 go Vegas w / my hubby , parent , parent , sister brother - in - law . absolutely love . corner across New York , New York , MGM Grand , another one whose name escape moment . perfect place stay strip end . far walk Bellagio , Caesar 's , etc . room immaculate , casino nice , pool . staff super friendly , rate AWESOME . eatery leave little desire , get pay buffet time . can not wait go back : ) 
