disappoint 	 like boutique hotel . , one feel cheap 's clean . first ask could quiet room - yes , respond . get corner room full window face main street . 's impossible block light ( noise ) many pair curtain could get stay closed . bathroom , use towel hang shower curtain . let front desk know , actually next day well . phone long black hair panel phone . rug dingy - feel clean anyway . 's real room service & quot ; free & quot ; continental breakfast even good like Hampton Inn . check check bill rate 50 % colleague - ask say travel agent fault book corporate rate . unhelpful actually quite rude . $ 365 , kid . . . . 
 great spot Chicago weekend 	 stay Amalfi pre - turkey day weekend getaway husband . we check little noon Saturday pleasantly surprised room ready . check process smooth , professional welcoming . even chair check desk guest use register . our room expect . huge lavish , great rate , quite pleased . decor modern , room flat - screen plasma tv , I - home alarm clock etc . go lunch Harry Carrey 's italian steakhouse across street split huge italian beef sandwich bar , plus cup soup . couple Stellas , ready shop Macy 's ( three four block south ) along Miracle Mile -- couple block east . attend free reception . crowd , everyone friendly enjoy wine provide snack . little disappointed not view reception room firework along river evening . the next day breakfast available elevator -- type juice , bagel , sweet roll , etc . plus coffee tea . overall , satisfied hotel , service , etc . 
 expect 	 wife stay Amalfi trip visit son friend Norway vacation City . excited stay Amalfi reading review , really disappointed accommodation . web site photo 18 story building house hotel . not state hotel occupy first 6 floor building . rest office . room 4th floor view blank brick wall 16 foot distant . room unremarkable , standard furnishing equivalent Holiday Inn . although close good part City , tuck behind new Trump Tower open surprisingly sketchy stretch road / sidewalk . norwegian friend , contrast , stay 33rd floor swissotel view Lake Navy Pier . 
 bad taste mouth ..... 	 letter management ..... Sir Madam : write give feedback recent stay Amalfi . we guest 11/20 11/23.dure stay use & quot ; Valet & quot ; Service operate Standard Parking . vehicle return steal item glove compartment . much chagrin , $ 44 / day valet service include proper security / monitoring , despite premium & quot ; self park & quot ; .I understand parking service sub - contract hotel , would think worthy hotel would remedy situation . case . I hope staff able take measure rectify situation future guest 
 disappoint 	 book Amalfi base rave trip advisor find hotel tired disappointing . the towel robe old throw away . dresser break feel redone office . the room fine cocktail hour hotel over - rate many . 
 Sep 8 2009 	 great stay reasonable rate 	 great stay Amalfi , room comfortable although vary size price . evening reception definite plus , good assortment appetizer choice top shelf drink , line long weekend night enough space sit socialize . free morning breakfast conveniently locate floor . really like hotel not nickel dime extra like many Chicago hotel . also appreciate hotel give we late check not leave late afternoon . good part book room excellent special price hotel 's website . 
 Sep 6 2009 	 fantastic hotel top value 	 fabulous hotel every aspect . hotel throw complimentery breakfast quite often , often offer free bar food hour half night ! absolutely tremendous value count . top first class hotel excellent room . want room great view may , assure facility top notch make view . reccommend hotel enough . other say bed amazing . even get free newspaper every morning . near everything well . TIP . check , Second City , Old Town . comedy place John Belushi , Mike Myers plus many start career . great , funny night 
 Aug 29 2009 	 excellent ! great service ! mgr . special wonderful 	 stay hotel memorial day weekend great . book manager special able get 2 free drink food night . good continental breakfast floor . absolutely amazing ! ! ! dual shower head , avadia product room .. room service come Harry Caray 's italian Steakhouse across street.parke $ 40 per day valet , matter many time come go . walk everywhere , not use car entire weekend . 
 Aug 28 2009 	 ' Super ' Comfy Bed 	 1 night stay beautiful room Amalfi Hotel . bed pillow super comfy . hotel modern elegant decor . Hard Rock Cafe within walking distance . Hertz car hire 1 mintue walk around corner need hire car . free continental breakfast every level , help selection take back room . room fridge , plus we . I would definately recommend hotel , wish stay long . 
 Aug 24 2009 	 Great Location 	 Awesome . got great price Travelzoo.com . location easy walk shop State Street Michigan Avenue . quick walk train bus . location could not well . clean room great accessible breakfast every morning floor . would stay heartbeat . thank staff great stay ! 
 Aug 24 2009 	 Lovely Hotel ! ! ! 	 absolutely perfect hotel stay . drive Detroit , meet nice front desk staff . concierge absolutely fantastic ... give we excellent recommendation restaurant . nightly happy hour daily breakfast buffet want weekend Chicago . hip stylish hotel ! complaint would internet connection . fast keep cut . keep mind be business traveler stay . 
 Aug 23 2009 	 real find ! service like Ritz fraction price ! 	 12 yr old son come town first Bears game note reviewer request something special commemorate first . right arrive jr Bears football # 1 fan glove appear door . needless say start great stay - question , staff handle friend stay theri house ... ' would like locate blackberry charger & quot ; ... front desk specialist - , borrow mine - & quot ; 11 & quot ; . really felt take care new large city . accomodation first rate , value terrific ditto reviewer breakfast - nice surprise - , feel like stay someone 's home . stay enjoy . view location special - right middle thing override immediate surrounding . 
 Aug 14 2009 	 Amalfi Best 	 wife stay Amalfi Chicago Hotel 4 night . absolutely fantastic boutique hotel location , friendliness staff , décor , convenience overall great value money . name Amalfi reference Amalfi Coast southern Italy , hence lot decor theme hotel Italian base . the hotel centrally locate major attraction . block north Chicago river three block west Michigan Ave , also know Magnificent Mile trendy shop locate . southern end Magnificent Mile , walk mile north end would Hancock Observatory . hotel 20 minute walk Navy Pier . walk south , Macy ' 10 minute away Millenium Park 15 minute walk . ther many fanatastic restaurant within several block Amalfi Joe ' Crab , Shaws , Harry Caray ' Webers . the staff extremely friendly knowledgeable help we reservation Architectural Boat Tour ( must tourist Chicago ) .The bed comfortable bed ever sleep bathroom large high end toilietrie . breakfast serve every floor . consist bottled juice , coffee , tea , pastry , yogurt bagel . disappointment protein cream cheese . wish would assortment hard cheese maybe hard boil egg . every evening 5:30 – 7:00 pm italian antipasto hor ’ oeuvre unlimited cocktail beer . give we opportunity relax day sightseeing venture dinner nightlife . the Amalfi Hotel Chicago one good place ever stay would recommend stay . 
 Aug 6 2009 	 disappointing ! 	 really excited stay Amalfi read several review online . unfortunately , disappointing experience . arrive , tell mistake hotel oversell . , move another hotel . Amalfi take care hotel , cab fare , much negotiating ... breakfast . travel 2 child inconvenient . instead get next morning go museum plan , get , pack suitcase , check hotel , take cab , check back Amalfi , could head museum . also tell first night 's stay would refunded . well , 3 week 3 phone call later ... still not refund . can not even get manager call back . Amalfi not bad , centrally locate close train bus stop many restaurant within walking distance . coctail reception nice selection drink appetizer . however , small room place sit night attend . one reason pick Amalfi 2 queen bed instead double , seem really small queen . view room alley . , overall good part stay Amalfi night send another hotel wonderful view city 22nd floor . disappointing indeed ! 
 Aug 5 2009 	 FANTASTIC HOTEL 	 Great hotel , friendly staff , clean , quiet , central downtown , good breakfast , perfect location explore city . 
 Aug 5 2009 	 good hotel ' ve ever stay ' ve lot place 	 pleasure stay Amalfi hotel past weekend . July 31 - August 4 . two day pay full price ; two night get discount online . give pro con : PROS : ( 1 ) excellent location . could go leisurely walk night time without 400 tourist face , unlike place right Mag Mile . safe neighbourhood close ton great restaurant Gold Coast River North . take boat tour , 3 minute away . walk everywhere . room face Harry Carey 's , 2nd floor , worried would noisy , turn completely quiet . ( 2 ) good bed ever . comfortable sad come home . ( 3 ) great breakfast spread . banana , apple , orange , yogurt , coffee ( decaf reg ! ) , tea , juice , bagel , muffin , donut , danish , crossiant , etc . really fresh , . ( 4 ) amazing evening lounge . free ! get 5:25 , line - up pretty intense . give free drink , generous ( tip bartender ) amount alcohol drink , wide selection open bar . go every night ( actually 5:30 - 7 , despite website say ) . food spread really good , , slice meat , cheese , bread , antipasto . good idea dinner , could relax go dinner bit later . ( 5 ) check early room ready we . con : real complaint . thing housekeeping ( seem bad luck housekeeping ! ) . first time maid service room , not give we toilet paper , even though one use leave roll . not refill Kleenex , either , even though tissue orange ( indicate end box ) . call ask another roll toilet paper , return five hour later - still toilet paper . later , sign door say & quot ; disturb & quot ; -- return make - up room , mean enter without permission . call ask , say maid confused sign door . not huge problem creep stuff lie around not expect enter . 
 Jul 28 2009 	 Beyond 	 decide stay Amalfi Sunday , July 5 since town attend Cubs game . arrive hotel around noon intention ask would hold bag since sure ' let we check - in yet . take seat check - in table tell ' problem we check early – nice greatly appreciate ! also ask would like bottled water waiting check - in think nice touch . room take care gladly provide we direction catch train stadium . quickly drop bag room head game . game , lucky enough get back time nightly reception . pleasantly surprise really good drink nice buffet item snack . must good day since ' deal long line read . room nice – love bed pillow . bathroom also nice size - shower awesome 2 shower head Aveda product provide . robe extra comfortable – the sign robe say electronically monitored make laugh . also enjoy complimentary breakfast morning provide floor . agree reviewer ’ much view ' issue since everything else hotel first class . hope lucky enough able stay hotel future . 
 Jul 26 2009 	 comfort . 	 hotel staff excellent . hotel well appoint semi close need . 
 Jul 22 2009 	 Clean Quiet Comfortable room 	 get back Amalfi love everything . staff personable , yet perky ... stuffy . bed 7 pillow incredible double shower head make good hotel shower ' ve come across . breakfast serve every floor incredible convenient taste incredible . take full advantage Manager 's Reception every night . bartender skilled food serve awesome . amalfi great location be business look close bar open late , will walk bit get shop . free internet pet allow . although 100 % full stayed , hear noise room . restaurant site Harry Carry 's across road room service come . try eat Shaw 's Crab House , block away go ! 
 Jul 22 2009 	 Amalfi wonderful 	 really enjoy stay Amalfi . decor beautifully done bring back wonderful memory travel Amalfi coast Capri . breakfast great . could get plate full food coffee take back room . location nice shopping Magnificent Mile go park . find staff friendly accommodate . 
 Jul 20 2009 	 Fabulous ! ! comfortable complimentary breakfast reception wonderful ! 	 sister return weekend Chicago stay Amalfi . find amazing rate Travelzoo include valet parking . call ahead get early check since go arrive early expect staff happy accomodate we . lobby small nicely decorate modern decor . 6 floor hotel room 5th floor back side , view small parking lot hotel condo . can not imagine front room well view , not room long enough care view anyway . breakfast floor nice- donut , patrie , bagel , yogurt , fruit , well coffee , tea , juices- take back room . room nice bathroom spacious rounded shower curtain , light make mirror seat , aveda product . room nice flat screen lcd / plasma tvs , wifi , iron / ironing board , safe , hairdryer , dvd / cd player writing desk . minibar stock snack drinks not ridicuously overprice still pricey . fitness room 3 treadmill , 2 elliptical , 2 bike , well free weight . fitmess room also filter water , towel , 2 tv . highlight stay complimentary evening reception cocktail / beer food . location great walk everywhere daytime . be one block north river block Magnificent Mile Michigan Ave . House Blues across street well . cvs block away , Keefers restaurant next , Harry Carey 's across street ( room service somewhat expensive ) , many restaurant area . offer room spa service pricey we indulge luxury . staff friendly always ready help anything ! look affordable hotel great location free breakfast reception , hotel must ! 
 Jul 10 2009 	 great hotel 	 unfortunately we arrive fourth July 4 pm room ready hotel busy . travel 12 hour happy accept room inferior pay get check . could change room later 4 day worth hassle . now positve ! ! ! ! hotel staff always friendly could enough help question . complimentary breakfast welcome take back room good much time Chicago . cocktail evening fantastic , bar staff great could almost anything want drink . lovely start evening . special thank go & quot ; heat engineer & quot ; whatever name . could get aircon right room really go way help . well do Amalfi people great . 
 Jul 8 2009 	 Great Hotel Location Price ! 	 stay Amalfi week attend training class Chicago . good hotel stay far value location . not many amenity smack middle downtown within walk distance everything Chicago . price really great hotel remodel really clean trendy . Free wi - Fi room free hor d'œuvre /drinks every day comfortable lounge . restaurant hotel 's right across street Harry Caray 's restaurant room service restaurant . 
 Jun 23 2009 	 absolutely outstanding staff outstanding service great location . 	 decision book room Amalfi Chicago extend stay almost week family without doubt good stay year travel . late arrival long flight . moment walked greet smile staff , extremely courteous eager help . check fast smooth . sense luxury , calmness comfort walk . breakfast floor delight . coffee step room ... big plus . free cocktail appetizer lounge fabulous . staff behind bar friendly course glass jar tip think appropriate . excellent way relax , enjoy drink , snack go back touring , shopping , show late dinner . hotel walk distance many restaurant . , block shopping touring sight . pleasant room quite comfortable . long day touring , pillow simply good . Karine Experience Designer absolutely amazing ! & quot ; great & quot ; help get ticket , direction , make suggestion , transportation information destination make stay definitely memorable one . Amalfi ' staff helpful make feel welcome . little know hotel would make first trip Chicago beautiful experience . stay many 4 5 star hotel , must say hotel outstanding service ! outstanding staff ! outstanding location ! beautiful decor . the lobby small high floor ' expect ... must say , stay good choice hotel make year travel . definitely come back recommend hotel family friend business leisure . 
 Jun 22 2009 	 great little hotel 	 find hotel expedia read reviews tripadvisor berore booking .. wonderful service ; easy check . valet parking little pricy . lobby beautifully do room . great toiletry Aveda . continental breakfast provide floor elevator lobby . nightly cocktail hour drink ticket provide checkin . complaint whatsoever . would definitely stay . 
 Jun 21 2009 	 Great room Gym ; Staff service questionable 	 Staying Amalfi tale two half . hotel facility nice quiet room , comfortable bed nice gym . however , breakfast mediocre good ( stale coffee bread ) travel floor toaster senseless ( buy lot equipment toaster floor ) . appear staff cut back ( assume ) start take toll hotel 's overall quality . the final straw call ask late check - out tell clean staff say late check - out allow today . enjoy room not bank little extra ( like read elsewhere review ) economy pick . 
 Jun 15 2009 	 Glad Places Booked - Amalfi Great Find 	 stay Amalfi Hotel weekend June 13th . lot event Chicago weekend , many place try book first full . find decent rate Amalfi , include parking , complimentary cocktail , light breakfast ( total cost $ 299 include tax ) . really like room . clean beautifully decorate nice extra touch ( good magazine ) , bed pillow comfortable , bathroom Aveda product fantastic double shower - head . in - room heating cool system quiet work well . lobby upscale , check - in check - out streamlined fast . staff friendly courteous . we take advantage complimentary cocktail hour lounge - get 15 minute prior end , long line bar , move fairly quickly able get drink relax quiet corner . serve light appetizer along top - shelf liquor . breakfast basic ( coffee , juice , fruit , yogurt , bagel muffin ) adequate . serve floor , really convenient . also like location hotel - central close lot downtown destination . obviously , summer weekend , many fellow guest enjoy downtown area , little noise party - goer street noise , nothing significant . overall , price bargain , felt definitely got pay would make one first choice return trip . 
 Jun 10 2009 	 love hotel - beautiful outstanding staff near everything see Chicago ! 	 husband go Chicago past weekend anniversary . honestly Almafi Hotel drop lap , not clue stay . upon look great review price , go . wonderful - corner , king size suite . blow away soon open door - fairly large suite two room ( sofa large hd tv one fairly large bedroom king bed , HD tv ) , window room extend throughout , look onto street Chicago . fun trendy , CLEAN , double - headed shower , lot fun amenity like CD 's , book , magazine , Aveda spa product bathroom vanity mirror stool . beautiful tasty breakfast morning floor free drink night bar excellent . staff incredibly friendly ( always say hello smile ) eager help way , plan event store luggage check day flight train not leave later . hotel 20 minute walk Union Station 5 minute bus ( 124 ) . can not beat hotel , honestly ! ! 
 Jun 9 2009 	 Wonderful Hotel 	 stay Amalfi Memorial Day weekend fiance great stay experience . room nice clean , comfortable pillow top king size bed . bath product Aveda win day . room thin wall think 's pretty typical . 's true complimentary cocktail hour 5:30 - 7:00 . get nearly cocktail want selection wine beer . Amaflitini , signature drink , not kind drink ( ' m dirty martini kind gal ) lot folk really like . another perk rent movie free watch comfort bed . be usually one watch movie vacation completely exhaust last evening . watch movie dinner walk . location perfect . 's block away Michigan Ave shop . 's right middle heavy populated restaurant area restaurant even open late . be also close several public transportation stop . walk distance . 
 Jun 2 2009 	 Awesome Stay Amalfi 	 book Amalfi last minute , almost accident . find Travel Ticker $ 129 , include valet parking . great deal , couple stellar review TripAdvisor , inspire we give try . please hotel . pro : awesome location heart city . comfortable room bed . free internet . free reception nightly heavy appetizer top - shelf alcohol . friendly , accommodate staff . beautiful , simple decor . con : con view room . we love Amalfi . not nickel dime like many city hotel . instead , actually complimentary service make guest feel value . would return heartbeat . 
 May 20 2009 	 simply fantastic 	 one good hotel stay ever - especially live New York ( tiny room ) week go Chicago . - gorgeous design hotel decent price ! - room beautiful large small apartment - well bath . - staff friendly helpful- breakfast great ( include ) - also love concept serve every floor could bring room . - luxury budget price - not get well ! sure return next trip Chicago sincerely recommend everyone ! 
 May 19 2009 	 gem new favorite ! 	 first , let say connection Amalfi . not work , know one work , reason write except let other know great place . hotel conveniently locate , nice walking distance many restaurant , shopping location , entertainment . lobby rather small , attractive , last thing notice see terrific smile face staff greeting . bed comfy room quite clean nicely decorate . morning breakfast set floor terrific ! evening cocktail snack real plus city cocktail quite expensive . one big plus courtesy staff . ' ve stay lot place staff cordial competent , place take cake . staff actually seem genuinely glad see . actually think really like job ! will stay many time . gem property , price right nice freebie - breakfast , cocktail , wireless internet , dvd check - out . 's real find , please ... ssshhhh ... not tell anyone . want make sure room next trip ! 
 may 14 2009 	 lovely hotel great staff central location 	 husband stay week April . clean bed linen change day . the bathroom bedroom spotless . the complimentary breakfast great . it lay beside lift area . it consist juice , fruit , yogurt , tea / coffe pastry . really appreciate . bring room eat . the staff helpful efficient . if problem sort professional way . I would really recommend hotel great value . the location excellent . 
 Apr 26 2009 	 quite like picture ok 	 spend lot time research hotel think one . look chic photo 's miss something ... lot . be pretty basic room . be kind like want upscale hip miss mark somehow decor . like W wan na . not like honest impression . picture Amalfi get bit redudant well . get message like Amalfi coast ' m sure nice . not feel like decor picture . sure try effect effect . least think service lot nicer w. basic cold breakfast buffet ( kind boring , hey , 's breakfast ) floor convenient cocktail lounge also include week night evening . seem like one big business party go , get something quickly leave not want interrupt everyone seem know eachother particular company . think nicer area stay Chicago rather area look bit dingy around hotel . feel old side street 's seedy ( even though be seedy ) . 's wierd street though . yeah , lot restaurant area , be want . tourist be well stay near Water Tower area ( North Michigan Avenue ) near lake ( Lakeshore Drive ) walk park , go shopping , see Lake Michigan within step . far . ' ve get business meeting area hotel fine . seem frankly business hotel see business people zip . get good rate want safe decent place , fine . think find plenty other well well convenient area Chicago . pay parking way . 
 Apr 2 2009 	 Fabulous Value ... 	 ' ve stay Amalfi hotel would say 's get good value . 's immaculately clean , staff lovely , complimentary breakfast offer fruit , yogurt , juice pastry . also complimentary cocktail hour . could get well ? 
 Mar 28 2009 	 beautiful hotel great customer service fantastic amalfitini 's ! 	 husband travel Chicago January 2008 meet doctor help we child . want stay place special also budget ! excited find normal price room price January , allow we able afford stay ! stay one night love stay ! bed absolutely beautiful ! love cover ! drawback room misunderstanding type room receive . think get room round wall window say king corner , corner room side window face another building foot away . view room . also , lobby small many place walk around hotel . LOVED complimentary Amalfitini 's serve . one good drink ever ! yummy ! would definitely stay ! 
 Mar 17 2009 	 great place stay Chicago ! ! ! 	 Amalfi Hotel practially perfect every way ! ! ! ! room nice , comfortable & amp ; clean . bathroom roomy & amp ; even make mirror & amp ; vanity . feel like home . service wonderful , staff friendly & amp ; helpful & amp ; great location ! ! recommend anyone . get great price Orbitz . 
