value 	 hotel look location , price , cleanliness , 5 star . hotel central park west , 2 block subway , basic clean , helpful staff , fuzzy tv reception , private bath , request room balcony overlook central park , get . pay tax $ 134 nyc november . see hostel share bathroom price . 
 Apr 23 2009 	 Cheap Cheerful 	 spend 3 night hotel basic , cheap . daughter room overlook park , window dirty could not see much . friend daughter really crummy room natural sunlight . bed comfortable shower good . complimentary toiletry smell really good . subway close take approx 10 minute get Times Square . one redeem feature staff really friendly helpful . 
 Apr 15 2009 	 be look something cheap 's perfect 	 3 friend stay 4 night end Feb. aged 23 - 25 not fussy . look somewhere sleep leave bag . read review not look forward . get pleasantly surprised . room tiny clean warm bathroom nice . the bed fairly small comfortable . ask second night smoking room come home find move everything we - great . lift slow & amp ; nearly give coronary climbing top floor . radiator bang bad night cop first night turn go bed & amp ; morning work , room always warm . it 10 - 15 min taxi ride Times Square get sub way 2 min walk away . look Central Park unfortunately room change not view . leave hotel every morning around 8 & amp ; not come back til late suit we . want somewhere cheap 's perfect . next time try get close Times Sq etc afford it . I would recommend someone go spend time room , definitely would not recommend someone snobby fussy . 
 Apr 6 2009 	 place shut ! 	 stay ! positive review legitimate . make mistake use awful opaque site ( Lastminutetravel ) think get three star . sure enough place live 1 - star class list . much wrong ' m sure start . room lime green florescent lighting make place feel like prison waiting room . repair do wall ceiling , yet repaint . HEAT ! ask could offer extra blanket . review , lack heat permanent situation . cable TV fritz . three channel come thru clearly . bathroom nasty odor , probably mildew . iron board , iron . request one give corrode iron leave copper stain tissue wipe . would ruin shirt use . bed extremely hard uncomfortable . tiny elevator must powered hamster wheel takes forever move floor floor . 's view park ... window filthy barely tell . oh , will listen people bathroom next door bizness cuz wall not sound - absorbing slightest . the Astor Park place recommend enemy . seriously , stress enough place bad set tent Central Park . please wary use opaque site book NYC . ( check place two hour ago ' m upset experience write immediately blow steam . ) 
 Feb 27 2009 	 cheap basic hotel 	 room small comfy enough mostly outside . middle night ' ve hear loude noise heating en disturbing . night , ' ve shut heating could sleep , ' ve ask portable heating room get . staff friendly helpfull.i recomend hotel people sleep hotel willing live back basic couple day . 
 Feb 19 2009 	 bad hotel ever stayed 	 stay hotel Dec 2008 although book 7 night stay 1 room small bathroom pipe run floor ceiling one party catch hold whilst climb bath get nasty burn , bed linen towel appear clean carpet dusty complain staff laugh we say ' it New York ' corridor stairwell grimey narrow one lift staff guest , air conditioning could adjust room extremely hot , hotel reclassify hostel anyone think stay would say not . 
 Jan 25 2009 	 Unpleasant experience 	 hotel one elevator guest one night elevator break . also , ice machine basically make without ice . local place eat small cafe bloke Exon station . not even think cable get select channel wireless internet even possible . hotel staff helpful never get clean towel entire three day . maid leave clean supply hall way weekend long never move , time walk around clean supply order get hall way . one elevator share staff half trip spend try get elevator clean cart another guest 's luggage . many time offer take stair simply way get elevator . one elevator extremely small barely could fit four people . hotel locate near Central Park , long way actual main sight seeing attraction probably would want see . take many cab subway get want go . still use metal key hardly open door without twist turn key sort different direction get room . sometimes take minute get room due key . first check give we wrong key room go back fourth upstairs downstair get straighten . whenever ask front desk question , never answer helped seem like never want help . one drink machine whole hotel locate basement ice MACHINE ! ! ! order log onto internet go basement use internet service ... ahve pay . view window basically bunch window room bascially abad view naked guy reading book . misplace key last day due fact small key give room charge we $ 50.00 misplaced key ..... key pay dollar go make copy leave sure . together hotel place would want stay simply care guest pleasant stay 
 Jan 25 2009 	 Astor Park - good bad 	 hotel near 128th Street , quite stop say 51st happen ! say , be easy journey subway view window snowy park - beautiful ! room paint lime green ( not need hangover morning - 's sure ! ) tiny two double bed put ( three us - two adult grow son ) leave room even chest drawer ! nothing bathroom next sink put stuff - hey - relatively cheap hotel within easy reach downtown Manhattan . internet connection definitely cheap . bad thing two four day stay , lift stop work . 8th floor way narrow , marble step staircase handrail - pretty treacherous haul three heavy suitcase ! however , serve we ok - doorman friendly helpful . certainly stay much well hotel price location - bad providing sense humour ( oh , adventure ! ! ) 
 Jan 23 2009 	 Great Value ! 	 give large room two double bed overlook street . ask move Park view , next day . I please night big room spend loud bang come heating , think lucky move anyways not complain . our Park view room small clean banging still go around 5am even louder . we put , ... room 7th floor . the staff excellent helpful subway 2 min walk away . I would recommend ear plug , take chance find hotel bargain price . 
 Jan 20 2009 	 bad ' ve ever stay ! 	 arrive give basement room one small window look grubby dirty void full rubish . room dark , depress small . ask move tell possible morning . Tired fed go bed keep awake night strange clanking noise come pipework outside window . next day demand move give room 4th floor . room big view park , window frame break window drop fully close mean apart fact let cold ( 5 degree F outside ) also noisey traffic main road ( even 4 floor ) . additionally central heating work . complain give plug oil fill radiator . after fail convince could suffer staying room demand another move . time move 11th floor believe one good room hotel . room big window close could not hear traffic . however heating still not work ( luckily take plug radiator previous room ) heat what - so - ever bathroom . question central heating work tell hotel policy turn heating boiler guest complain cold . firstly , not think approach quite grasp basic hospitality secondly , cold January 5 year , could expect we cold night temperature 3 degree F ( -16c ) .this place dump . positive thing say staff sympathetic complaint acknowledge without dispute . every day see hear guest reception desk complain something . 30 year travel bad hotel stayed not expect 5 star price , expect something along standard travel lodge premier inn . place way way standard . with broken window frame , peel paint heating get impression owner hotel not care guest comfort satifaction . 
 Jan 20 2009 	 excellent value money care helpful staff . 	 enjoy 3 night hotel cruise New York UK.In honesty luxury ship arrive hotel ` lobby see corridor paint brick wall impress . however , first impression wrong . room newly decorate , spotlessly clean comfortable . bathroom also newly fit marble glass complimentary toiletry Gilcrist Soames . all staff go way helpful Manager , Ari , exceptional . the situation across Central Park stunning cover snow . get around easy restaurant recommend hotel excellent . we would definitely stay again . Lynne Peter C . 
 Jan 7 2009 	 small room 	 room small , bit date cheap look inside.clean tidy bathroom look tired ... okay put bag sleep . double bed small colour room look like prison , next time go new york think would try differant hotel 
 Jan 5 2009 	 Good Value Money 	 return ny stay Astor Park husband happy hotel pay stay . read review bit aprehensive expect pleasantly surprised . take 3 year daughter us main thing clean . one thing say hotel be not clean . room stay 10th floor look onto Central Park kingsize bed bunkbed . room be not massive ample need sleep ! staff far friendly helpful , could not enough make we daughter feel welcome time . we would definatley stay would recomme other clean warm place stay whilst visit ny . hotel top end Central Park Taxi Times square around $ 15 5 min . all good cheap warm FRIENDLY place stay . ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Dec 23 2008 	 Good Location Good Room Good Price 	 New York : Astor Park - Good Location , Good Room , Good Price ! Date stay : 18 - 19 Dec 2008reviwer : wandering wondererhkroom small clean . love toilet bath tub appear newly rennovate well keep . put room king - sized bed face Central Park . would agree review much room put big bag backpack problem we . staff helpful give tip direction go around get eat . locationwise , three block 103rd street subway station . M10 bus also next street . take Airtrain - subway Airport ot find trouble find place . it locate quiet stretch Upper West Side , amongst apartment building mostly . family friendly say . 9 - year old daughter trip . central park across street ! food , walk one block see bunch deli restaurant . walk Broadway St ( 4 block hotel ) , find restaurant shop . Via www.agoda.com website , get pretty good deal stay 18 - 19 Dec 2008 , unbelievable rate US $ 62 ! beat ! .only drawback say hotel heater . freezing , open heater course 2 am 5 am , get noisy , like trying literally blow steam ( think ) .Overall , value money location , would recommend hotel . 
 Dec 19 2008 	 absolutely great great Value great location Great Hotel 	 friend head New York wee holiday look cheap stay , spend hour go various website find hotel . book it . due price bit concerned would dump delight not ! ! get lovely room look park 2 queen size bed 5 pillow . room clean bath room . room warm time always freshly make get back ( even pjs get fold lol ) . tv , work . not many channel signal could bit dodgey time , not watch tv . hotel staff excellen get we whatever need , UK - US adaptor bottle opener . the area lovely , although bit far subway 3 block hotel 10 min get centre Manhatten . lovely comfortable frill hotel . I would recommend hotel anyone 
 Dec 13 2008 	 Poor Hotel Ok location away city noise . 	 New York , USA : Astor park , New York City : initially big disappointment . date : December 6th - December 12th 2008.arrive early pm initial impression ' oh GOD ' . hotel room small bedroom approx 5 m x 4 m . bathroom clean bed queen size daughter . room paint smell paint unberable . decide stay go reception ask another room . offer another room , small first , possible ! ! refuse offer another room view garbage bin old patio furniture . last straw . back reception ask refund find possible . give another room , king size bed bunk bed , take due refund policy . good bad bunch look park . receptionist helpful apologetic , fault hotel dingy . television room offer good reception 80 % program English . hotel top end Central Park blessing city busy . subway literally end block take Manhattan . hotel staff helpful obliging would stay much need complete upgrade would good hotel good location . 
 Dec 5 2008 	 disappointing cheapish good value 	 bit saga will give good point first : near subway ( thank goodness ) opposite Central Park lovely . first NIGHT : suffer room 314 . noisy ineffective heating room freeze . 2inch gap door icy draft blowing . room cramp bed comfy . NEXT morning : ready battle room demand refund necessary move we easily ' the good room ' . nice view park . huge uncomfortable kingsize bed pair shabby bunk bed . want twin room get ! Room cramp 2 single people . overall : staff mostly pleasant ( ish ) sloppy . coffee make facility room decent cafe 's nearby hot drink snack . snack machine basement chocolate crisp . drink machine not water , can coke , etc . coffee machine expensive coffee awful . tv room not work properly . newly refurbish ? five year old could do well ! FINAL STRAW ? receptionist book taxi 4 am departure could stay bed extra 30/45 min time take get another . oh yes , driver book we try rip we off . VERDICT ? stay somewhere else , hotel good value . 
 Nov 28 2008 	 would not use hotel pitty could much well . 	 not read review hotel book , , would not hotel choice . I want make review accurate possible , hotel cheaper many other , get pay . one previous review say Astor Park like upmarket hostel think sum . book 2 room specifically ask room view park one room twin bed . room get look across small yard right bedroom side , window blind close time people room opposite could see right . whose fault mix still discussion maybe hotel fault . one room not bad dirty , 2inch carpet around room thick dirt , not clean month . room size 10 ft 12 ft although bathroom alright excellent shower clean , drop clothe floor mean cover fluff pick . need read instruction locate reception desk shower work instruction bathroom . provide soap , shower jell shower cap nice touch clean towel every day bed make every day nothing else room seem clean . bottle top drop floor arrival still leave small dustbin room never empty use carrier bag rubbish . the draught window pack night pillow whoever sleep next window could not get sleep cold draught blow freely air con . take kettle tea / coffee make facility room draughty window ideal place keep milk stay fresh week . coffee machine basement not need use tell pay , could also access internet basement pay privilege . seem 3 inch wide pipe floor ceiling bathroom , pipe hot , pipe one bedroom lag not would dangerous child old people . one small lift service whole hotel always busy use small stair time 3 ft wide wonder everyone would get fire . whole chip paint , room door hard unlock get hang work , bed thin mattress firm wall thin could hear every footstep outside floor , not make hotel quality . staff friendly make sure book trip via hotel get trip want . tell trip Statue Liberty could not visit island , maybe one could not other honest trip not worthwhile without land island see great lady close . location hotel not good , away tourist area close underground not bad not mind bit adventure . buy weekly ticket $ 12 use underground get New York , complicated use labyrinth tunnel even get lose jump next train back . Taxi main shopping area could cost $ 25 expensive use lot unless really fit far walk . I d recommend hotel single , couple young family plenty energy not mind rough bit not mind extra walk travel get place interest . local friendly meet lot travel work etc . hotel not suitable kind person spend time hotel , alright need bed bath do not mind thing clean . 
 Nov 24 2008 	 Astor clean great freindly . excellent value ! ! ! ! ! 	 Astor Excellent value . staff desk helpful courteous . room clean comfortable price . would recommend hotel time . thank excellent stay . 
 Nov 18 2008 	 Perfect 	 Hotel small , lovely . recently do would say ... old building , modern amenity . room small , view , modern spotlessly clean . bathroom especially lovely . Maid service faultless . nice upper west side - see part Manhattan one else would bother come north see ! right subway line downtown sight , literally road Central Park . ( , many people venture far park , nice quiet . ) 
 Nov 16 2008 	 simple clean great little hotel 	 price good get NY city . locate 106th St central park west . forty five minute walk hustle bustle . however Subway stop two minute along road cost $ 2 town . fact hotel right opposite central park bonus morning stroll around park must . food drink , nearby hotel , columbus ave , provide ample choice . walk centre well advise , pass natural history museum , strawberry field little restaurante / bar call tavern green , draw tourist little expensive well worth popping drink look around garden . hotel , check swift friendly doorman happy give information require . room small modern , double bed , one small wardrobe , television , cd/ radio alarm telephone . bathroom surprisingly spacious , modern marble tile wall , power shower/ bath , bath shower product fresh towel day . go NY sit hotel not stay . however want clean , cheap , confortable , decentley locate hotel stay . would hesitation stay . 
 Nov 10 2008 	 dreadful 	 book 10 night hotel hotel website base Thailand . read review , try cancel could not , company remove WHOLE amount credit card immediately . the hotel bad review say . I arrive hot night , aircon do not work . unable sleep . television do not work either . do not even know room . the next morning , go reception desk complain , girl merely shrug shoulder . I ask well room , say would pay another $ 200 room aircon work . give credit card , say pay cash would 160 , could not give receipt money . stupidly , pay cash . I get room aircon , tv work 3 day , jthe reception go fuzzy image . the area around hotel AWFUL .. be dangerous always really scarey look people about . while ... 2 tourist threaten knifepoint close by . I would not go outside dark there . I could not wait leave hotel .... 's real dive , think 's fraudulent advertise room TV 's aircon . neither work . 
