North 	 always stay hotel visit Vegas get comp room , every time notice bit piece snack leave behind room . example , night stand , table chair , corner room , tv armoir .. find cheerio pretzel time ... apparently , maid might rush clean room , not leave roll toilet paper laundry bag ... call someone bring room , not happen long time ... besides thing , always enjoy stay Bally 's room big , 's good location . order room service breakfast , come timely manner , portion okay . we would recommend Bally 's anyone look good size room location . 
 Great Location 	 go Vegas stay ritzy hotel , place . yes place run chip furniture snag rug , bed fresh sheet bathroom clean . price place hard beat . hop skip jump away everything even partial view Bellagio 20th floor . germaphobe clean freak yes wear sock walk across floor , would stay next time ' m town . 
 picture say 	 stay room 7008 south tower . room dirtiest , raggedy chair old chip shabby furniture . take photo request new room get problem . true room inexpensive strip hotel disgusting . 
 Great Loaction good price ! 	 partner stay friend begin November 3 night request near put 3 seperate floor , speak next day move hassle . staff check fine . do not really anything rest staf hotel can not comment . first room massive could party . second room still big huge . bed ok , good stay clean . see people mean window dirty , second day clean really notice , much well . spa Ballys amazing , attention detail good tender need , question ask . overall would say hotel good . vegas room explore party / gamble . loaction great right middle everything . would stay budget . 
 good deal friendly people clean back Ballys ! 	 Vegas 15 time , second time year . stayed & quot ; low star & quot ; hotel right 4 star MGM . Ballys good deal ever . book Westjet Vacations Nov 14 - 21 , get return flight , hotel taxis $ 1200 wife , $ 400 credit Westjet . actually pay $ 800 7 night stay airfare taxis Regina , Sk . Canada . know Ballys older , surprize . right time arrive Valet parking ( always rent car ) Valet cheerful , happy , helpful . ask Bellman take bag store untill call room deliver . delivery bag take less 5 minute . checkin breeze . 10 minute max . go look room not ready yet . ( 7 pm ) unusual , see room get , said & quot ; would wait & quot ; . hahahaha . come back hr WOW ... large , clean great view 25th floor . 2nd room MGM year ago . PROS : * everyone pleasant , cheerful , smile , helpful , like royalty . never experience comfortable greeting helpful people hotel Vegas . large room , clean , great location . right smack dab middle strip . * cost . * connect Paris . * great eat everywhere . food great . * room super quiet . * floor ceiling wall wall windows . view . con : * coffee maker , ( knew always bring coffee maker Tim Hortons coffee coffee casino shop expensive like early coffee pajama hehehe ) internet expensive room , kiosk everywhere use $ 5.00 15 minute must . go Vegas surf web ? people put hundred dollar slot machine blackjack table complain internet cost ... sheeshWe would recommend Ballys . J.Knox 
 Nov 14 2009 	 Excellent value money 	 hotel well situate strip . upgrade deluxe room north tower . room huge , clean date . everyone pleasant thoroughly enjoy five day stay . 
 Nov 13 2009 	 Great Location South Tower room old wear 	 3 friend return trip morning .. find good deal internet mislead hotel make reservation . make reservation , call ask adjoining room reservation desk tell we would & quot ; noted & quot ; reservation . also ask North Tower learn nice two tower . tell reservation would & quot ; reflect preference & quot ; . upon arrival , one room rather 2 ready we South Tower . 5:30 p.m . wish upgrade North Tower next day would pay extra . decline . adjoining room South Tower tell call . althought big deal seperate floor , mislead . room old , dusty bedspread dirty . shower hot powerful maid clean promptly day . there room service tray sit outside one room two day floor gross see time pass . spend much time room principle matter bother we . view great though - we could see fountain Bellagio quite well . although pool close , could use one adjacent Paris hotel awesome . relax . overall , location good part hotel . not believe reservation desk call ask preference . get . make reservation 2 month ahead time . 
 Nov 12 2009 	 Good Times 	 travel 2 friend Vegas stay Bally 's . first time Vegas . stay Tuesday thru Saturday . hotel room nice clean . go get total Rewards card tell total Rewards center Bally 's shut . go Paris get card . minor inconvience since plan go anyway . Bally 's Paris connect 's easy get one . get card decide little gambling . pretty obvious recession . half table Paris & amp ; Bally be not use . couple night hard time find table . never play card Paris $ 10 table always full . Dealers Bally 's mostly fun . keep we entertain always helpful . Bally 's convenient location . right strip , easy get anywhere else desire go . Valet free , use entire time . attendant friendly helpful . overall enjoy stay would stay long price right . 
 Nov 12 2009 	 expectation 	 travel sil , arrive take grand suite 16 floor , 2 bedroom adjoining door , wow , jacuzzi , tub room , housekeeping amazing , fresh sheet every day , refill coffee hair product . nice view mountain part strip , room service quick hot plentiful , employee happy helpful , need mobility scooter arrival , encounter problem , casino slot tight learn play crap wonderful time save lot money , dealer friendly help we learn game make lot fun table , return next April do past 18 year , usually room north tower reason go casino host , give jacuzzi suite , II do not think happen never know , really feel like pleased treat respect bar staff wonderful , actually remember name last April , staff long time seem enjoy job customer stay , make good time , general visitor chatty seem enjoy fact employee remember name , always stay Ballly 's purpose feel welcome , safe sometimes travel alone , fromnow use casino host think make big difference room assignment , big roller repeat customer ...... love place happy accommodation politely ask change surprised accommodate 
 Nov 11 2009 	 large room great swimming pool 	 stay standard room , large price , comfortable lot storage space . need check bathroom - disability access ( bathtub ) huge shower space seat . need bathtub , request time reservation . room quiet , bed clean . great location - easy walk strip shopping . bus stop one block away . swim pool large enough real swimming , tile bench seat water along edge - great reading keep cool . lot clean towel lounge chair . bare bone lobby - service relocate Paris , long walk tunnel . bonus Ichiban Sushi en route pool delicious western japanese breakfast . 
 Nov 11 2009 	 great stay Ballys 	 town SEMA Show first stay Ballys . learn look past alot negative review read people picky . room huge clean , sport book favorite town check quick . ask ? eat Nathans Hot Dog stand 2 hot dog 2 small soda $ 17 ? ? ? ouch . eat 2 night Ellis Island 1 block behind Ballys . good deal Vegas excellent $ 6.99 steak dinner 24 hour day ! thing do not like smokey casino get night . also luck gambling awful . stay next time Vegas that s be not nice like try different place . point back promise . Harrahs player club good Las Vegas ! 
 Nov 11 2009 	 outstanding hotel horrible casino ! 	 stay October 29 - November 5 , 2009 . first trip Vegas . use point Harrah 's total Rewards Card ( accumulate point Harrah 's North Carolina & amp ; Atlantic City , N.J. ) . point earn 5 free night Harrah 's property U.S.A . arrive check counter , toss clerk ten dollar bill two five dollar bill . tell think wonderful job , appreciate job skill . well , thank , give free upgrade suite North Tower . well $ 20.00 spend Vegas ! try ! bathroom huge ! large mirrored closet bathroom 's hallway . full sink bathroom 's hallway ( table chair ) , mirror bathroom 's hallway . inside bathroom , another full sink ( mirror ) , marble floor . bathroom large hotel 's room ! large , clean , quiet bedroom anyone could ask ! room , really feel thousand mile away everyone ! room comfortable ( ) quiet ! oh , 12th floor . great location . the housekeeper friendly dependable . really great job ! leave money valuable lay one table room ( ) . return , housekeeper clean room , money valuable still right put ! extremely honest reliable housekeeper ! feel comfortable know lady clean room away . thank ! hallway clean , elevator clean , room OUTSTANDING ! lose fortune casino ( fault ) . suggest , play machine , go across street Flamingo ( another Harrah 's property ) . $ $ $ $ $ play penny machine . Flamingo also , opinion , BEST buffet strip . go buffet 4:00 pm . lot seafood , lamb , prime rib , whatever hunger desire . 's Paradise Buffet across street Flamingo . check ! anyway , absolutely recommend Bally 's ! hotel well ever expect . , 's center strip , location unbeatable ! yes , plan stay spring ! e - mail question ! 
 Nov 9 2009 	 give Bally 's chance ! 	 wife combine two birthday 10th wedding anniv . gift trip Las Vegas Nov. 2 - 6 . stay Bally 's 4 nite . would read review Bally 's negative one , like reviewer say , cause we worry little go get . worry totally without merit . our stay awesome . Bally 's , ' ve rate , excellent every respect . staff extremely friendly helpful . stay North Tower nothing available South . SEMA convention go week , get room North Tower extra charge ( usually $ 20 / nite ' ve read ) . not understand fiercely negative review Bally 's . suppose Bally 's could day . rather tend believe particular traveler impossible please type , know mean ? 's basic : wife prize cleanliness else . disappoint . room spotless every day . new towel bed everyday -- daily $ 5 tip probably help . our room whole hotel seem bit date . color scheme generally gold color , everything clean . furnishing fine bathroom , marble around , nice . ' ve read review low water pressure . absolutely problem . pressure excellent , showerhead good volume water could hot could stand . water rather hard . , be use soft water like we ' ve warn . stay 12th floor face Planet Hollywood Paris hotel . whole lot see view still nice . also big hotel room ' ve ever stay . gigantic definitely big average . Bally 's monorail station connect hotel . highly recommend use . Bally 's definitely ideal location . however , hotel far away look . walk lot , repeat visit casino , use monorail . we get massage Bally 's spa . $ 80 50 min . , nice overprice . , staff spa outstanding . casino , course , smell cigarette smoke . casino allow smoking . seem individual fragrance first walk . maybe effort mask smoke smell . noticeable we be non - smoker , not terrible . eat two meal Bally 's . quick bite Sbarro 's lunch , burger , restaurant list site . forget name think begin & quot ; & quot ; . burger excellent bit pricey ... like everything Vegas . also eat breakfast dinner Terrible 's Casino , 2 long block Bally 's . good food , good price , , long walk . check - in relatively quick . not think matter come go , sort line . not quick - checkout want see charge bill . perfectly correct . ( buy vacation package ... charge massage ) . one thing : shuttle airport miserable . driver take & quot ; back & quot ; road take least 20 min . get Bally 's . not want risk late flight home take cab airport . highly recommend . the real downside would mention much walk . big hotel / casino neat , ... be big ! far eat , wife highly recommend buffet Excalibur . all - you - can - eat , day $ 29.00 . can not beat anywhere . plus , variety buffet superb . american food good size chinese section mexican section . eat one breakfast MGM 's Grand Buffet . not waste time . $ 16 / person variety limit . my final recommendation : stay Bally 's location price . use hotel room clean sleep . otherwise , not . want pay double , triple room Bellagio , Venitian ever , be certainly choice , extremely satisfied everything Bally 's offer not pay outrageous price . really depend want value . next , tip darn near everyone , shuttle bus driver , cab driver , doorman , waiter , dealer ( play win much ... not ) . budget generously tipping . find guide tip Vegas . follow guide say . Waitstaff tip anywhere else . good service get good tip . Food Vegas not use tool get casino . make profit ... translation : be expensive prepared . last , great time . explore everywhere . 's lot see . P.S . go Luxor . impressed . fact , & quot ; clientle & quot ; walk around much well dress hotel . atmosphere Luxor uppity , snooty snobish . hotel see sign say & quot ; Photos & quot ; inside & quot ; proper Attire Required & quot ; sign one restaurant . casino relax friendly . 
 Nov 9 2009 	 Great Location ! 	 travel Nov. 5 - 8 celebrate friend 's 21st birthday , arrive hotel around 3:00am , initially book non - smoking 2 bed South Tower , due time arrival room book upgrade North Tower , 1 king size bed smoking room . hesitant first , get room not disappointing . room spacious great view restroom also big , & quot ; smoking room & quot ; smell like smoke , feel like non - smoking room . the location big plus , ' middle everything convenient we , go farther place , ride deuce bus , would recommend buy day pass , be well worth , addition Harrah 's property offer free Shuttle Paris Rio Hotel , also big plus ! not eat Bally 's , operator say food not great , recommend Paris restaurant connect Ballys . all great time Ballys , not problem service employee . 
 Nov 5 2009 	 well expect ; good experience . 	 Vegas ~15 time last 10 year , first stay Ballys . check - in fast 8 pm . offer 2 free night South Tower compe , not king room available time , get free upgrade North Tower 2 queen bed . room 25th floor nice view North Strip ( Harrah 's , Venetian , Palazzo , Wynn .. ) . room huge , beautiful , clean & amp ; comfortable . hall quiet problem sleep . find staff friendly , slot loose MGM property , good Las Vegas Hilton downtown . drink service great , find true everywhere Strip compare visit . CONS include : hair conditioner , coffee maker room ( expect ) , Starbucks , one coffee bar hotel ( long line morning ) , $ 25 6 cup pot coffee via room service delivery charge plus tip , $ 3 charge per day safe . eat bar passage Bally 's & amp ; Paris quick burger fine . go door near sport book , 2 block walk ( 1 block east , 1 block south ) Ellis Island husband & amp ; $ 6.99 ( menu ) steak special root beer microbrew beer excellent . hotel also stay include MGM , Mirage , Las Vegas Hilton , Bellagio , Wynn , Stratosphere , Circus Circus . hotel nice Bellagio Wynn , even room not compe , price good mid center strip & amp ; would stay . 
 Nov 4 2009 	 expect 	 first time Vegas . Booked combo air hotel thru Delta pick Bally 's base review price . offer upgrade checkin 20 buck night north tower decline . spend previous night Caesars ( nice hotel way ) upgrade charge . room clean tired furnishing . partial view strip thru dirty window . convenient Strip . might stay depending package . 
 Nov 3 2009 	 Bally 's need face lift . 	 travel Vegas 2x per year couple get away . visit choose another location stay strip . past visit try Bally be another couple . site recommend north tower room upgrade . not mention decade . old tired . $ 20 per night upgrade . lucky enough upgrade suite . large still tire dire need upgrade . however , say , staff excellent check hotel not bad place will spend night vegas $ 58 per night . enjoy . 
 Nov 1 2009 	 Location . location . Location 	 Staff pleasant accomadating . stay south tower , honestly room smell old , wallpaper peel wall bathroom window literally film crime room clean . good thing hotel location . 's right middle strip EXCELLENT location . would stay , perhaps stay north tower extra $ 20 night . hard believe could not clean window tape wallpaper . REALLY ....... pool area great also . one thing ventalation good casino , smokey . like say would stay location . fun ...... 
 Oct 30 2009 	 not stay south tower ! 	 ' ve stay Bally 's several time past . time room south tower ... OMG . room beyond awful . request King bed ... not one ready ( check - in time btw ) ... accept queen prefice get another room next day . well ... room $ 500 6 pc set bedroom set ... old style tv end table .... fan bathroom vibrate bed loud . next morning go request different room date . tell would $ 20 per nite upgrade north tower .... ? anyway , sweet talking .... upgrade north tower extra charge . room way way well .... still peel paint bathroom . toilet run every 2 minute .... keep fix chain tank ... leave note daily tip cleaning crew , ask fix . come back many hour later run toilet . husband finally fix stop . ' m sorry ... suppose vacation ... fix toilet ? not think will stay till real renovation ... worth aggravation . SIDE NOTE : morning try change room ... guy scream find blood bad sheet check room demand room change . front desk helpful apologetic find strange ... people tell & quot ; make report security & quot ; .... another SIDE note : go haunt Vegas Tour - excellent ! ! 
 Oct 29 2009 	 Ballys ok ? 	 stay Ballys several time always nice room ... time check Ballys 4 night stay .... book Expedia request king room .... upon checkin lady inform we book queen room double .... first disappointment .... say room would south tower .... emphasize want upgrade could additional $ 20 night ..... would even consider give we room north tower king bed unless pay $ 20 ... feel already pay type room thru Expedia ...... times stay Ballys always place north tower king room additional fee ... room assign certainly good size .... dirty carpet next elevator ... 24 hrs day hear elevator go up / down .... good situation . tv way across room small .... disappointed accomodation trip disappointed give room south tower ... may good room certainly one .... maid service fine stay ... unfortunately look hard go back Ballys future ... could do we well lady try .... would still recommend north tower accomodation know .. 
 Oct 29 2009 	 great want 	 stay Bally 's 13 20th October . booked room lot deliberation upon stay on - line Harrah website . check quick , line 2 other front , 10.5hour flight lovely sight . check - in person not friendly , manage get least amount conversation require check we . request pay North Tower non smoking room , preference room face strip , available advise smoking room night could move next day , fine , tired take . get room disgusting , smell hit come lift smoking floor , get bad entered room . stay smoking room room like nothing else , curtain brown , even friend stay , smoker say could not stay , overlook car parking lot top ! back reception , way pay stay room like . different reception person lovely , fully understand search system , find we non smoking room north tower minute ? , apologise 12th floor high . room perfect , view across Ceasars , room spotless . the hotel old , friendly , fray around edge would describe , depend look . cheap hotel central location yes hotel , pay around £ 480 7 night , stay MGM little , honest every time visit stay different hotel , MGM would hotel would stay next time , buzz . Bally 's good feature location , central , wonder really whether that s important Vegas ? special thank chamber maid , room spotless everyday , clean towel always pleasant smile , really work hard , not forget tip end stay . table dealer , friendly group . food - lovely meal , lovely restaurant , must recommend go Dallies Planet Hollywood Brunch , reasonable food wonderful . 
 Oct 27 2009 	 Great Stay 	 stay Bally 's Oct. 7 14th .... awesome room north tower . clean . view would nice except windows filthy . letter room state window clean draw curtain want see . see window cleaner anywhere stay . downfall request late checkout . consider noon charge , long without pay full night , till 4 pm , additional cost $ 35.00 . downfall , room clean , large bed comfortable . 
 Oct 26 2009 	 value 	 recently stay 7 nite north tower 24th floor . room big & amp ; clean , maid service every day . people work nice helpful question . stay th 17 24th oct . close evertthe , bus service , tram , walk casino . definitly stay Ballys near future . linda windsor ont . 
 Oct 24 2009 	 nothing special 	 big hotel . really nice room . 5th level great view air condition ... Vegas party ! staff unfriendly rude . amenity expensive . free internet ... 
 Oct 23 2009 	 ' m glad back home ! 	 first trip Las Vegas primary purpose trip attend convention Bally ' . since ' never Las Vegas , decide depart home early take wife , travel agent , spend extra day tour Las Vegas , visit sister LA see Hoover Dam , nice . wife stay Bellagio hotel / casino night convention start Bally ' experience enjoyable ; fountain impressive ! day convention , move Bally ' since hotel room include part convention ' registration fee . expectation Bally ' low Bellagio ' older less expensive hotel . despite low expectation , Bally ' still succeed disappoint we . arrive Bally ' around 2 pm surprise see long check - in line . ask hotel check - in line attendant going bring additional staff help speed check - in process since six ( 6 ) empty hotel check - in attendant station , say empty station would staff 5 minute . think serious relieved . turn , joking ; joke folk wait line . thirty minute later head room 23rd floor , room 2311 specific . check - in , attendant state daily $ 13.99 internet fee spa exercise room include ( free ) conference attendee . gambler , smoker ( former ) heavy drinker , immediately overcome significant amount cigarette / cigar / pipe smoke Bally ' casino … sinus ' clog almost immediately stay congested entire stay despite good effort get relief nasal spray . ' know one avoid smoke fill air Vegas casino , probably , casino definitely much bad other . our room large , clean , basic , though somewhat date , furnishing accouterment ; expect . view Vegas room pleasant , look north Flamingo Road . ' know time , Flamingo Road appear primary route emergency vehicle room poor noise insulate characteristic due large single pane exterior glass door window . evening awake several time road maintenance jack hammer , emergency vehicle even people ' voice street 23 floor we . the next morning contact front desk concern noise state would put we waiting list room change , ' guarantee move … two noisy sleepless night later , decide check - out early depart conference head back home . on check - out , advise , surprise , internet charge exercise fee include conference fee tell check - in . since need catch flight ' time ask manager , argue attendant , ask address write hotel management . ' confident ' receive reply , however ; especially since not deposit thousand $ $ casino gambling . SummaryIf ' gambler , smoker like drink , ' love hotel , especially ' tie budget . find price food beverage Las Vegas high side along strip ; live high cost living area – Washington , DC . decide stay Bally ' , sure request room south side , away Flamingo Road , otherwise bring heavy duty ear plug ( get totally drunk ) plan sleep comfortably night . btw - Jubilee show enjoyable good value $ 35 discount coupon . last trip Las Vegas . 
 oct 22 2009 	 Bally 's Las Vegas 	 beautiful , great hotel ... good broadway type show around ... great gaming & amp ; lesson blackjack 
 Oct 22 2009 	 Bally 's bad choice ... 	 sister stay Bally 's Oct 9 12th , never disappointed . initally go stay Monte Carlo husband say oh stay Bally 's well reveiw .... never stay idea take word , mistake . room not clean , change sheet sure . bathroom smell urine beer bottle cap bathroom floor plain sight . every counter room sticky glass stain .... disgust , complain . move we , appear bit well . we notice later small vomit stain carpet . know soon arrive outside hotel go bad choice . street people hang outside entrance , drunk loud . dream beautiful hotel ...... NOTWe go check Monte Carlo next day , beautiful place . confusion next time go , definatly stay Bally 's . 
 Oct 21 2009 	 Exellent Location Value 	 hotel want . little old Vegas hotel lot cheap . close hotel , bar club . room service great , room clean , bar service good . entertainment hotel good , live music night . want value hotel heart strip . really gambler can not comment casino fun minute video poker bar . thing let slightly ... food leave outside people 's door 24 hour . room service good . also FYI ... visit friend MGM grand ... much pricier ... room much small Bally 's ... 
 Oct 20 2009 	 date good value 	 stay April 2009 good stay . 15th floor , low ceiling , show bit wear- renovate area well . room good size decent amenity . $ 20 front desk clerk upgrade room south tower north tower . almost always long line check , check around 8 pm Thursday ok Friday morning line huge , probally take hour check FYI . pool bit walk actually pretty nice . live luxury drink girl come around time cabanas rent . oh yeah guy run evenge electronic roullete blast ! 
 Oct 20 2009 	 Nice stay 	 back three night Bally 's . give south wing not want pay extra $ 20 / night north wing . room huge view Strip Bellogio Fountains . window dirty , rest room clean servered need fine . complaint staff facility . intersting note , arrive room , two empty glass hall . three day , still . several room service dish pick thoughout stay , reason , glass stay hall . satisfied stay Bally 's . 
 Oct 19 2009 	 nothing special . 	 arrive 1pm , room ready , tell come back 4PM . come back 5pm , safe - side , room still ready . say room next original room ready , fine . stay South Tower , Room 5527 , $ 62 per night . standard room , two queen bed , basic furnishing , nothing special ; room clean . nice view Paris Eiffel Tower , room surprisingly quiet , never hear guest . absolutely nothing special hotel , basic accommodation , fine since not plan spend much time room . annoyed coffee - maker room , basic cup coffee downstair $ 3 ! last day annoyed find want charge $ 4 print boarding pass , without tell fee print hold front - leave holding . customer service - wise negative start negative finish , nothing special middle make forget two incident , probably would not go back . 
 Oct 18 2009 	 nothing fancy affordable fun ! 	 hotel walk visit , Bally 's one shabby . however , affordable , connect Paris , well eating , shopping , swimming . walk play day , use room crash , exceedingly happy ! however , be look something fancy , Caesar 's Mandelay Bay favorite . 
 Oct 14 2009 	 Las Vegas - trip 	 year see Las Vegas expand become multi - faceted stop one & amp ; . aside gambling ; everyone family marvey sight & amp ; sound . Bally 's hotel fit new image ! 
 Oct 13 2009 	 South Tower - Peachy Keen 	 need room one night . offer comp room , South Tower . reluctant base negative review . fine . yea , thing make less perfect room ; dresser chip , headboard 70 's , last time window wash Clinton office . say , great room . , spacious , include bathroom . bed comfortable . carpet appear new . room spotlessly clean . 18th floor view look south spectular . last time pay extra room view North Tower . view South Tower , real view . value location beat . 
 Oct 13 2009 	 great value location ! 	 date hotel cost location strip great . room large clean . highly recommend get good deal . 
 Oct 13 2009 	 Perfect location clean spacious affordable . 	 stay quickie weekend trip . right strip , next Paris , one cheap room South Tower could still see fountain show Bellagio across street . offer & quot ; upgrade & quot ; modern room $ 20 per night would not take - not , room fine ! huge two we . pool little date , sun Vegas everywhere , complaint . good thing Bally 's location : almost center strip . 
 Oct 12 2009 	 good location good value . 	 stay week Sept 2009 . upon check book room available get put suite ( fridge ) first night get move tower rest week ( view strip ) .Both room feel great size , clean could stay happily either honest view strip would win fridge . especially could get ice vend machine hall . would not say much two room either tower honest . I read dodgy review beforehand would not agree . I ve stay much bad hotel UK suppose 4 star . maybe UK do not expect much - especially ever stay London shoebox size room . the location good - central . nice connect Paris . overall think great value . 
 Oct 12 2009 	 Central 	 stay three night north tower five friend . stay fine hotel need renovation . say room clean . move sidewalk break four day , healthy cause difficulty handicap person . charge $ 20 per night upgrade , not see anything upgrade . great live entertainment lounge . 
 Oct 12 2009 	 Big Hotel Big Problems 	 Bally 's . say , problem stay . window filthy , pillow non existent , carpet room wet shower mold . shower head remove - you would get well wash hose . everything expensive ( $ 6 diet coke pool ? ! ) random person knock door 1 am say housekeeping . the plus side staff friendly , room huge casino pay . 
