's 	 •Clean•Good Location parade & amp ; museum , local food 24x7•close enough Subway lines•good mattress•desk helpful responsive•toilet close wall side , … & lt ; censored & gt ; … ( ' use ) •wind loudly whistle close / locked window one night•No window screen allow room cool w/o risk bird entry•Bed short – need queen size , room small•nobody desk time one morning 
 Aug 24 2009 	 good location room like shoe box ! 	 stay Park 79 4 night explore city New York . internet photo make one believe place lot swanky actually . bedroom bathroom tiny . bedroom certainly need touch paint . hotel good location , extremely close Central Park National History Museum . location hotel poor value money : room pokey , one particular member staff extremely rude towards we coffee serve cheap styrofoam cup . 
 Aug 11 2009 	 great location great price ! 	 family return 5 night stay Park 79 . unlike previous poster , confirm reservation prior arrival problem check . arrive 5 hour befoe check - in hotel personnel gladly hold luggage we tour NYC room ready . hotel staff gladly give recommendation restaurant , instruction subway , request information . room , suite , small price , fine . room equip two television , ( one mount flat screen bedroom ) , small refridgerator , small microwave oven , private bath . location Park 79 could not well . close everything yet crowded area like hotel . complaint : 1 ) elevator small ever slow ! 2 ) clean crew keep short we wash cloth always request more . all , pleasant visit price , would definitely stay Park 79 , without hesitation . 
 Aug 6 2009 	 Avoind hotel cost ! 	 reserve room ahead time online expedia . upon arrival , told & quot ; emergency & quot ; room available . stick hotel street . front desk people extremely rude , tell we & quot ; bad attitude & quot ; not help we . also say thing like & quot ; emergency happen & quot ; , & quot ; always first time everything & quot ; , not even bother apologize . end look another hotel . experience horrible writing review . bottom line : not trust hotel . keep look . 
 Aug 2 2009 	 job - reasonable price 	 pay $ 119 / night ( plus taxis ) room private facility . yes , room small , everything clean work : air con . , flat screen . comment : Shower need run age get hot water , arrive eventually ! great location Upper West Side , across Natural History Museum . get pay , hotel job fair price . would stay , problem . get 4 star -- relative price pay . 
 Jun 30 2009 	 cheap Clean Cute ! 	 hotel fantastic place stay NYC . partner stay week love ! room clean day , matter time leave Hotel . front desk super helpful , even check we early room clean ready early . room bit small , private bath make . bathroom T - I - N - Y , otherwise efficient . Interior charming , bit old side , clean , ask Hotel price city . 
 Jun 26 2009 	 small nice ! 	 stay suite ( 4 adult ) think wonderful . room clean serve need well . staff super friendly can not beat price . room small , , can not beat price . 
 Jun 18 2009 	 Great Hotel Price 	 read review say ... yes , room small - but 's $ 150 NYC - what want price ? want large room pay . room CLEAN , staff friendly ... late flight know would want freshen last day sight - see flight , offer we spot freshen , give we room use shower - that go beyond ! stay July can not wait ! 
 Jun 13 2009 	 excellent value location cleanliness 	 really enjoy stay . Manhattan , real deal . staff helpful , room absolutely immaculate , ( course large , usually case old NY hotel ... ? .... ) also quiet . renovation lobby plan ; hopefully raise price much ! 
 Jun 2 2009 	 's clean clean clean excellent location 	 need stay NYC one night , choose Park 79 Hotel value review . value : excellent . choose room cost little bit want share bathroom . still pay $ 109 room NYC ! ! ! ( two single bed ) . time book share bathroom room $ 79 . excellent price nyc.cleanliness : hotel clean . hallway , room especially bathroom - super clean . old building , real estate premium price NYC room old building usually small new hotel . 's part charm NYC . expect , will not problem . plenty room bed wall . room even little area closet . bed little firm , problem sleep . daughter also say sleep well . room equip iron ironing board , phone , clock , tv ( flat screen mount wall ) , hair dryer . , closet . room air conditioner work well ( although - like room air conditioner fit window - little noisy - not bother sleep ) . ask quiet room book hotel , give one . 5th floor view ( not bother - ' m sight seeing room ) street noise . yay ! problem people noise either . door believe lead room next door . permanent lock one time hear people talk . could understand , hear . believe , complaint wall thin really noise door . see wall thick plaster . Room decorate nicely , adequate lighting . food : absoutely many food choice NYC . walk Amsterdam Ave evening look light snack . option type restaurant , bar , delis , etc . daughter get slice pizza - pleased . spend amount money , expensive resonable place . one pub & quot ; happy hour & quot ; - $ 2.00 can Bud Light . wow ! could not believe price - especially NYC . feel safe neighborhood . convenient . walk couple block Broadway 79th , subway . able find parking spot street . soooo LUCKY find one . 11:30 , must move vehicle side street wil tow . worry becasue leave . book hotel room , call tell parking garage available give discount . staff helpful . not really requre much , willing friendly . would definitely stay . 
 May 28 2009 	 Magnificent Staff 	 hotel situate quiet street within two block walk two subway station close many bus stop . front desk staff kind helpful . hotel provide free Wifi morning coffee . the room quite sufficient price . attractive large . clean bath goody even shower cap , iron board , hair dryer etc . pillow bit lumpy . bring next time . room door heavy guest door slammer may upset generally kind nature . 
 may 12 2009 	 Excellent Service Location beat small quirck 	 overall , good hotel , conveniently locate - within walking distance Lincoln Center , Central Park , Natural History Museum many good store restaurant . make excellent though service . outstanding help service member staff request . problem room , handle quickly efficiently . small request like vase flower , advice , etc . on downside , build bit shabby , one elevator , sometimes wait . also door / wall soundproof , hear lot , , frankly , outstanding service great location make detail . oh yeah , complimentary internet ! ( though signal always good ) .if NY week less look posh luxurious accomodation , would recommend Park 79 reliable affordable option . 
 Apr 30 2009 	 Comfortable 	 want quiet place relax , . long day work , would come back cool , comfortable room . housekeeping keep everything neat . front desk polite menus order feel like stay dinner . Central Park nearby several restaurant . 
 Apr 29 2009 	 great little hotel good value money 	 good : location - Columbus Avenue , near Central Park Museum Natural History . really could fault service - arrive near midnight check quickly efficiently . room decent size - manage accommodate , friend suitcase without we trip furniture - clean , shower excellent . good : breakfast room , free coffee available reception morning great breakfast place neighbourhood . bathroom really quite small hook hang towel bathrobe . could hear everything go corridor outside room , exhausted roam city not keep we awake . overall : would say great little hotel , good value money ( pay $ 149 twin room ) good uptown location . 
 Apr 25 2009 	 terrible way treat guest 	 can not review actual hotel arrive mid - afternoon , despite confirm reservation month early , tell overbooke room available . woman front desk nerve tell marathon -- , way , November , April . find room dump hotel peel paint , many block want -- take exhausted search vacancy elsewhere . poor way run business . 
 Apr 25 2009 	 okay noisy ! 	 stay hotel 5 day . like other say , room quite tiny ! ( especially bathroom , can not even sit comfortably toilet ! shower okay interior amazing , like tile ) clean quite nicely decorate ( mirror picture Central Park mine ) . hotel close 79th Str . subway , 81th Str . subway , excellent connection Manhattan close restaurant , museum Central Park . thing really annoyed noise . wall seem thin , mean hear everything go neighbour . two night absolutely horrible , one night guy loud middle night , flush toilet time throw ( yes , could hear clearly ! ! ) , another time drunk couple come room , put tv loud , loud put music middle night . clean staff pretty loud well , shout eachother across hallway pretty much wake every morning . also , hung & quot ; disturb & quot ; sign door , get good rest , yet call phone ask want fresh towel . , okay stay . staff front desk friendly helpful help way . ( man lot helpful woman though , seem bothered question .. ) internet work really well ( get quite quick connection , even 7th floor ) free definitely big plus ! put short : be look stay great location okay price , place . look quiet , comfortable environment , would recommend try another hotel . 
 Apr 19 2009 	 great place stay 	 travel good friend NYC almost every year . wonderful & quot ; free & quot ; accomodation time not work . , book Park 79 spend countless hour internet . course , always sceptical surprise - pleased . room first floor make extremely convient , bump deluxe room instead standard ( idea - ) room ( small ) everything need . Coffee morning , great recommendation restaurant , great location , pretty quiet street room , clean room bathroom , fair price , heck ... NYC . overall , would stay Park 79 heartbeat already recommend other . great place stay . 
 Apr 18 2009 	 not fool website ... 	 book hotel base great look website - white clean , modern hint colonial , lot dark wood . fact look good commission review well - know international travel magazine . well , nothing like website . tatty , run , altogether rather naff . add claim & quot ; 24 hour tea coffee & quot ; actually urn hot water foldaway table foyer sachet put away 11 am mean feel like dupe . annoyance include insanely loud cleaning staff ( thumb door enter without wait reply 9 am ) , apathetic staff , door key keep break slow lift planet . could actually see age wait . maybe would stay - 's hard find mid range hotel NYC - will avoid . PS even write hotel say go review not write back indeed acknowledge journalist high profile mag review hotel ... sigh ... 
 Apr 7 2009 	 ok hotel good location 	 stay hotel March 2009 . due change plan 2 separate reservation , one first night another one next 2 night . despite first reservation correspond another room category , receptionist quickly worked not switch room whole stay . hotel close Natural History Museum , Upper West Side therefore close Central Park . less 2 ( long ) block subway station take Uptown Downtown . location great , many restaurant store within walk distance . I assign room fourth floor overlook 79 Street . small tiny , bigTV set , sink bed comfortable . could hear noise street not problem . everyday , room make towel change . I read internet bathroom share 2 room however true . quite large number room per floor , 2 bathroom share . access use room key . also use bathroom floor occupy . time either room key not work someone bathroom floor . cleanliness share bathroom not great plunger next toilet use . hotel free wi - fi internet however could never connect whole stay . morning till afternoon , complimentary coffee reception desk . the staff helpful would consider stay friendly staff convenient location . 
 Mar 19 2009 	 Bippidy Boo Noisy 	 first , allow explain title review : room next - door obviously disturb individual night shout , & quot ; Bippidy BOO ! & quot ; treat sense include , limited , & quot ; yes ! & quot ; & quot ; little girl ! & quot ; , really spook we almost we pack leave 2 a.m. room night Friday Saturday ? good first : location dynamite ! step outside lovely residential neighborhood full great stuff see , plethora great place eat . also notable , doorman Park 79 , helpful courteous young man name Julio . negative : use stay youth hostel right home . picture website quite deceive . hotel must spend money outside facade inside need major overhaul . floor , example , beautiful inlaid wood floor tear spot . & quot ; deluxe & quot ; room small straddle column bathroom toilet get small tub . bed comfortable , however firm headboard flimsy . much furniture small room , , make tight . , seem though closet convert room . the bad thing us noise factor . place rock roll night long ... aside & quot ; Bippidy Boo & quot ; next - door , privvy guest ' toilet flush marathon shower - taking . yes , night long . wonder insulation wall every pipe establishment seem drain , rattle , clank ear . we return hotel . Bippidy Boppidy BYE - BYE ! 
 Mar 12 2009 	 Spoilt choice bar restaurant 	 return fab stay Park 79 . pleased review prior we go find room allocate ( room 112 ground level ) clean , warm comfortable lot hot water large LCD tv wall . fair though , tv 20 minute 6 day stay busy see sight shop .. blah blah blah ! upon check - in , get shock thought pay credit card prior we arrive , ask full payment come shock , thinking bill twice . however , upon check online banking , ' take penny arrive , mistake ! remember , hotel tea coffee make facility room , offer tea coffee urn reception morning perk . recommend breakfast Shining Star restaurant / café open 24 hour around corner Amsterdam avenue . find little expensive , find somewhere like near Colombus Circle call Lenny ' ( bear mind though ' 5 minute ride Subway though ) . shine Star café , avoid ' irish sausage ' order breakfast , ' disgusting taste like nothing ' ever taste ! also within 5 minute walk hotel several bar special offer beer . call ' Bourbon street ' , careful add sneaky ' cover charge ' $ 4 per round drink . whereas , across road still Amsterdam avenue 2 minute walk ' Gin Mill ' bar draught beer $ 1 Monday night cover charge . side small poky look place call ' Brother Jimmy ' ' . food absolutely spot serve mainly american fayre , fry stuff , rib die , especially ' northern style ' one . price quite reasonable ' get nice cold beer , ' judge book cover nice inside get door . there indian restaurant call swagat food ' bad either . whatever dish order , seem laced copious amount garlic beware . beer / wine expensive beware . I get talk homeless guy call Jim sit outside church Broadway junction 79th street extremely approachable chat . ask money whatsoever say house shortly . ' pass , say hello mention Graham Tracey England ask ! visit Empire States building evening ( dusk nightfall ) well experience daytime , consider time go . we also find irish pub food superb near Times Square call ' Lunneys . drop we line need know anything else .. Graham Tracey , Oldham , UK 
 Mar 9 2009 	 great value snooty service 	 location price hotel make worth stay far staff go , woman short rude . also act like troubled answer front desk call . also another note room include bathroom . floor twenty room , floor 2 bathroom accessible b bathroom guest exit privacy room walk hall community restroom . annoy especially need one full travel seperate floor use facility . 
 Mar 1 2009 	 Good Basic Hotel 	 book one night Park 79 extend business trip rate cheap hotel spend rest trip . room small , modern clean . since really need room extra night sleep , small size fine . bed comfortable enjoy comforter . hotel quiet ( hallway noise ) , window look onto flag pole ( room 201 ) , rattle night wind . since heavy sleeper not issue , could see someone restless night result this . my private bathroom small gorgeous ( marble tile ) . large person would hard time sit toilet narrow space . room also hot , find knob turn steam heat fine . for $ 89 night , definitely good hotel . $ 205 night hotel street spend rest trip much nicer large , also twice price . 
 Feb 28 2009 	 great price ; good staff 	 Park 79 offer great price recent weekend stay NYC . although small , room bathroom update , clean serviceable . staff friendly helpful -- highly recommend economical stay ! 
 Feb 26 2009 	 Basic impeccably clean outstanding location 	 suite , consist small bedroom extremely comfortable double bed , separate living room foldout bed . small microwave refrigerator . bathroom tiny hard maneuver . however , everything spotless -- major criterion . build old ; bedroom heat steam pipe produce loud knock sound first night . not hear anything second night , could slept well . tiny , slow elevator take forever arrive , end mostly take stair basic place , staff business - like front desk people pleasant enough . parking garage w. 83 St. $ 30 night hotel stamp ticket -- bargain NYC . location can not beat , close everything would ever need Upper West Side -- Natural History Museum , several subway line , Central Park , score restaurant , great shopping , name . 
 Feb 26 2009 	 Hot Noisy Staff Quick Fix 	 ok , check Saturday 3:00 pm , book two twin bed one room , give we two room room two single bed not available ! take two room . one twin bathroom , double bathroom - Room 508 . friend say double fine , not need two room . however , temperature 80 's , noisy , door slam , people talk , laugh 4 ... could hear ! thank goodness window , even open fully , not cool thing , 35 degree outside . morning , request room could accomodate two quiet hot ! put we 511 ... perfect ... request , turn heating unit room . bed so - so ( rather thin mattress ) , sleep well first night . , desk staff accomodate , overly smiley friendly . price - $ 100 buck night - worth stay , location great . lucke find parking spot street weekend , parking free ! 
 Feb 26 2009 	 great value - friendly staff 	 second trip NYC , want find hotel inexpensive one stayed previously find Park 79 online . leery choose room not private bathroom decide go . pleasantly surprised get room . set floor seem private ; two bathroom share per floor never come across time occupy . room sink quick washup . stay 8 night . build old Manhattan well keep clean . bad thing could say floor squeaky . room tiny adequate - not hang around room . front desk staff doorman helpful courteous , especially compare 5 hotel use NYC . location nice , quiet area , close Central Park Museums although little far spend time Times Square area . little close , would perfect . also wish vend machine something get munchie middle night , nowhere go 's coffee facility room even . , would recommend hotel anyone , do . 
 Jan 20 2009 	 great value great location 	 Park 79 excellent hotel serve need perfectly . great location , truly great value . room clean , comfortable bed , nice flat screen tv good shower . imortantly , hotel quiet ! staff also friendly helpful . would definitely stay . 
 Jan 19 2009 	 great value 	 husband , daughter ( age 17 & amp ; 20 ) , stay two room Park 79 August 2008 . first vacation NYC concern much would pay decent accomodation . end stay Park 79 trading two timeshare week RCI . absolutely meet need . room small clean end hall quiet . coffee service morning nice get sit outside step watch city wake . location hotel easy walk distance several different subway line also many local restaurant . town vacation , spend day away hotel . trouble internet service . staff helpful although last day request minivan taxi take us luggage airport . price end twice expect . 
 Jan 6 2009 	 great location 	 Excellent location . room pullout sofa seperate bedroom . room clean . nothing fancy clean comfortable . much time actually spend room ? hotel offer coffee , tea hot chocolate lobby hour . staff friendly helpful . come back recommend hotel want great location clean , comfortable basic room . 
 Dec 21 2008 	 friendly staff tiny room ! 	 boyfriend stay Park 79 three night December 2008 . stay friend check hotel last minute ill - park 79 cheap last minute option Upper West Side ! standard double room absolutely tiny , norm New York not surprised . would cramp long stay , manage 2 we room . wardrobe chest drawer shame ( rail hanger ) table bedside cabinet . bathroom also small ( unusable anything like dry ! ) , shower good . the staff helpful friendly knew area well . one night hotel heating hot water , get money bill without trouble . location hotel fantastic , close 79th St Subway within walk distance midtown . really recommend Upper West Side ! free tea coffee advertise 7am-11am , actually day evening . ok hotel nothing special , suitable short stay be stay week , would recommend spend money space . 
 Dec 20 2008 	 great location 	 come back 4 day stay hotel . hotel location excellent , minute walk near subway lot restaurant within walking distance . twin room clean bed comfortable . room small adequate , every amenity could wish , include iron board iron . bit disappoint arrival public area shabby , however room . would stay , mainly price , pay around £ 650 4 night twin room quite cheap New York . upon arrival put two separate room problem plumbing , 2 room front hotel noisy . however , twin room available next night ask put quiet room prove much well . 
 Dec 12 2008 	 would stay 	 book last minute business trip NYC multiple night stay . hotel availability . skepticle price - less $ 200 upper east side . photo look ok , plus desperate spend $ 400 night take shoot . pro - obviously cost . location , although value trip . obvious attempt update modernize . bathroom somewhat new instal haphazardly . towel new clean . bed linen smell clean also look new . lucky enough book large room room size fine . interaction staff fine . con : lobby hallway room run shabby looking . walk room thinking must bad room place . think leave charge three night stay . really complain . room back lobby desk . could every person enter , exit , laugh , mess around hour night . room also right 79th . 's busy lot car traffic hour . people walk feel like stand next . unfortunately con outweigh pro . hotel may work someone tight budget overlook thing someone willing complain thing not right unlike . 
 Dec 9 2008 	 City ! 	 nice simple Upper West Side place . yes eat , New York stop [ - ] ... Great Museums , restaurant pub place . $ 10 cab ride Time Square .. Felt like live city week ! use .. get 1 bed room private bath ! 
 Nov 25 2008 	 good location decent price 	 Overall , enjoy stay Park 79 , although one - night stay evaluate . location great plenty restaurant , subway , American Museum Natural History within 2 - 3 minute walk . location Upper West Side something make hotel attractive . hotel staff seem competent helpful . find price quite reasonable compare hotel area , reasonable price involve get room private bathroom . not find inconvenient one - night stay alone since room sink , share bathroom ( key small number room near ) clean large enough . reviewer note , room small ( clean ) , mine exception . bed , nightstand , tv another piece furniture , although would like chair something bed sit , sure chair would able fit ! ! imagine two people room would bit crowded , use room place sleep plan spend time explore NYC , probably workable . problem free wireless internet . room , could pick 10 different wireless network except hotel 's ! stand elevator outside room pick hotel 's signal , bit annoying . in sum , not mind slightly cramp quarter real amenity , really want reasonably price , clean , well - position hotel Upper West Side , would recommend . would stay , although readily travel someone else stay quite day . 
 Nov 18 2008 	 okay short visit 	 like everyone else , friend go NY try find decent place would not break budget . Park79 look charming well - locate , close Central Park Upper West Side . , ok , kind place would stay not New York ' real ' hotel room cost minimum $ 400 / night . good thing : helpful staff , clean fluffy towel ( towel linen smell bleachy ) , window open ( need - room warm ) , flat screen tv , free internet good connectivity , hot water , quiet . bad thing : small room , chair sit , small bathroom adequate , breakfast ( put coffee tea ) . bellboy keep luggage we locked room check , hail cab , give direction . provide good map send we great little neighbourhood restaurant breakfast ( shine Star Amsterdam Avenue 78 Street ) . bad ' budget ' ny . next time , though , will search around well bargain return Park 79 can not find one .... try get big room ! 
 Nov 9 2008 	 perhaps live NYC think Park 79 nice reasonably price ? 	 stay Park79 twice , times town business . room small , clean , comfortable bed . wall bit thin , NYC . find staff friendly helpful . beat upper west side location . expect luxury go find NYC $ 109 - $ 189 per night . look comfortable room great location , good deal . 
 Nov 4 2008 	 stay ! ! ! ! 	 husband adore upper west side usual hotel book find something else ' our neighborhood ' . park 79 good website tell we old townhouse recently totally redo favorite neighborhood -- corner 79th columbus could walk usual haunt .... cheap , -- $ 300 / per night w/o breakfast .... well , get - check give credit card immediately charge we full stay three night -- not sit well we go room -- room large closet .... kid ! ! ! bed comfortable new -- bathroom small step room open shower ; mirror high could use ; toilet low could get sit ( be elderly not bend well knee ) -- room one suitcase luggage rack , chair tosit ; room dark could see apply make - up -- well , think ' ve get picture -- take advise -- not stay park 79 ! ! ! 
 Oct 5 2008 	 find somewhere else 	 realise NY expensive however hotel poor . staff helpful , sign management focus customer care . room small bar window - upgrade ! breakfast facility coffee machine lobby prepare eat .... time ! low point staff attempt get unlicensed cab we quote double NYC rate ! back suggest find somewhere else . 
 Sep 26 2008 	 Decent 	 see mouse room two different night . staff nice helpful give discount unpleasant sighting . hotel fully book , could switch room spend two uncomfortable , sleepless night . location hotel great ... close park subway . decorate room nice ... & quot ; mouse experience & quot ; make wonder cleanliness . would stay . 
 Sep 17 2008 	 good location worth hassle 	 second stay Park 79 . first one lovely would rate average . often go NYC business pleasure ; always lookout bargain thought have find gem . true second stay . room small smell moldy . service great -- different employee time . parking garage use 4 block away . great deal trouble retrieve car validate rate hotel run validation sticker . blame garage 's delivering . told & quot ; show receipt . & quot ; garage employee rude would accept receipt . blame hotel pick sticker . hurry leave end pay full price -- double amount would ticket validate . case , return . reservation next month cancel . moderately price hotel upper west side well amenity , close parking efficient staff . 
 Sep 6 2008 	 fantastic value money 	 book trip around 6 month back , plenty research around web . I want somewhere not far action , quiet enough get decent night 's sleep , well good value money . Park 79 dissapoint , 's location excellent , close two local subway line . subway normally around 20 - 30 minute ride toward financial district . very close Central Park , Natural History Museum excellent bonus , well plenty Restaurants Deli shop nearby , make excellent area stay . I stay Hotel week commence Aug 29th , say give review read Trip Advisor , little uncertain would turn . Front house staff excellent , accomodate people need - good start . I stay room 603 , little small side , space well utilise , lay . term cleanliness excellent , clean towel change linen day . gripe window area slightly grubby , overly so . the room could expect , tv , Air Con , Wash Basin , Storage , Electronic Safe , Shared Shower Facilities . excellent , include within price room . also free internet access provide , problem log whole stay - rarity compare hotel . gripe internet , unsecured network , mean anything net , could potentially see people network . perhaps future recomendation would setup basic WEP , WPA access . share shower facility problem term cleanliness , availability , initially concerned could problem so . hot water usually take get go , tip would run hot tap till get , start shower . reverse , seem take even long get hot water ! Street Hotel , quiet safe area . little traffic noise apparent , not bad thought would give fact city . however noise room could heard , would attribute wooden floor hallway , tendancy echo . not unbearable definately noticeable , although ditract stay New York . lift other ' mention quite slow , use two occasion - Checking , Checking ! end stay happy look baggage check , ready leave airport . baggage tag number , put secure storage , free - Excellent , wish other would this . overall fantastic stay , fantastic city , thouroughly enjoy , would recoment friend familty without hesitation . tips ( basic thing bare mind NY ) : get grip subway , work arrive , save lot time headache . understand , be really simple use . put wallet front pocket . ( safety 's sake ) remove cash do not need , along main bank card etc . dont walk around city guidebook , map hang everywhere , likely attract unwanted attention . , pull map , need consult , duck doorway somewhere , pocket afterwards . ( look like city slicker , well ) intend see Statue Liberty , get ticket one day , turn Battery park 8 am next . queue straight onto ferry secuirty checkpoint . I highly recomend get NY City Pass , allow entry nearly attraction think bar Top Rock . finally flight back around 10 pm , head back aiport soon rather later . save lot stress , taxi back JFK take hour 4:30pm ! also bear mind 4 - 6pm lot taxi driver duty , rush hour run around city . mean find yellow cab take back could problem ( Managed get one , hail 4th one ) , however agree high price take , journey begin , otherwise refuse . ( may worthwhile book dedicated service back airport trip end , usually need phone within 24hrs departure time ) hope find information informative , useful ! 
 Sep 1 2008 	 really like ! 	 spend 3 night would definitely return ! ! ! beforehand , spend hour search compare budget hotel New York City . want Manhattan experience rather get cheap deal outside city , like New Jersey . Park 79 Hotel near Central Park seem nice 's price category , disappointed ! excellent location west Central Park , 2 3 block two subway , quiet , safe street . the room two single bed small , well lay . white bed linen appear clean . window face wall hear absolutely noise street room . the bathroom newly renovate . lot good quality white towel supply . bathroom plenty hot water . total bill come $ 654 canadian 3 night ( Monday Wednesday ) begin June 30th . lot money , happy spend Park 79 budget hotel not seem well locate , nice linen bathroom . book stay hotel 's website -- give good deal . I feel safe walk around part New York , include hotel area subway . little store directly across hotel delicious chicken sandwich $ 2.50 , stay open late . Joanne Vancouver , B.C . 
 Aug 8 2008 	 Lovely Little Place 	 book suite place group 5 , yes 5 ! get extra bed additional cost although could barely move around live area sofa bed extra bed fully deploy , still really love place ! although ensuite bathroom , many we use share toilet well come dress morning never problem . location can not beat . near subway , Central Park , attraction even walk around midnight without feel slight bit fear . staff really nice accommodating would surely stay next time ' m NYC ! 's fabulous city ! 
 Jul 30 2008 	 Park 79 - Great bargain 	 find Park 79 hotel great bargain . excellent location - close Museum Natural History , Central Park subway station . 's situate beautiful neighborhood . feel safe walking around night . room share bathroom . spend one night , never see another soul floor whole place . use key bathroom . bring towel . room 401 face 79th street never hear loud street noise - fact almost overslept ! room small , typical NYC hotel . air conditioner work perfectly . loved duvet cover instead bed spread . room clean . bathroom immaculate . free coffee downstairs . would totally recommend hotel short stay . there be great breakfast spot block away Columbus ave . near 72 73 street . 
 Jul 28 2008 	 Great Expectations ! 	 find hotel perfectly adequate . I often wonder read review stay place . our room clean livestock whatsoever . the towel replace daily fact often energy saving time . the air con bit noisy welcome heat humidity . the lift speedy slow one experience Boston . the hotel ideally situate subway line blue red . Amsterdam Ave . great place eat lot choice . I would recommend hotel want double go mid - size . expectation funny thing 
