ask 	 first positive ... short walk Grand Central Station . upon enter 70 Park Avenue not get & quot ; Kimpton & quot ; scent Kimptons ( sorry think Kimpton propertie distinct fresh scent ) . lobby check - in area cramp feel claustophobic . dog lover purposesly stay Kimptons pet friendly , find odd ask front desk person dog not know ask front door man ? check request fish bring room . six hour later , still fish , place phone call transfer manager 's voicemail , politely leave message request fish would like one bring room Wednesday . upon check - out Friday never see fin friend Room 709 , way would never stay . room locate right near elevator door use constantly housekeep staff open close make sound someone knock door . apparently hotel housekeeping closet storage . whole three day line hall right outside room various cart towel , etc . television room serious malfunction . set temperature room 65 , consistent 75 ? ? never use room service think breakfast average $ 24 worth . silverleaf lounge offer customary Kimpton Happy Hour $ 5 drink 5 - 7 p.m. nightly . tell live music lounge , not hear not start time advertize . love Kimpton hotel , definitely stay one one NYC next time . 
 Aug 9 2009 	 be not free parking would try something else 	 first night check room 2nd floor could hear loud hum come outside window could not look cover plastic privacy paper . a / c unit hotel next door . call desk say completely book could not move we tomm . next day move we small room gap bottom door loud hall . lie bed could hear every conversation go . clean , good location subway use , took forever get car valet . friend recommend hotel stay week early love quiet may hit miss . concierge good friendly , front desk staff . 
 Aug 3 2009 	 Great Place Stay 	 stay 70 Park Ave . hotel 4 night . staff throughout hotel friendly , responsive need . make trip memorable one . room clean , well care easy access . evening wine social extremely nice good day work lot walk . great wat unwind . would highly recommend hotel anyone stay NYC want 4 - 5 star hotel rate 4.0 well 5 survey response . thank 70 Park Ave Hotel staff great stay ! 
 Aug 2 2009 	 another Nice Stay 	 stay year ago like much . last two trip New York , room price range , able get wonderful rate on - line promotion , happy back four night last week . staff accommodate ( special thank José front desk extend stay two night rate ) . room , though large , everything could ask ( except bit much noise loud generator motor something outside window ) . staff friendly professional little thing many hotel seem overlook ( concierge actually know area , wake - up call deliver on - time , wireless internet work , send file laptop room front desk print deliver room right away , etc ... ) wireless internet free join Kimpton in - Touch program . in - touch member also get & quot ; raid mini - bar & quot ; coupon . nice extra touch room like posh robe large umbrella use stay . hotel feel clean . lobby pleasant . also appreciate Kimpton 's eco - friendly policy choose Kimpton hotel reason alone affordable . 
 Jul 28 2009 	 nice little midtown treasure 	 go NYC month brief business trip . feel comfortable navigate city not really care Manhattan stay term location want get good price 4 5 star hotel . go clean safe easy find NYC anything 4 star rate hotel . I choose hotel promotional code Kimpton price $ 200 night . small little place . go atmosphere lobby great street , really right thing . room clean luxurious . bed comfortable . room huge flat screen television . room 7th floor face Park Avenue actually quite noisy . , great , clean , nice place stay . staff friendly . location great , couple block street Grand Central . would definitely stay . 
 Jul 22 2009 	 Excellent hotel - great stay ! 	 stay 70 park avenue find hotel fantastic location lovely staff lot nice little touch . first time US hotel certainly make we feel welcome . wine reception evening lovely greatly appreciate day busy city . location great sightseeing bus route subway station minute walk away - hardly use though weather nice walk almost everywhere . great place stay would visit . 
 Jul 20 2009 	 Nice hotel great staff 	 stay several Kimpton property , enjoy one . one exception . take daughter see show , enjoy NYC birthday weekend . absolutely small Kimpton hotel room stay , NYC , well - above average room . upgrade king sized room . price pay ( Manhattan ! ) , value absolutely beat . the staff commendable , especially & quot ; do - everything & quot ; doorman Santiago . impressed service -- actually see run end block help family get cab carry bag back hotel . help we restaurant recommendation direction several time . reservation room rate wrong , promptly fix front desk without slight fuss . since room ready , allow check check - in time , , fuss there . the location great want 15 minute walk bustle Times Square , not want crowd hectic nature place . be also 4 block Grand Central , less 10 minute walk Empire State Building ( could clearly see room window , add bonus ) . quick bite morning ( delis bagel , McDonald 's , etc . ) within 2 block . nice things:1 ) soooo comfortable bed2 ) nice flat panel TV3 ) Wine reception4 ) computer concierge table guest use.5 ) prompt fast housekeeping ( room fully service lunchtime ) couple disappointment , minor1 ) bathroom tiny quite stylish.2 ) window need well soundproofing3 ) Room service must get ice ( even ice bucket room ) .4 ) lack much child 's programming tv ( Nick Disney ! ! ! yike ) . might matter depend situation . not room much , big deal.5 ) Room service menu price beyond comprehension ( be ok , never order anyway ) 
 Jul 17 2009 	 great hotel - location service cleanliness 	 five we stay 70 Park Ave recently disappoint hotel anyway . two we share one large King room lot space small one . , plan stay hotel long period time , recommend large room . concierge helpful lunch recommendation , staff courteuous , bartender deliver awesome cocktail . 
 Jul 13 2009 	 great gem right street Grand Central 	 Stayed friend weekend trip NYC catch show nightlife . ' ve stay lot different hotel city hotel choice . can not beat location , lobby beautiful , staff friendly ( make sure sign Kimpton InTouch program already member- get free snack stuff . ) wine reception cool , tv tech gadgetry date top notch , beauty product provide bathroom high quality . love place . represent excellent value . go back aug 1 another broadway weekend excursion hope trip lovely . 
 Jul 13 2009 	 perfect Anniversary Weekend 70 Park Ave . 	 husband & amp ; decide trip NYC w/o kid anniversary . scour many different hotel site narrow 2 70 Park deal could not refuse . location : central midtown easy cab subway ride east village / nolita & amp ; low east side . find extremely safe mellow area weekend . come Grand Central 3 short block stroll cab necessary . lobby : Small nicely furnish & amp ; boutique - y . Bellman friendly computer concierge could use . iced lemon water , apple New York Times available guest . Wine Reception : pleasant event . every evening wine reception hold - summer delicious white sangria & amp ; another cabernet sauvignon choose . nice way kick evening heading dinner . ( bar also seriously good happy hour $ 5.00 cocktail discount nibble post - wine reception ) room : reserve King Premier room graciously upgrade . great view , bathroom GORGEOUS jacuzzi tub separate tiled shower stall . absolutely issues street noise face Park Ave . bed good well Westin Heavenly Bed bed W. Tons pillow love . bath amenity plentiful many nice touch like evening turn - down , pillow chocolate plush robe . room small par typical NYC hotel . huge HD tv too . staff : everyone encounter helpful & amp ; friendly many wish we happy anniversary . summary : love return - location perfect we enjoy personal yet upscale feel Klimpton property . note : Halls public area well light solo female business traveler would feel safe . 
 Jul 1 2009 	 70 Park Ave Hotel- Beautiful Hotel Incredible Service 	 always stay 70 Park Ave Hotel travel NY business ( reason ) . hotel immaculate , location fantastic , service impeccable staff take care every need . always feel comfortable and- importantly- home come . hotel care every guest every detail . refreshing change Hyatt , Marriott , Westin chain . 
 Jun 26 2009 	 great location unfriendly staff poor plumbing . 	 $ 60 per night parking in / out privilege . $ 300 per night room , good could find Manhattan , seem like nice place . lobby stained carpet apple bowl rotten spot ... attractive first walk . although old building , room furnishing nice . nice linen . however , plumbing need update . drain tub not work , took forever send someone fix , not part , substitute something else . low water pressure . never anything it . staff , include manager , friendly . since plumbing never get fix entire 3 day , reluctanly take one day parking , almost beg . try charge we extra day parking , anyway , manager convince have give we 2 free day . try explain not 3 full day , yet want charge we 4 day . great location . see front Grand Central Station walk hotel look leave . 
 Jun 22 2009 	 need update ... badly . 	 return 2 - night stay boyfriend somewhat disappointed hotel . lobby nice ... free wine evening great touch staff hospitable , actual room desperately need re - vamp . room seem dingy dark be even close six foot tall , good luck trying use toilet .... sit leg side ! shower pressure great , literally perform acrobatic toilet get shower . also , wall seem paper thin window need double glazing - hear every taxi horn street . ' ve stay many NYC hotel level soundproof window least . complaint trolley full towel use laundry leave hallway near room .... small detail , surely , not help overall asthetic . all , not think would stay hotel price range offer money . 
 Jun 19 2009 	 Recommendable Hotel 	 really expect much hotel . it´s recommendable . it great location full service businessman . try take book advance take good available rate . the room cozy price average time book . overall experience ok . 
 Jun 17 2009 	 Fantastic ! ! 	 recently return four night stay 70 Park Avenue , wonderful stay . staff friendly nothing much trouble . room beautifully decorate , bed dream sleep . amazing view Empire State Building bedroom window . Hotel conveniently locate quiet area , within easy walk distance Fifth Ave , Broadway two block Grand Central Station make really easy we get around . the Wine Tasting , every evening 5 - 6pm good idea attach bar happy hour 5 - 7pm . starbuck one block away open 6 am , great early morning , Scottys Diner 39th Lexington wonderful breakfast . overall fantastic stay return soon ! 
 Jun 9 2009 	 love hotel . 	 comfortable plush without stuffy . lovely spacious room pleasure come back evening . nice , helpful staff . N.Y Times wait we outside room every morning . and perhaps good location Manhattan explore uptown downtown . 
 May 31 2009 	 wonderful find 	 book 70 Park Avenue , want away rush Times Square . e - mail Hotel advance trip wife 's retirement school . land New York 11 am Hotel Midday . reception although huge welcoming . receptionist greet we Melissa . lovely , welcome make we feel ease immediately throughout stay . we book King Premier room . surprised delighted tell upgrade suite 17th ( top ) floor . ( want bit luxury , worth ) . despite early arrival room ready we . the room big large bathroom jacuzzi bath . good , balcony two side . one overlook Park Ave towards Grand Central Station side Empire State Building ( WOW ) . throughout stay 4 night make feel welcome . Melissa never forget name much personal large hotel City . Manager also take time , ask view room , show we . we time attend wine evening , see well attend . we go Top Rock first time , brilliant , real queue well Empire State Building . all , great time NYC stay lovely Hotel , away Times Sq really nice . Grand Central 5 min walk Times Sq 1 stop Metro . would stay 70 Park Avenue ? - without question 
 May 29 2009 	 great stay fantastic city ! 	 return first visit NYC hotel fantastic part superb holiday . book Expedia get great deal include flight . the hotel perfect location - minute walk form Grand Central right heart famous NY sight - Empire State building Chrysler building . perfect close everything travel far visit sight . when arrive hotel , unfortunately room book available we . however , hotel everything could help we - put we temporary room 17th floor amazing view give we complimentary breakfast voucher mini bar raid voucher . room fine shower sleep long day travel UK . follow day move we king deluxe room 15th floor amazing . extremely clean , lot space - lovely seat area look city street Grand Central , amazing bathroom plenty mirror gorgeous product replenish regularly , large plasma tv , massive comfy bed , quiet air conditioning , cosy dress gown , free wi - fi . great room stay long day sightseeing . all staff hotel extremely helpful happy provide item need - request hair straightner get 5 min later . concierge helpful printing boarding pass available need anything . bell boy friendly help . the wine reception , hold lobby every evening 5 til 6 , great add touch well deserve shopping / sightseeing . attach bar happy hour 5 til 7 tasty cosmos cocktail resonable price . all great stay fantastic city ! 
 May 22 2009 	 cute hotel ! 	 stay NYC date 5/11 - 5/14 business trip . choose 70 Park Avenue due location decor . overall pleased , impression get well well throughout week . break review different category : hotel : lobby nicely decorate inside , although think spot elevator restaurant cramp . never able take advantage wine cheese reception end 6 timing never right . RESTAURANT / BAR : woman supervisor morning breakfast awesome ! accomodate always go way make sure everything need . bar , evening bar tender ( girl short brown hair ) GREAT ! nice talking dine solo bar . BELL STAFF : guy amazing ! always open door always grab cab . ROOMS : nicely decorate . small , okay wastraveling alone . view , would ' ve love . major complaint room dim . overall , great stay would definently stay . hotel great location business relax romantic weekend . look party atmosphere , might choose different neighborhood , Murray Hill quiet night . 
 May 17 2009 	 modern clean convenient 	 great hotel heart Manhattan . room cozy modern hotel bar wonderful . v. close Grand Central . 
 may 11 2009 	 Great Value Mid - Town 	 husband take NY City Mothers Day fabulous time . stay Kimpton 70 Park Avenue . Kimpton Hotels rapidly become favorite choice city hotel . join Touch , loyalty program we free WiFI , $ 15 raid minibar voucher , wonderful concierge service . take train Wadhington also offer significant Ride Rails discount - 20 % good rate arrive city Train , pay $ 149 nice room 16th floor . beat heart Manhattan . free coffee morning wine reception evening , plush bathrobe , Occitaine amenity pet - friendly yes bathroom incredibly small . exchange get lot usable space bedroom include good size desk , entry way , two chair , lot electrical outlet , flat screen tv , great stereo system , room walk around . recommend hotel highly . 
 May 6 2009 	 new favorite hotel 	 little worried read poor review : hotel . happy report 70 Park Ave . awesome . staff helpful friendly . room ( although huge - expect - 's NYC ) clean comfortable . light little low , fine . view brick building , not mind not street noise worry . bed comfortable . LOVED location . mostly residential neighborhood , 2 block Grand Central Station make get anywhere breeze . become hotel choice NYC - plan another trip fall definately stay 70 Park Ave . 
 Apr 24 2009 	 unexpected gem step Grand Central 	 find incredible deal Travelzoo book even though not know much . much relief , experience mirror well review wonderful stay . first , follow advice reviewer sign Kimpton reward program . get free wifi , $ 15 mini - bar credit even room upgrade . ( January , doubt high season . ) get corner room worry noise street like other mention not notice . notice room beautiful ! seriously , hotel room look alike , room character . beautiful understated element , huge bed cozy bedding . tv 's odd angle work . the bathroom quite nice one strange feature : toilet put almost flush wall . , almost sit angle . know space tight NY 's little ridiculous . pretty great bathroom good amenity L'Occitaine . bonus : deliver Sunday NY Times door . fabulous ! not spend time lobby area , much small expect , seem computer set people use . front desk staff helpful check , return later evening get unhappy glance rather hello . kind strange . as location , be 4 short block Grand central bus JFK right . could not well situate , really , since be close transportation yet touristy , crowded area . 
 Apr 23 2009 	 ok nothing special . 	 stay 70 Park Avenue 5 day April 2009 . choose hotel base price close Easter period hotel price seem spiral upwards . good - whole stay 70 Park Avenue fine . room ok sized New York broadly speak could not fault cleanliness . staff occasion encounter , helpful friendly . room shower seem quite new . great flat screen tv well dvd player . ipod docking station provide . New York Times deliver every day . concierge help we book restaurant dinner even Pizza delivery menus rainy day . Free Wifi room choose option become Kimpton Member - basically sign newsletter free get free internet access . otherwise $ 11 day wifi room . good . room poorly light several light fixture not work . room 6th floor view concrete wall . bathroom window little ventilation . no shower gel toothpaste provide housekeeping stingy L'Occitane bathroom product . not leave enough shampoo moisturiser two not always replace thing . overall 70 Park Avenue ok can not really call boutique hotel . ' ve stay NYC many time many different location compare stay Lower East Side Greenwich Village , neighbourhood far quiet without enough buzz evening . Time Square close ' ve New York already do touristy stuff hotel not great location . hotel pretty good value money ( since NYC expensive ) room clean really good condition prepare take subway cab downtown nightlife . 
 Apr 19 2009 	 ' ve back already - lovely affordable boutique hotel great location 	 stay first trip New York three year ago love - find friend get marry New York know would go back , take friend we . the location perfect - couple block walk Grand Central Station , main shopping street - 's central walk pretty much everywhere whole trip . the staff helpful 's great funky relaxed vibe hotel - smell amazing moment walk door ! room not huge well do facility - New York price ideal . little touch fab - tray goody ( pay much well average mini - bar snack , lot New York book help make time . will even print boarding pass complete short form , be complimentary wine reception new arrival every evening . apart usual attraction - couple other really enjoy - Campbell Apartment inside Grand Central Station not cheap great vibe worth visit drink . food Michael Jordan 's restaurant - also station - surprisingly good , not miss Junior 's cheesecake . one absolute favourite Cafe Wha ? Greenwich Village - fantastic night liike live music , book ahead be group check website first see 's thing - good night New York far . 
