absolutely 	 hotel recently renovate beautifully do . locate Upper West Side across street Fairway market one great grocery store . hotel room come complete kitchen . really enjoy stay . 
 great place stay do not wan na slap bang city centre .... 	 stay hotel two week .. turn great location holiday .. subway use time ideal we .... staff helpful pleasent ... even meet fellow thin lizzy fan reception good oman ! ha .... lovely view hotel room nite .... clean .. quiet .. ( except jerk decide start play trumpet early hour sunday morning .. phone reception nobody arrive .. small gripe though ) ... laundry room bonus ... great wee cafe rite beside hotel .. close central park john lennon old place bonus ! do not wan na locate heart city .. would welcome quieter area nite .. would highly recommend hotel .. 
 great hotel certaintly live expectation 	 arrive Hotel Beacon sense expectation would hotel cut rest disappoint . stay 8 night lucky enough upgrade one bedroom suite - roomy well appoint need . service great find staff professional helpful everything need include little thing make difference . upper West Side neighbourhood wonderful hard day pound NY pavement load great restaurant within easy walk distance fabulous delis , supermarket bottle shop across street . 
 Oct 28 2009 	 well - locate hotel 	 Beacon - Hotel well locate Broadway , NY nearby metrostation , Central Park , restaurant shop . the room accomodate well luxurious bed , closet ( iron ironing board ) , small kitchen small bathroom , clean . problem light room fix right away . we really love hotel whole stay ! 
 Oct 26 2009 	 Quiet Space Vibrant New York 	 family spend 5 night Beacon October 8 - 13 , 3rd stay since 2004 . room lobby old style hotel renovate another bonus welcome gem Upper West Side . always request high floor 1 bedroom suite overlook Broadway , room generally quieter nice aspect beautiful Ansonia Building across road activity New York . this time give room 8th floor , low ever . surprisingly , room quiet , night literally could hear pin drop carpet . 2 double bed pullout sofa . pullout thin uncomfortable mattress adequate small child . kitchenette compact handy full - size fridge great . below 7th floor roomy laundry , front loader , dryer , snack detergent vending machine . load $ 2 change available front desk .. beacon brief stroll 72nd subway , reach Times Square minute . it close restaurant , opposite enormous 24 hour Fairway Market ( grocery , expansive deli , ready heat meal ) 10 minute walk Central Park . safe , friendly neighbourhood place would highly recommend . pay $ 295 / night ( plus tax ) spacious self - contain apartment NYC - could ask ? ! look forward return . thank , Hotel Beacon . 
 Oct 25 2009 	 Definately recommend ! absolutely love . 	 stay beacon hotel 3 day April . room stay great . newly renovate top floor great view straight central park could even see north south city well . everything need even grocery store gourmet deli across road well bottle shop downstairs . staff really friendly helpful whenever need . 5min walk central park subway . perfect location . definately go back family come back new york christmas next year ! 
 Oct 21 2009 	 Good Hotel Good Price Good Neighborhood 	 family stay Beacon many time since discover 15 year ago . be nice neighborhood ( Broadway 74th ) . 's subway stop almost door , dozen good restaurant shop within walking distance . staff consistently outstanding . hotel sometimes show age little wear tear room . , be always clean never less acceptable . price creep year , be still good deal . almost always get 1 - bedroom suite , be usually less $ 250 . unless insist top line elegance , can not go wrong place . cost cut tip town traveler car : plenty safe , free residential neighborhood parking within block hotel , ' pay garage . cruise neighborhood 71st 78th Central Park West Riverside watch sign parking day . ' never fail find spot invest 15 20 minute , ' never trouble leave car street . 
 Oct 17 2009 	 Fantastic - exactly expect 	 Beacon sensational place stay . location superb proximity subway make get around NYC breeze ! hotel clean furnishing good quality working . wife 10 month old stay King suite level 7 , spacious exaclty like web ( nasty surprise like ' ve previously ) . kitchenette small functional , limited range utensil , make work . lovely stroll Central Park . Heaps restaurant / diner option deli across road great variety choose night breakfast etc . back ! 
 Oct 16 2009 	 second time 	 beacon beautiful hotel locate REAL NYC . 2 block sub way block natural history museum central park . second time ' ve stay . love first time round complaint . however time round room back hotel huge vent run along side room near window , loud word . move we next morning say also upgrade suit minute arrive couple travel . room clean spacious . bathroom little dark . possibly bite pricey u get location fantastic . part staff nice . new york get real joy tip . 
 Oct 15 2009 	 surprisingly convenient 	 show adjacent Beacon Theatre , great location . walk distance Central Park many attraction , several convenient parking location right next hotel . market across street liquor store next door anything could need too . the staff helpful attentive , room surprisingly large NYC , exception faulty remote control tv living room suite , everything work fine . somewhat pricey , ny . 
 Oct 13 2009 	 buggy 	 Fine . lot little bug come night . little , mainly bathroom . bedroom . check shower break -- fixture not attach go fly turn nob . although maintenance less 5 minute speedily fix problem . maintenance great shower not break first place . bug , fine . little black bug ? ? ? 
 Oct 8 2009 	 good hotel prime location 	 stay 5 night September / October 2009 two child , age 5 8 . previous reviewer note , hotel clean , shower great , staff helpful friendly , hotel GREAT location upper west side . australian reviewer obviously room 810 , fold bed lumpy uncomfortable bed could . luckily kid exhausted night , not care . also , care , hear musician beacon theatre practice warming -- not bother we . would definitely stay recommend other . 
 Oct 8 2009 	 great hotel fantastic location ! 	 husband return week stay Beacon . stay level 20 overlook Amsterdam Ave . room good size comfy bed huge tv . kitchenette fridge stove microwave handy . remember open window cook else smoke alarm go . many great restaurant bar around favourite Cottage chinese restaurant ( Amsterdam Ave bet 77 & amp ; 78th st ) . also 2 computer internet available room Lobby . laundry room washer dryer level 7 phone level 2 . across road Fairway huge grocery store everything available . another great grocery store Westside Market near 77th st . Subway 72nd st short walk Central Park . hotel great value upper west neighbourhood excellent . staff friendly helpful . would definately stay . 
 Oct 8 2009 	 Roomy comfortable clean - far Central Park 	 Thanks Cameron Dial - A - flight pay bit plan ( £ 699 five night ) get spacious quiet room , kitchenette basic equipment extremely comfortable bed . Hotel Broadway quiet , pleasant neigbourhood 3 minute subway , ten minute Central Park . concierge helpful advice vist transport . big food store deli opposite could save lot money eat , one night . good meal try Josie 's , one block away . 
 Oct 5 2009 	 Perfect location real new york experience 	 16 year old son return fantastic 3 week stay US 1 week Beacon Hotel . absolutely love everything hotel , friendly helpful staff , top location great room . one bedroom suite son sleep comfy foldout couch lounge room . flat screen TV 's 90 channel choose ! kitchen fantastic cook night eat every breakfast room . much cheap healthy food choice way well . Central Park 3 block away ride bike walk . supermarket gourmet food store road brilliant absolutely everything . wine shop corner New York door step ... bliss ! either take cab ( less $ 10 get Times Square area ) walk take subway get . felt completely safe time . make sure visit Frick Museum , hear gospel singer Harlem take trip twin tower Downtown area . also take walk across Brooklyn Bridge , view amazing . love New York return stay wonderful homely comfortable hotel . Kerry Sam Melbourne , Australia 
 Oct 1 2009 	 Good Hotel great location 	 good hotel 5 minute metro ride Times Square . restaurant room kitchenette fridge , cooker microwave . supermarket opposite totally incredible worth visit even not want buy ! downside seem people live would go early every morning bang door , wake we poor sleeping tourist , would still stay whenever New York . 
 Sep 27 2009 	 absolutely perfect every way 	 thrilled stay come back two time . lovely hotel boutique flavor , friendly staff 5 star accomodation . favorite guy front desk Henry draw we map point we right direction sight NY . view room ( floor 20 25 ) well include Central Park . museum restaurant within walking distance . subway 72 block away Fairmont across street awesome supplying kitchen . well deal NY - oh , look ! ! Believe Trip Advisor one enjoy upper west side visit NY . Greenflea . Central Park , Ocean Grill , Fatty Crab , famous Shake Shack good museum walk away . thank Henry superb care care service . back ! 
 Sep 20 2009 	 Hotel Beacon fantastic ! 	 adult daughter stay four night Hotel Beacon upper west side Manahattan Sept. 2009 . can not say enough courtesy , professionalism , attentiveness staff . everyone encounter , young man greet we curb arrival , front desk attendant , concierge , housekeeping staff -- everyone friendly , helpful , plain nice . ' ve NYC ( daughter stay Beacon several year ago particularly impressed total renovation ) , ' ve always wonderful experience . Beacon standout great staff terrific location . really enjoy staying & quot ; neighborhood & quot ; ( upper west side ) instead & quot ; tourist & quot ; area . fun walk around find little coffee shop , watch regular people go daily life . easy hop subway get wherever want go minute . , be couple block Central Park ! ! could well ? beacon especially good family b / c room quite spacious ( NYC standard ) kitchenette . daughter enjoy kitchenette well , morning coffee late night dessert . , great place stay NYC -- price can not beat . P.S . ton great restaurant area . although hotel restaurant , cafe next door -- viand , think name -- friendly , good food , reasonable . great breakfast family . 
 Sep 17 2009 	 upper west side classic 	 would normally give hotel five star edge another New York stay August . Beacon get near top list anyone want stay Upper West Side . close many great attraction , Fairway across road perfect get room like kitchenette . roomy perfect family , excellent staff . 
 Sep 17 2009 	 great hotel Manhattan 's Upper West Side 	 ' ve stay Beacon three occasion , will keep come back . large , spacious , well maintain room kitchenette - great price . location perfect - thirty minute walk Times Square , near restaurant , shopping theatre . 
 Sep 17 2009 	 back May 	 2 bedroom Suite Beacon September 4th 14th say wow ! firstly price fantastic , much cheap equivalent less quality hotel citycheck - in breeze , way room 906 less 5 minutesthe room huge , 2 bedroom ( 2 double 1 king ) , 2 bathroom ( 1 1 without bathtub ) , living room area pull sofa bed ( actually fairly comfortable ) full kitchenAt night little outside noise mean good night sleep possible ( rare New York know ) problem room ( couple tiny one ) sort almost instantly maid leave room spotless everydayWe already decide cancel plan trip Australia next year return New York ( 7th time ) definitely stayin Beacon againIn fact stop short booking leftIn summary , great hotel , great staff , ( really ) great locationmany thank see MayMatthew 
 Sep 16 2009 	 great value superb neighbourhood 	 stay standard room - large New York , basic kitchenette small functional bathroom . room well maintain , offer lot storage space , good air con , lot natural light . modern , comfortable furnishing . huge really comfy king plus bed . good light , desk , bedside table . Kitchenette two , slow heat ring traditional hob kettle - take 25 minute heat ehough water cup tea - good ! electric kettle would made thing almost perfect ! microwave , toaster basic kitchen dining equipment [ although available request ] . full sized effective fridge small kitchen sink . bathroom small bath low shower - anyone limited mobility would issue get in / out bath . plenty good quality fresh towel ; although full bath sheet would nice . shower powerful effective . large closet safe large enough small laptop . not tv state art huge . the neighbourhood great - local feel , safe m104 bus get downtown quickly - $ 27 metro card cover public transport week - BARGAIN ! diner next door excellent basic meal , superb [ huge ] breakfast deal , good value dinner . lot dining option within easy walk casual top end . great range day day shop - supermarket road wonderful ! staff helpful responsive - late check problem . main negative internet access wi fi charge daily , discount long flexible time block plan . good connection $ 9.95 day steep add week - would prefer purchase 10 20 hour use require . overall though hotel offer excellent value ' m New York doubt will stay - tiny room busy , noisy mid town location could easily cost double . really feel part city away main tourist trail . 
 Sep 11 2009 	 great hotel real value money 	 stay 4 night , wonderful hotel really comfortable . kept good order , roomy , excellent service staff . quiet location 30mins walk Times Square , feel like walk . fabulous restaurant next door huge choice dish 's menu supermarket across road buy food take back cook room wish . great hotel really enjoy stay would use . 
 Sep 8 2009 	 Great Choice Family 	 return long weekend New York kid ( 8 12 ) . stay 2 bedroom suite Hotel Beacon . experience similar positive review . suite bedroom king bed , second bedroom two queen - perfect fit family comfortable . 2 bathroom ( small nice ) short hall bedroom living room adjoin kitchenette . suite quiet virtually street noise unless open window ( nice option ) . suite , Plaza , pleasant ( 3 flat screen tv ) complaint . location everyone remark terrific . Fairway across street , Starbucks corner , close subway , Central Park Natural History Museum ; easy grab cab . loved neighborhood stay . book . 
 Sep 6 2009 	 comfortable 	 one - bedroom suite five night New York . internet rate $ 255 / night numerous taxis bring $ 300 / night . room locate 23rd floor good view toward Hudson River . room clean well maintain , decor pleasant , bed comfortable . bath small modern shower excellent . living area include sofa , easy chair , small table perfect breakfast morning . Beacon well locate get around city , five - minute walk 72nd St. subway . excellent market , Fairway , across street ; Zabar 's , purchase sturgeon one breakfast , five block uptown . toaster thoughtfully accommodate bagel . although coffee maker kitchenette , choose buy coffee day adjacent Viand Café . also discover excellent little bakery , Levain , 74th Street Amsterdam Columbus . lot restaurant immediate area . overall , comfortable stay . 
 Aug 30 2009 	 great hotel good location friendly staff 	 stay hotel four night , good value New York , would definitely stay - fact booking next year . already recommend other 
 Aug 20 2009 	 superb location fantastic room 	 stay Beacon 7 night impress appearance cleanliness hotel . one bedroomed apartment beautifully decorate spacious find kitchenette , two tv safety deposit box wardrobe useful . location superb Central Park close well supermarket , shop , cafe , bank subway short taxi ride Times Square . would highly recommend hotel . 
 Aug 17 2009 	 love room location . 	 hotel block subway Central Park . Amsterdam street next block fill great shopping restaurant . room small kitchenette across street amazing grocery store option eat meal room save money . staff helpful friendly room clean attractive . the thing note crowded number tour group . 
 Aug 17 2009 	 live hotel one close home get ! 	 opt one bedroom suite , travel living idea cooking , full refrig fantastic . nearby shop across Street Broadway well , love idea hotel thick NY ' local neighborhood ... Time Square property normally use , transient traffic feel easeaomg whole buch ' local ' . eatery important , plenty good choice . NY hotel room traditionally small size , find one - bedroom ample spread , could work living area , mess bedroom . location top ; get MetroPass simply hop get everywhre anywhere , hour . highly recommend venue ; Linens , ammenitie staff exceptional price fair Manhattan ; ' ve pay twice much , get anywhere near room , value ... will go back , thank . 
 Aug 15 2009 	 glad choose Beacon 	 stay Times Square hotel previous visit N.Y.C , location overall ambience Beacon , opinion , far superior . couple minute walk subway , across road fantastic market / store , numerous restaurant , bar shop nearby right middle upper west side , & quot ; real people & quot ; neighbourhood Manhattan . light year away overly touristy area , wonderful start year 's american adventure . staff pleasant helpful , restaurant / diner attach fairly price serve good food . suite well equip keep spotlessly clean . slight downside air conditioning really struggle make impression hot spell weather . would hesitation stay / re - visit Manhattan would recommend friend look somewhere stay . 
 Aug 15 2009 	 Exceptional 	 hotel refurbish last couple year fantasic ( use bit shabby , remind ghostbuster ) . stay 4 night suite superb . decor furnishing high standard , bedroom two double bed flat screen tv 1000 channel , seperate living room double sofa bed another flat screen tv . large well appoint shower room small kitchenette fridge , tea / coffee make facility cooking hob . located 75th + Broadway find hotel locate perfectly , catch subway 2 minute walk away stroll Broadway Times square take half hour . across road hotel FAIRWAY excellent minimarket / deli next door diner amazing breakfast . I would definately stay Hotel Beacon . 
 Aug 14 2009 	 Great Hotel great location ! 	 sister stay Beacon 4 night happy . bed comfortable . everything quite clean . small kitchenette stove , sink , coffee maker , kettle , toaster fridge breakfast room . smoke alarm sensitive go kettle even boil yet . staff responsive , request . subway couple block away safe day night . feel safe whole time NYC . place never close people around always ! great little boutique around corner 72nd street toward Central Park call & quot ; Broadway & quot ; . great clothe great sale people ! great visit ! 
 Aug 12 2009 	 Comfortable picture 	 spend seven night hotel granddaughter . check - in prompt courteous way room within minute . unfortunately , disappointed size area sofa bed locate , adjoin tiny kitchenette ( sofa bed open , could get window ) . sofa bed comfort , uncomfortable granddaughter , follow morning , upon leave day , manager notify , additional mattress pad place bed increase comfort considerably . closet room . one enormous , lots hanger . bathroom small , minimal shelf space exhaust fan , thus , become steamy showering . plus side , shower pressure outstanding . towel thick fluffy , ask day additional towel , help cart . noise adjoining room , major issue . overall , staff could nicer . location hotel terrific - near subway bus . the Fairway Market , across street , advertise . not , not exist . matter fact , dinner twice upstairs restaurant - service food excellent . let we say word , poster indicate , restaurant mention several time , & quot ; La Vela & quot ; , 373 Amsterdam Ave ( 75th 76th St. ) . dine twice . food pretentious terrific , service excellent wine reasonable price , food . we also eat Fusha , around corner hotel Amsterdam Ave ( 75th St. ) . asian fusion , inexpensive , excellent , , staff good friendly . we recommend get Metro Pass time city . desk hotel daily pass , long , purchase long pass subway station . subway bus air - condition surprisingly clean run often . never take taxi . 
 Aug 5 2009 	 another great stay 	 stay queen one bedroom suite 25th floor . staff nice- check breeze . suite consist separate bedroom living room . bed comfortable . room face west side much quieter room before- think lot less traffic Thanksgiving stay last time . trouble tv front room , call front desk someone come promptly , push button work tv . hotel close subway grocery store right across street . negative air conditioner living room . sign control say would cut left room . however , would turn room move around . get every 10 minute would continue run . bedroom unit sign problem . since not room lot day not bother we much . overall great stay- back November Thanksgiving . 
 Aug 4 2009 	 good hotel small family 	 stay Beacon ( wife , two child 3 & amp ; 10 year , ) 3night 4 day . one bedroom Suite King perfect . take meal room , good way save $ $ $ kitchen room everything need cook . supermarket front hotel ok . clean everyday , service excellent . location hotel perfect . negative , size bathroom pool . also , price internet access high ( 10 $ 24h ) will get next time sure . 
 Aug 4 2009 	 great 	 great hotel , friendly staff great location , clean tidy , would recomend anyone want good hotel reasonable rate 
 Aug 3 2009 	 even well 	 stay Beacon last summer renovation underway . complete room really wonderful . stay King Suite two flat screen tv , marble bath , great kitchenette quiet . find staff helpful well . stay come New York ! 
 Jul 30 2009 	 great location nice hotel 	 1 bedroom suite living room . NYC price great , micrwave plate , refrigerator . bed quite comfortable . living room area quite large . fairway right across street - super convenivent . mention front desk toothpaste disappear airport - amenity kit . good experience - great price really Manhattan . think pay like $ 205 plus tax . 
 Jul 28 2009 	 GREAT experience ! 	 NY NYC Triathlon bike race gear . check gentleman polite welcoming , handed key say , think room accommodate stuff . book Queen Studio get upstairs realize upgrade we King Room Kitchenette . room spotless , bed comfortable tv work fine . the location hotel upper west side perfect , close Central Park , Riverside Park ton restaurant cafe nearby . 72nd St . subway station couple block walk . neighborhood safe ( city use common sense ) different time day night never feel uncomfortable walking anywhere . as race Sunday morning , checkout day , ask late checkout accommodate problem . back NYC would stay heartbeat ! can not say enough pleasant surprise hotel staff . stay lot pricy fancy hotel not accommodate clean Beacon . 
 Jul 25 2009 	 clean comfortable great location 	 stay June 5 night mum two brother mum 's 60th birthday . book 2 bedroom suite perfect we . room clean bed comfortable . bedroom bathroom essential 4 people get morning . living room kitchenette comfortable . use kitchen every morning make breakfast also use one evening cook dinner . fine even toaster set smoke alarm everytime ! location perfect - easy get everywhere without hassle Times Square look like nightmare . lot lovely resturant bar nearby . also supermarket across road want cook pick snack . its cheap hotel , fact pretty expensive New York expensive place . say , would definately stay recommend friend . 
 Jul 25 2009 	 good 2 bedroom suite / apt money Upper West Side ! 	 stay , will rethink conception NYC hotel room ( usu . small narrow ) . expect limited amount space wife , , baby grandparent , wide open recently renovate suite . neighborhood market , deli * restaurant offering part Broadway UWS awesome . ( check FAIRWAY Market across street - what place ! ) would highly recommend without family tow ! ! 
 Jul 24 2009 	 Excelent ! 	 nice clean , light room refrigirator , coffee machine small stowgood serviceLaundry roomshuttle bus airport ( prepay / order departure ) near Subway , restaurant Central Park breakfast ( go restaurant round corner ) 
 Jul 19 2009 	 pretty much expect 	 review Trip Advisor accurate reason select Beacon . disappoint really enjoy stay . big plus we large suite . travel 2 teenage boy great extra space kitchenette store extra food hungry teen . shop accross street Fairway Market food keep hand breakfast start day late night snack come back . size room far exceed expectation . we arrive 1 hr prior check time give key asap . whole check process take less 10 minute outstanding . minor issue request & quot ; high & quot ; floor make reservation directly hotel put 7th floor next elevator . never hear elevator could hear neighbor next door . wake around 12 mid . hear bag rattle think wife get night lady next door . wall insulate well . suite extremely clean house keep staff could well . 1st hotel ever stay room clean 10:00 cleaning staff . friendly accomodate ask leave extra towel provision . the small issue 1st air conditioning , sign note shut leave , certainly wise energy saving hotel , not seem turn come back . always little stuffy come back .. cool fairly quickly . think may sensor activate . issue , fan bathroom find odd since whole place recently renovate . great place stay , mainly due cleanliness short walk subway . take express train , short ride Time Square tourist attraction . also great neighborhood always feel safe walking night . would definetely stay . 
 Jul 13 2009 	 simply Brilliant 	 travel NYC first time June friend celebrate birthdays . stay 10 night Hotel Beacon simply brilliant . room recently refurbish lovely understated way , clean , relatively spacious well equip kitchenette - breakfast morning room . bed comfy . room quiet magnificent view ( hotel kindly put we 22nd floor give nature visit duration ) . housekeeping attentive happy bring anything additional need timely fashion . bathroom small adequate need clean . gripe room aircon - not seem efficient cut regularly quite noisy - interfere sleep couple evening . hotel also free internet guest really appreciate able converse regularly hubby kid via email . the hotel 's location fantastic - much quieter midtown be distance Times Square ( one reason choose hotel ! ) , short walk Central Park absolutely brim restaurant , diner , cafe , bar , grocery store frequent local , tourist . major attraction easily accessible via subway close , taxi walking ( walk Times Square regularly - take 25min ) . gripe hotel , small one , front desk staff . exception gentleman check we polite provide we lot useful info , remain staff certainly friendly helpful needed assistance information . smile go long way guy .... also find night concierge pushy term try sell ticket , tour etc .. time follow lift ! ! book everything directly tour operator , bus company , theatre etc .. easily lot less offer hotel ( assume markup commission hefty ! ) .generally speak though hotel brilliant price , good value superb location . definitely stay next visit NYC . 
 Jul 11 2009 	 good value ' ve find NYC 	 NYC hotel tend overprice Beacon offer surprisingly nice 2 room suite less hotel less quality charge regular room . suite clean , modern ( flat screen tv , internet , etc ) even small kitchen area . note hotel Upper West Side one need travel bit get thing & quot ; happening & quot ; City . subway close , however , cab easy find right outside door . only complaint need book car go New Jersey day , hotel try get we use outrageously expensive car service . get wary multiple people come find we say price offer & quot ; good & quot ; ultimately get another limousine service run half price . also , concierge particularly helpful - get lot use internet research . 
 Jul 7 2009 	 nice hotel . basic service . Quiet Mid town location . 	 hard fault . beacon good quality , well locate , 4 star property mid town NYC . price reasonable room clean high quality . staff hand ( actually like ) , want hotel employee tend hand foot , go elsewhere . two small gripe . a / c unit room ( # 1314 ) loud ( need July ! ) woman front desk know much cab operate hotel airport ( would think would common question ) . record , fix fare , meterte ! 's proximity 72nd street subway great allow easy access downtown , far enough town bit chill night Soho like . know advance association Beacon Theatre might also go concert next door ! 
 Jun 29 2009 	 Pleased Hotel Beacon ! 	 stay one night recently sister get marry Central Park . hotel let we check early could time prepare wedding . also able give we room floor . room clean , comfortable , great view city . decor simple nice . bed comfortable , sleep great ! standard room sister suite large lovely terrace several table overlook city . hotel convenient location Upper West Side close lot restaurant , bakery , shop , etc . FYI restaurant , bar , room service hotel provide lot dining option nearby well place deliver . rate reasonable would definitely recommend hotel someone look good rate comfortable , simple place stay . 
 Jun 20 2009 	 excellent location good room service 	 's right opposite Fairways Broadway , buy breakfast eat evening . room divide sleep live area tiny kitchen fridge gas cooker . ( probably two room past . ) fix gas cooker we , give we bottle wine trouble . Wifi free , $ 9.95 price reasonable . for location Broadway , hotel remarkably quiet , be near subway cross - town bus . walk Lincoln Center ease . definitely cheap , room fairly spacious , would definitely consider stay . 
 Jun 19 2009 	 free internet 	 guess miss fine print somewhere ; pay $ 9.95 day access internet . hotel consider 8 night business trip offer free internet . plus renovate room , bathroom joke ; door hit toilet try open carve part door away ! still hit toilet ; toilet paper holder can not reach toilet unless unusually long arm . check - in nightmare ; make reservation ask would problem get room 12:30 , 1 p.m. since bring several laptop , luggage etc . tell , problem . sit lobby three hour waiting room ; time husband ask , clerk say nothing available yet ; see group group get check ; clerk go break , husband go room 5 minute . the neighborhood great . stay 8 time past 10 year always love it . but angry HIDDEN internet fee ' ve never see poor layout bathroom . 
 Jun 18 2009 	 trip advisor ! 	 stay 8 night Hotel Beacon last month . choose base high rating Trip Advisor also recommendation two different friend . great , absolute gem Upper West Side . not like eat often travel alone , love little kitchenette -- right across street Fairway Market , huge gourmet market open wee hour . hotel 's staff friendly helpful ; housekeeping good ; bed linen sumptuous ; room clean spacious NYC room . ( recently renovate , nicely . ) view ( across Broadway magnificent Ansonia Building ) great take picture cell phone wallpaper ! Location EXCELLENT -- fairly quiet night , safe , friendly , great neighborhood . 2 block subway , 3 block Central Park , short walk Lincoln Center , store every kind fan around . 
