smart 	 return long weekend London stay Place2Stay . first choice usual B & amp ; B fully book find someplace else . modern clean . well run comfortable room , excellent shower , efficient elevator . free WiFi room . downside , expensive usual B & amp ; b hotel serve breakfast room nicely equip kitchen nook complete tableware , complimentary tea coffee , kettle , microwave refrigerator . location bit far away Theatre district Oxford st./covent Garden / Soho , customary haunt , convenient Earls Court underground station . Buy Oyster card convenient bus tube travel . overprice London , would say hotel represent decent value would hesitate recommend adult without child . 
 Great Hotel Great Location 	 really enjoy stay . room little small , however still big enough , well appoint extremely clean . service require excellent . great location couple minute walk Earls Court Station . Earls Court Road quiet feel safe night . would stay back London . 
 stay . 	 beginning walk door , base2stay great . staff extremely friendly go way help . location hotel central 2 minute walk tube . taxi 's need . room clean comfortable . modest sized double room suit need tour day . would suggest look large room plan spend lot time chill room bed take majority floorspace , desk , lounge chair bathroom . however tour London , would perfect . the bathroom clean generous size compare many hotel . the staff assist we day tour available , offer assistance wherever could polite . pay £ 243 2 night worth . overall , hotel modern , comfortable , centrally locate staff great . would certainly stay strongly recommend other . 
 modern clean convenient affordable ! 	 pleasantly surprised base2stay Kensington . staff member helpful courteous . double room reasonably price , really small . not big deal since really need sleep , hang . modern decor charming old Kensington neighborhood . good closet space nice kitchenette mini - fridge hide behind closet door . receive 20 % coupon local restaurant front desk . hotel short walk Earl 's Court tube station able travel around London great ease . would definitely stay next visit London ! 
 Nov 15 2009 	 nice location nice room tube anywhere want go 	 Location really nice area - Hotel close tube ( direct Heathrow line ) Earls Court Road ( lot place eat ) .staye two friend - room three single bed great often hotel give double roll bed . kitchenette room ( kettle , fridge , sink delf/ cutlery ) great breakfast ! room also flat screen tv , free wifi & amp ; access game music . not use , sound good ! staff friendly - could not really fault place would recommend . 
 Nov 14 2009 	 great location - modern unclutered well clean room 	 base2stay really conveniently locate Kensington nice part London hotel therefore cheap . Close Earl 's Court good range meal choice ( hotel not restaurant ) . easily able get big english breakfast local pub cafe addition meal local restaurant . room smallish well appoint tidy . could benefit luggage stand / rack , space bed store luggage use . staff friendly helpful . complaint have hotel claim provide free broadband internet access ( addition WiFi ) . use ( system use tv monitor internet access ) without laptop painfully clunky - end go local internet cafe . 
 Nov 13 2009 	 Nice Place stay 	 staff friendly helpfull . room spotless . mattress good one week long journey . close tube station . would stay ! ! ! 
 Nov 12 2009 	 top notch ! fault ever . would definetly recommend . 	 Stayed base2stay would rate good hotel ' ve ever stay . great location . 5 min walk close tube station high street . nice area . staff helpfull informative throughout stay . room well lade clean modern . visit think room fee little expensive reflection feel good value . would highly recommend . 
 Nov 11 2009 	 Nicequietcleancentralconvinient 	 Base 2 stay small expensive hotel breakfast . 5 minute walk tube go everywhere easy fast . nearby many thing . room ( double extra bed ) small , self service machine water , cola chocolate . wrong option hotel breakfast . tha staff friendly kind . GO GATWICK AIRPORT ! really far away . 
 Nov 9 2009 	 nice hotel friendly staff 	 stay hotel reading tripadvisor .. com . good review , live it . good service , helpful staff . small , clean nice room , free wifi room . no breakfast serve , restaurant near by.20 - 30 % rebate stay hotel . 
 Nov 9 2009 	 Modern budget hotel perfect anyone want bit luxury affordable price 	 great location , modern , comfortable room amenity affordable price . make several change book prior stay problem reception staff . group booking give two ground floor room adjoin patio perfect . negative although arrive early , give access room , even though obvious outside patio area one room room ready use . fantastic location lovely hotel . would definately stay 
 Nov 9 2009 	 good choice london price 	 good location Kensignton , close subway , nice room design lounge style , friendly staff , come back soon possible ... 
 Nov 9 2009 	 Nice Hotel good service 	 nice quiete Hotel near Earls Court Tube Station . clean room kind staff . great stay base2stay Kensington ! 
 Nov 7 2009 	 clean friendly lovely convenient setting 	 first impressed website find contemporary , basic give information need . enough picture give understand basic room layout . travel partner , find hotel well suited area young couple , budget.when arrive hotel well please . easy find , 5 minute walk near tube station , Earl 's Court . feeiling security area find problem walk night , area & quot ; young & quot ; feel like . also offer discount local restraunt accept . the hotel friendly staff , offer we free map , point main attraction , greatly appreciate . room cosy , clean , bed comfortable . bathroom large shower give toiletry fairly trade , smell lovely ! nice suprise room also access internet via television , come digital view , also listen variety music free also via tv . would reccomend hotel young friend , want stay nice friendly place , travel budget . 
 Nov 6 2009 	 great service good location well - appoint room 	 great service , good location well - appoint room . really enjoy spacious bathroom , kitchenette facility , free internet access , quiet location tasteful , quality decor . gorgeous , georgian building transform comfortable , high quality accommodation , near heart London . close Earls Court Station amenity . excellent base visit London - business pleasure . 
 Nov 4 2009 	 ' m Snob Worked ! 	 ' ve stay twice return next month . IDEAL location explore London . everything easy reach . Earl 's Court tube short walk away ; good connection Heathrow ; fun bus ride City / central London / West end ; great neighborhood ' vibe . depend room type , visitor US may disappoint space ( lack ) not be - everything need room will not spend much time . great able buy stuff keep mini - kitchen breakfast even night ( & amp ; , Sainsbury 's & amp ; Tesco nearby ) . solo woman traveller - safe safe safe . great fun restaurant nearby - Masala Zone , Wagamamma , Balans . nothing complain either room type stay even expensive good deal compare similar hotel ( small , contemporary cool ) . room service , be part fun - buy stuff less handy room . feel ' m come home come ! 
 Nov 3 2009 	 can not beat hotel London 	 read base2stay travel magazine , be even well describe . hotel service top notch , every employee quick help question , city information recommendation restaurant - turn great . room extremely clean spacious great location Kensington . tube station block half away well great restaurant recommend . also help we plan outing arrive London . stay - price also quite nice London . ready head back across pond jewel hotel . 
 Nov 2 2009 	 base2stay great find ! 	 daughter stay Base2Stay three night October , 2009 . be locate quiet street residential area . Earl 's Court tube station block away connect London . lot within immediate vicinity rarely stick close hotel travel anyway problem we . find Base2Stay Trip Advisor . expect budget style hotel please discover modern , nicely appoint property . room one large one available extremely spacious comfortable bed great bathroom . free internet available in - room flat screen tv wonderful amenity we travel laptop . entire property clean tidy , staff friendly helpful . property great find would absolutely stay . 
 Nov 2 2009 	 fine 	 Base2stay good place stay . friendly staff , helpful , clean room bathroom , 3 minute walk underground , green policy , internet , ... like be . thank . 
 Nov 2 2009 	 Perfect location great service 	 wonderful stay hotel . 's great location - short walk Earl 's Court tube stop District , Circle Picadilly tube line . be easy get anywhere want go London hotel . 's also grocery store nearby well several restaurant , pub , movie theater small convenience store bakery . the hotel clean , new , comfortable well - keep . friend stay one bunk bed room perfect need . bed comfortable pleasantly surprised find little outdoor patio table chair french door end room . great wi - fi access bathroom nice well . the staff great entire time . greet Tony helpful friendly give we map show we get everywhere look go . another night decide go movie girl work front desk helpful print list movie show nearby cinema along walk direction . I would absolutely recommend hotel ever go back London ( hope ) would certainly stay . 's great value ! 
 Nov 1 2009 	 Loved ! 	 base2stay far exceed expectation excellent value money . hotel location : locate around corner Earl 's Court tube station five minute walk Sainsbury 's supermarket , convenient . young staff unfailingly friendly , professional helpful - nothing much trouble . afraid price hotel may bit & quot ; budget & quot ; need worry - 's unpretentious simply stylish . room : standard double fine size - wise ( maybe bit small two people ) . room first floor ( ie , floor ground ) face street , apart little noise street bother noise - sound neighbouring room ( sensitive noise ) . comfortable , good bathroom complete fantastic shower . loved dimmer light control bed , mini kitchen ( hide cupboard ) great idea - save money stress . spotlessly clean . would not hesitate recommend return . 
 Oct 30 2009 	 convenient location quality accommodation good price 	 location convenient London . hotel nicely present staff great . room well fit small . 
 Oct 30 2009 	 good clean value money 	 king room spacious , well equip clean . locate close Earls Court underground station host discount restaurant along Earls Court Road ( ask reception detail ) . kitchenette facilities real bonus . minor niggle delay check one receptionist meal break . 
 Oct 30 2009 	 much well boring hotel room 	 well - name base2stay provide excellent conveniently locate base recent business trip London . the single room , whilst small , well lay beautiful minature kitchen cupboard , complete microwave , crockery , cutlery , glass etc proverbial kitchen sink ! 's couple minute & amp ; food shop load similar , well able order food - load well bore expensive mainstream hotel . the flat screen tv provide free internet , free music selection film selection £ 2 . stay , probably double room . 
 Oct 29 2009 	 Excellent hotel west London 	 Attending conference Kensington Town Hall , fortunate find base2stay . room well - design well equip . huge , pretty normal London . staff friendly helpful . free WLAN work fine . desk include european - style plug socket addition UK socket , nice touch let plug laptop without dig converter . important everyone , live die morning shower : shower great ( compare place ' ve get trickle luke - warm water ) .my suggestion improvement : October , be perhaps wise move leave air - con set 16C ( arrival ) . 
 Oct 28 2009 	 advertise 	 read positive review hotel newspaper ( Daily Mail , think ) book 4 night stay . exactly advertise site review state . staff particularly helpful pleasant . report malfunction a / c someone take care within 10 minute . I ' m retire airline pilot lose count number hotel visit ; price , good get . as question , already recommend friend plan stay . 
 Oct 27 2009 	 noisy room face road 	 [ 1 ] location - good ; [ 2 ] staff ( friendly except one lady not particularly friendly not seem like like negative feedback ) ; [ 3 ] furnish - great . wife particularly like kitchenette heat towel rail ; [ 4 ] sound proofing - terrible ! ! ! every step make occupant could heard.i stay 3 night - first night standard room ( room L12 ) subsequent 2 night superior room ( room L17 ) . first night generally ok subsequent 2 night far perfect . main problem noise . l17 face road 3 meter away . every single vehicle pass could hear clearly even pedestrian walk disturbing.i ' complain ' front desk firmly tell nothing could since hotel fully book . would recommend hotel get room face road ( inform 10 room total ) . 
 Oct 27 2009 	 overhype overprice 	 return stay hotel slightly disappointed.the mini kitchen cupboard nowhere sit eat.told book connect room family arrival allocate 2 separate rooms.area ok nearer Earls Court Kensington not feel safe walk back tube station night.room clean every day washing do good , reception staff helpful want taxi station leave . 
 Oct 27 2009 	 good value nice location 	 originally book base2stay hotel good location near Earls Court tube station ( Heathrow city centre good reach ) . hotel situate quiet attractive area Kensington . room tiny , include everything need 3 day trip city ( also microwave little kitchenette ) ( small ) bathroom neat modern . service great - whenever need advice assistance , people helpful friendly . good value ! 
 Oct 26 2009 	 great everyone make - relieve get discount price 	 expect amazing thing hotel review consistently great . say come away feel disappointed . staff not particularly friendly , room fine front build basement horribly noisy 5 am morning stay , wake laundry people bang around awful . room could clean . bathroom awesome carpet soft . apart , average hotel . get really good discount ' satisfied ' stay . pay full price , would furious noise disappoint . would not rush back . 
 Oct 26 2009 	 fabulous clean courteous affordable 	 group we stay Base2stay late September . travel extensively last 40 year experience many hotel charge arm leg fail deliver . not base2stay .... welcome courteous staff ( feat 's London ) room , although small standard , clean , pleasant well appoint . concept work . restaurant room service . fine . area around hotel pepper dining establishment shopping . mini kitchenette every room . handy ! would stay ? heartbeat ! would especially like commend front desk staff . bravo ! 
 Oct 25 2009 	 would stay 	 hotel good location . staff helpful room clean . nicely decorate . tv , wifi , broadband , microwave , fridge decent china cutlery . China cutlery clean , chip dent . nice bathroom , decent toiletry . blow dryer actually decent , powerful one - usually pretty crappy hotel . room small compact . luggage stow bed . dislike like luggage open luggage stand . negative would nice box tissue instead packet tissue . 
 Oct 25 2009 	 simply excellent ! return without hesitation 	 book hotel base upon good review read . try book via booking.com ... site say 's place available . call hotel directly mention really would love stay arranged room two first night single room second two night ... helpfull . hotel locate 2 min walk Earls Court Tube . reception welcome hotel go perfect . room nice quality bed excellent ( sleep well ) . hear little noice corridor room next door . wifi free like high speed internet cable , charge ( not understand ? ) . dispose advanced tv system . room modern kitchenette appreciate lot . I certainly go back next time ' m London 
 Oct 25 2009 	 great location consider like home 	 5 time , consider hotel like second house . coud not think hotel London everything work fine . 
 Oct 25 2009 	 good affordable hotel Earl 's Court 	 pleased staff room . also nice pub restaurant near hotel . would really recommend hotel people willing take care breakfast themselves . also nice bathroom flat screen tv ! 
 Oct 23 2009 	 Perfect choice London break 	 family without ridiculous amount money spend overnight accommodation London - want somewhere nice special base2stay great choice . stay one night two teenaged child , slight initial mix bed - however staff immediately go way sort . staff professional , efficient friendly . room good size spotlessly clean . bed comfortable , 's free internet connection , good shower nice big towel . temperature control room good , keep cool want . also able leave bag early day check late day check really useful . would definitely stay , be locate really close Earl 's Court tube 's good range restaurant , eat Wagamama 's discount provide hotel . Base2Stay really contribute towards we fun time away couple day London . 
 oct 22 2009 	 great place stay short business trip 	 staff friendly courteous . room clean tidy . need put direction room elevator 's obvious find , especially be carry luggage stair . 
 Oct 20 2009 	 Excellent ! modernclean top standard mini home need 	 second time stay base2stay back next year . lovely modern home like home comfort style base2stay perfect . reception staff friendly well organise . price resonable quality get . like privacy perfect check one bother come go please . appartment 5min walk earl court tube station perfect visting attraction , shopping seeing show . also mini kitchen mean chill bottle wine glass go ti see show . overall excellent place stay . 
 Oct 19 2009 	 absolutely fabulous 	 pleasantly surprised quality hotel give previous experience british hotel . love modern minimalist look . room well appoint bathroom good size . high ceiling large window ( open ) contribute feel roominess . staff extremely efficient friendly . teenage daughter ( hard please ) delight room 's set . location surprisingly quiet yet close amenity tube . free internet access fantastic check train timetable open hour site . great film hire 2gp . stay twice two week period good experience first visit could not wait get back & quot ; home & quot ; second time . recommend hotel highly . contribute memorable holiday . 
 Oct 19 2009 	 great 	 stay great . place clean , quiet expensive . think staff helpful , friendly effecient . would definitely stay . 
 Oct 19 2009 	 beyond expectation 	 stay day . need front desk arrange appointment chirpracter give we 2 option . bed confortable , service unbelievable , location great - good hotel ' ve stay ! 
 Oct 19 2009 	 excellent hotel 	 woman travel alone , fault feel safety within hotel , walk Tube station late night . hotel locate pleasant safe area . the staff genuinely friendly helpful , room quiet , immaculate well appoint , Tube local shopping easy distance . I would certainly stay excellent hotel , highly recommend . 
 Oct 17 2009 	 great hotel 	 stay 1 night Oct . front desk personnel friendly helpful . restaurant site . several good restaurant within walking distance . hotel short walk Earl 's Court tube station . room big ! bed comfy . view window great . overlook another building . room bathroom clean . bathroom huge tube shower . flat screen tv wall also double computer monitor . wireless keyboard desk , could move sit bed use . room quite , hall noise . hotel lift / elevator inside , must carry bag front step hotel . would definitely stay . 
 Oct 15 2009 	 hotel return next London visit ! 	 overall , experience base2stay impeccable . moment walked feel like 5 star hotel , staff helpful people meet London throughout entire stay ! friend share Twin King Room enough room , make great use kitchen microwave meal keep grocery ice cold handy fridge . shower MASSIVE love temperature control handle ! ! particular , Ashleigh Tony amazing host go beyond call duty make stay comfortable . Ashleigh go much effort assist we make sight - see breeze ! one downfall hotel bed change entire 9 day , small price pay consider amazing location , staff , service . we definitely recommend Base2Stay anyone think go London can not wait return ! 
 Oct 13 2009 	 outstanding base stay 	 base2stay fantastic well price hotel convenient location . room modern clean staff friendly helpful . ability use room internet via television provide keyboard also plus not travel laptop . 
 Oct 13 2009 	 second stay Great First 	 stay base2stay second time first visit March 2008 . day arrive , realize toilet work . within hour notify front desk , maintenance crew arrive within hour quickly fix problem . room low level , window overlooking sidewalk . think road noise might bother , actually seem quiter first - floor room stay previously . the single room perfect size someone will not spend lot time hotel ( although 27 & quot ; suitcase little large fit bed ) . free Wi - Fi definitely plus . would stay third time . 
 Oct 12 2009 	 lovely comfortable friendly . 	 recent week - long stay London , actually stay 2 different hotel , due limited availability . interesting opportunity compare experience . two , preferred base2stay . hotel attractive situate pretty residential neighborhood couple block tube . one feature like good base2stay staff . be actually british ! 's rare find hotel business London day , really appreciate opportunity chat interact local . room quite nice up - to - date . absolute favorite aspect stay bed . comfortable . unfortunately , remainder trip spend sleep feel like slab cardboard , deeply appreciate quality sleep base2stay . room also dark quiet night , whole experience restful . , base2stay certainly great value , though pay less location , breakfast also include ( base2stay ) . regard location , like neighborhood much , Kensington little way major attraction heart city would ideally look future . expect spend 20 minute tube reach lot sight . say , ' m sure vast majority visitor base2stay feel comfortable , well treat , pennywise . know . 
 Oct 12 2009 	 FANTASTIC value London ! 	 stay base2stay two week September 2009 , nothing good thing say . although room small american standard ( travel alone single ) , well appoint everything need : microwave fridge , coffe pot , free internet , even towel warm ! bathroom roomy bed comfortable good ( excellent ) quality sheet duvet . locate one block Earls Court Tube station , give easy access location London beyond . also block away ( station ) several fast food restaurant ( McDonald 's , Burger King , et al ) , pub , laundromat , two small grocery , atm , even post office ! heart city , transportation part London quick easy , subruban location provide quiet night . everyone encounter wonderful helpful . wish could remember gentleman 's name help - fantastically nice . travel Dublin two day leave luggage hotel . return , room ready , already move heavy suitcase room ! wonderful ! get cheeky glance large room housekeeper clean really impressed ! highly recommend Base2Stay ! 
 Oct 12 2009 	 perfect value money 	 find base2stay perfect place loondon . need . small comfortable room good area 5 min . walk underground . would definitely come back . 
 Oct 11 2009 	 hope stay Base2stay 	 hotel perfect we . desk staff friendly helpful , room clean comfortable , close tube , price right . 
 Oct 11 2009 	 clean excellent service nice location 	 staff helpful friendly . place super clean . location good - close Earl 's Court underground train station shop High Street Kensington . 
 Oct 10 2009 	 definitely return 	 exceed expectation . impressed level quiet feeling ' haven ' close Earl 's Court subway . feel safe walk area . Kensington posh , hotel fit . well maintain . interior noise ( i.e . loud door night ) bad . staff excellent . Kitchenette small well equip . & amp ; nearby grocery , disappointed quality selection . Sainsbury 's Cromwell Rd probably well choice . restaurant try area not great . want eastern european food , staff recommend Wodka 's Kensington High Street stop . one good meal trip . tapas restaurant Old Bromley also excellent . 
 oct 9 2009 	 London home away home ! 	 stay three night London , great base visit city . neighborhood quiet residential couple minute Earl 's Court tube stop . & quot ; local & quot ; pub courtfield close pub lunch afternoon pint ! room small over - sized US standard , cozy perfect London . love little kitchenette room , store sandwich make coffee tea . staff friendly helpful , good recommendation local restaurant , even store luggage several hour check prior train time . would definitely stay London ! 
 Oct 8 2009 	 Great experience - Felt like true Local ! 	 Base2Stay absolutely wonderful experience great value , also provide experience hotel can not ; live like local . book Base2Stay online month advance , plan stay four night . plan change course month , stay cut three day , short e - mail hotel ( come quick response ) amend reservation . I arrive London Heathrow around 11:30am day arrival , take Heathrow Express airport Paddington Station . , short ride District line Paddington Station Earl 's Court station , within 5 - minute walk hotel . walk well - populate area , include pass quite restaurant , pub , bank , shop . base2stay unique location , surround one side beautiful park small hotel , surround side beautiful residential apartment million . check base2stay simple process . Rang bell door , walk check - in desk , show credit card passport . give room low level ( & quot ; L & quot ; level ) , easily accessible elevator stair . room , & quot ; HUGE & quot ; standard , comfortable . include bunk - bed setup , functional desk , spacious bathroom ( great shower heat towel rack ) , well microwave , small refrigerator , silverware / dish eat . room - key insert small slot wall upon entry room , turn electricity ( ensures not leave light , also never forget key ) . thing like air conditioning , refrigerator , power plug stay active even electricity & quot ; off . & quot ; everything room functional ( include free wifi ) , healthy selection tv channel allow plenty entertainment room . find air conditioning work great , could get hot cold depend set . favorite part Base2Stay come back property feeling like really live London . shop local Whole Foods market ( one tube stop away ) able heat food microwave save grocery refrigerator . all , would highly recommend property value , great location , wonderful amenity . 
 oct 8 2009 	 good hotel London ! ! ! ! ! AWESOME ! ! ! ! ! 	 one good hotel ' ve ever stay . staff friendly helpful . close Earl 's court subway station many restaurant nearby . Nando 's good food spicy Gourmet Burger Kitchen [ GBK ] also great good meal . two laundromat within quick walk . room small comfortable . 's also tv use computer [ ' m type tv ] small kitchen . 
 oct 8 2009 	 great location comfortable room relatively inexpensive 	 Base2stay locate South Kensington , block Earl 's Court Tube stop . Piccadilly line conveniently go Heathrow many main tourist attraction . lot restaurant food market really close room come equip small refrigerator . save money time get cereal milk Sainsbury 's ( 10 - 15 minute walk ) eat breakfast room get ready . Base2stay even deal local restaurant give guest discount . room not huge , need place sleep recharge busy day , work great . 
 Oct 7 2009 	 Splendid experience ! 	 parent stay mid - September three night . love mini kitchenette room mini fridge microwave save lot money prepare light breakfast venture go sightseeing . hotel walk distance Earl 's Court tube stop 5 - 7 minute foot close supermarket . rate reasonable ! wireless internet access flat screen tv several entertainment feature ( mom love hearing Vivaldi eat breakfast ) , could not ask well experience . staff interact friendly willing help whenever question . ( ask toilet paper room , arrive within 5 minute ! ) love decor hotel -- sleek , minimalist , modern . next time travel London , sure stay . truly hide gem . 
 Oct 7 2009 	 terrific - well find London 	 sitting use room 's free internet wireless keyboard tv , say truly good choice hunt ' net age . dozen eatery nearby - take note especially GBK , avoid Nandos . two laundrette within minute walk , several grocery shop , include & amp ; simply Food . kitchenette help we quite lot . get 30 % GBK similar deal restaurant . room three we exceptionally clean public area hallways show pride level cleanliness well . staff helpful , friendly courteous . area handy get Heathrow , well major point interest central London . would highly recommend base2stay plan Olympics holiday . 
 Oct 6 2009 	 Home Away home 	 Base stay exactly advertised ! clean , modern convenient welcoming ! husband wonderful stay , great location friemdly helpful staff clean modern room . like home . complex well maintain , smely fresh traveller neede reasonable price ... wil back even lolly reception ! thank base 2 stay make anniversary special one .. 
 Oct 6 2009 	 noisy room need alarm clock ! 	 pro : clean comfortable bed , close aminitie tube station , nice area , fridge kitchenette room . con : noise road start 5 , noisy fire door corridorthe whole point get room wake early catch train could fresh business . get woken noise street ( car people ) 5 keep going leave hotel . room ( single ) double glaze secondary glazing . check mention noise tell book room top floor back ! noisy room going tell everyone use ? ! ! ! room bathroom clean although shower cubicle spotless- usual mildew mould corner seal . however , would say totally acceptable . it shame noise , get sort rather let guest find stay room . 
 Oct 6 2009 	 large clean comfortable room 	 problem accommodate four adult luggage . clean new . excellent location , right Earls Court tube stop . 
 oct 4 2009 	 really great stay first trip London ! 	 stay twice recent trip London . initially 5 night arrive London 1 night return tour around Mainland Europe . times really enjoy stay base2stay . firstly location great . near tube station Earl 's Court District Piccadilly line . catch Piccadilly line tube service Heathrow airport 45 minute - really handy not change train . secondly Earl 's Court hub District line - District line go 5 different direction centre Earl 's Court . overall find location base2stay great consider minute walk Earl 's Court . now hotel London cheap - base2stay really well price . not get wrong 5 star not need . everything claim - perfectly fine . the hotel must recently renovate everything look really new . front desk staff really great time - friendly professional - willing help need . stay single room time decent size . not feel cramp - bathroom enough room move without knock anything . tv free internet - whilst control little fiddly - still use day drama - come really handy . one slight gripe shower - temperature seem vary slightly time - room - big deal get annoying sometimes . overall great stay London base2stay - will back return London . 
 oct 1 2009 	 Prime location good concept great staff . 	 stay 4 night great time . staff wonderfull , professional friendly . 
 Sep 29 2009 	 great place stay terrrific value - easy access central London 	 stay Base2stay mother August , win 2 - night overnight stay two hotel 's business card competition . stay hotel many time fault room service . hotel greatly convenient arrive London late leave early . addition handy Central London , via Earl 's Court Station , locate 4 stop District Line Victoria train coach station . equally get hotel Heathrow tube 45 min Picadilly line . staff always friendly go way help . addition guarantee find clean room arrive . room build - in kitchen facility , handy , local supremarket ( 5 min walk ) food puchase . hotel room also list local takeaway , deliver , vend machine drink , sweet snack . great place stay & gt ; & gt ; & gt ; & gt ; thank great prize , mother enjoy greatly . 
 Sep 28 2009 	 Super hotel . 	 good stay Base2Stay . bed comfortable , room clean staff friendly helpful . like green ethos hotel . 2 young child well cater ease mini - kitchen help grab bite eat warm thing ( good microwave ) . bathroom beautifully clean well equip comfortable stay . 's situation Kensington near Earl 's Court handy place eat travel anywhere around London . also proximity museum Cromwell Road great kid . 
