woooooow 	 make one short sweet : ) Vegas magical city whatever heart desire ... long cash ! speak world class dining , over - the - top vip treatment club , high roller treatment casino , uber luxurious spa treatment . on actual review Planet HollywoodFIrst , location PRIME ! ! center strip . locate across bellagio new City center construct . plan see whole strip would good place stay , near middle strip , plus Miracle Mile mall attach shop essential ( alcohol , food , pharmacy stuff ) rite downstairs without pay resort price . get resort room view bellagio fountain pool area . complain huge room , movie theme little weird , Baywatch , cool pic baywatch fan . also , real complain room position tv ; face bed , could not move bed , could watch chair . good part room washroom , huge , big bedroom , sink , side , separate side boy toiletry lady side vanity work . middle huge open space , giant soaker tub , standup shower seat course toilet door . the atmosphere rockstar - ish , everytime go downstairs like party go . good place get drink people watch , pleasure pit always fun prive nite club well think go . pool area little PH style , seem little bland almost family orient , nice view paris tower though . eat earl sandwich , good place grab bite , cheap . try spice market buffet , second fav buffet Vegas , reasonably priced consider get . the overall impression good one , hip trendy , still work , upgrade pool area want . service friendly throughout hotel , one issue maid , would not give towel thought need . room amazing , vibe amazing , location amazing , dining amazing ! ! ! Planet Hollywood ROCKS ! .p.s . Holly Madison start headline Peepshow ..... woooooooooooow ! ! 
 Planet Hollywood Las Vegas Review 	 huge room , great location middle strip buffet amazing ! ! ! free bottle whiskey wine also help ! ! 
 highly recommend perfect location Strip 	 stay first part nine night trip States 16 November . hotel locate right middle strip make get around easy . check not queue whole process take less 5 min . room 31st floor view strip two queen size bed , large bathroom spotlessly clean . room also connect door ask could move room without one , upgrade even large room luxurious bathroom inconvenience move . whole complex big bit confusing finding way around everything soon click place find bearing problem . ever lucky enough return Vegas would stay Planet Hollywood without hesitation . 
 Vegas 	 beat hip , gear towards young crowd . still adult . 
 Nov 18 2009 	 Great Hotel superb location 	 husband another couple spend four night great hotel . room bed spacious comfortable . bathroom well equip bath seperate shower plenty towel etc . fault mention previously room dark dark brown woodwork did'nt help . unfortunatly room face back hotel much view . the hotel 's location excellent right next door Paris Hotel across road Bellagio . visit different hotel i.e . Bellagio , Venetian , Paris , Mandalay , Ceasar 's Palace truly amazing . take quiet get one hotel ( might look far tell ) wear comfy walk shoe chilly evening . wear warm clothe . make use duece ( strip bus ) cost 7dollars 24 hour 3 dollar single trip . get duece Premium Shopping Outlet ( great bargain ) i.e . Levis ( cheap ) Quicksilver Timberland lot . go 2 - 3 stop past Stratosphere Hotel get another bus ( think 108 ) right outside outlet include 7 dollar ticket .make sure helicopter flight Grand Canyon , use Maverick . not book hotel expensive plent place book also variety tour . booked & amp ; shop ( Chocolate ) pay approx £ 205 landing canyon bubbly nibble . 
 Nov 16 2009 	 Perfect Location 	 stay PH last June love .. year travel another couple also decide stay PH . location great size hotel whelm . room beautiful sure visit PF Changs dinner . the buffet also good ... always great time Vegas .. lot fun can not wait go back next year ... 
 Nov 16 2009 	 AMAZING ! happy - good place trip 	 pleasantly suprise ! check ( line ) Thursday night . randomly upgrade amazing suite overlook Bellagio fountain . take advantage & quot ; free comp & quot ; offer ( long look new room / time share pitch ) find painless worth money actually buy time share . never think would happen , new tower strip amazing ! end win $ 100 slot first day , food amazing . spice breakfast buffet die . Yolos Mexican great . amazing LOCATION ! disappoint . 
 Nov 16 2009 	 nice great 	 expect . good service , everything else Vegas , noisy . partys neighbor room disturb . otherwise , clean tidy . 
 Nov 16 2009 	 great location room dark 	 Location - wise can not fault Planet Hollywood , be right strip good bar , restaurant shop . decor modern trendy , staff lovely helpful need anything . the room big bathroom huge , dark . 2 lamp room ceiling light near bed . keep feel like need turn light . seem like small complaint , would not reccomend hotel . 
 Nov 15 2009 	 really great vibe accommodate need 	 first trip Las Vegas minute arrive , staff front desk helpful accommodate need . arrive 9 tell could check 3 pm . however , gentleman front desk make arrangement we check right away . hotel clean bed really comfortable ! two negative give we bottle water room first day day leave . another negative we want work gym $ 25 / a day .... way expensive we ! would strongly recommend hotel room clean , staff excellent middle strip much surround hotel . 
 Nov 15 2009 	 bad pick wedding 	 first trip Vegas get marry , although make smart choice get marry Planet Hollywood . find room extremely dark lamp low watt bulbs . always dark small window room give little light . think going love separate shower tub , however use tub drain water , black sewer water come shower drain make entire room smell like sewer able enjoy . addition , first arrive , hair bathtub assumingly previous guest . Yuck ! pay resort fee day pay newspaper water day . receive paper day , get water first day stay . & quot ; drink we & quot ; promotion package book trip , however take three trip front desk , call travel agent , finally talk one hotel manager get honor package item . even , receive service three four night stay . receive four night . upon arrival , find line check extremely long , finally get front line , greet extremely stuck rude employee . completely unhelpful give we bad impression right away . love miracle mile spend lot time stay , however casino impressive . first , make way maze people try get look timeshare property every time go go casino get anywhere else ! constantly people face , follow around , etc . rude front desk person . addition , walk anywhere around hotel bombard people try shove picture naked woman face seemingly get call sexual service . picture throw ground alcohol bottle everywhere ! terribly dirty ! casino pay one time five day stay hotel . went play least twice day , absolutely LUCK ! tightest slots town , think table game rig see winner either . except breakfast buffet , buffet extremely price quality food receive . one redeem quality hotel & quot ; Earl Sandwich & quot ; excellent ! coupon several other mention receive check - in work well mile , however coupon receive travel agent Planet Hollywood hotel never redeem keep tell we go instead . one seem know go get gift card , etc . promise . overall , terrible place stay disappointing first trip wedding destination . may go back Vegas , would stay Bellagio , Wynn , another hotel focus Customer Service quality rather certain image hold water .... 
 Nov 14 2009 	 great hotel 	 awesome hotel one restaurant , shopping , casino great young old 
 Nov 13 2009 	 Wonderful Place stay 	 two grown daughter return home 2 day stay Planet Hollywood Las Vegas . view room breathtaking ! overlook Eiffel Tower Bellagio ` fountain display . room immaculate large . receive complimentary bottle choice stay free newspaper deliver door morning . far luxurious place ever stay . complaint lighting room . lamp , ` seem get enough light . 
 Nov 13 2009 	 something Everyone Vegas 	 Planet Hollywood something almost everyone ( exception young child case Vegas general ) . location centrally locate new CityCenter Bellagio across street Paris right . Hard Rock Casino short cab ride Harmon well . stay one basic room would describe fairly modern framed hollywood memorabilia inside . amenity view strip decent . aware $ 5 ( non - optional ) per night resort charge include thing like 2 bottle water newspaper day . the casino nice crowd describe around middle age . number show include Peep Show Steve Wyrick magic show . one good feature Miracle Mile Shops attach casino / hotel . ph offer quite brand name restaurant rather typical & quot ; casino & quot ; restaurant quite easy please mainstream crowd . Spice Market buffet decent , ' m sure Vegas buffet wow . Sammy Hagar 's Cabo Wabo Cantina literally open place Trader Vics . as suggestion , would recommend everyone join A - list player club event decide spend time gambling . wish visit new CityCenter resort , may one close , lower - price alternative . overall , would stay ph ................ yes ( especially since earn point Starwood Preferred Guest program . 
 Nov 13 2009 	 another Great vacation 	 spend 4 night PH 10/26 check 10/30 . line check Monday afternoon . 2 night compe Husband pd $ 69 night last two night . also get drink we bottle night . kind enough link reservation could keep one room . check person Angel set we KNS room strip side . bed always perfect . keep threaten buy one home . bathroom spacious like fact toilet seperate vanity tub . housekeeping keep room clean bring extra towel request . complaint time soaps shampoo . seem new brand lather . facial bar soap big half dollar . bring problem , husband impressed . eat PF Changs Spice Market Buffet , good usual . even remember many time stay hotel still favorite casino hotel Vegas . love Heart Bar cocktail waitress working slot area attentive . great music casino youngster . can not wait return . 
 Nov 13 2009 	 Great Time Planet Hollywood 	 stay three night solo trip Vegas . check fast easy - arrive around 1 pm ( check time ) room ready . line short . front desk clerk friendly helpful . print coupon discount restaurant , free bottle liquor one pick gift shop lobby . the room comfortable , clean , big . bathroom huge , two sink , shower , separate tub . the casino trendy decor . Rich colour modern design make nice place gamble . smoke less casino strip . dealer friendly helpful , piano player / singer extra lounge night , provide good entertainment gaming . shopping casino , hotel give coupon free coupon book one pick mall . location casino low side mid - strip . overall great time , would definitely return . 
 Nov 13 2009 	 can not wait go back 	 book hotel Bookit.com satisfy . room like pic online . hotel everything hand food , casino , entertainment , locate th perfect spot strip . enjoyed walk across street Bellagio hotel . be already plan stay next year . 
 Nov 11 2009 	 Awesome Hotel 	 hotel clean , nice well keep . room clean everyday . water bottle morning paper outside door . enough towel room . would say hotel get 10 everyone friendly . casino lady helpful change free drink long play . go back every year hotel ! st choice ...... 
 Nov 11 2009 	 many far well place nearby . skip one . 	 want like hotel say extremely disappointed . book hotel part conference stay . since come town day early , book really cheap rate Candlewood Suites weekend move Planet Hollywood next three night since conference . ' world difference low budget Candlewood Suites Planet Hollywood , compare two … I feel like Candlewood Suites huge enjoyable bargain feel really rip Planet Hollywood . Planet Hollywood highly stylize bit top thing . casino nice food Spice Market Buffet actually pretty good reasonable . thing like movie memorabilia room . ( inside glass case room flight helmet prop baseball cap use film 1991 film call " Flight Intruder . " cool….that thing room go it . even get hotel easy . slot strip old Aladdin Hotel never really good job use sign help guest drive south Las Vegas Blvd . turn proper street get back entrance hotel….which hide way back street back underside hotel . unlike strip hotel self parking reasonably close hotel ( make obligatory walk casino get check ) Planet Hollywood make park self parking ( luckily free ) walk huge shopping mall call Miracle Mile casino escalator front desk low level . well lay sign easily tell get around inside . course want get lose maze slot machine might give try find way give money one armed bandit . the room extremely dark . total 5 low wattage light room room , one ' work . window four foot five foot ' lot ambient light . conference one presenter say complain front desk give flashlight say give hundred flashlight per week guest . go , leave room first place . the bed way cheaper less comfortable one Candlewood Suites room stay night fifth price . know go good wife walk room sit end bed actually make head bed come ground foot … that ' cheap bed frame . actually think ' careful go break . rickety squeak loudly move bed . sheet also thin uncomfortable . plus come untucked way easily . first night end morning real mess sheet mattress pad keep awake . rather soft mattress pad , use thick wool blanket like cover sheet really hot soft comfy . honestly think manager ' stay one basic level room … if , ' see really plush price charging . room clean smell okay . ' decent sized bureau two large closet plenty room unpack clothe . free room safe , comfort . there ' also prominent large flat screen tv room ' hd channel actually bite fuzzy large TV….so another miss opportunity there . the bathroom feature glass shower Roman soak tub . tub quite big enough two . come on … this Vegas … if going soak tub , one big enough two ! real full sized bath mat two bath towel thin cheap feeling . much well towel Candlewood Suites . amenity come little round jar metal screw lid . shampoo come fine try get conditioner round jar . stick fingers dig conditioner awkward . ' wrong plastic bottle squeeze ? ' get reason jar ' work well . bathroom nicer new feeling , shower take long time get hot water pressure anemic . could probably spit hard shower water come out . the internet service cost $ 14 day . WiFi LAN connection . WiFi keep bounce internet first night . inconvenient keep reconnecte , work fine next two night . connect service feature high speed . the hotel charge $ 5.93 daily ' resort ' fee pay daily paper , two bottle water room use pool . paper Las Vegas Review - Journal , basic coverage national international news ( USA Today hotel carry ) . get two bottle water first night , ' get next two night . you definitely way bring child hotel . current show theatre call " Peep Show " striptease act . big ad show hotel , include huge photo elevator door room . , surround block immediately around hotel several ' gauntlet ' people bright T - shirt advertising outcall service promise " Girl Room 20 minute Less . " hand stack business card photo nearly completely nude woman . aggressive place . People take card throw ground….make trashy litter card nearly completely naked woman place several block strip hotel . really disappointing city ' try keep . prostitution legal Clark County Las Vegas . grant Las Vegas , people walk strip need bombard swarm hawker nearly x - rate business card promote something even legal here . so expect much well well brand . try hard stylistic appeal young , hipper crowd . along way , hotel operator forget people want stay place least comfortable . maybe high roller room plush , basic room certainly not . if consider stay strip go shell several hundred dollar night , make happy skip Planet Hollywood stay parisian right next door really , really nice even well Bellagio right across street . 5 - star hotel , one barely deserve two half . 
 Nov 10 2009 	 lot fun trendy style 	 strongly recomende young people . Vegas full old people . 30 's perfect place . miracle mile nice not good price all . the club inside PH 's expensive make pay even stay hotel arrange girl door reduce de admision fee . the design hotel taste inste world know hotel become little bit ancient . 
 Nov 8 2009 	 great location nice room 	 stay Planet Hollywood work friend early November . check smooth & quot ; drink we & quot ; promo . get bottle rum not even drink - trip wish get wine champagne instead . room nice clean . like review -- - room really really dark ! ! 1 table lamp bed small light desk . felt always complain dark room . weather great get spend time pool day . sun go 245pm since build mega building across street ( block sunshine ) . housekeep nice job also . spend 3 day hotel still confuse get room ... could never get familiar casino . dark room confuse sign casino ( lack ) enjoy hotel - especially location . eat mostly Miracle Mile shop . La Salsa Cantina good breakfast ( $ 3.95 ) around . another La Salsa MGM well potato tortillas ( fresh ) since stay PH go La Salsa MIracle Mile . also go Pampas new brazilian steak house- ok . get $ 50 certificate restaurant.com hawaiian Tropics think horrible . waste time go . Emerils New Orleans fish house MGM way well steak half price . also see Blue Man Group get ticket tickets2nite ( something like ) strip 1/2 price . good part trip ! 
 Nov 8 2009 	 PH convenient location 	 Planet Hollywood convenient location . service great room great view ! prefer MGM Grand Belagio would recommend one three . good . 
 Nov 7 2009 	 pretty good value great location 	 location hotel make accessible everything Vegas strip offer . pool nice , decent restaurant nearby casino casino surround one . partial view Bellagio fountain room , nice . club casino good nightlife . room nice size- five girl bachelorette weekend . 
 Nov 6 2009 	 up 	 arrive 5 pm Monday & amp ; not wait line . room ( 18th floor awesome ) . 3 problem there:1 ) toilet get plug - from we blow nose ( lot paper ) . apologized & amp ; send lady plunge & amp ; tell we number one complaint people stay . ( ' plunger room ? ) 2 ) 3rd night wake 3 am sound like steam train ( turn service elevator next room ) . apologized & amp ; move we 50th floor & amp ; send bell boy help we move . bell boy say must ' ve feel really bad get move consider business class suite ( hotel 50th & amp ; 51st floor come right 38th floor -so be like 39th & amp ; 40th floor ) new floor redone differently & amp ; view new room well ( much high ) room not redone theme consistent hotel , like 1st hotel room . get sleep . 3 ) bit issue bed room - not complain though . whenever 2 adult ( normal size ) sit end bed raise head bed ground . ( friend side hotel ( face fountain ) not problem maybe particular ? aside service great & amp ; would stay - would ask place near service elevator . oh & amp ; not pay extra view Bellagio fountain have . the 5 $ hotel fee great , free water not always get replenish . drink we package nice treat also . 
 Nov 6 2009 	 great location average hotel 	 spend 3 night short break . chose hotel base location price ( compare other ) result pretty much expect . location superb , mid strip opposite Bellagio . room get ( basic twin ) adequate , slightly tired dirty . hotel overall start look bit worn place excessively . pool area small adequate chill although seem half pool side close chargeable ' vip ' area ( simply mean sit side rope curtained lounger ) mean enough space lounger everyone else around pool- despite one person vip area ! casino good probably small side Vegas- tend use Bellagio , Treasure Island , Ceasars Palace Paris tend low minimum table . point note casino though slot seem rarely pay , hear quite people say tight find ( stick mostly Blackjack end ) . eat PH Spice Market Buffet use two one ticket get British Airways , around $ 30 we , good value , food good , fantastic good . dessert option fantastic . would not pay $ 30 per head though . also recommend Bellagio buffet phenomenal , quality food great selection nice surroundings- watch queue though , take option seat bar jump ahead comfortable . also MGM breakfast buffet- awful ! poor choice , expensive do not seem gear large crowd queue everything . overall , limited budget want good location would return- would prefer stretch little like Bellagio . 
 Nov 5 2009 	 great location ... worth extra $ $ $ 	 stay opt expensive hotel wedding honeymoon . location Valet parking basement hotel . check ok , hit surprise & quot ; resort & quot ; fee . ( book trip Travelocity pay full ) .. pay additional $ 49 week stay . think lousy . location hotel great . close action . room & quot ; Miami Vice & quot ; suite stellar view construction across street . room ok ... could cleaner smell kinda musty . right outside hotel bunch sale people sell time share harass constantly . learn tell not marry leave alone day .... remember . casino beautiful great atmosphere . music awesome like modern classic rock . husband enjoy & quot ; Pleasure Pit & quot ; part casino table limit high time , find hard play slot machine length time ... tight ... find cocktail waitress nearly impossible . want gamble ... go New York New York Downtown . buffet expensive ( $ 30 per person dinner ) . be large lot choice , not think worth money . ( tried ) opt dine Downtown Vegas dinner choice vast lot less expensive . .... nice place ... next time go back Monte Carlo ( half price similar location clean ) stay Downtown Las Vegas hang time anyhow . be hotel room much anyhow ... definitely will not pay big price tag think ' m get something special .... Planet Hollywood .... not . oh ! almost forgot ... nightclub full prostitute look may teenager .... think tasteless upscale nightclub allow sort thing . ( yeah ... know ) .... guess 's people go Vegas . great hotel bunch bachelor great couple family . 
 Nov 5 2009 	 Good Hotel Great Food 	 good hotel . good Bellagio , pricey . however , fabulous room great décor food good . buffet die . easily merit four star . 
 Nov 4 2009 	 pathetic service 's ! 	 first would like say hotel look great picture website . bad front desk employee not care much web designer . book son colleague two different room 3 month advance hotels.com hotels.com copy confirmation room download ph system . ph reputation overselle hotel , husband not room . tell front desk manager chronic illness stress good , manager 's quote & quot ; illness problem & quot ; . try blame hotels.com , see confirmation hotels.com fax . thank goodness hotels.com say thank goodness MGM . able accomodate we future get personal convention business . stay PLANET HOLLYWOOD BELIEVE CONFIRMATION receive not appreciate patron . travel lot know good hotel service place . 
 Nov 4 2009 	 recommend resort everything need 	 stay five night . would highly recommend hotel really clean great location brilliant restaurant shop . planet daily great place breakfast . room spacious modern big bathroom also . side get queue reception long wait age check fall . casino great really fault would def go back . 
 Nov 3 2009 	 Great Location Good Value 	 Room clean . service well . great location nearby attraction restaurant . the Lunch buffet good price coupon . overall great value money . Self Parking bit walk room . Valet Parking overcome issue . 
 Nov 3 2009 	 trendy 	 Love place . like shop like place mall ground level . room clean , nice decor convenient . go Las vegas 3 - 4 time year everytime come stop cafe Planet Dailies banana split die ! ! ! make sure someone share 's huge ! ! ! probably good 5 people . although sandwich little greasy . brunch ok ' ve try well one . overall place nice . 
