average 	 hotel clean & amp ; well present . easy access 02 dlr one tube stop . room service meal poor price & amp ; good . breakfast also poor £ 17 per person lukewarm cook breakfast ideal . 
 Oct 1 2009 	 cliff richard show 	 stay Radisson Edwardian one night , excellent location , good service , good position O2 arean , breafastfast good nice view river thame , far tower , go river train . good value money . 
 Oct 1 2009 	 total waste money 	 attend reunion function weekend doctor train Royal Free . stay Radissons Glasgow elsewhere expect certain level service care hotel . could wrong . note anybody go , make service charge pay drink bar ( 12.5 % ) . question general manager tell receipt say discrectionary receive bill pay ! sign say optional service charge going make . say general manager make comment . table friend order wine , pay notice bring wrong white wine . tell incorrectly place order , yet tell waiter point want . told not matter would able taste difference ! ! ! ask bring wine list tell number want prove order correctly . disappear never return . charge 12.5 % service charge treatment . consultant table want share glass wine colleague glass clear away , ask new glass tell dishwasher available ( get strange minute ) . insist , waiter bring tumbler . another friend buy drink bar charge 3 different price drink ! meal unbelieveable , starter diabolical smoke fish dish follow good could describe mediocre main course pudding , say . poach pear like poach pear ever taste . unripe uncooked try cut knife fork ( difficulty ) ! many friend colleague would strongly complain leave Monday . general manager ask put writing email , yet reply . intend contact rest people attend get view ( already know many already complain ) . isolate incident everyone else experience kind prob lem bad . 
 Sep 24 2009 	 Excelent hotel excelent staff 	 stay go show O2 . first visit hotel must say impressed service receive . staff extremely friendly efficient . check , room upgrade suite nice surprise ! quality room bathroom superb definitely would recommend hotel . 
 Sep 15 2009 	 good customer service - yeah right ! 	 partner arrive hotel , look pleasant thought would well weekend ever ! oh wrong ! valet service park car we , check stay one bedroom suite . room nice , clean , spacious .. everything expect ... problem start ! book take two package recommend spa , look beautiful .. leave partner feeling relax one side body ! full body massage recieve reason mean massage one leg - funny qualified beauty therapist 100 % sure full body massage involve massage leg one . present misunderstand part therapist could understand english properly partner say ankle massage lightly . get ready go evening , make call reception bring car front .. tell car start ! going see what s wrong car ( arrive hotel car problem ) , partner speak rudely duty manager call Tibor . tell fault car start , valet service could done anything wrong ! inspect car , partner find light car leave ( switch arrive daylight ) effectively kill car battery . still tell fault ! top , Tibor start give advice think car ( obviously train mechanic ) . wait around age , talk manager , finally call cab take we hour early . stay hotel well know brand name attach , one would expect impeccible customer service pleasant stay , recieve . next day wait extra hour mechanic call we , hotel ( believe fault . ) extra hour , try get hold room service also difficult process . phone answer ring three time , find menu room monday sunday . tell menu phone - professional ! mechanic state hotel fault car fiasco give quick apology , free upgrade book pay room next time stay . partner expect luxurious relaxing getaway weekend , turn total disaster due rude customer service manager hotel , delay room service ( may add take hour room service deliver 2 bottle water ) half full body massage full price . positive note .. room beautiful .. that s look book room radisson . 
 Sep 14 2009 	 wonderful hotel 	 stay long weekend . good hotel ever stay . room beautiful . bathroom outstanding . staff excellent . great location . would definitely stay . 
 Sep 10 2009 	 perfect stay 	 stay two night Hotel , check check every part stay perfection . room large exceptionally clean . Breakfast delicious good I ve ever staff always courteous professional . would definately stay next London . 
 Sep 8 2009 	 beautiful 	 stay hotel june honestly say far nice hotel iv stay . greet door welcome hotel . first nite stay go concert o2 . go front d ask someone could phone we cab , expect black taxi come pick we , little know private driver escort we o2 , pick we . feel like royalty.the room modern , bathroom gorgeous , staff really go way , always come back . 
 Sep 7 2009 	 great week - end break 	 return weekend London . check Trip Advisor , decide upon hotel ' m glad do . the rate offer weekend good first impression walk lobby positive . contemporary , clean decor continue room . , opinion , real attention detail bathroom fab . ' basic ' room extremely impressed . would definitely pay upgrade stay ! Friday evening decide eat restaurant , get late . great atmosphere , food good service . Greenwich Park mile half hotel - run Saturday morning - would make great outing . plenty shop cafe . view London fabulous . Blackwall DLR five minute ( maximum ) walk - little concerned read scary walk back hotel review . however , never feel problem . Saturday night walk back Blackwall go eleven pm . well lit feel safe we . in opinion , lovely hotel high standard . would recommend friend without hesitation . 
 Sep 3 2009 	 Superb Hotel Great Location 	 spend 3 night hotel say value money good hotel stay whilst London . enjoy superior room view Dome . room spacious , modern . areas hotel spotless , staff extremely polite helpful . location superb , 10 minute walk tube station Canary Wharf . can not praise enough . 
 Aug 27 2009 	 not tempt Low Rates 	 stay four - day sight - see trip . hotel look nice , offer cheap rate , go ahead book . location though terrible . think be Canary Wharf , fact , be good 20 minute walk away Canary Wharf / Jubilee Line / shop / restaurant . nothing really around hotel . cab Tube fare , scary walk Canary Wharf hotel , be well stay close city . problem service . every time interaction staff , leave unimpressed . really steam need cab airport early morning . call concierge help , since five we . tell alternative 90 quid ride black cab . ask cheap alternative , say . , pick free flyer , call cab company advert . pick van , friendly driver , 55 quid . really , not concierge ? feel like bloke clue , either desire help . bad enough stay middle nowhere , not need compound bad service . 
 Aug 27 2009 	 one good hotel London 	 bedroom allocate & quot ; absolutely beautiful & quot ; bathroom elegant great view O2 surround area . service check checkout fast efficient , Valet parking , not worry parking car . bar - quick friendly service . cleanliness room outstanding . breakfast brilliant ! fact breakfast serve 11.30am weekend mean not feel rush , great end perfect stay . book three bedroom corporate stay client . would recommend hotel want impress good client without doubt ! new providence definitely one good hotel London . 
 Aug 26 2009 	 Great Hotel 	 great hotel Docklands . easy access DLR London City Airport . room new comfortable . free wireless internet access . get rate 80 GBP per night Radisson website outstanding value . highly recommend 
 Aug 24 2009 	 Super view - super hotel 	 enjoy weekend stay wonderful hotel . book junior suite fantastic view floor ceiling curve window bathroom straight fashionable magazine , complete walk - in shower , luxury bath twin washbasin . the hotel tuck away Providence Wharf lie close DLR Station . the O2 building lie side river - photo attach . staff friendly , bar great super choice cocktail . breakfast plentiful tasty ! stay super room ! 
 Aug 24 2009 	 stylish comfortable stay 	 service check bar excellent , breakfast little slow not hurry problem . room comfortable , apart sofa bit & quot ; upright & quot ; , laminate flooring give slightly less luxurious feel although appreciate 's practical . unfortunately tv bathroom not work aircon bit noisy side . location nice quiet good view / impressive surrounding , find convenient relaxing although might prefer close hubbub west end . love decor room areas hotel , bathroom / mirror little dark side , keep decor flattering ! 
 Aug 23 2009 	 great modern hotel 	 Hotel impressive . book hotel view across river disappointed give room overlook car park . also check , couple next we give free upgrade anniversary even though already tell guy check we anniversary , offer upgrade , disappointing . however , room lovely , comfortable big bed , flat screen tv , Wifi access , mod con bathroom fantastic , modern stylish .. spa facilities fab , great place relax break , although hotel pool state website . shuttle boat across O2 nice bonus , load bar restaurant choose . booking , try stress want river view may disappointed . whole pleasurable stay would recommend hotel anyone visit O2 . 
 Aug 23 2009 	 great hotel 	 back one night saty lovely hotel . easiset find form Dockland Light Railway station well worth effort . love everythign hotel . check ion efficiently do friendly memebr staff . room amazing bathroom large room stay . view river thame good ahve ever london.the spa well worth visit ahve time , real place relax steam room , sauna six different type shower warm lounger . breakfast pricey consider excellant room rate get worth convenience eat there.not convenient want night centre london want ti visit london relax base affordable luxury . 
 Aug 12 2009 	 Luxury Docklands 	 fantastic stay , right middle dockland . room great lucky enough front , great view river directly opposite O2 Arena . service ecellent staff could enough . 
 Aug 11 2009 	 sleek modern hotel dockland 	 book hotel last minute get great price room . hotel 5 min walk Blackwall DLR . queue reception receptionist friendly helpful . room modern bed huge . bathroom also nice great shower . there lot immediate area hotel DLR close easy get back central london Greenwich 
 Aug 10 2009 	 Good Value 	 hotel long walk Canary Wharf use Blackwall ( DLR ) , shuttle bus weekend . lovely room , clean , pity lukewarm bathwater . Liked mineral water reception - nice touch . fridge unusable stuff . 
 Aug 3 2009 	 Outstanding Canary Wharf Hotel 	 stay several Canary Wharf hotel honestly say facility standard hotel second none , location excellent waterfront shuttle service bank perfect stay business traveller also great location O2 opposite . 
 Jul 30 2009 	 good value money friendly 4 star hotel ! 	 Fiancee originally choose hotel go Michael Jackson concert O2 Arena , choose purely location . obviously gig cancel , make arrangement get ticket dirty Dancing Aldwych Theatre instead . reason visit . I ' ve get say be one posh yet friendly comfortable 4 star hotel stay . allow early check request extra charge greet warm friendly welcome . need get taxi concierge actually open cab door we . ' ve experience many 4 star venue . room class superior room believe standard room ! massive king size double bed comfortable , mod con expect flat screen tele , telephone , tea & amp ; coffee facility , iron board , radio mini bar . room also dock station Ipods ( even shuffle ) computer internet access . also temperature control air conditioning , great be always boil hot hotel like ! bathroom probably well design see hotel stay . check website pic see mean . feel comfortable stay . although not spend massive amount time hotel apart sleep , short time spend great . not get use leisure facility though manage drink elegantly design bar comfortable lighting lcd tele big screen sport . restaurant candlelit like , though not eat . £ 78 ( room ) late room certainly good value money ! even share breakfast £ 17 room service consist full english fry , toast , orange juice , tea coffee , yoghurt , croissant cereal . would definitely recommend hotel anyone . downside be really near Canary Wharf tube station . would estimate 15 - 20 minute walk 's know get . taxi outside tube station cost we £ 6 hotel . aside , be one good hotel ' ve stay . top stuff . 
 Jul 30 2009 	 absolutely brilliant 	 impressed aspect hotel , modern contemporary , room well equip quality fixture fitting , thoughout , great detail give interior design include Bang & amp ; Olufsen tv , bathroom amazing , free stand bath fantastic view Thames 02 Arena . without doubt , good hotel ever stay , would definately use highly recommend friend family . bit cautious nouveau menu food arrive , cook perfection presentation amazing , do not want leave , wish time take opportunity use spa facility , maybe next time . 
 Jul 29 2009 	 sleek clean new hotel . 	 hotel well fit look like high quality finish . room clean lovely rain shower separate bath like ! staff fine answer couple question go way overly helpful friendly - eg . one point direct use internet oppose question answer staff member . not mind make feel bit like would nuisance ! arrive first night 10.45pm ask restaurant still serve food . tell serve 11 pm go straight restaurant tell we kitchen switch oven could get bar snack . think hotel size could serve food restaurant time state reception ? ... 2 pizza bar menu - fine box we not eat without we ask , nice . breakfast good , seem like quality stuff , ie . cheap sausage bacon ! little moan serve horrible tea second morning , whereas previous morning give pot . thing would mention apart hotel not cheap one market high end little thing ( like nice tea ) need maintain ! excellent service one waiter breakfast start day well appreciated ! get tube Victoria hotel . last section DLR . book info recommend get East India stop , however find Blackwell / Blackwall ( something like ! ) much close hotel . quote £ 25 taxi glad get train . we good stay would recommend hotel other . 
 Jul 28 2009 	 Modern comfortable ! 	 stay one night hotel , little hard find , ask couple people eventually figure near tube . check problem one key , use one . room modern . sure feel male butt wall art , everything else clean , modern enjoyable . bathroom glass wall shower plenty room store clothe need . couple restaurant near well McDonalds . 
 Jul 28 2009 	 nice staff enhance sleek hotel 	 stay 24 - 27 July 2009 business / leisure weekend . via well know break site get good rate . room standard double side view new building pretty - well all - new area . ask high level room river view ( site 's booking form request field ) not get : however price complain . I quickly settle room like . bed normal double size , good quality , top velvet cushion throw . angle window seat coffee table , screen organza drape . big wallmounted tv , good desk excellent lighting throughout . fast , free , simple wifi perfect . one wall socket break . tea / coffee supply nothing fancy biscuit . mini bar fine . bathroom ( room 218 ) adapt disabled guest ' use spacious - like , needless say . bathroom wet - room style . Gilchrist & amp ; Soames wall - mount toiletry ok bit scentless . shaver point break concierge service adaptor 5 minute . the overall feel room modern , executive calm . certainly quiet aircon keep thing cool . window open . room service quick delicious smoke salmon bagel sandwich chunky chip £ 9 within 15 min twice order it . just every member staff friendly smile ' hello ' . bowler - hat concierge meet taxi executive style helpful direction . check - in reception chap friendly informative ( although check senior member appear round corner put paper front , ordering & quot ; right next time ! & quot ; rude guest ! ) .A colleague eat restaurant food fairly - price good throughout delightful service . tasty rib - eye type steak side £ 13 . Scotch whisky £ 6 go Famous Grouse cheapest - price expensive brand , oddly . bar service good . breakfast offer various option £ 17 full selection . couple option surcharge like scottish kipper . buffet selection fine , hot cold ( good fresh fruit ) . porridge ( supplement ) bring fresh table . ( want go cheap , 's Macdonalds 5 minute ' walk away . ) spa ( pool £ 5 day pass ) hotel - not try . however range treatment comprehensive over - price . Blackwell Docklands Light Railway ( DLR ) 10 minute ' walk away link underground ( Tower Hill good change point ) town . hotel seating outside , amongst attractive planting , terrace area overlook river O2 . - notably friendly hotel , executive feel stuffy , quiet setting near impressive tower Docklands . downside travel bit get town . call - positive trade - off visitor ! 
 Jul 27 2009 	 Modern Oasis river 	 girlfriend stay 18th July . arrive 12 midday room ready we . Valet parking cost £ 12.50 , reasonable london . upgrade one bedroom suite £ 40 well worth . do not river view would like room make . large living room din area - medium large size bedroom fantastic bathroom . 3 room tv stereo . the service excellent , apart extra dressing gown ask never turn .. be picky . drink expensive , comparison bar club . would expect 4 - 5 star hotel . we go London day , cocktails lunch , follow dinner brazilian restaurant girlfriend die try o2 village . try propose day every time feel like right time something would happen ruin moment . eventually sit gorgeous terrace hotel overlook river brightly light o2 directly opposite pop question ( say yes ) . would like thank hotel helping make special day , plan wedding back date year celebrate . thank radisson ! 
 Jul 23 2009 	 great hotel . 	 great hotel , great staff . fault find someone shout & quot ; action & quot ; outside room door 07:30 morning , film crew , have not warn , breakfast good hotel near dockland light rail . 
 Jul 22 2009 	 horrible experiencewould stay price . 	 Room book via hotels.com day stay telephone hotel check reservation order stay radisson hotel check strong point , pass 4 different people hotel tell sorry reservation , tell book reference number hotels.com interested , spend 2 hour sort hotels.com find radisson fault spend next morning phone hotel trying find go give room delay trip half day , send email manager hotel complain I m still wait reply , poor . I would say hotel typical 4 * nothing special room small little bottle shampoo etc big bottle shower / shampoo screw wall 2 towel bathroom , poor lighting , tv complicated operate , bed uncomfotable bad travelodge bed 2 pillow , noisy air conditioning , 20 % room river view rest either look people flat main road / motorway , poor location would walk around area surround hotel dark . staff hotel snotty , would stay hotel pay . 
 Jul 20 2009 	 Amazing Hotel - could not fault 	 moment step foot hotel , make feel welcome . receptionist check we remember voice telephone call make early week , without hint . room absolutely spotless . walk shower / wet room amazing even able use supply ipod docking station ( leave mine home ! ) . car parking fantastic 12.50 great view o2 . dlr nearby really helpful short journey cab later night . would def recommend anybody . 
 Jul 20 2009 	 Excellent Location Excellent Hotel 	 stay recently say enough hotel . staff extremely professional friendly giving advice go see . stay superior room dissappointe . excellent spacious . the location great O2 , thame . train station close , approx 5 min walk canary wharf couple stop train 10 min walk . hoping stay January . 
 Jul 14 2009 	 great hotel 	 nice hotel . everything new clean . bathroom great . staff hotel nice . food resturant ecxelent ! 
 Jul 8 2009 	 Nice hotel ............ . 	 glance hotel right thing , neatly style bedroom , good bar area , tick box casual business stay . we stay night goto event o2 , hotel great view I m honest , hotel check reasonable opposed swift , bedroom well appoint - Bang & amp ; Olufsen tv etc , wet room stlye bathroom however notice toilet break , notify reception assure we whilst dinner would fix , go bar drink prior meal , get give cocktail menu ( quite good pricey ) , 25 min nobody come take order , leave reservation without drink ! ! return hotel 10 pm find toilet new button , still not flush however , phone reception say would get back we ( 20 min pass ) , phone tell could not move we fully book , tell unacceptable 'd check unless something sort , oddly enough tens min later get phone call say room , finally get room little 11 , take shine day . on day checkout whilst wife shower decide put light bedroom , lightbulb shatter blow fuse room , leave wife dark , shower , informed reception send maintenance man ( screw driver ) look ask check , say , leave we say would fix room , check make thought duty manager time experience , say would email back response date none come ( stay 18/06 ) , bizarrely automate response Raddison regard feedback , addition also email hotel direct chase complaint even get response that . overall , dissappointe service , hotel ok , hope anyone stay not explode lightbulbs toilet issue ..... today market would thought service parramount , clearly . 
 Jul 6 2009 	 enjoyable 	 Welcoming hotel staff ( much appreciate long journey ) . nice room , excellant disabled facility spacious bathroom . good meal enjoy restaurant great view O2 Arena . 
 Jul 6 2009 	 stay anywhere else wharf ? ? ? 	 Radisson NPW fantastic hotel - service excellent , facility excellent within easy reach transport link O2 . organise event hotel hear fantastic review company 's traveller , experience . restaurant food standard hotel food , far top quality food top quality service . spa excellent offer relax treatment . room minimalistic , stylish late mod - con . , whether stay business pleasure , would highly recommend hotel . 
 Jul 2 2009 	 Overnight stay 	 Hotel clean , staff attentive . Wife eat restaurant , say food good . would stay . 
 Jul 2 2009 	 true bit luxury 	 modern relax hotel great view Thames O2 arena . the staff bar attentive make sure never empty glass . the level service rest staff second none would go extra mile you . I recommend hotel family friend without doubt . 
 Jun 30 2009 	 new London apartment ! 	 girlfriend lucky enough find late booking deal well know site offer mystery hotel last minute , . pay bargain rate 2 night stay 25/26 June take show , food typical tourist attraction around central London . get around London easy enough , be young virile ten - minute walk Canary Wharf tube Jubilee line give great access , 5 minute Blackwall DLR get transfer . - concierge delight help direction everything else could ask stay , unlike high - end hotel group knack hire sullen front - of - house staff . I never bother write review , feel strongly enough experience : NPW actually sit tell people . the room clean , well appoint classy fitting electronic view special get right room . staff delightful , cleaner bump land guard hut bottom street ! - city rush frequently unfriendly London , veritable smiling , polite folk . we will back , even can not get remarkable deal . - absolute pleasure , thank ! 
 Jun 27 2009 	 great place O2 	 stay night O2 . good hotel , nice room helpful staff . nearly travel train valet parking £ 12.50 24 hour cheap parking local station . on night stay Jubilee line action take advantage free ferry right outside hotel - could not easy . on negatvie side , be much else area bar shop Canary Wharf 10mins walk away plenty option O2 . definately stay next time come O2 event . 
 Jun 26 2009 	 thank lovely Stay 	 stay Hotel Concert O2 Arena , 5 minute taxi . hotel fabulous , definately 4 * . staff fantastic , nothing problem . little bit centre London take 10 minute get underground . lovely spa Hotel take liberty try feel totally refresh . already recommend hotel family friend London definately book Radisson Edwardian New Providence Wharf . 
 Jun 23 2009 	 Good Modern Hotel 	 husband get really good deal 1 night stay hotel attend concert O2 arena . room good size modern feel bathroom well lay separate bath showerThe hotel 5 - 10 minute walk dlr station make get O2 nice easy . 
 Jun 23 2009 	 place West End girl ........... 	 choose hotel proximity O2 arena going see Pet Shop Boys . fantastic view O2 arena full length bedroom windowbathroom divine massive walk shower seperate huge bath tub . bed super comfortable quite unusual style ( Leather ) Nice B & amp ; LCD TVAll excellent stay would throughly recommend 
 Jun 22 2009 	 great hotel ... 	 great hotel , good location ( although dlr station might bit trek elderly / infirm ) . good size room , excellent decor high quality fixture fitting , aircon . good selection beer food bar ( rather expensive though ) .Really ' fault hotel , practise include service charge every purchase bar matter big small ( seem completely random amount ) well cheeky bad downright fraudulent . problem leave tip waiting staff leave bar staff excellent , practise staff decide tip want serve bizarre . % 25 service charge one bottle lager ? great hotel , woud not stay , huge amount hotel stay London , rip ... 
 Jun 19 2009 	 great deal great room great hotel 	 book suite stagger £ 164 ( ex tax breakfast ) room sixth floor . not get view thame like room , instead could nosey swanky apartment adjacent , tantalise view Canary Wharf tower . we travel hotel DLR Bank effortless , even five minute walk get Blackwall - not way put fact look like long way Canary Wharf . fact , morning 's free shuttle bus CW cut single change DLR Poplar ( even not inconvenient ) .The room would describe scandinavian minimalist - not expect large picture wall , equally not think mean clinical , cold furnishing . functional yet relaxed feel suite pretty spacious . well standard Radisson B & amp ; tv , two iPod - enable music device ( Bose Soundwave alarm clock iPod dock ) - small feature , worthy one traveller not lug cd around wherever go . room feature complimentary WiFi - chain not generous - wife enjoy pedicure spa . not eat restaurant , pop bar cool ( pricey ) .The service good , room service breakfast great overall fantastic time . ' m closet fan Radisson hotel would chose chain - hotel - nearby Hilton Marriott day . Quick note - stay go concert O2 , literally water hotel . however , still quite tricky get use public transport . either need take cab ( c. £ 12 ) take DLR Poplar change Canary Wharf pick Jubilee Line O2 . 
 Jun 19 2009 	 Good Hotel 	 Excellent helpful service , good position , clean new , overall comfortable stay . would happy stay London . 
 Jun 18 2009 	 simply best 	 outstanding hotel breathtaking view Thames , Rooms fantastic , particular spacious bathroom , staff second none fabulous buffet Breakfast also 
 Jun 14 2009 	 outsanding room affordable price 	 stay hotel 10 June . room rate excellent quality room available outstanding . hotel short walk ( 10 min ) Canary Wharf also serve DLR free shuttle . give edge Canary Wharf size room tremendous location river mean many room River Views - room enormous 4 window look River . hotel clean , excellent reception staff can not enough . bathroom facilite excellent large free standing bath ( window ) . go back , regularly . 
 Jun 14 2009 	 peaceful hotel great stay O2 . 	 stay husband 6 friend Saturday 6th June attend concert O2 , arrive half hour early check - in problem immediately give room key .... park outside hotel hand car key valet parking , complete efficiently request car back morning - not wait long 5 minute . ask could room next receptionist say hotel full could arrange ... although hotel never seem many people around . go room pleased saw , room spacious modern decoration ... bathroom extremely clean lovely deep tub walk shower , bed comfortable finally go bed night - curtain keep light room completely . bar nice , pricey would hotel bar .... relax over - crowded . never eat restaurant hotel can not comment quick peek breakfast morning look appetising . receive courtesy call reception ask anything need hesitate contact . get cab straight outside hotel O2 jubilee line run , £ 15 4 people think reasonable .... read response last message lay ferry service O2 would extremely helpful least know next time ... ' m sure return hotel . morning go swim small pool across road hotel - also sauna steam room , apparently suppose charge say hotel let we free ... floor ceiling window great view O2 . go back room get ready check quick easy process . the hotel really nice would definitely plan stay - downside jubilee line run obviously hotel 's fault begin ferry service long issue ... pleasant stay happy hotel . 
 Jun 13 2009 	 Perfect .... nothing much trouble ! 	 one good hotel ever stay ! staff polite friendly , nothing much trouble , excellent location 02 , anything else easy get . room excellent , everyte need whilst away home . would definietly go back ...... feel like royalty : ) 
 Jun 9 2009 	 Lovely Hotel - Shame Canary Wharf ! 	 stay hotel 2 night - go see concert 02 first night sight seeing next day evening . unfortunetly plan closure DLR Jubilee line arrive get lose get hotel end get taxi ( fault hotel check see line run stay weekend major improvement 2012 Olympics ) . check fast efficient , credit card number take advance room service spa treatment . book superior room 5th floor . room lovely , modern large bathroom , unfortunetly request room overlook O2 ignore ( even hotel appear quiet ) matter enjoy view Canary Wharf , night concert get taxi back hotel Canary Wharf - £ 9 black cab - quite reasonable . during stay do not use East India DLR walk Canary Wharf tube find line convienient ( 15 - 20min walk ) safe although cross couple busy road , use Blackwall fine - find area intimidate all . check fast professional - tell £ 100 take account room service charge would refunded ( slight grumble do not mention take £ 100 account check ! ) .conclusion hotel great 02 Canary Wharf look city would stay somewhere close . novelty Canary Wharf wear 5mins - shop , restaurant etc chain store feel like could anywhere . prefer somewhere bit history culture . side note notice manager hotel read post - welcome book room would useful include map , transport link etc wide area - particulary plan tube closure summer amount guest stay hotel weekend 02 concert . 
 Jun 8 2009 	 great unique experience every single time stay ! ! ! 	 unusual big room London 's hotel great bathroom , great staff , great food . staff friendly even stress patience calm ... 
 Jun 4 2009 	 would perfect close anything except Canary Wharf 	 Excellent service accomodation . restaurant fair ; drink overprice . say 's & quot ; close & quot ; Canary Wharf DLR & quot ; 10 minute walk & quot ; lie . like twenty minute brisk pace . actually 10 minute walk Blackwall station . walk Canary Wharf along busy highway scary . great view Thames , especially dusk . would perfect convenient usual Londo tourist destination . nowhere decent eat except hotel without significant travel . 
 Jun 1 2009 	 fantastic friendly quiet perfect O2 	 first pull upto hotel know would good . staff fantastic friendly . simply can not enough . not hassle know around . hotel quiet . well stay . room good size overly price . stay Beyonce concert O2 find perfect location . short taxi trip away cost £ 15.00 . wait next concert book another room ! ! ! 
 May 30 2009 	 avoid regularly overbook send another hotel 1hr away way town 	 avoid hotel cost . drive 4 hour shift manager tell we double book send we another hotel 1 hour away london traffic road close due building work . thearea resemble building site close tube network city centre area not look safe . next day daytime shift manager Emile insist return edwardian radisson pay stop put evening manager , even though assure we could stay put rest 3 day visit extra cost . staff replacement hotel tell we radisson regularly overbook send irrate guest . book hotel peril . real life faulty tower . BOOKED HOTEL HUSBAND 'S 50th BIRTHDAY RUINED 
