purely 	 stay throughout 10 day stay along colleague , say pleasant stay . stay single room , though hotel big family room spacious comfort , even though spend much time work sightseeing . hotel one quite by - lane main london , tell one bomb blast happen right front hotel . actually not take taxi even bus get client 's place matter wherever wanted go , restaurant dinner near tube station , much with - in 5 - 10 minute walking distance . could walk crowd place London , Piccadilly square 10 min still come back hotel , right opposite silent beautiful park Mahatma Gandhi statue . overall hotel conveniently place kind activity mention helpful staff helped advise rightly we everything approach , direction indian restaurant nearby book we taxi odd time airport . thank well - define process place guest . 
 quite comfortable . 	 stay Tavistock week comfortable . room clean , water bathroom hot , bed fine , thankfully , lot light bed read . check really hot ask turn heat immediately . breakfast copious . 's true be friendly not need lot personal attention . want stay spring concerned review single traveler bunk people someone show door middle night . hope management read review . 
 value money great location 	 friend stay overnight way Eurostar , arrive 11 pm leave 6.30 follow morning . rather worried mixed review , room perfectly adequate , clean well - equip bathroom . staff friendly helpful . although leave far early breakfast , start 7 , staff reception anxious least try arrive ten minute early could probably accomodate - happen , leave early tea coffee facility room need . staff reception cheerful friendly left , could not fault . would happy stay . 
 good money 	 book Tavistock last minute give good room 8th floor , complaint clean adequate , face front hotel bit road noise not keep we awake . room warm cosy tea coffee make facility , haridryer tv . stay apparently switch tv near bed . the Bathroom clean well equip towel soap shower gelThe reception staff helpful courteous , lifts fine , restaurant staff friendly , breakfast good - plenty eat complaint tin tomato ! ! excellent location near EustonWe not read hotel would not stay would miss good clean reasonably price hotel London . 
 Oct 13 2009 	 absolutely marvelous highly reccomend hotel . 	 hello , return wonderful weekend Tavistock Hotel . occupy room 519 520 adjoining door . perfect situation carer young married couple & quot ; learn dissabilitie & quot ; . room beautiful obviously recently refurbish . would like sincerely thank housekeeper splendid job . they keep spotlessly clean room service officer chambermaid obviously take great pride work . thank you . the receptionist staff always courtious polite sometimes deal difficult customer . thank you . and day time porter forever answer question direction , nothing much trouble . thank you . in restaurant seat inside door wait great pleasure mature lady shoulder length hair , maybe spanish Maltese ? sorry name lovely . cook breakfast buffet style plenty . ceareal , fruit , fruit juice , sausage bacon egg scramble poach tomato bake bean toast fresh roll , miss anything ? bathroom new soap shower jel every day sumptous towel , bath hand face cloth . imaculate . tray tea coffee facility room replenish daily . flat screen tv freeview excellent reception .. handy late early news . in enjoyable weekend theatre cinema conference travel south Devon . I nearlly cancel booking reading report other trip advisor , glad ? ! ! 
 Oct 12 2009 	 maybe get pay 	 pretty cheap trip London cost £ 160 2 night , hotel little shabby lack soul , want somewhere sleep cheap sort cheerful ! specifically request double room get twin thought book full english breakfast get continental , honest though do not seem make much difference no - one seem check anyone ticket ! breakfast sufficient little haphazard please do not pay additional £ 4.50 upgrade ! 
 Oct 10 2009 	 affordable central London hotel 	 friend invite speak London university suggest book room . room pretty basic , be perfectly adequate people 's purpose . 's far Covent Garden , great area hang . fact 's free breakfast big plus London , food expensive . mention friend , also stay , grateful tip . 
 Sep 25 2009 	 extremely great value superb English free buffet 	 one Imperial Hotel chain London pleasure stay fall trip ! hotel great . must say tho help hotel front desk tad rude . ' ve stay Bedford County Inn two sister hotel also snippy front desk girl . first experience leave bad memory . hotel great value location wonderful . would stay , . bet ! ! 
 Sep 23 2009 	 basic perfectly adequate short stay 	 bit apprehensive reading quite negative review hotel . however family enjoy short stay . room basic bit musty smell sight - see day not spend much time room . staff friendly , especially concierge , breakfast delicious - set we nicely day . handy Tube bus . even check still able leave case whilst last bit shopping sight - see . pleasant stay certainly not encounter problem would read previous review . 
 Sep 21 2009 	 disgusting ! ! ! ! ! 	 stay long weekend wife , first room right nightclub noise horrendous do not get sleep 4.00 , room filthy , bed complete joke , change room saturday , upon turn shower water shoot everywhere.rang housekeeping tell would send plumber well 2 hour pass plumber arrive , go upon arrival back room someone take showerhead pipework replace shower ! ! ! apology given.so require hotel london want stay completely ruin hotel ! ! ! BOOK PERIL 
 Sep 20 2009 	 worth stay save money 	 Pluses -Nice Buffet style Breakfast serve 10:00 egg , toast , cereal , sausage , bacon ! Free Wifi lobbyclean sheetslocation near underground ( everything near underground ) concierge helpfulminuse -No individual room A / c heat controlroom incredibly old smallfeel smell like dusty hostelkill mood city outside give 
 Sep 20 2009 	 good value - great location 	 little apprehensive reading negative review however , delighted discover hotel ideal requirement . staff reception friendly helpful room , albeit small , clean perfectly adequate . room clean daily problem encounter toilet flush system deal efficiently . fact immediately give access vacant room opposite problem resolve . continental breakfast meet expectation dining room pleasant . enjoyable stay excellent location . & amp ; B , Israel 
 Sep 5 2009 	 right 30 's ; perfect Bloomsbury ! 	 convenient two tube station constant bus . nicely locate little park , short walk British Museum one direction several block Euston station British Library . although renovate , still much period piece . internet available lobby area . bathroom basic . substantial hot ( ordinary ) cold ( limited choice ) breakfast . 
 Sep 4 2009 	 Good Location Excellent Bargain 	 hear horror story London hotel , especially far price cleanliness go , little hesitant book hotel £ 65 night . , good review location look great , go ahead book first four night stay London . pleasantly surprised . the hotel bargain hotel . bottom line . say , exceed expectation . arrive States Sunday visit checking . though state check time , give room right away . top floor overlook Woburn Pl . week , yes extend stay full 7 night London , problem noise . room clean huge bathtub bathroom , nice touch . bed small comfortable room make every day . complaint room warm , know expect air conditioning budget hotel UK Europe . breakfast pleasant surprise . full English Breakfast serve pleasant dining room . staff pleasant accommodate . location hotel great , perfect get around London . Tavistock Square right across street gem . Russell Square tube station short walk away , numerous convenient bus line right outside , rail station hop away . convenient one morning get early train Paris . reasonable place eat area , welcome city expensive London . great take away discover next last day block east Tavistock Place . London one great city world . first trip back 35 year , though Europe regularly . MO wander much , far wide . get weekly pass London area . pick Gatwick Airport turn also give reduction train ticket London . recommend get know bus . complicated , good way get around London really get see . fact , never problem get wrong , , bus seeing would take . know would take lifetime begin know London , bus good place start . 
 Sep 3 2009 	 decrepit end shabby ... 	 ' good location gutte investment 20 -30 million pound could become passable 4 star . moment , hair 's breadth pack packer ' hotel ... else impoverished 18 yr old could expect put poorly insulate room , air conditioniing , mini bar , hair dryer , room service , internet tiny room feature time warp 1970 's furnishing , includie clunky old box tv receive 3 channel ... ( mention cake gift wrap carbolic soap worthy Romania circa 1978 ? ) . staff .. seem resign sink ship count day go .... certainly seem interested try save . 
 Aug 27 2009 	 Hot Hot Hot ! 	 ' ve time . room control temperature . big hotel old building . heat crank unbearable not real incentive anything . good location mean squeeze lot business basic product .. 
 Aug 18 2009 	 ok hotel needs update 	 outside hotel look quite impressive not quite make go inside . park opposite really nice Russell Square tube 5 minute walk road . room ok size hotel really hot , even September room not AC badly need , either good fan ! hallway lifts , hot . sleep window wide open take age get sleep obvious London roar go 24/7.the room stay high feel like roof . window seme really flimsy expecially high not like bit height phobia . the bathroom ok , everything work fine . not actually spend lot time hotel due work spending time London . the room tv not work ! breakfast ok . usual thing available staff nice . overal , be ok place stay many well . similar price , could stay Holiday Premium Inn clean , modern AC room . 
 Aug 17 2009 	 Nice area hotel could use update 	 choose hotel reasonably price far king Cross / St. Pancras station arrive . locate nice neighborhood , directly across lovely sit park . staff friendly enough , although many appear speak good English . service basic good . actually tell one breakfast staff would move small table would not clean large one choose . room well proportion , however , ventilation system hotel . summer month , upper floor stifle . look well service comfort next time . 
 Aug 9 2009 	 value money hotel great location 	 return two night stay hotel , read review leave , weary book , however delighted find , enjoy stay much likely use hotel . book 3 twin room locate 7th floor , ( bonus get two ajoine door ) clean comfortable good size London hotel . arrive early able leave luggage extra cost , departure use service porter could not nice . eat Jacques first night , food ok nothing special , ( probably would not use option ) breakfast buffet excellent good choice , keep well stock everything hot . whole would book hotel , stay imperial hotel Tavistock friendleness , cleanlieness location tick box . 
 Aug 2 2009 	 Reception Staff Unfriendly 	 granddaughter return 3 day Paris - 3 day London trip . stay 3 night Tavistock Hotel July 25th July 28th ( check July 28th ) . hotel clean good continental breakfast morning . room comfortable warm . thank goodness window open air room feel & quot ; stuffy & quot ; . give one towel per person per day , bath mat stand , hand towel , course face towel . ( rememger pack face towel ) . problem tour book pay prior trip , need fax copy voucher Tour Company . staff tell fax machine , could go around corner send fax .... find machine . staff seem unconcerned even see stress great deal . granddaughter put 20 pound deposit get hair dryer later refund . bad hotel kind centrally locate staff seem unfriendly helpful . also put 10 pound deposit use phone . could dial 800 number hotel phone system set take 800 number . forgot mention go bar get 2 glass water . 
 Jul 25 2009 	 pleasantly surprised 	 book hotel fairly last minute city break child read review have book wary expect review fairly negative .we arrive twelve check 2 , allocate twin room straight away , i d e- mail advance ask room front next away bar bowling alley basement hotel ( worth visit ) give rear room overlook everyone else room sheer drop 7 floor young faint hearte ! room hot stuffy air con surprising age building do not spoil stay room basic clean bedding towell change every day room clean thoroughlywe book direct give 3 course complimenary dinner first night take jacque bar within hotel could opt 4 hotel within group , nice meal choice food course , drink include , good find somewhere eat first night staythe breakfast good choice continental full english could go buffett many time like fresh tea coffe bring table upon request.the staff pleasant hotel comfortablethe location excellent within easy walk distance euston staion russell square tube station selection shop every day supply along wayalso bus tour company situate around corner hotel worth tour haggle price , get discount seven pound per person ) would recomend hotel comfort great location value money 
 Jul 24 2009 	 Art Deco reception great breakfast 	 often stay Tavistock one sister hotel do last 15 year least 4 time year- love Tavistock lobby pink granite art deco fixture fitting ( pretty modern repro ) great value always quite pleasurable stay . obviously sometimes mix - up minor problem room ( hotel VAST ! ) else leave note Managing Director reception ? usually end stay front hotel overlook Tavistock Square- fine us- lot people ask move rear room away road noise ( Hey- 's city ! ) really not bad . air conditioning room again- welcome england- rarely warm enough justify . breakfast freshly make know milk , sausage bacon etc come farm Hatfield . 's lift service , porter bag storage go last minute walk around town need check . room phone easy use , tv functional information channel well honest not go new city watch tv ! . dining room hectic get lot people crowd last minute . reason dryer iron room hardly anyone use available request ( give free use self service laundry splashed coffee shirt ! ) thing really not like coffee rooms- powdered water London hard never make terribly good coffee ( I ve never use milk powder ) . balance though- good hotel well other class- stay other way expensive- yeah hairdryer , yes cream room coffee worth hundred pound more- recommend Tavistock . 
 Jul 22 2009 	 small old great location 	 stay Tavistock three night good experience overall . staff friendly helpful . answer question help we several occasion . room small rather old wear comfortable suited need well price . sure book directly take advantage free three course meal first night stay . however , ask get coupon meal . close enough Russell Square able walk tube room luggage quite easily . neighborhood nice seem v ery safe . breakfast okay , fantastic . buffet free room nice . overall great deal money . 
 Jul 19 2009 	 hotel update since 1970 's ! 	 expect modern , clean & amp ; welcome hotel , not book ! hotel extremely date shabby . room dark small face onto central block room , move room bar next one well noise constant air conditioning unit outside keep awake night . mod con , good sign state could send fax hour 9 5 pm ! say hotel pretty full , breakfast include price excellant location would though suggest try either Travelodge Premier Inn area , least get clean modern room . 
 Jul 12 2009 	 get pay 	 not come expect luxury premium service . old hotel show , 's bargain price London excellent location . room small basic , decor wear shabby , bedspread shower curtain , be almost inevitable mould somewhere bathroom , complaint . bathroom , bedsheet pillow clean , tv work ( could not get Channel 5 be rarely anything want watch , unusually ITV2 Film4 well german italian channel ) , ample soap , towel toilet paper , reception staff friendly efficient . 4th floor trouble noise view central plant machinery . not want people room see , draw curtain . weather warm , not need open window . would never expect air - conditioning £ 65 night include english breakfast . Breakfast offer good spread usual stuff , well kipper , would say definite plus although not eat . warning would give try avoid peak time breakfast . 8.00am Saturday time leave 9 am long queue wait go . 
 Jul 4 2009 	 Perfect Location 	 five night February , would rate pretty ok hotel . 's relatively short walking distance nearby tube station , make accessible Heathrow Airport town . prefer dine hotel , load corner shop Tesco 's 24 - hour outlet 6 minute walk away . the Buffet Breakfast ideal . shortcome hotel small bed provide . 
 Jun 28 2009 	 night pure torture 	 music bar keep we awake 4 morning . room stuffy keep window open , smell cigarette ( bad ) keep drift room . finally get sleep around 5 wake around 8 bottle night club dispose . 
 Jun 24 2009 	 bad Bates Motel . 	 room awful , worth $ 25.00 per night . dining room staff rude . dining room smell table dirty . Imagine spoil overpower rotten fish smell first thing morning . have pay deposit hair dryer go housekeeping office shampoo . bed large depression pillow little one inch piece foam . reserve room buy one night get one night offer even worth price . check receive receipt correct amount , get home credit card charge two room every night . work credit card company correct overcharge . stay ! 
 Jun 21 2009 	 Home home 	 stay half dozen time ideal location St Pancras centre London . breakfeast excellent always freshly make varied choice . bar reasonable price wine £ 2 per glass Stella £ 3 per pint cheap local ! ! 
 Jun 7 2009 	 cheap hotel great location 	 stay Tavistock hotel one night . good location , 10 minute walk king cross station , close Russell Square tube station . walk distance many central London location - 15 - 20 minute walk away Oxford Street . clean basic . breakfast include room rate , average cook english breakfast . eat dinner Jaques wine bar part hotel , average . room small clean comfortable , tv include quite freeview channel . kettle two tea bag , coffee sachet milk . sachet . there also trouser press . bathroom mini soap toiletry . overall ok - would stay combination cheap price excellent location . 
 Jun 6 2009 	 good value money 	 nice clean hotel , free internet access . close bus subway station . 's good hotel reasonable price . 
 Jun 1 2009 	 great location air con 	 arrive euston station mid afternoon conveniently 5 min walk away hotel , upon enter grand exterior building grunt eastern european receptionist swipe card practically throw we , proceed room 631 6 floor another 2 min walk throw corridor , enter room feel like temperature 180 degree , scramble air conditioner horrified find not one.we open window leave city.the room extremely small yet perfect need for.breakfast self service not great , leave shortly temperature rise , check totally ignored.for price average service leave lot desire . 
 may 28 2009 	 Disgusting hotel - need hotel inspector ! 	 stay hotel book attend exam board meeting , use trip leisure also . go partner share feeling hotel . foul ! book prior book time 2 pm actually book 30 minute later - still prior official book - in time . staff reception rude arrive room become apparent we clean recently - ever ! wallpaper peel wall , room smell , towel threadbare bathroom leave lot desire . room fit picture post website . register disgust reception say & quot ; well still charge & quot ; .Shame great location . ' ve email hotel describe brief ( 230 minute ! ) stay yet hear back ! 
 May 26 2009 	 like student hostel 	 stay 4 night May 2009 . family 2 kid : 1 dbl bed + 2 single . enough room . remind dorm student hostel : ugly , outdated , clean , pleasant stay . . lamp , one main switch control flourescent light . rude staff , not expect help . basic soap provide , nothing else , washclothe , towel threadbare . front desk staff poor . radio , clock , iron . hairdryer though . one plug room recharge electric . next visit , ' m go elsewhere . 
 may 26 2009 	 Feet definately firmly ground 	 book triple room receive twin fold camp bed . bed push close together look king sized bed squashed single room . could not even put foot floor make cup tea ! ! ! bed looked definitely see well day could do liaison washing machine ( although may fallen apart ) . complain receive short , sharp response along line & quot ; fault book nothing could & quot ; - not worry , will not booking again . the scrambled egg taste have make mature milk staff look though recently taste sour ingredient ! ! ! ! would recommend hotel ............... not ridiculous ! ! ! ! 
 May 14 2009 	 place baaaad family friendly . 	 first , walk room two twin bed instead two full like expect . guess & quot ; double & quot ; room mean thing state . push twin bed together fit two adult one child room . view window center hotel . see machine sort . air conditioning unit ? though AC room . London never get hot enough expect AC hotel room hotel oven . leave window open cool since face inside hotel ( be set square ) everyone could see inside room could see inside everyone else 's room . the first thing son get open door run hallway . lock make difference since lock would unlatch turn handle . keep window shut awake could easily climb fall death . fry . hot there . at one point husband shave could not make warm water two separate knob temperature . grant could fill sink warm water like rinse soap hand face warm clean water , be screw . either cold hot . 's outlet bathroom European american plug outdate wrong voltage american plug will not fit new type prong one side wider . the & quot ; iron available upon request & quot ; iron room first floor . not iron individual use . we force pay crib toddler entire stay due & quot ; safety reason & quot ; deliver something two second fall apart . , something completely outdated , wooden crib doubt meet safety standard today . total waste money hotel space . not much start with . absolutely ammenitie . bar soap towel . bare minimum ! wash cloth , shampoo . tp scarce pray would not run every day . internet access public use computer lobby , 1 pound per 15 minute . help people figure use every time walk use , lean weird angle wrist would not cramp . see people use laptop lobby assume wireless access area . sure rest hotel room it . we hardly spend time room . evening do site see eat dinner still incredibly unhappy place . picture site make look wonderful ! ' m sure room show display BEST room have . Forgot mention elevator / lift tricky many time hold button get move . if want room service morning call ahead night . 
 May 10 2009 	 Excellent location average hotel 	 get three star location price . Euston rail tube three minute Russel Square Tube 12 minute walk away Tottenham Court Road / Oxford Street . mean not need rely form transportation enjoy nightlife West End . hotel bit wear - out . bed average room clean look bit tired . good place stay comfort priority number one . 
 May 5 2009 	 even 2 star hotel 	 want frill hotel . room unmodern ( ie need do ) air conditioning prepare baked weather hot . furnishing definately turn century . Rom really basic bathroom . breakfast include price go first morning breakfast . breakfast not anything special , nephew 5 could do well . service breakfast world , see waiter , get use cup tea , rinse cup little bit tea fill cup tea give customer . would put breakfast ? know might drink eat someone else 's plate ? really want cheap hotel go travel lodge roughly price go mcd 's breakfast . 
 May 4 2009 	 would recommend hotel ... 	 stay 3 nights- basic need update . request hair dryer twice - take already- would recommend people bring . also think hygiene issue food breakfast- put eat . otherwise location convenient . 
 May 3 2009 	 basic hotel- great location 	 basic hotel , clean . we arrive 12.30am ther problem check late hour , equally problem check 3 day departure either . the room small date clean that s good enough weren´t really plan anything sleep anyway . bed hard however hear noice bar / bowling basement , room 2nd floor . the location great though , Russel Square tube station minute walk away , Goodge street tube station . if need cheap hotel concerned location comfort , decent enough hotel . 
 Apr 30 2009 	 positive review 	 spend 12 day Tavistock 20 friend & quot ; Fan Fest 2009 & quot ; trip see Dame Judi Dench perform Madame de Sade . choose hotel reasonably price , conveniently locate offer free breakfast . we find hotel clean , safe friendly . experience noise problem mention review here . the staff helpful allow we gather late night lobby use laptop sit around visit fun . 
 Apr 27 2009 	 good location basic acommodation 	 deserve 2 star rating . room basic . plumbing make hell din morning water demand . bathroom look need makeover ceiling patch mildew mould unattractive , extractor fan seem ineffective . take shampoo / shower gel get 2 & quot ; x 1 & quot ; piece soap . keep window closed night outside noise A / c unit . breakfast ok although busy self - service restaurant . use side restaurant lunch , food average . 
 Apr 23 2009 	 economical good value clean great location . 	 book last minute phone hotel , easy £ 65 single , ask inside room- do not get view Tavistock Square keep traffic noise away . give room 8th floor , 841 look inside courtyard , slight noise air conditioe machinery night keep double glaze window shut okay . nice room , basic option £ 65 near Euston ( need early train next day ) limit small B & amp ; B 's vary state cleanliness . room clean , small double bed , nice sized bathroom , tea tray , nothing complain about- bed castor allow bed move bit , wedge dress table chair side bed . one night stay everything fine , good night sleep . breakfast hectic 8.15 soon quieten , main man efficient walk around help find table get waitier across sort tea coffee . Buffet adequate , load jam buttter table - tray hot toast appear regularly kitchen . checkout simple fast . not use bar can not comment . noise nightclub other mention , would ask room back want quiet night , view except hotel window , least less noise . would stay clean , budget en - suite room hard find central London . 
 Apr 23 2009 	 good hotel ... 	 base previous good experience hotel , book 3 room 4 travel companion 7 night April 2009 . great little budget motel rundown nightmare . problem mention previous review - noise lounge bowling alley every night . since Tavistock air conditioning , sleep window open necessity weather less cold . however impossible racquet go 0230 0300 hour every night bowling alley and/or bar . even close window effect . music loud party loud closing window slight effect . partying seem mostly come lounge guest hotel spill onto front sidewalk smoke . in addition constant noise 7 p.m. , bed bad 11 p.m. , get , get dress , go front desk tell get bed could sleep . ' ve never night 's sleep interrupt uncomfortable bed - sleep anything bed awful . not mine hear complaint guest elevator every morning . front desk staff responsive complaint send 2 bellhop remove mattress replace & quot ; new & quot ; one . obviously complaint have hear . pillow awful well . give one pillow size airline pillow another one appear big squish nothing put head . be topic bed , travel companion room next say bed nothing rollaway bed whenever try sit bed lean wall ( headbord ) since bed wheel , roll bed away wall try sit bed . brake wheel . awful . in addition run extremely poor maintenance old room , maid leave glass provide every day without replace clean one . room 2 bed one towell one glass . toilet flush time . breakfast include must say feature hotel good previous visit ( outstanding start least not deteriorate ) . however , staff leave dirty dish restaurant leave guest try use table closed section table without someone else 's leftover dish food . get quite snotty try get clean table show effort keep table open section clean . certainly not overwhelmed get guest coffee tea lousy job too . this last stay Tavistock . would recommend look elsewhere expect comfortable room good night 's sleep London . 
 Apr 22 2009 	 hotel service quite 	 book room travel agency Royal National , arrive discover bad hotel ever see life . give , wife child innaceptable room , paint fall wall humidity infiltration , mention incredible amount dust inside place . , call travel agent much insistence , transfer we Tavistock . stay one night , go Holiday Inn Bloomsbury rest stay ( MUCH , MUCH well hotel ) . room Tavistock , however , much well Royal National . simple , clean , sleep well , find bed unconfortable . however , part room bit run . nothing special , really . window double glazing , not experience noise night club situate hotel ( other complain ) . perhaps stay well zone building . personnel ok . girl reception desk bit cold . employee , responsible luggage storage check - out , friendly enough . people cafeteria breakfast serve . majority , other kind particularly efficient . continental breakfast let , particularly force eat table dirty ( mean dirty ) tablecloth , use guest , change new one arrive . something people report forum , find totally innaceptable , lack higiene . however , hotel much small horrible Royal National , , think , decent ( budget , not forget ) room , area around lobby much cosy confortable . 
 Apr 22 2009 	 good affordable location excellent 	 good hotel seek budget hotel comfy , clean easy accessI can not understand people grumble hotel ! hello ? ! 's wrong guy ? ! I m 28 yr old girl need go london sightseeing ... repeat , ! need well situated , clean safe hotel would budget 's reach , Tavistock perfect answer need . ideally situate 5mins away walk russell square tube station , convenient area really lovely safe people street till late , place deserted , shop around close late . many cafeterias round area bind eat hotel although do not grumble food . take breakfast always hotel excelent plentiful . staff helpful , girl reception quite cold do not need make friend , whole staff prity welcome helpful . love stay tavistock room big space put stuff , long do not plan dance waltz room big enough , well heat clean . would go ... even tomorrow could . 're budget want central locate hotel good , ' ve search hotel month know talk . grumble hotel , pretend 5star threatment do not pay go 5star hotel ? ! shame talk badly tavistock . comfy , welcoming , clean , safe , easy access do not make whole pocket ! thank Tavistock , could not ask 
 Apr 21 2009 	 Basic Hotel London 	 good location Center London , Russell Sq . area always first choice . hotel satisfy basic need bed , shower , closet , dresser breakfast . usually stay Royal National hotel ( next door ) time go Tavistock ( Royal National fully book ) , must say preferred R.N . – Tavistock good enough . view window nice ( Tavistock Sq . nice green ) lobby look like Jeeves Wooster episode ( 20 ' ) , R.N . bit update . bed sheet tear , mattress . together – low price – ' sufficient . 
 Mar 27 2009 	 Great Location explore London 	 stay Tavistock week friend 19th 26th , great weather . check 2:30 pm woman desk say room 4th floor not ready get 9 , 1st floor room availale would subject we noise street . nice say . we check room 424 front corner great view Tavistock Square Park . noise street could not sleep . hear thump club basement . double window keep street noise long outer window close . the twin bed comfortable enough sleep . good size bathroom deep tub sink . shower great pressure lot hot water . toilet separate room great shower use . one negative bathroom bite mildew ceiling obviously lack ventilation fan result steamy damp bathroom . would open window allow steam clear dry . the closet adequate need drawer teapot . tv great variety station ... problem we would rather exlpore city . one negative lack internet connection room . notice near front desk say ask DSL tell available room would use wireless available lobby bar area ... guest . the bar nice place chill pint explore London , deep leather sofas comfortable chair . we never use dining room breakfast although other appear popular ... although can not speak quality food . there another restaurant front lobby & quot ; Jaques & quot ; good enough menu daily special . one thing note decore like cafe upscale restaurant . the Hotel well situate near Russell Square tube station short 5 minute walk away . walk way Leicester Square back 20 minute bus run adjacent front door . I would stay although recommend ask room 4th floor wing away club , noise problem . 
 Mar 9 2009 	 dreadful hotel - not risk ! ! 	 stay 3 night december . originally book 4 night could stand stay another night . night club bowling alley live music hotel . thump music could heard evening night . due smoking ban , drunken customer staff would congregate night outside bowling alley right window , make lot noise cigarette smoke room . double glazing ? ? ? probably would not help noise came shake wall floor . night club eventually close 3 am drunken crowd wait outside taxi , let noise smoke . the room reek cigarette smoke time , people outside smoking . corridor hotel also stank smoke , even though non smoking floor . apart , room awful state . really grimy bathroom uncomfortable bed . ' ve stay 2 star hotel clean ! refund cancel room never arrive . even though accept confirm cancellation , agree refund , subsequently refuse honour refund . claimed check walk hotel , leave disturb sign door . rubbish course check reception desk require check time.oh think breakfast include price ? not even go ... treat business traveller would hate think would treat guest . 
