charge 	 unfortunately relative pass away urgently need use phone call home . - information due warning regard potential extortion price one phone call . one 12 minute call could stay well hotel night . when ask speak manager avaliable would avaliable tomorrow either . walk upset yet another crampy hotel service . the way speak joke , walk vow write review inform everybody else wrong ... bring phone card , urgent matter arise think good deal situation hand . I would tell manager , can not charge price , without due information avaliable hand , price list US hotel , stay .. 
 Sep 22 2009 	 can not beat $ 99 NYC 	 interesting budget hotel retro feel . queen room share bath reserve unavailable late check - in , move we double bed private bath . $ 99 night Manhattan , ask hotel clean safe relatively convenient location . hotel meet condition . interesting feel old - fashioned elevator , high ceiling wood moulding . linen inexpensive ; wallpaper peel place , etc . , please regular hotel room amenity include hygiene product , hairdryer , coffee maker , etc .. , expectation low rate $ 99.We get particularly good rate visit might try another place price differential less Hotel 31 's favor , would also stay . use share bathroom main floor ( check ) complaint soap hand towel share bathroom wash one 's hand . provide room , would nice wall - mount hand washing amenity not carry back forth ( go without use main floor bathroom ) . 
 Sep 20 2009 	 Perfect student budget wanting hostel ! 	 ' ve return ten day stay Hotel 31 . two bed twin room view Empire State Building , mere block away . bedroom small , immaculate bed suprisingly firm comfortable ! normally find hotel bed impossible sleep , budget hotel incredibly suprise . aircon , though noisy , will not notice will tired day NYC will drop sleep quite easily ! television , sink , mirror , good lighting , blind , desk , storage room . share bathroom well expect ! perfectly clean , choice two ! bit fiddle figure use shower , always strong powerful ! also walk distance almost everything ! quite happily walk Soho back , Central Park back , perhaps everyone , walk around good way see New York . eat breakfast every morning cafe corner Park Ave 31st Street , always welcome open arm lovely staff . 's also charming restuarant next door hotel , serve delicious pasta pizza ! * * could not fault Hotel 31 , espeically 's price 's fantastic location . ' ve stay near Times Square , ' m city girl , noise much time . Gramercy Park / Murray Hill area perfect , full bar restaurant . subway around corner , taxi always stop . 
 Sep 13 2009 	 definately worth recommend ! 	 place within walk distance 5th Ave , Times Square etc . perfectly clean , well keep , bedroom fairly small definately big enough we sleep stuff sprawl around - perfectly funcational . Room clean every day , new towel etc . tv , radio , air con , toiletry , hairdryer provide . discover towards end stay supply ice ground floor hot summer day aswell ! nice quiet - have expect midtown hotel - even view Empire State building bathroom ! not expect long bath though - bath small , not matter we . stay 7 night prob . good value money 
 Sep 6 2009 	 great value budget . charming overwhelmingly adequate . 	 look save money weekend trip friend , book two - twin room share bath . traveler spend minimal time hotel not require amenity , steal . share bath incredibly clean , always available . issue hot water low supply 10AM . room adequate , good ( though loud ) air conditioner . might recommend pack pillow - case , inevitable city hotel odor allergen might interfere otherwise great sleep . great location , close subway restaurant , walkable Village Midtown . highly recommend quaint NYC experience . 
 Sep 1 2009 	 great little budget offer good NYC spot . 	 like many previous reviewer , can not really fault place . booked way allow bit spend NYC , bad thing give myriad opportunity part dollar City ! clean comfortable room , old noisy , work air - con unit . helpful staff , spotlessly clean shared bathroom , main concern visit . live without luxury without want rough , think great choice great location great City ! 
 Aug 30 2009 	 Great Little Hotel - Great Location ! 	 stay night last year arrive Thanksgiving Day . hotel traditional New York style . staff extremely friendly helpful upon arrival . room old fashion different coloured wall paper furnishing charm comfortable . problem heating ( antique ! ) radiator leak either boil cold hot steam come , maintenance man soon deal we . although bathroom share never see another person use one close room , always free always immaculate clean . good thing hotel price consider fantastic location . extremely close empire state building lot shop ( perfect black Friday madness ! ) plenty restaurant . 
 Aug 25 2009 	 Hotel 31 ok cab driver arrange : / 	 generally enjoy stay Hotel 31 . close Empire States subway station nearby see many japanese restaurant around . actually important , be heart Manhattan , go wherever want easily either walk metro . the room ok , small . lot bag stuff , maybe reason find room small . not bathroom inside room . 2 share bathroom corridor every time find one available . room , tv , sink , mirror , towel , air conditioner - which noisy pretty old- , bedside table chair etc . not see roach bug . everything clean proper . bathroom also clean . general atmosphere nice . hotel cinematographic film noir style look like much . the thing complain cab driver receptionist arrange go JFK airport . usual yellow cab . driver ask speak receptionist . actually price receptionist ask already high yellow cab end pay extra extra normal price . I treat tourist bad way bother course . really not like . next time NYC , Hotel 31 will not top list this . if stay hotel , need cab , make sure much pay receptionist driver . 
 Aug 23 2009 	 great clean close Times Square ! 	 hotel bargin , love ! room not small , stay alot small . room clean shared bathroom problem , clean alot day night , always feel clean never wait use . want stay long book ! downside would internet natural light room feel like night time . 
 Aug 18 2009 	 good budget hotel New York 	 go New York Christmas budget lot research budget hotel around central New York . seem lack decent budget hotel good location ; however , Hotel 31 seem good bunch . my expectation low , however , pleasantly surprised saw room . decent size ny , room really small . room stay comfortable double bed , desk , wardrobe , drawer , sink mirror still plenty room walk around . perfect . room bit date , honest good way - add personality hotel - like 60/70 's New York - good way ! = ] . room clean . as buget hotel share toilet shower little worried . not checked clean constantly always spotless . the hotel also fantastic location brilliant central spot see sight . the hotel frill hotel , budget hotel , lot charm excellent choice tight budget . 
 Jul 28 2009 	 Excellent hotel clean staff helpful ! 	 anyone moan hotel , pay extra get rip somewhere else ! ! arrive hotel mixed review start finish receive nothing friendly service clean room bathroom ever . can not wait go back would recommend hotel anyone ! 
 Jul 24 2009 	 basic simple efficent 	 not want spend alot accomodation look decent , clean , basic , place sleep would recommend hotel . cousin stay room double bed share bathroom . keep place clean , think shared bathroom might problem , whenever try use , always free clean . great location ; walk distance Grand Central Time Square , one block away # 6 subway line . , satisifie . 
 Jul 22 2009 	 clean great location 	 Hotel 31 great location price . room bathroom truly clean housekeeping staff polite . room small could manage . & quot ; average & quot ; due lack service reception : personnel know surrounding hotel , be happen . otherwise friendly , nothing complain . let know : good cafe / diner internet connection 3 block west along 31st Street turn right Madison Avenue ; enclose photo . 
 Jul 20 2009 	 nothing free get pay 	 Consno wireless , dark room , slow lift world ... 8 floor 5 minute ... frustrating rush tourist hoursProsthe location good hotel cheap clean , 's folk : ) think someone ready give anything free ? Manhattan baby .... would suggest spend dollar get well hotel , can not ... affordable . Ciao 
 Jul 18 2009 	 Unique 	 can not imagine could ever memorable week hotel . indeed clean , small wait share bathroom . bed small hard sheet thread bare could see navy blue flower pattern mattress . however ! ! ! ! NYC good city world ..... hotel 31 add memorable time big apple . basin room , tv watch historic welcome new president . good pizza ( Upper Crust Boston ) corner ! ! ! Madison Square Garden road . check ' Apple Greeters ' thing list . get local show real NYC . 
 Jul 13 2009 	 price beat pretty good hotel 	 stay 2 night , share bathroom ( x2 floor ) always clean always one free . price great , location mid town good well . no bed bug , complaint . plenty place eat nearby cheap ( dunkin donut etc ) nice place . 
 Jun 22 2009 	 good value mid 	 good value mid - range hotel key essential well locate manhattan , good option . good option extend stay real comfort well suited day tour NY . room small always clean include key essential . shared bathroom hallway also clean almost never busy . good eat option nearby include japanese & amp ; cheap pizza place immediately adjacent , plus plenty good option within 500 metre . subway 2 block away Empire State Building within block partial view room . staff always helpful responsive need . would stay without hesitation . 
 Jun 21 2009 	 great value Manhattan 	 stay three time already hotel combination location value money . room small , functional ( bed , chair , sink , tv , small desk / drawer , real closet ) . shared bath clean several time day . subway station one block away . grocery , restaurant close Lexington Ave . 
 Jun 15 2009 	 great value Manhattan 	 worry stay almost rebooke due story bed bug . pleasantly surprised stay . hotel small think Americans become accustomed sprawl hotel many area relax forth . old building build purpose - sleep ; therefore , lobby tiny elevator . frill ever , problem . personally would rather spend money dinner , show shopping pay price hotel area . location great . 11 short block Grand Central Station 1 1/2 block near subway station . sure many block away , one bathroom window , could see Empire State Building . illuminate yellow , blue green visit . great little Sushi restaurant right next door plus pizza restaurant side outdoor dining . wrap around corner nice little italian restaurant BBQ place across street ( Lexington Ave ) . one block 3rd Ave see several bar / pub , restaurant . bathroom tiny room think size vary . everything clean wait bathroom . ' m happy report bedbug . however ; find large cockroach bathtub one night ' ve see cockroach expensive hotel . advice : would recommend bring towel give two thin . also , give 2 pillow queen bed like hug pillow night , might want bring . never call may supply we one . also , offer car service hotel $ 55 usd cost $ 25 usd LaGuardia 5:30 Sunday morning . could much ast $ 30 traffic . never problem catch cab front hotel either - not even 5:00 morning . not want spend hundred dollar namebrand over - price hotel not care amenity , book hotel . great pleasure find place . wait go back NY definitely stay . $ 93 usd night , beat . question , would happy help . send email . 
 Jun 9 2009 	 would stay ! perfect ! 	 stay 3 night hotel . come room , happy . bed bug story , fist check matrass sign , luckily none . share bathroom always clean never stand line . location also perfect . would choose hotel next stay manhattan ! complaint come boyfriend : tv channel sometimes badly receive . 's thing ... be watch tv Manhattan ! also employee friendly helpful . have fun Manhattan ! Sandy Rens 
 Jun 6 2009 	 Excellent budget hotel . 	 spend 5 night little worried would get . opt share bathroom save money . pleasantly surprised room . small expected fact one quite spacious . share bathroom spotlessly clean always available want . hotel location excellent , walk everywhere . stay next time NYC . 
 Jun 2 2009 	 great hotel money 	 book hotel , expect lot , realy cheap 119 cnd per night . realy supprise . room super clean shared w.c . sure elevator realy small , feeled bit squeze small corridor 's desparate need major decorate investment , realy care ? location great able bring lugage early morning leave late night day leave . ( extra fee ) look something pratical , close everything clean , not hesitate . 
 May 30 2009 	 Disappointing 	 Location great , service . ask wake call , never arrive cause miss bus Boston . Hallways felt cramp hotel New York City carry CNBC television ? 
 May 27 2009 	 good location .. that´s .. 	 stay 4 night first impression good . clean hotel good location . book double room share bathroom two bathroom hallway . bathroom clean get clean every day . room ok size , tv , Air con sink . room feel old ok budget hotel . second day see cockroach first bathroom get really disgust , seem pop everywhere - even find huge one bed ! ! overall be not cockroach would say hotel ok , budget . would never stay . 
 may 26 2009 	 Bedbugs terrible customer service 	 mother stay Hotel 31 3 night late April 2009 . easygoe traveller often stay hostel basic accommodation - be aware high cost hotel NYC , expect nothing clean reasonably maintain accommodation . first night , however , decide request new room peel wallpaper , bent venetian blind , dirty - feel carpet , poor lighting . move new room next night . room somewhat well repair , although still quite dingy , ok . however , mom wake next morning , much disgust , bite bedbug - blood nightie bite skin . actually manage capture engorge bedbug crawl sheet stick post - it note , give hotel manager next morning . ( definitely bedbug - research subject work poverty lawyer Vancouver . ) manager take sample bug say would get exterminator right away move we yet another room . also say important deal not want get internet . move nicely renovate decorate room different floor , totally different character either two room , quite dark dingy poor lighting . however , room telephone working - check front desk confirm yes , phone break nothing could / would . solution give mother key original room 4 floor ( one broken blind peel wallpaper ) could use phone call home . day check , indicate unhappy experience want speak manager pay bill . manager present last 24 hour stay no - one speak seem show concern various problem . checked not sign bill ask charge credit card manager call we . even leave note indicate authorize charge card call we , give phone number . foolishly block credit card , charge anyway no - one ever call we ! apart risk expose bedbug , shocking business practice would discourage anyone give hotel custom . 
 May 22 2009 	 Bed Bugs Management without Clue Customer Service 	 spend three night hotel , different room night , .... first night room , advertise , recently renovate ( see IrishMike 's review ) ; second night , bed bug bit -- -- - take one blood - fill , squashed bug front desk , call fumigator ; third night , room 's phone not work & amp ; tell plenty phone booth around corner . could get manager talk reasonably ? way . call return , could not get anyone return call . angry customer , control , verbally abusive , deny bed bug , deaf customer ' reasonable request adjustment bill . ' ve never hear anyone service / hospitality business speak rudely customer . not clue customer service . 
 May 11 2009 	 great value money ! 	 great location service hotel . room small , clean . block away Chrysler Building , also see Empire State Building window ! would recommend hotel backpacker , young couple , single people generally want value money ! 
 Apr 13 2009 	 central cheap clean safe want ! ! ! 	 great hotel ! ! check 4th April problem book via hostel booker $ 880 four night two room family six , one suite one share bathroom , wait problem cheap wonderful ! husband wheelchair user kindly store wheelchair we every night save take room staff friendly , stay upper class place city doorman hand tip every time go nice pay tip constantly . there much walk distance empire state , times square , top rock Macys could go ! also love cafe corner call Guy Gallard great cheap breakfast kid love Wendys massive burger . room spacious clean bathroom safe coffee machine lcd tv also great view , son room small room clean bathroom right next door . go back wonderful city New York look hotel 31 
 Mar 23 2009 	 Cracking Value Manhattan 	 girlfriend stay Hotel 31 seven night March 2009 week - long holiday New York . search accommodation look something good price preferably good location . look hostel initially find hotel great price ( £ 60 night double room ) amazing location E31st , three block Empire State Building block half subway stop green line . arrival check immediately find room reasonable size , double bed , wardrobe , sink , hairdryer couple bedside unit . room date feel , lot dark wood old - fashioned wallpaper , clean ( honest not mind decor slightest - add experience ) . large single window room , overlook narrow alleyway brick wall , not go New York look window ! bathroom facility share , hall , immaculately clean . week never wait use . room also quiet , although aware people floor hardly room noise adjoining room hallway . location , note , great . easy walk distance Empire State Building distance subway stop . area around hotel plenty restaurant ( try 2nd Avenue Deli E33rd ) , convenience store , post office , atm internet cafe . be also great diner ( Murray Hill diner ) block away breakfast menu good price . , hotel absolute bargain , give location . however , avoidance doubt , worth say used stay major hotel chain meet expectation . hand , use hostel small hotel big city , want safe , clean place sleep New York without pay earth , could lot bad Hotel 31 . would stay would recommend place anyone . 
 Mar 13 2009 	 great location 	 stay hotel 5 night february . excellent place . ok agree wallpaper old do not match bedcover bue care ? ? ? really good stay except bit cold coz like 1 cm freeze air come AC window ... get cold appart , great value 
 Mar 9 2009 	 Location price 	 stay Hotel 31 three night recently , room bathroom though modern decor spotless , front desk extremely helpful , 's location fantastic long day attraction shop great pop little italian corner chinese next door . would certainly stay , room 515 spacious double single bed , coffee machine , tv hair dryer 
 Mar 2 2009 	 great price great location 	 affectionally call place & quot ; Funkytown Hotel . & quot ; be OLD , update . little peel wallpaper room , except room , bathroom hall . say , be economical , safe , quiet clean . 's hard combination find NYC . 's internet connection , tv ( room ) small , 's block half subway . 31st Lexington location great , spend extra money NYC . be go socialize room not place , be great need safe bed sleep . 
 Feb 24 2009 	 good start 	 love Hotel 31 ! 's expensive hotel expensive part Manhattan . start honeymoon USA hotel . hotel 31 clean , quiet , shared bathroom clean . , staff nice helpfull . even hairdryer stuff room ! ! ! 2 minute walk subway , starbuck around corner , well place eat drink . yeah , defenitely come back ! 
 Feb 20 2009 	 get pay - 	 book two room share bathroom three night start February 13 , 2009 . arrive early morning thankfully room ready we . front desk clerk helpful answer question hand we key . base price pay room ( $ 74 night plus taxis ) expectation low even though review read forum positive . room clean bathroom right next door . concerned bathroom traffic would keep we awake , issue . room sink often receive travel Britain . room small television one room small safe . view room non - existent – brick wall , narrow alley . unfortunately , room overheat . ask possible low temperature tell open window heat would turn . ideal efficient solution , work able good night ' rest . bed reasonable size comfortable linen change every day . bathroom clean wait . one afternoon someone make absolute mess bathroom ( ' ask , horrible ) . dirty bathroom fault hotel unthoughtful fellow traveler . report front desk promptly clean bathroom remain clean rest stay . wait 15 minute hot water one morning , hardship recur duration stay . during stay receive excellent service find hotel clean , quiet , centrally locate . check , allow store luggage small fee afternoon – nice bonus . would stay Hotel 31 ? definitely . ' beat location price . 
 Jan 19 2009 	 awful hotel 	 stay January 2009 4 night awful . bedroom small not decorate year . wall number hole . light room extremely dim could hardly read guide book light . also air conditioning completely break . walk room honestly like walk oven . know appricate warm room january room small air turn max could not adjust downward . sleep window open every night still uncomfortably warm . air conditioning also quite noisy make difficult sleep . minor problem include alarm clock working not wake first morning want poor reception tv . also staff quite surely unfriendly . big shock however come go check charge extra $ 45 make two international phone call last 5 6 minute . calls landline ireland . expect charge foolishly never check cost reception ringing . $ 45 really pure greed less 12 minute phone . hotel honestly bad life recommend anybody . 
 Jan 3 2009 	 clean cheap good location 	 stay hotel 6 night december 2008 . room small quite old - fashioned term furniture decoration , hotel cheap locate close esb , within walk distance Times Square touristical spot . book room private bathroom , , clean , include toiletry much hot water want . hotel also street away subway station . the problem find regard room noisy refrigeration system , tired night reach hotel even bother we . 
 Jan 2 2009 	 ` ` Budget Hotel '' brilliance - will find need . five star . 	 ' m sit computer thinking time last year - New York City January 2008 - woohoo ! never . budget dream go New York . worry booking & quot ; budget hotel & quot ; great price great location . we nice welcome . room lovely albeit hot Air Conditioning constantly way control . ask could turn one point wake we . instead however , open window night . freeze outside boiling room method seem work . its frill hotel extremely clean room make day . complaint . it be three block Empire State Building literally ten minute walk . feel safe hotel walk back evening . just two block right Moonstruck diner . lovely breakfast fill we day . I would strongly reccommend hotel . loved . would go stay anyday . New York magical . 
 Jan 2 2009 	 Great Budget hotel 	 stay friend September December boyfriend . time room incredibly clean staff friendly . September , check well due leave , staff Hotel 31 allow we leave luggage shower hot , sticky walk around Central Park . December book Expedia able get two twin bed 3 night 1 double bed two night . come time check , front desk give we room one double bed whole stay . share bathroom always clean plenty hot water shower . complaint room colder would like . 
 Dec 31 2008 	 nice bite bed bug 	 love hotel first day . nice view empire state building , staff friendly constantly clean share bathroom . not pick itchy rash like mark body bed bug one crawl arm watch tv . still night stay . tell front desk move we another room order pest control . end new bite new room . tell front desk check say ' they must clothe ' um .... yeah be pretty obvious . head home bed bug luggage , will content luggage ( 6 bag ) dry clean enter house . front desk never offer apology take note bite second room obviously not care guest probably infect room . room 310 712 reference . ' ve learn 's virtually impossible get rid bed bug noticed site someone run also last year stay hotel . warn 's possibility stay . 
 Dec 18 2008 	 cheap clean good location ! 	 hotel charge less per night Hotel 31 ( pay 95 per night ) , seem problem rude staff bad room condition ... hotel 31 successfully combine low price nice staff , clean tidy room good location . room small view window brick wall not bother ( not go ny sit around hotel room anyway ) . location good , 5 minute walk Empire State Building ! 
 Dec 16 2008 	 great hotel scrupiously clean 	 hotel ideally locate easy access NY site amenity , slighly main thoroughfare bonus ! hotel staff amenable , attentive friendly , ask kettle / coffee maker , greatly receive hour later ! ! cleanliness second none .... superb ! ! small critisim slighly shabby state first room , nothing touch magnolia ! picture would not fix ! ! deffinitely worth book affordable friendly hotel ! ! 
 Dec 9 2008 	 good location 	 stay last year christmas shopping trip , think hotel fine know problem good thing place go cost cheap location 's .... couple block begin everything anything Manhattan offer . book place great value . 
 Dec 8 2008 	 bad start get well 	 get worst start imaginable ! ! firstly , record we ever book room ( book 9 month early book confirmation print hand ! ) faffe hour lobby could not swing cat , 4 we , complete baggage , say could give we room ... book confirmation Euro 's guy reception idea work equivalent usd , ask ... get current exchange rate convert EURO amount usd ! book hotel mother 's credit card , could accept not ID , also take visa debit card , end pay cash . needless say ask write receipt , take 15 minute ! ! funnily enough not see receptionist rest stay ! , problem room warm air conditioning seem blow hot air around room . however , use room sleep wash , early enough morning let bother we much . everything else fine . we enough space feel clostrophobic ( would hear hotel room ny tiny ) bed make day , bin empty etc . 
 Dec 3 2008 	 Perfect loaction ! 	 much say location . it´s perfect near everything . the room small clean nice . share toilet / bathroom always clean feel like share all . go . 
 Dec 1 2008 	 good value great location 	 spend 3 night Hotel 31 girlfriend visit New York . the location great , next Empire State Building close enough Union Square . the room : + clean+ tv+ heated+ small sink mirrors+ maid actually respect & quot ; disturbing & quot ; sign always case ; ) - pretty small rooms- heating system pretty loud night hard find right temperaturethe good surprise come share bathroom always clean , shower toilet ! problem also concern water temperature . the staff smille serve ! look nice location New York , short stay , decent price , go ! really afraid shared bathroom hotel prove we wrongA great value nice stay decent price ! 
 Dec 1 2008 	 clean good 's price 	 stay Hotel 31 10 day november . I not problem anything . book 1 double room 1 bed , becouse one possible variant hotel 's site . arrive ask room 2 single bed give we . there 10 room floor 2 bathroom . 2 time wait 15 minute free bathroom . room bathroom clean . make room every day . room realy small . great location ! p.s . : door roof open ! : ) 
 Nov 21 2008 	 good place 	 , husband , parent ( 64 73 ) stay oktober week hotel . yes smal , know ok . hotel clean . make shared bathroom several day . restaurant within 5 minute walk , also metro . room 8th floor view int empire state building , great ! ok , price high new york , get good place . 
 Nov 21 2008 	 great base tour New York 	 stay 4 night November 08 . yes , room small amount time spend , not matter one bit . Room / Hotel spotless . room clean every evening arrive back . room electronic safe , flat screen tv cable & amp ; air con . reception helpful . keep luggage check flight not evening . also arrange car take we Airport . location good , close empire state Macy 's . 
 Nov 14 2008 	 manhatten good value 	 want compare UK overprice bit market , however , extensive search good reasonably price hotel base decision review site . many many hotel price range terrible review say least still little nervous expect . first impression smell first walk landing , do not smell clean far unsavoury . room small , enough room small double room walk around . sink little room hang stuff predominantely like we 5 night living suitcase . honest though stay Manahtten sin stay much therefore hotel really place store stuff sleep . basis bed clean make everyday sign bed bug cockroach . water always hot shower share bathroom equally good power shower . bathroom area general keep clean . price unlikely find anything well location walk distant pretty much everything . 
 Nov 7 2008 	 Problem 	 girlfriend live 4 night october / November 2008 . problem anything . share bathroom always clean room well . can not complaine anything really ! 
 Nov 3 2008 	 Great 	 return 5 night ny , family four , actually book four bedded room bathroom check tell unavailable ( even though phone confirm week ) give we two double , one bathroom one without one night however not think actually four bedded room book next day give two double room private bathroom , luckily children slightly old able room otherwise would good thing , problem hotel all . we find reception staff friendly book us car airport problem store bag last day leave hotel till late afternoon . we find room clean room fairly modernly decorate , think bathroom recently do , shower problem always hot water , although way husband could got bath ! great location walk everywhere , nice coffee shop corner COSI get tea coffee morning . would definately stay would recommend . 
 Oct 13 2008 	 not dare ! 	 cockroach bathroom , room small , staff kind , air condition old noisy . noisy room . smell bad . expensive . at 4 pm room not clean . 
 Oct 11 2008 	 pretty good 	 stay Hotel 31 good start . visit hotel father , 11 time . arrive , tell room ( room en suite , one double one single bed ) ready double - book . give we two separate room , one en suite double double . not know expect little girl separate daddy strange city double - book room . after initial blip , though , pretty good stay . close subway station local amenity nearby , problem food facility hotel . a evening would come back hotel find bed make room clean , initial room mix , real problem . 
 Oct 7 2008 	 great stay middle big apple 	 stay four night please everything . staff friendly everything clean . bathroom hall actually problem , never wait . area hotel nice feel safe walking even night . subway station many attraction within walking distance . could even see empire state building 6th floor window . doubt could find anything comparable great price central new york . 
 Oct 6 2008 	 do not plan stay much ...... give go 	 Hotel 31 hotel could afford within NY area give shoot due review read . romantic , roomy definatley update many year good value . ( NY accomodation comparison ) spring good room , mean get bed bathroom -and glad nice come back whole day walk around walk hallway use shower loo . front desk staff do not really talk storm one guy helpfull phone problem , attentive necessary . 15 minute walk time square walk everywhere hotel easily walk grand central station & amp ; market , empire state building , subway even central park do not mind long stroll . 
 Oct 5 2008 	 okay hotel great location . 	 stay one night Hotel 31 recent new york trip . stay mainly early departure Amtrak Toronto Penn station , move uptown hotel 31 convenient location block Penn . the hotel feel small , narrow corridor tiny room , stay top floor , 8th , think , quite nice view Empire State Building . the room without bathroom , optional . bathroom hallway clean never notice anoyone else use . room also contain small tv quite many channel , sink noisy fan . the staff nice , check , well early check smooth . if budget would not problem stay , problem space , New York probably will not stay much room anyway . 
 Oct 5 2008 	 great value location 	 stay 5 day far one cheap hotel could find . the room quite small basic clean air conditioning ( small ) shower / bath . restaurant bar hotel load place nearby . ( pizza restaurant corner ace ) location great ( round corner Empire State build two block subway station . the staff friendly arrive elevator break couple hour carry case 8th floor . arrange taxi airport without fuss . in short city break can not go wrong not expect Ritz ! 
 Sep 29 2008 	 Cheap Cheerful 	 stay hotel student not mean stay expensive hotel . that say , find hotel good . location good , short walk Times Square , 5th Avenue shop , Macy 's etc . hotel provide breakfast , good deli be near . also nice bar ( esp one block around corner show football ( soccer ) game . the room share bathroom , problem get hot water whatever time day bathroom bedroom clean . for hotel room , big enough one ( might bit squeeze two ) , comfortable enough tv plenty station . no issue excess noise staff friendly helpful . if want luxury honeymooning , may place . however , budget ideal . to honest , visit NYC first time , really want spend time hotel , sleep ? go , great stay . New York great city . 
