not 	 not know people expect , read review worry ! hard find hotel reasonable quality less £ 190 per night plus breakfastT single room . hotel great price expensive location lot restaurant close want go far . money , could fault . 's good hotel London great value . hotel look great outside reception comfortable invite sofa 's newspaper handy . room clean , small bath ( would use ) otherwise excellent , slightly fade bad . breakfast good include room price . happy assume price increase dramatically stay regularly . 
 great place stay great location . 	 impressed hotel . friend book room online third - party travel agency , assume communication issue agency hotel , hotel get overbooke . go check inform us problem say would everything could find we another room . take couple hour , find we another room despite fact hotel book solid London , refunded money , get we private car hotel mile outside city ( expect ) . kind way , let we get ready lobby bathroom , lend hairdrier fix hair , give we free drink , watch luggage we go . top , owner hotel happen lobby watch entire process talk we personally say really appreciate way handle whole thing without get angry staff offerre we free room next night could spend another night London ( suppose go back Chichester ) free breakfast favorite breakfast place morning . return next day check free room , find give we second good room hotel ( good one book ) . room service prompt delicious , room immaculate , bed extremely comfortable , every staff person encounter throughout whole process friendly . definitely plan stay next time ' m London would recommend despite minor communication error . 
 Oct 1 2009 	 not book circumstance 	 book night hotel laterooms.com . when arrive tell full , offer move anotherafter 50 minute fruitless waiting gave book another hotel myselfwhen ask refund ( original cost , true cost ) offer halfTo helpful offer take free night . go either . so , , careful booking 
 Aug 29 2009 	 idiot check immediately ! 	 bad hotel ' ve stay ! travel London regularly work stay variety hotel around city depdne location meeting . arrival outside hotel actually look quite nice - advice , stay outside , keep walk check somewhere else ! reception staff lack sort customer service training , room key card quite literally available ' on reception ' could quite easily program room hotel - great news thief ! room : probably small hotel room ever stay . bathroom door could shut without need stand bath . paintwork peel shower , position far away edge bath almost impossible stand , trickle . carpet dirty also ! lady - would say take hair dryer wiring one provide nothing short dangerous however not expect able plug electrical item - socket locate close dress surface almost impossible plug anything in . air conditioning not work choice window open + outside noise window close + sweat bed . I however take hat whoever come ingenious idea saw single door half top bottom stick two handle make ' wardrobe ' door - shame cut wonky give laugh ! make complaint hotel ' manager ' via phone day later however person speak call ' an idiot ' ... right ! total idiot march downstairs see terrible room , demand money back check somewhere else ! not make mistake ! ! 
 Aug 26 2009 	 worth money ! 	 hotel well situate quiet , would expect 4 star hotel . room small , shabby- paintwork throughout serious need tlc.the carpet bedroom stain , throw bed . ceiling bathroom mouldy , shower trickle . disappoint , husband book suprise . 
 Aug 11 2009 	 great location 	 ' lawyer New Delhi , India , London recently holiday . stay Park Lane Mews Hotel . location hotel fantastic . almost opposite Hyde Park walking distance Buckingham Palace Piccadilly .It quite close ( walk ) Oxford Street , Regent Street , Marble Arch Knightsbridge . important London land mark Trafalgar Square , Parliament House Westminster Abbey convenient distance . hotel Mayfair , right heart London . excellent restaurant nearby , even vegetarian like . staff hotel friendly . standard single room small . ceiling low . one elevator working time even creak . cable TV mostly work . room clean bathroom convenient . great hotel term facility , great location . time tour city return room briefly freshen go course come back night sleep . hotel definitely brighten . know whether class four star . 
 Aug 9 2009 	 advise stay away four star hotel 	 book hotel husband stay business 2 year ago say location good hotel ok .... wrong COULD ! ! upon arrival check early front desk professional welcoming although tell we room 3 people book already pay really small 3rd bed would fit room space spare ... true . room really shabby , dirty torn wallpaper , stained bath tub small bath would almost impossible unless child bed fit side side extra space . room obviously smoker unfresh smell tobacco . chambermaid come make third bed bring duvet cover dry blood mean must stain 36 & quot ; 24 & quot ; - DISCUSTING ! ! obviously would complain get chance say good double duver cover single .... mention dry blood stain . airconditione work around 25degrees wake toss turn night hot . usually would complain stay one night high season get somewhere else short notice would almost impossible decide stay put . location hotel ok many hotel close action london . save grace breakfast nice , full english staff polite . nutshell would ever stay even free . please favor book something else . 
 Aug 1 2009 	 terrible 	 spend 30 minute hotel leave - even room prepay . room dirty AC work . staff friendly able help way . do go ! 
 Jul 21 2009 	 disaster 	 overprise old ugly furniture , bed terrible , tv working . pay 125 pound feel rip . 
 Jul 8 2009 	 well expect 	 ok , book hotel last minute.com . thought would try mystery boutique hotel offer , first we . anyway , try outcome book 1 night park lane mews hotel , cost £ 114.00 1 night . quickly check review holy grail , trip advisor , wish not . seem nobody good word say hotel . surely not bad ? arrive hotel arround 20:10 Monday 6th July 2009 . check - in straight forward allocate room 311 . enter room first impresion ok . however , air conditioning system work go back reception ask another room , air con . reception dealt promptly allocate another room directly opposite , perfectly work AC also big bed . ( extra charge ) always , review read trip advisor always back mind stay 1 night . agree review read . 4 star hotel . location fantastic . would also agree hotel look bit shabby ' m hope plan refurbishment end July hotel justice . park lane mews hotel really potential fantastic hotel . personally would recommend hotel 's current state basis 's 4 star hotel . follow progress plan refurbishment interest . probably return be bring standard . 
 Jul 1 2009 	 pathetic 	 visit hotel colleague second fortnight June 2009 . really nice look hotel outside enter hotel problem start . firstly lhotel staff reception ask credit card pre authorisation say charge card , however charge come card & amp ; short refund around 45 - 50 pound come . also basic amenity like air conditioner & amp ; entertainment channel tv working . food restaurant costly . after pay huge rent , not expect poor service hotel ... really ridiculous & amp ; never go hotel 
 Jun 30 2009 	 bad hotel ever stay disgraceful 	 London treat need central location ... 4 star hotel nice exterior Park Lane , could well think ... every hotel world answer . ornamental receptionist obviously reserve charm smile other . room size matchbox , huge wear tear bath enamel look like enormous skidmark , carpet mark bedside cabinet course ... bedside cabinet . lift order . Refused photocopy scan printer one sheet a4 reply ' try business centre road ' ... good bloody idea ten past midnight Sunday night . Sunday hot night London , time 8 begin gauge tempertaure Park Lane Mews Sauna rename . hey ho , Monday another day bright note check . cashback bank card pay taxi book last night . course ... cashback available record anyone order taxi ; fantastic , late work rabble well . oh yes , add final insult ... ' would please book taxi morning ' ? ' sorry Sir line engage ; not try taxi round Hilton , accept credit card ' . bet do . in short , never ever stay hotel . five night Travelodge price would seem like heaven . alright receptionist not always look like supermodel least facial muscle work try help customer constructive stay . first review anything ever write ... bad ' m angry . 
 Jun 22 2009 	 disappointing 	 come London special night Dorchester hotel around corner . website look good book three room party . horrid . Cobwebs , stain carpet , tired furniture , dirty scuffed wall . pay extra king size bed , be get - big bed small room ! friend room smell stale food cigarette . four STAR HOTEL . complain give ' Mayfair Suite ' , would gutted pay , room , break tired . 
 Jun 4 2009 	 Appalling customer care - would recommend ! 	 stay Park Lane Mews Hotel 1 night . reassure receptionist follow morning could leave luggage behind reception we collect later day , disappointed find luggage leave open reception area day ! come surprise one bag steal - laptop . ask receptionist protocol report steal property , hotel interested . suggest since camera reception area , contact police provide film footage . tell unapologetic member staff not access film footage even courtesy contact police ! tell not know laptop bag contain laptop would expensive store behind reception ! arrive back home , try number time speak someone hotel happen . despite number email phone call , no - one ever come back we promise . 2 letter , finally make contact simply say responsible apology even say help policy query . the hotel interested burglar premise ! absolute lack interest show we negligence staff put luggage behind reception request indication lack commitment customer care . 
 may 25 2009 	 couple bad impression 	 hotel strong pro ( mind ) strong con . location absolutely great , favourite London . however room small unequipped , real 4 * hotel must well sure . staff friendly , however ( kill good impression ) - bill phone call ' ve never make . tell make room 8 pound charge despite protest . check 5 , leave card email ask find contact - later find charge card closed issue never hear . actually know guy fix lock room day ( sure , maybe someone else , ! ) . little money bad feeling leave . 
 may 21 2009 	 take earplug want actually sleep 4 * standard 	 London Moonwalk Hyde Park location could convenient lucky get room air mile . would disappoint pay internet rate . room fine , small clean , change go . come back 4 am extremely tired walk 13 mile find lorry reload function nearby Hilton dustbin lorry totally prevent sleep . constant noise lorry adn shout workman next 5 hour . gave go shower , find shower run extremely hot . attempt low temp pressure cold water stop . bathroom bite shabby need refurbishment urgently . breakfast , table set we get help buffet , someone else came sit place start eat . move elsewhere ( apology offer ) take another 20 minute get napkin , cutlery , coffee etc . sign ignorant guest say ' please wait seat ' . despite , still great bolthole Moonwalkers provide earplug not mind extremely hot shower recommend - plus staff friendly . 
 Mar 1 2009 	 ok Definately 4 * Standard would look elsewhere next time 	 book lastminute.com & quot ; TopSecret 4 * Mayfair Hotel & quot ; .Was excited research 4 * area hopefull one see . advertise 4 * boutique hotel Mayfair . arrive Park Lane Mews Hotel little dissapointe outside , inside . the check smooth enough . room pretty small . window close / lock properly . tv reception clear , 5 channel fully receive , tv service work all . the Water pressure POOR , extractor bathroom hole wall next shower head pipe ... bad dusty ! positive : Nice ( small ) bed , Nice Sheets & amp ; 2 pillow ! ! 
 Feb 24 2009 	 well hotel london one ! 	 treat suppose romantic valentine weekend sadly disappoint hotel . state 4 star .... way ! arrive , staff friendly , however show room , 300 ..... bed something else ! .... spring show mattress ... stain headboard ! ..... really nice . decor date shabby , duvet cover ... throw./cushion ? ? ? television , whilst update flat screen , rip old tv cabinet leave nasty wiring behind .... go back reception enquire see another room availiable , give choice two room , neither really well . luckily stay one evening , decide make well bad job . breakfast ok .... nothing special ... cook one hot ... egg crossaint ... small muffin .. think could spend bit time shopping enjoy second day city tell bag could left hour ! risk sit lobby . advise ahve facility store ... romantic trip cut short option go home ! ! ! would reccomend hotel .... definately worth money ... well room travel lodge ! 
 Feb 15 2009 	 Lovely Location 	 Super location , nice quiet area close Park Lane , Kensington , Hyde Park , . lovely front house , pretty , cosy little restaurant , staff friendly , nice helpful . de - luxe room good size furniture / fitting bit shabby . cleaniness second none - everything clean . real criticism food - awful . not particularly high expectation hotel food general unless pay 5 * price Valentine 's night dinner bad food either we eat hotel . set dinner menu boring , food mostly tasteless cold , creme brulee like condense milk jelly , freeze cold set hard ( butter come bread roll ) . ask could pay extra order La Carte menu ( also mostly unappeale quite much set menu ) man charge restaurant say Chef far busy Valetine 's night cook regular menu - 19:30 Saturday night 4 table 2 eating time . fortunately plenty place eat around hotel Shepherd Market area - use stay . get good deal late room make weekend stay value money , pay full tariff would complain bitterly . 
 Feb 4 2009 	 good luck 	 title say ... good luck.poor water pressurefaulty heatingpoor staffold room etc etc etc 
 Jan 22 2009 	 Disappointing - certainly 4 * Standard 	 stay Park Lane Mews Hotel one night December ' 08 . upon arrive ' 4 Star Boutique Hotel ' lastminute.com promise we , advise room would available immediately bonus day Christmas shop ahead ! however , positive experience end abruptly . room small tired look … tear mark wallpaper , chip furniture etc . put clothe wardrobe take straight back damp patch freeze cold ! bathroom well … the shower block lime scale build , hardly water come . nasty stain / crack middle bath well hole around light fixture ceiling . whole bathroom feel dirty tired . temperature room ridiculous – freeze cold night . turn heater due loud noise make instead switch portable heater next locate next bed , much well … or warm matter . room rate , experience breakfast etc . upon check , ask leave luggage hotel ' concierge tell ( loud ) male receptionist concierge - would consider -safe storage space ( i.e . cupboard / room ) . would expect 4 * hotel ! instead , advise leave small case reception / lounge area several luggage item scatter . deliberation , rather carry case around we day opt leave hotel . upon return several hour later , case see . ask Receptionist whereabout , leave hotel front door return bag five minute later … no explanation etc go . two receptionist proceed heated discussion around ' ' lock door ' – sincerely hope luggage room ! time hear remain reception staff loudly discuss social plan complain another member staff ! ask hotel staff whether stay comfortable issue , would share comment directly ... unfortunately , ask . good thing stay hotel location – fairly quiet central London position closely main tourist attraction tube / bus connection around . fortunate enough stay many 4 5 hotel central London , unfortunately experience Park Lane Mews hotel worst far . overall , ' four star , boutique hotel ' experience … sadly , . 
 Jan 7 2009 	 Great Location ! Great Staff could improve room facility 	 arrive New Year 's eve & amp ; spend 5 night . great get around . extremely central - tube within walk distance public transport general . however , one morning hot water - mean serious business meeting , huge trouble . water ice COLD . mattress within room need replace asap . sort back problem exhausted need comfortable bed , hotel choose . 
 Jan 3 2009 	 Perfect locationnice hotel 	 book hotel lastminute.com going see Prince O2 Arena . a weekend away without kid ! hotel nice . wait room ready even tho arrive time say . the room lovely flat screen tv queen size bed fantastic lovely clean linen & amp ; dreamy molten brown toiletry . picadilly circus buzzing 1am . great location tube station lovely walk round Hyde Park cook buffet breakfast . would definately stay ! there s place like LONDON : ) 
 Dec 8 2008 	 Patchy hotel great location 	 book hotel Lastminute.com one & quot ; Top Secret & quot ; hotel . ' ve doubt mean get low standard room would book hotel direct pay standard rack rate . ' m fine , still certain minimum standard hotel Park Lane Mews not quite meet they . if hotel location charge price suit , ( long ' m charge something particularly special not get ) ' m ok provide get four thing , especially ' m stay one night . clean room ; comfortable temperature ; comfortable bed ; good hot shower bath . Park Lane Mews manage three , simply good enough hotel claim four star . ok , not get till 9 am ( breakfast not include not hurry ) , would still expect 4 star hotel able provide sufficient hot water guest . not even lukewarm . water hot tap basin bath barely distinguishable cold tap . would describe off - cold ! decor room also little tired . would not go far say shabby , head direction . carpet , though clean , worn greyish look speak age . corner wallpaper peel little , chip bath . nothing bad , entirely livable , quite would expect 4 star hotel Mayfair . renovation speak manager 's response , would suggest , well overdue . the sound insulation within hotel also poor . fortunately , neighbour considerate , still - sleep husband wake start doorbell room next door ring 7 am - thought certainly loud enough possibility . able hear , fairly clearly , conversation people room . speak language understand , would probably able make every word . obviously speak normal voice . would hate stay noisy people neighbouring room . when mention lack hot water checking ( really not point mentioning - not stay hardly something would quick fix ) , receptionist thank we telling , get impression not really understand telling , message would not pass , not even get apology . little staff ( husband arrive check ) , one experience impress . apology fix nothing , least give impression staff care whether guest comfortable . the hotel not bad one . be particularly good one . price pay , give location , fact one night ( able good hot shower home later day ) , fine . have book stay long and/or pay , have disappoint . in favour , location hard beat , lastminute 's Top secret hotel price , be still bad deal want somewhere sleep night town . 
 Dec 5 2008 	 love wonderful gem 	 wonderful stay Park Lane Mews Hotel 2 night end November . moment walk feel lovely , warm atmosphere Martin front desk extremely helpful we . terrible experience another hotel refuse stay come upon Park Lane Mews last minute glad . give lovely room ideal we . extremely clean well proportion location hotel can not beat opinion near everything . I would absolutely hesitation stay tell family friend since return . think personal touch receive staff especially Martin impress we much . every hotel could treat guest like ! ! ! ! 
 Dec 1 2008 	 warm comfy retreat Park Lane Mews 	 return business trip Canada Botswana , plan overnight stay daughter live London . find Park Lane Mews Hotel web would go back time . warm pleasant environment , similar small Parisien hotel . staff helpful , food good bed comfortable . feel someone 's home - stately home ! 
 Nov 20 2008 	 good london hotel 	 stay recently read traveller comment reflection comment find inaccurate . bedroom bathroom well furnish comfortable . water pipe hot , Molton Brown high quality toileltrie . large flat sceen tv window open quiet street outside . also good lighting reading . what really enjoy hotel sitingroom /lobby comfy sofas chair , good lighting discreet tv area . drink , tea etc offer . several single sit happily table read work warm homely atmosphere . shepherd market foot away buy thing cafe pub enjoy . walk Bond street , Oxford Street Picadilly ease look forward stay hotel . 
 Nov 18 2008 	 bad 4 * hotel ever experience ! 	 good thing hotel location exterior hill ! hotel tired , room book wrong quickly remedied , however heating break discover return late show time feel late complain next morning . after spend cold uncomfortable night room , portable heater bring work properly . complaint fall deaf ear . complain telephone however take manager 3 week respond , reponse acceptable . I fortunate enough stay many hotel Mayfair , Knightsbridge Kensington area LondonMy advice would use well know hotel similar rate much well , clean , fresher . 
 Nov 13 2008 	 recommend 	 Lastminute.com description hotel ' Boutique hotel stone 's throw Park Lane - 4 * . Stone 's throw away accurate 4 * grade one would require great deal imagination hotel could describe ' Boutique ' . generally hotel tired looking . room describe room modern facility . modern facility large flat screen tv fit squintly wall tend dominate teh fairly small room . comfortable chair sofa room advertsie wireless internet work room accord receptionist never do ! bathroom small bath panel rot due water leak . grout tile sealant around bath breeding fungus quite well . really good thing room back hotel quiet . the lounge area extension reception area seat 10 - 12 person , furniture tired . sit area drink limited bar , one malt whisky available , prepared noise rather loud male receptionist whilst sit two argument member staff try assure anouther guest spark come temporary heater bedroom nothing worry still worried could turn ! room temporary ( maybe permanent ? ) heater central heating work . 
 Nov 5 2008 	 great stay excellent location 	 book weekend break hotel 's official website ( [ - ] ) 2 night stay London Park Lane Mews Hotel . sure negative comment , overall nice large room hotel clean throughout . would book hotel return London . 
 Oct 21 2008 	 4 star standard 	 book twin room website . arrival friendly staff ask booking . could find book even thou confirmation booking form . get room . internet website show . small , old basic . four STAR ROOM . 6 am Sunday morning could hear barrel bang lorry hour . Breakfast Sunday serve 7 am 11 am . go 9.45 cook breakfast self service , dry cold , keep warm long , other come later we breakfast fresh food put . 15 pound , worth . overall rating 2 STAR . worth money . 
 Oct 20 2008 	 surprisingly nice stay read previous review 	 book hotel night London girlfriend romantic evening London see show . review read fill dread expect bad . staff lovely check , polite efficient . give room key delighted nice clean room , lovely big bed lot pillow , big flat screen tv . bathroom small clean , bath panel could do replace minor cosmetic detail . location unbeatable right around corner great little tapas El Pirata great meal room service stop serve hot food ( 11 pm ) . major sight minute walk away could not recommend tourist trip . never meal restaurant breakfast can not pass comment . say lovely stay problem check disappointed standard hotel give pay Mayfair location . 
 Oct 19 2008 	 favour - choose Park Lane Mews 	 walk flea pit book Australia , despite 28 hour flight , walk street look suitable accommodation . we stop many hotel , good feel warm friendly reception staff Park Lane Mews . the room perfect we time spend Park Lane Mews enjoyable . when visit London , would not stay anywhere else recommend traveller . 
 Sep 26 2008 	 Clean Comfortable 	 stay one night whilst London business . hotel book Sheraton fully book . read Trip Advisor review apprehensive . hotel cheap Sheraton cleaner ! room decent sized double huge flat screen tv . bed comfortable plenty pillow provide . bathroom small well keep functional . well free WIFI internet access Molton Brown goody bathroom . Breakfast include available . buffet plenty choice cost £ 14.95 ( think Sheraton charge £ 23 ish ) check in / out quick efficient . bad stay . not get much money Central London . 
 Sep 23 2008 	 disappoint 	 book six night stay hotel travel site opportunity view hotel 's site advance -- reception try place friend room much one pay ( advance ! ) , room nothing like be show hotel 's website -- today , hotel tired bit run - down -- look site think will stay chic - est boutique hotel mayfair -- classic example hotel misrepresenting net 
 Sep 15 2008 	 Great Sighseeing Location 	 hotel superb location sightseeing shop central London within walk distance . check hotel show lift service assist get luggage room . room small bathroom compact everything clean , immaculate , well service adequate 3 night London stay central base sleep therefore use restaurant facility . 
 Sep 9 2008 	 ever get 4 * ? ! 	 book last minute.com top secret location deal . really excited think fantastic deal look like gorgeous hotel 's website .... dissappointe . staff okay although somewhat unprofessional , get room key first impression , albeit little dated room seem ok . notice damp patch peel , crack wall . bathroom dirty shower work have clean limescale head ! ! air conditioning work red warning fault light choose cook instead . 's lucky sleeping 1 night would really ruin break . my advice ... not GO 
 Sep 5 2008 	 Good Value 	 book room Lastminue.com Top secret offer . price , really can not complain . read review surprised expectation people give price . location excellent . hotel within walk distance almost London 's major attraction , be tuck away side street ' deal traffic noise . great independent cafe bar right around corner . not think could fine type hotel similar location anywhere near price . overall great experience would stay . 
 Sep 2 2008 	 well worn 	 staff friendly problem understand basic request ie pot tea . Linen clean , room small bed push wall unsuitable 2 people . soft furnishing wear room reception . central location worth money 
 Jul 29 2008 	 like 3 Star need improvement ... 	 book night hotel via lastminute.com run promotion call & quot ; Top Secret & quot ; book hotel special rate tell ' ve get book . ' ve book room like lastminute past not disappoint guess 's first time everything ! book lastminute give description accommodation case glow description 4 star , boutique hotel heart Mayfair . to fair , location excellent pay £ 106 single note decent accommodation part town pretty good . however rate damage fact breakfast cost exorbitant £ 14.95 ingredient look taste like buy Netto cook blindfold boy scout . stay get breakfast somewhere else plenty great place nearby . back hotel experience . well be simply 4 star . even close . the staff friendly yes pre - pay care ? arrival decsribe bijou reception lounge bar area fairly loud obvious recruitment interview one hotel admin 3 potential non - uk recruit . one could avoid hear hotel appear disregard need experience potential recruit . even one hopeful admit could cook hotel manager suggest perhaps might able prepare simple thing ( perhaps english breakfast due enjoy later ? ) . make we concerned hotel attitude towards hygiene , health safety . the room floor stayed however smell strongly cigarette smoke . read early review decide stick room rather get transfer not want experience report elsewhere review site . the & quot ; King Size & quot ; double bed book turn two single bed push together . the air conditioning work shame give London hit 30 degree outside . the shower little water pressure luke warm water evening drop unusable trickle morning cold . forget internet 's mini - bar fresh water room . if be look inexpensive room night London not bad could . location genuinely great long be sleep room everything else need nearby . not book think get 4 star bargain be get expensive 3 star hotel good spot . enjoy ! 
 Jul 14 2008 	 oh dear 	 disgrace really do not know start . take start here . we arrive find man stand outside transpire manager ( oh claim ) . go inside follow we check we . sit phone rang , first land line , mobile another land line . er excuse would like check . ask would like pay say cash say that s £ 174 . want money say , get , & quot ; policy hotel London . & quot ; be not sunshine , I ve stay well , expensive well manage never pay advance , maybe Northern Accent , do not knowI pay money ask £ 50 deposit act surity . er excuse , be not 18 - 30 holiday Magaluff , away weekend show wife ( ) think I m go , steal towel . say hotel policy ( still yet find ) say well I m pay ( basically do not enough cash meeting someone night ) . point 3 couple foyer get embarrase tell be not discuss front other want go room . if want discuss could come see I . we go room 205 tell smoking . open door take step say wife , stop . smell like Amsterdam Coffee shop . go window open fag ash window ledge . go give another room , 305 directly . oh way , never tell room give key card . go 305 smell alot well . however , end plesantrie . go come back 3 hour later wife go shower . must run water 15 min water come luke warm . admit , go hot . sink would not drain away take 5 min clear . bathroom panel mank mouldy tile behind toilet break look Stevie Wonder attempt repair David Blunkett labourer ( think get picture ) . plasma telly instal leave wire visible dangle television plug . view ( suppose courtyard ) bin store scaffold building opposite though could not really tell be not allow open window damage big sign . mini bar , fridge biscuit . bed good size good pillow .ok , stay night decide go luch show start 7:30 . downstair 5:56 ( yes 4 minute 6 ) ask table tell , politely , & quot ; do not open 6 sir wait reception . & quot ; say advise thing do not . believe 6 thing menu however , do not 3 leave Indian Chicken Curry , vegetarian meal salmon . lose plot storm . next day check ask taxi tell walk Hilton would loads taxi . could not find one walk Hyde Park . now contractor stop £ 25 pn b & amp ; bs away wife try stop good London . hotel imho poor money pay idea whatsoever get 4 * . 
