solid 	 hotel conveniently locate Magnificent Mile excellent shopping , walk distance many attraction ( though particularly close subway ) . hotel nice room well decorate ( though LCD tvs ) , arrive , shampoo room , wash cloth ( call front desk shampoo bring ) , bad , toilet seat dirty use wash cloth previous guest drappe shower curtain . wife would probably choose stay somewhere else next time . 
 Sep 23 2009 	 Uhhhhh ... great 	 bit background ... family five Hilton 's Homewood Suites brand preference . still , six - year - old daughter decide take impromptu trip Chicago want stay different hotel . pick Doubletree location base review . arrive O'Hare decide take subway order get true feel city . subway ride entirely long train stop ( Grand - Red Line ) quite distance hotel . arrive , lobby look rather contemporary new . front desk staff reasonably hospitable . disappointment room amount noise hear hotel . every morning evening would hear guest come go room door . loud one night daughter jump think someone try get room . one guest must check 5:30 morning unfortunately awaken well . want get rest vacation since whole purpose releax fun . simply not able hotel . could also hear relatively thin wall . noise reason alone reason never return hotel . bed indeed comfy one reviewer already note , pillow not great . lot settle dust around nightstand ( clock , lamp , etc ) . problem indicate area clean prior use . bathroom okay . stay room 2507 cabinet bathroom damage door visible dirt . shower curtain extremely fresh launder . towel clean sink , toilet tub . shower head extremely soft flow definite temperature restriction hot could make water . feel would well enjoy trip Hilton Homewoood Suites . much close Magnificent Mile , much close subway . also , ' m sure quieter since not see guest complain otherwise . also say Concierge ( exception lady work Saturday , Sept. 19 evening ) staff restaurant extremely friendly . also , hotel reasonably close Navy Pier . Chicago definitely great city visit ! definitely back necessarily Doubletree . 
 Sep 16 2009 	 great location 	 book hotel expedia.com $ 111 / night . stay Sept 6 - 10 . Hilton reward member . disappointed find since book Expedia could get Hilton point trip . hotel locate close Michigan Ave bus stop near . two room , one ocean view . room clean , like decor bed comfortable . complaint refrigerator stock drink charge remove . room fridge anything may bring . showerhead large like take shower rain . staff helpful give direction . disappointed cost breakfast buffet $ 21 . be pretty expensive . eat Markethouse breakfast eat breakfast every day West Egg Cafe across street . overall satisfied hotel would stay . 
 Sep 3 2009 	 friendliest staff comfiest bed ! 	 stay chicago end american trip flight home O'Hare ... disappointed do not get stay long . staff great , recommendation spot . hotel room spotless bed unbeliebeable comfy . hotel really close shop mag mile ( expensive reasonably price ! ) chicago great town ill definitly back 
 Aug 31 2009 	 good location great family 	 stay Hotel end August , three night . the room clean housekeeping nice even put grandson stuff anumal pillow like sleep . plenty towel constant replacement toiletry . the weather rather chilly , use pool towel container usually keep full . breakfast restaurant area little pricey quality top notch . waitstaff attentive . when lobby bar close , one Marketplace restaurant open late . they room list dining option hotel . perrhap forth come complete rennovation . within three block hotel Michigan Ave . lot din option price range , pub sandwich shop Tex Mex grill . dominiks market corner every thing good price big city downtown supermarket . 
 Aug 29 2009 	 Loved ! 	 exceptional two day Hotwire stay recently . check noon -- make request non smoking . Room turn two double handicap accessible room . since zero entrance shower bring back bad memory 7th grade PE BW -- -we call immediately ask non - handi room - preferably one king . request rapidly meet . one great thing hotel : be get old school & quot ; unit room & quot ; furnace / ac get cool want ! clean . quiet , great staff , great dining option -- stay , unless behavioral l problem -- happy . there excellent Einstein 's Bagel store attach hotel . one morning get carry BW breakfast . order Bagels & amp ; Nova lox -- pay young lady run cash register -- adorn full muslim headdress . spend rest trip hope find Hassidic jew run falafel stand 
 Aug 24 2009 	 Nice hotel Michigan Ave 	 stay 3 night last July check Mag mile see Cubbies . hotel appear total rennovation nice clean . check staff friendly helpful suggestion place eat . get warm cookie upon check ! ! check quick . room bathroom clean newly remodel . bed comfortable . thing think silly request sofa bed travel teenage son room small . open sofa bed room walk . crawl sofa bed get bathroom . overall though great good view even though Michigan Ave . Michigan Ave 4 block away . ask concierge dinner , give excellent suggestion make reservation we . also eat breakfast hotel pretty good . offer we private transportation airport price cab . private transportation Lincoln Navigator much comfortable taxi way ! overall think price excellent deal ok little bit walk ... 
 Aug 21 2009 	 Hilton Standards 	 business traveler Hilton Gold Member , use point stay hotel family . certainly , use point want good value nice place family stay . Believe , be well . this old Holiday Inn , good . rooftop pool big attraction we main reason want stay . unfortunately pool area never towel , horribly dirty pool side snack bar never open . Cmon ' , middle summer Chicago guy can not get beverage ? open ? overall staff friendly , room clean absolutely water pressure shower . ice maker 25th floor work either . another disappointing issue hotel lobby bar close early every night . one night close 8:30pm . hotel bar ( profit center ) close 8:30pm hotel capacity ( accord front desk would not upgrade large room ) .I must say , would recommend use valuable point sub - par Hilton property staying , not pay $ 99 . be worth . 
 Aug 17 2009 	 good location unfriendly staff pool close early 	 stay 2 night August . pull driveway unload kid go check - in , tell need park parking garage first check . think interesting guy help people unload luggage car , wait check . park parking garage , unload car parking gargage bring luggage us front desk check . theory , hesitate say . anyway , minus unfriendly staff , include front desk person , hotel nicely locate close shopping . free trolley drop close hotel ( ) Navy Pier . room nice , bed pillow comfortable . kid complaint pool close early . many hotel close pool 11:00 . pool close 10:00 pm go dinner not get restaurant 5:00 , go shopping later , time get back hotel pool closing . go one morning neat roof , ( 5th floor ) city like Chicago thing open later , would nice pool stay open later well . big plus thing within walk distance hotel . 
 Aug 4 2009 	 great place - close everything 	 spend one night Doubletree spend 3 night Westmont travel town day . plus , one cheap price town ! thoroughly enjoy within walking distance everything ! park car early a.m. garage check later . next a.m. , walk around bit thinking have charge hour since past 24 hour limit happy still charge set $ 41 price come room . son walk Navy Pier evening feel relatively safe walk back night two we . since 's tourist area , always find someone hang close behind . rooftop pool nice , 5th floor , run towel chiily evening . replace shortly leave . pay extra lakeview room 23rd floor could see little building block view . elevator prompt staff friendly helpful . 
 Aug 3 2009 	 good location great value 	 stay week find staff helpful knowledgeable . location couple block Michigan , convenient shopping , also across street Domenick 's grocery store . room clean well maintain . lobby bar inviting . downside free wi fi room , free wi fi lobby . eat hotel restaurant , West Egg across street great breakfast . 
 Jul 31 2009 	 Nice experience 	 Hubby go Chicago couple day July go Cubs game sitesee . hotel easy find parking easy . check - in go smooth welcome cookie tasty . room nice clean plenty towel . decor modern something would want house cool hotel room . could see little sliver lake room , not pay great view . rooftop pool nice . water cold hot tub would welcome . guess wifi lounge area not use . not eat restaurant , menu look good compettiive pricing restaurant area . location within decent walk distance shop many restaurant . door man get we taxi could go Oak Street Beachstro , food okay . neat Chicago beach palm tree . also eat Weber Grill ( hubby 's choice ) good food . go night feel safe area around hotel . overall hotel good experience next year go another Cubs game probably stay . 
 Jul 27 2009 	 Nice Hotel Great Location Friendly Staff 	 stay Doubletree 3 night July 10 - 13 . block walk distance Magnificient Mile , great eatery surround hotel , block Navy Pier . the room nicely decorate staff helpful nice . I think perfect location interested close Maginificient Mile . I would stay . walk distance eatery , great wine bar street , nice breakfeast restaurant . short cab ride part town Mortons Harry Carays . 20 minute Midway airport . cab ride $ 25.00 include tip . 
 Jul 26 2009 	 Great Location Nice hotel 	 wife choose Doubletree great location reasonable price 4th July . first check room , bathroom be not completely clean notify front desk , housekeeping send right . 1st night room , ice machine outside hall leak water hall room . front desk do not dissappoint apologize quickly move we different room . also , concierge great offer different dinner recomendation . as room , large comfortable bed pretty large bathroom . do not go pool see people constantly window . would recommend hotel anyone visit want near Magnificent Mile . would surely go back . 
 Jul 24 2009 	 really nice downtown hotel close point interest 	 3 we stay 6 day love every minute . location great walk Navy Pier , Millenium park , Magnificent Mile shopping Riverside . use & quot ; loop & quot ; get Sear 's Tower . use Trolley Bus tour see city highlight Wrigley 's Park Stadium- excellent value . find reasonably price restaurant choice bit limit however breakfast West Egg opposite hotel good . room hotel well appoint well manage . contrary report read find use roof pool free guest . all staff helpful however special mention must Ron reception seem find nothing much bother- really nice guy . 
 Jul 19 2009 	 Complaints Doubletree Chicago ! 	 girlfriend quite bit leisure travel year , come somewhat adept select great hotel bargain price . Doubletree Chicago Magnificent Mile definitely one ! hotel accommodation sufficient . room spacious nicely decorate , in - room minibar , uber - comfortable bed , decent - sized bathroom , plenty towel , cool Neutrogena bath product . ' ve say trip advisor review , have smart touch beverage minibar unless want waste money - item always way overprice . stay July 4th weekend rate $ 150 per night , can not beat busy holiday weekend . plus , internet access free plush lobby ! pool great , restaurant friendly decently price , adjacent bagel shop , Einstein Bros. , ideal morning breakfast heading sightsee whatever . oh , sure check beach along Lakeshore Drive be town summer month . nothing well pina coladas Oak Street beach relax , North Avenue beach want party hard Castaways frat / sorority crowd ! favor : stay Doubletree next time be Windy City . can not beat great bang buck amenity ! happy Traveling Trip Advisor mate ! 
 Jul 17 2009 	 good location accomodation 	 couple block N. Michigan shopping bus line . Stayed Holiday Inn 4 + year ago since nice property . 
 Jul 12 2009 	 okay stay nearly nice hope 	 Double tree nice okay , nothing special . good part location , 10 - 15 minute walk John Hancock Tower Navy Pier . also close bus train transit stop . hotel attractive inside . could seats lobby , free WiFi . room pay $ 10/24hr internet . room floor 10 26 , nothing spectacular . kind small , pretty clean . pay $ 109 average 3 night not bad Chicago . parking site $ 41/24hr , park across street not plan move car trip , $ 31/24hr . know Mini bar work sensor every time open look stuff charge , fortunately front desk understand remove charge bill . besides great location concierge extremely helpful get we right direction get want go . sure would recommend hotel , probably location specific hotel . think Embassy Suites block east least free breakfast . 
 Jul 11 2009 	 Great Hotel - Great Location - Great Staff 	 spend 3 night Doubletree . room clean , location perfect Chicago offer important - every single staff person deal friendly , helpful give impression want visit well could ! negative comment would lot street noise room- get use . would stay . 
 Jul 9 2009 	 Perfect Location 	 travel Chicago first time parent ( 70 's ) 3 sister ( 40 - 50 year old ) . want near many attraction fairly safe neighborhood . hotel fit bill perfectly . 4 block Michigan Avenue fabulous shopping , short walk Chicago River . one sister walk back Hotel Navy Pier , though would bit long old people . bed comfortable , front desk staff respond promptly request . concierge even give we vip ticket Gino 's East Pizzaria , walk past line 20 people seat within 3 minute , also give free basket garlic bread . highly recommend hotel travel Chi town . 
 Jul 9 2009 	 great location 	 location great . check - in quick easy , let we room check - in time . the room standard hotel room -- big enough , clean , nice bathroom . bed comfortable , love extra pillow . restaurant site , eat can not comment that . we would stay . 
 Jul 8 2009 	 avoid stay rain ! ! 	 staff nice . location great . room roomy although could use extra cleaning job , ' m picky . bad part wondow .... sencond night , rain hard rain leak room . husband 's suitcase soak worried pack next day . Staff come put lot towel around window floor . say happen . wonder hotel not fix darn window ! ! ! hotel INCREDIBLE gym , though .... 
 Jul 5 2009 	 ok ok 	 arrive Thursday Doubletree . exactly think . GREAT location . near mag mile ( 4 block ) mile . near good restaurant shopping . now hotel . ok , not extra something make one 's stay memorable . hotel remodel last year . honest , look like old building try upgrade . carpet hall dirty . near elevator 6th floor heating unit something pull away wall could see area wallpaper . hinge door paint instead remove painting process . also hotel remodel last year not understand old tv room . flatscreen ? room large clean . like bed , sister think hard . be aware , checking , hotel freeze $ 50 / day credit card incidental . not like never happen Marriott , Crowne Plaza Grand Hyatt . not ask , would know reason ask happen Hilton Garden inn another city . with many nice hotel city , think opt Courtyard Marriott Intercontinental next time Chicago . 's bad hotel , amount money well . 
 Jun 25 2009 	 Incredible Hotel Best one Chicago 	 stay wife doctoral graduation . several room family friend agree hotel well . room fantastic great view toward Lake Michigan . entire staff especially Carlos ( Ft . Desk Mgr ) & amp ; Alfredo ( concerige ) fantastic . food , amenity , housekeeping , bellman porter superb . stay several hotel Chicago school term none compare Doubletree service , amenity , etc . good one stay yet . fact , go back Sept. meeting stay hotel . 
 Jun 24 2009 	 Stayed relocate Chicago - great big room ! 	 unique situation stay hotel able find suitable apartment live . real expectation , book 4 night www.hotwire.com find hotel book Doubletree . first impression great , lobby spacious , love choco chip cookie warm arrival . room two double , fine believe probably make big room king room , bed comfy love decor . room spacious view pool 11th floor . great view . daily housekeeper friendly enjoy say hi morning . tv channel many - compare Palmerhouse Hilton Loop less 1/2 many channel Doubletree . Einstein Bros downstairs great bagel love breakfast across street cafe . , great hotel choice we . one downside memorable need pay wifi . think day age something provide hotel free charge . 
 Jun 23 2009 	 great location ... problem housekeeping . 	 stay June 17 - 21 . check - in great easy wonderful cookie ! ! shampoo room upon check - in maid outside cart either ask phone front desk . also towel replace ask . shower drain break rig want shower , bathe . vent bathroom hair dryer . old T.V 's . also , safe room . room overall look hotel great , modern . bathroom roomy . concierge helpful , porter . get great deal room , honesty 's use vacation , bed sleep ! comfy ! plus , alarm one could actually figure set . 8th floor noise hall . not expect street noise , go vacation country - side . pool awesome , clean tend . 
 Jun 16 2009 	 great location much noise hall street 	 Doubletree locate many popular Chicago attraction . 's quick walk Michigan Avenue Navy Pier . Dominick 's one block away convenient food supply . especially like on - site Einstein 's bagel . standard room 8th floor , quite comfortable clean , noise street people pass hall quite loud . internet room free ; will pay $ 9.95 24 - hour access . since room rate bargain location , accept . 
 Jun 10 2009 	 Clean 	 DoubleTree let we , exactly standard expect . bit hard time room key annoying staff quick fix problem issue bring . bed comfy bathroom large nice shower . gripe super - ultra - modern theme big ' ol tube tv room 1990 ... might time upgrade , oh wifi $ 10 / per day want room , be free lobby , pretty blah ask . good location though , walk distance lot fun stuff , Michigan Ave , Navy Pier , restaurant etc . 
 Jun 1 2009 	 be look downtown location hard beat value place ! 	 stay Doubletree dowtonw Memorial Day Weeekend . place recently rennovate change Doubletree . room well appoint , kind youthful / funky feel . room size good downtown . location perfect . nice restaurant attach , not sample food ( drink , however , good ) . would highly recommend place plan stay downtown look reasonably price hotel not sacrifice quality . 
 may 31 2009 	 Fantastic Location 	 location perfect - block Magnificent Mile shop one direction Navy Pier direction . there coin floor next bed make think one vacuum , room seem relatively clean attractive . the lobby bar adjacent check - in desk convenient , make check bit challenge bar area overflow . definitely eat breakfast across street West Egg ! food fantastic ( love blueberry cashew pancake ) , definitely cheap hotel restaurant , unbelievably quick without ever feeling rush . watch pressure - sensitive mini - bar - not even think look jar ! 
 may 22 2009 	 Clean well decorate 	 hotel recently finish renovation & amp ; become Doubletree stay friend Lollapalooza 2008 . room clean , well sheet . could spy Lake Michigan building window room . it easy walk Grant Park hotel ( be full interesting outdoor art piece like Bean ) . location provide easy access downtown Chicago & amp ; El not far . parking garage attach hotel & amp ; elevator , parking cost extra ( think worth ) . would recommend anyone ! 
 May 19 2009 	 nice place . 	 great stay hotel . staff friendly courteous . would stay . 
 May 12 2009 	 friendly .. 	 everything excellent .. really . slightly surprised nice upon walk . lobby huge inclue bar plenty seating ! front desk pleasant welcoming . also offer warm cookie .. lol . quick check - in , head room .. overall room nice size nicely furnish . complaint room date television .. probably like 4 - 6 yrs old . weird nice room date t.v . wake notice sheet slide door . inform need come front desk check due & quot ; Express Checkout & quot ; ! pack head ! ! ! good job DoubleTree ! ! ! ! ! ! ! 
 May 11 2009 	 warm cookie Warm Welcome good stay . 	 upon arrival welcome warmly hotel reception staff . our request high floor honour . room spacious nice big comfy bed . good bathroom Neutrogena toiletry . good facility hotel . downside business centre expensive use . internet $ 6 15 minute . location good , near Magnificent Mile facility nearby 7 - 11 shop pub restaurant . a good stay , nice hotel . 
 May 9 2009 	 disappointment find 	 hotel consistent quality expect chain . room nice size ; however , bathroom bite small expect . lobby invite . staff nice catch shuttle airport . luggage storage , restaurant bagel / coffee shop attach property . lobby bar good . give away chocolate chip cookie like candy ( travel solo get 3 cookie ) . yes , ask extra . able place cash deposit incidental never use credit card . internet extra $ 9.95 . maybe 's free member reward program . not know . build new modern . bed comfortable water hot . free wifi lobby work well . 
 May 1 2009 	 good hotel - great location .. 	 wife & amp ; 11yr old son stay Easter Break -we use Lakeshore Leisure Club daily pool ( excellent although life guard duty ) never eat Hotel . facility good - location excellent - literally 5 min walk Michigan Ave although free internet anywhere within hotel ( travel Ireland bring laptop ! ) . blast -room service good ( even maid one day take bottle wine fridge & amp ; repace hotel wine ! ! ) staff friendly although Concierge could not really explain basic rule baseball ( however fair map & amp ; direction etc get witrh ease ) ! ! i'ld recommend hotel anyone -the breakfast bar hotel get us morning caffiene slump really excellent restaurant breakfast within yards hotel .. hotel could noisy enough 5 am onwards room towards front hotel & amp ; previous contributor forewarn ... room size good - never feel cramp - hotel bar not serve draught beer lack athmosphere plenty superior bar outside ... 
 Apr 17 2009 	 Good Value Great Service City 	 visit grade school kid Spring Break week site seeing & amp ; see Cubs game : welcome friendly professional staff . 's kids hotel , great job welcoming . concierge tops - advisor local board concierge & amp ; featured month 's guide - inform , connected tremendous help . ' m suprise read building formerly house Holiday Inn . worry though , totally update , clean & amp ; fresh . room clean . have consider worth 5 dot , check bedbug ( saw trace ) see crumbs & amp ; dust bunny along floorboard behind bed . bed super soft , ensconse clean , crip cotton sheet . bit soft back people would probably love . one rare time feel bed actually clean & amp ; safe enough kid climb onto without worry . stay mid - level room , would go high avoid view parking garage next door . room temp control nice . Michigan Ave 3 block South & amp ; train 6 block away . 
 Apr 16 2009 	 Excellence Chicago 	 stay Doubletree - Magnificent Mile work conference . facility excellent . hotel room top notch . colleague rave bedding room amenity ( although flat screen would nice ) . conference food good ' ve ever . meal high quality get excellent review . receive access adjoining health club , pool , nice perk . highly recommend hotel next business conference Chicago . and not forget amazing chocolate chip cookie ! 
 Apr 14 2009 	 Hard Believe Holiday Inn 	 stay big conference McCormick Place want Hilton property near Mag Mile . Thy ' ve do extensive renovation would never believe Holiday Inn . lobby decor simple nice - lobby bar always crowd hear colleague wifi ( free lobby ) excellent . staff nice friendly . love Doubletree cookie . room average size . good workspace nice padded seat ledge along window . expect flat screen extensive renovation . bed comfortable . housekeep fine . excellent toiletry - something usually notice comment . excellent hot water nice rainforest shower head . good drawer space ( something seem disappear day value 5 night ) . comfy arm chair ottoman . Standard Hilton clock radio mp3 cable . elevator bit slow previously report , intolerable . base prior review , eat hotel . Einstein 's Bagels lobby convenient Starbucks within walking distance . West Egg Cafe across street Chicago favorite breakfast disappoint - get early weekend prepare wait . Lot 's dining option within couple block . short walk Michigan Ave close Navy Pier . lot family seem happy well . 
 Apr 5 2009 	 good 	 good location . front desk staff welcome polite . package free breakfast buffet . standard buffet , omelet station . service exceptionally good . room two queen bed . mattress bit firm taste . linen high quality . $ 10 day internet access room ( hate ! ) . self - park $ 41 day hotel ramp -- go street public ramp $ 30.the room fine , bit small side . mold bathroom ceiling -- housekeeping staff need bit careful . there fair amount street noise ( 17th floor . ) 's good location -- 2 block Michigan Ave . 
 Apr 2 2009 	 Awesome Stay 	 13 us : three woman 10 girl . upon check greet friendly staff . staff outside ( remember Ben ) ready help we get taxi give information wherever need go . hotel close everything include 15 min walk Navy Pier . warm chocolate chip cookie delicious . not room ( double queen ) want initially , available accomodate we adjoining room double queen bed . bed extremely comfortable , not want leave ! kid love indoor swimmimg pool . charge waive we . request accomodate right away . great time stay Doubletree would stay anytime ! 
 Mar 30 2009 	 wish would known pay use pool 	 hotel nice people friendly . plan trip want pool relax walk day , check find $ 15 charge per person use pool fitness center , much relax pool ! nowhere stipulate extra charge . would know would stayed elsewhere . mention $ 41 charge parking actually garage not park another garage around corner cheap . also car horn siren thru day night , make sleep fun ! ( ! ) 
 Mar 26 2009 	 Friendly Staff Comfortable Beds 	 DoubleTree Mag Mile beautiful new lobby . greet friendly man front desk , receive yummy warm cookie . room good size ( 2 queen bed ) . bed comfortable . refrigerator room , would nice . Access Lakeshore Athletic Club , free , nice . bit hike Red Line Grand , close Magnificent Mile . overall , great stay . 
 Mar 24 2009 	 Nice hotel price 	 Booked hotel via Priceline $ 60 / night March 20 - 22nd weekend . park parking garage right next door hotel garage $ 11 cheap ( $ 30 / night ) . check - in smooth receive 2 warm cookie . room well expect . nice view Sheraton hotel . room Wolfgang Puck coffee good . room spacious enough 2 double bed nice size bathroom . Neutrogena product . good shower pressure . hotel 2 block walking distance Michigan Ave , movie theater , grocery store , kind shop . etc etc . elevator work well . free wireless internet lobby . 
