hotel 	 arrive hotel noon room not ready yet ( early ! ) decide first go check surrounding . come back evening ( already dark outside ) enter room could say ' wow ' ! high Floor Corner King balcony really call ' room view ' . view amazing ! night also day . the rest hotel room nice : 2 lounge chaire , tempur pedric matrass , shower great , ... unforgettable experience ! 
 mixed bag 	 Positives : love neighborhood , cool design , sweet staff ( move we nice room without ask ) , comfortable relatively clean . negative : NOISY ( Friday night , 5th floor street side , outside reveler 4 am sound like window open ... manage ignore partner sleepless night ) ; also , tempur - pedic mattresse everyone , steam shower ( interesting feature ) smell bit moldy due lack ventilation . bottom line : would stay high floor rack rate . 
 edgy exciting 	 great place stay want see real NYC . love edgy Lower East Side daily walk hotel conference venue Greenwich Village take Little Italy , Chinatown really interesting old tenement area . , single female , feel intimidate danger - even walk back late night ... sooo many people around really friendly . hotel different staff - particularly doormen - helpful friendly . room contemporary well - equip . thing miss extremely well stock minibar earplug ... city never sleep district partying prepare noisy , thoroughly exciting stay ! 
 Sep 10 2009 	 mix feeling 	 unsure book hotel , still . book corner king balcony , find bleak say least , nothing , bed , 2 chair , coffee table , stool , lamp . decoration , . storage wardrobe hang space nothing else . desk , drawer , shelf , suitcase storage . bathroom , hardly space round sink , week could stay . upgrade suite cost $ 80 night . well two wardrobe one shelf , living area reasonable size , bathroom small size , bedroom small barely room walk round , side 12 inch . the view however great , get lot flat roof , suite , window North west face could see Empire State building Chrysler building , even loo ! view people go for . there really odd idea though , bedside lamp , bedside table , bathroom cut suite half , tuck corner could magnificent space . floor ceiling window , frosted , waist , sit can not see ! curtain long take portion bedroom hide draw curtain behind , 8 inch along one wall . yellow bathroom hideous , glass tile shower floor get slippy . magnify make - up mirror mirror desk use dressing table . wardrobes small corridor bedroom living area , not open flat , unpack put suitcase sofa constantly open shut wardrobe door get back forth , try anything husband stay put , could not get past . full length mirror unflattere ever experienced . mini bar hideously expensive , bad ' ve come across . apparently price bar mini - bar recently increase . two vodka tonic bar $ 24 , plus tax tip . restaurant dinner standard american fare , nice , nothing special , change recently Levant east Thor . room service fine except overcooked bit Salmon . breakfast basic , well worth get , OJ , tea coffee , cereal , fruit bread . nightclub obviously hip , find staid forty , deathly experience . the area good bar restaurant , street dreadful state area , dangerous broken grubby , much prefer , Greenwich . Soho , nolita west village . I feel ' ve criticise much , view great , staff great , food fine . bed comfortable , linen fabric lush . need something . 
 Sep 9 2009 	 Chic 	 room little run visit love hotel , location , wrap - around view 
 Sep 4 2009 	 cleaniness view awesome . 	 service fantastic . view breathtake clean beautifully decorate room . staff courtious helpful ever call upon . certainly would recommend hotel friend business partner . 
 Aug 28 2009 	 stay load time 	 face .... place open . stay room 185 - massive bath , view awesome . quite pricey , view make worth - see pic window . 
 Aug 23 2009 	 terrible ! ! Valet service ruin car 	 pull ... valet come greet . turn valet bellhop . 10 minute take get luggage room , go downstairs presumably park car . 10 minute later get call car hit truck ( vontract hotel remove laundry ) . apology make incident , offer compensation give . later , deal front desk on - call manager , neother make effort make stay well , give General Managers number . make call compensate room , albeit reluctantly . additionally , folk play music throw stuff patio 4 . teir weekend fight velvet rope get back room amongst desperate ho hos skank around first floor club . 
 Aug 9 2009 	 great view unique room different location LOUD 	 husband stay another couple . never stay part city , really enjoy location . visit site would see stay Midtown . highly recommend Lower East Side Tenement Museum . take subway Brooklyn Botanical Gardens also great . little worried first enter hotel lobby look really old ugly ( friend say remind Alice Wonderland fall hole ) . elevator little scary also ( small noisy ) . get room extremely happy . awesome view look north . room big enough couple . bed comfortable ( though get much sleep noise , tell ) . bathroom experience - I never stay hotel floor length window - it really cool though . however , main reason probably stay noise ! stay 12th floor Thursday - Saturday night get much sleep ! noise street crowd unbelievable ! staff member say first nice weekend year people large number . people scream , laugh arguing , police siren barely sleep . think noise crowd hotel bar go keep we , never hear . staff , cold unfriendly , though one night return exhausted day find huge crowd try use elevator ( 2 guest usage housekeeping - we argue housekeeper cart could fit elevator 6 we already ! keep try shove cart elevator would close ) . staff member stand elevator allow register guest use . continental breakfast offer bare minimum ( beverage offer coffee ) . first morning skip go get something fill . fitness Center also bare minimum kind scary ( dark small ) . mixed feeling recommend hotel . depend look . want awesome view , modern hotel , different location worth try ( oh , not mind go sleep crowd leave street 4 am ! ) ) . want good night 's sleep accustomed friendly helpful staff would skip . 
 Jul 30 2009 	 Hype Hotel 	 stay May business private trip . the service nice , concierge helpfull restaurant , show limo service . the hotel busy night , long line go , reconize hotel guest give we prioity access . we room 14th floor even music quiet NYC Hotel . view totally amazing . its regular boring hotel Plaza , service quiet . helpfull , polite .... 
 Jul 15 2009 	 ah young painfully hip 	 first boutique hotel part city , Lower East Side , despite hype still remain neighborhood slightly run , dirty , convenient term access part NYC . oh , , mysterious reason , achingly hip . be young want feel be epicenter cool , upscal lodging option available area . the hotel , extent still , little glitter gem rise gloomy tenement building surround . stayed week high corner floor king balcony . time something like $ 500 night , not cheap , especially part town . room not large square footage , wraparound , floor - to - ceiling window , feel airy . decor downtown modern chic , imagine susceptible becoming date pretty quickly trendy thing be . judge conventional measure , hotel rarely rise merely adequate term service , professionalism , quality accommodation ( though tempurepedic bed — I skeptical foamy mattress first — be incredibly sleep - induce comfortable ) . night , bar / restaurant first floor become velvet - rope mob scene . become strange combination glam / sordid bling night . 's experience . ' m forty , feel bit nostalgic probably soon strange awkward . would return THOR ? maybe , reviewer point , hotel maintain guest loyalty hotel less nightspot merely hip destination . 
 Jul 14 2009 	 Spectacular Views 	 big draw we stay Rivington view disappoint . absolutely spectacular , cold January morning , wake warm , sun - fill room New York spread around we - well worth money . say , question money , unless pay upgrade room , have stuff pretty uninspiring view ( wall maybe ? ) low floor . the room nice touch ( eg ipod docking station ; nice shower stuff ) , nice seating area , look little date part ( wardrobe quite scruffy scuffed bathroom door come hinge one time - someone send quickly fix really not happen quite dangerous door heavy ) . get apology Reception . also floor ceiling window bathroom spectacular , water pressure shower not great could not turn temperature much ( pretty surprising great cold winter 's day ) .breakfast really disappointing , pastry , fruit cereal packet , get coffee paper cup nasty . even though breakfast include room charge , choose venture almost every morning - really interesting local cafe nearby . also eat one evening restaurant - ok , nothing special , pricey get . room service completely blah . bar fun happen vibe late Saturday night . good thing hotel : view room higher up . bad thing hotel : Breakfast . 
 Jul 13 2009 	 Quirky hotel Lower East Side ! 	 stay Hotel Rivington partner 3 day weekend break mid June . lovely corner suite 16th floor great view NYC . really love room bathroom . very impressed automatic curtain like previous reviewer say , bed HUGE really really comfy tempur mattress .. sleep really well ! little niggle would ) shower pressure not great - buy hey , view whilst shower ; - ) b ) lift hotel - 2 1 seem order whole time use prepare top floor huge suite private party etc . say , would happily stay hotel ! neighborhood really come lot little bar restaurant scatter .. also really close underground walking distance Soho . also recommend restaurant corner ( come hotel turn leave ) breakfast / brunch . hotel offer complimentary breakfast include bagel , toast , cake , cereal fruit fancy something substantial next door good bet ! summary , would happily stay plan trip ny - try hotel something little different ! 
 Jul 6 2009 	 Average 	 stay one night fancy stay part town . Room smell horrible window filthy . we ask could move , could not without fee . have already pay £ 167 not keen idea . breakfast ok , nothing special find staff little rude , cool location though , wicked night ! probably would stay , simply location 's nothing shout . 
 Jun 14 2009 	 excellent choice New York ! 	 stay one week ( 07 night ) Rivington Hotel June , great experience . the Hotel cool arrogant , guest modern stylish without snob . the staff door helpful front desk young hipster appropriately good attitude , really important all . the room stay ( 45 ) fourth floor , wide spacious bathroom steam , nice shower . bed incredible , simply giant , sheet pillow wonderful . the street full bar nightlife window noise proof . hear noise streetlife nothing really bother , can´t put sleep . my girlfriend great impression Hotel , enjoy lot . in morning breakfast good , selection bread , butter , jelly , cream cheese fruit . the atmosphere also calm , good music service . I always stay mid town Upper East Side , chose Rivington good option . modern fresh hip atmosthere . it definitely great cost benefit choice , strongly recommend hotel look rest like middle thing happen ny . 
 may 17 2009 	 mixed impression 	 stay one night Rivington give room high mark style comfort . however , hotel mixed experience . lobby common area wear shabby expectation consider top dollar price pay stay . enjoy room , return . 
 Apr 30 2009 	 one perfect stay one good stay . 	 stay Rivington twice business , Jan Feb 09 . time get awesome rate . first time really impressed . check - in give voucher complimentary tasting menu dinner restaurant downstairs ( delicious , way ) . room corner room relatively high floor small balcony overlook atrium restaurant big / deep soak tub ' ve ever see lovely shower view . fact , amazing view bed , nothing short magical snow start fall next morning . hard find fault anything stay . certainly cookie give turndown ! second stay nice , not feel like pull stop like previous stay . room get corner room much plainer low floor . sort decor , soak tub . bed comfy though . still get cookie turn - down even little welcome amenity nut , chocolate , dry fruit . use gym time small window , equipment great . room 's window face back hotel courtyard bar / pub think . loud Thursday night coworker stay since also complain noise certain night week . will definitely stay long rate competitive . the location great like walk distance good restaurant city ( Lower East Side ) . 
 Apr 28 2009 	 solid 4 rating 	 Expectations determine experience . want Rockefeller Center mid - town tourist haven place . hand , edgy ( tawdry depend perspective ) Lower East Side dynamic young vibe easy walking distance Village , Soho , tribeca . Subway & quot ; F & quot ; line 1 block away . 22 year old son & quot ; double double & quot ; room 16th floor . many NYC hotel room one bed . Bathroom interior , unlike room glass wall exterior shower . want high floor ( 12 ) view distance street noise . Beds visco memory foam outstanding . room bathroom compact , well lay acceptable size New York . Wi - Fi available throughout build free . room clean well service housekeeping staff , bathroom tile need thorough cleaning ( one negative ) . unlike post , find staff exceptionally helpful friendly . son leave 3 shirt room check track lobby return shirt . nice . not discount value include continental breakfast . save time money , basic ( fruit , cereal , croissant , coffee ) . stay 3 night tribeca Film Festival get fair rate $ 280 per night . favorable experience worthy return visit . 
 Apr 23 2009 	 beware hotel . 	 room smell bad - bad . view abysmal . neighborhood unsavory . furniture cheap , chip tasteless . would stay hotel free . staff oblivious problem hotel arrogant . first bad review ever write hotel travel constantly . 
 Apr 12 2009 	 dirty rude staff ! 	 staff actually lie . request something say yes nothing . staff uptight obnoxious . hotel dirty creature walk around night . 
 Mar 31 2009 	 nice location . average hotel . 	 two thing Hotel Rivington go 's location room . we stay high floor room Japanese soak tub . room good size need lick paint . fantastic view downtown bedroom bathroom . the hotel bar fairly dull also need care attention . get busy work drink apart not much go . be well go bar next door . breakfast continental buffet affair anything hot involve extra charge ! would look elsewhere future . 
 Mar 20 2009 	 Great Hotel close fine Gallery 	 Excellent hotel , close Michali Fine Art Gallery . come buy art find walk distance gallery .. make excellent investment delightful stay . 
 Mar 15 2009 	 perhaps Best Hotel view NYC ? cool hotel 	 start stay early Summer 2005 hotel officially open ( still paint restaurant bar open ) . see back page Conde Nast Traveler & quot ; Room & quot ; . lucky - actually get & quot ; Room & quot ; show article . year since , stay 30 night . great watch transformation neighborhood around hotel . initially little run , fill cool boutique restaurant . read review , accurate hotel hip trendy clientelle decor . love hotel . however , recommend friend feel bit scared hang Lower East Side . however , also friend take 12 year old daughter first trip NYC blast . why hotel special ? view bathroom . the view : want view , need room 7th 8th floor . definitely worth extra get high . south West view look financial district Brooklyn Bridge ( visible ) . north side room really want . high North face room view look way across midtown . highrise condo recently complete block away , either view Empire State Building Chrysler building . use able get full panorama . either way , simply gorgeous spend many late night watch light go across city . need LCD tv ? ? size layout room vary widely . basic accommodation uber - luxe hip suite . furniture minimal . wall white . almost artwork . get floor ceiling wall wall window overlook Manhattan . bathroom do glass tile lot window . many bathroom locate exterior wall shower full glass view ( strategically place frosted glass obscure private outside view ) . room enormous bathroom spoon shape tub fill spout ceiling , deep japanese soaking tub , full shower / sauna combos . hotel web site several good photo - really need add show full variety offer . also highly recommend hotel romantic getaway . may place spend week NYC ( centrally locate - good subway stop block ) , get bottle wine , bring food Inotecca across street , camp night tempurpedic bed crisp sheet . rest follow . . .Oh , finally do view , sure close drape fish bowl sun wake early . enjoy ! 
 Mar 4 2009 	 fabulous location hotel 	 love Lower East Side never stay area . hotel fantastic - first room freeze heating control break , quickly move . view brilliant , everybody else say bed amazing . food recommendation within short walk ' inoteca Schiller 's . spitzer great beer list happy hour . Soho tribeca also short walk away . can not wait return 
 Feb 27 2009 	 Hip Trendy 	 Hotel Rivington trendy , modern , sleek hotel heart Lower East side . nice room , decent continental breakfast include rate , comfy temperpedic bed great view tenament rooftop glass room . great old neighborhood new young vibe . bar / restaurant Thor young loud . 20 something kid . 40 's skip social scene hotel . , nice experience weekend . Hallways dark , beware ! 
 Feb 23 2009 	 Perfect place trendy week end NYC 	 return 3 day week - end New york . 2 night Revington Hotel contribute make memorable experience . first , location great want stay crowded touristic area city . low east side great alternative discover inside Manhattan atmosphere . hotel 10 mn walk Soho , Tribeca , Nolita Little Italy , 20 mn walk Greenwich Village Union Square , 5mn walk metro station could reach Central Park upper side ( take metro twice foot could'nt carry we anymore ! ) hotel trendy design . room immaculate offer astonishing view ( 11th floor ) . shower huge spotless . , matresse really incredible ; something like new system take account weight support entire body ' sur mesure ' . can not describe , experienced . the evening service leave night bed side table either cookie brownie ... appreciate attention ! definetly highly recommend place . 
 Feb 21 2009 	 cool hurt ! 	 stay hear girlfriend 30th birthday . email advance upgrade free charge arrival . the room large , bathroom unbelievable . soak tub amazing shower brilliant view Brooklyn Bridge . at night bar fill young beautiful downtown area . area hotel locate different mid town . different good way though . area full small restaurant street cafe . almost similar atmosphere Notting Hill . in summary , amazing hotel really make weekend special . would return heartbeat - ' ve save bit ! 
 Feb 2 2009 	 another awesome weekend hotel rivington 	 time past two year place ever stay NYC . not much neighborhood would spend entire weekend bed . bed awesome . even well bathroom . every time stay bathroom different . staff helpful friendly . know area well always good suggestion eat . clean , hip hotel amazing room unique design . suggestion place eat sugar sweet sunshine ( good cupcake ever ! ) creeperie ( food network ) good egg benedict ever order room service ! ! 
 Jan 25 2009 	 Fun feel like splurge 	 plus : big room , enormous , comfortable bed , view , soak tub ( need plan bath take hour fill ) , towel , sheet etc top quality enormous mini bar . everything need quite party . minus : cheap , although be quite lot cheap ny hotel class . reason 's cheap 's Lower East Side i.e . near anything else average tourist would want see . prepare spend cab . also find front desk pretty underwhelming . travel London good part jet lag wake we time watch sun rise skyline . well - plan bit conk without even eat dinner - could anywhere ! breakfast good order la carte continental breakfast include rate nothing special . book high floor corner king - note high floor anything 9th , consider 25 floor , push bit , although could still see plenty . summary , high style quality although stay place fonder memory - go show 's much spend matter ! 
 Dec 8 2008 	 bit chic Lower East Side 	 friend trust website metrotwin.com rave Hotel Rivington , decide stay recent trip . like Lower East Side cool fused bit pampering , be go love Rivington . stay 12th floor amazed quiet room , despite busy street . view room stunning . room spacious generous - bed gigantic tub bathroom could fill army . surprise , would recommend romantic get - away , much destination single traveler want get good local area - could not well place , bar ludlow stanton cool rock vibe go , make great place stay . 
 Dec 7 2008 	 cool school 	 ok - design hotel , expect trendy cool . hotel go overboard hip . fact hip guest feel uncomfortable ... good bit - view floor ceiling window deep large slate bath excellent . bed comfortable arrive late flight delay roomservice food excellent . however , corridor lighting moody literally gloomy dark , staff hand - nowhere evident breakfast ask , pay extra orange juice ... bed breakfast rate - come . experience room not justify cost , high even Manhattan - think carefully book . well location well hotel less money . 
 Nov 25 2008 	 fab start honeymoon 	 pick Rivington list twenty hotel would find NYC tick ' want & amp ; need ' . floor ceiling window location .... want non - gentrified NYC 's get ! 's door staff great , friendly welcoming . reception staff mixed bunch ... ' to cool school ' friendly approachable could not enough , guess depend 's desk view service ... know reviewer impressed service think may unlucky ! room stunning ... decor 's good nothing special give perfect backdrop real attraction room ... window . really let Lower East Side , balcony every time return room without fail , go straight balcony door ' let city ' . view stretch slightly north Williamsburg bridge right round Brooklyn bridge balcony Financial district distance ... new building world trade centre go be go to one helluva view ! shower bit concern although know window curtain book , would sort assume would mechanism frost glass ( frosted panel go waist height higher ! ) .... nope ! fear ' peep tom ' soon settle soon put water steam could see NYC could not see ! ! bed super comfortable tempur mattress good night ' sleep hotel ' ve ever have . the complimentary breakfast right want get going not go New York breakfast somewhere like Katz 's ( round corner ) plenty pastry , toast , cereal , juice coffee go around . I get feel hotel guest not type normally make breakfast ... familiar face stay particularly nice run someone hometown play Radio City week . be definitely sort hotel .... sort place cool enough discrete enough famous hassled , also mere mortal not feel place . the location good , be far subway station , three minute walk front door . multitude bar restaurant nearby , hip seedy mix . area like Soho , Little Italy , China Town Village walk able distance . even taste run chain fast food place represent too . if take fault anything would one thing ... laptop size safe not ... say anything big netbook size laptop forget , be go to use safe reception . otherwise fab 4 day night , Rivington really make first 4 day honeymoon memorable , will back ... view ! 
 Nov 21 2008 	 Positive Experience Good Service 	 stay two night last weekend . return . check - in check - out , staff ( everyone bell boy concierge bar staff ! ) lovely ready help whenever necessary . room high corner king , 18th floor . NYC standard , room big bathroom huge . true room furnishing show little wear , true beauty room lie glass wall put panoramic view NYC display . night , view memorable . tempurpedic ( spell wrong ? ) bed beyond comfortable , although spouse think firm enough . room small bar fridge use item . cookie fudge leave turndown staff - nice touch ! club night popular , never problem get back hotel . like nightlife right hotel ( convenient head upstairs sleep ' ve enough ! ) , may turn . downside stay Saturday night noisy outside ; even 18th floor could hear street noise 5 a.m. Friday night fine . would suggest stop attach hair salon ; good blow - out life serge great stylist . neighborhood full interesting shop ( especially vintage ) , cafe bar . 
 Nov 18 2008 	 Best Hotel New York City 	 recently spend 4 night Hotel Rivington never well time New York City . second walk lobby place , bowl . hotel exude coolness . make way past beautiful people hang bar , cautious turn head admire gorgeous staff . luckily get room , girlfriend comment beautiful male staff , make less guilty admire female . head one dozen amazing bar club immediate area , stop hotel bar drink thrill . drink delicious , affordable importantly surround amazing people . staff could accommodate every request make catered timely fashion . wish could think negative hotel honestly , almost good true . would highly recommend hotel traveler . 
 Nov 16 2008 	 hype hip 	 book high floor corner king balcony . not know , maybe 's , floor twelve 20 story building not exactly & quot ; high floor & quot ; balcony . include breakfast consist toast coffee , serve snippy wait staff waiting discover DeNiro . try get back hotel club first floor open would well hope doorman recognize bouncer will not let in . the picture website terrific , unfortunately , reality dire need reburbishment . shoddy workmanship mention previous reviewer show . interior decor not special ( well stuff Ikea ) . neighborhood definitely still iffy ( Lower East Side ) every bit grimey expect . proximity club nice , be it . it be much like Schrager hotel emphasis design precede comfort service . stay experience - - get decent rate ( $ 400 ) . however , standard rate $ 650 per night , well . hipper hotel , well location , well service Rivington charge . 
 Nov 10 2008 	 worth $ $ $ $ $ 	 much deliberation internet research decide Rivington not disappoint . there s much choice , Gansevoort , Hudson , Mercer view unbeatable Rivington , room good size visitor get experience low east side - cool area . always favour west village meatpacking , lot hip quirky bar / restaurant would not find stay new area . its pricey definitely worth pay high floor . corner suite load space . ( good wardrobe space ) . wake clear blue sky Manhattan sky line amazing shower view empire state awesome . we would definitely stay recommend friend , ask high floor possible . minor negative - rubbish collect 3 am pretty noisy ( 10mins ) . cool neighbourhood , early hour bar club close people street , noisy could annoy . staff really friendly helpful , complimentary breakfast NYC hotel always welcome morning Pastis chocca ! 
 Nov 4 2008 	 Nice Huge Room 	 room huge excellent condition . find service prompt . request room toward back building . therefore , sleep really well . however , weekend night . enjoyed stay low east side first time . 's fun neighborhood . not like small tile bathroom 's . overall , good place want pay price . 
 Oct 21 2008 	 Best View NYC 	 stay two night room 1825 ( unique room 18th floor ) . simply spectacular view midtown manhattan . never ever see view like hotel room . hotel bottle champagne waiting . street noise level bed extremely comfortable . bathroom floor ceiling window ( bottom half frosted ) quite unique . simply amazing hotel , quite pricey . 
 Oct 18 2008 	 Loved ! 	 recommend hotel friend not disappoint . want see non - touristy area NYC Hotel Rivington really start holiday style . 's relaxed atmosphere , cool decor , smart room , funky bathroom great view make unique hotel . love , even wake early take picture sunrise 16th floor view great . 's smart hotel , something little different , slightly pricey pay expect get class ! Ipod dock , bottle wine arrival , beautifully soft towel , amazing mattress ( memory foam ! ) cool light ! want somewhere different - place ! 
 Oct 18 2008 	 amazing ! 	 love ... simply amazing .. view , area good real newyork feel .. touristy kind thing .. cafe resturant near ... hotel trendy decor .. friendly friendly staff ... u feel home .. would like recommend ppl stay away standard room ... request upgrade see standard view .. cuz u want stay hotel u pay alittle get amazing view real city.u get see sunset rise new york good way possible . 
