excellent 	 pleasant find ! room bathroom c - l - e - a - n . mattress new comfortable . include breakfast good , convenient unlimited . front desk staff great ! discount parking garage directly across street . block away Times Square ! can not beat . 
 Excellent Hotel ! 	 husband stay hotel parade last week . location great , staff friendly , room clean . yes , room small , want stay room time be New York City ? ! would highly recommend hotel . free internet access , free breakfast , can not find well bargain midtown . book hotel phone receive low rate online rate , receive another 10 % check ! stay ! ( sure bagel breakfast ... good ! ) 
 GREAT ! 	 hotel much well expect ! clean , quiet ( be rare ny , especially Times Sq ) , friendly staff , comfortable bed . definitely back cute little hotel . thank great weekend NY , Comfort Inn ! 
 great location price 	 situate half block Times Square place gem . well price area upon arrival inform would another 10 % reduction . room good size king size bed comfortable . Breakfast include consist toast , bagel , muffin , danish , cereal , yoghurt fruit drink . always plentiful supply staff member ensure everything clean . issue hotel concierge however staff helpful . 
 Oct 19 2009 	 excellent hotel great staff 	 first visit New York . location hotel allow we visit Opera House , Metropolitan Museum Art Cloisters . hotel right Broadway , 2 block Time Square . travel subway easy thank superb friendly advice personnel hotel . allow we store luggage day check several hour also follow week return second part trip , 6 hour stop ny . room quiet , clean , nicely decorate bed oh comfortable . thank Comfort Inn make first visit wonderful memory ! ! 
 Oct 15 2009 	 great location - would definitely go ! 	 stay 8 night really ejoye stay . clean room ( room 906 , big have expect read small Manhattan hotel room ) , free breakfast internet , nice stuff last least absolutely perfect location Times Square ! get go NYC , would love stay ! 
 Oct 11 2009 	 great stay money ! ! 	 husband & amp ; spend 4 night hotel sightseeing friend . NYC several time pay twice price hotel , pleasant surprise ! Great Times Square location ! room large , adequate nicely appoint . everything , clean . staff quite friendly & amp ; helpful . basic breakfast include ( be additional saving ) . also please car service book we . $ 5 cramp cab ride JFK hotel . will definitely book hotel future visit . 
 Oct 10 2009 	 far bang buck area 	 pay $ 135 / night height tourist season newly renovate room block Times Square . room small , comfortable . possible , request 01 02 room - be corner quite bit large . highly recommend hotel , go - to hotel future NYC stay . 
 oct 9 2009 	 Excellent choice 	 ' ve stay NYC many time pay triple hotel even come close value convenience Comfort Inn Midtown . room spotless , continental breakfast include ( bagel , toast , cereal , yogurt , fruit ) , business centre not charge internet access print boarding pass , location fantastic especially see theatre , staff helpful courteous . ask room not face street window basically face brick wall first time hear absolutely street noise NYC hotel ! quiet great . would recommend hotel anyone visit NYC . 
 oct 8 2009 	 excellent small hotel central location . 	 travel NYC many time last couple decade may well deal hotel see . be spotless , locate center everything , close several subway stop room size nice . the staff also nice . would hesitate recommend hotel someone look great price nice room . 
 oct 2 2009 	 great location 	 hotel $ 140 / night basically cheap NYC standard unless want stay crackhouse like Madison Hotel . small room everything need , even flat screen t.v . show since everyone know be visit NYC be hardly go room ! however , say , want stay somewhere comfortable long day wander island . staff nice , free internet room , keep luggage problem already check want walk around bit move next destination . great location , 2 min walk Broadway Ave . near Bryant Park . thing bathroom door would not close fully luckily boyfriend not matter much ! 
 Sep 29 2009 	 Great Hotel people budget ! 	 bf stay mid - May 2009 wonderful time . hotel perfect location ( block Time Square Rockefeller Center ) provide thing need . room 's safe nice . room relatively quiet 's location general noise city . nice walk far main subway station . spend time walk around hotel easy come back familiar area . would stay next time be ny . staff nice pleasant deal . 
 Sep 26 2009 	 Great Staff Great Location 	 stay 1 night Stopover end vacation save money . impressed staff friendly helpful . room small ( stay another NYC hotel previous week large way expensive ) immaculate , clean , soft towel comfy bed . the location winner we , Scottish Bar across road pretty nice go View Bar Top Marriot Hotel cocktail , buffet experience revolving bar / restaurant . Times Square end block find hotel quiet . would stay short break . 
 Sep 25 2009 	 good hotel Manhattan stay 	 spend five day hotel vacation . room small three we , expect ; otherwise , clean quiet NY City . location outstanding theater subway station close . staff friendly helpful . also provide free basic continental breakfast ( small room ) exercise facility . rate ( Manhattan ) good would definitely consider hotel NY stay . 
 Sep 22 2009 	 Hotel make friend 	 Excellent hotel , nice people view , since bellboy boy 's breakfast . recommend sure . 
 Sep 19 2009 	 New York Jewel ! 	 stay 2 day Comfort Inn perfect ! location great , room newly remodel attention comfort clean . price ? offer steal ! 
 Sep 16 2009 	 would not hesitate stay . 	 daughter stay three night . ny enjoy theatre . hotel perfect location ( 1/2 block Times Square ) . room small ( unexpected ) , space need . room well - appoint , spotlessly clean quiet ( 2nd floor away street ) . bathroom also clean functional . like business center continental breakfast convenient . would not hesitate book . staff helpful knowledgeable . 
 Sep 15 2009 	 good hotel excellent location .... stay . 	 stay 3 day weekend mid Sept . first time hotel please entire stay . check - in go smoothly staff professional . room somewhat small side ... king size bed big screen tv room . room face street extremely quiet . convenient Times Square . go NY year see play usually stay comparably price hotel area ( Milford Plaza , Hotel Edison etc . ) . much nice hotel 5 minute walk Times Square . definitely stay . 
 Sep 13 2009 	 back ! winner ! 	 indeed , great location - a block Times Square , close good restaurant theater district . room small , expensive hotel much small room . not expect many frill great view , staff friendly helpful , bed comfortable ( pillowtop ) , room clean . not ask write review , decide hotel choice future trip . unbeatable value location . 
 Sep 10 2009 	 pleasant stay ! 	 stay hotel 9/4 - 9/7 weekend . would say hotel staff encounter friendly . hotel room fancy clean comfortable . location great , close Rockfeller Center Times Square . subway line accessible within two block . would suggest bring ear plug visit New York case , really help get good sleep matter get front side back side room . Midtown New York true & quot ; quiet & quot ; room , beleive . breakfast good . really recommend hotel . unless look style , great choice . 
 Sep 8 2009 	 warning : Print copy reservation get extra charge 	 will not repeat reviewer say -- place good location , great room , etc . but two things.1 ) check , hand we welcome package include note & quot ; write review tripadvisor enjoy stay & quot ; . reviewer point hotel come . keep mind.2 ) like another reviewer say , problem $ 15 extra surcharge . make reservation , update . check , woman behind desk could see original reservation . want charge we rack rate + $ 15 extra ( discount rate ) . thankfully , hard copy reservation right . see , correct get initial rate . correct right away , incident strike really odd , despite we enjoy stay . advice : PRINT reservation doublecheck stay . 
 Sep 6 2009 	 Nice Hotel - Nice Location - would stay 	 get back Labor weekend trip NYC . always stay New Jersey side hotel cheap price amenity . however , time want stay mid - town close city excitement . hotel nice location convenient subway - orange line right around corner different subway line option block 42 Time Square . Top Rock 3 minute walk distance away - top end Times Square . surprised easy get hotel JFK airport . hop Air Train Jamaica station take LIRR take 25 minute reach Penn Station . 20 minute walk Penn Station hotel take taxi take subway Times Square one stop north . hotel , clean seem remodeled year back . staff nice helpful - room ready upon arrival around 11 . issue noise street . pub across street get loud night run AC window unit drown street noise . like hotel would stay next visit NYC . hotel free wi - fi room - could use iPhone check LIRR Subway schedule . 
 Sep 4 2009 	 Great experience 	 check check , experience wonderful . Ivonne , front desk cheerful welcoming . gentleman assist we handle luggage great well . room immaculate breakfast great . also enjoy fact able store luggage check . stay next time sure ! 
 Sep 3 2009 	 arrogant staff - Poor Customer Service 	 reserve room Apple Core Hotels . location good theater event room decent , customer service terrible . room reserve name credit card - maiden name . husband able check , question ask . attempt check refuse give key return , change rate , proceed quote corporate policy - $ 15 dollar increase . walk wait husband re - enter woman talk employee . interested get we initial $ 15 increase . send online complaint corporate site GM answer complaint manner indicate employee get arrogance ignorance . guess ... woman . GM bother introduce ask we question night . want initial . addition , husband ask employee direction theater . ' not know ' would suffice . send we two avenue four block way . theater literally around corner hotel . lose 20 minute rush back make 8:00 pm start . do not bother ! plenty great hotel low price area . 
 Sep 1 2009 	 Great Location 	 wife stay hotel Aug 26 - 30 . find clean , comfortable quiet . many other post , hotel great location . find staff helpful friendley . would stay without question . 
 Aug 22 2009 	 Quaint hotel great stay ! 	 could describe hotel one word , would quaint . recently come back pleasant 3 night stay . actually book hotel month ago , cancel find well rate , re - book rate become good one . get excellent AAA rate book hotel 's website . arrive early , room not ready , tell check back 12 would ready , even though check time not 3 . let store bag use business center something really need check . breakfast room open 7:30 - 10:30 , open arrive , not use follow morning . not come back later afternoon , check give room 809 , 1 queen bed travel . room small , quaint charming . clean , quiet , backside building , view wall window another building . suit need fine . nice flat screen tv , comfortable bed , desk , decent size bathroom closet . complaint , perfect . free wireless internet great amenity , work perfectly , never lose signal . complaint room wake call line always seem busy , use alarm wake , big deal though . really nice alarm clock Ipod docking station . hotel small room , size overall . hallways narrow 's one elevator ( problem ) . front desk staff nice helpful . breakfast room , not many table , good selection food , like cereal , yogurt , donut , waffle , bagel , toast , coffee , juice , milk , fruit . always take food back room eat , also see people eat 's lobby . business center two computer open 24 hrs , fitness center , not use . 's two vend machine lobby , ice machine basement , kind creepy ! check in / out flight check self service kiosk lobby , try get boarding pass not work , maybe airline , not know . go business center print charge . hotel 's location perfect , Times Square minute 's walk right , subway minute away . always seem cab available front , 's restauraunt nearby . be also close walk / subway ride away attraction . glad change reservation back hotel , regret . definitely stay , actually may change reservation next NYC trip October . price great , use AAA rate , show card check give rate , 's sign th desk note , AARP rate notice . will definitely back , would recommend hotel anyone . great stay ! 
 Aug 21 2009 	 great value great staff great location ! 	 stay three night enjoy every moment stay . yes room small need . clean , comfortable good , super close everything . short walk Broadway , Restaurants , Parks every thing make New York exciting place know . quickly greet friendly , smile staff upon check smile continue throughout entire stay . the breakfast area small enough choice please everyone . continental breakfast . , let mention room small go NYC hang hotel room ? absolutely complaint hotel staff without doubt stay . except next time , stay night . highly recommend hotel 's value , comfort , convenience , cleanliness friendly , helpful staff . 
 Aug 20 2009 	 horrible check experience ! 	 book hotel online arrive print confirmation , confidence hotel honor ? not sure make reservation via Choice Hotels ! choose hotel carefully read many review . special occasion come NYC celebrate wife 's birthday . arrive 11 pm exit even plan late dinner check - in nice nearby restaurant . however reception person print registration form rate $ 50 high per night . show print confirmation letter show original rate , say 's nothing & quot ; either sign form withe high rate check & quot ; . ask first get room sort refuse even suggest not like rate maybe look another hotel , think outrageous ! try call Choice Hotels . take 20 minute wait talk , amazingly decline rate ! finally talk Choice Hotels supervisor , turn rate raise & quot ; call ask room face back - side & quot ; avoid street noise . needless say - never mention would change rate , hotel charge extra anyway . midnight finally check give agree sign registration form . nervous frustrated dine fast food place since restaurant already close . matter settle follow day , Choice hotel customer service call , admit mistake , reset rate say will even discount one night compensate . unbelievable finally check , additional discount forget ! ( bother fix ) hotel management claim Choice Hotel 's fault . think guy reception honor letter , check we sort instead offer we look elsewhere . last - hotel room nice . bad overshadowed Check experience . 
 Aug 16 2009 	 cheap pratical choice 	 stay week . wonderful stay , good continental breakfast , clean room , stay less square Times Square , go many attraction foot ( Central Park , Macys , Rockfeller Center , St. Patrick Cathedral , 5th av , Park Ave . , Apple , Broadway , HB ... ) , preffer subway bus station nearby . will certantly stay whenever visit city . 
 Aug 9 2009 	 Hotel location convenient hotel clean 	 upon arrival noon room already ready . hotel small room tiny expect . price location could not beat . room hotel clean . parking garage diagonally across street stamp Comfort Inn cost $ 23 24 hour . would highly recommend hotel . also , ' m noise conscious find hotel quiet . 
 Aug 5 2009 	 great location 	 recently stay Comfort Inn 46th . close time square many broadway show many restaurant . location great . room small clean . breakfast add plus . 
 Jul 31 2009 	 great place Great Location 	 room good . great location , half block main Times Square . easy access subway . simple breakfast ( 1 fruit , cereal , milk , yogurt , bread . 's ) 
 Jul 27 2009 	 Beat Place 	 stay 21 til 25 July . 2nd time stay since March disappoint . originally choose stay due excellent review site . get great rate $ 149.99 fall $ 129.99 free breakfast free wi - fi fantastic price central location . agree reviewer say speed average LA free wi - fi get slow . could complain room last time time even well set like . tv face bed instead side shower cubicle instead bath / shower combi . modern furnish appear like newly renovate . service day regardless time leave room . every member staff encounter great go way . glad find hotel make affordable come often . it may modern building outside let stop . St Andrews Restaurant Bar opposite serve great food service excellent . loved chinese food John Shanghai opposite slightly . fantastic time hotel choice New York . 
 Jul 27 2009 	 excellent location Comfortable Quiet Friendly 	 rely heavily TA travel plan ; , say positive review hotel accurate . first visit NYC ; , location fantastic come NYC explore . nearby Metro station bus stop . cram alot short day ; , comfortable , clean , quiet room get make sleep instantaneous ( take TA reviewer 's advice ask room back hotel ... room face back lovely church next door ) . two reasonably price nearby restaurant recommend : & quot ; Utsav & quot ; ( good indian food ) & quot ; Amarone & quot ; ( italian ... went go Broadway show love ) . 
 Jul 27 2009 	 Great Place stay 	 husband visit New York City first time end July - say pleasantly surprised cleanliness hotel . room big sufficient seeing not go New York City stay room . give room back hotel - quiet absolutely view . would stay hotel - definitely yes . close Time Square lot attraction walk distance . 
 Jul 27 2009 	 find gem ! 	 Staying Times Square not cost fortune . newly renovate hotel step away , include decent continental breakfast room , large , clean , up - to - date comfortable . will stay whenever visit city . 
 Jul 23 2009 	 friendly hotel great location friendly helpful staff 	 stay two night July 2009 . unlike NYC hotel , one quiet staff friendly helpful . room size would small anywhere besides Manhattan , everything conveniently arrange comfortable . nice bedside reading lamp iPod compatible radio . plus wireless internet signal much strong hotel . bed comfortable , room clean apparently fairly recently refurbish . nice free breakfast . could not beat location want near Times Square . plus price extremely reasonable . ' ve already recommend hotel several friend . stay , check O'Briens Irish Pub across street Connolly 's around corner 45th . 
 Jul 20 2009 	 Great Value 	 agree post . great value excellent location . Times Square around corner . restaurant row block away side Times Square . many theater close . NBC Radio City two block away . great central location . staff friendly helpful . room small recently renovate . breakfast simple , need . would certainly stay . 
 Jul 16 2009 	 great hotel convenient location 	 previous review right - great hotel value street right Times Square . room small , expect NYC , beautifully furnish - really notch well would expect Comfort Inn . staff friendly go way help . fellow breakfast room especially helpful . free breakfast NYC great perk ! room public area extremely clean , . place bargain tourist theatergoer alike . 
 Jul 15 2009 	 great hotel amazing location 	 moment check , could tell hotel go good . clean , fresh look lobby area , friendly staff effecient check process . the negative point : room bit darkelevator bit slowThe street outside smeel bite sometimesshower loud . those negative point think , positive : spacious roomsfree WifiGreat locationnice breakfast24 hour business centrein room safesfree phone call within USAModern furnishingsvery comfy bedsgood air conditioningroom service daily- clean towel etc . overall excellent hotel look forward stay . really could not fault whole stay apart minor incident check - out that s worth mention . I would hesitate recommend hotel friend ! 
 Jul 8 2009 	 Great Place ! 	 place totally exceed expectation . room clean furnishing nice . location awesome . would stay . 
 Jun 8 2009 	 COMFORT INN live review 	 get back today NYC stay Comfort Inn Midtown 06/03 -06/08 . hotel clean comfortable . room small , NYC expect . ask large room could get away street oblige . sleep well , notice careful door slam easily . 1 elevator , choose walk stair scared might late Lion King . not . staff excellent always ask we need anything come downstairs . breakfast great . fruit , cold cereal , toast . , danish , bagel , toaster waffle , boil egg , ect . wish microwave though . like cold boil egg . love whole wheat toast ! breakfast room small , would always go table 1 2 sitting ask sit , wait never long . stay . LOCATION , . LOCATION , LOCATION right Times Square close subway . glad choose ! staff direct we Rosie ' Grady be eat twiceone great amenity offer homd suitcase room ready , able go Times Square readie room ! 
 Jun 8 2009 	 great experience 	 stay property back March 2009 total 5 night delighted stay . wonder many good review - 's truely great choice hotel Manhattan ( Times Sq area ) . not like hotel : 1 . room really tiny - especially face street unusual NYC hotel . window kinda fake cause face wall another building , almost daylight room due hot , also quiet . also , can not even open window rely airconditione . 2 . a / c noisy great - sort like powerfull , soon cold & quot ; windy & quot ; room . iit might good thing summer 's hot ... 3 . stay cheap - pay area . also find great deal hotel website - way well deal major hotel booking site definitely check ! thing like make stay pleasant : 1 . room & amp ; bathroom spotless clean , clean staff great job ! 2 . also enjoy free continental breakfast - staff breakfast room efficient , nice helpfull , place clean , food great - good choice ( yogurt , juice , tea & amp ; coffee , waffle , bagle , pastry , donut , fresh fruit etc . ) & amp ; always fresh & amp ; yummy . tea & amp ; coffee day long take cup room afternoon etc . 3 . location great - 2 min time sq , walk everywhere , major attraction , shop , sightseeing double - decker etc . be also plenty good expensive restaurant bar ( e.g . 2 irish bar opposite hotel ) , good quality take - away etc . 4 . be also tiny business centre ( pc , fax , printer , internet ) hotel 's free charge - e.g . always travel laptop ( free wifi ) leave printer home ; ) - need print broadway ticket confirmation - free hotel . convenient say be book attraction online last minute . 5 . also iPod docking station room - well do ! not expect delighted : ) really enjoy stay would definitely recommend . case lot advantage disadvantage - mention give fair review : ) would definitely go back ! 
 May 31 2009 	 's good ! 	 stay hotel find Trip Advisor . clean , convenient well price . Less block Times Square . great breakfast ; great staff ; clean great value money . 
 May 31 2009 	 can not beat location staff great . 	 stay twice May , great place stay , around corner Times Square quiet safe street . sure , room small , clean , well appoint modern . stay king room , would recommend room face street larger light . little noise street facing room , mainly early morning gargage truck go , time problem . flatscreen tv room , coffee tea make facility , plenty drawer space , bed comfortable . Wifi free room throughout hotel , also computer room 2 printer guest use great travel without laptop . breakfast great , cereal , toast , range pastry bagel , waffle , boil egg , fresh fruit , juice coffee . Coffee Tea available breakfast room throughout day . other comment , breakfast room small , never wait long table day not wait long . staff member work breakfast room friendly , make sure food replenish regularly keep area clean . find hotel staff friendly helpful , securely store luggage late flight etc . location fantastic , room may small , New York value money great hotel . highly recommend ! 
 May 28 2009 	 can not improve near - perfection planning 4th stay .... 	 ' ve look Trip Advisor elsewhere affordable Manhattan hotel upcoming long weekend New York City , think finally realize one can not improve near - perfection . 's choice , fourth time five year , comfy , well - price ( New York ! ) hotel good location City ! room clean , comfortable , attractive , staff attentive , ( like reviewer mention , staff member seem every year , include gentleman man busy breakfast area attentive job . ) find can not beat location , price , free breakfast . husband loves get early every morning run around corner Rockefeller Center see today Show . ' ve walk easily Broadway show , see Naked Cowboy Times Square couple hundred yard away , dine excellent restaurant area ( great italian restaurant across street Scottish Saint Andrews Pub affordable dinner wonderful atmosphere around corner . ) ' ve easily catch nearby subway Central Park , Village , Battery Park . always home away home we , truly appreciate great little hotel . 
 May 17 2009 	 Comfort Inn Midtown winner ! 	 bit risky choose inexpensive hotel good location NYC . Comfort Inn Midtown real winner we . first , location perfect - half block Times Square . next good thing friendly helpful staff . pleasant see sign frustrate , tired empolyee . go way offer help - especially & quot ; Sidibi & quot ; bellhop . room crisp & amp ; clean nicely furnish . room spacious like . first assign rather small room toward back part hotel . simply ask another room space window view . say ( handicap room ) , yet ready . gladly wait ( sightseeing Times Square ) . give room 602 2 window view . four day later 602 need handicap person gladly move 802 . actually move thing we new room could way . room spcaious comfortable lot closet & amp ; drawer space . keep mind - New York space premium . complaint dining area small . food good . yes would definitely go back hotel - ask front room face street . street noise whole week . 
 may 16 2009 	 great location 	 $ 175 / not use AAA must well bargain Manhattan ! room tastefully update , desk , flat screen tv nice lighting . room 500 , view brick wall quiet . rest family street face room , 501 & amp ; 601 , large also street noise . nice continental breakfast , fruit , yogurt , bagel , pastry , toaster waffle , juice , coffee small room , take coffee nicely appoint lobby . two computer internet . staff helpful courteous . 1 block Times Square , theater district . multiple subway stop nearby - get map front desk . try Grey Line bus tour foot wear . lot restaurant W. 46th . try Havanna Club door . 
 May 11 2009 	 Fabulous 	 extremly good vbalue money ... good breakfast courteous staff 
 May 6 2009 	 Best Bang Buck 	 stay 16 month ago . lady work front desk last time still remember . also man take care continental breakfast area 16 month ago . fact employee still speak well hotel opinion . make sure ask room face street noisy middle night otherwise . room rear hotel quiet though . would reccommend hotel excellent location clean comfortable room . rate book one month trip $ 189 night . two day leave check on - line rate drop $ 149 night call adjust rate problem . 
 May 6 2009 	 Best Hotel New York City ! 	 teenage daughter make yearly trip NYC shop see Broadway show past 3 year stay Comfort Inn Midtown ! location wonderful , room comfy quiet service great ! complaint frosted bathroom door fix problem get brochure lobby tape door privacy ! ! great hotel great price ! 
 May 5 2009 	 Location - Great Staff - Location 	 excellent location , staff impeccable , strongly recommend , return NY hotel , need repair elevator air condition e slow , regard room bathroom good clean spotless 
 May 3 2009 	 Location - Location - Location 	 return May 2 teenage son . perfect place . good hotel charge 2 3x . Room update clean . bed comfy . absolutely problem . everything close within walking distance . return New York stay hotel . Jovannie front desk helpful pleasant . fact staff friendly . like someone say hidden gem middle New York . 
 May 2 2009 	 Great Location Staff 	 can not beat location , one half block center Times Square . comfortable old hotel . breakfast good , clean spot . can not say enough staff - terrific . 
 May 1 2009 	 great hotel kind staff great location ! ! 	 stay four day hotel . surprised near Times Square ! even breakfast include price acommodation , usually hotel NYC . room quite . staff helpfull kind . would definietly recommend hotel probably come back one day beautifull town world , course hotel ! ! ! : - ) 
 Apr 28 2009 	 good 	 return NYC stay Times Square . second visit hotel . mini family reunion 8 we please everything hotel . staff fantastic ! helpful many way , 4 five people 2 yr ago , nice see familar face . Continal b - fast nice bagel , donut , cereal fruit . location GREAT ! staff room clean everytime get back see city . give great recommendation eat direction . staff encounter make stay perfect . RonP 
 Apr 26 2009 	 excellent hotel 	 stay comfort inn 6 night 14th-20th april staff great room clean fresh towel every day close everything minute times square would deff stay would recommend anyone look clean comfortable hotel centre new york 
 Apr 20 2009 	 pleasant surprise ! 	 look comfortable , affordable , conveniently locate , clean hotel . Comfort Inn Midtown turned hope . location 1 block Times Square amazing , hotel seem enough beat path hectic loud . sure traffic noise , be big city . hotel 70 room 9 compact floor -central elevator separate floor 2 wing 5 6 room per wing . nice feature - clean , comfortable bed , continental breakfast , friendly , helpful staff , access free wireless room printer accessibility small business center . would definitely stay . 
