feel 	 Platinum Ambassador chain really expect take care give notice celebrate wife ' 40th . get upgrade executive king room impress room . bathroom 5feet 7feet . mould water leak wall . light dull dressing table hair dryer socket situate WC wife stand infron toilet curl hair dull light . toilet seat numerous chip look awful . cup coffe fancy new coffe maker afterwards discover allow one coffee day , ( ) , free coffee would charge $ 3 plus tax . bring back kettle free coffee , tea hot choc please . first night exhausted go bed 1830 surprised doorbell rang 2130 . clean want check room . 0230 morning back home shatter . never visit late rang complain . tell fault put disturb sign . room 8th floor could see sky . room dark gloomy . bed comfy mtress topper . ask room change bright room never happen . drink expensive . vodka coke JD coke $ 20 2 breakfast $ 65 . breakfast buffet quite extensive expect , thing cold . good thing eat cold bagel salmon cream cheese freshly make omlette . ask 5 time juice one morning end go pick caraffe . waiter come snatch hand . foyer impressive music play guitarist evening quaint . concierge service keen assist help thing may gain commission unhelpful issue . online concierge service work tv either . gym unsupervised go first morning steam sauna find turn . rang maintenance came show turn . emergency stop button timer activate service . way alert anyone distress service change room remote . fitter say alarm sound service get hot . require sauna need turn hour go . street noice loud glass garbage truck wake we around 5 - 5.30 . New York brilliant enjoy everything . would go New York would stop Barclay . 
 Fab Time Barclay Intercontential 	 nine us girl stay Barclay 20th 23th Nov great time . could fault hotel staff room service first rate . arrival check within second , luggage take room immediately , room immaculately clean , staff could helpful . the hotel well situated get around next Grand Central Station , short walk Rockafeller Centre Times Square . I would definately recommend hotel anyone . 
 old dirty expensive staff attitude 	 barclay locate conveniently walk distance 5th Av UN building . however , would advise anyone stay hotel . lack ( friendly ) staff , room old , dirty expensive . with two staff check entire week ( rest staff hiding office behind check ) , start bad . check almost take hour , tell reserve early check room ready . , two hour later wait 45 minute get key . unacceptable . the room small ( expect NYC ) , urgent need thorough clean complete renovation . furniture dusty greasy , bathroom feature mould , hair , strange stain . ask housekeep clean bathroom , indicate would happen next day ( conveniently check ) . complain reception impossible , busy . bed ok . AC , noisy air recycling system . Windows open , noise outside much . good side , room quit , room next elevator without noise . wifi room , wifi reception area free . breakfast good . weekend buffet , week omelette station ( good one actually ) . breakfast expensive though , buffet usd 39.00 ( ex tax service ) . add usd 9.00 ( ! ) espresso . indicate , lack staff staff extremely rude arrogant . actually think rude self - defence , otherwise would able cope many complaint . since wifi available reception area , spend time watch one person complain possibly everything one could complain . , old dirty room amenity cost around usd 450 per night wonder people disappointed demand improvement . 
 Oct 31 2009 	 Great Hotel 	 wife wonderful stay Barclay . week lead NYC Marathon . read mixed review property go little nervous , point enough stay free willing take chance . stay fantastic . two terrific night . room seem renovate modern , clean spacious . staff super attentive polite . elevator always available , lobby absolutely gorgeous . place fire cylinder pleasure stay . folk complain Barclay need reconsider give another go . seriously , place great . one complaint - $ 13.00 per night internet service . anymore , not . 
 Oct 30 2009 	 good location poor housekeeping 	 room need good clean revamp . Carpet stain , wear dirty . not look like maid hoover carpet throughout stay . drop ( unused ) cotton bud remain bathroom floor throughout visit , clean either ! thick dust skirt board dirt bit behind furniture , rom not apperar thorough clean long time . eat hotel one evening , food good pricey . fact , evverywhere pricey NY even food rubbish . would love visit NYC day , hotel good location , round corner Waldorf Astoria . Hope Barclay read people comment improve housekeeping change filthy carpet . 
 Oct 30 2009 	 let 2nd time - will not 3rd 	 , make reservation 5 month ago ... , ' ve platinum member loyalty scheme year ... get reception 12 - hour journey small child not room ? bill disaster last time stay ... never ! 
 Oct 25 2009 	 Fancy Lobby Great Location Clean Tired Rooms 	 Superb mid - town location killer hotel , be middle Manhattan , close subway , Rockerfeller Centre , Radio City Music Hall , MoMa , load thing , too . the lobby impressive gateway hotel certainly set scene grand opening hotel . unfortunately , reception staff feel give air grace . not . nb . not extend concierge bell captain really helpful . unfortunately swanky lobby not extend room upstairs . not get wrong , be sizeable especially New York . be clean , tidy , definitely begin feel age , especially bathroom also completely fine , need spot updating . would go back ? yeah , probably , would definitely look around offer well . 
 Oct 23 2009 	 ! ! ! ! 	 frequent business traveler New York must tell far bad hotel ever stay New York . first room size shoe box bathrooom even small . decore old tv 's 10 year ago . window small room feel like coffin hot water whatever water get drip drip . finally charge $ 6 coffee $ 16 glass wine . build 90 year old guess ? feels , look smell like 90 year old . dissappointe Intercontinental Chain idea would put name property . never stay hotelt ! ! 
 Oct 20 2009 	 live expectation 	 read negative review travellingour experience good quality room fresh decorfacilite ok although drink , food expensive - like 5 star realklystaff friendly helpful throughot stay-5 night . hotel olf fashiione ambience style beautiful looby . in short like stay , well situate Midtown site etc 
 Oct 14 2009 	 barclay- bad disappointing 	 great location midtown Manhattan real pleased stay . I would rather spend extra money 200 - 300 night stay Waldorf Astoria . room small suite ( two room ) . nicely appoint bath small bathroom . room 13th floor noise rooftop ventilation loud . also chronice whistle doorman hail cab annoying . even 13th floor ! ! complimentary coffee lobby lame consider part Holiday Inn chain comp coffee available Holiday Inn express , what s ? concierge excellent . overall bad will not stay . 
 Oct 13 2009 	 do not stay - dissapointing 	 stay 3 night Crowne Plaza Times Square , 1 night ( last night Barclay Hotel ) Barclay cost lot stay last night special treat , wish stay Crowne Plaza whole time Barclay expensive tired comparrison mile away anywhere , staff rude , dissapointe , change room well , bathroom old thing room break iron board . stop Crowne Plaza modern stay friendly staff great location . Barclay Hotel be not recomende unless want nice reception area that s that s nice . 
 Oct 12 2009 	 nice hotel never five star 	 stay 5 nite book hotel website , great offer include breakfast . try email five day arrival , question , never answer . call one day advance get answer want . hotel date well keep . room ok bathroom really tiny . bathrobe house shoe room carpet look really old use . donot understand call five star hotel . swimmingpool either , well equip fitness center . breakfast buffet great way much . two day switch la carte . include price breakfast $ 47,50 per room buffet cost $ 30 per person plus tax . count . people front desk nice . problem early checkin late checkout . location one good . easy access everything want see . european : yes open window get fresh air . would visit hotel , would get price , penny . everything pleasant nice stay . please donot expect five star hotel . really donot know , give star . 
 oct 9 2009 	 ok hotel favorite 	 stay intercontinental passable . front desk check overly friendly- pretentious , poor customer service skill . room large ; beg comfortable ; bathroom small , dirty , outdated peel wallpaper . read review coffeepot room irritated whole stay get dress go downstair get coffee . leave packing suitcase , find & quot ; coffee service & quot ; . hide inside side entertainment armoire . surprised 2nd last day stay come back hotel long day sightseeing find entrance block . security people rude ask go . go metal detector , show room key wrong color therefore stand line front desk one person work get black room key . evidently 4 head state stay general assembly UN . understand heighten security thankful . however , someone check could inform we would jump hoop order gain access hotel . pain . would stay ? perhaps , probably . many choice hotel NYC , would choose somewhere else . 
 Oct 8 2009 	 nice business . 	 nice . excellent service . large size room ny . 
 Oct 7 2009 	 old nice hotel 	 hotel old charm , become someone like practical lean . suite large bedroom area living room divide big piece furniture hold tv.bathroom small compare size room , kitchen area coffee , fridge sink . bathrobe nice complimetary bathroom product provide . the crib give soon bumper good . the maid come twice day ( turndown service ) always fail replace coffee ! room clean old antique furniture . the intercontinental make think Biltmore Los Angeles , piece history feel old . staff courteous housekeeping service good . 4 night last night security go lot UN conference , glad leave become ( good reason ) airport security like entrance . overall pleasant stay , would recomment book something big United Nations since diplomat tend book . like new hotel . like & quot ; boutique hotel & quot ; . otherwise central location walk anywhere . 
 Oct 5 2009 	 good hotel 	 find hotel quite standard 4 * business hotel . excellent location . staff warm friendly , service adequate business like . room size , furnish , decor ammenitie meet expectation intercontinental class hotel . king size bed comfortable . bathroom small size adequate right ammenitie . , good short stay New York would stay hotel . 
 oct 4 2009 	 worth pay it- like camping 	 Intercontinental Barclay beautiful old hotel excellent location $ 400 per night get pay . charge $ 13 internet service work first time use . contact hotel could trouble shoot problem . use free wireless service slow . remote control never work light bulb burn bathroom make dark room even dark . coffee room coffee maker never replace , even telephone call request . order another pot coffee room service . first day housekeeping arrive 3 - 5 pm second day woman repeatedly ring door bell knock 9 am . course sleep , . hotel self proclaim luxury business hotel far luxurious . pillow bed give we neck ache week . do not misunderstand would gladly stay be not pay $ 400 per night money change W Lexington block away . 
 oct 1 2009 	 elegant hotel great price great location 	 take shuttle airport get drop Grand Central Station . barclay locate side GCS btw Park Lex . large room NYC . got great price hotwire.com . search carefully guess hotel . great location quieter eastside . subway run eastside . short walk hustle bustle Westside . would definitely return get similiar rate . 
 Sep 29 2009 	 good thing bed ... friendly secret service guy ! 	 terrible disappointment . pay £ 155 night room ( usd $ 241 ) Sat & amp ; Sun . 2 free night top due priority award member ( gold ) close UN , use alot visit head state . 18 hotel trip , mean bag body scan every time go , plus secret service floor . we arrive midnight , offer porter help luggage . miserable guy name Christian check we , fail inform we going would inconvenience we stay . stayed 13th floor , King Exec room . fairly quiet NYC hotel . parch due long flight open mini bar find empty . apparently security reason mini bar clear prior head state arrive . no morning newspaper deliver . light flash phone retrieve message . try call 3 time answer . finally find fax .... not bother slip door ... ask guy evening shift could late check , confirm next day nothing note . would give we another hour- till 1pm . restaurant service also helpful begrudgingly serve we dessert although people enter bar . overall room bad , comfortable good size 2 . bathroom need refurb bed nice comfy . location good day sightseeing , look action , need move far afield dinner / drink . the good part stay friendly security secret service guy . city full people find friendly helpful , Barclay employ people none attribute . 
 Sep 29 2009 	 fine hotel word warn 	 good traditional top - end hotel can not stand & quot ; boutique & quot ; , & quot ; frill & quot ; & quot ; minimalist & quot ; . contrast review find staff friendly helpful despite strained circumstance work - see . room good size New York bathroom although small side perfectly adequate . location good , within walk distance mid - town atttraction little distanced heavy tourist traffic . dining option hotel limited room service fast good . one warning stay late September may , , clash open United Natons General Assembly . like Waldorf Astoria round corner one main hotel use & quot ; foreign dignitary & quot ; ( non - foreign one ) hanger - on . security level awesome , number street around block full time other intermittently , result almost continuous grid - lock . cab take arrival drop us luggage couple block away . face airport style security every time enter . elevator even whole one two bank elevator regularly block . seem security guard guest , patrol whole hotel . UN delegate make average New Yorkers look like politest , patient people earth , barge elevator lobby regardless way . diplomat ? ? ? anyway may want avoid , fellow & quot ; civilian & quot ; clearly wish ... although we way add New York buzz least fellow tourist kid around ! 
 Sep 29 2009 	 far 5 star experience 	 sister stay barclay impressed however year think whole experience definitely worth money . room big decor date , wall paper come bathroom wall . turn service robe , would expect 5 star hotel . food drink way price . staff unfriendly openly show happy tip give ... sorry Barclay definitely return . 
 Sep 24 2009 	 pleased hotel would stay 	 10 yr old daughter arrive feel like monsoon weekend pleasure trip city immediately make feel welcome . check - in prompt efficient . room 13th floor standard 2 bed , clean lot space move around NYC standard . look Lexington consider NYC , not bother street noise . hotel staff send plate complimentary cookie juice daughter , lovely . everyone friendly , housekeeping keep room quite tidy , complaint . Saturday morning breakfast buffet quite impressive , wait , ' m sure manage eat $ 37 worth breakfast food ! beat location . definitely recommend check online rate , especially look comparable hotel . 
 Sep 22 2009 	 worth price 	 high class hotel , rather advertise high class hotel high class price , actually somewhat substandard . room small . service indifferent . luxury hotel outside , cheap place inside . find stay , insist one update room . ( unreferbished room quite unpleasant ) . pay rack rate , find heavily discount room discount hotel site . 
 Sep 21 2009 	 excellent location 	 stay hotel daughter hotel first class . room clean tidy bed comfortable . breakfast include food excellent . location within walk distance local attraction beside tour bus stop . complaint all . we stay next trip 
 Sep 21 2009 	 use good hotel 	 NYC business , weekend event attend ; be tourist , ' ve stay , year ago , Barclay add Intercontinental . park 5 6 block east , cheap parking , walk 48th St. Lexington . arrive wet torrential rainstorm , look forward hot cup tea , seat comfortably room dry . alas , be . the lobby large , formal busy . lot people sit around use laptop charge extra internet one 's room . check - in go smoothly enough . when arrive room , bit surprised tiny . room one chair , desk . bed tall sit . find coffee machine break . called & quot ; Instant Service & quot ; , tell Engineer would come look . forty minute later , come , pronounce break , go find replacement . wait , go bathroom find wet use bath towel towel rack , drape unused towel . Yuck . also notice long dark hairs floor sink . call & quot ; Instant service & quot ; , tell touch offending towel , wait housekeeping fresh towel . man stack towel come 15 minute later refuse touch dirty one ( & quot ; job & quot ; ) put vestibule floor , wash hand . Engineer come back non - broken coffeemaker , try , leave , stepping towel floor . ask desk tea inform teabag , would call Room Service , $ 12 go . almost late event , anyway , go out . next morning , gross mildewy shower curtain ( photo ) , coffee ( tea , course . ) husband go desk get packet , tell order room service want coffee ( $ 12 , mention . ) one ever come pick dirty towel floor , inherit last guest . keep step it . now disastrous thing , irritate , especially $ 279 per night ( AAA rate ) . upon checkout , complain clerk . front desk supervisor come , tell we & quot ; reduce rate & quot ; , could grant we price reduction , offer 2 complimentary breakfast buffet ( $ 37 ) . notice long line , opt order make event time . management go hard way correct see real lapse service . hotel bill luxury , charge lot . have lot understand Comfort Inn , indeed ' ve well treatment Comfort Inn . lot hotel NYC , will find well one next time . 
 Sep 20 2009 	 poor service . intercontinental standard . 	 get pretty good deal Priceline ... $ 150 / night weekend stay . price range , not regret stay . frustrate poor service place . , although room okay , definitely not intercontinental standard . point clarify : * read people 's review , appear hotel room many different configuration . guestroom , instance , pretty small ( maybe 200 - 250 sq foot ) small closet , decent - size bathroom . * contrary review , tv channel lineup pretty extensive , include thing like History Channel , National Geographic , BBC America , TV Japan , Nickelodeon , addition standard . the bad : * ask could check 30minute late ... say absolutely , since fully book night . first ever hotel US ' ve refuse check - out extension . ' ve staff tell extend 30minute cuz book , one be ever flat - out refuse . * although like setup room clean part , carpet old stain various spot . also showerhead old water pore fill mildew ; disgusting . complain , promptly replace showerhead . * simple request ahead time regard room reservation email hotel advance . response hotel 3 day , email ... never ever get back . * really not much view guestroom . front desk staff admit much , ask could get room view . * general , staff not friendly not willing go extra length help . good : * location good . 3 - min walk near metro stop ( 51st & amp ; Lexington ) , 7 - min walk Grand Central , 10 - min walk Rockefeller Ctr . plenty deli type place nearby , although seem close Sat & amp ; Sun . * comfortable plush bed linen ( although bed really sink lie ) nice toiletry . nice clean well - design bathroom ( except aforementione moldy showerhead ) . * quiet . even though stay right next elevator , could not hear noise elevator neighbor . outside noise never bother we , either . 
 Sep 16 2009 	 heavenly bed great location 	 hotel comfortable bed ' ve ever sleep . get Priceline , feel good deal , would not happy pay full rack rate . New York , though , room nice size service good . bathroom tiny , counter space . end set iron board outside bathroom use hold everything . front closet huge , though -- walk closet . lot room clothe luggage , would prefer extra space bathroom instead . build old historic , make charming attractive , age show . like old feel , thick molding , heavy construction ; not go be look sleek modern . we easy check check , polite front desk employee . bell service good , stored bag last day checkout since late afternoon flight . main complaint noise , New York City , be almost impossible get away noise . doorman whistle taxi almost constantly , honk horn traffic noise day night . bring earplug . 24 - hr deli across street , get meal run . convenient reasonably - price . Grand Central block away , make easy get almost anywhere want subway . 's much nightlife part town , find anything want walk 20 minute Times Square . 
 Sep 14 2009 	 Excellent base sightseeing clean room large bed 	 check long journey , nice walk lovely cool air condition room ( warm outside ! ) . room clean . bathroom small yet adequate nice shower bath , sink toilet nice toiletry provide . bed huge ( standard double room ) extremely comfortable - afford we excellent night sleep trek round city . room free in - room safe useful , complimentary coffee service replenish daily tv range service ( sightseeing guide / concierge / internet etc ) room also generously sized desk business traveller . despite hustle bustle city , also find room quiet ( 6th floor ) .There not much view expect city like New York . the lobby large nicely decorate staff courteous polite whenever speak they . overall , find hotel excellent base sightseeing New York . 
 Sep 6 2009 	 grand old hotel - good service room general appearance little ` ` tired '' 	 like number nearby hotel , barclay sense history ; bygone age grandeur . still aim high need go inch reach goal . professional check - in service room . room 14th floor amply size good air - con , CRT TV ( simply not justice HD service available ) , I - pod player & quot ; quaint & quot ; bathroom clean still 1930 's . Room overlook ( & quot ; overlook & quot ; ) Chase Bank building , care long neck , one could see seventh avenue ! good - location - really could not well central ny . Gym , sauna steam room offer 3rd floor room comfortable ( perfect ) . good - generally hotel look ok little tired dated place . room rate , one would expect well . irritate wifi available lounge bedroom ( internet conenction extra ) . really time hotel change idea - guest get WiFi include ! breakfast excellent ( pricey add compulsory gratuity 15 % irritating also buffet ( ie : = self service ) ) . restaurant little small full justice menu . restaurant provide , essence , day dining menu restrict : ok know ehre cornucopia place nearby would good little choice . steam room Sauna - OK timer need allow 15 minute & quot ; prepare & quot ; not use much . overall - staff make inadequacy $ premium , balance , worth . 
 Aug 31 2009 	 overall decent choice 	 stay two day weekend . Booked Priceline $ 125 per night . reception , situate grand lobby , nicely book we King executive high floor . even though view , room nicely size extra entrance foyer extra door , greatly attenuate noise next room . facility fine . location great , right next Waldorf , Roger Smith , Benjamin . subway 2 block away . plus side , hotel great architecture , much pleasing minimalist look many new hotel . negative side , bed much soft , bed much thick summer . shower somehow badly design easy water leak onto floor . , decent choice book reasonable rate . 
 Aug 31 2009 	 need Little ` ` Umph '' 	 rather pricey , little value . room so - so - clean , small standard hotel - like decor . bathroom smaaaaaaaalllllllllll - shoulder rub toilet paper roll - large person would comfortable . small hotel unusual NYC , could ' ve use imagination designing space make comfortable . service bar restaurant lousy price ridiculous - even NYC standard . breakfast - $ 14 two egg , toast , homefrie - $ 30 three egg omlet , toast , homefrie . bar bad - $ 14 glass Fetzer ! bad wine ever - buy bottle $ 7 ! stay hotel - eat drink elsewhere . also - charge $ 60 park car - park - garage right across street hotel 's $ 40 per day . 
 Aug 31 2009 	 bad 	 stay 4 day , room spacious old fashioned pay tea coffee room ! bathroom small tight clean . front counter staff abrupt unhelpful , concierge not want know we ! need help small medical electrical appliance ( power issue ) interested one little bit , look assistance , forget ! almost forgot mention , room 3rd floor 48th St really noisy night constant traffic . 
 Aug 30 2009 	 nice stay Great Location ! 	 please stay Intercontinental Barclay . right across street Waldorf Astoria . lobby nice romantic feel . allow check early double request . room nice , comfortable Clean . think roomy Manhattan . standard toiletie ( soap , shampoo , conditioner ) , not top quality . thing miss coffee maker room , could get room service coffee $ 8 . ice bucket , honor bar fridge . love stay ! parking $ 60 24 hour . 
 Aug 24 2009 	 ok 	 family return hotel . priceline $ 125 bid . glad do not pay . definitely business family hotel . allow check 1:30 nice , get 2 bed request . room decent size , clean , bathroom old fashioned , clean . checking , girl tell nothing hotel , anemitie , service . do not even mention room , elevator , restauant . exercise room . hand key . go back desk ask elevator . confirm reservation day leave , gentleman phone ask special request . tell surprise trip son 's 12th birthday , say would card birthday token room , course be not anything get room . , do not bother ask . hotel seem kind blah . nothing paticular wrong , we . do not use restaurant , can not comment . place call & quot ; Redstone Pizza & quot ; right around corner breakfast $ 6.95 , nothing fancy , serve paper plate , make order , good . 
 Aug 24 2009 	 Intercontinental Strategy 	 well , stay Milwaukee Intercontinental Barclay NYC , ' m start notice corporate strategy . buy property , renovate lobby , restaurant public space , simply move new furniture old date room . room old , carpet spotty bathroom date big passenger seat Ford Expedition . ' m get tired strategy need find well hotel . 
 Aug 23 2009 	 disappoint 	 last stop trip enjoy stay hotel . location okay quiet weekend . service horrible , front desk staff rude seem annoyed question . would go back hotel , price expect . 
 Aug 18 2009 	 Excellent location 	 hotel great location , central quieter many area . hotel olde - world feeling & amp ; bed amongst comfortable ever sleep . free internet lobby area bonus , although say bathroom little small side , although adequate . do not eat hotel can not comment restaurant , good diner situate opposite hotel ( Longwood Gourmet ) use breakfast & amp ; occasional deli- sandwich ( man big ! ! ) 
 Aug 18 2009 	 enjoyable stay 	 arrive ' run house ' book 3 we place ' executive room ' front hotel wheel cot bed ( pro 's con ) .Overall find hotel clean , well maintain professionally run . old , use well add charm . the restaurant pleasant expensive . oh -- use yellow cab yellow cab , get con rouge cab . 
 Aug 13 2009 	 good decent hotel excellent location 	 book hotel Priceline , get really good deal . normally would prefer different neighborhood , one perfect , give catch bus DC Midtown Manhattan . room clean bathroom well .... check photo ! one night , not expect many frill . front desk fine provide essential service . price pay , location , hotel worth . also , 4,5,6 b , , F , v train pretty close . 
 Aug 10 2009 	 Recommended - get good deal 	 get great deal priceline email hotel beforehand request room view . well , property old high really not room view , get king executive ( ! ) room top ( 14th ) floor 1/3 list price can not really complain : ) location hotel perfect explore midtown foot . also , lot breakfast opportunity within block 's range ( hotel breakfast really expensive , expect ) .The room spacious clean , window could thicker let lot street noise , even though room locate relatively high . luckily 48th street front hotel quite quiet . bathroom smallish also clean . in conclusion , would not pay list price hotel , would get good deal , would stay . 
 Aug 7 2009 	 excellent hotel 	 stay Barclay midpoint holiday , stay 4 night . check polite friendly arrival even upgrade we king size room without ask . unfortunately go back standard room roll bed small son ! ! ! however least try : ) room 7th floor overlook side street Lexington block office New York expect scenic sweeping view ! room spacious although damp musty smell , bed good size room safe terrific . . tv many channel access internet . unfortunately pay $ 43 priveledge keep go . repair man come quite quickly though . the bathroom tiny comparison hotel Boston apparently normal ny . do not detract holiday mean one person time could . hotel huge lobby incredibly grand . even complimentary tea coffee 6 am - 7 am take advantage jet lag quite bad wide awake . nice sit splendour watch people come go . staff polite maid good job maintain room leave lot little toiletry . hotel well locate many sight main station beautiful . locate close wonderful little deli call Redstone Pizzaria amazing breakfast mean pizza , delicious cheap . New York amazing vibrant city hotel perfect base explore . visit perhaps near christmas . excellent . 
 Aug 4 2009 	 Luxurious 	 HOTEL . romantic , luxurious beautiful hotel . STAFF . accommodate . ROOM . spacious romantic . LOCATION . shop 5th Ave goal , hotel . great location shopaholic alike . attraction . walk distance Grand Central Terminal , Waldorf Astoria 5th Ave . TIP ( ) . treat New York . ' always great promotional deal hotel make sure least look assume ' afford . 
