Better 	 basically reason stay Las Vegas Hilton could enjoy one fantastic option around town . first , hotel reminiscent 1970 's , decor , patronage , amenity . case point - Barry Manilow ABBA show Hilton time visit spot . room break , outdated decor , old television , dirty tapestry , . crowd cheesy old ... prepare see interesting character wacky clothing . lastly , hotel locate Strip basically way action . this typical , upscale Hilton , budget Vegas hotel hide behind positive brand name . look affordable option , would suggest check Flamingo , Tropicana , Bally 's , something actually Strip . might similar & quot ; cheese - factor & quot ; ( like call ) , least enjoy nice pool well location . 
 dirty pit ... customer service ... avoid like Plague ! ! 	 go convention think would good stay host hotel convenience Hilton 's prior reputation one excellence ... ugh ! check nightmare . day convention know many people going check understaffed . feel like Disney line high season . room adequate size etc . jet tub excited . fill hot water , get turn jet , lean back closed eye .... aaaahhhh .... open eye EEEEWWWW black foamy crap ... come jet , jump jump shower scrub .. heck , someone else 's dirt skin ... still feel ick talk ! . go front desk response repulsive event ... & quot ; hmm ... be odd .. anything else help ? ? ? & quot ; ? ? ? ? even apology , let alone compensation even free drink .... wow ! Buffet absolutely disgusting ... McDonald 's could do well . actually take tram Planet Hollywood buffet awesome .. avoid eat hotel . would not recommend keep dog .... 
 Pleasant surprise - well expect 	 attend weekend event attach LV Conf Ctr daughter stay Hilton . know go remove Strip , pleasantly surprised on - site food value ( sandwich shop sport book really good ) well in - and - out Burger Sahara . let state room experience greatly influence Hilton Honors status . receive complimentary upgrade Grand Room ( 600 sq ft ) couch mini - fridge seem reasonably freshen - room really need make great , relax stay . another hhonor benefit complimentary breakfast buffet 2 - save major buck ! valet service reasonably quick compare place ' ve stay Vegas . all , think nice place stay nice non - themed place good value . 
 Good Hhonors perk 	 stay LVH last week one night . booked rate $ 38.xx Visa 25 % special , use AMEX pay get . check vip room next front desk ' m Hhonors Diamond member . upgrade offer ask - heck , one night . ask Diamond amenity check clerk go look pre - printed sheet . room basic Hilton quality room . bed comfortable . tub huge . nice west face view strip 20th floor . glass elevator north end north tower ( close parking deck ) quick little wait fun able look ride down . the spa nice , free Diamond member . also use Diamond card get free breakfast buffet . parking free convenient , although three & quot ; 15 minute limit & quot ; space check appear long term parker . enjoyed walk around hotel , check restaurant , casino sport room , although also go sight see Caesars Palace quite impressive . pleasant experience well worth cost . 
 Met Requirements 	 travel Las Vegas Birthday Bash adult child . husband member Hilton Honors use point holiday . request room North Tower adjacent . arrive hotel quick pleasant allocation room helpful receptionist . bag quickly bring we problem room adequate need . problem encounter dripping shower ( waste water ! ) . room well appoint , bed comfortable keep clean promptly cleaner . the hotel little tired , one old . buffet breakfast excellent vast array fresh fruit , cook breakfast mountain cake bun . certainly could eat fill . try Paradise Cafe first night food brilliant . never eat restaurant hotel prefer visit strip restaurant Paradise Road . eat good chinese P F Changs hotel good steak Ruth Chris Steak House . casino hotel quite small compare other find loose winning , well luck Mirage other strip . all read review quite happy stay , would prefer stay strip convenient get around night . hotel get busy stay convention , prehap good tourist want leisurely time . 
 Good Value money - need updating 	 book stay Hotels.com find fabulous rate ( note folk would try invoke Hilton ' Best Rate Guarantee – hotel exclude policy ) . check quick easy since Hilton Honors member . person check give we room face strip 18th floor center tower . room large - large . amentias room modern , nice new desk , chairs dresser hold large flat screen tv . bathroom , clean , salmon color tile wall floor rust tub / shower . way keep shower dripping constantly put lot pressure single knob control water flow . carpet atrocious orange color stain middle large go front desk let know not . front desk offer move we another room , big deal . king bed plenty pillow comfy . finally decide get bed quickly learn water pipe room around loud squeak harsh tone someone flush toilet take shower . in morning opportunity use spa / workout facility . workout room 5 treadmill 2 elliptical 4 bike . however 3 machine order . also set weightlifting machine dumbbell use . fresh fruit available guest spa charge . food / coffee expensive property . wife pay $ 6USD large coffee morning . opt walk across street AM / PM mini market soda fix . checkout leave lot desire - front desk person deal downright rude . hotel strip ' big deal . always rent car money save hotel basically pay rental car . not get car monorail stop hotel . overall good experience . bit update would great experience . 
 Nov 5 2009 	 nice big hotel Strip 	 Vegas Hilton Hotel nice , unperonal hotel . room clean big , 23rd floor nice view . pool ok . drawback hotel not strip . monorail quiet expensive , well take cab . next time Vegas would pay bit stay hotel strip . 
 Nov 5 2009 	 good reason stay hotel 	 move 3 different room ... 3 room noisy , elevator explain registration . bed old incline towards pillow side . restaurant over - price ... even snack bar counter service offer $ 5.00 hamburger patty meat texture . $ 25 use outdoor tennis court . economic time , easily find well hotel , entertainment , food value hotels strip downtown . think hotel survive rip conventioner . Pais Hilton would not catch dead naked boring , tired overpriced dump . 
 Nov 4 2009 	 Excellent Value 	 second time stay Las Vegas Hilton , first time back 2005 . return reasonably price stay strip , LVH get clean room excellent condition well maintain hotel . cafe good , place coffee , couple casual place eat essential shop keep late hour good thing . not really major attraction , not going keep busy walk around look shop like many hotel strip , 's good place stay would rather spend money gambling would room strip . casino significantly improve compare back 2005 . be large , table game slot play . 2005 , remodel , nice see good job . service - wise , everyone encounter courteous friendly , welcome change light bad experience customer service ' ve encounter Atlantic City lately . the potential side see parking situation . parking lot garage quite hike hotel room , rent car prepare extra walking addition walk will around place . overall would say be look reasonably price , decent hotel rest head see site place Vegas vacinity offer , Las Vegas Hilton bargain well worth stay . be look one place Vegas stay , play spend time , 's place would well place strip MGM Grand Mirage , gambling shopping dine one place . 
 Nov 4 2009 	 good location ..... 	 room well clean stay . hair leave previous guest still bathroom floor arrive .. clean . bath clean stay . bed make properly .. top cover pull whilst undersheet leave totally crumpled .The food Paradise Cafe lovely ... snack drink lobby bar utterly tasteless . the hairdressing salon outrageously price pay use internet disgraceful .... ' ve never pay country , even Peru . very disappointed first visit year ago great . 
 Nov 3 2009 	 get ` ` upgrade room '' decent room 	 checking promised & quot ; upgrade room & quot ; due HiltonHonor Gold status . get room , look pretty & quot ; standard & quot ; . think would grin bear b / c business not spend much time room . thing room much take , go downstairs complain & quot ; upgrade room & quot ; not describe ... somebody screw b / c standard room . move ' m much happy . standard room tire dirtly . see picture , remnant previous guest ' food use tissue ... pretty gross . also see upgrade room image , nicer civilized . bad , big flat screen tv totally useless not hd everybody look fat . 
 Nov 1 2009 	 good value not expect anything concierge ! 	 valet housekeeping provide good service . c oncierge almost worthless . could little clean ( not look behind furniture ! ) , immediate view clean . overall , stay good . hotel 3 block strip . 
 Oct 26 2009 	 Great Experience ! 	 say little hesitant stay strip old hotel ... monarail easy quick commute strip hotel shop . actually really enjoy hotel . quite loud strip hotel evening , buffet excellent , room service nicely present delicious . gaming table easy access time . Hilton also offer free gaming lesson , take advantage enjoy . negative , would say casino little smoky would like . ' ve stay strip hotel choose Hilton . overall , excellent choice 
 Oct 26 2009 	 Misleading 	 1 . reserved Nonsmoking room confirm check indeed want non - smoking difficulty breathe around smoke due asthma . give key & quot ; nonsmoking & quot ; room exit elevator hold breath smokey hall . room ashtray match . upon call front desk , inform truly non - smoking room , give & quot ; smoke optional room & quot ; & quot ; usually not smoke anyway . & quot ; ( able downgrade small room entirely nonsmoke next day . ) 2 . someone use key open door without authorization reason ( latch ) night room rest . Hotel say way track enter room . ( latch door prevent opening fully . ) 3 . access amazing , delicious restaurant , must walk smokey casino way get without go smoke , cause asthma attack try leave Buffet . 4 . little soundproofing / insulation room could hear everything ( include basic conversation nearby room well sound ) .5 . downgrade room ( grateful yes nonsmoking ) shower small -- low ceiling shower head cause someone 5 ' 8 & quot ; duck . ' m surprised make least accommodate someone 6 ' 0 & quot ; .6 . overall , HIGHLY recommend resaurant good food ever eat . smoke enjoy around , would love hotel . simply unable fully enjoy prefer breathing . 
 Oct 25 2009 	 average 	 first trip Las Vegas , hope would able experience luxury hear . unfortunately , positive experience Las Vegas Hilton . I book one old room hotel . shame room update - room not seem modify much since hotel build . try upgrade new room , successful . room clean large , extremely date . bathroom pink , toilet shower see well day . clean , worn . shower head bracket securely attach wall , vent seem broken bathroom . room iteself quite large bed new . as travel work , disappointed see internet $ 14 , fitness center $ 20 . realize room rate approximately $ 50 high special run week . hotel attach Las Vegas Convention center seem much business convention center . , hotel certainly cater business traveler . understand charge may standard Las Vegas . however , hotel strip need destination many visitor , seem amenity par . 
 Oct 25 2009 	 enjoy stay LV Hiltonjust wish Strip ! 	 stay luxurious hotel night October 14th 15th checkout October 16,2009 . finish Trafalgar bus tour , last stop tour entitle Best canyonland , originate Denver , Colorado . we check 4:30pm , 13th floor- not know hotel use number , think lot hotel skip # 13 , not unlucky we ...... nice room , adjoining door room next door allow hear telephone call not really wish hear ........... free internet lobby disappointment , hotel travel seem offer service . I like room much , Crabtree & amp ; Evelyn bath supply lovely . 2 buffet breakfast include good brekkie whole 11 day trip . breakfast , could steak , pork chop , fresh fruit , grit , name , could not please buffet . overall , day LV Hilton great . wish hotel close strip not car . take convenient monorail ( StarTrek Casino enter ) , next day travel bus . and , mean walk Riviera hotel cross street Circus Circus get strip bus . next time , might stay Circus Circus close bus ........ , say , LV Hilton really nice spot , give 2 thumb ! 
 Oct 25 2009 	 Steady Performer 	 stay 1 night ( Thursday ) , walk - in reservation . check - in fairly quick ( short line ) efficient . $ 50 get Central Tower corner 27th floor mini - suite . large room greatly enjoy stay . but perfect . window room many handprint inside . beer bottle someone leave elevator several hour . eat buffet dinner , seafood good , rest mediocre . gambling option quite varied , good odd nice selection ( still lose ... ) people watch nearly good caesar' . but good value , meet expectation . 
 Oct 19 2009 	 smoky casino . Fork leave lobby table 7 hrs . 	 stay 5 day . first tip 10 minute wait elevator north tower . glass scenic elevator filthy view not enjoyable . tub enamel chip also . people work Hilton nice enjoy dinner italian hotel . waiter exceptional food fantastic . hotel date . choice would stay . 
 Oct 19 2009 	 Hotel ok experienced customer service issue . 	 stay co - worker June , 2009 conference 5 night . get conference rate $ 69 night one & quot ; renovated & quot ; room , good value . arrive 10:00 evening , since Hilton Honors member , get go honor check line . wait 10 minute , Las Vegas standard , bad . front desk person friendly efficient . I complaint room . clean updated promise . large flat screen tv , marble accented bathroom comfortable bed . read ahead time in - room coffee maker ( pretty common large Vegas property ) , bring . view golf course . rate pay , not expect strip view . major noise issue . for people look hotel & quot ; middle action & quot ; , probably place . be look quieter off - strip location easy access strip ( via monorail ) Hilton good bet . people say casino & quot ; boring & quot ; , actually enjoy fact overly crowded could usually play whatever want play . pretty well Star Trek machine ( well actually break we , twice ! ) slot tech work night friendly patient . want go downtown Hilton , recommend take cab . get not bad ... walk Sahara bus stop take city bus Freemont street without many issue . warn Deuce ( double decker bus run strip downtown ) go Hilton . catch & quot ; & quot ; bus back , find walk downtown bus terminal , 1:00 morning quite scary two female ! lunch choice limit not enough time leave Hilton conference . 's & quot ; express & quot ; pizza hut , deli near pool sandwich shop sport book ( actually pretty good reasonably price . ) avoid paradise cafe due review . buffet one evening ( so - so ) usually dinnertime . not & quot ; high end & quot ; site dinner restaurant , can not comment . the pool deck nice , plenty place lounge . half price happy hour take advantage . pool little small look picture , still nice place relax . so 3 star rating ? costumer service issue # 1 : 5:00 morning first night phone ring . neither us answer thinking must wrong number ( anyone want reach we would call cell phone ) . light blink 's message security . apparently previous occupant leave cell phone charger room . REALLY ? ? ? be go call 5:00 morning someone ELSE forget stuff room ? problem ? not get wrong , oppose help someone else , ' m pretty sure charger would still hour later decent time day ! could not even find first ( waste 10 minute time look ) , finally . call back tell would leave note get go . come back room still . another day go be still . finally co - worker bring front desk ( well person ) . let know happy wake 5:00 morning lose cell phone charger . said & quot ; well , customer really need itl . & quot ; apparently be leave room 2 day ? nice enough , really not offer apology & quot ; freebie & quot ; inconveneience . customer service issue # 2 : without go boring detail , get runaround hotel Hilton corporate need obtain copy bill work . usually access HHonors account online , not neither honor point stay ( tell would get even though conference rate initally call book room . ) eventually get straighten , talk least 6 different people waste several hour time work . assume isolated incident , would probably recommend hotel someone else , assume ok location . 
 Oct 19 2009 	 lack airconditione East Tower 	 second time ' ve stay room East Tower , although update , lack air conditioning . fan adjustable high / low hallway much cool room . get room cool , leave door open . night , shut ' air ' fan loud . fortunately , 80 's would demand move . ( picture thermostat attach . ) east tower long distance anything else , discover last day 's remote parking lot . happy first stay , second time around . would pay $ $ stay elsewhere . would recommend hotel other good cheap stay , stay , even HH Honors point . 
 Oct 13 2009 	 not 	 stay 5 night conference . check - in relatively smooth . room fine . bathroom old worn , carpet furnishing . find hard judge cleanliness something old , tired , worn . hotel great distance anything else . difficult conference . hold captive coffee , breakfast , lunch . coffee room ? $ 40 week . opt stand line 30 minute morning $ 3.75 cup mediocre coffee . mind , hotel fill conference . lunch choice scarce . general restaurant Benihana find . Sat conference day ? like exercise ? cautious walk around Hilton ( doorman tell ) . walk approximately 3/4 mile nearest ' store ' - drug store . ... , pay $ 75 use fitness center . disappointing coffee pot ! much advertise happy hour pool interesting . not appear busy , two bartender , two waitress ; yet , take nearly 35 minute line 2 beer - foster tap $ 3 ro $ 4 . would never stay pay way . conference rate tax $ 115 . save money stay strip ! 
 Oct 12 2009 	 excellent value dollar 	 big luxurious hotel , seven - year - old care pool child present , spouse even less picky , find LV Hilton excellent every respect . one block Strip , conveniently locate , level quality consistent throughout property . parking easy every time , include time parking scarce . pool excellent ( although catch cocktail waitress ' attention tough , time ) . restaurant , although different one another ambiance , consistent high quality , suspect share kitchen bakery one another . room service , something indulge usually , excellent , settle routine end afternoon pool , order room service shower , end night quiet note without go dinner . room spacious , clean , housekeep thorough ... consistent . 
 Oct 11 2009 	 Loved Hotel ! 	 travel husband Las Vegas . tradeshow pleasure . hear Convention Hotel expect so - so . pleasantly surprise everything - room fabulous , bath huge , bed bed super comfy , pool great spa , Restaurants delicious , Coffee Shop serve great coffee , later night , turn Wine Bar nightly tasting , etc ... 
 Oct 10 2009 	 wonderful stay 	 fwe check sept . 26th 3 night one new room happy room . bed pillow comfortable , nice bathroom empty refrigerator stock bottle waterthat buy walmart way hotel . thank god cause extremely hot . ticket 2 buffet pay 2 food well worth price . guess want hotel recommend hotel . away strip peaceful take monorail . negative expensive ride round trip . hotel offer discount since shuttle service since within walking distance . 
 Oct 8 2009 	 Nice hotel ; great casino 	 third time stay LV Hilton . room nice , especially room North Tower . try stay . room large , comfortble bed , nice bathroom relatvely quiet ( Vegas ) . get monorail right hotel easy get around rest city . cafe decent food terrific turkey platter inexpensive . one area need improvement casino . always money play slot every casino ever play ( east west coast ) . Hilton . look around , one win folk move one chair next . smoking heavy , wiatresse look bored lose hard earn money . stay not play . 
 oct 8 2009 	 Las Vegas Hilton ! 	 4th time stay Las Vegas Hilton , impressed . everything check - in check - out wonderful . hotel staff friendly courtious time . room clean roomy . price - can not beat Hilton ! back next year ! 
 Oct 8 2009 	 different room promise 	 disappointed give standard room reserving pay Superior Strip View room . room available first night . able move room second night . speak Manager request difference price adjustment make additional money pay superior room . however , stay hotel many time first negative experience . like convenient parking . 
 Oct 8 2009 	 nice hotel - decent location good value 	 overall hotel good service , standard room , reasonable buffet . get value deal stay include several buffet . buffet pretty good variety food option . main inconvinience hotel 1 mile offf Las Vegas Strip . although monorail rent - a - car easy go strip . pool / jacuzzi nice well super crowded . be look save money not mind strip hotel , would recommend Hilton . 
 Oct 8 2009 	 Great Deal especially be Budget 	 decide take last minute trip Vegas weekend Sept 18 . little know fight weekend hotel strip ridiculously expensive ( especially economy ) . although hesitant staying strip , AAA discount would get room $ 65 / night seem like deal want pass . since go another couple book two & quot ; update room & quot ; Friday Saturday ( stay Treasure Island Thursday ) . say pleasantly surprised room . many review bad expect much . room clean , new furnishing look modern . yea , bathtub chip , what s big deal ? ! do not understand people complain much review ; people really need relax . feel $ 65 , would really pretty terrible complain . stay plenty & quot ; high class & quot ; hotel strip include Mirage , THEhotel Venetian . think book room Hilton keep mind go get luxury type hotel ; nonetheless satisfied stay . yes , couple problem check ( wrong bed , room two diff . floor ) seem overcharged credit card , despite minor fixable error can not really complain . staff kind , except staff Paradise Cafe try ignore we would not take to - go order ( 20 min closing restaurant ) . call inform management problem , apologize give we credit eat another 24hr spot restaurant .. although find convenient stay strip since enjoy take advantage nightlife , benefit stay Hilton avoid Las Vegas Blvd . congestion take back road hotel . find convenient , drive las vegas , mind small amount extra driving . budget ( like time around ) simply do not think worth pay extra money big hotel strip would really recommend Hilton . be not far strip people make . 
 Oct 7 2009 	 Hit miss North Strip 	 North Strip Vegas seem get rougher time good experience even hard find . Hilton , especially close popular Star Trek attraction , definitely see well day . bed really good thing say place , italian restaurant Benihana . service practically nonexistent . check line long hour wait . Bellman service poor unorganized . food Paradise Cafe avoid . order taco salad shred beef arrive beef undercooke . send back ask meatless salad . waitress indifferent , actually try convince chef say look tomato . mean really ! breakfast another time , wait nearly 30 minute order take less 20 people place . get seat go find someone . another instance , manager chide employee within earshot we . unprofessional . mexican restaurant close permanently not tell anywhere . information book inside hotel update since closed Star Trek attraction , Quark 's Bar still list eatery . lady sundry shop really friendly we nearly every day buy something . internet service $ 15 day computer . real ripoff . kicker leave Hilton go another hotel , realize leave cell phone charger room . call . get runaround security housekeeping . offer take number call find . somebody get new cell phone charger deal . never stay hotel . price charge , $ 100 night . would rather stay Motel 6 . 
 Oct 5 2009 	 Hilton Quality ! ! beware Classic Rooms 	 Today final day Hilton read review prior arrival contact front desk supervisor Cynthia tell hotel renovate bad review base disgruntale guest . get hotel priceline.com 4 star level hope review true . I m sure Classic Rooms offer junk take picture video time Classic Room Level . arrive Check speak front desk manager tell complaint today room check . go room curtain connect window outside extremely dirty . walk bathroom vanity light one light work , bathtub running stream consitent water would not shut completely . use finger check cleasiness Tub white chalky finger rough substance . look like chalk somesort , towel way Hilton Standard old rough even old towel home bad ! ! flat screen tv room grainy little bit regular tv set invent use Antenna . report finding front desk lady diddnt seem happy complain frequent Hilton Guest bad Hilton ever stay ever ! stay feel like room motel 6 new tile oh forgot bed let tell bad like sand grain 2 small pillow . bed room Central Tower room 2248 hard put cotton bed sheet feel though boxspre even mattress . complain another front desk manager finding show video phone photo give free buffett 2 restaurant compensation . well awhile go downstairs complain speak manager name David offer room change follow day . go downstairs next morning room change front desk clerk say go upgrade charge diddnt want complain keep switiche room attitude . room switch North Tower room 23108 room use hilton bed comfortable thick mattress without boxspre feel . upgrade room tv still poor quality flat screen LG Television water crack top celing . choose another hotel one pitts unless go pay upgrade room much high price get another hotel less price well quality . stay Motel 6 Vegas MGM let tell well Hilton since lack Hilton Quality Towels , Bed , tv Guest Services . guarantee never ever , ever reccomend hotel anyone stay risk , could stay Embassy Suites $ 99 night free cooked order breakfast living room seperate bedroom much happy please trust hotel near 4 star level would come expect Hilton Name . would hope Hilton Family would never stay 40 year old hotel need condemn rebuild time since renovation have not improve quality reach 4 star level . 
