Quiet 	 locate quiet , residential street Gold Coast , Hotel Indigo always pleasure return four night stay hectic city . the room peaceful soothe decor wicker furniture mural shell . bit small place everything . room quiet -- noise hallway outside . hotel also good place travel dog . dog park one block away Lake Michigan boardwalk four block away . restaurant close also short walk shop Michigan Avenue . look small hotel quiet area versus large hotel central downtown , Hotel Indigo right . door man always greet we smile ! 
 Aug 1 2009 	 bad experience ever ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 Staff rude , room dirty ( poop toilet arrive ) , give different room prev book , tell room say could room prev book charge ........ never stay ! ! ! ! ! ! ! ! soooooooo many nice hotel chicago .... , one ! ! ! ! ! ! ! ! 
 Jul 22 2009 	 decent great 	 family trip 5 year old perspective review base . overall , would say hotel average , sure high rating here . here pro : - unique hotel vibrant color throughout , definitely usual downtown business orient hotel . felt like beach front property downtown hotel . - Free Wireless Internet- friendly staff . - clean . - close subway . - close couple supermarket friendly Dunkin Donuts ever to.- Fitness centrehere con : - room absolutely tiny . initially give room one queen ( problamatic three us ) . room size shoe box , ridiculously tiny . sure would survive stay room three night ( luckily able get big room two bed first night ) . - tiny bathroom tub , stand shower ( even big room get - fact big room small washroom ) - parking absolutely insane ( think commentary Chicago general ) . $ 37 / night valet parking , think see another self park place block away ( near Rush Division ) $ 30 - still expensive- location put con feel convenient interested night life area town , us family obviously case . basically north end downtown , everything either relatively long walk , subway ride , cab ride south.- overprice try book directly even Priceline think pay much getting- pooloverall , would not really want stay hotel mainly due location fact might get stick tiny room ( seriously single - bed room dorm - like tiny ) 
 Jul 16 2009 	 absolutely good experience ! 	 sister gift mother trip Chicago birthday . stay Hotel Indigo May 12 13 , 2009 . book hotel upon recommendation coworker mine , disappointed . matter fact , adore hotel staff ! hotel bright , cheery clean . staff bend backwards accommodate friendly . cancel first reservation , person phone happy help we times . arrive early , prepared check luggage tour checking , room immediately available , even fulfil request nice view . two front desk receptionist learn first name call greeting every time enter lobby . mother recover skin cancer surgery , woman treat we prefer guest , make sure everything could possibly need , include small refrigerator deliver room , birthday balloon cupcake , card wish well happy birthday , full direction site inquire . one night upon late return eat way much delicious food Greek Islands restaurant Halsted Street Greektown , wish soda . machine inoperative , night clerk notice return elevator dollar bill hand , nothing else . ask something could , dash get complimentary glass ice soda lobby deli close evening . lack nothing ! several point interest hotel include CVS pharmacy pre - package fresh food grocery section half block away , plenty fast food coffee shop within block ' walk , subway stop one block away , nice little internet nook working printer useful hardcopie last minute tour reservation , safe clean neighborhood location . even though hotel close waterfront , airport , easily catch subway directly O'Hare within block hotel , one changeover centralize station . carry suitcase stair stop near hotel , problem we . perhaps another stop would elevator short cab ride would get hotel ? CTA would able help question . ride airport hotel approximately 40 minute , enjoy see different part city aboveground portion travel . purchase three day subway pass unlimited ride airport kiosk fourteen dollar , transportation hotel include price . bargain ! ( pass good subway city bus . clean efficient easy access . ) enjoy city immensely , people unbelievably genuinely friendly , definitely recommend Hotel Indigo good place relax receive excellent service . 
 Jul 10 2009 	 comfortable clean room friendly helpful service great location . 	 arrive Chicago 1130am , early check . Hotel Indigo reception gladly take bag store safely we check time . return check , friendly hotel porter take bag lead we room . way ask find Goose Island Brewery not know say would check we . almost within minute , someone fro front desk rang room let we know . room clean comfortable , rather small . not look spend much time room want see much city possible , suit we . location perfect , quiet neighborhood could sleep , around corner within easy walk distance several bar restaurant . easy access Clark / Division stop red line . 
 Jun 15 2009 	 Wonderful Hotel 	 husband return fantastic stay Hotel Indigo . unlike hotel ever stay . decor chic , beachy feel could not help smile warm vibrant color surround we . central location ; close Magnificent Mile , Lakeshore drive popular Rush Street . staff kind offer advice many question since first trip Chicago . already look forward next trip definitely stay Hotel Indigo : ) 
 Jun 15 2009 	 hotel beautiful ` ` fancy '' everyone earth comfortable . 	 elegance hotel unique staff always available need . feel much home hope other learn secret & quot ; Hotel Indigo . & quot ; can not wait go back . 
 Jun 10 2009 	 Decent hotel hold back lousy housekeeping maintenance 	 get great deal third party , usual , little recourse thing go bad . ( get pay . ) be plan stay , know facility show significant sign wear tear . room poorly maintain -- significant rusting cheap - look bathroom light fixture , serious mold ceiling shower , brown nicotine residue previously - nice white furniture television screen , mass dust everything window ledge throw pillow bed . smoke detector hang ceiling bare wire , set every cloud steam shower . oh , wireless signal terrible . call . & quot ; side building spotty , sir . & quot ; ( fix . ) least offer move , two o'clock morning . decline , pass , wake sniffle , sneeze scratch eye thank dust allergy . never get around move -- busy work . bottom line - once - nice facility hold back terrible housekeeping maintenance team . management argue self - flagellate want Tripadvisor ; maybe less time time spend train depressingly mediocre staff . thank advance ! 
 May 29 2009 	 Great location - bit cheap 	 hotel small nice . staff friendly . close proximity magnificent mile - main attraction city.downside : breakfast option soooo limited bathroom small . rate around $ 250 / night .. bit better.overall ... good hotel plan spend time road meeting siteseee . 
 May 20 2009 	 Perfect place girl ' weekend ! 	 girlfriend Tennessee stay receive recommendation BIL stay frequently business . going stay way Oakbrook due $ $ issue , absolutely regret spending bit stay Hotel Indigo . location perfect , perfect , perfect hotel wonderful . really enjoy . much convenient : starbuck , Walgreens , Dunkin Donuts , club , restaurant red line CTA . use little workout room Saturday morning feel generously appoint hotel gym . really enjoy decorate , room design , comfortable bed , Aveda product room . hotel staff helpful Friday drive Michigan give turn - by - turn get hotel could not handle freeway anymore . one note : maybe be ' m small - town , parking price ramp next door ridiculous . spend $ 78 Friday pm Sunday noon . next time , will take Amtrack Chicago train hotel . be plan come back next spring couple friend stay - really enjoy . 
 may 12 2009 	 Great Hotel great location 	 stay hotel couple time . Hotel Indigo Chain fantastic idea Intercontinental Hotels ( Holiday Inn ) provide line fun / casual botique hotels downtown location . hotel fantastic location surround ultra high end Chicago Brownstones . Hotel Indigo still somewhat new chain trying find balance full service casual hotel experience . room service so - so . meal deliver disposable packaging strange decision consider company try go & quot ; green & quot ; . not afraid raise concern Managers , Intercontinental trying make chain succeed any / all feedback good hear . favorite part chain room unique modern theme ALWAYS use wood type floor instead carpet . 
 May 2 2009 	 comfortable hotel ..... 	 stay Hotel Indigo first time past April . hotel extremely comfortable . loved decor neither room feel like cookie cutter room . even bring use fridge , standard . our big concern shower curtain moldy bottom . would hope could exchange clean one . rug room rip torn look . concern try exchange change dollar bill front desk clerk treat niece like put . go exchange coin . although reason need dollar bill pop machine change slot broke would accept dollar . 
 Apr 29 2009 	 great place - would definitely stay 	 3 we stay Hotel indigo last weekend great time . staff friendly decor cool , bit different chain hotel . go Friday night local bar great time , safe taxi require . restaurant onsite breakfast around corner local coffee shop good value , friendly serve good food . doormen friendly arrange cab us cars airport , desk staff recommend favourite deep dish pizza place we importantly great shower there . we be 10 minute Michigan Avenue . 1 issue wireless room not great strong reception general really good hotel quiet street block happen . 
 Apr 23 2009 	 nice stay ! ! nice hotel 	 stay Hotel Indigo downtown Chicago pleasant experience ! bed SUPER comfortable , staff friendly accomodate , decor hotel refresh beachy . cute ! must say , water pressure shower great ! little thing unable close drape room block sun get privacy - there sheer piece fabric decorational curtain would not go . tad annoying- wish rug also right next bed since hardwood floor . one end bed . also - the hotel tad beat path definitely quiet street could hear bird chirp outside nice . all though - the room great wonderful price- would stay ! ! ! ! 
 Apr 14 2009 	 Great Location 	 husband two girl ( 13,16 ) stay one night . stay room 1415 . quiet hotel room ' ve ever stay . location excellent . 's residential area 's quiet . nice cafe door breakfast Starbuck 's corner . walk Oak Street Beach , Rush Street , Michigan Ave stroll around neighborhood . girl love shopping Oak Street take cab State Street shopping . staff friendly knowledgeable area . definately stay . 
 Apr 7 2009 	 Beautiful Place ... beautiful People ... Beautiful Stay 	 town one day conference find amazing place . hotel well decorate definately & quot ; theme & quot ; relax comfortable . exactly expect chain hotel . staff great . find theatre ticket reccomende amazing place eat . Chicago originally want know new thing may ... send great place would ever think go . might add co worker love reccomendation hit meeting next day . its super fantastic chain hotel would strongly reccomend ! 
 Apr 2 2009 	 never ever treat well feel unique ! 	 be take age write review ... good reason tendency get distract ! stay hotel December attend RSNA conference . year thousand radiologist descend Chicago take hotel bed make busy time everyone . place Hotel Indigo organiser little concerned read previous review . e - mail hotel arrive request fridge ( thank tip previous reviewer ) pleasantly surprise quick friendly response manager , Seán . on arrival meet friendly doorman carry bag inside . check - in effortless ( sweet thank candy bowl ) give room 12th floor . reception small welcoming - a lay - back , beachy feel snowy Chicago ! room small , not huge issue . fridge rang one room 5 minute . everything room completely spotless . big tv cable channel , free WiFi coffee maker . alarm clock nice touch . bathroom small immaculately clean stocked Aveda product . bed sooo comfy . Slept like log night . Breakfast not include room rate anyway affordable option little restaurant downstairs . avail Starbucks coffee love staff . get coffee maybe 4 time staff friendly remember . lovely ! onsite gym open day accessible keycard . 's small 2 treadmill , bike , elliptical , stepper , weight machine free weight . equipment good order however pretty much everything could want - include kettlebell , Bosus extensive free weight . love ! potential temptation lie snack machine outside door ; - ) not use hairdresser spa look clean friendly . also business centre downstair 2 computer printing facility . handy online flight check - in ! allow get package deliver hotel extremely handy . also completely overwhelmed helpful attitude one reception staff . unfortunately forget name , believe Czech republic . go beyond call duty help fax detail try order digital camera help problem order . leave give photo album use new camera . apparently hotel little fund little gift . never ever treat well good experience stay many hotel guesthouse . upset leave everyone sweet doorman reception guy early coffee shift ... location great , minute Michigan Avenue within block Whole Foods Dominick 's . Starbucks Walgreens corner Ambassador East hotel next block . I would not hesitate stay . exactly would want boutique hotel - cosy , quirky , homely ... , outstanding personal customer service . 
 Feb 24 2009 	 Unique hotel close everything ! 	 really enjoy Hotel Indigo Chicago . love location , close enough walk downtown away traffic etc . plenty restaurant , bar , Starbucks , Walgreens Jewel Osco within block though hotel residential area . visit son next street quite convenient ( though bar let 4:00 half block away ) . room comfortable quiet though rather small . problem parking . due unforseen circumstance , 2 car hotel parking 2 night . parking bill $ 108 , much almost hotel . charge $ 32 beyond daily charge even though car parking less 24 hour . Parking Chicago expensive , yes , not expensive . 
 Feb 21 2009 	 Excellent ! 	 stay hotel 4 friend . yes five we us one room . go experience think go hell , 5 people one room ! turn actually really great . two double bed room cot . bed sleep really comfortable . love linen use . nice , crisp comfortable . really like decor . know be everyone 's taste like modern theme . television normal size flat screen think weird give nice modern theme . say favorite part room bathroom . really like design kind like open shower . bath tub shower , fine . finally free wifi ! , tech professional really appreciate ! hate hotel want charge internet access . overall great experience . think kind pricy give 's location Chicago , will . 
 Jan 26 2009 	 mostly Positive Experience 	 hotel book use reward point . however , express person travel amount point cost seem bit excessive , Friday night last minute booking . grateful nice ( clean ) place stay . upon arrival stand 2nd line check . person desk call help quickly attend . within 5 minute arrive room . crisp blue theme decor nice ( though personal taste ) amenity ample . theme carry hotel nice visual change normal beige scene . the room size average , however , set king room slightly odd . tv traditional 32 inch bed far side room . even glass , sometimes difficult time make everything out . the bathroom large , Aveda bath product appreciate , linen nice hotel . the bed well appoint nice linen . my complaint heating / cool system . matter much mess , room either freeze steamy . even turn , kick periodically extremely loud ( point need adjust tv volume ) . thermostat wall , disconnected could get work . unfortunately , temperature issue turn average stay average . 
 Dec 28 2008 	 cute bright clean friendly 	 daughter spend two night pretty hotel . weather awful -- -2 degree strong wind -- hurry morning . pick coffee , juice , bagel , yogurt downstairs , watch & quot ; Home Holidays & quot ; tv stay bed . bed comfortable , room bright look like hotel room stay ( big indigo print , bright coral wall accent ) . fun . 
 Dec 17 2008 	 wonderful experience 	 short business trip become extend due weather delay . going get snow anywhere - choose Indigo Chicago . staff helpful concerned get home . hotel clean comfortable . 
 Dec 15 2008 	 cute room ... worth price 	 cute room fantastic comfy bed . , clean . ... stay tell check prior 4 pm , shoo noon next day . several non essential , wish work , thing working room ( like , remote , room movie menu option , thermostat ) , make price little hard swallow . seem like room check regularly . Maid service , loud , early , , , consider price annoying . front desk particularly helpful friendly . 
 Dec 9 2008 	 clean comfortable charming ! 	 stay family child . room big enough , nice decor , accomodate request get 2 room together . find staff friendly helpful . view good location great ! clean , clean , clean ! ! one family member germophobe even comment clean ! would definitely stay . 
 Dec 8 2008 	 good kind strange ! 	 finish stay quirky , strange endear little hotel near Magnificent Mile leave pleasantly surprised . course , like hotel , downside : -THIRTY - six dollar day parking ! ! staggering amount put car spot hour ! ! -room small . hard navigate plan place thing room.-In room ( 610 ) , curtain could not raise lower , cord tangle maze try , could never figure untangle . among many positive hotel : -wonderful , tropical feel 's sunny happy . -- cool color furniture selection room , include neat espresso - pod machine room high - quality cup coffee.-Aveda product always plus hotel ! -Very comfortable bedding ! -free internet connection unexpected plus city hotel . fact , be downright rare ! -Quiet hall , nice clock radio , functional workout room nice little topping round thing out . while stay hundred fancy hotel amenity , one simply offbeat little treat break monotony hotel room road warrior like . definitely worth try ! 
 Nov 16 2008 	 Small Rooms Small Service 	 book trip Hotwire $ 99 , worth . Hotwire say 3 half star , 2 half . room 1404 - room 10x14 foot overhang , small room . shade break , menu dirty , room tiny ! could not check 4 pm , mean delaying plan . also , park $ 36 do not try park street overnight b / c will get $ 60 ticket . opt well 4 star hotel near magnificent mile . next time , book 4 star well hotwire . never go BOUTIQUE ! ! ! ! 
 Oct 9 2008 	 nice change pace stay ` ` urban beach house '' 	 2nd time stay hotel - ' ve enjoy time ! 's really hard believe place relate Holiday Inn ! ! LOCATION - Awesome . fairly quiet section Gold Coast . plenty restaurant , store , etc , around corner . red line subway close well . walkable area ! ! ! SERVICE - I agree couple review . staff slightly aloof , part nice helpful . be really would expect boutique - type property , right ? ROOMS - Unique . pretty hard describe vibe not . feel sort like urban beach house whimsical edge . different hotel stay , trust ! ! ! like . tiny room ( think NYC ) , unexpected touch . bathroom cool ( bit minimalistic ) stand - up shower . great bedding pillow ! NOISE - it hand time . end hallway ( room 913 ) noise maid awful . woke 0700 never really stop . blast A / C white noise able get little sleep . might want request room away maid closet ! ! ! gym - very nice small property . pretty much anything might need , although be LITTLE outdated . hard complain though - boutique hotel not gym . you really try place . 's everyone . however , be nice steer away predictable hotel room change ! ! FYI - they large room available case large group family . actually think would good place stay kid , ! 
 Sep 28 2008 	 avoid beige go hotel character ! 	 Bored beige / neutral samey hotel , spend search web booking hotel . choose visit city tourist business traveller - want hotel specifically cater later , probably consider elsewhere . arrive town bright airy reception cinnamon / apple fresh odour . corridor upstairs little pokey , expect old building . however , room really great . vibrant colour , good soft furnishing decent amount space . wooden desk , wardrobe chair , soft armchair footstool , room safe big enough take 17 & quot ; laptop huge comfortable bed . room coffee maker neat . downside shower room small space place one toiletry . complimentary Aveda product nice sweetner , like wallow bath , bathroom ! whilst window actually open , unfortunately close air con . vent , sound bit like 747 outside room ! stay 2 night , stay long might ask move quieter room , however , overall happy room great area town . 
 Sep 23 2008 	 disappointment 	 read review say careful - listen . average term ammenitie -short service -for example : arrive business colleague decide join last minute . reservation -he . check -no problem -he ask availability , front desk say & quot ; yes & quot ; -so try take next step - get room & amp ; check & quot ; ' m sorry -you call -we book front desk -only reservation & quot ; -we take phone number -call -it ring back -we literally stand lobby talk someone 50 ft away front desk tell us & quot ; yes room -but 2 night minimum . & quot ; go figure -here , unable get room available -and uncooperative front desk shrug we ... go Embassy suit -get big room low rate ! ! Holiday Inns want make go new brand -they ALOT work - will never back . 
 Sep 3 2008 	 come back 	 stay Indigo . great location , great staff . sister stay , love ! great farmer 's market Saturday street , right across Starbucks Walgreens . upkeep could do hotel , love funkiness charm . accommodate handicap / assistance . keep come back . 
 Aug 22 2008 	 Great Location 	 husband take training hotel , opt stay on - site . believe pay $ 139 night ' m sure . the hotel excellent location Gold Coast area . el - train red line 2 minute walk away , walk & quot ; Magnificant Mile & quot ; 15 minute , loop 20 - 25 minute . Oak Street beach 5 - 10 minute away foot well . room two double - bed - little small side may suitable small family . however , we , not need room . room mini - fridge , however , hotel 3 - 4 request use . get last one available call couple week reserve - need / want fridge make sure request early . the shampoo / conditioner / soap Aveda product nice , room keep clean decor bright pleasant . bed comfortable . Front desk staff helpful need . there great brunch spot two door call & quot ; Third Coast & quot ; corner Dearborn Goeth . 
 Aug 18 2008 	 Miinor problem exacerbate 	 past visitor multiple occasion Hotel Indigo , generally satisfied experience . every visit request minor convenience know assure , provide without problem previous stay . we somewhat concern understaffed front desk upon check - in , predictor problem remainder day . aforementione convenience forthcoming soon , tell , take staff several hour finally inform we could accomodate we till much later day . call housekeeping management go unanswered . timely communication would allowed schedule rest day less uncertain . Janie hint early review , staff attitude Hotel Indigo seem markedly aloof disintereste trip . hip , casual attitude necessarily conducive satisfied guest . on positive side , able check late morning appreciate . , past couple year notice wear tear rapidly overtake property . bad -- location perfect purpose , explore option next visit . 
 Aug 14 2008 	 slice heaven 	 friend recommend Indigo Hotel . could not well suggestion . room delightful staff extremely helpful . love decor ambience neighborhood . great location - walk beach , restaurant , shop even zoo . hotel busy everyone come contact smile want make sure fun . recommend everyone know . 
 Aug 13 2008 	 great location small boutique feel 	 stay hotel night impress . locate beautiful tree line street minute walk everything . room unlike anything ever see . decorate like beach house . modern , funky fresh . bed comfortable amenity great . free internet also big plus ! 
 Aug 12 2008 	 Indigo not measure aspiration 	 husband stay late July 4 night . third stay H. I. , last . dramatic bad experience , $ 250 night , not measure . indigo contract one airline house overseas flight crew . airline crew get check hotel 5 pm , mean hotel shortage room people check . email receive hotel couple day stay cheery message , & quot ; room ready ! & quot ; email state check - in time 3 pm . arrive 3:40 tell check - in 4 pm room ready . walk Starbuck 's hung hour room still not ready . finally check 5 pm . first time happen . check - in delay time last three year stay Indigo . write ( polite ) email manager point problem , never respond email . the location great , ' ve stay Hotel Indigo , decor not enough overcome downside : small room , lackluster management , long wait check . furniture & amp ; bright wall paper start look little worn . anyway , ' m tired disappointed Indigo . will probably stay Intercontinental Michigan Ave next time . 
 Aug 7 2008 	 tropical 	 pay $ 137 total hotwire fair price stay . first walk remind tropical resort somewhere Bahamas . relax feel ... rush business like . stay 14th floor offer great view Chicago . bedroom area plenty space well drawer space . good sized tv . living area small , oversized closet . table sit chair . bathroom small . wife like mirror sink outside bathroom could get ready showered . also like detachable shower head . issue staff . always friendly give we good advice area . red line subway less 2 block away . make easy get Michigan Ave . China town . plenty pub block away . area outside hotel residential always quite outside . downside ice machine pop machine second floor . one elevator order come leave morning bit slow . 
 Aug 6 2008 	 Rude Disorganized 	 book room Hotwire . get great deal $ 129.00 night ! 's deal end .... people work front desk look upset disturb three room party show time . one room ready squeeze one room time - boy squeeze ! room barely leave path around oversized bed . drawer force leave suitcase ground open , leave even less space . group return evening , rest party give room .... let us say one room already occupy arrive . something like happen ! wake morning go free breakfast give & quot ; mix - up & quot ; not much deal waitng line half hour watch girl behind counter funmble around never hear coffee . finally leave Hotel Indigo one say goodbye , wish we safe journey home even ask enjoy stay . overall look clean hotel , . look place compliment beautiful freindly city , well book another hotel . will not use hotwire book case end Hotel Indigo . 
 Jul 30 2008 	 Unfriendly 	 stay Hotel Indigo three day past weekend . call hotel directly make reservation . operator give price 299.00 , 120.00 first night since Saturday . two night 120.00 cheap , 179.00 night . send email confirmation price . when check , woman front desk tell first night would 100.00 quote phone . tell tell room would 299.00 night state , 399.00 night . say think mistake insist mistake . take receipt amount print , still say right price . state price give phone receipt . finally call manager , take print receipt back office . came say 3 people . state 3 people 2 people . go back state 3 people extra 20.00 charge show area bottom receipt 20.00 print . still make sense 100.00 20.00 . feel like believe 2 people . finally 20 minute give amount print email receipt . unpleasant . make feel like bad guy . feel like believe even though price right confirmation slip . one ever say sorry make mistake . generally , people front desk friendly . one ever say hello walk . check woman even ask everything even thank - you nice day . hotel Chicago seem friendly find anyone hotel friendly . doorman help door leave , see 2 suitcase . guest come hold door open . could believe saw doorman watch . there big crowd kid outside hotel Dearborn make alot noise 2:00 morning . go hour . the handle toilet keep fall also . pay 399.00 night would unhappy . recently stay Fairmont San Fransico one complaint . pay high price expect thing pretty perfect . hotel cute clean . bed comfortable . 
 Jul 2 2008 	 Nice Boutique Hotel 	 spend 5 night end June attend conference . attractive hotel- convert old hotel room vary size , nicely do . staff friendly nice feel hotel . good location couple block CTA transit line- several good restaurant nearby . recommend read TripAdvisor report give pause , discount positive experience . 
